 RU AL GT ST TT LT CT WT RSS VMS LE AC PSG CPE_L CPE_A SPD_L SPD_A SPB_L SPB_A DS_T DS_MTD DS_DTD DS_BTD DS_MINTD DS_MEDTD DS_MAXTD DS_MTS DS_DTS DS_BTS DS_MINTS DS_MEDTS DS_MAXTS
0 0 3 1.3859167000000028 1.4745848999999822 2.860501599999985 2.860501599999985 2.860501599999985 2.860501599999985 241.48828125 232.5625 20 20 20 1.0 1.0 0.0 0.0 0.0 0.0 1 1.0 0.0 0.0 1 1.0 1 19.0 0.0 0.0 19 19.0 19
1 0 2 4.42927610000001 4.538509899999994 8.967786000000004 7.191480199999965 11.828287599999989 5.931140750000001 203.10546875 199.0546875 46 46 46 2.3 2.3 2.0799797569865155 2.0799797569865155 0.7752190111921669 1.0 2 1.0 0.0 0.0 1 1.0 1 22.0 4.242640687119285 0.1928473039599675 19 22.0 25
2 0 1 13.866960800000044 5.7401663999999855 19.60712720000003 12.700467699999983 31.435414800000018 6.644857700000008 210.69921875 200.86328125 76 76 0 1.6521739130434783 1.6521739130434783 0.9710793835120409 0.9710793835120409 1.0086284494400166 1.0 0 0.0 1.0 1.0 0 0.0 0 0.0 1.0 1.0 0 0.0 0
3 1 3 1.2692788999999607 1.4310152999999843 2.700294199999945 2.700294199999945 2.700294199999945 2.700294199999945 281.390625 272.96484375 20 20 20 1.0 1.0 0.0 0.0 0.0 0.0 1 1.0 0.0 0.0 1 1.0 1 19.0 0.0 0.0 19 19.0 19
4 1 2 4.055565399999978 2.5532483999999585 6.608813799999936 6.757156899999913 9.309107999999881 4.669703949999942 279.9921875 271.56640625 44 44 44 2.2 2.2 2.015727634065883 2.015727634065883 0.7794309736863712 1.0 2 1.0 0.0 0.0 1 1.0 1 21.0 5.656854249492381 0.26937401188058957 17 21.0 25
5 1 1 13.19762979999993 5.001096399999952 18.198726199999882 12.371982699999876 27.507834199999763 5.7993898999999445 280.828125 270.94921875 75 75 0 1.7045454545454546 1.7045454545454546 1.0692215263005322 1.0692215263005322 0.9805092930797182 1.0 0 0.0 1.0 1.0 0 0.0 0 0.0 1.0 1.0 0 0.0 0
6 2 3 1.316899100000029 1.3665425000000084 2.6834416000000374 2.6834416000000374 2.6834416000000374 2.6834416000000374 292.2734375 282.6328125 20 20 20 1.0 1.0 0.0 0.0 0.0 0.0 1 1.0 0.0 0.0 1 1.0 1 19.0 0.0 0.0 19 19.0 19
7 2 2 4.023384600000014 3.271171200000026 7.29455580000004 6.41881630000006 9.977997400000078 5.005145150000033 289.9453125 280.203125 44 44 44 2.2 2.2 2.0416711421361615 2.0416711421361615 0.7754069949945361 1.0 2 1.0 0.0 0.0 1 1.0 1 21.0 4.242640687119285 0.20203050891044214 18 21.0 24
8 2 1 13.286145200000107 4.7646012000000155 18.050746400000122 11.24473620000012 28.0287438000002 5.823310600000017 294.14453125 283.7109375 73 73 0 1.6590909090909092 1.6590909090909092 0.9386576714124697 0.9386576714124697 1.018799783751334 1.0 0 0.0 1.0 1.0 0 0.0 0 0.0 1.0 1.0 0 0.0 0
9 3 3 1.3409752000000594 1.4946486999999706 2.83562390000003 2.83562390000003 2.83562390000003 2.83562390000003 308.89453125 300.00390625 20 20 20 1.0 1.0 0.0 0.0 0.0 0.0 1 1.0 0.0 0.0 1 1.0 1 19.0 0.0 0.0 19 19.0 19
10 3 2 4.445324299999953 2.3020422999999255 6.747366599999879 6.2540002999999444 9.582990499999909 4.808834099999956 307.49609375 298.6015625 44 44 44 2.2 2.2 2.067289096988207 2.067289096988207 0.7714833754338628 1.0 2 1.0 0.0 0.0 1 1.0 1 21.0 2.8284271247461903 0.13468700594029479 19 21.0 23
11 3 1 14.137149800000003 5.0619756000003235 19.199125400000327 11.181877699999944 28.782115900000235 5.923439150000071 312.14453125 302.10546875 73 73 0 1.6590909090909092 1.6590909090909092 0.9869657947038658 0.9869657947038658 1.0038962706674492 1.0 0 0.0 1.0 1.0 0 0.0 0 0.0 1.0 1.0 0 0.0 0
12 4 3 1.325099999999992 1.68437009999991 3.009470099999902 3.009470099999902 3.009470099999902 3.009470099999902 335.5 325.41015625 20 20 20 1.0 1.0 0.0 0.0 0.0 0.0 1 1.0 0.0 0.0 1 1.0 1 19.0 0.0 0.0 19 19.0 19
13 4 2 4.289727499999884 3.1396321000000285 7.429359599999913 7.397788799999773 10.438829699999815 5.244412649999916 334.1015625 324.0078125 44 44 44 2.2 2.2 2.0416711421361615 2.0416711421361615 0.7754069949945361 1.0 2 1.0 0.0 0.0 1 1.0 1 21.0 5.656854249492381 0.26937401188058957 17 21.0 25
14 4 1 13.691833300000042 5.048033500000258 18.7398668000003 13.006930999999952 29.178696500000115 6.082712525000005 337.69921875 327.4140625 75 75 0 1.7045454545454546 1.7045454545454546 1.1325941709303338 1.1325941709303338 0.9637416447286802 1.0 0 0.0 1.0 1.0 0 0.0 0 0.0 1.0 1.0 0 0.0 0
