 RU AL GT ST TT LT CT WT RSS VMS LE AC CF PSG CPE_L CPE_A SPD_L SPD_A SPB_L SPB_A DS_T DS_MTD DS_DTD DS_BTD DS_MINTD DS_MEDTD DS_MAXTD DS_MTS DS_DTS DS_BTS DS_MINTS DS_MEDTS DS_MAXTS
0 0 3 1.3968704999999844 1.7861386999999986 3.183009199999983 3.183009199999983 3.183009199999983 3.183009199999983 172.60546875 162.12109375 20 20 1.0 20 1.0 1.0 0.0 0.0 0.0 0.0 1 19.0 0.0 0.0 19 19.0 19 19.0 0.0 0.0 19 19.0 19
1 0 2 4.583555499999999 0.6720097000000251 5.255565200000024 3.830280299999991 8.438574400000007 0.4525895200000001 201.9609375 191.4609375 52 52 1.0 52 2.6 2.6 2.7414940221864814 2.7414940221864814 0.7090075344301847 1.0 20 1.6 2.7414940221864814 1.7134337638665509 0 0.5 9 1.6 2.7414940221864814 1.7134337638665509 0 0.5 9
2 0 1 11.978663100000055 1.6333337999999884 13.611996900000044 4.126801999999998 22.05057130000005 0.47620617884615446 200.90625 189.88671875 96 96 1.0 0 1.8461538461538463 1.8461538461538463 1.3631655112866476 1.3631655112866476 0.9181305360130657 1.0 0 0.0 1.0 1.0 0 0.0 0 0.0 1.0 1.0 0 0.0 0
3 1 3 1.251740199999972 1.7296891000000016 2.9814292999999736 2.9814292999999736 2.9814292999999736 2.9814292999999736 240.984375 232.328125 20 20 1.0 20 1.0 1.0 0.0 0.0 0.0 0.0 1 19.0 0.0 0.0 19 19.0 19 19.0 0.0 0.0 19 19.0 19
4 1 2 3.663461799999993 0.462241400000039 4.125703200000032 3.5904154999999918 7.107132500000006 0.3868293349999995 235.62109375 225.8125 44 44 1.0 44 2.2 2.2 1.9894458366193601 1.9894458366193601 0.7835605805898613 1.0 20 1.2 1.98944583661936 1.6578715305161333 0 0.5 7 1.2 1.98944583661936 1.6578715305161333 0 0.5 7
5 1 1 9.90903350000012 1.305317799999969 11.21435130000009 3.877458300000015 18.321483800000095 0.47457524545454693 236.33203125 226.66015625 79 79 1.0 0 1.7954545454545454 1.7954545454545454 1.3568010505999364 1.3568010505999364 0.9141772464749166 1.0 0 0.0 1.0 1.0 0 0.0 0 0.0 1.0 1.0 0 0.0 0
6 2 3 1.2718075000000084 1.6712776000000389 2.9430851000000473 2.9430851000000473 2.9430851000000473 2.9430851000000473 267.984375 259.2734375 20 20 1.0 20 1.0 1.0 0.0 0.0 0.0 0.0 1 19.0 0.0 0.0 19 19.0 19 19.0 0.0 0.0 19 19.0 19
7 2 2 4.166098599999984 0.6170175000000597 4.7831161000000435 3.578565500000039 7.726201200000091 0.4222424650000015 279.58203125 269.5625 52 52 1.0 52 2.6 2.6 2.7414940221864814 2.7414940221864814 0.7090075344301847 1.0 20 1.6 2.7414940221864814 1.7134337638665509 0 0.5 9 1.6 2.7414940221864814 1.7134337638665509 0 0.5 9
8 2 1 11.741259399999947 1.5373849000000064 13.278644299999954 3.907082700000018 21.004845500000044 0.4599310115384621 280.15234375 270.06640625 96 96 1.0 0 1.8461538461538463 1.8461538461538463 1.3631655112866476 1.3631655112866476 0.9181305360130657 1.0 0 0.0 1.0 1.0 0 0.0 0 0.0 1.0 1.0 0 0.0 0
9 3 3 1.2411371000000315 1.485513599999905 2.7266506999999365 2.7266506999999365 2.7266506999999365 2.7266506999999365 296.44140625 287.765625 20 20 1.0 20 1.0 1.0 0.0 0.0 0.0 0.0 1 19.0 0.0 0.0 19 19.0 19 19.0 0.0 0.0 19 19.0 19
10 3 2 4.293885500000044 0.774057199999902 5.067942699999946 3.351483699999932 7.794593399999883 0.42471877999999635 317.92578125 307.83984375 52 52 1.0 52 2.6 2.6 2.7414940221864814 2.7414940221864814 0.7090075344301847 1.0 20 1.6 2.7414940221864814 1.7134337638665509 0 0.5 9 1.6 2.7414940221864814 1.7134337638665509 0 0.5 9
11 3 1 12.521528699999834 1.7069582000000878 14.228486899999922 3.665536699999933 22.023080299999805 0.4802899403846122 318.43359375 308.33984375 96 96 1.0 0 1.8461538461538463 1.8461538461538463 1.3631655112866476 1.3631655112866476 0.9181305360130657 1.0 0 0.0 1.0 1.0 0 0.0 0 0.0 1.0 1.0 0 0.0 0
12 4 3 1.2072028999999418 1.4435113999999771 2.650714299999919 2.650714299999919 2.650714299999919 2.650714299999919 328.70703125 319.22265625 20 20 1.0 20 1.0 1.0 0.0 0.0 0.0 0.0 1 19.0 0.0 0.0 19 19.0 19 19.0 0.0 0.0 19 19.0 19
13 4 2 3.662800899999951 0.48540509999997994 4.148205999999931 3.2604407999998557 6.79892029999985 0.37324803999999145 346.5625 336.2421875 46 46 1.0 46 2.3 2.3 2.0026298499197184 2.0026298499197184 0.7868506246948717 1.0 20 1.3 2.0026298499197184 1.5404844999382448 0 1.0 7 1.3 2.0026298499197184 1.5404844999382448 0 1.0 7
14 4 1 10.182210500000025 1.3280699000002016 11.510280400000227 3.5988690999999164 18.309200700000076 0.46126439565217503 346.8125 336.4921875 81 81 1.0 0 1.7608695652173914 1.7608695652173914 1.3364094949394258 1.3364094949394258 0.9184365267975685 1.0 0 0.0 1.0 1.0 0 0.0 0 0.0 1.0 1.0 0 0.0 0
