 RU AL GT ST OT TT LT CT WT WT_PA MET MET_PA RSS VMS LE AC CF PSG SIZE SGLITS_T QL_SCORE LT_SCORE CT_SCORE AW_SCORE AW_PA_SCORE AME_SCORE AME_PA_SCORE TI_SCORE LT_GRADE CT_GRADE AW_GRADE AW_PA_GRADE AME_GRADE AME_PA_GRADE GRADE HAS_TRAILING TOT_CHOICES PRE_CHOICES FGOALS_ORDER CP_EF_L CP_EF_A SP_ED_L SP_ED_A SP_EB_L SP_EB_A SP_EBS_L SP_EBS_A SP_MIN_L SP_MIN_A SP_LOWER_L SP_LOWER_A SP_MED_L SP_MED_A SP_UPPER_L SP_UPPER_A SP_MAX_L SP_MAX_A T_INTER_SP P_INTER_SP T_INTER_Q P_INTER_Q M_CHILD_RMSE M_CHILD_RMSE_SCORE M_CHILD_NRMSE M_CHILD_NRMSE_SCORE M_CHILD_MAE M_CHILD_MAE_SCORE M_CHILD_NMAE M_CHILD_NMAE_SCORE DIV_INDEX_RMSE DIV_INDEX_RMSE_SCORE DIV_INDEX_NRMSE DIV_INDEX_NRMSE_SCORE DIV_INDEX_MAE DIV_INDEX_MAE_SCORE DIV_INDEX_NMAE DIV_INDEX_NMAE_SCORE DIV_STEP_RMSE DIV_STEP_RMSE_SCORE DIV_STEP_NRMSE DIV_STEP_NRMSE_SCORE DIV_STEP_MAE DIV_STEP_MAE_SCORE DIV_STEP_NMAE DIV_STEP_NMAE_SCORE DS_T DIVS_T DS_TD_MEAN DS_TD_STD DS_TD_CD DS_TD_MIN DS_TD_LOWER DS_TD_MED DS_TD_UPPER DS_TD_MAX DS_TS_MEAN DS_TS_STD DS_TS_CD DS_TS_MIN DS_TS_LOWER DS_TS_MED DS_TS_UPPER DS_TS_MAX PR_T PR_TS_MEAN PR_TS_STD PR_TS_CD PR_TS_MIN PR_TS_LOWER PR_TS_MED PR_TS_UPPER PR_TS_MAX PP_LE_MEAN PP_AC_MEAN PP_LE_STD PP_AC_STD PP_LE_CD PP_AC_CD PP_LE_MIN PP_AC_MIN PP_LE_LOWER PP_AC_LOWER PP_LE_MED PP_AC_MED PP_LE_UPPER PP_AC_UPPER PP_LE_MAX PP_AC_MAX PP_ED_L PP_ED_A PP_EB_L PP_EB_A PP_EBS_L PP_EBS_A PP_EF_LE_MIN PP_EF_AC_MIN PP_EF_LE_LOWER PP_EF_AC_LOWER PP_EF_LE_MED PP_EF_AC_MED PP_EF_LE_UPPER PP_EF_AC_UPPER PP_EF_LE_MAX PP_EF_AC_MAX
0 0 5 0.8801456999999999 0.17498899999999962 0.0 1.0551346999999995 1.0551346999999995 1.0551346999999995 1.0551346999999995 0.07034231333333331 0.0 0.0 156.296875 144.05078125 6 15 0.4 28 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 6.0 0.0 0.0 6.0 6.0 6.0 6.0 6.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 0 4 5.3095040000000004 4.78390580000003 0.0 10.09340980000003 2.3759036000000013 11.14854450000003 5.674248850000005 0.29321323467741955 8.97259410000001 1.1215742625000011 512.875 515.05078125 22 39 0.5641025641025641 39 6 28 0.7435897435897436 1.0 0.7375895186398456 0.9312438485714079 1.0 0.7860139176516687 0.984693129494204 0.9235690157152909 0.7435897435897436 0.5484640010398851 0.6924633745787392 0.7435897435897436 0.5844718874845742 0.7322077116751773 0.686756447583165 False 0 0 False 3.6666666666666665 2.6 3.32665998663324 0.8340274886668015 0.9072709054454291 0.6321050440422075 0.18248185437731634 0.6614978893616823 1.0 0.75 1.5 1.0 3.0 1.0 3.75 1.125 10.0 3.0 0 0.0 0 0.0 3.0215276979749217 0.048726721758191725 0.8240530085386151 0.4386501938259363 2.166666666666667 0.11455884399268769 0.590909090909091 0.5538235798307586 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 3.4641016151377544 0.03130111324493289 0.31491832864888675 0.7298484795464344 2.0 0.1353352832366127 0.18181818181818182 0.8337529180751806 2 2 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 11.0 8.48528137423857 0.77138921583987 5.0 8.0 11.0 14.0 17.0 2 3.0 0.0 0.0 3.0 3.0 3.0 3.0 3.0 11.0 19.5 8.48528137423857 16.263455967290593 0.77138921583987 0.8340233829379792 5.0 8.0 8.0 13.75 11.0 19.5 14.0 25.25 17.0 31.0 2.8284271247461903 1.4927809825049339 0.7713892158398701 0.5741465317326668 0.2507621310175654 0.4902223410102846 1.6666666666666667 1.3333333333333333 2.666666666666667 1.8611111111111112 3.666666666666667 2.388888888888889 4.666666666666667 2.916666666666667 5.666666666666667 3.4444444444444446
2 0 3 14.720337799999884 2.928987399999989 0.0 17.649325199999872 5.058708500000003 28.7978696999999 7.361610924999971 0.4460194851821901 8.129245066666627 0.5957077669019356 772.73828125 788.65625 55 79 0.6962025316455697 79 22 39 0.6962025316455697 0.9923888399962888 0.57164434882423 0.8382478131507157 1.0 0.8108082633242117 1.0 0.9343990344401668 0.6909036227822264 0.39798024285231204 0.5835902496618908 0.6962025316455697 0.564486765605464 0.6962025316455697 0.65053097334442 False 0 0 False 2.5 2.0256410256410255 2.3248143807112656 2.581988897471611 0.9299257522845062 1.0327955589886444 0.6113240548041543 0.5872207440198232 1.0 1.0 1.0 1.0 1.0 1.0 3.5 2.0 8.0 9.0 0 0.0 0 0.0 5.093444985290586 0.006136842098767922 2.0373779941162344 0.13037009428247281 4.340909090909091 0.013024682199524957 1.7363636363636363 0.1761598184926036 3.478505426185217 0.030853489407770947 0.6324555320336759 0.5312856091329679 2.6 0.07427357821433388 0.4727272727272727 0.6233000389188903 4.612483062299525 0.009927137977076672 0.3354533136217836 0.7150138873413014 3.5 0.0301973834223185 0.2545454545454545 0.7752688127983693 4 4 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 13.75 4.573474244670748 0.3326163087033271 9.0 10.5 13.5 16.75 19.0 4 5.5 3.5118845842842465 0.638524469869863 2.0 2.75 5.5 8.25 9.0 13.75 19.75 4.573474244670748 9.069178573608527 0.3326163087033271 0.45919891511941907 9.0 11.0 10.5 13.25 13.5 18.5 16.75 25.0 19.0 31.0 1.2200106253332081 0.9384911609625625 0.48800425013328325 0.4633057630068347 0.7419925497327307 0.7858619128090983 2.0 1.6428571428571428 2.0833333333333335 1.778361344537815 2.888888888888889 2.3117647058823527 3.875 3.0166666666666666 4.5 3.6666666666666665
3 0 2 55.324189799999886 4.344665499999975 0.0 59.66885529999986 9.4613845 88.46672499999977 11.27732408749997 0.9260491366918773 11.536744028571395 1.0297255010126976 1086.20703125 1108.41015625 86 118 0.7288135593220338 139 55 79 0.7203389830508474 0.7735050591736373 0.40813383434587747 0.7352075087967342 1.0 0.7305344593589342 0.9960920420336238 0.8333771868553984 0.5571858477098235 0.2939947111813524 0.5295986292179865 0.7203389830508474 0.5262324495382154 0.7175239285835425 0.6003140752771938 False 0 0 False 1.5636363636363637 1.4936708860759493 0.6875516509523286 0.7782826644117841 0.43971326514393105 0.49486180974159677 0.8694197045565785 0.8563513247571926 1.0 0.5 1.0 1.0 1.0 1.0 2.0 2.0 3.0 4.0 0 0.0 0 0.0 1.028358235809402 0.3575935632126509 0.6576709647618268 0.5180565023570639 0.8347107438016533 0.4340000004687542 0.5338266384778015 0.5863568952803974 4.818223508491255 0.008081130454571954 0.7008325103260007 0.4961720634355618 4.055555555555555 0.01732585203587509 0.5898989898989899 0.5543832802175378 8.311638426527788 0.00024564124833958176 0.7731756675839803 0.4615450249618225 6.888888888888889 0.0010190454849489828 0.640826873385013 0.5268566001818958 8 8 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 10.75 3.7321001364608946 0.3471721057172925 7.0 7.0 10.5 13.5 16.0 8 6.875 2.1671244937540095 0.31521810818240137 4.0 5.0 7.0 8.25 10.0 10.75 14.75 3.7321001364608946 6.475227519444505 0.3471721057172925 0.43899847589454266 7.0 7.0 7.0 9.75 10.5 13.0 13.5 20.75 16.0 23.0 0.12621925210986878 0.1305673985032682 0.0807216147214277 0.08741376679456092 0.9703378224494903 0.9693762351170607 1.4 1.375 1.475 1.4285714285714286 1.55 1.46875 1.6354166666666667 1.5666666666666669 1.75 1.75
4 0 1 424.1786641000008 41.59466629999954 0.0 465.7733304000003 30.04331890000001 554.2400554000001 34.91919742499999 2.9983704463153256 35.244255993333326 3.62553185156532 1288.5859375 1365.41015625 178 208 0.8557692307692307 0 86 139 0.7067307692307693 0.5651066610606381 0.15811895996179204 0.5422109178267731 0.8535037273156336 0.5408156505771367 0.8281643936008194 0.6446955684128647 0.39937826526881637 0.1117475342037665 0.3831971390410368 0.6031973457471065 0.38221106074441874 0.5852892589390407 0.45562619498409196 False 0 0 False 2.0697674418604652 1.7627118644067796 1.4207760735467045 1.4316032809742953 0.6864423726124527 0.7564846830340363 0.8015223956493308 0.8005205326163904 1.0 0.25 1.0 1.0 1.0 1.0 3.0 3.0 8.0 9.0 0 0.0 0 0.0 4.80318422415635 0.00820358336728633 2.3206395689744164 0.09821075296305011 3.994862087614927 0.01840998520061609 1.9301019074993466 0.14513340754734805 8.63517089990628 0.00017774317264246536 1.6065434232383777 0.2005797364548411 7.470588235294118 0.0005695931435225008 1.3898768809849522 0.24910597242570273 21.444010544562182 4.863899027882941e-10 1.927551509623567 0.14550402789544317 17.941176470588236 1.6152734696043895e-08 1.612690019828156 0.19935063499587244 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 16 5.375 1.857417562100671 0.3455660580652411 3.0 4.0 5.5 7.0 8.0 11.125 13.0 6.173869667126661 6.387487769068525 0.5549545768203741 0.4913452130052711 3.0 3.0 8.5 8.5 9.5 13.0 13.25 18.0 26.0 26.0 0.7281260796513752 0.6315050696708757 0.35179125196639477 0.35825768375559297 0.8771901708379295 0.8901066953566654 1.0 1.0 1.5401785714285714 1.3095238095238095 2.0416666666666665 1.8125 2.53125 2.340909090909091 3.25 3.0
5 1 5 0.8466067999999041 0.2576588999999103 0.0 1.1042656999998144 1.1042656999998144 1.1042656999998144 1.1042656999998144 0.07361771333332096 0.0 0.0 1024.8671875 1040.6015625 6 15 0.4 28 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 6.0 0.0 0.0 6.0 6.0 6.0 6.0 6.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
6 1 4 5.239894199999981 5.036471600000141 0.0 10.276365800000121 2.5357409999998026 11.380631499999936 5.764599900000007 0.31354344698274994 8.993458800000212 1.1241823500000265 1099.66796875 1118.421875 22 37 0.5945945945945946 37 6 28 0.7837837837837838 1.0 0.7333269269891631 0.9242317655764462 1.0 0.7854552975648126 0.9843832544350244 0.923279517333279 0.7837837837837838 0.5747697535861008 0.724397870316674 0.7837837837837838 0.6156271251183666 0.7715436318544786 0.723651513585543 False 0 0 False 3.6666666666666665 2.466666666666667 2.8047578623950176 0.5878791132978376 0.7649339624713685 0.4651351226092782 0.25422336226046527 0.7419300733489698 1.0 0.75 1.5 0.875 3.0 1.0 5.25 1.625 8.0 2.1666666666666665 0 0.0 0 0.0 3.094200070143182 0.04531124378381639 0.8438727464026861 0.4300418513100256 2.388888888888889 0.09173155121985654 0.6515151515151515 0.5212553972349515 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 3.4641016151377544 0.03130111324493289 0.31491832864888675 0.7298484795464344 2.0 0.1353352832366127 0.18181818181818182 0.8337529180751806 2 2 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 11.0 8.48528137423857 0.77138921583987 5.0 8.0 11.0 14.0 17.0 2 3.0 0.0 0.0 3.0 3.0 3.0 3.0 3.0 11.0 18.5 8.48528137423857 14.849242404917497 0.77138921583987 0.802661751617162 5.0 8.0 8.0 13.25 11.0 18.5 14.0 23.75 17.0 29.0 2.8284271247461903 1.3356461422412567 0.7713892158398701 0.5414781657734824 0.2507621310175654 0.526561132866666 1.6666666666666667 1.3333333333333333 2.666666666666667 1.8055555555555556 3.666666666666667 2.2777777777777777 4.666666666666667 2.75 5.666666666666667 3.2222222222222223
7 1 3 13.744888300000184 3.209830800000077 0.0 16.95471910000026 5.228516800000193 28.335350600000197 7.234757200000047 0.45214596264195156 7.903503999999998 0.5843092525691707 1235.58203125 1263.38671875 54 75 0.72 75 22 37 0.7333333333333333 0.9725426674094798 0.5741562018716505 0.8433797209288915 1.0 0.8183087198370941 1.0 0.930283795748858 0.7131979561002851 0.4210478813725437 0.6184784620145204 0.7333333333333333 0.600093061213869 0.7333333333333333 0.6822081168824958 False 0 0 False 2.4545454545454546 2.027027027027027 2.5209082400948977 2.2381240211836193 1.0270366904090324 0.9560918148745559 0.5927849590954226 0.6198712330749367 1.0 0.5 1.0 1.0 1.5 1.75 2.0 2.0 10.0 9.0 0 0.0 0 0.0 3.797563377128258 0.022425347453601453 1.5471554499411422 0.2128525833264971 3.289256198347106 0.037281569178705426 1.3400673400673393 0.26182803646905173 3.478505426185217 0.030853489407770947 0.6324555320336759 0.5312856091329679 2.6 0.07427357821433388 0.4727272727272727 0.6233000389188903 4.460941604639093 0.011551481236656964 0.330440118862155 0.7186073911555997 3.4 0.03337326996032608 0.2518518518518518 0.7773598939674049 4 4 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 13.5 4.43471156521669 0.3284971529790141 9.0 10.5 13.0 16.0 19.0 4 5.5 3.5118845842842465 0.638524469869863 2.0 2.75 5.5 8.25 9.0 13.5 18.75 4.43471156521669 7.5 0.3284971529790141 0.4 9.0 11.0 10.5 13.25 13.0 18.5 16.0 24.0 19.0 27.0 1.2575581681561676 0.9387623131093749 0.5123385129525128 0.46312274113395824 0.7365666163150044 0.7858166632991667 1.875 1.6875 2.0520833333333335 1.7487980769230769 2.888888888888889 2.2846153846153845 3.875 3.0166666666666666 4.5 3.6666666666666665
8 1 2 51.861754700000006 5.691222099999891 0.0 57.5529767999999 9.63620280000032 85.8883274000001 10.951296937500004 0.9177120211962708 11.139167528571388 0.9921820464558827 1253.55078125 1276.41796875 86 113 0.7610619469026548 132 54 75 0.7522123893805309 0.7693014608814703 0.4122697876825837 0.7413224732253669 1.0 0.7377646350814238 1.0 0.8356886986542981 0.5786780900435838 0.31011444206212047 0.5576319488863379 0.7522123893805309 0.5549556989550533 0.7522123893805309 0.628615392793056 False 0 0 False 1.5925925925925926 1.5066666666666666 0.7142357973972725 0.7444765160962888 0.44847364022619435 0.4701956943766035 0.8648860522297565 0.8605021947000097 1.0 0.5 1.0 1.0 1.0 1.0 2.0 2.0 3.0 4.0 0 0.0 0 0.0 1.251428082266252 0.28609593645323267 0.7857804237485768 0.45576387400445745 1.0096021947873797 0.3643638966025962 0.6339362618432384 0.5304995008447535 4.740487551109297 0.008734386687277723 0.7022944520161921 0.4954472187799268 4.0 0.01831563888873418 0.5925925925925926 0.5528920012788026 8.603939666093538 0.00018338190519037492 0.8003664805668408 0.4491643239543068 7.111111111111111 0.0008159878350721483 0.6614987080103358 0.5160773054232068 8 8 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 10.75 4.0970372570571385 0.38111974484252453 7.0 7.0 9.5 13.75 17.0 8 6.75 2.1213203435596424 0.31426968052735443 4.0 5.0 6.5 8.25 10.0 10.75 14.125 4.0970372570571385 5.514591035218685 0.38111974484252453 0.39041352461725204 7.0 7.0 7.0 9.75 9.5 13.5 13.75 19.25 17.0 21.0 0.21783672237831733 0.17918512952027751 0.1367811977724318 0.11892818330991871 0.9505949123574869 0.9586802980913575 1.4 1.3333333333333333 1.4214285714285715 1.3937499999999998 1.4722222222222223 1.4642857142857144 1.7125 1.625 2.0 1.8181818181818181
9 1 1 412.5536867000002 30.17816419999997 0.0 442.73185090000015 29.075339799999938 528.6201783000002 33.32503666249999 2.872116477635984 33.60834978666666 3.4011184846341256 1379.38671875 1412.078125 180 207 0.8695652173913043 0 86 132 0.7101449275362319 0.5701598484508605 0.1644800899331843 0.5492731986499768 0.8592431054962789 0.5479904676268792 0.8366890142490269 0.6516131101089222 0.40489612426220534 0.11680470154675408 0.3900635758528821 0.6101871328886619 0.389152650923436 0.5941704593942365 0.4627397448599593 False 0 0 False 2.0930232558139537 1.831858407079646 1.2041878588711996 1.278477111242203 0.575334199238462 0.6429767927884764 0.8225645486274497 0.8151227932257954 1.0 0.3333333333333333 1.0 1.0 1.0 1.0 3.0 3.0 4.0 5.0 0 0.0 0 0.0 4.704260867370642 0.0090566057774645 2.2475913032993065 0.1056534053256131 3.843428880475937 0.02142002856330196 1.8363049095607253 0.1594053564186039 8.891916355352665 0.0001374959143176375 1.6543100196004958 0.19122395097574538 7.705882352941177 0.00045017131261705884 1.4336525307797539 0.23843643340554566 22.58903950774253 1.5477641755677778e-10 2.007914622910447 0.13426838312865952 18.941176470588236 5.942259013371195e-09 1.6836601307189543 0.18569306978758876 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 16 5.375 2.0289570391377603 0.37748037937446705 3.0 4.0 5.0 7.25 9.0 11.25 12.9375 6.485882103975269 6.597663727916623 0.5765228536866907 0.5099643461191593 3.0 3.0 6.75 8.5 9.5 12.0 18.0 20.0 24.0 24.0 0.6905188436127966 0.6671259929739582 0.3299145586150028 0.3641798898843347 0.8821296466231625 0.8852578958064846 1.0 1.0 1.5625 1.46875 2.125 1.7840909090909092 2.5 2.291666666666667 3.0 3.0
