 RU AL GT ST OT TT LT CT WT WT_PA MET MET_PA RSS VMS LE AC CF PSG SIZE SGLITS_T QL_SCORE LT_SCORE CT_SCORE AW_SCORE AW_PA_SCORE AME_SCORE AME_PA_SCORE TI_SCORE LT_GRADE CT_GRADE AW_GRADE AW_PA_GRADE AME_GRADE AME_PA_GRADE GRADE HAS_TRAILING TOT_CHOICES PRE_CHOICES FGOALS_ORDER CP_EF_L CP_EF_A SP_ED_L SP_ED_A SP_EB_L SP_EB_A SP_EBS_L SP_EBS_A SP_MIN_L SP_MIN_A SP_LOWER_L SP_LOWER_A SP_MED_L SP_MED_A SP_UPPER_L SP_UPPER_A SP_MAX_L SP_MAX_A T_INTER_SP P_INTER_SP T_INTER_Q P_INTER_Q M_CHILD_RMSE M_CHILD_RMSE_SCORE M_CHILD_NRMSE M_CHILD_NRMSE_SCORE M_CHILD_MAE M_CHILD_MAE_SCORE M_CHILD_NMAE M_CHILD_NMAE_SCORE DIV_INDEX_RMSE DIV_INDEX_RMSE_SCORE DIV_INDEX_NRMSE DIV_INDEX_NRMSE_SCORE DIV_INDEX_MAE DIV_INDEX_MAE_SCORE DIV_INDEX_NMAE DIV_INDEX_NMAE_SCORE DIV_STEP_RMSE DIV_STEP_RMSE_SCORE DIV_STEP_NRMSE DIV_STEP_NRMSE_SCORE DIV_STEP_MAE DIV_STEP_MAE_SCORE DIV_STEP_NMAE DIV_STEP_NMAE_SCORE DS_T DIVS_T DS_TD_MEAN DS_TD_STD DS_TD_CD DS_TD_MIN DS_TD_LOWER DS_TD_MED DS_TD_UPPER DS_TD_MAX DS_TS_MEAN DS_TS_STD DS_TS_CD DS_TS_MIN DS_TS_LOWER DS_TS_MED DS_TS_UPPER DS_TS_MAX PR_T PR_TS_MEAN PR_TS_STD PR_TS_CD PR_TS_MIN PR_TS_LOWER PR_TS_MED PR_TS_UPPER PR_TS_MAX PP_LE_MEAN PP_AC_MEAN PP_LE_STD PP_AC_STD PP_LE_CD PP_AC_CD PP_LE_MIN PP_AC_MIN PP_LE_LOWER PP_AC_LOWER PP_LE_MED PP_AC_MED PP_LE_UPPER PP_AC_UPPER PP_LE_MAX PP_AC_MAX PP_ED_L PP_ED_A PP_EB_L PP_EB_A PP_EBS_L PP_EBS_A PP_EF_LE_MIN PP_EF_AC_MIN PP_EF_LE_LOWER PP_EF_AC_LOWER PP_EF_LE_MED PP_EF_AC_MED PP_EF_LE_UPPER PP_EF_AC_UPPER PP_EF_LE_MAX PP_EF_AC_MAX
0 0 4 1.3386034000000109 0.182368399999973 0.0 1.5209717999999839 1.5209717999999839 1.5209717999999839 1.5209717999999839 0.0724272285714278 0.0 0.0 563.22265625 564.84375 14 21 0.6666666666666666 21 1 0 0.9523809523809523 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 3 3.0 0.0 0.0 3.0 3.0 3.0 3.0 3.0 14.0 0.0 0.0 14.0 14.0 14.0 14.0 14.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 0 3 3.638144099999977 0.7592572000000928 0.0 4.39740130000007 3.293182799999954 5.9183731000000535 1.606395950000021 0.12826461873397546 1.0441336666667098 0.12192703333334234 591.27734375 590.7265625 30 47 0.6382978723404256 47 14 21 0.8936170212765957 1.0 0.9130846724668614 1.0 1.0 1.0 1.0 1.0 0.8936170212765957 0.8159480051831527 0.8936170212765957 0.8936170212765957 0.8936170212765957 0.8936170212765957 0.8936170212765957 False 0 0 False 2.142857142857143 2.238095238095238 1.6104057232283402 2.867015908532811 0.7515226708398921 1.056269018933141 0.636421062930741 0.4875127905103328 1.0 1.0 1.0 1.0 2.0 2.0 2.75 2.75 7.0 12.0 0 0.0 0 0.0 3.1879876577744857 0.04125480625259118 1.4877275736280933 0.225885380649785 2.4285714285714284 0.08816268936235745 1.1333333333333333 0.3219582715376759 0.5477225575051661 0.5782652777781269 0.15649215928719032 0.8551382225698401 0.4 0.6703200460356393 0.1142857142857143 0.8920030614530944 2.345207879911715 0.09582727949341142 0.31269438398822863 0.7314734284040388 1.6 0.20189651799465538 0.21333333333333335 0.8078867967299912 4 4 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 7.5 4.123105625617661 0.5497474167490214 4.0 4.0 7.0 10.5 12.0 4 3.5 0.5773502691896257 0.1649572197684645 3.0 3.0 3.5 4.0 4.0 7.5 11.75 4.123105625617661 6.238322424070967 0.5497474167490214 0.5309210573677419 4.0 6.0 4.0 7.5 7.0 10.5 10.5 14.75 12.0 20.0 1.3565683830083088 1.7802153427792566 0.6330652454038774 0.7954153659226466 0.6751845910171861 0.6125402905578323 1.0 1.0 1.25 1.375 1.9166666666666665 2.05 2.875 3.2 4.0 5.0
2 0 2 13.30928950000009 2.028774700000156 0.0 15.338064200000247 8.004079900000079 21.2564373000003 2.8746558250000263 0.321563060622018 2.141880957142876 0.32262660574619023 609.35546875 611.078125 59 74 0.7972972972972973 84 30 47 0.9054054054054054 0.814914808470816 0.6200161013040937 1.0 1.0 1.0 1.0 0.9383049361569387 0.7378282725343874 0.5613659295591118 0.9054054054054054 0.9054054054054054 0.9054054054054054 0.9054054054054054 0.8495463611150661 False 0 0 False 1.9666666666666666 1.574468085106383 1.376736103561817 0.8937844117641813 0.7000353068958393 0.5362706470585088 0.7454637104909358 0.8122493082048101 1.0 0.5 1.0 1.0 2.0 1.5 2.0 2.0 8.0 4.5 0 0.0 0 0.0 3.3597563844664347 0.03474372202420687 1.7083507039659838 0.18116433998039067 2.5366666666666675 0.07912972642387822 1.2898305084745767 0.2753174431088099 2.1666666666666665 0.11455884399268773 0.5777777777777777 0.5611439686474896 1.6666666666666667 0.18887560283756183 0.4444444444444445 0.6411803884299546 6.565376353771859 0.0014082938344597755 0.8902205225453368 0.41056520388489165 4.694444444444445 0.00914594703842787 0.6365348399246704 0.5291227460467921 8 8 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 7.375 5.2355242608275905 0.7099015946884868 3.0 3.0 6.0 10.25 17.0 8 3.75 1.9086270308410553 0.5089672082242814 2.0 2.0 3.5 5.25 6.0 7.375 9.25 5.2355242608275905 5.70087712549569 0.7099015946884868 0.6163110405941286 3.0 3.0 3.0 5.0 6.0 8.0 10.25 12.0 17.0 19.0 0.4579977126164549 0.23386422960014938 0.23288019285582454 0.14853538907036515 0.8891378469335415 0.9382126730051372 1.5 1.25 1.5 1.25 1.65 1.5357142857142856 1.875 1.6818181818181819 2.8333333333333335 1.8333333333333333
3 0 1 106.37501640000022 9.544782899999973 0.0 115.9197993000002 24.29758270000019 137.1762366000005 8.873562343750027 1.023219176375046 7.845294320000017 1.1459761368928427 651.91796875 660.24609375 127 142 0.8943661971830986 0 59 84 0.9084507042253521 0.5983610227682212 0.34738897135013425 0.7886977127246626 0.9969376847132166 0.8203131733135225 0.9818216219533951 0.8001652726783796 0.5435814925147925 0.3155857556631501 0.7164929925456442 0.9056687417465137 0.7452140799820028 0.8919365438872392 0.7269107054613448 False 0 0 False 2.152542372881356 1.9189189189189189 1.1863237815001826 1.2533933420106955 0.551126796130006 0.6061492391691068 0.8081632589491767 0.800752968359306 1.0 0.3333333333333333 1.0 1.0 3.0 2.0 3.0 3.0 4.0 4.0 0 0.0 0 0.0 4.689068132799545 0.009195250917744917 2.1783859829541194 0.11322412891652123 3.7655846021258266 0.023154072358048065 1.7493660750033366 0.17388413802082323 6.399534679775324 0.001662330609288113 1.7354670318034777 0.17631783501776352 4.875 0.007635094218859962 1.3220338983050848 0.2665925280884979 14.075884153611181 7.707635780901333e-07 1.7733397358880227 0.16976507050618334 11.705882352941176 8.245175199961521e-06 1.474756831866605 0.22883436550571468 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 16 3.6875 2.574716812907133 0.6982282882460022 1.0 1.75 3.0 5.0 9.0 7.9375 8.875 6.329494450586082 6.510248331157063 0.7974166236958843 0.7335491077360071 1.0 1.0 2.0 3.0 7.5 8.0 14.0 15.25 17.0 18.0 0.8162752392445233 0.7506652024527775 0.37921448122383367 0.39119172522186996 0.8536401344279206 0.8626632277199496 1.0 1.0 1.0 1.0 2.0625 1.8125 2.7625 2.5 3.0 3.0
4 1 4 1.3418903000000455 0.17220519999978023 0.0 1.5140954999998257 1.5140954999998257 1.5140954999998257 1.5140954999998257 0.07209978571427741 0.0 0.0 590.5078125 590.03515625 14 21 0.6666666666666666 21 1 0 0.9523809523809523 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 3 3.0 0.0 0.0 3.0 3.0 3.0 3.0 3.0 14.0 0.0 0.0 14.0 14.0 14.0 14.0 14.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5 1 3 3.646903699999939 0.6928565000004028 0.0 4.339760200000342 3.347120400000108 5.853855700000167 1.6079505250000352 0.12725242519231222 1.0282272333333442 0.12036268805555482 632.1953125 634.09375 30 47 0.6382978723404256 47 14 21 0.8936170212765957 1.0 0.9176486987837967 1.0 1.0 1.0 1.0 1.0 0.8936170212765957 0.8200264967855204 0.8936170212765957 0.8936170212765957 0.8936170212765957 0.8936170212765957 0.8936170212765957 False 0 0 False 2.142857142857143 2.238095238095238 1.6104057232283402 2.893721889474932 0.7515226708398921 1.066108064543396 0.636421062930741 0.48490490567355027 1.0 1.0 1.0 1.0 2.0 2.0 2.75 3.0 7.0 12.0 0 0.0 0 0.0 3.1879876577744857 0.04125480625259118 1.4877275736280933 0.225885380649785 2.4285714285714284 0.08816268936235745 1.1333333333333333 0.3219582715376759 0.5477225575051661 0.5782652777781269 0.15649215928719032 0.8551382225698401 0.4 0.6703200460356393 0.1142857142857143 0.8920030614530944 2.345207879911715 0.09582727949341142 0.31269438398822863 0.7314734284040388 1.6 0.20189651799465538 0.21333333333333335 0.8078867967299912 4 4 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 7.5 4.123105625617661 0.5497474167490214 4.0 4.0 7.0 10.5 12.0 4 3.5 0.5773502691896257 0.1649572197684645 3.0 3.0 3.5 4.0 4.0 7.5 11.75 4.123105625617661 6.238322424070967 0.5497474167490214 0.5309210573677419 4.0 6.0 4.0 7.5 7.0 10.5 10.5 14.75 12.0 20.0 1.3565683830083088 1.7802153427792566 0.6330652454038774 0.7954153659226466 0.6751845910171861 0.6125402905578323 1.0 1.0 1.25 1.375 1.9166666666666665 2.05 2.875 3.2 4.0 5.0
6 1 2 13.806855900000073 2.09119069999997 0.0 15.898046600000043 7.93977440000026 21.75190230000021 2.94573390000005 0.32246075265075375 2.232299542857163 0.3102329149815002 653.27734375 657.1796875 61 76 0.8026315789473685 86 30 47 0.881578947368421 0.8170748061911612 0.6162395323053441 1.0 1.0 1.0 1.0 0.9390249353970538 0.7203159475632606 0.5432637982165534 0.881578947368421 0.881578947368421 0.881578947368421 0.881578947368421 0.8278246141000342 False 0 0 False 2.033333333333333 1.6170212765957446 1.376736103561817 0.9166405429924379 0.6770833296205658 0.5288310824956373 0.7454637104909358 0.8087220871647107 1.0 0.5 1.0 1.0 2.0 1.5 2.0 2.0 8.0 4.5 0 0.0 0 0.0 3.8521518757798323 0.021233994322261106 1.8945009225146718 0.15039337426668914 3.052222222222225 0.04725379918598316 1.5010928961748649 0.2228864352571665 2.1666666666666665 0.11455884399268773 0.5777777777777777 0.5611439686474896 1.6666666666666667 0.18887560283756183 0.4444444444444445 0.6411803884299546 7.109754644930521 0.0008170954460227603 0.9324268386794126 0.3935973530979529 5.083333333333333 0.006199210502576996 0.6666666666666666 0.513417119032592 8 8 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 7.625 5.475595205741825 0.7181108466546655 3.0 3.0 6.0 10.75 17.0 8 3.75 1.9086270308410553 0.5089672082242814 2.0 2.0 3.5 5.25 6.0 7.625 9.5 5.475595205741825 6.0 0.7181108466546655 0.631578947368421 3.0 4.0 3.0 4.75 6.0 8.0 10.75 12.5 17.0 19.0 0.475427960927569 0.26599071093775223 0.23381702996437823 0.16449425544834678 0.8856437756869887 0.9306553075588176 1.5 1.25 1.5 1.3125 1.65 1.4523809523809523 2.0416666666666665 1.753787878787879 2.8333333333333335 1.8888888888888888
7 1 1 113.94773200000031 11.180208599999332 0.0 125.12794059999965 24.223338600000147 146.87984289999986 9.474903075 1.147739274392322 8.49167403999999 1.2700889557857984 702.63671875 717.00390625 135 150 0.9 0 61 86 0.86 0.598849911557809 0.3380059701150637 0.7731752306800556 0.981616518160226 0.7995841420232815 0.9681027811286629 0.7888456115699178 0.5150109239397157 0.2906851342989548 0.6649306983848478 0.8441902056177943 0.6876423621400222 0.8325683917706501 0.6784072259501294 False 0 0 False 2.2131147540983607 1.9736842105263157 1.1848312692582104 1.2473651647695272 0.5353682031463024 0.5860534663743863 0.8098850441339269 0.8030203506868393 1.0 0.3333333333333333 1.0 1.0 3.0 2.0 3.0 3.0 4.0 4.0 0 0.0 0 0.0 4.028219458042221 0.017806006085885943 1.8201584217820406 0.16200008455879147 3.197258801397473 0.040874094562039706 1.4446873102610804 0.23581980346121575 6.949793691394096 0.0009588329487788614 1.8228967059394352 0.16155708909428437 5.242647058823529 0.005286245297111172 1.3751205400192863 0.2528091203517846 16.092277559712407 1.0261542650504255e-07 1.9072328959659148 0.1484907078695916 12.948529411764707 2.379715984216288e-06 1.534640522875817 0.2155331564846627 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 16 3.8125 2.688710967483613 0.7052356636022592 1.0 1.75 3.0 5.25 9.0 8.4375 9.375 6.801654210557899 7.1449282711585 0.8061219805105658 0.7621256822569067 1.0 1.0 2.0 3.0 8.0 8.5 14.25 16.0 18.0 20.0 0.8319077907593802 0.7252763635282025 0.3758990758246088 0.36747335752095595 0.8527422751386157 0.8673305806959815 1.0 1.0 1.0 1.0 2.2625 2.0 2.7625 2.38125 3.0 3.0
8 2 4 1.3392148000003772 0.17551990000015394 0.0 1.5147347000005311 1.5147347000005311 1.5147347000005311 1.5147347000005311 0.0721302238095491 0.0 0.0 635.28515625 636.04296875 14 21 0.6666666666666666 21 1 0 0.9523809523809523 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 3 3.0 0.0 0.0 3.0 3.0 3.0 3.0 3.0 14.0 0.0 0.0 14.0 14.0 14.0 14.0 14.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9 2 3 3.6381588999997803 0.9533278000001246 0.0 4.591486699999905 3.385265400000435 6.106221400000436 1.6537207750000391 0.13230976325320304 1.0765392333332404 0.12561272777777094 670.3515625 671.4375 30 47 0.6382978723404256 47 14 21 0.8936170212765957 1.0 0.9006215238380049 1.0 1.0 1.0 1.0 1.0 0.8936170212765957 0.8048107234297064 0.8936170212765957 0.8936170212765957 0.8936170212765957 0.8936170212765957 0.8936170212765957 False 0 0 False 2.142857142857143 2.238095238095238 1.6104057232283402 2.867015908532811 0.7515226708398921 1.056269018933141 0.636421062930741 0.4875127905103328 1.0 1.0 1.0 1.0 2.0 2.0 2.75 2.75 7.0 12.0 0 0.0 0 0.0 3.1879876577744857 0.04125480625259118 1.4877275736280933 0.225885380649785 2.4285714285714284 0.08816268936235745 1.1333333333333333 0.3219582715376759 0.5477225575051661 0.5782652777781269 0.15649215928719032 0.8551382225698401 0.4 0.6703200460356393 0.1142857142857143 0.8920030614530944 2.345207879911715 0.09582727949341142 0.31269438398822863 0.7314734284040388 1.6 0.20189651799465538 0.21333333333333335 0.8078867967299912 4 4 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 7.5 4.123105625617661 0.5497474167490214 4.0 4.0 7.0 10.5 12.0 4 3.5 0.5773502691896257 0.1649572197684645 3.0 3.0 3.5 4.0 4.0 7.5 11.75 4.123105625617661 6.238322424070967 0.5497474167490214 0.5309210573677419 4.0 6.0 4.0 7.5 7.0 10.5 10.5 14.75 12.0 20.0 1.3565683830083088 1.7802153427792566 0.6330652454038774 0.7954153659226466 0.6751845910171861 0.6125402905578323 1.0 1.0 1.25 1.375 1.9166666666666665 2.05 2.875 3.2 4.0 5.0
