 RU AL GT ST OT TT LT CT WT WT_PA MET MET_PA RSS VMS LE AC CF PSG SIZE SGLITS_T QL_SCORE LT_SCORE CT_SCORE AW_SCORE AW_PA_SCORE AME_SCORE AME_PA_SCORE TI_SCORE LT_GRADE CT_GRADE AW_GRADE AW_PA_GRADE AME_GRADE AME_PA_GRADE GRADE HAS_TRAILING TOT_CHOICES PRE_CHOICES FGOALS_ORDER CP_EF_L CP_EF_A SP_ED_L SP_ED_A SP_EB_L SP_EB_A SP_EBS_L SP_EBS_A SP_MIN_L SP_MIN_A SP_LOWER_L SP_LOWER_A SP_MED_L SP_MED_A SP_UPPER_L SP_UPPER_A SP_MAX_L SP_MAX_A T_INTER_SP P_INTER_SP T_INTER_Q P_INTER_Q M_CHILD_RMSE M_CHILD_RMSE_SCORE M_CHILD_NRMSE M_CHILD_NRMSE_SCORE M_CHILD_MAE M_CHILD_MAE_SCORE M_CHILD_NMAE M_CHILD_NMAE_SCORE DIV_INDEX_RMSE DIV_INDEX_RMSE_SCORE DIV_INDEX_NRMSE DIV_INDEX_NRMSE_SCORE DIV_INDEX_MAE DIV_INDEX_MAE_SCORE DIV_INDEX_NMAE DIV_INDEX_NMAE_SCORE DIV_STEP_RMSE DIV_STEP_RMSE_SCORE DIV_STEP_NRMSE DIV_STEP_NRMSE_SCORE DIV_STEP_MAE DIV_STEP_MAE_SCORE DIV_STEP_NMAE DIV_STEP_NMAE_SCORE DS_T DIVS_T DS_TD_MEAN DS_TD_STD DS_TD_CD DS_TD_MIN DS_TD_LOWER DS_TD_MED DS_TD_UPPER DS_TD_MAX DS_TS_MEAN DS_TS_STD DS_TS_CD DS_TS_MIN DS_TS_LOWER DS_TS_MED DS_TS_UPPER DS_TS_MAX PR_T PR_TS_MEAN PR_TS_STD PR_TS_CD PR_TS_MIN PR_TS_LOWER PR_TS_MED PR_TS_UPPER PR_TS_MAX PP_LE_MEAN PP_AC_MEAN PP_LE_STD PP_AC_STD PP_LE_CD PP_AC_CD PP_LE_MIN PP_AC_MIN PP_LE_LOWER PP_AC_LOWER PP_LE_MED PP_AC_MED PP_LE_UPPER PP_AC_UPPER PP_LE_MAX PP_AC_MAX PP_ED_L PP_ED_A PP_EB_L PP_EB_A PP_EBS_L PP_EBS_A PP_EF_LE_MIN PP_EF_AC_MIN PP_EF_LE_LOWER PP_EF_AC_LOWER PP_EF_LE_MED PP_EF_AC_MED PP_EF_LE_UPPER PP_EF_AC_UPPER PP_EF_LE_MAX PP_EF_AC_MAX
0 0 4 0.5240447000000046 0.0486742999999592 0.0 0.5727189999999638 0.5727189999999638 0.5727189999999638 0.5727189999999638 0.04405530769230491 0.0 0.0 238.046875 226.359375 9 13 0.6923076923076923 22 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 3 3.0 0.0 0.0 3.0 3.0 3.0 3.0 3.0 9.0 0.0 0.0 9.0 9.0 9.0 9.0 9.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 0 3 1.5842699000000096 0.1402663000000075 0.0 1.724536200000017 0.8001444999999592 2.297255199999981 0.5961195999999909 0.12912659166666146 0.5281113000000014 0.15766113333333542 244.5703125 233.55859375 17 24 0.7083333333333334 24 9 22 0.8333333333333334 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.8333333333333334 0.8333333333333334 0.8333333333333334 0.8333333333333334 0.8333333333333334 0.8333333333333334 0.8333333333333334 False 0 0 False 1.8888888888888888 1.8461538461538463 1.1666666666666667 0.46955948623269356 0.6176470588235294 0.4226035376094242 0.6481061170493323 0.8247959309111251 1.0 0.5 1.0 1.0 1.0 1.0 3.0 1.25 4.0 2.0 0 0.0 0 0.0 1.9040783605965854 0.14895986665952782 1.0080414850217216 0.3649330068867456 1.6666666666666663 0.1888756028375619 0.8823529411764705 0.41380809917737016 0.4183300132670378 0.6581449960016927 0.18592445034090568 0.8303363242385458 0.3 0.7408182206817179 0.13333333333333333 0.8751733190429475 2.252776065213762 0.10510703519701382 0.5300649565208851 0.5885667371890874 1.7 0.18268352405273466 0.39999999999999997 0.6703200460356393 4 4 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 4.25 2.6299556396765835 0.6188130916886079 2.0 2.75 3.5 5.0 8.0 4 2.25 0.5 0.2222222222222222 2.0 2.0 2.0 2.25 3.0 4.25 6.0 2.6299556396765835 4.242640687119285 0.6188130916886079 0.7071067811865475 2.0 3.0 2.75 3.0 3.5 4.5 5.0 7.5 8.0 12.0 0.7120003121097942 0.6075908711186061 0.3769413417051852 0.32911172185591164 0.7552992690995266 0.7839380143950965 1.0 1.0 1.375 1.375 1.75 1.75 2.1666666666666665 2.1 2.6666666666666665 2.4
2 0 2 5.720211699999993 0.612871800000022 0.0 6.333083500000015 1.7339194999999705 8.630338699999996 1.116475624999996 0.17009582659970116 1.028269357142857 0.24480609265305822 263.671875 253.52734375 49 60 0.8166666666666667 60 17 24 0.7 1.0 0.7955277910197277 1.0 1.0 1.0 1.0 1.0 0.7 0.5568694537138094 0.7 0.7 0.7 0.7 0.7 False 0 0 False 2.8823529411764706 2.5 2.891417319870492 2.6346112560657287 1.0031447844448647 0.9631912118949976 0.5204125931063992 0.5445093595624741 1.0 0.5 1.0 1.0 2.0 2.0 3.0 3.0 10.0 10.0 0 0.0 0 0.0 4.704043758476413 0.009058572260593076 1.6320151815122248 0.19553513803507305 3.948096885813149 0.019291380562388796 1.3697478991596639 0.2541710282063802 2.331844763272204 0.09711642492308867 1.097338712128096 0.3337581292943382 1.9444444444444444 0.1430666827544082 0.9150326797385621 0.400503537526055 4.313254764869178 0.013389897625939616 0.7042048595704781 0.49450161620116834 3.1666666666666665 0.042143843509276406 0.5170068027210885 0.5963027311389592 8 18 2.25 1.164964745021435 0.5177621088984156 0.0 1.75 3.0 3.0 3.0 6.125 4.257346591481601 0.6950769945276083 1.0 2.75 6.0 8.0 13.0 8 2.125 1.246423454758225 0.5865522140038706 1.0 1.0 2.0 2.5 4.0 6.125 7.5 4.257346591481601 4.898979485566356 0.6950769945276083 0.6531972647421808 1.0 1.0 2.75 4.0 6.0 6.5 8.0 10.5 13.0 16.0 2.116052591839005 1.9436506316151 0.7341406951278181 0.77746025264604 0.5988417150979535 0.6189307364504577 1.0 1.0 1.6875 1.5833333333333335 2.25 2.333333333333333 3.8125 3.25 7.0 7.0
3 0 1 16.319473400000064 1.1458935999999795 0.0 17.465367000000043 2.165035999999958 26.09570570000004 1.053958823076924 0.3255251284569593 1.0095157360000024 0.3611754081761911 259.16015625 247.46875 84 98 0.8571428571428571 0 49 60 0.6836734693877551 1.0 0.5870367612376545 1.0 1.0 1.0 1.0 1.0 0.6836734693877551 0.40134145921349845 0.6836734693877551 0.6836734693877551 0.6836734693877551 0.6836734693877551 0.6836734693877551 False 0 0 False 1.7142857142857142 1.6333333333333333 0.9574271077563381 0.9509662111210248 0.5584991461911972 0.5614137872883158 0.8274249941348502 0.8282745112700547 1.0 0.5 1.0 1.0 1.0 1.0 2.0 2.0 5.0 5.0 0 0.0 0 0.0 2.478478796128208 0.08387071305382877 1.445779297741455 0.23556243173713695 2.0087463556851297 0.134156754142986 1.1717687074829923 0.30981847811241775 3.1243232885532195 0.04396667631180063 1.657804193926198 0.19055694714824598 2.4230769230769225 0.08864843298192987 1.2857142857142854 0.2764530466295645 7.642473906230066 0.00047964039772867295 2.3655276376426393 0.09389974225661758 6.037037037037039 0.0023886258488355454 1.8686067019400359 0.15433855168218702 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 26 1.8846153846153846 0.9089300556994725 0.4822894173099242 1.0 1.0 2.0 2.75 4.0 3.230769230769231 3.769230769230769 2.141171498179299 2.470751987678121 0.6627435589602593 0.6555056293839913 1.0 1.0 2.0 2.0 3.0 3.0 4.0 4.75 8.0 10.0 0.9115826380438068 0.8460125173348084 0.5317565388588873 0.5179668473478419 0.8335145367389999 0.8424829848532918 1.0 1.0 1.0 1.0 1.5 1.3333333333333333 2.0 2.0 5.0 4.5
4 1 4 0.5230289999999513 0.050009800000012206 0.0 0.5730387999999635 0.5730387999999635 0.5730387999999635 0.5730387999999635 0.04407990769230489 0.0 0.0 241.98046875 230.88671875 9 13 0.6923076923076923 22 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 3 3.0 0.0 0.0 3.0 3.0 3.0 3.0 3.0 9.0 0.0 0.0 9.0 9.0 9.0 9.0 9.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5 1 3 1.871726499999994 0.17947009999998897 0.0 2.051196599999983 0.8002629999999726 2.6242353999999466 0.6778418749999915 0.12090204062499736 0.6370348333333311 0.11642591111110986 253.8984375 242.3828125 20 29 0.6896551724137931 29 9 22 0.6896551724137931 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.6896551724137931 0.6896551724137931 0.6896551724137931 0.6896551724137931 0.6896551724137931 0.6896551724137931 0.6896551724137931 False 0 0 False 2.2222222222222223 2.230769230769231 1.3944333775567925 1.0231690964840563 0.6274950199005566 0.6821127309893709 0.602613849168131 0.6792930732013166 1.0 0.5 1.0 1.0 2.0 1.0 3.0 1.25 5.0 3.5 0 0.0 0 0.0 2.1072088691221373 0.12157683015156613 0.9482439911049617 0.38742074075191085 1.7654320987654322 0.17111283286462717 0.7944444444444444 0.45183218308780737 0.4183300132670378 0.6581449960016927 0.18592445034090568 0.8303363242385458 0.3 0.7408182206817179 0.13333333333333333 0.8751733190429475 2.8635642126552705 0.05706500555364044 0.5727128425310541 0.5639933363528713 2.2 0.11080315836233387 0.44000000000000006 0.6440364210831413 4 4 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 5.0 2.943920288775949 0.5887840577551897 2.0 3.5 4.5 6.0 9.0 4 2.25 0.5 0.2222222222222222 2.0 2.0 2.0 2.25 3.0 5.0 7.25 2.943920288775949 3.774917217635375 0.5887840577551897 0.5206782369152241 2.0 3.0 3.5 5.25 4.5 7.0 6.0 9.0 9.0 12.0 0.8539125638299665 0.8819171036881968 0.3842606537234849 0.39534214992919164 0.7190554340354819 0.7122319676420147 1.0 1.0 1.75 1.75 2.25 2.333333333333333 2.625 2.75 3.0 3.0
6 1 2 6.19726399999999 0.53401049999988 0.0 6.73127449999987 1.6891033999999365 9.355509899999817 1.2074712874999847 0.15847648736783856 1.1386666999999915 0.17072927717599778 259.96875 248.36328125 54 72 0.75 72 20 29 0.5833333333333334 1.0 0.7761167996455666 1.0 1.0 1.0 1.0 1.0 0.5833333333333334 0.4527347997932472 0.5833333333333334 0.5833333333333334 0.5833333333333334 0.5833333333333334 0.5833333333333334 False 0 0 False 2.7 2.4827586206896552 2.1788456625132104 2.2270762045903667 0.8069798750048927 0.8172756714093089 0.6139447633916215 0.6089181473861544 1.0 1.0 1.0 1.375 2.0 2.0 3.0 3.125 9.0 10.0 0 0.0 0 0.0 6.271762112835592 0.0018888971989350928 2.322874856605775 0.09799146885451779 5.6999999999999975 0.003345965457471281 2.1111111111111103 0.12110333239232983 3.018461712712472 0.04887634642529266 1.2073846850849888 0.2989781799276507 2.5555555555555554 0.0776490817034759 1.0222222222222221 0.3597945077825237 2.91070819942883 0.05443716384624101 0.43121602954501187 0.6497185372128972 2.1666666666666665 0.11455884399268773 0.32098765432098764 0.7254322068880292 8 21 2.625 0.7440238091428449 0.28343764157822665 1.0 2.75 3.0 3.0 3.0 6.75 3.011881234615431 0.4462046273504342 2.0 5.25 7.5 8.25 11.0 8 2.5 1.4142135623730951 0.565685424949238 1.0 1.75 2.0 3.25 5.0 6.75 9.0 3.011881234615431 3.625307868699863 0.4462046273504342 0.40281198541109586 2.0 4.0 5.25 6.25 7.5 10.0 8.25 12.0 11.0 13.0 1.9922070396645246 1.8241273190735552 0.737854459135009 0.734717947960182 0.6341424548707215 0.6534405252306414 1.5 1.3333333333333333 1.95 1.9583333333333333 2.333333333333333 2.3 3.625 3.25 7.0 7.0
7 1 1 18.340181100000038 1.1730021999999707 0.0 19.51318330000001 2.1200599999999525 28.868693199999825 1.0467307965517239 0.31601864289122605 1.0083976107142871 0.3292075200605547 261.12109375 250.359375 96 120 0.8 0 54 72 0.5583333333333333 1.0 0.5712638612046492 1.0 1.0 1.0 1.0 1.0 0.5583333333333333 0.3189556558392625 0.5583333333333333 0.5583333333333333 0.5583333333333333 0.5583333333333333 0.5583333333333333 False 0 0 False 1.7777777777777777 1.6666666666666667 0.9450300318012594 0.8556242995606205 0.5315793928882084 0.4994995910948487 0.8332213391429835 0.8450178837892023 1.0 1.0 1.0 1.0 2.0 1.5 2.0 2.0 5.0 4.5 0 0.0 0 0.0 2.5018511664883762 0.08193318618365157 1.4072912811497118 0.24480549513482838 1.9588477366255124 0.14102082046601602 1.1018518518518507 0.3322552261797481 1.6688491457481605 0.18846383528584312 0.8962338004943825 0.40810376926001996 1.4425287356321834 0.23632938789610983 0.7746913580246911 0.4608459954695142 5.19493564174178 0.005544573142579572 1.569303475109496 0.20819014148284065 4.366666666666666 0.012693481732727684 1.3190972222222221 0.26737657467155707 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 29 1.8620689655172413 0.6394270834691721 0.34339602630751836 1.0 1.0 2.0 2.0 3.0 3.310344827586207 4.137931034482759 1.6058697749164306 2.3410031111688987 0.48510649450600507 0.5657424185324839 1.0 1.0 2.0 3.0 3.0 4.0 4.0 5.0 7.0 11.0 0.8266149541535125 0.7472976310117799 0.4649709117113508 0.4483785786070679 0.848967933917907 0.8600971131876937 1.0 1.0 1.0 1.0 2.0 1.5 2.0 2.0 5.0 4.5
8 2 4 0.5241102000000524 0.12735670000003552 0.0 0.6514669000000879 0.6514669000000879 0.6514669000000879 0.6514669000000879 0.050112838461545225 0.0 0.0 256.97265625 245.390625 9 13 0.6923076923076923 22 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 3 3.0 0.0 0.0 3.0 3.0 3.0 3.0 3.0 9.0 0.0 0.0 9.0 9.0 9.0 9.0 9.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9 2 3 1.461318399999982 0.20725259999997547 0.0 1.6685709999999574 0.8788429000001088 2.3200379000000453 0.6019094750000207 0.13138105104167477 0.5095983333333246 0.10045913611111087 280.05859375 268.53515625 16 23 0.6956521739130435 23 9 22 0.8695652173913043 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.8695652173913043 0.8695652173913043 0.8695652173913043 0.8695652173913043 0.8695652173913043 0.8695652173913043 0.8695652173913043 False 0 0 False 1.7777777777777777 1.7692307692307692 0.97182531580755 0.46770717334674267 0.5466517401417469 0.43172969847391635 0.6909921375300466 0.8253699503202199 1.0 0.5 1.0 1.0 1.0 1.0 3.0 1.25 3.0 2.0 0 0.0 0 0.0 1.1312980999482414 0.32261419901685395 0.6363551812208859 0.5292178160933148 0.8765432098765429 0.41621921021511193 0.4930555555555554 0.6107573371601646 0.4183300132670378 0.6581449960016927 0.18592445034090568 0.8303363242385458 0.3 0.7408182206817179 0.13333333333333333 0.8751733190429475 1.3416407864998738 0.2614163880174534 0.33541019662496846 0.7150447172574466 1.0 0.36787944117144233 0.25 0.7788007830714049 4 4 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 4.0 1.4142135623730951 0.3535533905932738 2.0 3.5 4.5 5.0 5.0 4 2.25 0.5 0.2222222222222222 2.0 2.0 2.0 2.25 3.0 4.0 5.75 1.4142135623730951 2.0615528128088303 0.3535533905932738 0.35853092396675307 2.0 3.0 3.5 5.25 4.5 6.0 5.0 6.5 5.0 8.0 0.6291528696058959 0.7120003121097942 0.35389848915331645 0.40243495901857934 0.7778742451465277 0.7552992690995266 1.0 1.0 1.5 1.375 1.8333333333333335 1.75 2.125 2.1666666666666665 2.5 2.6666666666666665
