 RU AL GT ST OT TT LT CT WT WT_PA MET MET_PA RSS VMS LE AC CF PSG SIZE SGLITS_T QL_SCORE LT_SCORE CT_SCORE AW_SCORE AW_PA_SCORE AME_SCORE AME_PA_SCORE TI_SCORE LT_GRADE CT_GRADE AW_GRADE AW_PA_GRADE AME_GRADE AME_PA_GRADE GRADE HAS_TRAILING TOT_CHOICES PRE_CHOICES FGOALS_ORDER CP_EF_L CP_EF_A SP_ED_L SP_ED_A SP_EB_L SP_EB_A SP_EBS_L SP_EBS_A SP_MIN_L SP_MIN_A SP_LOWER_L SP_LOWER_A SP_MED_L SP_MED_A SP_UPPER_L SP_UPPER_A SP_MAX_L SP_MAX_A T_INTER_SP P_INTER_SP T_INTER_Q P_INTER_Q M_CHILD_RMSE M_CHILD_RMSE_SCORE M_CHILD_NRMSE M_CHILD_NRMSE_SCORE M_CHILD_MAE M_CHILD_MAE_SCORE M_CHILD_NMAE M_CHILD_NMAE_SCORE DIV_INDEX_RMSE DIV_INDEX_RMSE_SCORE DIV_INDEX_NRMSE DIV_INDEX_NRMSE_SCORE DIV_INDEX_MAE DIV_INDEX_MAE_SCORE DIV_INDEX_NMAE DIV_INDEX_NMAE_SCORE DIV_STEP_RMSE DIV_STEP_RMSE_SCORE DIV_STEP_NRMSE DIV_STEP_NRMSE_SCORE DIV_STEP_MAE DIV_STEP_MAE_SCORE DIV_STEP_NMAE DIV_STEP_NMAE_SCORE DS_T DIVS_T DS_TD_MEAN DS_TD_STD DS_TD_CD DS_TD_MIN DS_TD_LOWER DS_TD_MED DS_TD_UPPER DS_TD_MAX DS_TS_MEAN DS_TS_STD DS_TS_CD DS_TS_MIN DS_TS_LOWER DS_TS_MED DS_TS_UPPER DS_TS_MAX PR_T PR_TS_MEAN PR_TS_STD PR_TS_CD PR_TS_MIN PR_TS_LOWER PR_TS_MED PR_TS_UPPER PR_TS_MAX PP_LE_MEAN PP_AC_MEAN PP_LE_STD PP_AC_STD PP_LE_CD PP_AC_CD PP_LE_MIN PP_AC_MIN PP_LE_LOWER PP_AC_LOWER PP_LE_MED PP_AC_MED PP_LE_UPPER PP_AC_UPPER PP_LE_MAX PP_AC_MAX PP_ED_L PP_ED_A PP_EB_L PP_EB_A PP_EBS_L PP_EBS_A PP_EF_LE_MIN PP_EF_AC_MIN PP_EF_LE_LOWER PP_EF_AC_LOWER PP_EF_LE_MED PP_EF_AC_MED PP_EF_LE_UPPER PP_EF_AC_UPPER PP_EF_LE_MAX PP_EF_AC_MAX
0 0 4 0.6476622000000134 0.13518319999998596 0.0 0.7828453999999994 0.7828453999999994 0.7828453999999994 0.7828453999999994 0.060218876923076876 0.0 0.0 224.46484375 212.92578125 13 13 1.0 22 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 6 6.0 0.0 0.0 6.0 6.0 6.0 6.0 6.0 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 0 3 1.739891999999955 0.21507340000002984 0.0 1.9549653999999848 0.8961655999999962 2.737810799999984 0.4169645857142835 0.1987860480952383 0.3370977499999981 0.13330373499999865 230.56640625 218.86328125 26 26 1.0 26 13 22 0.7692307692307693 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.7692307692307693 0.7692307692307693 0.7692307692307693 0.7692307692307693 0.7692307692307693 0.7692307692307693 0.7692307692307693 False 0 0 False 2.0 2.0 1.0 0.6650621717611762 0.5 0.5403630145559556 0.7297618455726802 0.8012192865916962 1.0 0.5 1.0 1.0 2.0 1.0 3.0 1.5 3.0 3.0 0 0.0 0 0.0 2.336993466302048 0.09661768632207318 1.168496733151024 0.31083385646044603 2.076923076923077 0.12531520484413722 1.0384615384615385 0.35399887689671733 0.4818120558297158 0.617663137042309 0.2594372608313854 0.7714856088413483 0.37500000000000006 0.6872892787909721 0.20192307692307696 0.8171577838157348 2.982089392164015 0.05068681850822885 0.8028702209672347 0.4480411397575755 2.5 0.0820849986238988 0.673076923076923 0.510136509661528 7 7 1.0 1.0 1.0 0.0 0.0 1.0 2.0 2.0 3.7142857142857144 2.0586634591635513 0.5542555466978791 1.0 2.0 4.0 5.5 6.0 7 1.8571428571428572 0.3779644730092272 0.2035193316203531 1.0 2.0 2.0 2.0 2.0 3.7142857142857144 3.7142857142857144 2.0586634591635513 2.0586634591635513 0.5542555466978791 0.5542555466978791 1.0 1.0 2.0 2.0 4.0 4.0 5.5 5.5 6.0 6.0 0.9322272357358043 0.9322272357358043 0.4661136178679022 0.4661136178679022 0.7432022024924663 0.7432022024924663 1.0 1.0 1.0 1.0 2.0 2.0 2.75 2.75 3.0 3.0
2 0 2 3.949164799999984 0.49309720000000823 0.0 4.442261999999992 1.498197399999988 7.1800727999999765 0.5608168142857133 0.16211328523809485 0.4887106153846152 0.1626468191575109 232.78515625 222.2265625 52 52 1.0 52 26 26 0.8076923076923077 1.0 0.8456543771920675 1.0 1.0 1.0 1.0 1.0 0.8076923076923077 0.6830285354243623 0.8076923076923077 0.8076923076923077 0.8076923076923077 0.8076923076923077 0.8076923076923077 False 0 0 False 2.0 2.0 1.833030277982336 1.833030277982336 0.916515138991168 0.916515138991168 0.680381813048514 0.680381813048514 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 8.0 8.0 0 0.0 0 0.0 7.288030228764464 0.0006836734075134484 3.644015114382232 0.026147149127838935 6.576923076923077 0.0013921261768026463 3.2884615384615383 0.037311207120684885 0.8783100656536801 0.4154844601887962 0.4729361891981354 0.6231698348758289 0.7333333333333336 0.48030530108979924 0.394871794871795 0.6737664140213947 5.5677643628300215 0.003819008813913635 1.4990134823003904 0.22335039061349785 4.733333333333333 0.008797098451105509 1.2743589743589743 0.2796101480602338 14 14 1.0 1.3008872711759818 1.3008872711759818 0.0 0.0 0.5 1.75 4.0 3.7142857142857144 2.5246042013801637 0.6797011311408133 2.0 2.0 2.5 5.25 10.0 14 1.8571428571428572 0.36313651960128146 0.19553504901607463 1.0 2.0 2.0 2.0 2.0 3.7142857142857144 3.7142857142857144 2.5246042013801637 2.5246042013801637 0.6797011311408133 0.6797011311408133 2.0 2.0 2.0 2.0 2.5 2.5 5.25 5.25 10.0 10.0 1.8039182018930011 1.8039182018930011 0.9019591009465006 0.9019591009465006 0.6835521032665646 0.6835521032665646 1.0 1.0 1.0 1.0 1.5 1.5 2.75 2.75 7.0 7.0
3 0 1 8.442993599999959 0.9629692999999477 0.0 9.405962899999906 1.7765183999999863 16.586035699999883 0.652679221428569 0.24995968077380892 0.6110555481481462 0.2688380825925912 232.57421875 221.68359375 79 79 1.0 0 52 52 0.8481012658227848 1.0 0.6621207725143776 1.0 1.0 1.0 1.0 1.0 0.8481012658227848 0.5615454652970038 0.8481012658227848 0.8481012658227848 0.8481012658227848 0.8481012658227848 0.8481012658227848 False 0 0 False 1.5192307692307692 1.5192307692307692 0.6998707055770279 0.6998707055770279 0.46067438848108166 0.46067438848108166 0.8657252676842332 0.8657252676842332 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 4.0 4.0 0 0.0 0 0.0 1.5073169666230872 0.2215034826439384 0.9921580033468422 0.37077569186949055 1.1190828402366866 0.3265791825945638 0.7366114897760468 0.47873336310958187 0.4383129322766838 0.6451238711848497 0.23601465584129125 0.7897690991174102 0.3497536945812803 0.7048616795909038 0.18832891246684325 0.8283422103415311 1.7218889272634583 0.1787282242398362 0.6102897463718586 0.5431934579372935 1.3054187192118207 0.2710590136639085 0.46268005237887316 0.6295940374014788 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 28 1.8571428571428572 0.3563483225498992 0.19187986598840726 1.0 2.0 2.0 2.0 2.0 2.8214285714285716 2.8214285714285716 1.3067792306552617 1.3067792306552617 0.4631622589664218 0.4631622589664218 1.0 1.0 2.0 2.0 2.5 2.5 3.25 3.25 6.0 6.0 0.5931710140017395 0.5931710140017395 0.39044168010241087 0.39044168010241087 0.8821317003559933 0.8821317003559933 1.0 1.0 1.0 1.0 1.5 1.5 2.0 2.0 3.0 3.0
4 1 4 0.6611846000000128 0.08854290000004994 0.0 0.7497275000000627 0.7497275000000627 0.7497275000000627 0.7497275000000627 0.05767134615385098 0.0 0.0 232.30078125 220.78515625 13 13 1.0 22 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 6 6.0 0.0 0.0 6.0 6.0 6.0 6.0 6.0 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5 1 3 1.4674339999999404 0.17510959999999898 0.0 1.6425435999999394 0.8631661000000719 2.392271100000002 0.3686123285714241 0.19470702571429244 0.28618669999998286 0.1233350944444369 253.08203125 242.05859375 22 22 1.0 22 13 22 0.9090909090909091 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 False 0 0 False 1.6923076923076923 1.6923076923076923 1.031553471276484 0.45643546458763845 0.6095543239361042 0.45643546458763845 0.7236589661630024 0.853411535480984 1.0 0.5 1.0 0.5 1.0 1.0 2.0 1.0 4.0 2.0 0 0.0 0 0.0 1.4308519413644827 0.23910513189504518 0.8455034198971944 0.42934116491219954 1.14792899408284 0.3172932055089575 0.6783216783216782 0.5074679725559829 0.4818120558297158 0.617663137042309 0.2594372608313854 0.7714856088413483 0.37500000000000006 0.6872892787909721 0.20192307692307696 0.8171577838157348 2.0485186285285693 0.128925749123022 0.6518013818045447 0.5211062195023645 1.625 0.19691167520419406 0.5170454545454546 0.5962796833959476 7 6 0.8571428571428571 0.8997354108424372 1.0496913126495102 0.0 0.0 1.0 1.5 2.0 3.142857142857143 1.5735915849388864 0.5006882315714639 1.0 2.0 3.0 4.5 5.0 7 1.8571428571428572 0.3779644730092272 0.2035193316203531 1.0 2.0 2.0 2.0 2.0 3.142857142857143 3.142857142857143 1.5735915849388864 1.5735915849388864 0.5006882315714639 0.5006882315714639 1.0 1.0 2.0 2.0 3.0 3.0 4.5 4.5 5.0 5.0 0.6900655593423543 0.6900655593423543 0.4077660123386639 0.4077660123386639 0.7954083112143042 0.7954083112143042 1.0 1.0 1.0 1.0 1.5 1.5 2.25 2.25 2.5 2.5
6 1 2 4.656199799999925 0.5678624000000809 0.0 5.224062200000006 1.4760595000000762 7.616333300000008 0.630692738461539 0.16174115455902993 0.5602455083333275 0.223369593290596 260.8671875 251.76953125 61 61 1.0 61 22 22 0.6885245901639344 1.0 0.8285033128253526 1.0 1.0 1.0 1.0 1.0 0.6885245901639344 0.5704449039125379 0.6885245901639344 0.6885245901639344 0.6885245901639344 0.6885245901639344 0.6885245901639344 False 0 0 False 2.772727272727273 2.772727272727273 3.0226418306447815 3.0226418306447815 1.0901331192489376 1.0901331192489376 0.5496862694079183 0.5496862694079183 1.0 1.0 1.0 1.0 2.0 2.0 2.75 2.75 12.0 12.0 0 0.0 0 0.0 7.713691273174679 0.00044666965063899447 2.781987016554802 0.06191535822638362 6.886363636363634 0.0010216220840456617 2.483606557377048 0.08344174482478789 0.726273039202563 0.4837083970810091 0.4291613413469691 0.6510548786356922 0.5824175824175823 0.5585464010213113 0.3441558441558441 0.7088184542277387 5.250327043712044 0.005245802511885465 1.1189221568566652 0.3266316626576918 4.357142857142856 0.012814949534927272 0.9285714285714283 0.3951177613268874 13 21 1.6153846153846154 1.8045526471705549 1.1171040196770101 0.0 0.0 1.0 2.0 6.0 4.6923076923076925 3.5209992754097375 0.7503768947594522 1.0 2.0 3.0 6.0 13.0 13 1.6923076923076923 0.48038446141526137 0.28386354538174535 1.0 1.0 2.0 2.0 2.0 4.6923076923076925 4.6923076923076925 3.5209992754097375 3.5209992754097375 0.7503768947594522 0.7503768947594522 1.0 1.0 2.0 2.0 3.0 3.0 6.0 6.0 13.0 13.0 2.8588593744843283 2.8588593744843283 1.0310640366992658 1.0310640366992658 0.5631339066524422 0.5631339066524422 1.0 1.0 1.5 1.5 2.0 2.0 3.0 3.0 10.0 10.0
7 1 1 12.114111199999996 1.5521917999999602 0.0 13.666302999999957 1.7636429000000788 21.282636299999965 0.6847114235294076 0.2375346710784302 0.6520165303030236 0.30139647299663025 255.80859375 244.6640625 113 113 1.0 0 61 61 0.5929203539823009 1.0 0.6198137057025228 1.0 1.0 1.0 1.0 1.0 0.5929203539823009 0.36750016178822154 0.5929203539823009 0.5929203539823009 0.5929203539823009 0.5929203539823009 0.5929203539823009 False 0 0 False 1.8524590163934427 1.8524590163934427 1.4472510214629952 1.4472510214629952 0.7812594009667496 0.7812594009667496 0.7822931590406594 0.7822931590406594 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 8.0 8.0 0 0.0 0 0.0 2.8816576047350195 0.056041790662304726 1.5555850786622671 0.21106585637930428 2.369524321418974 0.09352520363491205 1.2791237487305964 0.27828103776262575 0.5075066750399289 0.6019946775208281 0.2828725729730751 0.7536158127639674 0.40084033613445386 0.6697569884912412 0.22341920374707264 0.7997795084446226 2.961163182764163 0.05175867734317067 0.8909694532210756 0.41025783412299993 2.2663865546218487 0.103686168288775 0.681921618204804 0.5056444027024815 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 34 1.7941176470588236 0.41042563012190475 0.22876182662532396 1.0 2.0 2.0 2.0 2.0 3.323529411764706 3.323529411764706 2.0108883644449906 2.0108883644449906 0.6050460565586697 0.6050460565586697 1.0 1.0 2.0 2.0 3.0 3.0 5.0 5.0 9.0 9.0 0.9138467401745378 0.9138467401745378 0.4933154969083788 0.4933154969083788 0.8420979971125373 0.8420979971125373 1.0 1.0 1.0 1.0 1.5 1.5 2.5 2.5 4.5 4.5
8 2 4 0.6433030999999687 0.09371490000000904 0.0 0.7370179999999777 0.7370179999999777 0.7370179999999777 0.7370179999999777 0.0566936923076906 0.0 0.0 260.7265625 249.38671875 13 13 1.0 22 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 6 6.0 0.0 0.0 6.0 6.0 6.0 6.0 6.0 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9 2 3 1.4611316999999957 0.17371450000003108 0.0 1.6348462000000268 0.8520835999999719 2.3718642000000045 0.36578324285714814 0.1928594107142856 0.2847331833333442 0.12445587638889045 276.18359375 264.9140625 22 22 1.0 22 13 22 0.9090909090909091 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 False 0 0 False 1.6923076923076923 1.6923076923076923 0.8548504142651103 0.47703679372151425 0.5051388811566561 0.4593687643244211 0.7591359643025763 0.8479354326343773 1.0 0.5 1.0 0.5 1.0 1.0 2.0 1.5 3.0 2.0 0 0.0 0 0.0 0.9669080838443489 0.3802569449488073 0.5713547768171152 0.56475979669982 0.7692307692307693 0.4633693692311753 0.4545454545454546 0.6347364189402819 0.4818120558297158 0.617663137042309 0.2594372608313854 0.7714856088413483 0.37500000000000006 0.6872892787909721 0.20192307692307696 0.8171577838157348 1.439245834257849 0.2371065088762486 0.45794185635477014 0.6325842558926531 0.9285714285714288 0.3951177613268872 0.2954545454545455 0.744193240919829 7 5 0.7142857142857143 0.7559289460184544 1.058300524425836 0.0 0.0 1.0 1.0 2.0 3.142857142857143 1.6761634196950514 0.5333247244484255 1.0 2.0 3.0 4.0 6.0 7 1.8571428571428572 0.3779644730092272 0.2035193316203531 1.0 2.0 2.0 2.0 2.0 3.142857142857143 3.142857142857143 1.6761634196950514 1.6761634196950514 0.5333247244484255 0.5333247244484255 1.0 1.0 2.0 2.0 3.0 3.0 4.0 4.0 6.0 6.0 0.7480132415430957 0.7480132415430957 0.44200782454819293 0.44200782454819293 0.7822647644743943 0.7822647644743943 1.0 1.0 1.0 1.0 1.5 1.5 2.0 2.0 3.0 3.0
