 RU AL GT ST OT TT LT CT WT WT_PA MET MET_PA RSS VMS LE AC CF PSG SIZE SGLITS_T QL_SCORE LT_SCORE CT_SCORE AW_SCORE AW_PA_SCORE AME_SCORE AME_PA_SCORE TI_SCORE LT_GRADE CT_GRADE AW_GRADE AW_PA_GRADE AME_GRADE AME_PA_GRADE GRADE HAS_TRAILING TOT_CHOICES PRE_CHOICES FGOALS_ORDER CP_EF_L CP_EF_A SP_ED_L SP_ED_A SP_EB_L SP_EB_A SP_EBS_L SP_EBS_A SP_MIN_L SP_MIN_A SP_LOWER_L SP_LOWER_A SP_MED_L SP_MED_A SP_UPPER_L SP_UPPER_A SP_MAX_L SP_MAX_A T_INTER_SP P_INTER_SP T_INTER_Q P_INTER_Q M_CHILD_RMSE M_CHILD_RMSE_SCORE M_CHILD_NRMSE M_CHILD_NRMSE_SCORE M_CHILD_MAE M_CHILD_MAE_SCORE M_CHILD_NMAE M_CHILD_NMAE_SCORE DIV_INDEX_RMSE DIV_INDEX_RMSE_SCORE DIV_INDEX_NRMSE DIV_INDEX_NRMSE_SCORE DIV_INDEX_MAE DIV_INDEX_MAE_SCORE DIV_INDEX_NMAE DIV_INDEX_NMAE_SCORE DIV_STEP_RMSE DIV_STEP_RMSE_SCORE DIV_STEP_NRMSE DIV_STEP_NRMSE_SCORE DIV_STEP_MAE DIV_STEP_MAE_SCORE DIV_STEP_NMAE DIV_STEP_NMAE_SCORE DS_T DIVS_T DS_TD_MEAN DS_TD_STD DS_TD_CD DS_TD_MIN DS_TD_LOWER DS_TD_MED DS_TD_UPPER DS_TD_MAX DS_TS_MEAN DS_TS_STD DS_TS_CD DS_TS_MIN DS_TS_LOWER DS_TS_MED DS_TS_UPPER DS_TS_MAX PR_T PR_TS_MEAN PR_TS_STD PR_TS_CD PR_TS_MIN PR_TS_LOWER PR_TS_MED PR_TS_UPPER PR_TS_MAX PP_LE_MEAN PP_AC_MEAN PP_LE_STD PP_AC_STD PP_LE_CD PP_AC_CD PP_LE_MIN PP_AC_MIN PP_LE_LOWER PP_AC_LOWER PP_LE_MED PP_AC_MED PP_LE_UPPER PP_AC_UPPER PP_LE_MAX PP_AC_MAX PP_ED_L PP_ED_A PP_EB_L PP_EB_A PP_EBS_L PP_EBS_A PP_EF_LE_MIN PP_EF_AC_MIN PP_EF_LE_LOWER PP_EF_AC_LOWER PP_EF_LE_MED PP_EF_AC_MED PP_EF_LE_UPPER PP_EF_AC_UPPER PP_EF_LE_MAX PP_EF_AC_MAX
0 0 4 0.6255457000000177 0.08728760000002467 0.0 0.7128333000000424 0.7128333000000424 0.7128333000000424 0.7128333000000424 0.05483333076923403 0.0 0.0 301.84375 296.90625 13 13 1.0 22 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 0 3 1.700421599999956 2.060111200000023 0.011212699999973097 3.771745499999952 4.484578799999994 4.484578799999994 4.484578799999994 0.20384449090909065 0.0 0.0 361.29296875 359.85546875 22 22 1.0 22 13 22 0.9090909090909091 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 False 0 0 False 1.6923076923076923 1.6923076923076923 1.031553471276484 0.45643546458763845 0.6095543239361042 0.45643546458763845 0.7236589661630024 0.853411535480984 1.0 0.5 1.0 0.5 1.0 1.0 2.0 1.0 4.0 2.0 5 0.38461538461538464 7 0.3181818181818182 1.4411533842457842 0.23665464746923054 0.8515906361452361 0.42673561072862937 1.1893491124260351 0.3044193423635789 0.7027972027972026 0.4951981949074542 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 2 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 22.0 0.0 0.0 22.0 22.0 22.0 22.0 22.0 1 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 22.0 22.0 0.0 0.0 0.0 0.0 22.0 22.0 22.0 22.0 22.0 22.0 22.0 22.0 22.0 22.0 0.0 0.0 0.0 0.0 0.0 0.0 1.6923076923076923 1.6923076923076923 1.6923076923076923 1.6923076923076923 1.6923076923076923 1.6923076923076923 1.6923076923076923 1.6923076923076923 1.6923076923076923 1.6923076923076923
2 0 2 4.42362399999999 1.8210822000000206 0.18243810000002725 6.4271443000000374 10.911723100000032 10.911723100000032 10.911723100000032 0.23721137173913112 0.0 0.0 401.67578125 407.7109375 46 46 1.0 46 22 22 0.9130434782608695 0.7420841635723534 0.7420841635723534 0.7420841635723534 1.0 1.0 1.0 0.7420841635723534 0.6775551058704096 0.6775551058704096 0.6775551058704096 0.9130434782608695 0.9130434782608695 0.9130434782608695 0.6775551058704096 False 0 0 False 2.090909090909091 2.090909090909091 1.973855084879307 1.973855084879307 0.9440176492901035 0.9440176492901035 0.6474137330845218 0.6474137330845218 1.0 1.0 1.0 1.0 1.5 1.5 2.0 2.0 10.0 10.0 10 0.45454545454545453 14 0.30434782608695654 4.944318051231691 0.007123771054868174 2.3646738505890696 0.09397994687485003 3.842975206611571 0.021429748475103365 1.837944664031621 0.1591441849597851 1.7950549357115015 0.16611832626771456 0.24478021850611387 0.7828765811197822 1.1666666666666667 0.3114032239145977 0.15909090909090912 0.8529188173702604 5.013869652163774 0.006645139112226337 0.3269914990541592 0.7210898729465082 3.2499999999999996 0.03877420783172203 0.2119565217391304 0.8089998707092829 1 3 3.0 0.0 0.0 3.0 3.0 3.0 3.0 3.0 46.0 0.0 0.0 46.0 46.0 46.0 46.0 46.0 1 22.0 0.0 0.0 22.0 22.0 22.0 22.0 22.0 46.0 46.0 0.0 0.0 0.0 0.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 0.0 0.0 0.0 0.0 0.0 0.0 2.090909090909091 2.090909090909091 2.090909090909091 2.090909090909091 2.090909090909091 2.090909090909091 2.090909090909091 2.090909090909091 2.090909090909091 2.090909090909091
3 0 1 12.91799309999989 6.022334400000005 0.407052700000051 19.347380199999947 30.25910329999998 30.25910329999998 30.25910329999998 0.4034547106666664 0.0 0.0 631.58203125 656.11328125 75 75 1.0 0 46 46 0.8933333333333333 0.5640058122860037 0.5640058122860037 0.5640058122860037 1.0 1.0 1.0 0.5640058122860037 0.50384519230883 0.50384519230883 0.50384519230883 0.8933333333333333 0.8933333333333333 0.8933333333333333 0.50384519230883 False 0 0 False 1.6304347826086956 1.6304347826086956 0.951226007778591 0.951226007778591 0.5834186181042025 0.5834186181042025 0.8254059788509982 0.8254059788509982 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 12 0.2608695652173913 14 0.18666666666666668 3.3126683001080335 0.03641886752221598 2.031769890732927 0.13110327721053058 2.8435727788279794 0.058217296432906365 1.7440579710144941 0.17480958712453643 0.8366600265340756 0.4331548357620682 0.07275304578557179 0.9298304272173338 0.6 0.5488116360940265 0.05217391304347826 0.9491637805261431 1.7535677916750183 0.17315505890372304 0.09352361555600097 0.9107165100955013 1.3 0.2725317930340126 0.06933333333333333 0.933015623030564 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 46.0 0.0 0.0 46.0 46.0 46.0 46.0 46.0 75.0 75.0 0.0 0.0 0.0 0.0 75.0 75.0 75.0 75.0 75.0 75.0 75.0 75.0 75.0 75.0 0.0 0.0 0.0 0.0 0.0 0.0 1.6304347826086956 1.6304347826086956 1.6304347826086956 1.6304347826086956 1.6304347826086956 1.6304347826086956 1.6304347826086956 1.6304347826086956 1.6304347826086956 1.6304347826086956
4 1 4 0.6257558000000074 0.08262850000002686 0.0 0.7083843000000343 0.7083843000000343 0.7083843000000343 0.7083843000000343 0.05449110000000264 0.0 0.0 314.796875 310.1171875 13 13 1.0 22 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5 1 3 1.6077142999999978 2.7787922000000265 0.010952799999984109 4.397459300000008 5.105843600000043 5.105843600000043 5.105843600000043 0.24313540952381155 0.0 0.0 371.53125 370.34765625 21 21 1.0 21 13 22 0.9523809523809523 0.9865775572512647 0.9865775572512647 0.9865775572512647 1.0 1.0 1.0 0.9865775572512647 0.939597673572633 0.939597673572633 0.939597673572633 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.939597673572633 False 0 0 False 1.6153846153846154 1.6153846153846154 0.9607689228305227 0.7205766921228921 0.5947617141331807 0.6938886664887108 0.7374853807862665 0.7884326568987122 1.0 0.5 1.0 0.5 1.0 1.0 3.0 1.5 3.0 3.0 8 0.6153846153846154 16 0.7619047619047619 0.9483713850721502 0.38737138883041067 0.5870870479018073 0.55594436766076 0.7810650887573962 0.4579180281350849 0.48351648351648335 0.6166112715594099 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 2 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 21.0 0.0 0.0 21.0 21.0 21.0 21.0 21.0 1 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 21.0 21.0 0.0 0.0 0.0 0.0 21.0 21.0 21.0 21.0 21.0 21.0 21.0 21.0 21.0 21.0 0.0 0.0 0.0 0.0 0.0 0.0 1.6153846153846154 1.6153846153846154 1.6153846153846154 1.6153846153846154 1.6153846153846154 1.6153846153846154 1.6153846153846154 1.6153846153846154 1.6153846153846154 1.6153846153846154
6 1 2 4.241683799999947 1.3950140000000033 0.17939570000002902 5.81609349999998 10.921937100000022 10.921937100000022 10.921937100000022 0.24270971333333383 0.0 0.0 412.5703125 406.76953125 45 45 1.0 45 21 21 0.9333333333333333 0.741887154699823 0.741887154699823 0.741887154699823 1.0 1.0 1.0 0.741887154699823 0.6924280110531682 0.6924280110531682 0.6924280110531682 0.9333333333333333 0.9333333333333333 0.9333333333333333 0.6924280110531682 False 0 0 False 2.142857142857143 2.142857142857143 2.080521912542963 2.080521912542963 0.9709102258533828 0.9709102258533828 0.630451390072284 0.630451390072284 1.0 1.0 1.0 1.0 1.0 1.0 3.0 3.0 10.0 10.0 5 0.23809523809523808 10 0.2222222222222222 6.541858938203036 0.0014418057784442975 3.05286750449475 0.04722331698292932 5.9523809523809526 0.00259964351653253 2.777777777777778 0.06217652402211629 1.5811388300841898 0.20574066108381442 0.22587697572631282 0.7978162463927069 1.0 0.36787944117144233 0.14285714285714285 0.8668778997501816 5.5901699437494745 0.003734393173980737 0.37267799624996495 0.6888870213378974 3.75 0.023517745856009107 0.25 0.7788007830714049 1 3 3.0 0.0 0.0 3.0 3.0 3.0 3.0 3.0 45.0 0.0 0.0 45.0 45.0 45.0 45.0 45.0 1 21.0 0.0 0.0 21.0 21.0 21.0 21.0 21.0 45.0 45.0 0.0 0.0 0.0 0.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 2.142857142857143 2.142857142857143 2.142857142857143 2.142857142857143 2.142857142857143 2.142857142857143 2.142857142857143 2.142857142857143 2.142857142857143 2.142857142857143
7 1 1 12.551342000000076 5.972080400000124 0.40868400000030647 18.932106400000507 29.85404350000053 29.85404350000053 29.85404350000053 0.40343302027027744 0.0 0.0 629.55859375 654.21484375 74 74 1.0 0 45 45 0.9054054054054054 0.5660798065389984 0.5660798065389984 0.5660798065389984 1.0 1.0 1.0 0.5660798065389984 0.5125317167312553 0.5125317167312553 0.5125317167312553 0.9054054054054054 0.9054054054054054 0.9054054054054054 0.5125317167312553 False 0 0 False 1.6444444444444444 1.6444444444444444 0.9571633173923958 0.9571633173923958 0.5820587740899704 0.5820587740899704 0.8235997702263492 0.8235997702263492 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 8 0.17777777777777778 8 0.10810810810810811 3.267246106331994 0.03811123698547508 1.9868388484451316 0.13712822411289585 2.9432098765432113 0.052696308330495774 1.7897897897897908 0.16699527008850723 0.6123724356957945 0.5420633319807502 0.05443310539518173 0.9470218573918683 0.4 0.6703200460356393 0.035555555555555556 0.9650691177896804 2.5099800796022267 0.08126985815266834 0.13567459889741765 0.8731267026595788 1.8 0.16529888822158653 0.0972972972972973 0.9072862322890077 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 45.0 0.0 0.0 45.0 45.0 45.0 45.0 45.0 74.0 74.0 0.0 0.0 0.0 0.0 74.0 74.0 74.0 74.0 74.0 74.0 74.0 74.0 74.0 74.0 0.0 0.0 0.0 0.0 0.0 0.0 1.6444444444444444 1.6444444444444444 1.6444444444444444 1.6444444444444444 1.6444444444444444 1.6444444444444444 1.6444444444444444 1.6444444444444444 1.6444444444444444 1.6444444444444444
8 2 4 0.6237552000000051 0.08705220000001646 0.0 0.7108074000000215 0.7108074000000215 0.7108074000000215 0.7108074000000215 0.05467749230769396 0.0 0.0 332.27734375 325.66796875 13 13 1.0 22 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9 2 3 1.6968777999999816 1.9968326000000332 0.01179709999993861 3.7055074999999533 4.416314899999975 4.416314899999975 4.416314899999975 0.20074158636363523 0.0 0.0 392.6171875 390.765625 22 22 1.0 22 13 22 0.9090909090909091 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 False 0 0 False 1.6923076923076923 1.6923076923076923 1.031553471276484 0.45643546458763845 0.6095543239361042 0.45643546458763845 0.7236589661630024 0.853411535480984 1.0 0.5 1.0 0.5 1.0 1.0 2.0 1.0 4.0 2.0 1 0.07692307692307693 2 0.09090909090909091 1.0932823387347612 0.3351147264620062 0.6460304728887225 0.524122170048419 0.8520710059171598 0.4265306690684622 0.5034965034965035 0.604413626404216 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 2 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 22.0 0.0 0.0 22.0 22.0 22.0 22.0 22.0 1 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 22.0 22.0 0.0 0.0 0.0 0.0 22.0 22.0 22.0 22.0 22.0 22.0 22.0 22.0 22.0 22.0 0.0 0.0 0.0 0.0 0.0 0.0 1.6923076923076923 1.6923076923076923 1.6923076923076923 1.6923076923076923 1.6923076923076923 1.6923076923076923 1.6923076923076923 1.6923076923076923 1.6923076923076923 1.6923076923076923
