 RU AL GT ST OT TT LT CT WT WT_PA MET MET_PA RSS VMS LE AC CF PSG SIZE SGLITS_T QL_SCORE LT_SCORE CT_SCORE AW_SCORE AW_PA_SCORE AME_SCORE AME_PA_SCORE TI_SCORE LT_GRADE CT_GRADE AW_GRADE AW_PA_GRADE AME_GRADE AME_PA_GRADE GRADE HAS_TRAILING TOT_CHOICES PRE_CHOICES FGOALS_ORDER CP_EF_L CP_EF_A SP_ED_L SP_ED_A SP_EB_L SP_EB_A SP_EBS_L SP_EBS_A SP_MIN_L SP_MIN_A SP_LOWER_L SP_LOWER_A SP_MED_L SP_MED_A SP_UPPER_L SP_UPPER_A SP_MAX_L SP_MAX_A T_INTER_SP P_INTER_SP T_INTER_Q P_INTER_Q M_CHILD_RMSE M_CHILD_RMSE_SCORE M_CHILD_NRMSE M_CHILD_NRMSE_SCORE M_CHILD_MAE M_CHILD_MAE_SCORE M_CHILD_NMAE M_CHILD_NMAE_SCORE DIV_INDEX_RMSE DIV_INDEX_RMSE_SCORE DIV_INDEX_NRMSE DIV_INDEX_NRMSE_SCORE DIV_INDEX_MAE DIV_INDEX_MAE_SCORE DIV_INDEX_NMAE DIV_INDEX_NMAE_SCORE DIV_STEP_RMSE DIV_STEP_RMSE_SCORE DIV_STEP_NRMSE DIV_STEP_NRMSE_SCORE DIV_STEP_MAE DIV_STEP_MAE_SCORE DIV_STEP_NMAE DIV_STEP_NMAE_SCORE DS_T DIVS_T DS_TD_MEAN DS_TD_STD DS_TD_CD DS_TD_MIN DS_TD_LOWER DS_TD_MED DS_TD_UPPER DS_TD_MAX DS_TS_MEAN DS_TS_STD DS_TS_CD DS_TS_MIN DS_TS_LOWER DS_TS_MED DS_TS_UPPER DS_TS_MAX PR_T PR_TS_MEAN PR_TS_STD PR_TS_CD PR_TS_MIN PR_TS_LOWER PR_TS_MED PR_TS_UPPER PR_TS_MAX PP_LE_MEAN PP_AC_MEAN PP_LE_STD PP_AC_STD PP_LE_CD PP_AC_CD PP_LE_MIN PP_AC_MIN PP_LE_LOWER PP_AC_LOWER PP_LE_MED PP_AC_MED PP_LE_UPPER PP_AC_UPPER PP_LE_MAX PP_AC_MAX PP_ED_L PP_ED_A PP_EB_L PP_EB_A PP_EBS_L PP_EBS_A PP_EF_LE_MIN PP_EF_AC_MIN PP_EF_LE_LOWER PP_EF_AC_LOWER PP_EF_LE_MED PP_EF_AC_MED PP_EF_LE_UPPER PP_EF_AC_UPPER PP_EF_LE_MAX PP_EF_AC_MAX
0 0 4 0.6256866999999602 0.08183900000000222 0.0 0.7075256999999624 0.7075256999999624 0.7075256999999624 0.7075256999999624 0.054425053846150956 0.0 0.0 288.93359375 281.3046875 13 13 1.0 22 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 0 3 1.5994555999999847 1.9624777999999878 0.015764999999973384 3.577698399999946 4.285224099999908 4.285224099999908 4.285224099999908 0.20405829047618612 0.0 0.0 334.0703125 328.30078125 21 21 1.0 21 13 22 0.9523809523809523 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 False 0 0 False 1.6153846153846154 1.6153846153846154 0.869718492622904 0.5 0.538397162099893 0.5 0.7560232996376179 0.8419208133959251 1.0 0.5 1.0 0.5 1.0 1.0 2.0 1.5 3.0 2.0 9 0.6923076923076923 9 0.42857142857142855 0.8320502943378435 0.43515617282440855 0.5150787536377126 0.597453541125717 0.7041420118343193 0.4945326954848945 0.4358974358974358 0.6466840491033322 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 21.0 0.0 0.0 21.0 21.0 21.0 21.0 21.0 1 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 21.0 21.0 0.0 0.0 0.0 0.0 21.0 21.0 21.0 21.0 21.0 21.0 21.0 21.0 21.0 21.0 0.0 0.0 0.0 0.0 0.0 0.0 1.6153846153846154 1.6153846153846154 1.6153846153846154 1.6153846153846154 1.6153846153846154 1.6153846153846154 1.6153846153846154 1.6153846153846154 1.6153846153846154 1.6153846153846154
2 0 2 4.69201929999997 2.070844099999988 0.03219520000003229 6.79505859999999 11.080282699999898 11.080282699999898 11.080282699999898 0.2576809930232535 0.0 0.0 374.46484375 376.2578125 43 43 1.0 43 21 21 0.9767441860465116 0.738869603967196 0.738869603967196 0.738869603967196 1.0 1.0 1.0 0.912956534655732 0.7216865899214473 0.7216865899214473 0.7216865899214473 0.9767441860465116 0.9767441860465116 0.9767441860465116 0.7216865899214473 False 0 0 False 2.0476190476190474 2.0476190476190474 2.011869540407391 2.011869540407391 0.9825409383384934 0.9825409383384934 0.6378542059468959 0.6378542059468959 1.0 1.0 1.0 1.0 1.0 1.0 3.0 3.0 10.0 10.0 10 0.47619047619047616 18 0.4186046511627907 6.850967236719881 0.0010584314438838284 3.34582120863064 0.03523127105081025 6.285714285714286 0.0018627259759257083 3.0697674418604652 0.04643195173024163 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 2 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 43.0 0.0 0.0 43.0 43.0 43.0 43.0 43.0 1 21.0 0.0 0.0 21.0 21.0 21.0 21.0 21.0 43.0 43.0 0.0 0.0 0.0 0.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 0.0 0.0 0.0 0.0 0.0 0.0 2.0476190476190474 2.0476190476190474 2.0476190476190474 2.0476190476190474 2.0476190476190474 2.0476190476190474 2.0476190476190474 2.0476190476190474 2.0476190476190474 2.0476190476190474
3 0 1 9.179579399999994 5.159502000000018 0.06169360000002655 14.400775000000039 18.21676319999993 25.481057699999937 8.517593533333306 0.30039458563747873 3.6680086999999943 0.1150594185483869 398.08203125 399.69140625 70 70 1.0 0 43 43 0.9571428571428572 0.6458665970691135 0.5908005675179395 0.7988164886239715 1.0 1.0 1.0 0.8819555323563711 0.6181866000518659 0.5654805431957421 0.7645814962543728 0.9571428571428572 0.9571428571428572 0.9571428571428572 0.8441574381125267 False 0 0 False 1.627906976744186 1.627906976744186 1.0005535566435566 1.0005535566435566 0.614625756223899 0.614625756223899 0.8156375892650947 0.8156375892650947 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 11 0.2558139534883721 17 0.24285714285714285 2.456434910924015 0.08574007775663732 1.5089528738533236 0.22114141972657664 2.169280692266088 0.11425977529875958 1.3325581395348827 0.2638015562040639 4.552166761249221 0.010544332562717315 0.31759302985459675 0.7278989612898636 2.9999999999999996 0.049787068367863965 0.2093023255813953 0.811149967184387 9.24511883223911 9.658193599252378e-05 0.39621937852453326 0.6728590689151219 6.250000000000001 0.0019304541362277076 0.2678571428571429 0.7650170614485746 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3 14.333333333333334 7.234178138070235 0.5047101026560629 6.0 12.0 18.0 18.5 19.0 23.333333333333332 23.333333333333332 14.153915830374762 14.153915830374762 0.6065963927303469 0.6065963927303469 7.0 7.0 19.0 19.0 31.0 31.0 31.5 31.5 32.0 32.0 0.31910664802534466 0.31910664802534466 0.19602265521556886 0.19602265521556886 0.9263653309688246 0.9263653309688246 1.1666666666666667 1.1666666666666667 1.3991228070175439 1.3991228070175439 1.631578947368421 1.631578947368421 1.7046783625730995 1.7046783625730995 1.7777777777777777 1.7777777777777777
4 1 4 0.6196382000000114 0.08329430000001992 0.0 0.7029325000000313 0.7029325000000313 0.7029325000000313 0.7029325000000313 0.054071730769233176 0.0 0.0 345.625 335.390625 13 13 1.0 22 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5 1 3 1.5891978999999878 2.2552728000000286 0.01630300000002194 3.8607737000000384 4.56370620000007 4.56370620000007 4.56370620000007 0.21731934285714619 0.0 0.0 358.515625 350.03515625 21 21 1.0 21 13 22 0.9523809523809523 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 False 0 0 False 1.6153846153846154 1.6153846153846154 1.7097008285302209 0.8281892512568827 1.0583862271853748 0.861316821307158 0.6113614366219557 0.7647805423323268 1.0 0.5 1.0 0.5 1.0 0.5 1.0 1.0 7.0 3.5 8 0.6153846153846154 14 0.6666666666666666 1.7062363856014486 0.1815477842902392 1.056241572038992 0.34776038958274297 1.3609467455621298 0.25641789949172333 0.8424908424908423 0.43063653863233853 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 21.0 0.0 0.0 21.0 21.0 21.0 21.0 21.0 1 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 21.0 21.0 0.0 0.0 0.0 0.0 21.0 21.0 21.0 21.0 21.0 21.0 21.0 21.0 21.0 21.0 0.0 0.0 0.0 0.0 0.0 0.0 1.6153846153846154 1.6153846153846154 1.6153846153846154 1.6153846153846154 1.6153846153846154 1.6153846153846154 1.6153846153846154 1.6153846153846154 1.6153846153846154 1.6153846153846154
6 1 2 4.315835500000048 5.441259899999949 0.030116500000062274 9.78721190000006 13.613199600000115 14.35091810000013 7.190736800000067 0.23197928175675953 0.7682740000000194 0.02076416216216269 389.32421875 382.78515625 45 45 1.0 45 21 21 0.9333333333333333 0.6980689149149482 0.6882046370245214 0.8452077420685503 1.0 1.0 1.0 0.8993563049716494 0.6515309872539516 0.6423243278895533 0.7888605592639804 0.9333333333333333 0.9333333333333333 0.9333333333333333 0.8393992179735394 False 0 0 False 2.142857142857143 2.142857142857143 2.0318886358684694 2.0318886358684694 0.948214696738619 0.948214696738619 0.6356782516143479 0.6356782516143479 1.0 1.0 1.0 1.0 1.0 1.0 3.0 3.0 10.0 10.0 14 0.6666666666666666 29 0.6444444444444445 6.029970498906863 0.0024055649443681924 2.813986232823203 0.05996547897086624 5.380952380952381 0.004603435617206579 2.5111111111111115 0.08117799134429576 2.598076211353316 0.07441660241090339 0.24743582965269675 0.7808003234312864 1.5 0.22313016014842982 0.14285714285714285 0.8668778997501816 8.371578903249572 0.00023134998597132813 0.3720701734777588 0.6893058698368765 4.833333333333333 0.00795994384870645 0.2148148148148148 0.8066908135337251 2 1 0.5 0.7071067811865476 1.4142135623730951 0.0 0.25 0.5 0.75 1.0 22.5 20.506096654409877 0.9113820735293279 8.0 15.25 22.5 29.75 37.0 2 10.5 6.363961030678928 0.6060915267313265 6.0 8.25 10.5 12.75 15.0 22.5 22.5 20.506096654409877 20.506096654409877 0.9113820735293279 0.9113820735293279 8.0 8.0 15.25 15.25 22.5 22.5 29.75 29.75 37.0 37.0 0.8013876853447539 0.8013876853447539 0.3739809198275518 0.3739809198275518 0.806683210183166 0.806683210183166 1.3333333333333333 1.3333333333333333 1.6166666666666667 1.6166666666666667 1.9 1.9 2.1833333333333336 2.1833333333333336 2.466666666666667 2.466666666666667
7 1 1 9.19780440000008 4.927816699999937 0.0622067000000186 14.187827800000036 20.18240510000014 28.538745900000166 9.547129966666725 0.3323560086805576 4.229492400000019 0.1334904141666673 412.87109375 412.4609375 72 72 1.0 0 45 45 0.9305555555555556 0.6285892910875983 0.573045770723948 0.7714267115430058 1.0 1.0 1.0 0.8761964303625328 0.5849372569842929 0.5332509255347849 0.7178554121302971 0.9305555555555556 0.9305555555555556 0.9305555555555556 0.8153494560318013 False 0 0 False 1.6 1.6 0.9390517460812168 0.9390517460812168 0.5869073413007605 0.5869073413007605 0.8260420868207045 0.8260420868207045 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 13 0.28888888888888886 15 0.20833333333333334 2.5473297566057047 0.0782904416708838 1.5920810978785653 0.2035016638677597 2.2222222222222205 0.10836802322189605 1.3888888888888877 0.2493522087772965 3.640054944640259 0.026250901579718863 0.24267032964268392 0.78453010746473 2.25 0.10539922456186433 0.15 0.8607079764250578 8.06225774829855 0.00031521432669575044 0.3359274061791062 0.7146749849208359 5.5 0.004086771438464067 0.22916666666666666 0.7951959897951257 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3 15.0 6.244997998398398 0.41633319989322654 8.0 12.5 17.0 18.5 20.0 24.0 24.0 12.165525060596439 12.165525060596439 0.5068968775248516 0.5068968775248516 10.0 10.0 20.0 20.0 30.0 30.0 31.0 31.0 32.0 32.0 0.31847658570158405 0.31847658570158405 0.19904786606349 0.19904786606349 0.9273702438522528 0.9273702438522528 1.25 1.25 1.375 1.375 1.5 1.5 1.6911764705882353 1.6911764705882353 1.8823529411764706 1.8823529411764706
8 2 4 0.6205826000000343 0.0818792999999971 0.0 0.7024619000000314 0.7024619000000314 0.7024619000000314 0.7024619000000314 0.05403553076923318 0.0 0.0 369.74609375 361.01953125 13 13 1.0 22 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9 2 3 1.5977057000000343 2.421275499999979 0.015812399999987292 4.0347936 4.737255500000032 4.737255500000032 4.737255500000032 0.22558359523809676 0.0 0.0 383.625 375.5234375 21 21 1.0 21 13 22 0.9523809523809523 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 False 0 0 False 1.6153846153846154 1.6153846153846154 1.2608503439122305 0.5937710859953543 0.780526403374238 0.6175219294351685 0.681966040182436 0.8182798584659678 1.0 0.5 1.0 0.5 1.0 1.0 1.0 1.0 5.0 2.5 6 0.46153846153846156 8 0.38095238095238093 1.1615129900416536 0.31301223803854566 0.7190318509781666 0.4872237328735841 0.9822485207100591 0.3744681521196597 0.608058608058608 0.5444067506814557 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 21.0 0.0 0.0 21.0 21.0 21.0 21.0 21.0 1 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 21.0 21.0 0.0 0.0 0.0 0.0 21.0 21.0 21.0 21.0 21.0 21.0 21.0 21.0 21.0 21.0 0.0 0.0 0.0 0.0 0.0 0.0 1.6153846153846154 1.6153846153846154 1.6153846153846154 1.6153846153846154 1.6153846153846154 1.6153846153846154 1.6153846153846154 1.6153846153846154 1.6153846153846154 1.6153846153846154
