 RU AL GT ST OT TT LT CT WT WT_PA MET MET_PA RSS VMS LE AC CF PSG SIZE SGLITS_T QL_SCORE LT_SCORE CT_SCORE AW_SCORE AW_PA_SCORE AME_SCORE AME_PA_SCORE TI_SCORE LT_GRADE CT_GRADE AW_GRADE AW_PA_GRADE AME_GRADE AME_PA_GRADE GRADE HAS_TRAILING TOT_CHOICES PRE_CHOICES FGOALS_ORDER CP_EF_L CP_EF_A SP_ED_L SP_ED_A SP_EB_L SP_EB_A SP_EBS_L SP_EBS_A SP_MIN_L SP_MIN_A SP_LOWER_L SP_LOWER_A SP_MED_L SP_MED_A SP_UPPER_L SP_UPPER_A SP_MAX_L SP_MAX_A T_INTER_SP P_INTER_SP T_INTER_Q P_INTER_Q M_CHILD_RMSE M_CHILD_RMSE_SCORE M_CHILD_NRMSE M_CHILD_NRMSE_SCORE M_CHILD_MAE M_CHILD_MAE_SCORE M_CHILD_NMAE M_CHILD_NMAE_SCORE DIV_INDEX_RMSE DIV_INDEX_RMSE_SCORE DIV_INDEX_NRMSE DIV_INDEX_NRMSE_SCORE DIV_INDEX_MAE DIV_INDEX_MAE_SCORE DIV_INDEX_NMAE DIV_INDEX_NMAE_SCORE DIV_STEP_RMSE DIV_STEP_RMSE_SCORE DIV_STEP_NRMSE DIV_STEP_NRMSE_SCORE DIV_STEP_MAE DIV_STEP_MAE_SCORE DIV_STEP_NMAE DIV_STEP_NMAE_SCORE DS_T DIVS_T DS_TD_MEAN DS_TD_STD DS_TD_CD DS_TD_MIN DS_TD_LOWER DS_TD_MED DS_TD_UPPER DS_TD_MAX DS_TS_MEAN DS_TS_STD DS_TS_CD DS_TS_MIN DS_TS_LOWER DS_TS_MED DS_TS_UPPER DS_TS_MAX PR_T PR_TS_MEAN PR_TS_STD PR_TS_CD PR_TS_MIN PR_TS_LOWER PR_TS_MED PR_TS_UPPER PR_TS_MAX PP_LE_MEAN PP_AC_MEAN PP_LE_STD PP_AC_STD PP_LE_CD PP_AC_CD PP_LE_MIN PP_AC_MIN PP_LE_LOWER PP_AC_LOWER PP_LE_MED PP_AC_MED PP_LE_UPPER PP_AC_UPPER PP_LE_MAX PP_AC_MAX PP_ED_L PP_ED_A PP_EB_L PP_EB_A PP_EBS_L PP_EBS_A PP_EF_LE_MIN PP_EF_AC_MIN PP_EF_LE_LOWER PP_EF_AC_LOWER PP_EF_LE_MED PP_EF_AC_MED PP_EF_LE_UPPER PP_EF_AC_UPPER PP_EF_LE_MAX PP_EF_AC_MAX
0 0 3 1.1358770999999876 0.6987450000000024 0.0 1.83462209999999 1.83462209999999 1.83462209999999 1.83462209999999 0.09173110499999951 0.0 0.0 234.75 224.015625 20 20 1.0 20 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 4 4.0 0.0 0.0 4.0 4.0 4.0 4.0 4.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 0 2 4.360024800000005 0.7404078999999726 0.022914300000010712 5.123346999999988 2.9321139999999772 6.957969099999978 1.4140858799999947 0.1257323284825175 1.034578849999999 0.08476645150349663 246.25 235.73046875 57 57 1.0 57 20 20 0.7368421052631579 1.0 0.8553136082613161 1.0 1.0 1.0 1.0 1.0 0.7368421052631579 0.6302310797714961 0.7368421052631579 0.7368421052631579 0.7368421052631579 0.7368421052631579 0.7368421052631579 False 0 0 False 2.85 2.85 2.996050031203365 2.996050031203365 1.0512456249836368 1.0512456249836368 0.5375733695369143 0.5375733695369143 1.0 1.0 1.0 1.0 2.0 2.0 3.0 3.0 11.0 11.0 1 0.05 1 0.017543859649122806 5.924419802816137 0.0026733583102848827 2.078743790461802 0.1250872493378803 5.125 0.005946217356472094 1.7982456140350878 0.16558914080418002 0.5773502691896257 0.5613839137989282 0.14433756729740643 0.8655955020013665 0.3333333333333333 0.7165313105737893 0.08333333333333333 0.9200444146293233 2.7386127875258293 0.06465998184082483 0.24022919188823064 0.786447593000519 1.966666666666666 0.13992248802430948 0.17251461988304087 0.8415459854179561 5 7 1.4 0.5477225575051661 0.3912303982179758 1.0 1.0 1.0 2.0 2.0 11.4 2.701851217221259 0.23700449273870694 8.0 10.0 11.0 13.0 15.0 5 4.0 1.0 0.25 3.0 3.0 4.0 5.0 5.0 11.4 11.4 2.701851217221259 2.701851217221259 0.23700449273870694 0.23700449273870694 8.0 8.0 10.0 10.0 11.0 11.0 13.0 13.0 15.0 15.0 1.0274023338281626 1.0274023338281626 0.36049204695725 0.36049204695725 0.7640792732554649 0.7640792732554649 2.0 2.0 2.0 2.0 3.0 3.0 3.6666666666666665 3.6666666666666665 4.333333333333333 4.333333333333333
2 0 1 9.661597400000005 1.7200621000000211 0.06275510000002527 11.444414600000052 4.057676099999995 18.40238370000003 1.5741162500000005 0.20610183507215127 1.348338081818183 0.18979322245736605 251.62109375 239.87890625 93 93 1.0 0 57 57 0.7204301075268817 1.0 0.6441359747468037 1.0 1.0 1.0 1.0 1.0 0.7204301075268817 0.4640549495487726 0.7204301075268817 0.7204301075268817 0.7204301075268817 0.7204301075268817 0.7204301075268817 False 0 0 False 1.631578947368421 1.631578947368421 0.9186865419750172 0.9186865419750172 0.5630659450814621 0.5630659450814621 0.8388244877317207 0.8388244877317207 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 5.0 5.0 16 0.2807017543859649 21 0.22580645161290322 2.4032526435433414 0.09042335948841877 1.4729612976555964 0.22924561453299652 1.9178208679593716 0.14692678640200624 1.1754385964912277 0.3086835624660342 2.238217010170235 0.1066484881290692 0.47120358108847055 0.624250479882249 1.8076923076923077 0.1640322362961764 0.3805668016194332 0.6834739052874468 1.8423438249226904 0.15844562175781304 0.23772178386099233 0.7884220123111785 1.2692307692307692 0.2810477292104116 0.16377171215880892 0.8489358014820318 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 12 4.75 1.5447859516333116 0.32521809508069716 2.0 4.0 4.5 6.0 7.0 7.75 7.75 2.137330535547045 2.137330535547045 0.27578458523187677 0.27578458523187677 3.0 3.0 7.0 7.0 8.0 8.0 9.0 9.0 11.0 11.0 0.4653175624572408 0.4653175624572408 0.28519463505443793 0.28519463505443793 0.9054990996031346 0.9054990996031346 1.1428571428571428 1.1428571428571428 1.4464285714285714 1.4464285714285714 1.6 1.6 1.8125 1.8125 2.75 2.75
3 1 3 1.1364180000000204 0.7585825999999969 0.0 1.8950006000000172 1.8950006000000172 1.8950006000000172 1.8950006000000172 0.09475003000000086 0.0 0.0 251.765625 241.2890625 20 20 1.0 20 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 3 3.0 0.0 0.0 3.0 3.0 3.0 3.0 3.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
4 1 2 3.7616688999999894 0.6016206000000182 0.024014900000011608 4.387304400000019 2.9731870000000242 6.282305000000036 1.6055434500000132 0.1522556327777796 1.1496622666666763 0.10213602518518519 261.65234375 250.203125 46 46 1.0 46 20 20 0.9130434782608695 1.0 0.8899097752536679 1.0 1.0 1.0 1.0 1.0 0.9130434782608695 0.8125263165359575 0.9130434782608695 0.9130434782608695 0.9130434782608695 0.9130434782608695 0.9130434782608695 False 0 0 False 2.3 2.3 2.0026298499197184 2.0026298499197184 0.8707086303998777 0.8707086303998777 0.6329817150183219 0.6329817150183219 1.0 1.0 1.0 1.0 1.5 1.5 3.0 3.0 8.0 8.0 4 0.2 4 0.08695652173913043 6.92712061393477 0.0009808209685978255 3.011791571275987 0.049203448263861076 6.350000000000003 0.0017467471362611134 2.760869565217393 0.06323675596122842 2.0976176963403033 0.12274850441908539 0.41952353926806063 0.6573599514152763 1.6 0.20189651799465538 0.32 0.7261490370736909 1.378404875209022 0.2519801724780083 0.1198612934964367 0.8870434668822181 1.0 0.36787944117144233 0.08695652173913043 0.9167169520254864 4 6 1.5 0.5773502691896257 0.38490017945975047 1.0 1.0 1.5 2.0 2.0 11.5 2.6457513110645907 0.23006533139692092 9.0 9.75 11.0 12.75 15.0 4 5.0 2.581988897471611 0.5163977794943222 2.0 3.5 5.0 6.5 8.0 11.5 11.5 2.6457513110645907 2.6457513110645907 0.23006533139692092 0.23006533139692092 9.0 9.0 9.75 9.75 11.0 11.0 12.75 12.75 15.0 15.0 1.3443554837418066 1.3443554837418066 0.5845023842355681 0.5845023842355681 0.7155919023125268 0.7155919023125268 1.25 1.25 2.1875 2.1875 2.75 2.75 3.375 3.375 4.5 4.5
5 1 1 7.130518400000028 1.2032360999999838 0.04869739999998046 8.382451899999992 4.0405573000000174 14.664756900000029 1.5164207600000026 0.2031197656666663 1.2359611444444454 0.1922054481481496 264.14453125 253.7578125 73 73 1.0 0 46 46 0.9178082191780822 1.0 0.6842196901575389 1.0 1.0 1.0 1.0 1.0 0.9178082191780822 0.62798245535007 0.9178082191780822 0.9178082191780822 0.9178082191780822 0.9178082191780822 0.9178082191780822 False 0 0 False 1.5869565217391304 1.5869565217391304 0.9562911448001535 0.9562911448001535 0.6025944200110557 0.6025944200110557 0.8247288429294505 0.8247288429294505 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 10 0.21739130434782608 14 0.1917808219178082 1.984879039516587 0.13739723274752794 1.2507456961337398 0.2862912309783961 1.5515122873345941 0.21192723648876613 0.9776652769505662 0.3761883700187083 1.3280197150781936 0.26500152055255854 0.2886999380604769 0.7492369891805906 1.0000000000000007 0.36787944117144206 0.21739130434782625 0.8046150583253527 1.8203396286507534 0.1619707316902884 0.24936159296585664 0.7792981337086948 1.4272727272727275 0.23996247374227794 0.19551681195516815 0.8224095171360262 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 10 4.6 1.776388345929897 0.38617137954997766 3.0 3.0 4.0 6.0 7.0 7.3 7.3 2.5407785333546005 2.5407785333546005 0.34805185388419185 0.34805185388419185 3.0 3.0 5.25 5.25 9.0 9.0 9.0 9.0 10.0 10.0 0.6504598447054207 0.6504598447054207 0.4098788062527309 0.4098788062527309 0.8691300931696215 0.8691300931696215 1.0 1.0 1.2976190476190477 1.2976190476190477 1.5 1.5 1.7666666666666666 1.7666666666666666 3.3333333333333335 3.3333333333333335
6 2 3 1.1411631 0.8236969999999957 0.0 1.9648600999999957 1.9648600999999957 1.9648600999999957 1.9648600999999957 0.09824300499999979 0.0 0.0 261.734375 250.70703125 20 20 1.0 20 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 3 3.0 0.0 0.0 3.0 3.0 3.0 3.0 3.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
7 2 2 3.632108800000026 0.7323068000000035 0.023188999999987914 4.387604600000017 3.0156729999999925 6.352464700000013 1.6093861250000039 0.13925879701298713 1.140623833333341 0.0998233716883125 279.13671875 268.37109375 48 48 1.0 48 20 20 0.875 1.0 0.8858703488745983 1.0 1.0 1.0 1.0 1.0 0.875 0.7751365552652735 0.875 0.875 0.875 0.875 0.875 False 0 0 False 2.4 2.4 2.479388719231543 2.479388719231543 1.033078633013143 1.033078633013143 0.583789034163349 0.583789034163349 1.0 1.0 1.0 1.0 1.0 1.0 3.0 3.0 10.0 10.0 5 0.25 16 0.3333333333333333 5.751521537819363 0.0031779417574810446 2.3964673074247345 0.09103899867287764 4.8 0.00822974704902003 2.0 0.1353352832366127 1.6733200530681511 0.1876231117440643 0.3346640106136302 0.7155784727386162 1.2 0.30119421191220214 0.24 0.7866278610665535 0.7745966692414834 0.4608896344821013 0.06454972243679029 0.9374894988407955 0.6 0.5488116360940265 0.049999999999999996 0.951229424500714 4 5 1.25 0.5 0.4 1.0 1.0 1.0 1.25 2.0 12.0 1.8257418583505538 0.15214515486254615 10.0 10.75 12.0 13.25 14.0 4 5.0 1.8257418583505538 0.36514837167011077 3.0 3.75 5.0 6.25 7.0 12.0 12.0 1.8257418583505538 1.8257418583505538 0.15214515486254615 0.15214515486254615 10.0 10.0 10.75 10.75 12.0 12.0 13.25 13.25 14.0 14.0 1.0762677314594176 1.0762677314594176 0.4484448881080907 0.4484448881080907 0.7561291012233307 0.7561291012233307 1.4285714285714286 1.4285714285714286 1.982142857142857 1.982142857142857 2.833333333333333 2.833333333333333 3.5416666666666665 3.5416666666666665 3.6666666666666665 3.6666666666666665
8 2 1 7.975304400000084 1.4628161999999918 0.05187940000007529 9.490000000000151 4.0834830000000295 15.842464700000164 1.8003784111111258 0.21621875007215216 1.5149903375000129 0.20181235628833125 289.4765625 280.3984375 76 76 1.0 0 48 48 0.881578947368421 1.0 0.6702450878767334 1.0 1.0 1.0 1.0 1.0 0.881578947368421 0.5908739590492255 0.881578947368421 0.881578947368421 0.881578947368421 0.881578947368421 0.881578947368421 False 0 0 False 1.5833333333333333 1.5833333333333333 1.0070672257417181 1.0070672257417181 0.6360424583631904 0.6360424583631904 0.8200365822063111 0.8200365822063111 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 11 0.22916666666666666 15 0.19736842105263158 1.2779287350442727 0.2786137861912609 0.8071128852911197 0.4461442783167973 1.0902777777777792 0.3361231132063731 0.6885964912280711 0.5022805297214947 1.278019300845386 0.2785885544530969 0.23962861890850987 0.7869200540343061 0.8333333333333325 0.4345982085070786 0.15624999999999986 0.8553453273074226 1.5764470131232413 0.2067082266523874 0.1866845147119628 0.8297054549634979 1.0777777777777788 0.34035102149752683 0.12763157894736854 0.8801775953731245 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 9 5.333333333333333 1.6583123951777 0.31093357409581873 3.0 5.0 5.0 6.0 8.0 8.444444444444445 8.444444444444445 2.0069324297987157 2.0069324297987157 0.23766305089721632 0.23766305089721632 6.0 6.0 7.0 7.0 8.0 8.0 9.0 9.0 12.0 12.0 0.41991927741708324 0.41991927741708324 0.26521217521078944 0.26521217521078944 0.9094337849881576 0.9094337849881576 1.2 1.2 1.4 1.4 1.5 1.5 1.8333333333333333 1.8333333333333333 2.3333333333333335 2.3333333333333335
9 3 3 1.140907700000028 0.6678271000000251 0.0 1.8087348000000532 1.8087348000000532 1.8087348000000532 1.8087348000000532 0.09043674000000265 0.0 0.0 282.26171875 271.5234375 20 20 1.0 20 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 3 3.0 0.0 0.0 3.0 3.0 3.0 3.0 3.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
