 RU AL GT ST OT TT LT CT WT WT_PA MET MET_PA RSS VMS LE AC CF PSG SIZE SGLITS_T QL_SCORE LT_SCORE CT_SCORE AW_SCORE AW_PA_SCORE AME_SCORE AME_PA_SCORE TI_SCORE LT_GRADE CT_GRADE AW_GRADE AW_PA_GRADE AME_GRADE AME_PA_GRADE GRADE HAS_TRAILING TOT_CHOICES PRE_CHOICES FGOALS_ORDER CP_EF_L CP_EF_A SP_ED_L SP_ED_A SP_EB_L SP_EB_A SP_EBS_L SP_EBS_A SP_MIN_L SP_MIN_A SP_LOWER_L SP_LOWER_A SP_MED_L SP_MED_A SP_UPPER_L SP_UPPER_A SP_MAX_L SP_MAX_A T_INTER_SP P_INTER_SP T_INTER_Q P_INTER_Q M_CHILD_RMSE M_CHILD_RMSE_SCORE M_CHILD_NRMSE M_CHILD_NRMSE_SCORE M_CHILD_MAE M_CHILD_MAE_SCORE M_CHILD_NMAE M_CHILD_NMAE_SCORE DIV_INDEX_RMSE DIV_INDEX_RMSE_SCORE DIV_INDEX_NRMSE DIV_INDEX_NRMSE_SCORE DIV_INDEX_MAE DIV_INDEX_MAE_SCORE DIV_INDEX_NMAE DIV_INDEX_NMAE_SCORE DIV_STEP_RMSE DIV_STEP_RMSE_SCORE DIV_STEP_NRMSE DIV_STEP_NRMSE_SCORE DIV_STEP_MAE DIV_STEP_MAE_SCORE DIV_STEP_NMAE DIV_STEP_NMAE_SCORE DS_T DIVS_T DS_TD_MEAN DS_TD_STD DS_TD_CD DS_TD_MIN DS_TD_LOWER DS_TD_MED DS_TD_UPPER DS_TD_MAX DS_TS_MEAN DS_TS_STD DS_TS_CD DS_TS_MIN DS_TS_LOWER DS_TS_MED DS_TS_UPPER DS_TS_MAX PR_T PR_TS_MEAN PR_TS_STD PR_TS_CD PR_TS_MIN PR_TS_LOWER PR_TS_MED PR_TS_UPPER PR_TS_MAX PP_LE_MEAN PP_AC_MEAN PP_LE_STD PP_AC_STD PP_LE_CD PP_AC_CD PP_LE_MIN PP_AC_MIN PP_LE_LOWER PP_AC_LOWER PP_LE_MED PP_AC_MED PP_LE_UPPER PP_AC_UPPER PP_LE_MAX PP_AC_MAX PP_ED_L PP_ED_A PP_EB_L PP_EB_A PP_EBS_L PP_EBS_A PP_EF_LE_MIN PP_EF_AC_MIN PP_EF_LE_LOWER PP_EF_AC_LOWER PP_EF_LE_MED PP_EF_AC_MED PP_EF_LE_UPPER PP_EF_AC_UPPER PP_EF_LE_MAX PP_EF_AC_MAX
0 0 5 1.4841376000001674 0.8189461999999139 0.0 2.3030838000000813 2.3030838000000813 2.3030838000000813 2.3030838000000813 0.13547551764706361 0.0 0.0 1210.94140625 1237.83203125 17 17 1.0 30 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 17.0 0.0 0.0 17.0 17.0 17.0 17.0 17.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 0 4 3.437644999999975 4.164571999999964 0.0 7.602216999999939 3.7390048000001457 9.90530080000002 5.028514450000017 0.3449008425000045 6.318024099999889 0.6318024099999888 1306.140625 1341.13671875 30 30 1.0 30 17 30 0.9666666666666667 1.0 0.7630791206922214 0.9962490397879884 1.0 0.8878379778204973 1.0 0.9626126592734991 0.9666666666666667 0.7376431500024807 0.9630407384617221 0.9666666666666667 0.8582433785598141 0.9666666666666667 0.9305255706310491 False 0 0 False 1.7647058823529411 1.7647058823529411 0.9034248560828041 0.39528470752104744 0.5119407517802557 0.39528470752104744 0.7728180898548777 0.8824308495647697 1.0 0.5 1.0 0.5 1.0 1.0 3.0 1.5 3.0 1.5 0 0.0 0 0.0 3.119311431426553 0.04418758412860799 1.7676098111417133 0.17074060378180345 2.5882352941176463 0.07515254527331514 1.4666666666666663 0.2306931822549629 0.28867513459481287 0.7492555730849976 0.03396178054056622 0.9666084471838756 0.16666666666666666 0.8464817248906141 0.0196078431372549 0.9805831403241086 2.886751345948129 0.05575705408641982 0.19245008972987526 0.8249354899292867 1.6666666666666667 0.18887560283756183 0.11111111111111112 0.8948393168143698 2 2 1.0 1.4142135623730951 1.4142135623730951 0.0 0.5 1.0 1.5 2.0 15.0 7.0710678118654755 0.4714045207910317 10.0 12.5 15.0 17.5 20.0 2 8.5 0.7071067811865476 0.0831890330807703 8.0 8.25 8.5 8.75 9.0 15.0 15.0 7.0710678118654755 7.0710678118654755 0.4714045207910317 0.4714045207910317 10.0 10.0 12.5 12.5 15.0 15.0 17.5 17.5 20.0 20.0 0.6874649261535879 0.6874649261535879 0.3895634581536998 0.3895634581536998 0.815323699450786 0.815323699450786 1.25 1.25 1.4930555555555556 1.4930555555555556 1.7361111111111112 1.7361111111111112 1.9791666666666667 1.9791666666666667 2.2222222222222223 2.2222222222222223
2 0 3 7.42554320000005 6.887898000000064 0.0 14.313441200000113 14.428841600000169 24.218742000000134 6.207165399999951 0.38078993611471024 3.466606666666545 0.1714029179292854 1306.44921875 1335.375 56 56 1.0 56 30 30 0.9821428571428571 0.6872040452632231 0.5988802386087755 0.8943760072646297 1.0 1.0 1.0 0.8957346817544077 0.6749325444549512 0.5881859486336187 0.8784050071349042 0.9821428571428571 0.9821428571428571 0.9821428571428571 0.8797394195802218 False 0 0 False 1.8666666666666667 1.8666666666666667 1.7952683659406263 1.7952683659406263 0.9617509103253356 0.9617509103253356 0.6977746354925889 0.6977746354925889 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 10.0 10.0 0 0.0 0 0.0 9.06535938287836 0.00011560175931217425 4.856442526541978 0.007778105133654488 8.266666666666664 0.00025694033317281 4.428571428571427 0.011931522535756163 1.224744871391589 0.293832655878073 0.1632993161855452 0.8493369300745177 0.8 0.44932896411722156 0.10666666666666667 0.8988252314716089 9.736529155710468 5.908525508011628e-05 0.6954663682650334 0.49884174976645657 7.2 0.0007465858083766792 0.5142857142857143 0.5979275332171694 4 4 1.0 2.0 2.0 0.0 0.0 0.0 1.0 4.0 14.0 10.801234497346433 0.7715167498104595 7.0 7.75 9.5 15.75 30.0 4 7.5 1.7320508075688772 0.2309401076758503 6.0 6.75 7.0 7.75 10.0 14.0 14.0 10.801234497346433 10.801234497346433 0.7715167498104595 0.7715167498104595 7.0 7.0 7.75 7.75 9.5 9.5 15.75 15.75 30.0 30.0 0.9129485509541829 0.9129485509541829 0.48907958086831227 0.48907958086831227 0.8092889877067877 0.8092889877067877 1.0 1.0 1.1071428571428572 1.1071428571428572 1.4880952380952381 1.4880952380952381 2.125 2.125 3.0 3.0
3 0 2 16.765440100000376 6.01961880000016 0.0 22.785058900000536 18.262188900000126 47.00380090000067 6.093125137500074 0.5879627537831882 4.354687457142924 0.43299145873195455 1336.01953125 1374.36328125 90 90 1.0 106 56 56 0.9444444444444444 0.6454409938065284 0.49819659032402563 0.9014536592833957 1.0 1.0 1.0 0.8818136646021761 0.6095831608172768 0.47051900197269086 0.8513729004343181 0.9444444444444444 0.9444444444444444 0.9444444444444444 0.8328240165687218 False 0 0 False 1.6071428571428572 1.6071428571428572 1.4356319030444262 1.4356319030444262 0.8932820730054207 0.8932820730054207 0.778850073310583 0.778850073310583 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 10.0 10.0 0 0.0 0 0.0 4.787512988206391 0.008333156290011147 2.978896970439532 0.050848890772640994 4.197704081632652 0.015030044993643918 2.611904761904761 0.07339461127675544 2.494438257849294 0.08254280614426564 0.3563483225498992 0.7002286723147848 1.7777777777777777 0.1690133154060661 0.25396825396825395 0.7757164275739282 2.242270674512285 0.10621704600717434 0.19931294884553646 0.8192934562678822 1.9444444444444444 0.1430666827544082 0.1728395061728395 0.8412726230733021 8 3 0.375 0.5175491695067657 1.3801311186847085 0.0 0.0 0.0 1.0 1.0 11.25 4.06201920231798 0.36106837353937604 6.0 8.5 10.5 14.5 17.0 8 7.0 1.7728105208558367 0.2532586458365481 6.0 6.0 6.0 7.25 11.0 11.25 11.25 4.06201920231798 4.06201920231798 0.36106837353937604 0.36106837353937604 6.0 6.0 8.5 8.5 10.5 10.5 14.5 14.5 17.0 17.0 0.596674894207273 0.596674894207273 0.37126437861785877 0.37126437861785877 0.8837559270245605 0.8837559270245605 1.0 1.0 1.2291666666666667 1.2291666666666667 1.4155844155844157 1.4155844155844157 1.9583333333333333 1.9583333333333333 2.6666666666666665 2.6666666666666665
4 0 1 82.8332994000001 33.786023000000114 0.0 116.61932240000021 30.369906800000138 163.62312330000088 15.232768318181881 1.0703272428732014 13.719054470000055 1.0521322349283673 1495.83203125 1564.90234375 158 158 1.0 0 90 106 0.930379746835443 0.5634440457358101 0.3232223106306157 0.6772968162343369 0.9909326854968268 0.6966078831901994 0.9932201293251804 0.75109068608373 0.5242169286276207 0.30071949153607913 0.6301432404205539 0.9219437010635033 0.6481098660060716 0.9240718924734274 0.6987995623690398 False 0 0 False 1.7555555555555555 1.7555555555555555 1.094533004015366 1.1679901535336505 0.6234681668441958 0.7031378850704251 0.8356973576853769 0.8280370507799119 1.0 0.5 1.0 1.0 1.0 1.0 3.0 3.0 4.0 4.0 0 0.0 0 0.0 7.872931173806216 0.00038091619265971405 4.48458104837063 0.011281612980942109 6.218765432098764 0.00199170259214404 3.5423347398030938 0.02894566752710065 3.4333480435107053 0.03227868920262395 0.41963142754019733 0.6572890338116039 2.8333333333333335 0.05881647164242988 0.3462962962962963 0.7073028848307111 5.93461851930661 0.00264623204845287 0.41316964374919435 0.6615500454779406 4.840909090909091 0.007899869087025264 0.3370253164556962 0.713890766489982 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 11 8.181818181818182 1.4709304414677002 0.1797803872904967 6.0 7.0 8.0 9.0 11.0 14.363636363636363 14.363636363636363 5.696889103233927 5.696889103233927 0.3966188616175519 0.3966188616175519 6.0 6.0 11.0 11.0 13.0 13.0 17.0 17.0 27.0 27.0 0.5447604793134604 0.5447604793134604 0.3103066021405787 0.3103066021405787 0.9033583861050528 0.9033583861050528 1.0 1.0 1.3125 1.3125 1.8571428571428572 1.8571428571428572 2.142857142857143 2.142857142857143 2.4545454545454546 2.4545454545454546
5 1 5 1.488073699999859 0.7942915999999514 0.0 2.2823652999998103 2.2823652999998103 2.2823652999998103 2.2823652999998103 0.13425678235293 0.0 0.0 1269.10546875 1298.5 17 17 1.0 30 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 17.0 0.0 0.0 17.0 17.0 17.0 17.0 17.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
6 1 4 3.3859258999997337 1.8884171999995942 0.0 5.274343099999328 4.361645399999247 7.556708399999138 3.853844199999628 0.26616862171942834 3.3460430000000088 0.25738792307692376 1302.0390625 1329.23046875 30 30 1.0 30 17 30 0.9666666666666667 1.0 0.8307213114263323 1.0 1.0 1.0 1.0 1.0 0.9666666666666667 0.8030306010454545 0.9666666666666667 0.9666666666666667 0.9666666666666667 0.9666666666666667 0.9666666666666667 False 0 0 False 1.7647058823529411 1.7647058823529411 1.147247344990711 1.0684306798510883 0.6501068288280696 0.9559642924983421 0.7302756183903186 0.7434749502350021 1.0 0.5 1.0 0.5 1.0 1.0 2.0 1.0 5.0 5.0 0 0.0 0 0.0 1.1764705882352942 0.3083651678965814 0.6666666666666667 0.513417119032592 0.955017301038062 0.3848054869610107 0.5411764705882351 0.5820630693226092 0.28867513459481287 0.7492555730849976 0.03396178054056622 0.9666084471838756 0.16666666666666666 0.8464817248906141 0.0196078431372549 0.9805831403241086 1.1547005383792515 0.3151518986722024 0.0769800358919501 0.9259083383560902 0.6666666666666666 0.513417119032592 0.04444444444444444 0.9565287391030293 2 2 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 15.0 2.8284271247461903 0.1885618083164127 13.0 14.0 15.0 16.0 17.0 2 8.5 0.7071067811865476 0.0831890330807703 8.0 8.25 8.5 8.75 9.0 15.0 15.0 2.8284271247461903 2.8284271247461903 0.1885618083164127 0.1885618083164127 13.0 13.0 14.0 14.0 15.0 15.0 16.0 16.0 17.0 17.0 0.18659762281311668 0.18659762281311668 0.10573865292743279 0.10573865292743279 0.9396127115385058 0.9396127115385058 1.625 1.625 1.6909722222222223 1.6909722222222223 1.7569444444444444 1.7569444444444444 1.8229166666666665 1.8229166666666665 1.8888888888888888 1.8888888888888888
7 1 3 7.088065799999981 3.073604699999919 0.0 10.1616704999999 8.71402689999934 17.71837889999904 4.583262474999799 0.3392474073795891 3.206340999999952 0.2430727951388841 1313.8984375 1349.328125 56 56 1.0 56 30 30 0.9821428571428571 0.7931380382483109 0.6506274691082613 1.0 1.0 1.0 1.0 0.931046012749437 0.7789748589938768 0.6390091214456137 0.9821428571428571 0.9821428571428571 0.9821428571428571 0.9821428571428571 0.9144201910931969 False 0 0 False 1.8666666666666667 1.8666666666666667 1.8332810859848756 1.8332810859848756 0.9821148674918976 0.9821148674918976 0.6938032940891661 0.6938032940891661 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 10.0 10.0 0 0.0 0 0.0 6.321450841439862 0.0017973339670738588 3.3864915221999263 0.03382715075405995 5.566666666666665 0.0038232032269108545 2.982142857142856 0.05068410861099273 1.3038404810405297 0.27148714710534766 0.17384539747207065 0.8404268197259018 1.0 0.36787944117144233 0.13333333333333333 0.8751733190429475 3.4351128074635335 0.032221775170162115 0.24536520053310953 0.7824187463160932 2.2 0.11080315836233387 0.15714285714285717 0.8545819669589086 4 3 0.75 0.9574271077563381 1.2765694770084508 0.0 0.0 0.5 1.25 2.0 14.0 5.715476066494082 0.408248290463863 8.0 10.25 13.5 17.25 21.0 4 7.5 1.2909944487358056 0.17213259316477408 6.0 6.75 7.5 8.25 9.0 14.0 14.0 5.715476066494082 5.715476066494082 0.408248290463863 0.408248290463863 8.0 8.0 10.25 10.25 13.5 13.5 17.25 17.25 21.0 21.0 1.0931729437321605 1.0931729437321605 0.5856283627136574 0.5856283627136574 0.7828173473192039 0.7828173473192039 1.1428571428571428 1.1428571428571428 1.2023809523809526 1.2023809523809526 1.6111111111111112 1.6111111111111112 2.375 2.375 3.5 3.5
8 1 2 15.783097699999871 5.425817999999822 0.0 21.208915699999693 12.874186899999359 38.92729459999873 5.786909271428385 0.4765330576190343 4.605696333333223 0.3955216870237992 1338.30859375 1366.89453125 86 86 1.0 100 56 56 0.9883720930232558 0.7087406446915847 0.5259490734127152 0.9225556380326384 1.0 1.0 1.0 0.9029135482305283 0.7004994744044732 0.5198333865125674 0.911828246892724 0.9883720930232558 0.9883720930232558 0.9883720930232558 0.8924145534836616 False 0 0 False 1.5357142857142858 1.5357142857142858 0.9716768208390298 0.9716768208390298 0.6327197903137869 0.6327197903137869 0.8313478148116422 0.8313478148116422 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 0 0.0 0 0.0 2.9015521884055104 0.05493787990133553 1.8893828203570764 0.15116507605975957 2.6071428571428563 0.07374494288657084 1.6976744186046506 0.18310886384696654 2.2638462845343543 0.103949893985998 0.2829807855667943 0.7535342664544488 1.875 0.15335496684492847 0.234375 0.791065110850296 2.031009601158992 0.1312029915663918 0.1653147349780575 0.8476268842725315 1.5535714285714308 0.21149129736105465 0.1264534883720932 0.8812151353408308 7 5 0.7142857142857143 0.4879500364742666 0.6831300510639732 0.0 0.5 1.0 1.0 1.0 12.285714285714286 2.214669705568283 0.18026381324393 9.0 11.0 12.0 14.0 15.0 7 8.0 1.4142135623730951 0.1767766952966369 7.0 7.0 8.0 8.0 11.0 12.285714285714286 12.285714285714286 2.214669705568283 2.214669705568283 0.18026381324393 0.18026381324393 9.0 9.0 11.0 11.0 12.0 12.0 14.0 14.0 15.0 15.0 0.3309284963471115 0.3309284963471115 0.21548832320277028 0.21548832320277028 0.9289809094506805 0.9289809094506805 1.25 1.25 1.2792207792207793 1.2792207792207793 1.5 1.5 1.7321428571428572 1.7321428571428572 2.142857142857143 2.142857142857143
9 1 1 78.98808259999987 26.84601180000061 0.0 105.83409440000048 24.83686589999911 144.7613889999992 12.418727633333285 0.9612525083627839 11.2898059727273 0.9295868242952267 1416.921875 1461.0078125 154 154 1.0 0 86 100 0.9545454545454546 0.5948626744224006 0.33999886635264887 0.7157698909092018 1.0 0.734978878778862 1.0 0.7766138510670876 0.5678234619486552 0.3245443724275285 0.6832348958678746 0.9545454545454546 0.7015707479252774 0.9545454545454546 0.7413132214731291 False 0 0 False 1.7906976744186047 1.7906976744186047 1.1179422174878213 1.189327828647143 0.6243053941815105 0.6957972330860837 0.8315252684048937 0.8240831895130416 1.0 0.5 1.0 1.0 1.0 1.0 3.0 3.0 4.0 4.0 0 0.0 0 0.0 4.199654882933719 0.015000752943089933 2.3452618177422067 0.09582211091724577 3.485127095727419 0.030649862715049506 1.9462398067049222 0.14281005666878624 1.2926485102069194 0.2745426902173815 0.1803695595637562 0.8349615863475088 0.8717948717948698 0.4182002593646818 0.12164579606440043 0.8854619470704432 4.53240940811121 0.010754732291498412 0.35317475907360074 0.7024544223657805 3.820512820512818 0.02191655875100926 0.2977022977022975 0.7425223574593128 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 12 7.166666666666667 1.2673044646258476 0.17683318111058338 6.0 6.0 7.0 7.25 10.0 12.833333333333334 12.833333333333334 3.7132033054868927 3.7132033054868927 0.28934051731066696 0.28934051731066696 6.0 6.0 11.5 11.5 13.5 13.5 15.25 15.25 18.0 18.0 0.6396076512522406 0.6396076512522406 0.357183493556446 0.357183493556446 0.8889945163034491 0.8889945163034491 1.0 1.0 1.4166666666666667 1.4166666666666667 1.7321428571428572 1.7321428571428572 2.3392857142857144 2.3392857142857144 2.8333333333333335 2.8333333333333335
