problem   ps15 ps15 ps15 ps15 ps15 ps15 ps15 ps15
   "Wait time" "Yield time" "Percent wait time" "Percent yield time" Size Length "Expansion factor" "Sub-Plan expansion deviation"
planning_mode AL PN        
online 1.0 1.0 1.7679707000001486 1.7679707000001486   2.0 4.0 2.0 0.0
online 1.0 2.0 0.9122823999998104 2.7158061499999633   2.0 2.0 2.0 0.0
online 1.0 3.0 0.6200533000000235 3.375558549999935   2.0 4.0 1.333333333333333 0.5
online 1.0 4.0 0.841258050000107 4.344250450000288   3.0 6.0 2.0 0.5773502691896257
online 1.0 5.0 0.3896980000000667 4.651203749999809   1.5 2.0 1.0 0.0
online 1.0 6.0 0.47139784999987455 5.403185600000043   2.0 3.0 2.0 0.7071067811865476
online 1.0 7.0 0.2536628999999522 5.661390050000165   2.0 2.0 1.0 0.0
online 1.0 8.0 0.3455482499999505 6.008456799999806   2.0 3.0 1.5 0.7071067811865476
online 1.0 9.0 0.25116589999993266 5.770890599999987   1.0 2.0 2.0 0.0
online 1.0 10.0 0.34792025000004406 6.080322749999965   1.0 3.0 2.0 0.0
online 1.0 11.0 0.16692599999997526 6.346551650000322   1.0 1.0 1.0 0.0
online 1.0 12.0 0.43868584999989935 6.655952350000064   2.0 3.5 3.0 0.7071067811865476
online 1.0 13.0 0.1659543999999471 6.476128200000375   1.0 1.0 1.0 0.0
online 1.0 14.0 0.16580685000002404 6.683049599999997   1.0 1.0 1.0 0.0
online 1.0 15.0 0.2509170499999982 6.879944699999896   1.0 2.0 2.0 0.0
online 1.0 16.0 0.25119755000001476 7.142330550000622   1.0 2.0 2.0 0.0
online 1.0 17.0 0.164253150000043 7.2104568999996985   1.0 1.0 1.0 0.0
online 1.0 18.0 0.1641523000000689 7.421907750000145   1.0 1.0 1.0 0.0
online 1.0 19.0 0.16442645000000766 7.591844549999905   1.0 1.0 1.0 0.0
online 1.0 20.0 0.25088809999996897 7.843634450000067   1.0 2.0 2.0 0.0
online 1.0 21.0 7.949965099999986 15.7588363999995   1.0 27.0 27.0 0.0
online 1.0 22.0 0.2517481000001851 8.031599100000058   1.0 2.0 2.0 0.0
online 1.0 23.0 8.860435600000073 16.94945560000048   1.0 27.0 27.0 0.0
online 2.0 1.0 1.433919400000093 1.433919400000093   3.0 6.0 2.0 0.0
online 2.0 2.0 0.5351713000000586 2.075056299999943   4.0 8.0 2.25 1.258305739211792
online 2.0 3.0 0.26941630000000316 2.3251928500002634   3.0 3.5 1.375 0.6035533905932737
online 2.0 4.0 0.29620670000000615 2.597533350000333   3.5 4.0 1.1666666666666665 0.28867513459481287
online 2.0 5.0 0.2239369499999526 2.541832600000305   3.0 3.0 1.0 0.0
online 2.0 6.0 0.22061385000000655 2.7633603499997434   3.0 3.0 1.0 0.0
online 3.0 1.0 0.9830743000001121 0.9830743000001121   1.0 15.0 1.0 0.0
