problem   ps1 ps1 ps1 ps1 ps1 ps1 ps1 ps1 ps2 ps2 ps2 ps2 ps2 ps2 ps2 ps2 ps3 ps3 ps3 ps3 ps3 ps3 ps3 ps3
   "Wait time" "Yield time" "Percent wait time" "Percent yield time" Size Length "Expansion factor" "Sub-Plan expansion deviation" "Wait time" "Yield time" "Percent wait time" "Percent yield time" Size Length "Expansion factor" "Sub-Plan expansion deviation" "Wait time" "Yield time" "Percent wait time" "Percent yield time" Size Length "Expansion factor" "Sub-Plan expansion deviation"
preach_type AL PN                        
NONE 1.0 1.0 4.011256749999973 4.011256749999973   8.0 13.0 1.625 0.7440238091428449 6.329785499999829 6.329785499999829   12.0 22.0 1.833333333333333 1.414213562373095 7.271522299999447 7.271522299999447   13.0 24.0 1.866666666666667 1.4088362464537845
NONE 1.0 2.0 1.9650974499999805 5.99533194999978   9.0 14.0 1.555555555555556 0.7440238091428449 2.748085950000082 9.403438150000095   13.0 19.0 1.4807692307692304 0.9674179220468452 3.6242986500003553 11.04309910000001   13.0 19.5 1.5192307692307696 0.7847251473794521
NONE 1.0 3.0 0.5096532000000309 6.513138199999901   4.0 5.0 1.25 0.5 0.5163406999999722 9.96262195000017   4.0 5.0 1.25 0.5 1.3933409500001517 12.540681500000005   9.0 13.0 1.6 0.7440238091428449
NONE 1.0 4.0 1.19618554999991 7.855689200000015   5.0 11.0 2.2 2.16794833886788 1.2389079999999808 12.071584750000225   5.0 11.0 2.2 2.16794833886788 3.426327000000171 16.45216375000075   9.0 22.0 2.5 2.6909791963841636
NONE 2.0 1.0 2.6542863499999356 2.6542863499999356   9.0 17.0 1.888888888888889 1.05409255338946 3.6440160999999875 3.6440160999999875   9.0 25.0 2.777777777777778 2.990726407487727 4.339791050000144 4.339791050000144   10.0 26.0 2.6 2.796823595120404
NONE 2.0 2.0 0.4984499500000368 3.163753299999854   9.0 9.0 1.0 0.0 0.5030996999999502 4.157519700000108   9.0 9.0 1.0 0.0 1.3667711000000509 5.715792999999763   10.0 18.0 1.8 1.0645301265813
NONE 3.0 1.0 1.3473304499997596 1.3473304499997596   1.0 18.0 1.0 0.0 1.3452360000001988 1.3452360000001988   1.0 18.0 1.0 0.0 1.900415499999582 1.900415499999582   1.0 20.0 1.0 0.0
opt 1.0 1.0 4.0790834000000515 4.0790834000000515   8.0 13.0 1.625 0.7440238091428449 6.369607100000039 6.369607100000039   12.0 22.0 1.833333333333333 1.414213562373095 7.614070349999579 7.614070349999579   13.0 25.0 1.866666666666667 1.382120258970402
opt 1.0 2.0 2.103771999999964 6.2827064000000465   9.0 14.0 1.555555555555556 0.7264831572567789 2.9551601000000858 9.526046250000178   13.0 19.0 1.461538461538461 0.8373910272622473 4.219629000000012 11.95487870000019   13.0 23.0 1.6 0.7631250129030924
opt 1.0 3.0 0.5289926500000774 6.8184701500000475   4.0 5.0 1.25 0.5 0.5215554999999199 10.123492349999365   4.0 5.0 1.25 0.5 1.3806569500000305 13.389280900000275   8.0 13.0 1.55 0.7264831572567789
opt 1.0 4.0 0.7318628499999846 7.60471289999996   5.0 7.0 1.4 0.5477225575051661 0.7220341499999421 10.894596899999584   5.0 7.0 1.4 0.5477225575051661 1.488096549999888 15.005952150000269   9.0 14.0 1.555555555555556 0.7264831572567789
opt 2.0 1.0 2.712245250000052 2.712245250000052   9.0 17.0 1.888888888888889 1.05409255338946 3.6609292000002824 3.6609292000002824   9.0 25.0 2.777777777777778 2.948634335492355 4.560538399999956 4.560538399999956   10.0 26.0 2.6 2.796823595120404
opt 2.0 2.0 0.638804150000027 3.369444500000043   9.0 9.0 1.0 0.0 0.6253813000000861 4.328714950000347   9.0 9.0 1.0 0.0 1.6271017500000649 6.20835009999945   10.0 17.0 1.7 0.8627158106848554
opt 3.0 1.0 1.3639246499999014 1.3639246499999014   1.0 18.0 1.0 0.0 1.3646806999998375 1.3646806999998375   1.0 18.0 1.0 0.0 1.922408099999757 1.922408099999757   1.0 20.0 1.0 0.0
