problem   ps1 ps1 ps1 ps1 ps1 ps1 ps1 ps1 ps2 ps2 ps2 ps2 ps2 ps2 ps2 ps2 ps3 ps3 ps3 ps3 ps3 ps3 ps3 ps3
   "Wait time" "Yield time" "Percent wait time" "Percent yield time" Size Length "Expansion factor" "Sub-Plan expansion deviation" "Wait time" "Yield time" "Percent wait time" "Percent yield time" Size Length "Expansion factor" "Sub-Plan expansion deviation" "Wait time" "Yield time" "Percent wait time" "Percent yield time" Size Length "Expansion factor" "Sub-Plan expansion deviation"
planning_mode AL PN                        
online 1.0 1.0 2.5705837000000424 2.5705837000000424   1.0 2.0 2.0 0.0 3.892796449999963 3.892796449999963   3.0 7.0 2.0 0.7071067811865476 4.146748649999552 4.146748649999552   3.0 7.0 2.0 0.7071067811865476
online 1.0 2.0 1.3902854000000384 3.931464899999966   2.0 3.0 2.0 0.5773502691896257 2.792190399999839 7.799154699999903   3.0 11.0 2.125 1.356202681860537 2.8783751499998402 8.554798950000247   3.0 11.0 2.166666666666667 1.322875655532295
online 1.0 3.0 0.8511230000000545 5.180003500000019   2.0 3.0 1.5 0.7071067811865476 1.5619913000002725 9.7511070999997   3.0 5.0 1.666666666666667 0.5773502691896257 1.9532425999999534 10.23474425000043   3.0 5.0 1.666666666666667 0.5773502691896257
online 1.0 4.0 1.2378139500000385 6.590135649999837   2.0 5.0 2.5 0.7071067811865476 1.2432835499998305 11.503262950000074   3.0 5.0 1.5 0.5773502691896257 1.7089974500001404 12.056421700000229   3.0 6.0 1.5 0.6900655593423543
online 1.0 5.0 0.5516423499999803 6.996124949999981   1.0 1.0 1.0 0.0 0.6968195000002027 11.524199399999585   2.0 2.0 1.0 0.0 1.0403835499999445 13.188907799999964   2.0 3.5 1.5 0.7071067811865476
online 1.0 6.0 0.7891580500000543 7.775648149999931   1.5 3.0 2.0 0.0 1.167779849999988 12.543253600000156   2.0 4.5 2.333333333333333 0.7071067811865476 1.2542423000001577 14.025708449998035   2.5 4.5 2.0 0.7071067811865476
online 1.0 7.0 0.5756341499999991 8.092203449999985   1.0 2.5 1.5 0.0 0.2936449999999695 12.919535200000155   1.0 1.0 1.0 0.0 0.5740536500001099 14.56318990000068   1.5 2.0 1.0 0.0
online 1.0 8.0 0.43734824999999233 8.530984800000063   1.0 2.0 1.5 0.0 0.5576599999999701 13.412342049999996   2.0 3.0 1.5 0.0 0.7549538999998617 15.028735350000321   2.0 3.5 1.9 0.5773502691896257
online 1.0 9.0 0.29112069999999335 8.565339999999253   1.0 1.0 1.0 0.0 0.29312734999990653 13.39270494999954   1.0 1.0 1.0 0.0 0.4269706000000042 14.819505699999976   2.0 2.0 1.0 0.0
online 1.0 10.0 0.4222987499999533 8.98533969999933   1.0 2.0 2.0 0.0 0.42420215000003486 13.9729030500002   1.0 2.0 2.0 0.0 0.60182365 15.613852650000084   2.0 2.5 2.0 0.0
online 1.0 11.0 0.2947313999999466 9.333894350000037   1.0 1.0 1.0 0.0 0.41780645000005734 14.376358099999951   1.0 2.0 1.0 0.0 0.5672061499999614 16.203356800000222   2.0 2.5 1.5 0.28867513459481287
online 1.0 12.0 0.4272553999999218 9.798364900000195   1.0 2.0 2.0 0.0 0.4406838499998855 14.933811450000135   2.0 2.0 1.5 0.0 0.8567464499996189 16.59145454999981   2.5 4.0 2.0 0.7071067811865476
online 1.0 13.0 0.2958496999999838 9.709300549999824   1.0 1.0 1.0 0.0 0.29089030000000093 14.91485740000013   1.0 1.0 1.0 0.0 0.42032539999999585 15.962576800002125   1.0 1.5 1.25 0.0
online 1.0 14.0 0.4149695500000803 10.081525099999709   1.0 2.0 2.0 0.0 0.4243371999999681 15.341289950000089   1.0 2.0 2.0 0.0 0.4216004500000281 16.315041400002087   1.0 2.0 1.75 0.0
online 1.0 15.0 0.4240625000000193 10.45529230000008   1.0 2.0 2.0 0.0 0.2974614000000315 15.63077355000007   1.0 1.0 1.0 0.0 0.4208256499998697 16.602107850001516   1.0 2.0 2.0 0.0
