problem   ps1 ps1 ps1 ps1 ps1 ps1 ps1 ps1 ps2 ps2 ps2 ps2 ps2 ps2 ps2 ps2 ps3 ps3 ps3 ps3 ps3 ps3 ps3 ps3
   "Wait time" "Yield time" "Percent wait time" "Percent yield time" Size Length "Expansion factor" "Sub-Plan expansion deviation" "Wait time" "Yield time" "Percent wait time" "Percent yield time" Size Length "Expansion factor" "Sub-Plan expansion deviation" "Wait time" "Yield time" "Percent wait time" "Percent yield time" Size Length "Expansion factor" "Sub-Plan expansion deviation"
planning_mode AL PN                        
online 1.0 1.0 2.650177199999874 2.650177199999874   1.0 2.0 2.0 0.0 4.178610750000004 4.178610750000004   3.0 7.0 2.0 0.7071067811865476 4.486628249999782 4.486628249999782   3.0 7.0 2.0 0.7071067811865476
online 1.0 2.0 1.3904948500000098 3.9592520500003374   2.0 3.0 2.0 0.5773502691896257 2.902179899999993 8.23871820000003   3.0 11.0 2.166666666666667 1.356202681860537 3.0820774000000597 8.812261849999615   3.0 11.0 2.166666666666667 1.322875655532295
online 1.0 3.0 0.828874200000044 5.2417896499999515   2.0 3.0 1.5 0.7071067811865476 1.5664378999997837 9.905163599999703   3.0 5.0 1.666666666666667 0.5773502691896257 1.942031450000087 10.502613150000315   3.0 5.0 1.666666666666667 0.5773502691896257
online 1.0 4.0 1.226518949999985 6.784597699999523   2.0 5.0 2.5 0.7071067811865476 1.1570896499999326 11.63886340000008   3.0 5.0 1.5 0.5773502691896257 1.717270800000151 12.47771420000184   3.0 6.0 1.666666666666667 0.6900655593423543
online 1.0 5.0 0.5456188499999257 6.97940360000041   1.0 1.0 1.0 0.0 0.6906183999998348 11.737563199999784   2.0 2.0 1.0 0.0 1.0508891000000058 13.48164429999959   2.0 3.5 1.5 0.7071067811865476
online 1.0 6.0 0.7963351500000613 7.797580950000302   1.5 3.0 2.0 0.0 1.1777625500001534 12.849103850000345   2.0 4.5 2.333333333333333 0.7071067811865476 1.216514650000363 14.27508679999991   2.5 4.5 2.0 0.7071067811865476
online 1.0 7.0 0.5756208000000242 8.123424549999964   1.0 2.5 1.5 0.0 0.29199259999995775 13.168848150000485   1.0 1.0 1.0 0.0 0.5657492500001808 14.742352349999411   1.5 2.0 1.0 0.0
online 1.0 8.0 0.4360533999999774 8.545032500000161   1.0 2.0 1.5 0.0 0.5600483499999598 13.615174050000975   2.0 3.0 1.5 0.0 0.7608147000001679 15.20274879999971   2.0 3.5 1.9 0.5773502691896257
online 1.0 9.0 0.2924254499999961 8.584232449999604   1.0 1.0 1.0 0.0 0.2930593500000782 13.524285549999746   1.0 1.0 1.0 0.0 0.4240663499999755 14.94257359999932   2.0 2.0 1.0 0.0
online 1.0 10.0 0.42364764999996396 9.005649400000465   1.0 2.0 2.0 0.0 0.4224493500000648 14.183008749999315   1.0 2.0 2.0 0.0 0.606517299999922 15.75357149999978   2.0 2.5 2.0 0.0
