planning_mode problem  GT ST TT LE
offline ps1 0.0 0.8569677830233615 0.349125416217013 0.5888109612286394 1.0
offline ps1 0.5 0.8537354870066903 0.36114901464463106 0.5622636586700464 1.0
offline ps1 1.0 0.8511907750979195 0.41131569010634955 0.5587458319653247 1.0
offline ps2 0.0 0.87809833645777 0.21065409952901848 0.3958525152354155 1.0
offline ps2 0.5 0.8761699073253288 0.21317946042068428 0.37121278340292 1.0
offline ps2 1.0 0.9193095382135081 0.3415006184088854 0.44585529730180445 1.0377358490566038
offline ps3 0.0 0.9105740289289228 0.06259930706554448 0.09694659807981099 1.0298507462686568
offline ps3 0.5 0.9553285350189396 0.06114830048764286 0.08232037834241994 1.0597014925373134
offline ps3 1.0 0.995461990836938 0.08251306401540921 0.0978949435309942 1.0895522388059702
online ps1 0.0 0.7736947634948537 0.11852481376824962 0.44721917517424076 1.0
online ps1 0.5 0.8767296465639483 0.13846394554727168 0.4435648698650759 1.0512820512820513
online ps1 1.0 1.0335222289058767 0.1470650138429036 0.4235177798060061 1.205128205128205
online ps2 0.0 0.7215851710835834 0.05178952650788643 0.251618108565206 1.0
online ps2 0.5 0.8003367536088338 0.06426973955849144 0.23653336743797065 1.1132075471698113
online ps2 1.0 1.169884889219179 0.07609926657386118 0.263795920588082 1.509433962264151
online ps3 0.0 0.6510393028248505 0.005038522982972018 0.03147351434144066 1.0298507462686568
online ps3 0.5 0.7146277247730015 0.005323399208221889 0.02317548224264501 1.1194029850746268
online ps3 1.0 1.0462273624052443 0.01139632718954034 0.02305304881196321 1.671641791044776
