problem   ps1 ps1 ps1 ps1 ps1 ps1 ps1 ps1 ps2 ps2 ps2 ps2 ps2 ps2 ps2 ps2 ps3 ps3 ps3 ps3 ps3 ps3 ps3 ps3
   "Wait time" "Yield time" "Percent wait time" "Percent yield time" Size Length "Expansion factor" "Sub-Plan expansion deviation" "Wait time" "Yield time" "Percent wait time" "Percent yield time" Size Length "Expansion factor" "Sub-Plan expansion deviation" "Wait time" "Yield time" "Percent wait time" "Percent yield time" Size Length "Expansion factor" "Sub-Plan expansion deviation"
planning_mode AL PN                        
online 1.0 1.0 2.610465550000033 2.610465550000033   2.0 4.0 2.0 0.0 3.7705701000000924 3.7705701000000924   4.0 7.0 1.833333333333333 0.5477225575051661 4.756702099999927 4.756702099999927   5.0 8.0 1.877777777777778 0.5477225575051661
online 1.0 2.0 1.1445476500000495 3.718770600000056   3.0 5.0 2.0 0.5 1.7372472500001663 5.192951200000778   4.0 9.0 2.0 1.3435505587555183 1.978407500000017 6.663610549999731   5.0 9.0 2.0 2.1755685647449754
online 1.0 3.0 0.7094431000000867 4.533395499999983   3.0 4.0 1.333333333333333 0.5773502691896257 1.0285533000002829 6.728659199999896   4.0 5.0 1.333333333333333 0.5477225575051661 1.169645199999934 7.864641050000095   4.0 7.0 1.5 0.7071067811865476
online 1.0 4.0 0.7705603999999084 5.39951150000007   3.0 6.0 1.75 0.8322669444714428 0.9039432000000431 7.7587189500004   4.0 7.0 1.333333333333333 0.5477225575051661 1.2182677999999214 9.167903500000563   4.0 8.0 1.666666666666667 0.7071067811865476
online 1.0 5.0 0.3948797000000184 5.858744649999863   2.0 3.0 1.333333333333333 0.0 0.4924543500000027 8.101204250000052   3.0 3.0 1.4 0.5773502691896257 0.85418535000003 9.67071939999984   3.0 5.0 1.5 0.5
online 1.0 6.0 0.4912096499999521 6.374330250000355   2.0 3.0 1.5 0.0 0.6199670999999967 8.81509859999963   3.0 6.0 1.714285714285714 0.5773502691896257 0.8598077500000443 10.296281550000545   3.0 6.0 1.8 0.7071067811865476
online 1.0 7.0 0.2577770999999558 6.609558399999997   1.0 2.0 1.5 0.0 0.3089648500000237 9.123019199999675   2.0 3.0 1.0 0.0 0.32696375000014655 10.662075600000435   2.0 3.0 1.0 0.0
online 1.0 8.0 0.3582429499999904 6.941657199999906   2.0 3.0 1.333333333333333 0.5773502691896257 0.4139330499999829 9.551513799999984   2.0 4.0 1.333333333333333 0.5773502691896257 0.4552919499999888 11.308060249998789   2.5 4.0 1.4 0.5773502691896257
online 1.0 9.0 0.16883169999999836 6.947334250000026   1.0 1.0 1.0 0.0 0.2517400000000407 9.449430599999857   1.0 2.0 1.0 0.0 0.3519819000001121 10.913899799999246   2.0 3.0 1.5 0.0
online 1.0 10.0 0.3445902499999818 7.1658302999998185   1.0 2.5 1.5 0.0 0.34665524999999775 9.75370244999948   2.0 2.0 1.5 0.0 0.3458347499998524 11.251000099999045   2.0 3.0 1.5 0.5
