problem   ps1 ps1 ps1 ps1 ps1 ps1 ps1 ps1 ps2 ps2 ps2 ps2 ps2 ps2 ps2 ps2 ps3 ps3 ps3 ps3 ps3 ps3 ps3 ps3
   "Wait time" "Yield time" "Percent wait time" "Percent yield time" Size Length "Expansion factor" "Sub-Plan expansion deviation" "Wait time" "Yield time" "Percent wait time" "Percent yield time" Size Length "Expansion factor" "Sub-Plan expansion deviation" "Wait time" "Yield time" "Percent wait time" "Percent yield time" Size Length "Expansion factor" "Sub-Plan expansion deviation"
planning_mode AL PN                        
online 1.0 1.0 2.70269260000029 2.70269260000029   2.0 4.0 2.0 0.0 3.9197344000000385 3.9197344000000385   4.0 7.0 1.833333333333333 0.5477225575051661 4.992756549999243 4.992756549999243   5.0 8.0 1.888888888888889 0.6274146693458569
online 1.0 2.0 1.3453949999995984 3.950849699999814   3.0 5.0 2.0 0.5 1.8049333999998396 5.658844149999624   4.0 9.0 2.0 1.402689423112263 2.2279669499999812 7.046623600000572   5.0 9.0 2.0 1.6537676206450471
online 1.0 3.0 0.7848385500001314 4.861085100000224   3.0 4.0 1.333333333333333 0.5773502691896257 1.1946327500001246 7.335783000000276   4.0 5.0 1.333333333333333 0.5773502691896257 1.388455199999726 8.532299200000097   4.0 7.0 1.571428571428571 0.7071067811865476
online 1.0 4.0 0.8360545999999403 5.917631350000107   3.0 6.0 1.75 0.7071067811865476 1.1227208000001805 8.578288799999655   4.0 7.0 1.333333333333333 0.5477225575051661 1.3521572499997774 9.998616450000497   4.0 8.0 1.625 0.7071067811865476
online 1.0 5.0 0.4225975500000132 6.239993400000934   2.0 2.0 1.0 0.0 0.5256584999999845 8.840818650000244   3.0 4.0 1.333333333333333 0.5773502691896257 0.921932049999981 10.519006600000015   3.0 5.0 1.5 0.5477225575051661
online 1.0 6.0 0.5139417000000321 6.827400349999387   2.0 3.0 1.5 0.0 0.6684963000000437 9.487680750000322   3.0 6.0 1.845238095238095 0.5773502691896257 0.9315461499999742 11.105031799999718   3.0 6.0 1.75 0.7071067811865476
online 1.0 7.0 0.25680835 7.059925200000038   1.0 2.0 1.5 0.0 0.2858756500002073 9.79927069999998   2.0 2.0 1.0 0.0 0.35193129999993283 11.47580404999945   3.0 3.0 1.0 0.0
online 1.0 8.0 0.43893760000003823 7.370817450000047   2.0 3.0 1.333333333333333 0.5773502691896257 0.4493436999999858 10.178896400000864   2.0 4.0 1.333333333333333 0.5773502691896257 0.47526710000022376 12.204166449999885   3.0 4.0 1.4 0.5477225575051661
online 1.0 9.0 0.1685875499999554 7.239479049999886   1.0 1.0 1.0 0.0 0.1697726000000159 10.05754494999972   1.0 1.0 1.0 0.0 0.35668540000001053 11.735594250000876   2.0 3.0 1.5 0.0
online 1.0 10.0 0.34417745000004624 7.450672850000615   1.0 2.5 1.5 0.0 0.31203749999997393 10.33962069999971   2.0 2.0 1.5 0.0 0.3492915999999546 12.176955099998963   2.0 3.0 1.333333333333333 0.5
online 1.0 11.0 0.16853534999998487 7.666170999999679   1.0 1.0 1.0 0.0 0.2553188999999918 10.638876749998385   2.0 2.0 1.0 0.0 0.2615525500000331 12.61509129999992   2.0 2.0 1.125 0.0
online 1.0 12.0 0.3486375999999609 7.91202789999997   2.0 3.0 1.5 0.7071067811865476 0.3529820999999629 11.02959560000042   2.0 3.0 1.5 0.5773502691896257 0.4620319999999083 13.23973730000036   3.0 4.0 1.333333333333333 0.5773502691896257
online 1.0 13.0 0.17015054999998824 7.713890550000485   1.0 1.0 1.0 0.0 0.17414379999985385 10.75336455000009   1.0 1.0 1.0 0.0 0.17090609999999623 12.305904699999946   1.0 1.0 1.0 0.0
online 1.0 14.0 0.16761375000001882 7.950230849999542   1.0 1.0 1.0 0.0 0.25251249999996617 10.961358850000314   1.0 2.0 1.1666666666666665 0.0 0.2582070999999644 12.61835159999907   1.0 2.0 1.5 0.0
online 1.0 15.0 0.16629485000004257 8.123669649999812   1.0 1.0 1.0 0.0 0.1696347500000002 11.275256150000475   1.0 1.0 1.0 0.0 0.34735870000002933 13.105779299999316   2.0 3.0 1.5 0.0
online 1.0 16.0 0.16821074999998586 8.288119199999812   1.0 1.0 1.0 0.0 0.26245865000001345 11.638821950000434   2.0 2.0 1.5 0.0 0.3480861500000287 13.553746749999984   2.0 3.0 1.5 0.0
online 1.0 17.0 0.17124764999998376 8.329898599999837   1.0 1.0 1.0 0.0 0.1785926000000586 12.172962999999585   1.0 1.0 1.0 0.0 0.26739189999989327 13.44469944999895   2.0 2.0 1.25 0.0
online 1.0 18.0 0.17872625000001105 8.556474249999809   1.0 1.0 1.0 0.0 0.2554226500000141 12.55615029999956   1.0 2.0 2.0 0.0 0.3531322499999163 13.94768835000016   2.0 3.0 1.5 0.5773502691896257
online 1.0 19.0 0.1650636500000644 8.729950999999915   1.0 1.0 1.0 0.0 0.166338299999893 12.74295864999897   1.0 1.0 1.0 0.0 0.2538203500000691 14.22045144999885   1.0 2.0 1.333333333333333 0.0
online 1.0 20.0 0.1665858500000184 8.913245800000247   1.0 1.0 1.0 0.0 0.16749160000006214 12.955068049999625   1.0 1.0 1.0 0.0 0.3487192999998001 14.54446299999904   1.0 3.0 1.5 0.0
