  QL_SCORE QL_SCORE TI_SCORE TI_SCORE GRADE GRADE
statistic  0.5 IQR 0.5 IQR 0.5 IQR
strategy online_bounds      
hasty "(2, 2)" 0.7613636363636364 0.12568542568542562 1.0 0.0 0.7613636363636364 0.12568542568542562
hasty "(4, 2)" 0.8701298701298701 0.03943120170968273 1.0 0.0 0.8701298701298701 0.03943120170968273
hasty "(4, 4)" 0.9178082191780822 0.05032863849765257 1.0 0.0 0.9178082191780822 0.05032863849765257
hasty "(6, 2)" 0.8701298701298701 0.045232067510548535 1.0 0.0 0.8701298701298701 0.045232067510548535
hasty "(6, 4)" 0.9178082191780822 0.024474885844748884 1.0 0.0 0.9178082191780822 0.024474885844748884
hasty "(6, 6)" 0.9178082191780822 0.0 1.0 0.0044314764011109675 0.9178082191780822 0.009331534766256477
steady "(2, 2)" 0.7444444444444445 0.17290322580645157 1.0 0.0 0.7444444444444445 0.17290322580645157
steady "(4, 2)" 0.8933333333333333 0.045232067510548535 1.0 0.0 0.8933333333333333 0.045232067510548535
steady "(4, 4)" 0.9436619718309859 0.025853752652903683 1.0 0.0 0.9436619718309859 0.025853752652903683
steady "(6, 2)" 0.8481012658227848 0.04296937630270958 1.0 0.0 0.8481012658227848 0.04296937630270958
steady "(6, 4)" 0.9178082191780822 0.0418774832473463 1.0 0.0 0.9056762747103085 0.0418774832473463
steady "(6, 6)" 0.9371087636932707 0.025853752652903683 0.9774801315484527 0.005115840218025247 0.9163530386562535 0.03252945402607865
