online_method   cf cf cf cf cf cf cf cf gf gf gf gf gf gf gf gf hy hy hy hy hy hy hy hy
   "Wait time" "Yield time" "Percent wait time" "Percent yield time" Size Length "Expansion factor" "Sub-Plan expansion deviation" "Wait time" "Yield time" "Percent wait time" "Percent yield time" Size Length "Expansion factor" "Sub-Plan expansion deviation" "Wait time" "Yield time" "Percent wait time" "Percent yield time" Size Length "Expansion factor" "Sub-Plan expansion deviation"
strategy AL PN                        
hasty 1.0 1.0 3.1558979000004683 3.1558979000004683   2.0 3.0 1.75 0.5477225575051661 3.1610849999999147 3.1610849999999147   2.0 3.0 2.0 0.0 3.1206607500000554 3.1206607500000554   2.0 3.0 2.0 0.0
hasty 1.0 2.0 1.6981479500002474 4.890985399999863   2.0 6.0 2.666666666666667 2.82842712474619 1.611645649999787 4.927334600000606   2.0 6.0 2.0 0.816496580927726 1.620668600000158 4.87126939999979   2.0 6.0 2.0 0.816496580927726
hasty 1.0 3.0 1.4334683499999985 6.444138799999763   2.0 6.0 1.5 0.5773502691896257 1.3385067999999904 6.387847450000038   2.0 4.0 1.0 0.0 1.3827649500003076 6.269043799999579   2.0 4.0 1.0 0.0
hasty 1.0 4.0 1.1591775499999244 7.626772499999987   2.0 5.0 1.25 0.5 1.0784428999999984 7.5479459000003   2.0 4.0 1.25 0.5 1.1009980500001004 7.508060699999806   2.0 5.0 1.25 0.5
hasty 1.0 5.0 0.884094949999934 8.423199550000334   2.0 6.0 2.0 0.816496580927726 0.8497988000000305 8.266218999999694   2.0 4.0 2.0 0.0 0.7786290000002509 8.182949300000757   2.0 4.0 1.8 0.4472135954999579
hasty 1.0 6.0 0.6865736000003437 9.131008399999843   2.0 4.0 1.5 0.5773502691896257 0.5960072999999397 8.927292900000015   2.0 4.0 1.5 0.5773502691896257 0.6234746000001365 8.89560324999988   2.0 4.0 1.5 0.5773502691896257
hasty 1.0 7.0 0.6886907499997506 9.731913149999372   2.0 5.0 1.5 0.7071067811865476 0.6978925000001084 9.511166399999937   2.0 5.0 1.5 0.7071067811865476 0.6594028000000094 9.411492749999667   2.0 5.0 1.5 0.7071067811865476
hasty 1.0 8.0 0.5864126000001306 10.0867731999989   2.0 4.0 1.5 0.7071067811865476 0.5465548000001377 9.968239300000597   2.0 4.0 1.5 0.7071067811865476 0.5821622000000843 9.95154390000107   2.0 5.0 1.5 0.7071067811865476
hasty 1.0 9.0 0.6378778999999497 10.52369439999947   2.0 5.0 2.0 0.7071067811865476 0.5614948999997296 10.41482230000031   2.0 5.0 1.5 0.7071067811865476 0.572137600000012 10.111759199999984   2.0 5.0 1.75 0.7071067811865476
hasty 1.0 10.0 0.5234678499999745 11.03720440000069   2.0 4.0 1.5 0.7071067811865476 0.4624258000001191 10.71861810000013   2.0 3.0 1.5 0.5773502691896257 0.5342350999999326 10.61554149999995   2.0 4.0 1.5 0.7071067811865476
hasty 1.0 11.0 0.5002490000000819 11.501572299999726   2.0 3.0 1.25 0.5 0.4550851999998713 11.1622772000012   2.0 4.0 1.333333333333333 0.5773502691896257 0.5182091999999727 11.042919650000655   2.0 5.0 1.5 0.7071067811865476
hasty 1.0 12.0 0.3661260000002358 11.57254240000032   2.0 3.0 1.5 0.5 0.3651398000001791 11.58564109999986   2.0 3.0 1.333333333333333 0.5 0.44628295000001117 11.356597699999782   2.0 3.0 1.25 0.5
hasty 1.0 13.0 0.3558472000001984 11.86262159999967   2.0 3.0 1.5 0.7071067811865476 0.3886236999996981 11.88990029999962   2.0 3.0 1.333333333333333 0.5 0.3540435000001025 11.48443569999699   2.0 3.0 1.5 0.7071067811865476
hasty 1.0 14.0 0.3559900000000198 12.23885449999955   2.0 3.0 1.5 0.7071067811865476 0.3492427000001044 11.97484880000007   2.0 3.0 1.333333333333333 0.0 0.353409200000101 11.83780919999981   2.0 3.0 1.5 0.7071067811865476
hasty 1.0 15.0 0.3567993999998862 12.55928930000022   2.0 3.0 1.5 0.7071067811865476 0.3564111000002868 12.23731249999992   2.0 3.0 1.5 0.7071067811865476 0.3554690000000136 12.16998999999851   2.0 3.0 1.5 0.7071067811865476
hasty 1.0 16.0 0.3657097999999905 12.97712670000215   2.0 3.0 1.5 0.7071067811865476 0.3589609500000108 12.690623050000141   2.0 3.0 1.5 0.0 0.3629124000002548 12.58218779999982   2.0 3.0 1.5 0.7071067811865476
hasty 1.0 17.0 0.4631853999999862 13.42605230000015   2.0 4.0 2.0 0.7071067811865476 0.3555895000000646 13.05429029999999   2.0 3.0 1.5 0.7071067811865476 0.4464661000000376 12.98065534999964   2.0 3.0 1.5 0.7071067811865476
hasty 1.0 18.0 0.36626165000001265 13.84434659999964   2.0 3.0 1.5 0.7071067811865476 0.3613388999999643 13.44308199999995   2.0 3.0 1.5 0.7071067811865476 0.4482758000000331 13.422959299999889   2.0 4.0 2.0 0.7071067811865476
hasty 1.0 19.0 0.35567585000006824 14.21913135000051   2.0 3.0 1.5 0.7071067811865476 0.4417709999999673 13.82121645000003   2.0 3.0 1.5 0.7071067811865476 0.3549796499999331 13.840074999999974   2.0 3.0 1.5 0.7071067811865476
hasty 1.0 20.0 0.35802334999978314 14.642711900000846   2.0 3.0 1.5 0.7071067811865476 0.3548483500000259 14.204881900000615   2.0 3.0 1.5 0.7071067811865476 0.35513415000005466 14.23189260000062   2.0 3.0 1.5 0.7071067811865476
hasty 1.0 21.0 0.3553044499999771 15.017371049999586   2.0 3.0 1.5 0.7071067811865476 0.35412810000005374 14.61332490000137   2.0 3.0 1.5 0.7071067811865476 0.3532693500001187 14.60013854999869   2.0 3.0 1.5 0.7071067811865476
hasty 1.0 22.0 0.3537720000000775 15.43259540000145   2.0 3.0 1.5 0.7071067811865476 0.34829374999984 14.99358820000058   2.0 3.0 1.5 0.7071067811865476 0.3532459999997855 15.06255600000213   2.0 3.0 1.5 0.7071067811865476
hasty 1.0 23.0 0.34621500000005767 16.04982334999892   2.0 3.0 1.5 0.0 0.3427047000000698 15.363207450000147   2.0 3.0 1.5 0.7071067811865476 0.3508587999999122 15.50818279999908   2.0 3.0 1.5 0.7071067811865476
hasty 1.0 24.0 0.35399144999990995 16.753031399999372   2.0 3.0 1.5 0.7071067811865476 0.28664310000010573 15.826558199999996   2.0 2.0 1.0 0.0 0.3506997999998589 16.02668159999956   2.0 3.0 1.5 0.7071067811865476
hasty 1.0 25.0 0.36980550000001244 17.591532249999858   2.0 3.0 1.5 0.7071067811865476 0.3559436999998979 16.34595510000122   2.0 3.0 1.5 0.7071067811865476 0.3544592999999168 16.70551310000155   2.0 3.0 1.5 0.7071067811865476
hasty 1.0 26.0 0.3591276000001926 18.05734679999796   2.0 3.0 1.5 0.7071067811865476 0.2777806500000821 16.871660650000635   2.0 2.0 1.0 0.0 0.359420499999942 17.57026850000102   2.0 3.0 1.5 0.7071067811865476
hasty 1.0 27.0 0.3558409500000437 18.570291150000998   2.0 3.0 1.5 0.7071067811865476 0.3529708000002074 17.49119979999892   2.0 3.0 1.5 0.0 0.3554843999999093 17.95670530000109   2.0 3.0 1.5 0.7071067811865476
hasty 1.0 28.0 0.3508955500000184 18.895769050000666   2.0 3.0 1.5 0.7071067811865476 0.3586672500000532 18.178400399999802   2.0 3.0 1.5 0.7071067811865476 0.35434480000022006 18.387763100000512   2.0 3.0 1.5 0.7071067811865476
hasty 1.0 29.0 0.3563382000000104 19.50566659999708   2.0 3.0 1.5 0.7071067811865476 0.3145914500000231 18.589741800001004   2.0 2.5 1.25 0.0 0.3042727499999387 19.079576400000125   2.0 2.5 1.25 0.3535533905932738
hasty 1.0 30.0 0.3602227000001221 20.0747901999971   2.0 3.0 1.5 0.7071067811865476 0.26611255000022993 18.891080350000234   2.0 2.0 1.0 0.0 0.3569504999995843 20.03164520000016   2.0 3.0 1.5 0.7071067811865476
hasty 1.0 31.0 0.3501755000000344 21.01341449999995   2.0 3.0 1.5 0.7071067811865476 0.2676298999999744 19.34783919999938   2.0 2.0 1.0 0.0 0.268019900000013 21.5785083999989   2.0 2.0 1.0 0.0
hasty 1.0 32.0 0.3628427999999531 21.37653210000008   2.0 3.0 1.5 0.7071067811865476 0.2655297000001156 19.82800600000006   2.0 2.0 1.0 0.0 0.36312059999994517 22.1437671000009   2.0 3.0 1.5 0.7071067811865476
hasty 1.0 33.0 0.4522333999998409 21.48313430000007   2.0 4.0 2.0 1.414213562373095 0.46810790000006364 21.734723450000924   2.0 4.0 2.0 0.7071067811865476 0.4667206999997688 22.52504360000103   2.0 4.0 2.0 0.7071067811865476
hasty 1.0 34.0 0.4616278000002012 22.36670455000086   2.0 4.0 2.0 1.4142135623730947 0.364475099999936 22.26645480000252   2.0 3.0 1.5 0.7071067811865476 0.6724139000000378 23.60602939999933   2.0 6.0 3.0 2.82842712474619
hasty 1.0 35.0 0.262253999999956 22.751342200001062   2.0 2.0 1.0 0.0 0.42145874999991406 22.44173390000049   2.0 3.5 1.75 0.7071067811865476 0.5860115499999665 24.462357850000217   2.0 5.0 2.5 0.7071067811865476
hasty 1.0 36.0         0.3694409000004271 22.6364485999996   2.0 3.0 1.5 0.7071067811865476 0.42365814999982376 24.88601600000004   2.0 3.5 1.75 0.3535533905932738
hasty 1.0 37.0         0.1758736999997836 23.28971790000128   1.0 1.0 1.0 0.0 0.26532944999985375 25.151345449999894   2.0 2.0 1.0 0.0
hasty 1.0 38.0         0.2681837999998606 23.88033580000115   2.0 2.0 1.0 0.0 0.31084814999996974 25.462193599999864   2.0 2.5 1.25 0.3535533905932738
hasty 1.0 39.0         0.36432794999996077 24.39376565000066   2.0 3.0 1.5 0.7071067811865476        
hasty 2.0 1.0 2.6925448000000927 2.6925448000000927   4.0 17.0 4.5 3.646916505762094 2.6926227499999413 2.6926227499999413   4.0 17.0 4.5 3.646916505762094 2.6910417999998515 2.6910417999998515   4.0 17.0 4.5 3.646916505762094
hasty 2.0 2.0 0.9506131000000551 3.693562049999912   4.0 6.0 1.666666666666667 0.8944271909999159 0.9906681500000332 3.738441749999936   4.0 8.0 2.0 0.9574271077563381 0.9438179500000174 3.6911801000001674   4.0 7.0 2.0 0.8366600265340756
hasty 2.0 3.0 0.8277578500001255 4.6213727500007735   4.0 8.0 1.666666666666667 0.8944271909999159 0.8346096500004023 4.655177600000314   4.0 7.0 1.75 0.7071067811865476 0.863553249999768 4.634301449999668   4.0 8.0 1.8 0.8366600265340756
hasty 2.0 4.0 0.5446260499999198 5.260263750000121   4.0 6.0 1.333333333333333 0.5 0.47378454999997643 5.203777199999436   4.0 5.0 1.4 0.5773502691896257 0.5046362500001464 5.189652700000039   4.0 6.0 1.4 0.5081988897471611
hasty 2.0 5.0 0.3672007999996367 5.460468999998625   4.0 5.0 1.25 0.5 0.39017605000009326 5.393275950000884   3.0 5.0 1.4 0.5320601684997441 0.3572308999998768 5.374684800000296   4.0 5.0 1.25 0.5
hasty 2.0 6.0 0.35945424999995623 5.741204950000167   3.0 4.0 1.25 0.5 0.35809485000015684 5.598373449999805   2.5 4.0 1.5 0.5 0.357022099999881 5.607340400000282   3.0 4.0 1.25 0.5
hasty 2.0 7.0 0.3566703000000189 5.5489718999999695   2.0 3.0 1.5 0.5773502691896257 0.3302492000000257 5.856320500000265   2.0 4.0 1.333333333333333 0.5 0.4083266999995203 5.45837189999952   2.0 4.0 1.5 0.7071067811865476
hasty 2.0 8.0 0.26598999999987427 5.777753649999681   2.0 3.0 1.5 0.7071067811865476 0.2628410500000342 5.701924499999748   2.0 3.0 1.5 0.7071067811865476 0.259403500000019 5.609314699999914   2.0 3.0 1.5 0.0
