online_bounds   "(2, 2)" "(2, 2)" "(2, 2)" "(2, 2)" "(2, 4)" "(2, 4)" "(2, 4)" "(2, 4)" "(4, 2)" "(4, 2)" "(4, 2)" "(4, 2)" "(4, 4)" "(4, 4)" "(4, 4)" "(4, 4)"
   "Total Time" "Wait time" Size Length "Total Time" "Wait time" Size Length "Total Time" "Wait time" Size Length "Total Time" "Wait time" Size Length
blend_quantity AL PN                
1 1.0 1.0 5.148661350000054 8.576942050000412 9.0 22.0 3.5954496999999037 6.956946899999707 5.0 16.0 4.065026699999748 7.096723050000051 7.0 18.0 3.334879549999499 6.381763299999932 4.0 15.0
1 1.0 2.0 3.014906650000114 3.787106650000112 8.0 14.0 1.444738199999847 2.5769621500001274 5.0 7.0 2.360411800000165 2.9457849000002057 6.0 11.0 1.1846574499999178 1.7730598500000379 4.0 6.0
1 1.0 3.0 1.1625319000000114 1.1625319000000114 4.0 5.0 1.867156550000061 1.867156550000061 5.0 9.0 0.8488618000001082 1.4349779000000633 3.0 4.0 1.247793950000073 2.080791799999915 4.0 6.0
1 1.0 4.0 1.1130215999999535 1.1130215999999535 4.0 5.0 1.239669050000032 1.239669050000032 4.0 6.0 0.5668039000000533 1.0894195500000166 2.0 3.0 1.1917119500000695 1.6670859500001711 3.0 6.0
1 1.0 5.0     0.5853156500000267 0.5853156500000267 2.0 3.0 0.5833027499999162 0.5833027499999162 2.0 3.0 0.6298058999999725 0.6298058999999725 2.0 3.0
1 1.0 6.0     0.8486073999999633 0.8486073999999633 3.0 4.0 0.5728548500000201 0.5728548500000201 2.0 3.0 0.426239199999884 0.426239199999884 2.0 2.0
1 1.0 7.0     0.8533938999999435 0.8533938999999435 3.0 4.0 0.8530634500000929 0.8530634500000929 3.0 4.0 0.5647402000004149 0.5647402000004149 2.0 3.0
1 1.0 8.0     0.43394495000001143 0.43394495000001143 2.0 2.0 0.43176584999994816 0.43176584999994816 2.0 2.0 0.4162526500000894 0.4162526500000894 1.0 2.0
1 1.0 9.0             0.5749718499998835 0.5749718499998835 2.0 3.0
1 1.0 10.0             0.5700423500000795 0.5700423500000795 2.0 3.0
1 1.0 11.0             0.2926989499999877 0.2926989499999877 1.0 1.0
1 1.0 12.0             0.5698195499999485 0.5698195499999485 2.0 3.0
1 1.0 13.0             0.43763740000002826 0.43763740000002826 2.0 2.0
1 1.0 14.0             0.4355121000000395 0.4355121000000395 2.0 2.0
1 1.0 15.0             1.2277776000000387 1.2277776000000387 3.0 6.0
1 1.0 16.0             1.2793744999999745 1.2793744999999745 3.0 6.0
1 2.0 1.0 2.1317159499999576 3.348920200000407 7.0 17.0 2.133373899999924 3.3480318500001545 7.0 17.0 1.791430100000099 3.0180562000000037 4.0 14.0 1.790009349999991 3.022700899999762 4.0 14.0
1 2.0 2.0 0.7662343499999906 0.7662343499999906 7.0 7.0 0.7688825999998841 0.7688825999998841 7.0 7.0 0.5855292500000928 0.5855292500000928 4.0 5.0 0.5882639999999881 0.5882639999999881 4.0 5.0
1 2.0 3.0         0.480521399999958 0.480521399999958 4.0 4.0 0.4833792500000591 0.4833792500000591 4.0 4.0
1 2.0 4.0         0.4801982499999724 0.4801982499999724 4.0 4.0 0.47994769999996834 0.47994769999996834 4.0 4.0
1 3.0 1.0 1.2236971000003225 1.2236971000003225 1.0 13.0 1.2158760499998773 1.2158760499998773 1.0 13.0 1.2206301000002782 1.2206301000002782 1.0 13.0 1.2224153000000795 1.2224153000000795 1.0 13.0
2 1.0 1.0 5.371364350000022 8.928478850000296 10.0 23.0 3.858190600000057 7.376849150000254 6.0 17.0 4.2948537999999985 7.447043749999864 8.0 19.0 3.6149852499997337 6.778521050000201 5.0 16.0
2 1.0 2.0 3.0105158499999334 3.764751450000006 8.0 14.0 2.1080983500000627 2.8872536499999697 6.0 10.0 2.3651103999999776 3.051878999999829 6.0 11.0 1.4116020999998686 2.104301550000116 5.0 7.0
2 1.0 3.0 1.5677520500000246 1.5677520500000246 5.0 7.0 2.343012850000164 2.343012850000164 6.0 11.0 1.257083850000072 1.8468253500000316 4.0 6.0 1.688029349999994 2.7193935000003933 5.0 8.0
