online_bounds   "(2, 2)" "(2, 2)" "(2, 2)" "(2, 2)" "(2, 4)" "(2, 4)" "(2, 4)" "(2, 4)" "(4, 2)" "(4, 2)" "(4, 2)" "(4, 2)" "(4, 4)" "(4, 4)" "(4, 4)" "(4, 4)"
   "Total Time" "Wait time" Size Length "Total Time" "Wait time" Size Length "Total Time" "Wait time" Size Length "Total Time" "Wait time" Size Length
blend_quantity AL PN                
1 1.0 1.0 2.7831904999999857 6.837783000000172 13.0 23.0 1.6604886499999625 5.502161100000194 7.0 15.0 2.1259838000000855 5.523692650000271 10.0 19.0 0.8086205500000574 4.002201349999574 5.0 8.0
1 1.0 2.0 2.066710000000029 2.578964649999946 13.0 19.0 0.8707443000000268 1.6055820500000664 7.0 9.0 1.9445968999998509 2.394435749999978 9.0 17.0 1.0411154000000806 1.519843800000018 5.0 10.0
1 1.0 3.0 0.731547649999996 0.731547649999996 5.0 7.0 1.1219523999999623 1.1219523999999623 7.0 11.0 0.5130845499999168 0.9105496500000037 4.0 5.0 0.9195957000000305 1.4175910499999984 6.0 9.0
1 1.0 4.0 0.5986215000000357 0.5986215000000357 5.0 6.0 0.8881292000000229 0.8881292000000229 7.0 8.5 0.420171649999844 0.7433030999999346 3.0 4.0 0.9281979999999876 1.2396108499999694 5.0 9.0
1 1.0 5.0     0.4248452499999935 0.4248452499999935 3.0 4.0 0.42770340000002705 0.42770340000002705 3.0 4.0 0.2636786999999856 0.2636786999999856 2.0 2.0
1 1.0 6.0     0.42502989999989893 0.42502989999989893 3.0 4.0 0.4201725499999043 0.4201725499999043 3.0 4.0 0.44266220000002937 0.44266220000002937 2.0 4.0
1 1.0 7.0     0.42512879999995334 0.42512879999995334 3.0 4.0 0.4256448499999834 0.4256448499999834 3.0 4.0 0.42218575000000413 0.42218575000000413 3.0 4.0
1 1.0 8.0     0.4136199499999691 0.4136199499999691 3.0 4.0 0.4121390499999471 0.4121390499999471 3.0 4.0 0.35149529999992524 0.35149529999992524 2.0 3.0
1 1.0 9.0             0.34981110000006765 0.34981110000006765 2.0 3.0
1 1.0 10.0             0.35059029999999325 0.35059029999999325 2.0 3.0
1 1.0 11.0             0.3503799500000184 0.3503799500000184 2.0 3.0
1 1.0 12.0             0.26210170000000943 0.26210170000000943 2.0 2.0
1 1.0 13.0             0.35246609999995826 0.35246609999995826 2.0 3.0
1 1.0 14.0             0.2595278500001257 0.2595278500001257 2.0 2.0
1 1.0 15.0             0.3509002500001088 0.3509002500001088 2.0 3.0
1 1.0 16.0             0.3478704500000163 0.3478704500000163 2.0 3.0
1 2.0 1.0 2.3747714500000185 3.7704603000000247 10.0 26.0 2.36025939999989 3.8041702999998677 10.0 26.0 1.819510999999977 3.1817955500000323 5.0 20.0 1.8126238000000825 3.184847050000144 5.0 20.0
1 2.0 2.0 0.5027663000000189 0.5027663000000189 9.0 9.0 0.5068644500000019 0.5068644500000019 9.0 9.0 0.4790067999999934 0.4790067999999934 5.0 7.0 0.4787602499999366 0.4787602499999366 5.0 7.0
1 2.0 3.0         0.3873490500000685 0.3873490500000685 6.0 6.0 0.3989112500001397 0.3989112500001397 6.0 6.0
1 2.0 4.0         0.31585425000007206 0.31585425000007206 5.0 5.0 0.31282444999995107 0.31282444999995107 5.0 5.0
1 3.0 1.0 1.3845373500001021 1.3845373500001021 1.0 18.0 1.3770675500001204 1.3770675500001204 1.0 18.0 1.384566700000136 1.384566700000136 1.0 18.0 1.3831581499997585 1.3831581499997585 1.0 18.0
2 1.0 1.0 3.1288499499999993 7.17758490000012 14.0 25.0 1.7789437499998546 5.693048499999918 8.0 16.0 2.1802509999999202 5.680702300000249 11.0 19.0 1.5792874499999523 4.843336300000033 6.0 14.0
2 1.0 2.0 2.0760134500000333 2.5980354500000544 13.0 19.0 1.0946584999998952 1.719016999999923 8.0 11.0 1.902180600000094 2.4659412499998155 9.0 16.0 1.167380950000137 1.775171900000153 6.0 11.0
