  \theta \beta_d \beta_e b_d b_e
problem  ps3 ps3 ps3 ps3 ps3
online_bounds AL     
"(0.5, 0.5)" 1.0 1.6212516297262058 0.4960485725043422 0.27236363636363625 0.5248986933929851 0.8274763135228249
"(0.5, 0.5)" 2.0 2.6 1.0276346810618655 0.2116154499910538 0.9300604347346733 2.3796296296296284
"(1.0, 0.5)" 1.0 1.6913919413919412 0.5871370211590776 0.3153899778006386 0.6465342164944244 1.2082953150056581
"(1.0, 0.5)" 2.0 2.2 0.6980720826654224 0.12577160493827166 0.9511788432374488 2.4534632034632025
"(1.0, 1.0)" 1.0 1.642857142857143 0.2718169556129018 0.30825722983257253 0.5805074674596254 1.1331665516448126
"(1.0, 1.0)" 2.0 2.2 0.6980720826654224 0.13357683982683988 0.9625433902762094 2.38095238095238
"(1.5, 0.5)" 1.0 1.704545454545455 0.6338369676646638 0.28672032193158936 0.6647690019374093 1.350560398505603
"(1.5, 0.5)" 2.0 2.2 0.6689920943545096 0.1428571428571428 0.9511788432374488 2.4791666666666665
"(1.5, 1.0)" 1.0 1.659090909090909 0.27874502746232305 0.20817817866100724 0.5979236546200727 1.1043533930857885
"(1.5, 1.0)" 2.0 2.2 0.6209144622758765 0.14813311688311687 0.9625433902762094 2.4659090909090895
"(1.5, 1.5)" 1.0 1.659090909090909 0.26398557656529403 0.23089909318927265 0.5858758080742702 1.257160647571606
"(1.5, 1.5)" 2.0 2.2 0.7381365220089786 0.14813311688311687 0.9511788432374488 2.636363636363635
