  N S_f \mu_d \mu_e
problem  ps3 ps3 ps3 ps3
online_bounds AL    
"(0.5, 0.5)" 1.0 18.0 0.05555555555555555 0.3480349036780793 0.2961647727272726
"(0.5, 0.5)" 2.0 7.0 0.14285714285714285 0.6196773353931866 0.5571428571428572
"(1.0, 0.5)" 1.0 16.0 0.0625 0.3714201881087972 0.2666666666666667
"(1.0, 0.5)" 2.0 4.0 0.25 0.4456351356939017 0.225
"(1.0, 1.0)" 1.0 9.0 0.11111111111111112 0.3330650626989734 0.2739297739297739
"(1.0, 1.0)" 2.0 4.0 0.25 0.458257569495584 0.225
"(1.5, 0.5)" 1.0 15.0 0.06666666666666667 0.3749262028921321 0.3234848484848484
"(1.5, 0.5)" 2.0 3.0 0.33333333333333337 0.4456351356939017 0.15
"(1.5, 1.0)" 1.0 9.0 0.11111111111111112 0.3305236266420224 0.2190082644628098
"(1.5, 1.0)" 2.0 3.0 0.33333333333333337 0.4330127018922193 0.15
"(1.5, 1.5)" 1.0 7.0 0.14285714285714285 0.4106032651140442 0.18892045454545453
"(1.5, 1.5)" 2.0 3.0 0.33333333333333337 0.4330127018922193 0.15
