bound_type   cumt cumt cumt cumt cumt cumt cumt cumt sl sl sl sl sl sl sl sl
   "Wait time" "Yield time" "Percent wait time" "Percent yield time" Size Length "Expansion factor" "Sub-Plan expansion deviation" "Wait time" "Yield time" "Percent wait time" "Percent yield time" Size Length "Expansion factor" "Sub-Plan expansion deviation"
problem AL PN                
ps3 1.0 1.0 4.303742799999952 4.303742799999952   3.0 6.0 1.6 0.5477225575051661 3.580391650000024 3.580391650000024   4.0 7.0 1.6 0.5477225575051661
ps3 1.0 2.0 2.4260735000001143 6.792037300000288   4.0 8.0 2.125 2.041241452319315 1.691558150000077 5.194529999999887   3.0 5.0 2.1458333333333335 0.0
ps3 1.0 3.0 1.7286167000000034 8.58965895000037   4.0 6.0 1.666666666666667 0.7071067811865476 1.6992341499995975 6.899116799999959   4.0 4.0 1.5277777777777781 0.0
ps3 1.0 4.0 1.170103050000449 9.997648750000607   4.0 6.0 1.666666666666667 0.5345224838248488 1.2241744500000205 8.360043849999869   3.0 4.0 1.6 0.4472135954999579
ps3 1.0 5.0 1.0585258500000234 10.804858700000466   4.0 6.0 1.666666666666667 0.5773502691896257 1.1347555500000226 9.651287699999756   3.0 6.0 1.5 0.5773502691896257
ps3 1.0 6.0 1.0437262000000376 11.61311480000046   4.0 6.0 1.666666666666667 0.5773502691896257 0.9723661999999962 10.484335100000774   3.0 6.0 1.666666666666667 0.5773502691896257
ps3 1.0 7.0 0.8223884500002328 11.750592300000104   4.0 5.0 1.5 0.5773502691896257 0.8591949500001306 11.198784200001965   4.0 4.0 1.333333333333333 0.5773502691896257
ps3 1.0 8.0 0.6688872000002561 11.90671740000056   4.0 5.0 1.5 0.5773502691896257 0.7437480500000362 11.456998199998734   3.0 4.0 1.75 0.5773502691896257
ps3 1.0 9.0 0.5779241000000184 12.23916390000045   4.0 5.0 1.5 0.5477225575051661 0.6871661999998082 11.78744539999877   4.0 5.0 1.5 0.5
ps3 1.0 10.0 0.573593800000026 12.68973499999947   3.0 5.0 1.5 0.5773502691896257 0.4754713000000664 12.165167550000149   3.0 4.0 1.45 0.5773502691896257
ps3 1.0 11.0 0.5743105000001378 13.218961850000479   3.0 5.0 1.5 0.5773502691896257 0.4651064499999791 12.563242100000195   3.0 4.0 1.333333333333333 0.5773502691896257
ps3 1.0 12.0 0.5714551499999061 13.77073669999993   3.0 5.0 1.75 0.7071067811865476 0.4626304000000232 12.90367049999986   3.0 4.0 1.5 0.5773502691896257
ps3 1.0 13.0 0.571720850000645 14.31109419999986   3.0 5.0 1.5 0.5773502691896257 0.463271299999974 13.32248909999976   2.0 4.0 1.75 0.5773502691896257
ps3 1.0 14.0 0.5620364999999765 14.776184200000731   3.0 5.0 1.3666666666666665 0.5773502691896257 0.4673436500002026 13.756340349999984   2.0 4.0 2.0 0.5773502691896257
ps3 1.0 15.0 0.5686117000000195 15.443378750000026   3.0 5.0 1.5833333333333335 0.5773502691896257 0.4596762999997281 14.12288489999969   2.0 4.0 1.5 0.5773502691896257
ps3 1.0 16.0 0.5696262999999533 16.06449590000148   3.0 5.0 1.5 0.5773502691896257 0.4568809999998393 14.50273789999963   2.0 4.0 1.5 0.5773502691896257
ps3 1.0 17.0 0.565063949999967 16.68524635000017   2.0 5.0 1.5 0.6422285251880866 0.4601750000000493 14.95436860000001   2.0 4.0 1.5 0.5773502691896257
ps3 1.0 18.0 0.5649350000000481 17.22118769999815   3.0 5.0 1.666666666666667 0.5773502691896257 0.4591067499999326 15.43858939999981   2.0 4.0 1.5 0.5773502691896257
ps3 1.0 19.0 0.5633597999999438 18.01883670000012   3.0 5.0 1.666666666666667 0.5773502691896257 0.4602928999999563 15.90608640000002   2.0 4.0 1.5 0.5773502691896257
ps3 1.0 20.0 0.568481649999967 18.71590270000121   2.0 5.0 1.5 0.5 0.4593993000003138 16.46043520000217   2.0 4.0 1.5 0.5773502691896257
ps3 1.0 21.0 0.5455475499998954 19.203692000001922   3.0 4.0 1.4166666666666665 0.5773502691896257 0.4612392499997213 17.259928749998835   2.0 4.0 1.5833333333333335 0.5773502691896257
ps3 1.0 22.0 0.5228274999999769 19.80166210000027   3.0 4.0 1.333333333333333 0.5773502691896257 0.4610223499999506 17.909426950000267   2.0 4.0 2.0 0.25
ps3 1.0 23.0 0.35607139999996207 20.02670500000039   2.5 3.0 1.125 0.25 0.45965625000007293 18.44197414999975   2.0 4.0 1.5 0.0
ps3 1.0 24.0 0.4819288000002189 21.45610449999953   4.0 4.0 1.0 0.0 0.4590294000000199 19.03229080000004   2.0 3.0 1.5 0.0
ps3 1.0 25.0 0.4620044000000689 21.91810889999959   3.0 4.0 1.333333333333333 0.5773502691896257 0.4637338 19.81475450000073   3.0 4.0 1.5 0.5
ps3 1.0 26.0         0.4474249999999671 20.01353910000003   3.0 4.0 1.333333333333333 0.5773502691896257
ps3 1.0 27.0         0.3631665500000736 21.08537865000029   2.5 3.0 1.4166666666666665 0.5773502691896257
ps3 1.0 28.0         0.4636534000003394 21.20554189999977   3.0 4.0 1.333333333333333 0.5
ps3 1.0 29.0         0.4551581000002898 22.22747209999886   2.0 4.0 1.5 0.5
ps3 1.0 30.0         0.3587331000007907 23.27401230000555   3.0 3.0 1.0 0.0
ps3 1.0 31.0         0.4772977000000083 23.75131000000556   4.0 4.0 1.0 0.0
ps3 1.0 32.0         0.3590302999998585 24.11034030000542   2.0 3.0 1.5 0.7071067811865476
ps3 2.0 1.0 3.4732499499994276 3.4732499499994276   4.0 17.0 4.5 3.646916505762094 2.818327700000026 2.818327700000026   2.0 9.0 4.5 3.535533905932738
ps3 2.0 2.0 1.5509956500003454 5.040937599999751   8.0 15.0 2.0 1.032795558988645 1.0563644999998871 3.891547549999871   2.5 12.0 2.0 1.0232946570191734
ps3 2.0 3.0 0.9713827000000492 5.892392449999875   6.0 11.0 1.857142857142857 0.8366600265340756 1.05572734999987 4.986661899999888   6.0 12.0 2.333333333333333 1.032795558988644
ps3 2.0 4.0 0.641232500000001 6.1194492000011   5.0 7.0 1.5 0.7071067811865476 0.6698271000000204 5.442304850000319   4.0 8.0 1.833333333333333 0.7071067811865476
ps3 2.0 5.0 0.5856626999998866 5.658719800000313   3.0 7.0 2.0 0.7071067811865476 0.6579570999995212 5.901794099999393   4.0 8.0 2.0 0.816496580927726
ps3 2.0 6.0 0.5807604999998262 5.927588499999388   4.0 7.0 1.666666666666667 0.5773502691896257 0.41542455000009687 6.16780695000034   3.0 5.0 1.4 0.5625364133473959
ps3 2.0 7.0 0.5630530999990242 6.472994900000572   3.0 6.0 1.5 0.5773502691896257 0.4070290000000369 5.613363100000143   2.0 5.0 2.0 0.5773502691896257
ps3 2.0 8.0 0.3370244000001321 6.919331900000145   3.0 4.0 1.5 0.7071067811865476 0.3890397499999381 5.76050175000006   2.0 4.0 2.0 0.47360679774997894
ps3 2.0 9.0 0.2554911000000857 7.618363599999782   3.0 3.0 1.0 0.0 0.3395324499998651 6.1016058000003   2.0 4.0 1.666666666666667 0.5773502691896257
ps3 2.0 10.0         0.414830400000028 6.443983800000865   3.0 5.0 1.25 0.5
ps3 2.0 11.0         0.2543642999999918 6.981234600000221   2.0 3.0 1.5 0.7071067811865476
