 RU AL GT ST OT TT LT CT WT RSS VMS LE AC CF PSG SIZE SGLITS_T HAS_TRAILING TOT_CHOICES PRE_CHOICES FGOALS_ORDER CP_EF_L CP_EF_A SP_ED_L SP_ED_A SP_EB_L SP_EB_A SP_MIN_L SP_MIN_A SP_LOWER_L SP_LOWER_A SP_MED_L SP_MED_A SP_UPPER_L SP_UPPER_A SP_MAX_L SP_MAX_A T_INTER_SP P_INTER_SP T_INTER_Q P_INTER_Q M_CHILD_SPREAD DIV_INDEX_SPREAD DIV_STEP_SPREAD DIVS_T DS_T DS_TD_MEAN DS_TD_STD DS_TD_CD DS_TD_MIN DS_TD_LOWER DS_TD_MED DS_TD_UPPER DS_TD_MAX DS_TS_MEAN DS_TS_STD DS_TS_CD DS_TS_MIN DS_TS_LOWER DS_TS_MED DS_TS_UPPER DS_TS_MAX PR_T PR_TS_MEAN PR_TS_STD PR_TS_CD PR_TS_MIN PR_TS_LOWER PR_TS_MED PR_TS_UPPER PR_TS_MAX PP_LE_MEAN PP_AC_MEAN PP_LE_STD PP_AC_STD PP_LE_CD PP_AC_CD PP_LE_MIN PP_AC_MIN PP_LE_LOWER PP_AC_LOWER PP_LE_MED PP_AC_MED PP_LE_UPPER PP_AC_UPPER PP_LE_MAX PP_AC_MAX
0 0 3 1.131400499999998 0.850387599999948 0.0 1.981788099999946 1.981788099999946 1.981788099999946 1.981788099999946 358.671875 353.12890625 20 20 1.0 20 1 0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 0.0 0.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 0 2 4.662495599999929 3.6509290999999564 0.014712599999995746 8.32813729999988 10.309925399999827 10.309925399999827 10.309925399999827 498.203125 510.25390625 44 44 1.0 44 20 20 False 0 0 False 2.2 2.2 2.0925934551223877 2.0925934551223877 0.9511788432374488 0.9511788432374488 1.0 1.0 1.0 1.0 1.5 1.5 2.25 2.25 10.0 10.0 6 0.3 13 0.29545454545454547 6.376519426771942 0.0 0.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 44.0 44.0 0.0 0.0 0.0 0.0 44.0 0.0 44.0 0.0 44.0 0.0 44.0 0.0 44.0 0.0
2 0 1 14.751064199999831 32.26507720000001 0.035545900000045094 47.051687299999884 57.36161269999971 57.36161269999971 57.36161269999971 798.17578125 821.1171875 73 73 1.0 0 44 44 False 0 0 False 1.6590909090909092 1.6590909090909092 1.1194513153135752 1.1194513153135752 0.6747377790931138 0.6747377790931138 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 19 0.4318181818181818 41 0.5616438356164384 4.048613424514251 0.0 0.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 44.0 0.0 0.0 44.0 44.0 44.0 44.0 44.0 73.0 73.0 0.0 0.0 0.0 0.0 73.0 0.0 73.0 0.0 73.0 0.0 73.0 0.0 73.0 0.0
3 1 3 1.133793399999945 0.8338565999999048 0.0 1.9676499999998498 1.9676499999998498 1.9676499999998498 1.9676499999998498 393.890625 390.90625 20 20 1.0 20 1 0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 0.0 0.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
4 1 2 4.6556686000000695 4.716822500000092 0.014905099999992899 9.387396200000154 11.355046200000004 11.355046200000004 11.355046200000004 527.484375 539.86328125 44 44 1.0 44 20 20 False 0 0 False 2.2 2.2 2.117595458607661 2.117595458607661 0.9625433902762094 0.9625433902762094 1.0 1.0 1.0 1.0 1.5 1.5 2.25 2.25 10.0 10.0 12 0.6 25 0.5681818181818182 5.961543424315551 0.0 0.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 44.0 44.0 0.0 0.0 0.0 0.0 44.0 0.0 44.0 0.0 44.0 0.0 44.0 0.0 44.0 0.0
5 1 1 14.887417299999953 44.28835940000002 0.037182400000006055 59.21295909999998 70.56800529999998 70.56800529999998 70.56800529999998 853.96484375 878.11328125 73 73 1.0 0 44 44 False 0 0 False 1.6590909090909092 1.6590909090909092 1.140036348220648 1.140036348220648 0.6871451961877878 0.6871451961877878 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 21 0.4772727272727273 38 0.5205479452054794 3.554148722337861 0.0 0.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 44.0 0.0 0.0 44.0 44.0 44.0 44.0 44.0 73.0 73.0 0.0 0.0 0.0 0.0 73.0 0.0 73.0 0.0 73.0 0.0 73.0 0.0 73.0 0.0
6 2 3 1.1316933999999605 0.9167576000000395 0.0 2.048451 2.048451 2.048451 2.048451 411.65625 407.10546875 20 20 1.0 20 1 0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 0.0 0.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
7 2 2 4.623042499999656 6.209064000000126 0.014963100000045415 10.847069599999827 12.895520599999827 12.895520599999827 12.895520599999827 550.0625 560.74609375 44 44 1.0 44 20 20 False 0 0 False 2.2 2.2 2.1667341419992585 2.1667341419992585 0.9848791554542083 0.9848791554542083 1.0 1.0 1.0 1.0 1.0 1.0 2.25 2.25 10.0 10.0 12 0.6 36 0.8181818181818182 6.382789358893177 0.0 0.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 44.0 44.0 0.0 0.0 0.0 0.0 44.0 0.0 44.0 0.0 44.0 0.0 44.0 0.0 44.0 0.0
8 2 1 14.760424900000032 25.908483400000364 0.03477789999999459 40.70368620000039 53.59920680000022 53.59920680000022 53.59920680000022 814.953125 835.09765625 73 73 1.0 0 44 44 False 0 0 False 1.6590909090909092 1.6590909090909092 1.0330172969168459 1.0330172969168459 0.6226405625252222 0.6226405625252222 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 18 0.4090909090909091 24 0.3287671232876712 3.204102161473166 0.0 0.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 44.0 0.0 0.0 44.0 44.0 44.0 44.0 44.0 73.0 73.0 0.0 0.0 0.0 0.0 73.0 0.0 73.0 0.0 73.0 0.0 73.0 0.0 73.0 0.0
9 3 3 1.1298730000000887 0.7232515999999691 0.0 1.8531246000000579 1.8531246000000579 1.8531246000000579 1.8531246000000579 610.40234375 604.7578125 20 20 1.0 20 1 0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 0.0 0.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
