 RU AL GT ST OT TT LT CT WT WT_PA MET MET_PA RSS VMS LE AC CF PSG SIZE SGLITS_T QL_SCORE LT_SCORE CT_SCORE AW_SCORE AW_PA_SCORE AME_SCORE AME_PA_SCORE TI_SCORE LT_GRADE CT_GRADE AW_GRADE AW_PA_GRADE AME_GRADE AME_PA_GRADE GRADE HAS_TRAILING TOT_CHOICES PRE_CHOICES FGOALS_ORDER CP_EF_L CP_EF_A SP_ED_L SP_ED_A SP_EB_L SP_EB_A SP_EBS_L SP_EBS_A SP_MIN_L SP_MIN_A SP_LOWER_L SP_LOWER_A SP_MED_L SP_MED_A SP_UPPER_L SP_UPPER_A SP_MAX_L SP_MAX_A T_INTER_SP P_INTER_SP T_INTER_Q P_INTER_Q M_CHILD_RMSE M_CHILD_RMSE_SCORE M_CHILD_MAE M_CHILD_MAE_SCORE M_CHILD_NRMSE M_CHILD_NRMSE_SCORE M_CHILD_NMAE M_CHILD_NMAE_SCORE DIV_INDEX_RMSE DIV_INDEX_RMSE_SCORE DIV_INDEX_MAE DIV_INDEX_MAE_SCORE DIV_INDEX_NRMSE DIV_INDEX_NRMSE_SCORE DIV_INDEX_NMAE DIV_INDEX_NMAE_SCORE DIV_STEP_RMSE DIV_STEP_RMSE_SCORE DIV_STEP_MAE DIV_STEP_MAE_SCORE DIV_STEP_NRMSE DIV_STEP_NRMSE_SCORE DIV_STEP_NMAE DIV_STEP_NMAE_SCORE DIVS_T DS_T DS_TD_MEAN DS_TD_STD DS_TD_CD DS_TD_MIN DS_TD_LOWER DS_TD_MED DS_TD_UPPER DS_TD_MAX DS_TS_MEAN DS_TS_STD DS_TS_CD DS_TS_MIN DS_TS_LOWER DS_TS_MED DS_TS_UPPER DS_TS_MAX PR_T PR_TS_MEAN PR_TS_STD PR_TS_CD PR_TS_MIN PR_TS_LOWER PR_TS_MED PR_TS_UPPER PR_TS_MAX PP_LE_MEAN PP_AC_MEAN PP_LE_STD PP_AC_STD PP_LE_CD PP_AC_CD PP_LE_MIN PP_AC_MIN PP_LE_LOWER PP_AC_LOWER PP_LE_MED PP_AC_MED PP_LE_UPPER PP_AC_UPPER PP_LE_MAX PP_AC_MAX PP_ED_L PP_ED_A PP_EB_L PP_EB_A PP_EBS_L PP_EBS_A PP_EF_LE_MIN PP_EF_AC_MIN PP_EF_LE_LOWER PP_EF_AC_LOWER PP_EF_LE_MED PP_EF_AC_MED PP_EF_LE_UPPER PP_EF_AC_UPPER PP_EF_LE_MAX PP_EF_AC_MAX
0 0 3 3.6787482000002 135.96722750000004 0.0 139.64597570000024 139.64597570000024 139.64597570000024 139.64597570000024 4.815378472413801 0.0 0.0 635.765625 667.484375 29 29 1.0 29 1 0 1.0 0.3449375097044801 0.3449375097044801 0.3449375097044801 0.7903000667977905 1.0 1.0 0.3449375097044801 0.3449375097044801 0.3449375097044801 0.3449375097044801 0.7903000667977905 1.0 1.0 0.3449375097044801 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 0 2 8.9676386000001 32.78958350000005 0.0 41.75722210000015 181.40319780000038 181.40319780000038 181.40319780000038 3.298239960000007 0.0 0.0 856.5546875 899.93359375 55 55 1.0 55 29 29 1.0 0.3091326638671824 0.3091326638671824 0.3091326638671824 0.840786831736387 1.0 1.0 0.3091326638671824 0.3091326638671824 0.3091326638671824 0.3091326638671824 0.840786831736387 1.0 1.0 0.3091326638671824 False 0 0 False 1.896551724137931 1.896551724137931 1.7996989348659502 1.7996989348659502 0.9489321656565919 0.9489321656565919 0.6942615261273042 0.6942615261273042 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 10.0 10.0 0 0.0 0 0.0 8.475817176728004 0.00020844878618031193 7.827586206896551 0.0003985864252261644 4.469067238638402 0.011457998445806607 4.127272727272727 0.016126801086148536 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 29.0 0.0 0.0 29.0 29.0 29.0 29.0 29.0 55.0 55.0 0.0 0.0 0.0 0.0 55.0 55.0 55.0 55.0 55.0 55.0 55.0 55.0 55.0 55.0 0.0 0.0 0.0 0.0 0.0 0.0 1.896551724137931 1.896551724137931 1.896551724137931 1.896551724137931 1.896551724137931 1.896551724137931 1.896551724137931 1.896551724137931 1.896551724137931 1.896551724137931
2 0 1 27.245494399999984 170.35519110000087 0.0 197.60068550000085 379.00388330000123 379.00388330000123 379.00388330000123 4.356366474712658 0.0 0.0 1307.1171875 1416.5 87 87 1.0 0 55 55 0.9770114942528736 0.2092718010577802 0.2092718010577802 0.2092718010577802 0.8036648525794412 1.0 1.0 0.2092718010577802 0.20446095505645193 0.20446095505645193 0.20446095505645193 0.7851897984971552 0.9770114942528736 0.9770114942528736 0.20446095505645193 False 0 0 False 1.5818181818181818 1.5818181818181818 1.0308376509549224 1.0308376509549224 0.6516789747416176 0.6516789747416176 0.8232120187829636 0.8232120187829636 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 0 0.0 0 0.0 4.230389857579021 0.014546718294425406 3.81818181818182 0.02196770588943546 2.6743843927223696 0.06894926099927079 2.413793103448277 0.08947526116732757 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 55.0 0.0 0.0 55.0 55.0 55.0 55.0 55.0 87.0 87.0 0.0 0.0 0.0 0.0 87.0 87.0 87.0 87.0 87.0 87.0 87.0 87.0 87.0 87.0 0.0 0.0 0.0 0.0 0.0 0.0 1.5818181818181818 1.5818181818181818 1.5818181818181818 1.5818181818181818 1.5818181818181818 1.5818181818181818 1.5818181818181818 1.5818181818181818 1.5818181818181818 1.5818181818181818
3 1 3 3.6616831000001184 148.0166369000001 0.0 151.6783200000002 151.6783200000002 151.6783200000002 151.6783200000002 5.230286896551731 0.0 0.0 661.18359375 695.74609375 29 29 1.0 29 1 0 1.0 0.3335990336472764 0.3335990336472764 0.3335990336472764 0.7792733140717809 1.0 1.0 0.3335990336472764 0.3335990336472764 0.3335990336472764 0.3335990336472764 0.7792733140717809 1.0 1.0 0.3335990336472764 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
4 1 2 9.128042699999924 54.37558110000032 0.0 63.50362380000024 215.18194380000045 215.18194380000045 215.18194380000045 3.9123989781818262 0.0 0.0 885.8046875 936.46484375 55 55 1.0 55 29 29 1.0 0.28587951413259616 0.28587951413259616 0.28587951413259616 0.8180050561423459 1.0 1.0 0.28587951413259616 0.28587951413259616 0.28587951413259616 0.28587951413259616 0.8180050561423459 1.0 1.0 0.28587951413259616 False 0 0 False 1.896551724137931 1.896551724137931 1.819435304589368 1.819435304589368 0.9593386151471214 0.9593386151471214 0.6921753624769453 0.6921753624769453 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 10.0 10.0 0 0.0 0 0.0 6.284287637101471 0.0018653853278846537 5.482758620689654 0.004157843948434416 3.3135334813807757 0.036387372226595875 2.89090909090909 0.05552571174025579 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 29.0 0.0 0.0 29.0 29.0 29.0 29.0 29.0 55.0 55.0 0.0 0.0 0.0 0.0 55.0 55.0 55.0 55.0 55.0 55.0 55.0 55.0 55.0 55.0 0.0 0.0 0.0 0.0 0.0 0.0 1.896551724137931 1.896551724137931 1.896551724137931 1.896551724137931 1.896551724137931 1.896551724137931 1.896551724137931 1.896551724137931 1.896551724137931 1.896551724137931
5 1 1 25.726884200000313 145.33946629999946 0.0 171.06635049999977 386.2482943000002 386.2482943000002 386.2482943000002 4.5440975800000025 0.0 0.0 1314.5546875 1420.86328125 85 85 1.0 0 55 55 1.0 0.20671908354968227 0.20671908354968227 0.20671908354968227 0.7980360637038035 1.0 1.0 0.20671908354968227 0.20671908354968227 0.20671908354968227 0.20671908354968227 0.7980360637038035 1.0 1.0 0.20671908354968227 False 0 0 False 1.5454545454545454 1.5454545454545454 0.9392310057461275 0.9392310057461275 0.6077377096004355 0.6077377096004355 0.8347301122496116 0.8347301122496116 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 0 0.0 0 0.0 2.632285246669653 0.0719139332392577 2.28099173553719 0.10218281811649271 1.7032433949038932 0.18209196908356018 1.4759358288770053 0.22856472945418949 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 55.0 0.0 0.0 55.0 55.0 55.0 55.0 55.0 85.0 85.0 0.0 0.0 0.0 0.0 85.0 85.0 85.0 85.0 85.0 85.0 85.0 85.0 85.0 85.0 0.0 0.0 0.0 0.0 0.0 0.0 1.5454545454545454 1.5454545454545454 1.5454545454545454 1.5454545454545454 1.5454545454545454 1.5454545454545454 1.5454545454545454 1.5454545454545454 1.5454545454545454 1.5454545454545454
6 2 3 3.6797472999990077 163.23888110000007 0.0 166.91862839999908 166.91862839999908 166.91862839999908 166.91862839999908 5.755814772413761 0.0 0.0 689.80859375 720.6796875 29 29 1.0 29 1 0 1.0 0.32049598254272205 0.32049598254272205 0.32049598254272205 0.7664997912497646 1.0 1.0 0.32049598254272205 0.32049598254272205 0.32049598254272205 0.32049598254272205 0.7664997912497646 1.0 1.0 0.32049598254272205 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
7 2 2 9.123544800000673 36.43512259999943 0.0 45.558667400000104 212.47729579999918 212.47729579999918 212.47729579999918 3.863223559999985 0.0 0.0 898.5 945.09765625 55 55 1.0 55 29 29 1.0 0.28759919132720335 0.28759919132720335 0.28759919132720335 0.8196925633599527 1.0 1.0 0.28759919132720335 0.28759919132720335 0.28759919132720335 0.28759919132720335 0.8196925633599527 1.0 1.0 0.28759919132720335 False 0 0 False 1.896551724137931 1.896551724137931 1.7996989348659502 1.7996989348659502 0.9489321656565919 0.9489321656565919 0.6942615261273042 0.6942615261273042 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 10.0 10.0 0 0.0 0 0.0 8.063290075954683 0.00031488909013292586 7.413793103448275 0.0006028795674747846 4.251552949139742 0.014242099470498187 3.9090909090909087 0.02005872798272164 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 29.0 0.0 0.0 29.0 29.0 29.0 29.0 29.0 55.0 55.0 0.0 0.0 0.0 0.0 55.0 55.0 55.0 55.0 55.0 55.0 55.0 55.0 55.0 55.0 0.0 0.0 0.0 0.0 0.0 0.0 1.896551724137931 1.896551724137931 1.896551724137931 1.896551724137931 1.896551724137931 1.896551724137931 1.896551724137931 1.896551724137931 1.896551724137931 1.896551724137931
8 2 1 27.25898590000088 226.55935489999956 0.0 253.81834080000044 466.2956365999996 466.2956365999996 466.2956365999996 5.359719960919536 0.0 0.0 1359.45703125 1467.72265625 87 87 1.0 0 55 55 0.9770114942528736 0.1813527776338577 0.1813527776338577 0.1813527776338577 0.7760119628187008 1.0 1.0 0.1813527776338577 0.17718374826296443 0.17718374826296443 0.17718374826296443 0.7581726073516042 0.9770114942528736 0.9770114942528736 0.17718374826296443 False 0 0 False 1.5818181818181818 1.5818181818181818 0.9754563811443091 0.9754563811443091 0.6166678271601954 0.6166678271601954 0.8301115931094343 0.8301115931094343 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 0 0.0 0 0.0 4.15680264920802 0.01565754062119251 3.690909090909093 0.024949310538120512 2.6278637437521963 0.0722326048895358 2.333333333333335 0.09697196786440491 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 55.0 0.0 0.0 55.0 55.0 55.0 55.0 55.0 87.0 87.0 0.0 0.0 0.0 0.0 87.0 87.0 87.0 87.0 87.0 87.0 87.0 87.0 87.0 87.0 0.0 0.0 0.0 0.0 0.0 0.0 1.5818181818181818 1.5818181818181818 1.5818181818181818 1.5818181818181818 1.5818181818181818 1.5818181818181818 1.5818181818181818 1.5818181818181818 1.5818181818181818 1.5818181818181818
9 3 3 3.6791014000004907 174.28225480000037 0.0 177.96135620000086 177.96135620000086 177.96135620000086 177.96135620000086 6.136598489655202 0.0 0.0 923.90234375 937.4375 29 29 1.0 29 1 0 1.0 0.31174647245442955 0.31174647245442955 0.31174647245442955 0.7579533794462594 1.0 1.0 0.31174647245442955 0.31174647245442955 0.31174647245442955 0.31174647245442955 0.7579533794462594 1.0 1.0 0.31174647245442955 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
