 RU AL GT ST OT TT LT CT WT WT_PA MET MET_PA RSS VMS LE AC CF PSG SIZE SGLITS_T QL_SCORE LT_SCORE CT_SCORE AW_SCORE AW_PA_SCORE AME_SCORE AME_PA_SCORE TI_SCORE LT_GRADE CT_GRADE AW_GRADE AW_PA_GRADE AME_GRADE AME_PA_GRADE GRADE HAS_TRAILING TOT_CHOICES PRE_CHOICES FGOALS_ORDER CP_EF_L CP_EF_A SP_ED_L SP_ED_A SP_EB_L SP_EB_A SP_EBS_L SP_EBS_A SP_MIN_L SP_MIN_A SP_LOWER_L SP_LOWER_A SP_MED_L SP_MED_A SP_UPPER_L SP_UPPER_A SP_MAX_L SP_MAX_A T_INTER_SP P_INTER_SP T_INTER_Q P_INTER_Q M_CHILD_RMSE M_CHILD_RMSE_SCORE M_CHILD_MAE M_CHILD_MAE_SCORE M_CHILD_NRMSE M_CHILD_NRMSE_SCORE M_CHILD_NMAE M_CHILD_NMAE_SCORE DIV_INDEX_RMSE DIV_INDEX_RMSE_SCORE DIV_INDEX_MAE DIV_INDEX_MAE_SCORE DIV_INDEX_NRMSE DIV_INDEX_NRMSE_SCORE DIV_INDEX_NMAE DIV_INDEX_NMAE_SCORE DIV_STEP_RMSE DIV_STEP_RMSE_SCORE DIV_STEP_MAE DIV_STEP_MAE_SCORE DIV_STEP_NRMSE DIV_STEP_NRMSE_SCORE DIV_STEP_NMAE DIV_STEP_NMAE_SCORE DIVS_T DS_T DS_TD_MEAN DS_TD_STD DS_TD_CD DS_TD_MIN DS_TD_LOWER DS_TD_MED DS_TD_UPPER DS_TD_MAX DS_TS_MEAN DS_TS_STD DS_TS_CD DS_TS_MIN DS_TS_LOWER DS_TS_MED DS_TS_UPPER DS_TS_MAX PR_T PR_TS_MEAN PR_TS_STD PR_TS_CD PR_TS_MIN PR_TS_LOWER PR_TS_MED PR_TS_UPPER PR_TS_MAX PP_LE_MEAN PP_AC_MEAN PP_LE_STD PP_AC_STD PP_LE_CD PP_AC_CD PP_LE_MIN PP_AC_MIN PP_LE_LOWER PP_AC_LOWER PP_LE_MED PP_AC_MED PP_LE_UPPER PP_AC_UPPER PP_LE_MAX PP_AC_MAX PP_ED_L PP_ED_A PP_EB_L PP_EB_A PP_EBS_L PP_EBS_A PP_EF_LE_MIN PP_EF_AC_MIN PP_EF_LE_LOWER PP_EF_AC_LOWER PP_EF_LE_MED PP_EF_AC_MED PP_EF_LE_UPPER PP_EF_AC_UPPER PP_EF_LE_MAX PP_EF_AC_MAX
0 0 3 3.672219399999449 156.16897670000048 0.0 159.84119609999993 159.84119609999993 159.84119609999993 159.84119609999993 5.511765382758618 0.0 0.0 740.41015625 765.34765625 29 29 1.0 29 1 0 1.0 0.326421284432425 0.326421284432425 0.326421284432425 0.7722799791165793 1.0 1.0 0.326421284432425 0.326421284432425 0.326421284432425 0.326421284432425 0.7722799791165793 1.0 1.0 0.326421284432425 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 0 2 10.87543349999919 14.899863999999297 0.025185600000668273 25.800483099999155 185.6416791999991 185.6416791999991 185.6416791999991 3.3753032581818014 0.0 0.0 1063.73046875 1101.5 55 55 1.0 55 29 29 1.0 0.3059826774645411 0.3059826774645411 0.3059826774645411 0.8377055076642617 1.0 1.0 0.3059826774645411 0.3059826774645411 0.3059826774645411 0.3059826774645411 0.8377055076642617 1.0 1.0 0.3059826774645411 False 0 0 False 1.896551724137931 1.896551724137931 1.7595621936437749 1.7595621936437749 0.9277691566485359 0.9277691566485359 0.6985497880477594 0.6985497880477594 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 10.0 10.0 9 0.3103448275862069 17 0.3090909090909091 9.231788641536244 9.787801088851791e-05 8.448275862068964 0.00021426952729576223 4.867670374628202 0.007691262192805019 4.454545454545454 0.011625603038838502 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 29.0 0.0 0.0 29.0 29.0 29.0 29.0 29.0 55.0 55.0 0.0 0.0 0.0 0.0 55.0 55.0 55.0 55.0 55.0 55.0 55.0 55.0 55.0 55.0 0.0 0.0 0.0 0.0 0.0 0.0 1.896551724137931 1.896551724137931 1.896551724137931 1.896551724137931 1.896551724137931 1.896551724137931 1.896551724137931 1.896551724137931 1.896551724137931 1.896551724137931
2 0 1 37.88396300000022 222.37222439999982 0.050225700000964935 260.306413100001 445.9480923000001 445.9480923000001 445.9480923000001 5.125840141379311 0.0 0.0 1730.56640625 1762.296875 87 87 1.0 0 55 55 0.9770114942528736 0.18735796790305403 0.18735796790305403 0.18735796790305403 0.7819644725024727 1.0 1.0 0.18735796790305403 0.18305088818114476 0.18305088818114476 0.18305088818114476 0.7639882777323009 0.9770114942528736 0.9770114942528736 0.18305088818114476 False 0 0 False 1.5818181818181818 1.5818181818181818 1.0661614965380886 1.0661614965380886 0.6740101414895963 0.6740101414895963 0.8189088596329889 0.8189088596329889 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 21 0.38181818181818183 45 0.5172413793103449 4.367536136178663 0.012682449933961313 3.800000000000002 0.02237077185616555 2.761086063101454 0.06322306681925653 2.402298850574714 0.09050964579599388 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 55.0 0.0 0.0 55.0 55.0 55.0 55.0 55.0 87.0 87.0 0.0 0.0 0.0 0.0 87.0 87.0 87.0 87.0 87.0 87.0 87.0 87.0 87.0 87.0 0.0 0.0 0.0 0.0 0.0 0.0 1.5818181818181818 1.5818181818181818 1.5818181818181818 1.5818181818181818 1.5818181818181818 1.5818181818181818 1.5818181818181818 1.5818181818181818 1.5818181818181818 1.5818181818181818
3 1 3 3.670588000000407 173.67913109999927 0.0 177.34971909999967 177.34971909999967 177.34971909999967 177.34971909999967 6.115507555172402 0.0 0.0 774.9921875 800.86328125 29 29 1.0 29 1 0 1.0 0.3122163693694072 0.3122163693694072 0.3122163693694072 0.7584126963847236 1.0 1.0 0.3122163693694072 0.3122163693694072 0.3122163693694072 0.3122163693694072 0.7584126963847236 1.0 1.0 0.3122163693694072 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
4 1 2 10.845184599999584 17.512156000000687 0.023858699999436794 28.381199299999707 205.73091839999938 205.73091839999938 205.73091839999938 3.7405621527272617 0.0 0.0 1077.2890625 1126.2109375 55 55 1.0 55 29 29 1.0 0.29198785598341526 0.29198785598341526 0.29198785598341526 0.8239972615424391 1.0 1.0 0.29198785598341526 0.29198785598341526 0.29198785598341526 0.29198785598341526 0.8239972615424391 1.0 1.0 0.29198785598341526 False 0 0 False 1.896551724137931 1.896551724137931 1.9150685848629714 1.9150685848629714 1.0097634356550214 1.0097634356550214 0.6822692742785101 0.6822692742785101 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 10.0 10.0 10 0.3448275862068966 25 0.45454545454545453 8.446938669684855 0.0002145562385271245 7.793103448275861 0.0004125705038889155 4.453840389470196 0.011633802735840307 4.1090909090909085 0.01642269746708008 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 29.0 0.0 0.0 29.0 29.0 29.0 29.0 29.0 55.0 55.0 0.0 0.0 0.0 0.0 55.0 55.0 55.0 55.0 55.0 55.0 55.0 55.0 55.0 55.0 0.0 0.0 0.0 0.0 0.0 0.0 1.896551724137931 1.896551724137931 1.896551724137931 1.896551724137931 1.896551724137931 1.896551724137931 1.896551724137931 1.896551724137931 1.896551724137931 1.896551724137931
5 1 1 38.00772329999745 227.73901879999812 0.049617599999692175 265.79635969999526 471.52727809999465 471.52727809999465 471.52727809999465 5.4198537712643065 0.0 0.0 1763.5546875 1792.73828125 87 87 1.0 0 55 55 0.9770114942528736 0.1798514714577344 0.1798514714577344 0.1798514714577344 0.774523463644276 1.0 1.0 0.1798514714577344 0.1757169548724991 0.1757169548724991 0.1757169548724991 0.7567183265490054 0.9770114942528736 0.9770114942528736 0.1757169548724991 False 0 0 False 1.5818181818181818 1.5818181818181818 0.9754563811443091 0.9754563811443091 0.6166678271601954 0.6166678271601954 0.8301115931094343 0.8301115931094343 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 30 0.5454545454545454 43 0.4942528735632184 4.011553562333561 0.01810524574863556 3.5636363636363657 0.028335598603717836 2.5360396083717918 0.0791793609354433 2.252873563218392 0.1050967879703597 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 55.0 0.0 0.0 55.0 55.0 55.0 55.0 55.0 87.0 87.0 0.0 0.0 0.0 0.0 87.0 87.0 87.0 87.0 87.0 87.0 87.0 87.0 87.0 87.0 0.0 0.0 0.0 0.0 0.0 0.0 1.5818181818181818 1.5818181818181818 1.5818181818181818 1.5818181818181818 1.5818181818181818 1.5818181818181818 1.5818181818181818 1.5818181818181818 1.5818181818181818 1.5818181818181818
6 2 3 3.6791159000003972 129.98278519999963 0.0 133.66190110000002 133.66190110000002 133.66190110000002 133.66190110000002 4.609031072413794 0.0 0.0 789.5 802.75390625 29 29 1.0 29 1 0 1.0 0.3509568303060232 0.3509568303060232 0.3509568303060232 0.7961431385698937 1.0 1.0 0.3509568303060232 0.3509568303060232 0.3509568303060232 0.3509568303060232 0.7961431385698937 1.0 1.0 0.3509568303060232 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
7 2 2 10.835797000001094 13.112951000000066 0.024283100000957347 23.973031100002117 157.63493220000214 157.63493220000214 157.63493220000214 2.8660896763636754 0.0 0.0 1084.09375 1112.04296875 55 55 1.0 55 29 29 1.0 0.3283235214043809 0.3283235214043809 0.3283235214043809 0.8595233504757168 1.0 1.0 0.3283235214043809 0.3283235214043809 0.3283235214043809 0.3283235214043809 0.8595233504757168 1.0 1.0 0.3283235214043809 False 0 0 False 1.896551724137931 1.896551724137931 1.7996989348659502 1.7996989348659502 0.9489321656565919 0.9489321656565919 0.6942615261273042 0.6942615261273042 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 10.0 10.0 7 0.2413793103448276 16 0.2909090909090909 9.164437807794702 0.00010469723933748193 8.379310344827585 0.00022956821377998992 4.832158116837206 0.007969304005053463 4.418181818181818 0.01205613261041348 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 29.0 0.0 0.0 29.0 29.0 29.0 29.0 29.0 55.0 55.0 0.0 0.0 0.0 0.0 55.0 55.0 55.0 55.0 55.0 55.0 55.0 55.0 55.0 55.0 0.0 0.0 0.0 0.0 0.0 0.0 1.896551724137931 1.896551724137931 1.896551724137931 1.896551724137931 1.896551724137931 1.896551724137931 1.896551724137931 1.896551724137931 1.896551724137931 1.896551724137931
8 2 1 36.55635959999654 238.99814670000114 0.04859310000210826 275.6030993999998 433.23803160000193 433.23803160000193 433.23803160000193 5.096918018823552 0.0 0.0 1771.0 1806.83984375 85 85 1.0 0 55 55 1.0 0.1912510579418476 0.1912510579418476 0.1912510579418476 0.7827193738331877 1.0 1.0 0.1912510579418476 0.1912510579418476 0.1912510579418476 0.1912510579418476 0.7827193738331877 1.0 1.0 0.1912510579418476 False 0 0 False 1.5454545454545454 1.5454545454545454 1.0331215162506624 1.0331215162506624 0.6684903928680757 0.6684903928680757 0.8229315427616638 0.8229315427616638 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 36 0.6545454545454545 61 0.7176470588235294 3.916483496097822 0.019910988850886806 3.5272727272727264 0.029384947449229346 2.5341952033574144 0.07932553450598293 2.28235294117647 0.10204382091158672 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 55.0 0.0 0.0 55.0 55.0 55.0 55.0 55.0 85.0 85.0 0.0 0.0 0.0 0.0 85.0 85.0 85.0 85.0 85.0 85.0 85.0 85.0 85.0 85.0 0.0 0.0 0.0 0.0 0.0 0.0 1.5454545454545454 1.5454545454545454 1.5454545454545454 1.5454545454545454 1.5454545454545454 1.5454545454545454 1.5454545454545454 1.5454545454545454 1.5454545454545454 1.5454545454545454
9 3 3 3.6746468999986064 178.60942690000002 0.0 182.28407379999862 182.28407379999862 182.28407379999862 182.28407379999862 6.285657717241332 0.0 0.0 850.7265625 864.578125 29 29 1.0 29 1 0 1.0 0.308471857379356 0.308471857379356 0.308471857379356 0.7547514910789686 1.0 1.0 0.308471857379356 0.308471857379356 0.308471857379356 0.308471857379356 0.7547514910789686 1.0 1.0 0.308471857379356 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
