 RU AL GT ST OT TT LT CT WT WT_PA MET MET_PA RSS VMS LE AC CF PSG SIZE SGLITS_T QL_SCORE LT_SCORE CT_SCORE AW_SCORE AW_PA_SCORE AME_SCORE AME_PA_SCORE TI_SCORE LT_GRADE CT_GRADE AW_GRADE AW_PA_GRADE AME_GRADE AME_PA_GRADE GRADE HAS_TRAILING TOT_CHOICES PRE_CHOICES FGOALS_ORDER CP_EF_L CP_EF_A SP_ED_L SP_ED_A SP_EB_L SP_EB_A SP_EBS_L SP_EBS_A SP_MIN_L SP_MIN_A SP_LOWER_L SP_LOWER_A SP_MED_L SP_MED_A SP_UPPER_L SP_UPPER_A SP_MAX_L SP_MAX_A T_INTER_SP P_INTER_SP T_INTER_Q P_INTER_Q M_CHILD_RMSE M_CHILD_RMSE_SCORE M_CHILD_MAE M_CHILD_MAE_SCORE M_CHILD_NRMSE M_CHILD_NRMSE_SCORE M_CHILD_NMAE M_CHILD_NMAE_SCORE DIV_INDEX_RMSE DIV_INDEX_RMSE_SCORE DIV_INDEX_MAE DIV_INDEX_MAE_SCORE DIV_INDEX_NRMSE DIV_INDEX_NRMSE_SCORE DIV_INDEX_NMAE DIV_INDEX_NMAE_SCORE DIV_STEP_RMSE DIV_STEP_RMSE_SCORE DIV_STEP_MAE DIV_STEP_MAE_SCORE DIV_STEP_NRMSE DIV_STEP_NRMSE_SCORE DIV_STEP_NMAE DIV_STEP_NMAE_SCORE DIVS_T DS_T DS_TD_MEAN DS_TD_STD DS_TD_CD DS_TD_MIN DS_TD_LOWER DS_TD_MED DS_TD_UPPER DS_TD_MAX DS_TS_MEAN DS_TS_STD DS_TS_CD DS_TS_MIN DS_TS_LOWER DS_TS_MED DS_TS_UPPER DS_TS_MAX PR_T PR_TS_MEAN PR_TS_STD PR_TS_CD PR_TS_MIN PR_TS_LOWER PR_TS_MED PR_TS_UPPER PR_TS_MAX PP_LE_MEAN PP_AC_MEAN PP_LE_STD PP_AC_STD PP_LE_CD PP_AC_CD PP_LE_MIN PP_AC_MIN PP_LE_LOWER PP_AC_LOWER PP_LE_MED PP_AC_MED PP_LE_UPPER PP_AC_UPPER PP_LE_MAX PP_AC_MAX PP_ED_L PP_ED_A PP_EB_L PP_EB_A PP_EBS_L PP_EBS_A PP_EF_LE_MIN PP_EF_AC_MIN PP_EF_LE_LOWER PP_EF_AC_LOWER PP_EF_LE_MED PP_EF_AC_MED PP_EF_LE_UPPER PP_EF_AC_UPPER PP_EF_LE_MAX PP_EF_AC_MAX
0 0 3 0.81387059999998 0.17494629999997358 0.0 0.9888168999999536 0.9888168999999536 0.9888168999999536 0.9888168999999536 0.06592112666666357 0.0 0.0 231.92578125 221.3125 15 15 1.0 15 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 5 1 5.0 0.0 0.0 5.0 5.0 5.0 5.0 5.0 15.0 0.0 0.0 15.0 15.0 15.0 15.0 15.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 0 2 1.4482210000000109 0.2202008999999876 0.0 1.6684218999999985 1.3468974999999617 2.657238799999952 0.4664597666666583 0.02028085942028949 0.29037221999999757 0.012624879130434677 237.7578125 237.38671875 23 23 1.0 23 15 15 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.5333333333333334 1.5333333333333334 0.833809387832792 0.833809387832792 0.5437887311952991 0.5437887311952991 0.7760767375336267 0.7760767375336267 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 4.0 4.0 0 0.0 0 0.0 2.6986965303573798 0.06729317020243246 2.2666666666666657 0.10365712861152795 1.76001947632003 0.1720415130548536 1.4782608695652166 0.22803392446903187 0.823754471047914 0.4387811669033108 0.6428571428571429 0.5257880244257798 0.3295017884191656 0.7192819988002258 0.2571428571428572 0.7732577404831906 1.264597307132333 0.28235297477930676 0.9285714285714283 0.3951177613268874 0.3298949496866956 0.7189992605623701 0.2422360248447204 0.7848709066545535 17 6 2.8333333333333335 1.1690451944500122 0.4126041862764749 2.0 2.0 2.5 3.0 5.0 3.8333333333333335 1.1690451944500122 0.30496831159565535 3.0 3.0 3.5 4.0 6.0 6 2.5 0.5477225575051661 0.21908902300206642 2.0 2.0 2.5 3.0 3.0 3.8333333333333335 3.8333333333333335 1.1690451944500122 1.1690451944500122 0.30496831159565535 0.30496831159565535 3.0 3.0 3.0 3.0 3.5 3.5 4.0 4.0 6.0 6.0 0.7631562142886654 0.7631562142886654 0.49771057453608614 0.49771057453608614 0.7905853051234809 0.7905853051234809 1.0 1.0 1.0833333333333333 1.0833333333333333 1.4166666666666665 1.4166666666666665 1.875 1.875 3.0 3.0
2 0 1 7.016946800000007 5.01425669999999 0.0 12.031203499999997 1.600455699999955 14.688442299999949 0.6791689130434746 0.010448752508361147 0.6372922409090891 0.009804496013985985 315.35546875 308.64453125 65 65 1.0 0 23 23 0.6 1.0 0.6839237220558333 1.0 1.0 1.0 1.0 1.0 0.6 0.41035423323349995 0.6 0.6 0.6 0.6 0.6 True 0 0 False 2.8260869565217392 2.8260869565217392 5.169460335286728 5.169460335286728 1.857774807993668 1.857774807993668 0.41967318615038574 0.41967318615038574 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 26.0 26.0 0 0.0 0 0.0 12.844570322415844 2.640425914903171e-06 10.521739130434785 2.694429071303649e-05 4.545001806393299 0.010620153532060769 3.7230769230769236 0.02415951639022082 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 12.574128027508467 3.4603942596569837e-06 10.083333333333336 4.1769951802537664e-05 4.449306840502996 0.011686664886251778 3.5679487179487186 0.028213668554627428 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 23 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 2.8260869565217392 2.8260869565217392 5.37377617283519 5.37377617283519 1.9014900303878364 1.9014900303878364 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 27.0 27.0 5.37377617283519 5.37377617283519 1.9014900303878364 1.9014900303878364 0.40928224637854316 0.40928224637854316 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 27.0 27.0
3 1 3 0.8202640999999886 0.17226889999999173 0.0 0.9925329999999803 0.9925329999999803 0.9925329999999803 0.9925329999999803 0.06616886666666535 0.0 0.0 235.4921875 229.24609375 15 15 1.0 15 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 5 1 5.0 0.0 0.0 5.0 5.0 5.0 5.0 5.0 15.0 0.0 0.0 15.0 15.0 15.0 15.0 15.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
4 1 2 1.4482327000000197 0.2283317999999923 0.0 1.676564500000012 1.3089842999999917 2.6690974999999924 0.4683918166666648 0.020364861594202817 0.30027331999999946 0.013055361739130411 237.484375 238.55859375 23 23 1.0 23 15 15 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.5333333333333334 1.5333333333333334 0.833809387832792 0.833809387832792 0.5437887311952991 0.5437887311952991 0.7760767375336267 0.7760767375336267 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 4.0 4.0 0 0.0 0 0.0 2.6986965303573798 0.06729317020243246 2.2666666666666657 0.10365712861152795 1.76001947632003 0.1720415130548536 1.4782608695652166 0.22803392446903187 0.823754471047914 0.4387811669033108 0.6428571428571429 0.5257880244257798 0.3295017884191656 0.7192819988002258 0.2571428571428572 0.7732577404831906 1.264597307132333 0.28235297477930676 0.9285714285714283 0.3951177613268874 0.3298949496866956 0.7189992605623701 0.2422360248447204 0.7848709066545535 17 6 2.8333333333333335 1.1690451944500122 0.4126041862764749 2.0 2.0 2.5 3.0 5.0 3.8333333333333335 1.1690451944500122 0.30496831159565535 3.0 3.0 3.5 4.0 6.0 6 2.5 0.5477225575051661 0.21908902300206642 2.0 2.0 2.5 3.0 3.0 3.8333333333333335 3.8333333333333335 1.1690451944500122 1.1690451944500122 0.30496831159565535 0.30496831159565535 3.0 3.0 3.0 3.0 3.5 3.5 4.0 4.0 6.0 6.0 0.7631562142886654 0.7631562142886654 0.49771057453608614 0.49771057453608614 0.7905853051234809 0.7905853051234809 1.0 1.0 1.0833333333333333 1.0833333333333333 1.4166666666666665 1.4166666666666665 1.875 1.875 3.0 3.0
5 1 1 7.011870599999995 6.203504399999929 0.0 13.215374999999923 1.560961399999968 15.884472499999916 0.7293077565217333 0.01122011933110359 0.6915053181818135 0.010638543356643285 319.4296875 312.5546875 65 65 1.0 0 23 23 0.6 1.0 0.6697726815911094 1.0 1.0 1.0 1.0 1.0 0.6 0.4018636089546656 0.6 0.6 0.6 0.6 0.6 False 0 0 False 2.8260869565217392 2.8260869565217392 5.37377617283519 5.37377617283519 1.9014900303878364 1.9014900303878364 0.40928224637854316 0.40928224637854316 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 27.0 27.0 0 0.0 0 0.0 12.733193452584674 2.951510594962468e-06 10.39130434782609 3.0698267204136336e-05 4.505591529376115 0.011047053597035386 3.6769230769230776 0.025300703509818265 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 12.46509619651633 3.859024230322084e-06 9.958333333333336 4.733155626972145e-05 4.410726346459624 0.012146352664802228 3.5237179487179495 0.02948959031116303 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 23 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 2.8260869565217392 2.8260869565217392 5.37377617283519 5.37377617283519 1.9014900303878364 1.9014900303878364 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 27.0 27.0 5.37377617283519 5.37377617283519 1.9014900303878364 1.9014900303878364 0.40928224637854316 0.40928224637854316 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 27.0 27.0
6 2 3 0.819060499999992 0.18088949999996373 0.0 0.9999499999999557 0.9999499999999557 0.9999499999999557 0.9999499999999557 0.06666333333333038 0.0 0.0 243.28515625 239.171875 15 15 1.0 15 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 5 1 5.0 0.0 0.0 5.0 5.0 5.0 5.0 5.0 15.0 0.0 0.0 15.0 15.0 15.0 15.0 15.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
7 2 2 1.4512405000000257 0.30786119999999073 0.0 1.7591017000000164 1.3202046999999624 2.759051699999972 0.48345366666666695 0.021019724637681172 0.3161034600000079 0.013743628695652517 270.5390625 273.5859375 23 23 1.0 23 15 15 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.5333333333333334 1.5333333333333334 0.833809387832792 0.833809387832792 0.5437887311952991 0.5437887311952991 0.7760767375336267 0.7760767375336267 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 4.0 4.0 0 0.0 0 0.0 2.6986965303573798 0.06729317020243246 2.2666666666666657 0.10365712861152795 1.76001947632003 0.1720415130548536 1.4782608695652166 0.22803392446903187 0.823754471047914 0.4387811669033108 0.6428571428571429 0.5257880244257798 0.3295017884191656 0.7192819988002258 0.2571428571428572 0.7732577404831906 1.264597307132333 0.28235297477930676 0.9285714285714283 0.3951177613268874 0.3298949496866956 0.7189992605623701 0.2422360248447204 0.7848709066545535 17 6 2.8333333333333335 1.1690451944500122 0.4126041862764749 2.0 2.0 2.5 3.0 5.0 3.8333333333333335 1.1690451944500122 0.30496831159565535 3.0 3.0 3.5 4.0 6.0 6 2.5 0.5477225575051661 0.21908902300206642 2.0 2.0 2.5 3.0 3.0 3.8333333333333335 3.8333333333333335 1.1690451944500122 1.1690451944500122 0.30496831159565535 0.30496831159565535 3.0 3.0 3.0 3.0 3.5 3.5 4.0 4.0 6.0 6.0 0.7631562142886654 0.7631562142886654 0.49771057453608614 0.49771057453608614 0.7905853051234809 0.7905853051234809 1.0 1.0 1.0833333333333333 1.0833333333333333 1.4166666666666665 1.4166666666666665 1.875 1.875 3.0 3.0
8 2 1 7.001757999999967 5.467803500000045 0.0 12.469561500000012 1.5729863999999765 15.228613199999984 0.7008587565217403 0.010782442408026775 0.6612165909090932 0.010172562937062974 331.953125 324.74609375 65 65 1.0 0 23 23 0.6 1.0 0.6773461760896454 1.0 1.0 1.0 1.0 1.0 0.6 0.40640770565378725 0.6 0.6 0.6 0.6 0.6 False 0 0 False 2.8260869565217392 2.8260869565217392 5.37377617283519 5.37377617283519 1.9014900303878364 1.9014900303878364 0.40928224637854316 0.40928224637854316 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 27.0 27.0 0 0.0 0 0.0 12.733193452584674 2.951510594962468e-06 10.39130434782609 3.0698267204136336e-05 4.505591529376115 0.011047053597035386 3.6769230769230776 0.025300703509818265 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 12.46509619651633 3.859024230322084e-06 9.958333333333336 4.733155626972145e-05 4.410726346459624 0.012146352664802228 3.5237179487179495 0.02948959031116303 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 23 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 2.8260869565217392 2.8260869565217392 5.37377617283519 5.37377617283519 1.9014900303878364 1.9014900303878364 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 27.0 27.0 5.37377617283519 5.37377617283519 1.9014900303878364 1.9014900303878364 0.40928224637854316 0.40928224637854316 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 27.0 27.0
9 3 3 0.8191833999999716 0.1547316000000336 0.0 0.9739150000000052 0.9739150000000052 0.9739150000000052 0.9739150000000052 0.06492766666666701 0.0 0.0 256.9140625 250.23046875 15 15 1.0 15 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 5 1 5.0 0.0 0.0 5.0 5.0 5.0 5.0 5.0 15.0 0.0 0.0 15.0 15.0 15.0 15.0 15.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
