 RU AL GT ST OT TT LT CT WT WT_PA MET MET_PA RSS VMS LE AC CF PSG SIZE SGLITS_T QL_SCORE LT_SCORE CT_SCORE AW_SCORE AW_PA_SCORE AME_SCORE AME_PA_SCORE TI_SCORE LT_GRADE CT_GRADE AW_GRADE AW_PA_GRADE AME_GRADE AME_PA_GRADE GRADE HAS_TRAILING TOT_CHOICES PRE_CHOICES FGOALS_ORDER CP_EF_L CP_EF_A SP_ED_L SP_ED_A SP_EB_L SP_EB_A SP_EBS_L SP_EBS_A SP_MIN_L SP_MIN_A SP_LOWER_L SP_LOWER_A SP_MED_L SP_MED_A SP_UPPER_L SP_UPPER_A SP_MAX_L SP_MAX_A T_INTER_SP P_INTER_SP T_INTER_Q P_INTER_Q M_CHILD_RMSE M_CHILD_RMSE_SCORE M_CHILD_NRMSE M_CHILD_NRMSE_SCORE M_CHILD_MAE M_CHILD_MAE_SCORE M_CHILD_NMAE M_CHILD_NMAE_SCORE DIV_INDEX_RMSE DIV_INDEX_RMSE_SCORE DIV_INDEX_NRMSE DIV_INDEX_NRMSE_SCORE DIV_INDEX_MAE DIV_INDEX_MAE_SCORE DIV_INDEX_NMAE DIV_INDEX_NMAE_SCORE DIV_STEP_RMSE DIV_STEP_RMSE_SCORE DIV_STEP_NRMSE DIV_STEP_NRMSE_SCORE DIV_STEP_MAE DIV_STEP_MAE_SCORE DIV_STEP_NMAE DIV_STEP_NMAE_SCORE DS_T DIVS_T DS_TD_MEAN DS_TD_STD DS_TD_CD DS_TD_MIN DS_TD_LOWER DS_TD_MED DS_TD_UPPER DS_TD_MAX DS_TS_MEAN DS_TS_STD DS_TS_CD DS_TS_MIN DS_TS_LOWER DS_TS_MED DS_TS_UPPER DS_TS_MAX PR_T PR_TS_MEAN PR_TS_STD PR_TS_CD PR_TS_MIN PR_TS_LOWER PR_TS_MED PR_TS_UPPER PR_TS_MAX PP_LE_MEAN PP_AC_MEAN PP_LE_STD PP_AC_STD PP_LE_CD PP_AC_CD PP_LE_MIN PP_AC_MIN PP_LE_LOWER PP_AC_LOWER PP_LE_MED PP_AC_MED PP_LE_UPPER PP_AC_UPPER PP_LE_MAX PP_AC_MAX PP_ED_L PP_ED_A PP_EB_L PP_EB_A PP_EBS_L PP_EBS_A PP_EF_LE_MIN PP_EF_AC_MIN PP_EF_LE_LOWER PP_EF_AC_LOWER PP_EF_LE_MED PP_EF_AC_MED PP_EF_LE_UPPER PP_EF_AC_UPPER PP_EF_LE_MAX PP_EF_AC_MAX
0 0 3 1.2297184000002517 0.7812665000001289 0.0 2.0109849000003805 2.0109849000003805 2.0109849000003805 2.0109849000003805 0.10054924500001902 0.0 0.0 758.34765625 779.78125 20 20 1.0 20 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 0 2 3.096439099999884 1.1004589000004898 0.0 4.196898000000374 4.679742600000509 6.2078829000007545 3.164822200000401 0.07192777727273639 1.6499018000002934 0.03749776818182485 988.90234375 1002.98046875 44 44 1.0 44 20 20 0.9545454545454546 1.0 0.8943326448550181 1.0 1.0 1.0 1.0 1.0 0.9545454545454546 0.8536811609979719 0.9545454545454546 0.9545454545454546 0.9545454545454546 0.9545454545454546 0.9545454545454546 False 0 0 False 2.2 2.2 2.0416711421361615 2.0416711421361615 0.9280323373346188 0.9280323373346188 0.6286693934545464 0.6286693934545464 1.0 1.0 1.0 1.0 2.0 2.0 2.25 2.25 10.0 10.0 0 0.0 0 0.0 5.5090834083357265 0.004049817711690722 2.5041288219707845 0.08174678297467851 4.349999999999997 0.012906812580479907 1.9772727272727257 0.13844630372404002 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 2.309401076758503 0.09932071923669414 0.10497277621629558 0.9003490331599661 1.3333333333333333 0.26359713811572677 0.0606060606060606 0.9411939401248326 2 2 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 22.0 5.656854249492381 0.25712973861329 18.0 20.0 22.0 24.0 26.0 2 10.0 0.0 0.0 10.0 10.0 10.0 10.0 10.0 22.0 22.0 5.656854249492381 5.656854249492381 0.25712973861329 0.25712973861329 18.0 18.0 20.0 20.0 22.0 22.0 24.0 24.0 26.0 26.0 0.565685424949238 0.565685424949238 0.25712973861328997 0.25712973861328997 0.8503458725994829 0.8503458725994829 1.8 1.8 2.0 2.0 2.2 2.2 2.4 2.4 2.6 2.6
2 0 1 56.696513500000265 264.2841355000003 0.0 320.98064900000054 43.42081830000018 327.1885319000013 81.93001830000034 0.5057408537037058 94.7664183000004 0.5849778907407431 1344.91015625 1386.7109375 162 162 1.0 0 44 44 0.7962962962962963 0.509802748418309 0.22911033167531025 0.41887974808338513 1.0 0.39853723607456804 1.0 0.6361133281642923 0.4059540404071719 0.18243970855626557 0.33355239199232517 0.7962962962962963 0.3173537250223412 0.7962962962962963 0.5065346872419365 False 0 0 False 3.6818181818181817 3.6818181818181817 4.257812121171696 4.257812121171696 1.15644279834293 1.15644279834293 0.5614080809274782 0.5614080809274782 1.0 1.0 1.0 1.0 1.0 1.0 7.0 7.0 21.0 21.0 0 0.0 0 0.0 14.693528963064988 4.15605658289697e-07 3.9908350270053057 0.018484272806792677 11.090909090909088 1.525033495470538e-05 3.012345679012345 0.04917619180472742 2.1908902300206643 0.11181716130228034 0.19917183909278766 0.8194090747221787 1.6 0.20189651799465538 0.14545454545454548 0.8646291905075963 8.893818077743664 0.0001372346837314657 0.21960044636404108 0.8028395113329597 5.0 0.006737946999085467 0.12345679012345678 0.8838598318931835 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 4 11.0 2.309401076758503 0.20994555243259116 9.0 9.0 11.0 13.0 13.0 40.5 40.5 15.154757228892407 15.154757228892407 0.3741915365158619 0.3741915365158619 24.0 24.0 32.25 32.25 39.0 39.0 47.25 47.25 60.0 60.0 1.9119908376875847 1.9119908376875847 0.5193061534460107 0.5193061534460107 0.7175519497355924 0.7175519497355924 2.6666666666666665 2.6666666666666665 2.685897435897436 2.685897435897436 3.0 3.0 4.147435897435898 4.147435897435898 6.666666666666667 6.666666666666667
3 1 3 1.2367252000003646 0.8175168000007034 0.0 2.054242000001068 2.054242000001068 2.054242000001068 2.054242000001068 0.1027121000000534 0.0 0.0 841.4296875 880.62109375 20 20 1.0 20 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
4 1 2 3.1667717000004814 1.5180499999996755 0.0 4.684821700000157 5.500631700001577 6.739063700001225 3.4312500500005854 0.07798295568183149 1.3618683999995937 0.030951554545445313 1158.9765625 1175.83203125 44 44 1.0 44 20 20 0.9545454545454546 0.9458496589266685 0.8655712750035235 1.0 1.0 1.0 1.0 0.9819498863088895 0.90285649261182 0.826227126139727 0.9545454545454546 0.9545454545454546 0.9545454545454546 0.9545454545454546 0.9373158005675764 False 0 0 False 2.2 2.2 2.2384204957490614 2.2384204957490614 1.0174638617041187 1.0174638617041187 0.6077467536073384 0.6077467536073384 1.0 1.0 1.0 1.0 1.0 1.0 3.0 3.0 10.0 10.0 0 0.0 0 0.0 7.2931474686859294 0.0006801838227952851 3.3150670312208765 0.036331613143330437 6.649999999999999 0.0012940221054658502 3.022727272727272 0.04866830545737058 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 3.4641016151377544 0.03130111324493289 0.15745916432444337 0.8543116992915609 2.0 0.1353352832366127 0.09090909090909091 0.9131007162822623 2 2 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 22.0 8.48528137423857 0.385694607919935 16.0 19.0 22.0 25.0 28.0 2 10.0 0.0 0.0 10.0 10.0 10.0 10.0 10.0 22.0 22.0 8.48528137423857 8.48528137423857 0.385694607919935 0.385694607919935 16.0 16.0 19.0 19.0 22.0 22.0 25.0 25.0 28.0 28.0 0.8485281374238568 0.8485281374238568 0.3856946079199349 0.3856946079199349 0.7949116726942738 0.7949116726942738 1.6 1.6 1.9 1.9 2.2 2.2 2.5 2.5 2.8 2.8
5 1 1 57.87271590000046 119.02320419999955 0.0 176.8959201 70.79767290000132 183.63498380000124 46.043758150000315 0.2842207293209896 37.79245323333331 0.23328674835390933 1371.96875 1448.4453125 162 162 1.0 0 44 44 0.7962962962962963 0.43944436912428053 0.30746476197895034 0.5012087231813913 1.0 0.5303558399388542 1.0 0.6566000696877116 0.3499279235619271 0.24483305120546045 0.3991106499407375 0.7962962962962963 0.4223203910624209 0.7962962962962963 0.5228482036402148 False 0 0 False 3.6818181818181817 3.6818181818181817 4.306688833705009 4.306688833705009 1.1697179548334593 1.1697179548334593 0.5589628875926542 0.5589628875926542 1.0 1.0 1.0 1.0 1.0 1.0 7.0 7.0 22.0 22.0 0 0.0 0 0.0 6.802178187843479 0.001111351776594438 1.8475051868216859 0.15762993340480697 5.299586776859505 0.004993656975244936 1.4393939393939397 0.23707139478483633 3.286335345030997 0.03739062236031315 0.2987577586391815 0.7417390675549149 2.4 0.09071795328941251 0.21818181818181817 0.8039792503313262 15.003332963045244 3.048844565658378e-07 0.37045266575420355 0.6904217296178484 10.8 2.0399503411171922e-05 0.26666666666666666 0.7659283383646487 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 4 11.0 3.4641016151377544 0.31491832864888675 8.0 8.0 11.0 14.0 14.0 40.5 40.5 16.258331197676263 16.258331197676263 0.40144027648583364 0.40144027648583364 23.0 23.0 29.0 29.0 40.5 40.5 52.0 52.0 58.0 58.0 0.5464207904830388 0.5464207904830388 0.14841058506946733 0.14841058506946733 0.884798824732554 0.884798824732554 2.875 2.875 3.397321428571429 3.397321428571429 3.7232142857142856 3.7232142857142856 3.9419642857142856 3.9419642857142856 4.142857142857143 4.142857142857143
6 2 3 1.2372430999992048 0.7116829000001417 0.0 1.9489259999993465 1.9489259999993465 1.9489259999993465 1.9489259999993465 0.09744629999996732 0.0 0.0 1152.125 1166.9140625 20 20 1.0 20 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
7 2 2 3.0832505000000765 1.0942442000000483 0.0 4.177494700000125 4.43683129999954 6.126420699999471 3.125834949999785 0.07104170340908601 1.81483860000003 0.0412463318181825 1178.43359375 1191.92578125 44 44 1.0 44 20 20 0.9545454545454546 1.0 0.8993481526298771 1.0 1.0 1.0 1.0 1.0 0.9545454545454546 0.8584686911467009 0.9545454545454546 0.9545454545454546 0.9545454545454546 0.9545454545454546 0.9545454545454546 False 0 0 False 2.2 2.2 2.2384204957490614 2.2384204957490614 1.0174638617041187 1.0174638617041187 0.6077467536073384 0.6077467536073384 1.0 1.0 1.0 1.0 1.0 1.0 2.25 2.25 10.0 10.0 0 0.0 0 0.0 5.787918451395112 0.0030643541444362495 2.6308720233614142 0.0720156355329979 4.799999999999997 0.008229747049020053 2.1818181818181803 0.11283618731705707 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1.7320508075688772 0.17692120631776423 0.07872958216222169 0.9242898351121043 1.0 0.36787944117144233 0.045454545454545456 0.9555630362682842 2 2 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 22.0 4.242640687119285 0.1928473039599675 19.0 20.5 22.0 23.5 25.0 2 10.0 0.0 0.0 10.0 10.0 10.0 10.0 10.0 22.0 22.0 4.242640687119285 4.242640687119285 0.1928473039599675 0.1928473039599675 19.0 19.0 20.5 20.5 22.0 22.0 23.5 23.5 25.0 25.0 0.42426406871192857 0.42426406871192857 0.19284730395996752 0.19284730395996752 0.8819469815674621 0.8819469815674621 1.9 1.9 2.05 2.05 2.2 2.2 2.35 2.35 2.5 2.5
8 2 1 62.413821100002224 404.5685375999999 0.0 466.9823587000021 27.996174700000665 473.1087794000016 118.43554760000052 0.6885787651162821 148.5820052333338 0.8638488676356616 1610.3359375 1675.5546875 172 172 1.0 0 44 44 0.75 0.5760287309528919 0.17940093903545562 0.36762254191431953 1.0 0.3364259857283608 1.0 0.6374849055604176 0.43202154821466887 0.13455070427659171 0.27571690643573965 0.75 0.25231948929627057 0.75 0.47811367917031317 False 0 0 False 3.909090909090909 3.909090909090909 4.408333449898819 4.408333449898819 1.1277132081136514 1.1277132081136514 0.5539491519278751 0.5539491519278751 1.0 1.0 1.0 1.0 1.0 1.0 7.0 7.0 20.0 20.0 0 0.0 0 0.0 11.306949519566121 1.228723647189028e-05 2.8924754584936587 0.05543880614609719 8.301652892561982 0.000248106394786607 2.1236786469344606 0.11959088569482754 1.4832396974191326 0.22690140446479523 0.13483997249264842 0.8738557414555215 1.0 0.36787944117144233 0.09090909090909091 0.9131007162822623 7.37563556583431 0.0006263284989258839 0.17152640850777465 0.8423780217797432 4.0 0.01831563888873418 0.09302325581395349 0.9111723099960218 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 4 11.0 1.8257418583505538 0.16597653257732306 9.0 9.75 11.0 12.25 13.0 43.0 43.0 14.966629547095765 14.966629547095765 0.3480611522580411 0.3480611522580411 23.0 23.0 38.0 38.0 45.0 45.0 50.0 50.0 59.0 59.0 1.4128078609420016 1.4128078609420016 0.3614159644270237 0.3614159644270237 0.7672444454294938 0.7672444454294938 2.5555555555555554 2.5555555555555554 3.326388888888889 3.326388888888889 3.5993589743589745 3.5993589743589745 4.186538461538461 4.186538461538461 5.9 5.9
9 3 3 1.2422759000005499 0.8252121000002717 0.0 2.0674880000008216 2.0674880000008216 2.0674880000008216 2.0674880000008216 0.10337440000004108 0.0 0.0 1027.5859375 1049.05078125 20 20 1.0 20 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
