 RU AL GT ST OT TT LT CT WT WT_PA MET MET_PA RSS VMS LE AC CF PSG SIZE SGLITS_T QL_SCORE LT_SCORE CT_SCORE AW_SCORE AW_PA_SCORE AME_SCORE AME_PA_SCORE TI_SCORE LT_GRADE CT_GRADE AW_GRADE AW_PA_GRADE AME_GRADE AME_PA_GRADE GRADE HAS_TRAILING TOT_CHOICES PRE_CHOICES FGOALS_ORDER CP_EF_L CP_EF_A SP_ED_L SP_ED_A SP_EB_L SP_EB_A SP_EBS_L SP_EBS_A SP_MIN_L SP_MIN_A SP_LOWER_L SP_LOWER_A SP_MED_L SP_MED_A SP_UPPER_L SP_UPPER_A SP_MAX_L SP_MAX_A T_INTER_SP P_INTER_SP T_INTER_Q P_INTER_Q M_CHILD_RMSE M_CHILD_RMSE_SCORE M_CHILD_NRMSE M_CHILD_NRMSE_SCORE M_CHILD_MAE M_CHILD_MAE_SCORE M_CHILD_NMAE M_CHILD_NMAE_SCORE DIV_INDEX_RMSE DIV_INDEX_RMSE_SCORE DIV_INDEX_NRMSE DIV_INDEX_NRMSE_SCORE DIV_INDEX_MAE DIV_INDEX_MAE_SCORE DIV_INDEX_NMAE DIV_INDEX_NMAE_SCORE DIV_STEP_RMSE DIV_STEP_RMSE_SCORE DIV_STEP_NRMSE DIV_STEP_NRMSE_SCORE DIV_STEP_MAE DIV_STEP_MAE_SCORE DIV_STEP_NMAE DIV_STEP_NMAE_SCORE DS_T DIVS_T DS_TD_MEAN DS_TD_STD DS_TD_CD DS_TD_MIN DS_TD_LOWER DS_TD_MED DS_TD_UPPER DS_TD_MAX DS_TS_MEAN DS_TS_STD DS_TS_CD DS_TS_MIN DS_TS_LOWER DS_TS_MED DS_TS_UPPER DS_TS_MAX PR_T PR_TS_MEAN PR_TS_STD PR_TS_CD PR_TS_MIN PR_TS_LOWER PR_TS_MED PR_TS_UPPER PR_TS_MAX PP_LE_MEAN PP_AC_MEAN PP_LE_STD PP_AC_STD PP_LE_CD PP_AC_CD PP_LE_MIN PP_AC_MIN PP_LE_LOWER PP_AC_LOWER PP_LE_MED PP_AC_MED PP_LE_UPPER PP_AC_UPPER PP_LE_MAX PP_AC_MAX PP_ED_L PP_ED_A PP_EB_L PP_EB_A PP_EBS_L PP_EBS_A PP_EF_LE_MIN PP_EF_AC_MIN PP_EF_LE_LOWER PP_EF_AC_LOWER PP_EF_LE_MED PP_EF_AC_MED PP_EF_LE_UPPER PP_EF_AC_UPPER PP_EF_LE_MAX PP_EF_AC_MAX
0 0 3 1.2458172000000616 1.0572817000000043 0.0 2.303098900000066 2.303098900000066 2.303098900000066 2.303098900000066 0.1151549450000033 0.0 0.0 598.91015625 599.8828125 20 20 1.0 20 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 3 3.0 0.0 0.0 3.0 3.0 3.0 3.0 3.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 0 2 2.8586331000001337 0.9874044000000595 0.0 3.846037500000193 4.387923800000124 6.149136400000259 1.630000675000062 0.038809539880953856 0.710692966666708 0.016921261111112095 642.671875 644.14453125 42 42 1.0 42 20 20 1.0 1.0 0.8979305175321526 1.0 1.0 1.0 1.0 1.0 1.0 0.8979305175321526 1.0 1.0 1.0 1.0 1.0 False 0 0 False 2.1 2.1 2.04939015319192 2.04939015319192 0.9759000729485332 0.9759000729485332 0.6278233436625343 0.6278233436625343 1.0 1.0 1.0 1.0 1.5 1.5 2.0 2.0 10.0 10.0 0 0.0 0 0.0 7.296231904209185 0.0006780890718727333 3.4743961448615166 0.03098053593174176 6.549999999999999 0.0014301155983078757 3.1190476190476186 0.04419924289809255 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 6.488451279003334 0.001520902638889442 0.6179477408574604 0.5390495726087438 4.8 0.00822974704902003 0.45714285714285713 0.6330898921891813 4 12 3.0 0.0 0.0 3.0 3.0 3.0 3.0 3.0 10.5 6.855654600401044 0.6529194857524804 5.0 5.75 8.5 13.25 20.0 4 5.0 0.0 0.0 5.0 5.0 5.0 5.0 5.0 10.5 10.5 6.855654600401044 6.855654600401044 0.6529194857524804 0.6529194857524804 5.0 5.0 5.75 5.75 8.5 8.5 13.25 13.25 20.0 20.0 1.3711309200802089 1.3711309200802089 0.6529194857524804 0.6529194857524804 0.7118010075792406 0.7118010075792406 1.0 1.0 1.15 1.15 1.7000000000000002 1.7000000000000002 2.6500000000000004 2.6500000000000004 4.0 4.0
2 0 1 43.035943199999934 13.808805799999845 0.0 56.84474899999978 10.76813700000011 62.99388540000004 4.101427012499997 0.02680671249999998 3.6569796799999894 0.02390182797385614 737.11328125 763.203125 153 153 1.0 0 42 42 0.8431372549019608 0.7448849090923881 0.4560188133462826 1.0 1.0 1.0 1.0 0.9149616363641294 0.6280402174700528 0.3844864504684343 0.8431372549019608 0.8431372549019608 0.8431372549019608 0.8431372549019608 0.7714382424246581 False 0 0 False 3.642857142857143 3.642857142857143 3.798725258405795 3.798725258405795 1.042787325836885 1.042787325836885 0.5803935415248314 0.5803935415248314 1.0 1.0 1.0 1.0 1.0 1.0 7.0 7.0 15.0 15.0 0 0.0 0 0.0 5.880253476881839 0.0027940769513555503 1.6141872289479557 0.19905238873134562 4.692176870748299 0.009166709678870613 1.288048552754435 0.27580848397801905 6.41058407910653 0.0016440639581733031 2.4421272682310593 0.08697563402510537 5.352941176470588 0.004734206366278996 2.0392156862745097 0.13013073418498555 25.41649389205179 9.157078839830798e-12 2.6579340017831936 0.07009288403060525 20.433823529411764 1.3356823802747105e-09 2.136870434448289 0.11802362833339997 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 16 2.625 1.5864005379054391 0.604343062059215 1.0 1.0 2.0 3.5 5.0 9.5625 9.5625 8.421945539284058 8.421945539284058 0.8807263309055224 0.8807263309055224 1.0 1.0 1.75 1.75 8.0 8.0 17.0 17.0 25.0 25.0 2.2794045681241375 2.2794045681241375 0.6257189010536848 0.6257189010536848 0.6822453579100138 0.6822453579100138 1.0 1.0 1.0 1.0 2.3 2.3 5.166666666666667 5.166666666666667 8.0 8.0
3 1 3 1.2495069999999942 0.9028114000000471 0.0 2.1523184000000413 2.1523184000000413 2.1523184000000413 2.1523184000000413 0.10761592000000206 0.0 0.0 638.55078125 639.78125 20 20 1.0 20 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 3 3.0 0.0 0.0 3.0 3.0 3.0 3.0 3.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
4 1 2 2.8882906000000617 0.9336515999999335 0.0 3.821942199999995 4.2835200000001805 5.9742606000000364 1.5872220000000254 0.03779100000000061 0.6884559999999738 0.0163918095238089 672.734375 676.64453125 42 42 1.0 42 20 20 1.0 1.0 0.9092535331533089 1.0 1.0 1.0 1.0 1.0 1.0 0.9092535331533089 1.0 1.0 1.0 1.0 1.0 False 0 0 False 2.1 2.1 2.0235456115702615 2.0235456115702615 0.9635931483667911 0.9635931483667911 0.6306645303152281 0.6306645303152281 1.0 1.0 1.0 1.0 1.5 1.5 2.25 2.25 10.0 10.0 0 0.0 0 0.0 7.7022723919632945 0.0004517993502971924 3.6677487580777592 0.025533888250852323 7.049999999999999 0.0008674089573070033 3.3571428571428563 0.03483464445341248 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 6.640783086353597 0.0013060041292837646 0.6324555320336759 0.5312856091329679 5.0 0.006737946999085467 0.47619047619047616 0.6211451576154515 4 12 3.0 0.0 0.0 3.0 3.0 3.0 3.0 3.0 10.5 6.855654600401044 0.6529194857524804 5.0 5.75 8.5 13.25 20.0 4 5.0 0.0 0.0 5.0 5.0 5.0 5.0 5.0 10.5 10.5 6.855654600401044 6.855654600401044 0.6529194857524804 0.6529194857524804 5.0 5.0 5.75 5.75 8.5 8.5 13.25 13.25 20.0 20.0 1.3711309200802089 1.3711309200802089 0.6529194857524804 0.6529194857524804 0.7118010075792406 0.7118010075792406 1.0 1.0 1.15 1.15 1.7000000000000002 1.7000000000000002 2.6500000000000004 2.6500000000000004 4.0 4.0
5 1 1 49.54701609999998 32.29779470000014 0.0 81.84481080000012 10.567004000000338 87.81907140000015 5.665962337500009 0.033329190220588285 5.3392262266666535 0.031407213098039136 818.48046875 837.80078125 170 170 1.0 0 42 42 0.7588235294117647 0.748909721217631 0.4091607255233317 0.9319057993714579 1.0 0.9610312360895039 1.0 0.9033136524357116 0.5682903178651435 0.31048078583829286 0.7071520477583415 0.7588235294117647 0.7292531144443882 0.7588235294117647 0.6854556539070988 True 0 0 False 4.0476190476190474 4.0476190476190474 4.528974983576118 4.528974983576118 1.125544078758562 1.125544078758562 0.5424950256713384 0.5424950256713384 1.0 1.0 1.0 1.0 1.5 1.5 7.0 7.0 23.0 23.0 0 0.0 0 0.0 6.070479228611508 0.0023100658956231603 1.4997654564804903 0.2231825000192486 4.534013605442177 0.010737493409642205 1.1201680672268908 0.3262249622906548 6.55351275361273 0.0014251007676622121 2.496576287090564 0.08236651573525187 5.588235294117647 0.003741624909541529 2.1288515406162465 0.11897385205844133 25.92565728930229 5.503387581951404e-12 2.4400618625225685 0.08715545963861825 21.36764705882353 5.249872922733316e-10 2.0110726643598618 0.1338450268495842 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 16 2.625 1.5864005379054391 0.604343062059215 1.0 1.0 2.0 3.5 5.0 10.625 10.625 9.851395840184273 9.851395840184273 0.9271901967232257 0.9271901967232257 1.0 1.0 1.75 1.75 8.0 8.0 17.25 17.25 26.0 26.0 3.208223663349249 3.208223663349249 0.7926199638862851 0.7926199638862851 0.6155249733871595 0.6155249733871595 1.0 1.0 1.0 1.0 2.3 2.3 5.166666666666667 5.166666666666667 13.0 13.0
6 2 3 1.254286699999966 0.9762921000001938 0.0 2.23057880000016 2.23057880000016 2.23057880000016 2.23057880000016 0.11152894000000799 0.0 0.0 729.12890625 735.75 20 20 1.0 20 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 3 3.0 0.0 0.0 3.0 3.0 3.0 3.0 3.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
7 2 2 3.0130324000000996 1.1355855999998994 0.0 4.148617999999999 4.501739300000224 6.379196800000159 1.688370000000063 0.03837204545454689 0.7505802333333426 0.017058641666666877 756.703125 762.8203125 44 44 1.0 44 20 20 0.9545454545454546 1.0 0.8843628708608308 1.0 1.0 1.0 1.0 1.0 0.9545454545454546 0.8441645585489749 0.9545454545454546 0.9545454545454546 0.9545454545454546 0.9545454545454546 0.9545454545454546 False 0 0 False 2.2 2.2 2.1667341419992585 2.1667341419992585 0.9848791554542083 0.9848791554542083 0.6152190140998044 0.6152190140998044 1.0 1.0 1.0 1.0 1.0 1.0 2.25 2.25 10.0 10.0 0 0.0 0 0.0 5.665686189686116 0.0034627708396642305 2.5753119044027795 0.07613007378989368 4.599999999999997 0.010051835744633612 2.0909090909090895 0.12357474406161408 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 4.266145801540309 0.01403577570259416 0.3878314365036644 0.6785267084592697 2.6 0.07427357821433388 0.23636363636363636 0.7894935331710389 4 12 3.0 0.0 0.0 3.0 3.0 3.0 3.0 3.0 11.0 6.377042156569663 0.5797311051426967 5.0 8.0 9.5 12.5 20.0 4 5.0 0.0 0.0 5.0 5.0 5.0 5.0 5.0 11.0 11.0 6.377042156569663 6.377042156569663 0.5797311051426967 0.5797311051426967 5.0 5.0 8.0 8.0 9.5 9.5 12.5 12.5 20.0 20.0 1.2754084313139327 1.2754084313139327 0.5797311051426967 0.5797311051426967 0.7255563944097716 0.7255563944097716 1.0 1.0 1.6 1.6 1.9 1.9 2.5 2.5 4.0 4.0
8 2 1 45.524695700000336 16.402967800000283 0.0 61.92766350000062 10.987723800000367 68.30686030000078 4.456527187500058 0.02768029309006247 4.021114080000037 0.024975863850931906 848.7578125 876.53125 161 161 1.0 0 44 44 0.8012422360248447 0.7406251767856259 0.44451430613125587 1.0 1.0 1.0 1.0 0.9135417255952086 0.5934201727040108 0.3561636365896398 0.8012422360248447 0.8012422360248447 0.8012422360248447 0.8012422360248447 0.7319682149179001 False 0 0 False 3.659090909090909 3.659090909090909 3.7163571924992644 3.7163571924992644 1.015650412856942 1.015650412856942 0.5901271155999533 0.5901271155999533 1.0 1.0 1.0 1.0 1.0 1.0 7.0 7.0 14.0 14.0 0 0.0 0 0.0 9.8884141029325 5.0759381350310366e-05 2.7024237299939755 0.06704282196166468 7.614669421487605 0.0004931636846470254 2.08102766798419 0.1248018913661468 3.963064767694464 0.01900477971140369 1.4411144609798052 0.2366638590202898 2.8529411764705883 0.057674440465917784 1.0374331550802138 0.35436311071262677 17.61678469361468 2.2342286609104596e-08 1.7507363670672973 0.17364602914305552 14.411764705882353 5.508712584156696e-07 1.432225063938619 0.23877703654996169 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 16 2.75 1.4832396974191326 0.5393598899705937 1.0 2.0 2.0 3.5 5.0 10.0625 10.0625 8.932851355157172 8.932851355157172 0.8877367806367377 0.8877367806367377 1.0 1.0 2.0 2.0 8.5 8.5 17.0 17.0 25.0 25.0 2.102872814526374 2.102872814526374 0.5746981604916799 0.5746981604916799 0.7007738759784752 0.7007738759784752 1.0 1.0 1.0 1.0 3.0 3.0 4.575 4.575 8.0 8.0
9 3 3 1.2467889000000696 0.9693145000000527 0.0 2.2161034000001223 2.2161034000001223 2.2161034000001223 2.2161034000001223 0.11080517000000611 0.0 0.0 763.35546875 768.64453125 20 20 1.0 20 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 3 3.0 0.0 0.0 3.0 3.0 3.0 3.0 3.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
