 RU AL GT ST OT TT LT CT WT WT_PA MET MET_PA RSS VMS LE AC CF PSG SIZE SGLITS_T QL_SCORE LT_SCORE CT_SCORE AW_SCORE AW_PA_SCORE AME_SCORE AME_PA_SCORE TI_SCORE LT_GRADE CT_GRADE AW_GRADE AW_PA_GRADE AME_GRADE AME_PA_GRADE GRADE HAS_TRAILING TOT_CHOICES PRE_CHOICES FGOALS_ORDER CP_EF_L CP_EF_A SP_ED_L SP_ED_A SP_EB_L SP_EB_A SP_EBS_L SP_EBS_A SP_MIN_L SP_MIN_A SP_LOWER_L SP_LOWER_A SP_MED_L SP_MED_A SP_UPPER_L SP_UPPER_A SP_MAX_L SP_MAX_A T_INTER_SP P_INTER_SP T_INTER_Q P_INTER_Q M_CHILD_RMSE M_CHILD_RMSE_SCORE M_CHILD_NRMSE M_CHILD_NRMSE_SCORE M_CHILD_MAE M_CHILD_MAE_SCORE M_CHILD_NMAE M_CHILD_NMAE_SCORE DIV_INDEX_RMSE DIV_INDEX_RMSE_SCORE DIV_INDEX_NRMSE DIV_INDEX_NRMSE_SCORE DIV_INDEX_MAE DIV_INDEX_MAE_SCORE DIV_INDEX_NMAE DIV_INDEX_NMAE_SCORE DIV_STEP_RMSE DIV_STEP_RMSE_SCORE DIV_STEP_NRMSE DIV_STEP_NRMSE_SCORE DIV_STEP_MAE DIV_STEP_MAE_SCORE DIV_STEP_NMAE DIV_STEP_NMAE_SCORE DS_T DIVS_T DS_TD_MEAN DS_TD_STD DS_TD_CD DS_TD_MIN DS_TD_LOWER DS_TD_MED DS_TD_UPPER DS_TD_MAX DS_TS_MEAN DS_TS_STD DS_TS_CD DS_TS_MIN DS_TS_LOWER DS_TS_MED DS_TS_UPPER DS_TS_MAX PR_T PR_TS_MEAN PR_TS_STD PR_TS_CD PR_TS_MIN PR_TS_LOWER PR_TS_MED PR_TS_UPPER PR_TS_MAX PP_LE_MEAN PP_AC_MEAN PP_LE_STD PP_AC_STD PP_LE_CD PP_AC_CD PP_LE_MIN PP_AC_MIN PP_LE_LOWER PP_AC_LOWER PP_LE_MED PP_AC_MED PP_LE_UPPER PP_AC_UPPER PP_LE_MAX PP_AC_MAX PP_ED_L PP_ED_A PP_EB_L PP_EB_A PP_EBS_L PP_EBS_A PP_EF_LE_MIN PP_EF_AC_MIN PP_EF_LE_LOWER PP_EF_AC_LOWER PP_EF_LE_MED PP_EF_AC_MED PP_EF_LE_UPPER PP_EF_AC_UPPER PP_EF_LE_MAX PP_EF_AC_MAX
0 0 3 0.9895431000000023 0.384988799999995 0.0 1.3745318999999974 1.3745318999999974 1.3745318999999974 1.3745318999999974 0.07636288333333319 0.0 0.0 225.5625 216.84765625 18 18 1.0 18 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 18.0 0.0 0.0 18.0 18.0 18.0 18.0 18.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 0 2 1.7461939999999743 0.4726726000000063 0.0 2.2188665999999806 2.673966600000007 3.593398499999978 2.446416599999994 0.1213165880090496 2.2188665999999806 0.13052156470588122 341.83203125 344.0234375 26 26 1.0 26 18 18 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.4444444444444444 1.4444444444444444 0.8555852638929972 0.8555852638929972 0.5923282596182288 0.5923282596182288 0.786117425638855 0.786117425638855 1.0 1.0 1.0 1.0 1.0 1.0 1.75 1.75 4.0 4.0 0 0.0 0 0.0 3.1965773877515895 0.04090195621941611 2.2130151145972543 0.10937038662776191 2.6666666666666665 0.06948345122280154 1.846153846153846 0.1578430891348517 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 2.309401076758503 0.09932071923669414 0.177646236673731 0.837238555401614 1.3333333333333333 0.26359713811572677 0.10256410256410256 0.9025202940335932 2 2 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 13.0 5.656854249492381 0.43514263457633695 9.0 11.0 13.0 15.0 17.0 2 9.0 0.0 0.0 9.0 9.0 9.0 9.0 9.0 21.5 21.5 6.363961030678928 6.363961030678928 0.2959981874734385 0.2959981874734385 17.0 17.0 19.25 19.25 21.5 21.5 23.75 23.75 26.0 26.0 0.7071067811865476 0.7071067811865476 0.4895354638983791 0.4895354638983791 0.8149718992795449 0.8149718992795449 1.8888888888888888 1.8888888888888888 2.138888888888889 2.138888888888889 2.388888888888889 2.388888888888889 2.638888888888889 2.638888888888889 2.888888888888889 2.888888888888889
2 0 1 3.8723623999999894 0.9814397999999862 0.0 4.853802199999976 4.066533300000003 8.447200699999954 4.56047874999999 0.19000641609464003 4.7251272333333185 0.23791804670583977 332.10546875 325.55859375 39 39 1.0 0 26 26 1.0 1.0 0.8009116814726007 1.0 1.0 1.0 1.0 1.0 1.0 0.8009116814726007 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.5 1.5 0.7071067811865476 0.7071067811865476 0.47140452079103173 0.47140452079103173 0.83585507964588 0.83585507964588 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 3.0 3.0 0 0.0 0 0.0 2.1235855020731766 0.1196020254900857 1.4157236680487844 0.24274987953823557 1.75 0.17377394345044514 1.1666666666666667 0.3114032239145977 2.0248456731316584 0.13201421495620494 0.31151471894333205 0.7323368312017211 1.4 0.2465969639416065 0.21538461538461537 0.8062312915788894 3.856812155135378 0.02113526820121661 0.39557047744978235 0.6732958295800036 2.7 0.06720551273974976 0.27692307692307694 0.7581128112377238 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 4 6.5 2.3804761428476167 0.36622709889963334 4.0 4.75 6.5 8.25 9.0 27.75 27.75 10.996211468804457 10.996211468804457 0.3962598727497102 0.3962598727497102 13.0 13.0 23.5 23.5 29.5 29.5 33.75 33.75 39.0 39.0 3.275437311769733 3.275437311769733 2.1836248745131552 2.1836248745131552 0.5540689554920222 0.5540689554920222 1.625 1.625 2.65625 2.65625 5.4 5.4 7.85 7.85 8.0 8.0
3 1 3 0.9888449000000037 0.3275474000000145 0.0 1.3163923000000182 1.3163923000000182 1.3163923000000182 1.3163923000000182 0.07313290555555657 0.0 0.0 235.50390625 226.890625 18 18 1.0 18 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 18.0 0.0 0.0 18.0 18.0 18.0 18.0 18.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
4 1 2 1.7392951999999937 0.4303416999999854 0.0 2.169636899999979 2.634920600000001 3.4860291999999973 2.40227874999999 0.11922145124434351 2.169636899999979 0.12762569999999876 343.8125 346.12890625 26 26 1.0 26 18 18 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.4444444444444444 1.4444444444444444 0.9835244081556433 0.9835244081556433 0.6809015133385223 0.6809015133385223 0.763049419291983 0.763049419291983 1.0 1.0 1.0 1.0 1.0 1.0 1.75 1.75 5.0 5.0 0 0.0 0 0.0 3.3308632823580915 0.03576221884519274 2.3059822724017556 0.09966085844774229 2.888888888888889 0.05563799827784281 2.0 0.1353352832366127 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 2.309401076758503 0.09932071923669414 0.177646236673731 0.837238555401614 1.3333333333333333 0.26359713811572677 0.10256410256410256 0.9025202940335932 2 2 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 13.0 5.656854249492381 0.43514263457633695 9.0 11.0 13.0 15.0 17.0 2 9.0 0.0 0.0 9.0 9.0 9.0 9.0 9.0 21.5 21.5 6.363961030678928 6.363961030678928 0.2959981874734385 0.2959981874734385 17.0 17.0 19.25 19.25 21.5 21.5 23.75 23.75 26.0 26.0 0.7071067811865476 0.7071067811865476 0.4895354638983791 0.4895354638983791 0.8149718992795449 0.8149718992795449 1.8888888888888888 1.8888888888888888 2.138888888888889 2.138888888888889 2.388888888888889 2.388888888888889 2.638888888888889 2.638888888888889 2.888888888888889 2.888888888888889
5 1 1 3.8604547000000196 1.105354300000016 0.0 4.965809000000036 4.033773200000013 8.451838200000033 4.593473675000027 0.1905136192975437 4.780040500000031 0.2398023082324325 330.76171875 328.33203125 39 39 1.0 0 26 26 1.0 1.0 0.800772632490601 1.0 1.0 1.0 1.0 1.0 1.0 0.800772632490601 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.5 1.5 0.812403840463596 0.812403840463596 0.5416025603090641 0.5416025603090641 0.8174842132937262 0.8174842132937262 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 4.0 4.0 0 0.0 0 0.0 2.203581001635572 0.11040708166991328 1.4690540010903812 0.23014309735921432 1.8269230769230769 0.160907908117303 1.2179487179487178 0.2958363888199 2.0248456731316584 0.13201421495620494 0.31151471894333205 0.7323368312017211 1.4 0.2465969639416065 0.21538461538461537 0.8062312915788894 3.856812155135378 0.02113526820121661 0.39557047744978235 0.6732958295800036 2.7 0.06720551273974976 0.27692307692307694 0.7581128112377238 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 4 6.5 2.3804761428476167 0.36622709889963334 4.0 4.75 6.5 8.25 9.0 27.75 27.75 10.996211468804457 10.996211468804457 0.3962598727497102 0.3962598727497102 13.0 13.0 23.5 23.5 29.5 29.5 33.75 33.75 39.0 39.0 3.275437311769733 3.275437311769733 2.1836248745131552 2.1836248745131552 0.5540689554920222 0.5540689554920222 1.625 1.625 2.65625 2.65625 5.4 5.4 7.85 7.85 8.0 8.0
6 2 3 0.9948317000000344 0.3602140999999932 0.0 1.3550458000000276 1.3550458000000276 1.3550458000000276 1.3550458000000276 0.07528032222222375 0.0 0.0 251.046875 244.9453125 18 18 1.0 18 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 18.0 0.0 0.0 18.0 18.0 18.0 18.0 18.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
7 2 2 1.742816000000012 0.4374294000000134 0.0 2.1802454000000253 2.6774476000000362 3.535291200000053 2.4288465000000308 0.1206762549773771 2.1802454000000253 0.12824972941176618 359.7578125 362.6796875 26 26 1.0 26 18 18 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.4444444444444444 1.4444444444444444 0.9835244081556433 0.9835244081556433 0.6809015133385223 0.6809015133385223 0.763049419291983 0.763049419291983 1.0 1.0 1.0 1.0 1.0 1.0 1.75 1.75 5.0 5.0 0 0.0 0 0.0 3.1733198464284413 0.041864383621843 2.196913739835075 0.1111456539795696 2.7777777777777777 0.06217652402211632 1.9230769230769231 0.1461565570715425 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 2.309401076758503 0.09932071923669414 0.177646236673731 0.837238555401614 1.3333333333333333 0.26359713811572677 0.10256410256410256 0.9025202940335932 2 2 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 13.0 5.656854249492381 0.43514263457633695 9.0 11.0 13.0 15.0 17.0 2 9.0 0.0 0.0 9.0 9.0 9.0 9.0 9.0 21.5 21.5 6.363961030678928 6.363961030678928 0.2959981874734385 0.2959981874734385 17.0 17.0 19.25 19.25 21.5 21.5 23.75 23.75 26.0 26.0 0.7071067811865476 0.7071067811865476 0.4895354638983791 0.4895354638983791 0.8149718992795449 0.8149718992795449 1.8888888888888888 1.8888888888888888 2.138888888888889 2.138888888888889 2.388888888888889 2.388888888888889 2.638888888888889 2.638888888888889 2.888888888888889 2.888888888888889
8 2 1 3.8633928999999583 1.0782193999999734 0.0 4.941612299999932 4.15291060000002 8.476903499999985 4.63775632499997 0.19334965639912685 4.799371566666619 0.241097326985397 352.1875 348.19140625 39 39 1.0 0 26 26 1.0 1.0 0.8000235825993793 1.0 1.0 1.0 1.0 1.0 1.0 0.8000235825993793 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.5 1.5 0.7615773105863908 0.7615773105863908 0.5077182070575939 0.5077182070575939 0.8262146009817181 0.8262146009817181 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 4.0 4.0 0 0.0 0 0.0 1.9831016886918098 0.13764165297838019 1.3220677924612065 0.2665834923128609 1.6730769230769231 0.187668734095433 1.1153846153846154 0.3277891818894528 2.0248456731316584 0.13201421495620494 0.31151471894333205 0.7323368312017211 1.4 0.2465969639416065 0.21538461538461537 0.8062312915788894 3.856812155135378 0.02113526820121661 0.39557047744978235 0.6732958295800036 2.7 0.06720551273974976 0.27692307692307694 0.7581128112377238 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 4 6.5 2.3804761428476167 0.36622709889963334 4.0 4.75 6.5 8.25 9.0 27.75 27.75 10.996211468804457 10.996211468804457 0.3962598727497102 0.3962598727497102 13.0 13.0 23.5 23.5 29.5 29.5 33.75 33.75 39.0 39.0 3.275437311769733 3.275437311769733 2.1836248745131552 2.1836248745131552 0.5540689554920222 0.5540689554920222 1.625 1.625 2.65625 2.65625 5.4 5.4 7.85 7.85 8.0 8.0
9 3 3 0.9951146999999878 0.3230884999999546 0.0 1.3182031999999424 1.3182031999999424 1.3182031999999424 1.3182031999999424 0.07323351111110792 0.0 0.0 273.7890625 264.8671875 18 18 1.0 18 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 18.0 0.0 0.0 18.0 18.0 18.0 18.0 18.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
