 RU AL GT ST OT TT LT CT WT WT_PA MET MET_PA RSS VMS LE AC CF PSG SIZE SGLITS_T QL_SCORE LT_SCORE CT_SCORE AW_SCORE AW_PA_SCORE AME_SCORE AME_PA_SCORE TI_SCORE LT_GRADE CT_GRADE AW_GRADE AW_PA_GRADE AME_GRADE AME_PA_GRADE GRADE HAS_TRAILING TOT_CHOICES PRE_CHOICES FGOALS_ORDER CP_EF_L CP_EF_A SP_ED_L SP_ED_A SP_EB_L SP_EB_A SP_EBS_L SP_EBS_A SP_MIN_L SP_MIN_A SP_LOWER_L SP_LOWER_A SP_MED_L SP_MED_A SP_UPPER_L SP_UPPER_A SP_MAX_L SP_MAX_A T_INTER_SP P_INTER_SP T_INTER_Q P_INTER_Q M_CHILD_RMSE M_CHILD_RMSE_SCORE M_CHILD_NRMSE M_CHILD_NRMSE_SCORE M_CHILD_MAE M_CHILD_MAE_SCORE M_CHILD_NMAE M_CHILD_NMAE_SCORE DIV_INDEX_RMSE DIV_INDEX_RMSE_SCORE DIV_INDEX_NRMSE DIV_INDEX_NRMSE_SCORE DIV_INDEX_MAE DIV_INDEX_MAE_SCORE DIV_INDEX_NMAE DIV_INDEX_NMAE_SCORE DIV_STEP_RMSE DIV_STEP_RMSE_SCORE DIV_STEP_NRMSE DIV_STEP_NRMSE_SCORE DIV_STEP_MAE DIV_STEP_MAE_SCORE DIV_STEP_NMAE DIV_STEP_NMAE_SCORE DS_T DIVS_T DS_TD_MEAN DS_TD_STD DS_TD_CD DS_TD_MIN DS_TD_LOWER DS_TD_MED DS_TD_UPPER DS_TD_MAX DS_TS_MEAN DS_TS_STD DS_TS_CD DS_TS_MIN DS_TS_LOWER DS_TS_MED DS_TS_UPPER DS_TS_MAX PR_T PR_TS_MEAN PR_TS_STD PR_TS_CD PR_TS_MIN PR_TS_LOWER PR_TS_MED PR_TS_UPPER PR_TS_MAX PP_LE_MEAN PP_AC_MEAN PP_LE_STD PP_AC_STD PP_LE_CD PP_AC_CD PP_LE_MIN PP_AC_MIN PP_LE_LOWER PP_AC_LOWER PP_LE_MED PP_AC_MED PP_LE_UPPER PP_AC_UPPER PP_LE_MAX PP_AC_MAX PP_ED_L PP_ED_A PP_EB_L PP_EB_A PP_EBS_L PP_EBS_A PP_EF_LE_MIN PP_EF_AC_MIN PP_EF_LE_LOWER PP_EF_AC_LOWER PP_EF_LE_MED PP_EF_AC_MED PP_EF_LE_UPPER PP_EF_AC_UPPER PP_EF_LE_MAX PP_EF_AC_MAX
0 0 3 3.9021878000000356 1.4433034999999848 0.0 5.34549130000002 5.34549130000002 5.34549130000002 5.34549130000002 0.18432728620689726 0.0 0.0 486.1796875 494.32421875 18 29 0.6206896551724138 29 1 0 1.0 0.9604085698688812 0.9604085698688812 0.9604085698688812 1.0 1.0 1.0 0.9604085698688812 0.9604085698688812 0.9604085698688812 0.9604085698688812 1.0 1.0 1.0 0.9604085698688812 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 0 2 10.208933900000062 3.2581883000000573 0.0 13.46712220000012 18.81261350000014 18.81261350000014 18.81261350000014 0.33004585087719546 0.0 0.0 593.58203125 600.0 34 57 0.5964912280701754 57 18 29 0.9649122807017544 0.6403890337092237 0.6403890337092237 0.6403890337092237 1.0 1.0 1.0 0.6403890337092237 0.6179192430527597 0.6179192430527597 0.6179192430527597 0.9649122807017544 0.9649122807017544 0.9649122807017544 0.6179192430527597 False 0 0 False 1.8888888888888888 1.9655172413793103 1.4507153971054048 2.577079717292627 0.7680257984675672 1.0914690567357008 0.6898738100720079 0.5590370883529803 1.0 1.0 1.0 1.0 1.5 2.0 2.0 2.0 7.0 12.0 0 0.0 0 0.0 3.752639674515657 0.02345574852399515 1.9866915923906419 0.13714841856097879 3.222222222222223 0.0398663678237249 1.705882352941177 0.18161206951414086 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 18.0 0.0 0.0 18.0 18.0 18.0 18.0 18.0 34.0 57.0 0.0 0.0 0.0 0.0 34.0 57.0 34.0 57.0 34.0 57.0 34.0 57.0 34.0 57.0 0.0 0.0 0.0 0.0 0.0 0.0 1.8888888888888888 1.9655172413793103 1.8888888888888888 1.9655172413793103 1.8888888888888888 1.9655172413793103 1.8888888888888888 1.9655172413793103 1.8888888888888888 1.9655172413793103
2 0 1 49.16499440000024 44.03871639999983 0.0 93.20371080000007 112.0163243000002 112.0163243000002 112.0163243000002 1.2875439574712668 0.0 0.0 872.42578125 928.3046875 63 87 0.7241379310344828 0 34 57 0.9770114942528736 0.3753243725827786 0.3753243725827786 0.3753243725827786 0.9662817583317765 1.0 1.0 0.3753243725827786 0.3666962260866228 0.3666962260866228 0.3666962260866228 0.9440683845770231 0.9770114942528736 0.9770114942528736 0.3666962260866228 False 0 0 False 1.8529411764705883 1.5263157894736843 1.3513708627005947 0.8709001223865487 0.7293112592352415 0.5383746211116847 0.7575408135561708 0.8223608563128164 1.0 0.5 1.0 1.0 1.5 1.5 2.0 2.0 8.0 4.5 0 0.0 0 0.0 4.089240248890835 0.016751956042191873 2.2068915628934667 0.11004217661628062 3.338235294117647 0.03549954874046888 1.8015873015873016 0.1650367171612489 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 34.0 0.0 0.0 34.0 34.0 34.0 34.0 34.0 63.0 87.0 0.0 0.0 0.0 0.0 63.0 87.0 63.0 87.0 63.0 87.0 63.0 87.0 63.0 87.0 0.0 0.0 0.0 0.0 0.0 0.0 1.8529411764705883 1.5263157894736843 1.8529411764705883 1.5263157894736843 1.8529411764705883 1.5263157894736843 1.8529411764705883 1.5263157894736843 1.8529411764705883 1.5263157894736843
3 1 3 3.905721099999937 1.3608202000000915 0.0 5.2665413000000285 5.2665413000000285 5.2665413000000285 5.2665413000000285 0.18160487241379408 0.0 0.0 518.15625 526.67578125 18 29 0.6206896551724138 29 1 0 1.0 0.9684759552743725 0.9684759552743725 0.9684759552743725 1.0 1.0 1.0 0.9684759552743725 0.9684759552743725 0.9684759552743725 0.9684759552743725 1.0 1.0 1.0 0.9684759552743725 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
4 1 2 10.208390400000042 3.208277900000269 0.0 13.41666830000031 18.68320960000034 18.68320960000034 18.68320960000034 0.3277756070175498 0.0 0.0 625.671875 633.85546875 34 57 0.5964912280701754 57 18 29 0.9649122807017544 0.6415596554585377 0.6415596554585377 0.6415596554585377 1.0 1.0 1.0 0.6415596554585377 0.6190487903547294 0.6190487903547294 0.6190487903547294 0.9649122807017544 0.9649122807017544 0.9649122807017544 0.6190487903547294 False 0 0 False 1.8888888888888888 1.9655172413793103 1.4907119849998596 2.658228069708887 0.7892004626469845 1.0999564426381603 0.6842729296457719 0.5512760970348978 1.0 0.5 1.0 1.0 1.0 1.5 2.0 2.75 7.0 12.0 0 0.0 0 0.0 3.628873693012116 0.02654606659778605 1.9211684257122967 0.14643576282250897 3.000000000000001 0.049787068367863896 1.5882352941176476 0.20428579817889797 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 18.0 0.0 0.0 18.0 18.0 18.0 18.0 18.0 34.0 57.0 0.0 0.0 0.0 0.0 34.0 57.0 34.0 57.0 34.0 57.0 34.0 57.0 34.0 57.0 0.0 0.0 0.0 0.0 0.0 0.0 1.8888888888888888 1.9655172413793103 1.8888888888888888 1.9655172413793103 1.8888888888888888 1.9655172413793103 1.8888888888888888 1.9655172413793103 1.8888888888888888 1.9655172413793103
5 1 1 49.24665509999983 51.49772619999959 0.0 100.74438129999942 119.42759089999976 119.42759089999976 119.42759089999976 1.3727309298850547 0.0 0.0 856.73828125 913.08203125 63 87 0.7241379310344828 0 34 57 0.9770114942528736 0.3664709703044243 0.3664709703044243 0.3664709703044243 0.9577345924356918 1.0 1.0 0.3664709703044243 0.3580463502974261 0.3580463502974261 0.3580463502974261 0.9357177052532621 0.9770114942528736 0.9770114942528736 0.3580463502974261 False 0 0 False 1.8529411764705883 1.5263157894736843 1.6168122947438694 1.0058873044045293 0.8725653654173263 0.6275260247661284 0.7272097141217491 0.8026048375251018 1.0 0.5 1.0 1.0 1.0 1.5 2.0 2.0 10.0 5.5 0 0.0 0 0.0 4.139490382020154 0.015930968143945845 2.2340106823600827 0.10709803143102244 3.3970588235294117 0.033471571126355265 1.8333333333333333 0.1598797460796939 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 34.0 0.0 0.0 34.0 34.0 34.0 34.0 34.0 63.0 87.0 0.0 0.0 0.0 0.0 63.0 87.0 63.0 87.0 63.0 87.0 63.0 87.0 63.0 87.0 0.0 0.0 0.0 0.0 0.0 0.0 1.8529411764705883 1.5263157894736843 1.8529411764705883 1.5263157894736843 1.8529411764705883 1.5263157894736843 1.8529411764705883 1.5263157894736843 1.8529411764705883 1.5263157894736843
6 2 3 3.8938373999999385 1.4673722999999654 0.0 5.361209699999904 5.361209699999904 5.361209699999904 5.361209699999904 0.18486929999999668 0.0 0.0 540.21484375 547.5703125 18 29 0.6206896551724138 29 1 0 1.0 0.9588590402144308 0.9588590402144308 0.9588590402144308 1.0 1.0 1.0 0.9588590402144308 0.9588590402144308 0.9588590402144308 0.9588590402144308 1.0 1.0 1.0 0.9588590402144308 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
7 2 2 10.22192890000025 3.4131655999997292 0.0 13.63509449999998 18.996304199999884 18.996304199999884 18.996304199999884 0.33326849473684006 0.0 0.0 638.51171875 648.46875 34 57 0.5964912280701754 57 18 29 0.9649122807017544 0.6387447626403187 0.6387447626403187 0.6387447626403187 1.0 1.0 1.0 0.6387447626403187 0.6163326657055707 0.6163326657055707 0.6163326657055707 0.9649122807017544 0.9649122807017544 0.9649122807017544 0.6163326657055707 False 0 0 False 1.8888888888888888 1.9655172413793103 1.4907119849998596 2.61531437518432 0.7892004626469845 1.0947827617050643 0.6842729296457719 0.5553586446420518 1.0 1.0 1.0 1.0 1.0 1.5 2.0 2.75 7.0 12.0 0 0.0 0 0.0 3.628873693012116 0.02654606659778605 1.9211684257122967 0.14643576282250897 3.000000000000001 0.049787068367863896 1.5882352941176476 0.20428579817889797 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 18.0 0.0 0.0 18.0 18.0 18.0 18.0 18.0 34.0 57.0 0.0 0.0 0.0 0.0 34.0 57.0 34.0 57.0 34.0 57.0 34.0 57.0 34.0 57.0 0.0 0.0 0.0 0.0 0.0 0.0 1.8888888888888888 1.9655172413793103 1.8888888888888888 1.9655172413793103 1.8888888888888888 1.9655172413793103 1.8888888888888888 1.9655172413793103 1.8888888888888888 1.9655172413793103
8 2 1 49.23734889999969 48.079393399999844 0.0 97.31674229999953 116.31304649999942 116.31304649999942 116.31304649999942 1.3369315689655106 0.0 0.0 890.55078125 947.015625 63 87 0.7241379310344828 0 34 57 0.9770114942528736 0.3701202573788934 0.3701202573788934 0.3701202573788934 0.961260024096999 1.0 1.0 0.3701202573788934 0.3616117457150108 0.3616117457150108 0.3616117457150108 0.9391620925085622 0.9770114942528736 0.9770114942528736 0.3616117457150108 False 0 0 False 1.8529411764705883 1.5263157894736843 1.4382723841402199 0.905641852928298 0.7762104930280551 0.5755480934497595 0.7472493969296761 0.8171432336540569 1.0 0.5 1.0 1.0 2.0 1.5 2.0 2.0 9.0 5.0 0 0.0 0 0.0 3.952190492446095 0.019212570657390314 2.1329282022724954 0.11848982319895078 3.25 0.03877420783172201 1.753968253968254 0.17308573071433847 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 34.0 0.0 0.0 34.0 34.0 34.0 34.0 34.0 63.0 87.0 0.0 0.0 0.0 0.0 63.0 87.0 63.0 87.0 63.0 87.0 63.0 87.0 63.0 87.0 0.0 0.0 0.0 0.0 0.0 0.0 1.8529411764705883 1.5263157894736843 1.8529411764705883 1.5263157894736843 1.8529411764705883 1.5263157894736843 1.8529411764705883 1.5263157894736843 1.8529411764705883 1.5263157894736843
9 3 3 3.906599999999912 1.649982099999761 0.0 5.556582099999673 5.556582099999673 5.556582099999673 5.556582099999673 0.19160627931033355 0.0 0.0 553.6875 559.96875 18 29 0.6206896551724138 29 1 0 1.0 0.9409659155578414 0.9409659155578414 0.9409659155578414 1.0 1.0 1.0 0.9409659155578414 0.9409659155578414 0.9409659155578414 0.9409659155578414 1.0 1.0 1.0 0.9409659155578414 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
