 RU AL GT ST OT TT LT CT WT WT_PA MET MET_PA RSS VMS LE AC CF PSG SIZE SGLITS_T QL_SCORE LT_SCORE CT_SCORE AW_SCORE AW_PA_SCORE AME_SCORE AME_PA_SCORE TI_SCORE LT_GRADE CT_GRADE AW_GRADE AW_PA_GRADE AME_GRADE AME_PA_GRADE GRADE HAS_TRAILING TOT_CHOICES PRE_CHOICES FGOALS_ORDER CP_EF_L CP_EF_A SP_ED_L SP_ED_A SP_EB_L SP_EB_A SP_EBS_L SP_EBS_A SP_MIN_L SP_MIN_A SP_LOWER_L SP_LOWER_A SP_MED_L SP_MED_A SP_UPPER_L SP_UPPER_A SP_MAX_L SP_MAX_A T_INTER_SP P_INTER_SP T_INTER_Q P_INTER_Q M_CHILD_RMSE M_CHILD_RMSE_SCORE M_CHILD_NRMSE M_CHILD_NRMSE_SCORE M_CHILD_MAE M_CHILD_MAE_SCORE M_CHILD_NMAE M_CHILD_NMAE_SCORE DIV_INDEX_RMSE DIV_INDEX_RMSE_SCORE DIV_INDEX_NRMSE DIV_INDEX_NRMSE_SCORE DIV_INDEX_MAE DIV_INDEX_MAE_SCORE DIV_INDEX_NMAE DIV_INDEX_NMAE_SCORE DIV_STEP_RMSE DIV_STEP_RMSE_SCORE DIV_STEP_NRMSE DIV_STEP_NRMSE_SCORE DIV_STEP_MAE DIV_STEP_MAE_SCORE DIV_STEP_NMAE DIV_STEP_NMAE_SCORE DS_T DIVS_T DS_TD_MEAN DS_TD_STD DS_TD_CD DS_TD_MIN DS_TD_LOWER DS_TD_MED DS_TD_UPPER DS_TD_MAX DS_TS_MEAN DS_TS_STD DS_TS_CD DS_TS_MIN DS_TS_LOWER DS_TS_MED DS_TS_UPPER DS_TS_MAX PR_T PR_TS_MEAN PR_TS_STD PR_TS_CD PR_TS_MIN PR_TS_LOWER PR_TS_MED PR_TS_UPPER PR_TS_MAX PP_LE_MEAN PP_AC_MEAN PP_LE_STD PP_AC_STD PP_LE_CD PP_AC_CD PP_LE_MIN PP_AC_MIN PP_LE_LOWER PP_AC_LOWER PP_LE_MED PP_AC_MED PP_LE_UPPER PP_AC_UPPER PP_LE_MAX PP_AC_MAX PP_ED_L PP_ED_A PP_EB_L PP_EB_A PP_EBS_L PP_EBS_A PP_EF_LE_MIN PP_EF_AC_MIN PP_EF_LE_LOWER PP_EF_AC_LOWER PP_EF_LE_MED PP_EF_AC_MED PP_EF_LE_UPPER PP_EF_AC_UPPER PP_EF_LE_MAX PP_EF_AC_MAX
0 0 3 3.9179703000001496 1.5230684000000565 0.0 5.441038700000206 5.441038700000206 5.441038700000206 5.441038700000206 0.18762202413793813 0.0 0.0 514.421875 524.15625 18 29 0.6206896551724138 29 1 0 1.0 0.9512558030170498 0.9512558030170498 0.9512558030170498 1.0 1.0 1.0 0.9512558030170498 0.9512558030170498 0.9512558030170498 0.9512558030170498 1.0 1.0 1.0 0.9512558030170498 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 0 2 10.080787499999929 2.427385700000002 0.015376500000172655 12.523549700000103 17.96458840000031 17.96458840000031 17.96458840000031 0.3151682175438651 0.0 0.0 689.63671875 709.67578125 34 57 0.5964912280701754 57 18 29 0.9649122807017544 0.6482542896808441 0.6482542896808441 0.6482542896808441 1.0 1.0 1.0 0.6482542896808441 0.625508525130639 0.625508525130639 0.625508525130639 0.9649122807017544 0.9649122807017544 0.9649122807017544 0.625508525130639 False 0 0 False 1.8888888888888888 1.9655172413793103 1.4907119849998596 2.61531437518432 0.7892004626469845 1.0947827617050643 0.6842729296457719 0.5553586446420518 1.0 1.0 1.0 1.0 1.0 1.5 2.0 2.75 7.0 12.0 0 0.0 0 0.0 3.628873693012116 0.02654606659778605 1.9211684257122967 0.14643576282250897 3.000000000000001 0.049787068367863896 1.5882352941176476 0.20428579817889797 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 18.0 0.0 0.0 18.0 18.0 18.0 18.0 18.0 34.0 57.0 0.0 0.0 0.0 0.0 34.0 57.0 34.0 57.0 34.0 57.0 34.0 57.0 34.0 57.0 0.0 0.0 0.0 0.0 0.0 0.0 1.8888888888888888 1.9655172413793103 1.8888888888888888 1.9655172413793103 1.8888888888888888 1.9655172413793103 1.8888888888888888 1.9655172413793103 1.8888888888888888 1.9655172413793103
2 0 1 49.869815299999914 65.08567349999981 0.03219009999992295 114.98767889999965 132.95226729999996 132.95226729999996 132.95226729999996 1.5281869804597696 0.0 0.0 1281.37890625 1354.63671875 63 87 0.7241379310344828 0 34 57 0.9770114942528736 0.35168899709490553 0.35168899709490553 0.35168899709490553 0.9434220959813769 1.0 1.0 0.35168899709490553 0.34360419256398816 0.34360419256398816 0.34360419256398816 0.921734231705943 0.9770114942528736 0.9770114942528736 0.34360419256398816 False 0 0 False 1.8529411764705883 1.5263157894736843 1.5788824766976217 1.0058873044045293 0.8520953048844307 0.6275260247661284 0.731350169695456 0.8026048375251018 1.0 0.5 1.0 1.0 2.0 1.5 2.0 2.0 10.0 5.5 12 0.35294117647058826 13 0.20634920634920634 4.048420171172075 0.017449920762550277 2.1848616796801674 0.11249329268642302 3.338235294117647 0.03549954874046888 1.8015873015873016 0.1650367171612489 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 34.0 0.0 0.0 34.0 34.0 34.0 34.0 34.0 63.0 87.0 0.0 0.0 0.0 0.0 63.0 87.0 63.0 87.0 63.0 87.0 63.0 87.0 63.0 87.0 0.0 0.0 0.0 0.0 0.0 0.0 1.8529411764705883 1.5263157894736843 1.8529411764705883 1.5263157894736843 1.8529411764705883 1.5263157894736843 1.8529411764705883 1.5263157894736843 1.8529411764705883 1.5263157894736843
3 1 3 3.9091382999999382 1.826662600000077 0.0 5.735800900000015 5.735800900000015 5.735800900000015 5.735800900000015 0.197786237931035 0.0 0.0 562.85546875 567.54296875 18 29 0.6206896551724138 29 1 0 1.0 0.9264270782754076 0.9264270782754076 0.9264270782754076 1.0 1.0 1.0 0.9264270782754076 0.9264270782754076 0.9264270782754076 0.9264270782754076 1.0 1.0 1.0 0.9264270782754076 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
4 1 2 10.022142000000258 2.7071017999999754 0.015343899999891164 12.744587700000125 18.48038860000014 18.48038860000014 18.48038860000014 0.32421734385965156 0.0 0.0 719.40234375 735.4453125 34 57 0.5964912280701754 57 18 29 0.9649122807017544 0.6434153469323417 0.6434153469323417 0.6434153469323417 1.0 1.0 1.0 0.6434153469323417 0.6208393698469964 0.6208393698469964 0.6208393698469964 0.9649122807017544 0.9649122807017544 0.9649122807017544 0.6208393698469964 False 0 0 False 1.8888888888888888 1.9655172413793103 1.4907119849998596 2.61531437518432 0.7892004626469845 1.0947827617050643 0.6842729296457719 0.5553586446420518 1.0 1.0 1.0 1.0 1.0 1.5 2.0 2.75 7.0 12.0 0 0.0 0 0.0 3.628873693012116 0.02654606659778605 1.9211684257122967 0.14643576282250897 3.000000000000001 0.049787068367863896 1.5882352941176476 0.20428579817889797 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 18.0 0.0 0.0 18.0 18.0 18.0 18.0 18.0 34.0 57.0 0.0 0.0 0.0 0.0 34.0 57.0 34.0 57.0 34.0 57.0 34.0 57.0 34.0 57.0 0.0 0.0 0.0 0.0 0.0 0.0 1.8888888888888888 1.9655172413793103 1.8888888888888888 1.9655172413793103 1.8888888888888888 1.9655172413793103 1.8888888888888888 1.9655172413793103 1.8888888888888888 1.9655172413793103
5 1 1 49.78762659999978 64.17342289999976 0.031925599999851784 113.9929750999994 132.47336369999954 132.47336369999954 132.47336369999954 1.5226823413793051 0.0 0.0 1207.59375 1279.5546875 63 87 0.7241379310344828 0 34 57 0.9770114942528736 0.35218538795196463 0.35218538795196463 0.35218538795196463 0.943903525451346 1.0 1.0 0.35218538795196463 0.34408917213697693 0.34408917213697693 0.34408917213697693 0.9222045938317749 0.9770114942528736 0.9770114942528736 0.34408917213697693 False 0 0 False 1.8529411764705883 1.5263157894736843 1.5788824766976217 0.9650764472411539 0.8520953048844307 0.6076407260407266 0.731350169695456 0.8084338954292198 1.0 0.5 1.0 1.0 2.0 1.5 2.0 2.0 10.0 5.5 14 0.4117647058823529 15 0.23809523809523808 4.122318778397255 0.01620689065026343 2.224743467706455 0.10809514497378776 3.3970588235294117 0.033471571126355265 1.8333333333333333 0.1598797460796939 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 34.0 0.0 0.0 34.0 34.0 34.0 34.0 34.0 63.0 87.0 0.0 0.0 0.0 0.0 63.0 87.0 63.0 87.0 63.0 87.0 63.0 87.0 63.0 87.0 0.0 0.0 0.0 0.0 0.0 0.0 1.8529411764705883 1.5263157894736843 1.8529411764705883 1.5263157894736843 1.8529411764705883 1.5263157894736843 1.8529411764705883 1.5263157894736843 1.8529411764705883 1.5263157894736843
6 2 3 3.92467449999981 1.5910063999999693 0.0 5.515680899999779 5.515680899999779 5.515680899999779 5.515680899999779 0.19019589310344068 0.0 0.0 591.8203125 596.62109375 18 29 0.6206896551724138 29 1 0 1.0 0.944518384387541 0.944518384387541 0.944518384387541 1.0 1.0 1.0 0.944518384387541 0.944518384387541 0.944518384387541 0.944518384387541 1.0 1.0 1.0 0.944518384387541 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
7 2 2 10.063181299999542 2.943845700000338 0.015035399999760557 13.02206239999964 18.53774329999942 18.53774329999942 18.53774329999942 0.32522356666665647 0.0 0.0 762.25 777.4453125 34 57 0.5964912280701754 57 18 29 0.9649122807017544 0.6428879627688272 0.6428879627688272 0.6428879627688272 1.0 1.0 1.0 0.6428879627688272 0.6203304903909737 0.6203304903909737 0.6203304903909737 0.9649122807017544 0.9649122807017544 0.9649122807017544 0.6203304903909737 False 0 0 False 1.8888888888888888 1.9655172413793103 1.4507153971054048 2.577079717292627 0.7680257984675672 1.0914690567357008 0.6898738100720079 0.5590370883529803 1.0 1.0 1.0 1.0 1.5 2.0 2.0 2.0 7.0 12.0 3 0.16666666666666666 3 0.08823529411764706 3.7021292949966553 0.02467093879633092 1.9599508032335236 0.14086535087034943 3.1666666666666674 0.04214384350927637 1.6764705882352946 0.18703292871671043 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 18.0 0.0 0.0 18.0 18.0 18.0 18.0 18.0 34.0 57.0 0.0 0.0 0.0 0.0 34.0 57.0 34.0 57.0 34.0 57.0 34.0 57.0 34.0 57.0 0.0 0.0 0.0 0.0 0.0 0.0 1.8888888888888888 1.9655172413793103 1.8888888888888888 1.9655172413793103 1.8888888888888888 1.9655172413793103 1.8888888888888888 1.9655172413793103 1.8888888888888888 1.9655172413793103
8 2 1 49.72147369999959 65.14843170000051 0.03206530000034036 114.90197070000045 133.43971399999987 133.43971399999987 133.43971399999987 1.5337898160919525 0.0 0.0 1256.984375 1328.765625 63 87 0.7241379310344828 0 34 57 0.9770114942528736 0.3511856407183741 0.3511856407183741 0.3511856407183741 0.9429338559012154 1.0 1.0 0.3511856407183741 0.3431124075984115 0.3431124075984115 0.3431124075984115 0.9212572155356702 0.9770114942528736 0.9770114942528736 0.3431124075984115 False 0 0 False 1.8529411764705883 1.5263157894736843 1.3287577461486684 0.8771459552081216 0.7171073550643606 0.547210320680296 0.7602811841446728 0.8214157315966375 1.0 0.5 1.0 1.0 2.0 1.5 2.0 2.0 8.0 4.5 13 0.38235294117647056 16 0.25396825396825395 4.101069571014074 0.016554959224569583 2.213275641499659 0.10934189641111405 3.426470588235294 0.0325014495781888 1.849206349206349 0.15736200724896462 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 34.0 0.0 0.0 34.0 34.0 34.0 34.0 34.0 63.0 87.0 0.0 0.0 0.0 0.0 63.0 87.0 63.0 87.0 63.0 87.0 63.0 87.0 63.0 87.0 0.0 0.0 0.0 0.0 0.0 0.0 1.8529411764705883 1.5263157894736843 1.8529411764705883 1.5263157894736843 1.8529411764705883 1.5263157894736843 1.8529411764705883 1.5263157894736843 1.8529411764705883 1.5263157894736843
9 3 3 3.899982100000102 1.6750763999998526 0.0 5.575058499999955 5.575058499999955 5.575058499999955 5.575058499999955 0.19224339655172257 0.0 0.0 624.83984375 647.49609375 18 29 0.6206896551724138 29 1 0 1.0 0.9393916520184913 0.9393916520184913 0.9393916520184913 1.0 1.0 1.0 0.9393916520184913 0.9393916520184913 0.9393916520184913 0.9393916520184913 1.0 1.0 1.0 0.9393916520184913 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
