 RU AL GT ST OT TT LT CT WT WT_PA MET MET_PA RSS VMS LE AC CF PSG SIZE SGLITS_T QL_SCORE LT_SCORE CT_SCORE AW_SCORE AW_PA_SCORE AME_SCORE AME_PA_SCORE TI_SCORE LT_GRADE CT_GRADE AW_GRADE AW_PA_GRADE AME_GRADE AME_PA_GRADE GRADE HAS_TRAILING TOT_CHOICES PRE_CHOICES FGOALS_ORDER CP_EF_L CP_EF_A SP_ED_L SP_ED_A SP_EB_L SP_EB_A SP_EBS_L SP_EBS_A SP_MIN_L SP_MIN_A SP_LOWER_L SP_LOWER_A SP_MED_L SP_MED_A SP_UPPER_L SP_UPPER_A SP_MAX_L SP_MAX_A T_INTER_SP P_INTER_SP T_INTER_Q P_INTER_Q M_CHILD_RMSE M_CHILD_RMSE_SCORE M_CHILD_NRMSE M_CHILD_NRMSE_SCORE M_CHILD_MAE M_CHILD_MAE_SCORE M_CHILD_NMAE M_CHILD_NMAE_SCORE DIV_INDEX_RMSE DIV_INDEX_RMSE_SCORE DIV_INDEX_NRMSE DIV_INDEX_NRMSE_SCORE DIV_INDEX_MAE DIV_INDEX_MAE_SCORE DIV_INDEX_NMAE DIV_INDEX_NMAE_SCORE DIV_STEP_RMSE DIV_STEP_RMSE_SCORE DIV_STEP_NRMSE DIV_STEP_NRMSE_SCORE DIV_STEP_MAE DIV_STEP_MAE_SCORE DIV_STEP_NMAE DIV_STEP_NMAE_SCORE DS_T DIVS_T DS_TD_MEAN DS_TD_STD DS_TD_CD DS_TD_MIN DS_TD_LOWER DS_TD_MED DS_TD_UPPER DS_TD_MAX DS_TS_MEAN DS_TS_STD DS_TS_CD DS_TS_MIN DS_TS_LOWER DS_TS_MED DS_TS_UPPER DS_TS_MAX PR_T PR_TS_MEAN PR_TS_STD PR_TS_CD PR_TS_MIN PR_TS_LOWER PR_TS_MED PR_TS_UPPER PR_TS_MAX PP_LE_MEAN PP_AC_MEAN PP_LE_STD PP_AC_STD PP_LE_CD PP_AC_CD PP_LE_MIN PP_AC_MIN PP_LE_LOWER PP_AC_LOWER PP_LE_MED PP_AC_MED PP_LE_UPPER PP_AC_UPPER PP_LE_MAX PP_AC_MAX PP_ED_L PP_ED_A PP_EB_L PP_EB_A PP_EBS_L PP_EBS_A PP_EF_LE_MIN PP_EF_AC_MIN PP_EF_LE_LOWER PP_EF_AC_LOWER PP_EF_LE_MED PP_EF_AC_MED PP_EF_LE_UPPER PP_EF_AC_UPPER PP_EF_LE_MAX PP_EF_AC_MAX
0 0 3 3.8897702000000436 1.4433461999999793 0.0 5.333116400000023 5.333116400000023 5.333116400000023 5.333116400000023 0.18390056551724215 0.0 0.0 332.69140625 326.4296875 18 29 0.6206896551724138 29 1 0 1.0 0.9616412847306779 0.9616412847306779 0.9616412847306779 1.0 1.0 1.0 0.9872137615768927 0.9616412847306779 0.9616412847306779 0.9616412847306779 1.0 1.0 1.0 0.9616412847306779 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 3 3.0 0.0 0.0 3.0 3.0 3.0 3.0 3.0 18.0 0.0 0.0 18.0 18.0 18.0 18.0 18.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 0 2 8.687572200000062 0.8961369999998112 0.0 9.583709199999873 9.328717299999909 14.916825599999896 3.7570654749999832 0.2251624031624623 1.899848200000008 0.17268766541375294 347.86328125 339.48046875 34 57 0.5964912280701754 57 18 29 0.9649122807017544 0.7767859128691845 0.6811030810072269 1.0 1.0 1.0 1.0 0.9255953042897281 0.7495302668035991 0.6572047272876751 0.9649122807017544 0.9649122807017544 0.9649122807017544 0.9649122807017544 0.8931182760690359 False 0 0 False 1.8888888888888888 1.9655172413793103 1.4907119849998596 2.6360063375805276 0.7892004626469845 1.0907612431367701 0.6842729296457719 0.5533841223724572 1.0 0.5 1.0 1.0 1.0 2.0 2.0 2.0 7.0 12.0 0 0.0 0 0.0 3.628873693012116 0.02654606659778605 1.9211684257122967 0.14643576282250897 3.000000000000001 0.049787068367863896 1.5882352941176476 0.20428579817889797 0.5477225575051661 0.5782652777781269 0.1217161238900369 0.8853996766467194 0.4 0.6703200460356393 0.08888888888888889 0.914947228730031 2.5099800796022267 0.08126985815266834 0.2952917740708502 0.7443143841424477 1.4 0.2465969639416065 0.16470588235294117 0.848143121266317 4 4 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 8.5 4.123105625617661 0.48507125007266594 4.0 7.0 8.0 9.5 14.0 4 4.5 0.5773502691896257 0.12830005981991682 4.0 4.0 4.5 5.0 5.0 8.5 14.25 4.123105625617661 5.795112883571237 0.48507125007266594 0.40667458832078857 4.0 8.0 7.0 11.75 8.0 13.5 9.5 16.0 14.0 22.0 1.0874281585465773 1.494659187316891 0.5756972604070115 0.7604406391612253 0.7453847381145109 0.6837250713144609 1.0 1.1428571428571428 1.4500000000000002 1.4523809523809523 1.6 1.5902777777777777 2.075 2.31875 3.5 4.4
2 0 1 40.848756799999876 2.4214672000000235 0.0 43.2702239999999 21.627169499999837 58.187049599999796 7.327541187499975 0.6256342573488543 5.2847371428571375 0.5581887360130712 390.3359375 389.4375 66 91 0.7252747252747253 0 34 57 0.9340659340659341 0.6171802579714853 0.4673578011415612 0.8396068412234309 1.0 0.9665729121109216 1.0 0.8612510566941356 0.5764870541491897 0.43654300106629346 0.7842481483955124 0.9340659340659341 0.9028428299937179 0.9340659340659341 0.8044652727362805 False 0 0 False 1.9411764705882353 1.5964912280701755 1.3693877523912965 0.9283608309499425 0.7054421754743042 0.5537590921455797 0.7553762346681652 0.8137824175730779 1.0 0.5 1.0 1.0 2.0 1.5 2.0 2.0 8.0 4.5 0 0.0 0 0.0 3.326001163112278 0.03593652241670692 1.7133945385729918 0.18025287757796576 2.4913494809688577 0.0827981566128271 1.283422459893048 0.2770873554452106 2.362907813126304 0.09414606562457191 0.5559783089708951 0.5735109157827639 1.5555555555555556 0.2110720877910902 0.36601307189542487 0.6934937358729122 6.747427493332387 0.0011738955940650542 0.8178699991918045 0.4413707740937345 4.444444444444445 0.01174362845702136 0.5387205387205387 0.5834943333876809 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8 4.25 1.9086270308410553 0.44908871313907184 2.0 3.5 4.0 4.75 7.0 8.25 11.375 5.1478150704935 5.578978401105349 0.6239775843022425 0.49045963965761313 3.0 5.0 4.5 7.25 7.5 10.5 10.0 15.5 18.0 20.0 0.4336171932273796 0.3145226492354504 0.22337855408683194 0.19700869237824917 0.897854812718143 0.922448770216492 1.25 1.1428571428571428 1.5 1.25 1.8035714285714286 1.5833333333333335 2.0625 1.74375 2.5714285714285716 2.0
3 1 3 3.898366199999998 1.4612520000000586 0.0 5.359618200000057 5.359618200000057 5.359618200000057 5.359618200000057 0.18481442068965712 0.0 0.0 345.93359375 340.76171875 18 29 0.6206896551724138 29 1 0 1.0 0.9590151149389526 0.9590151149389526 0.9590151149389526 1.0 1.0 1.0 0.9863383716463175 0.9590151149389526 0.9590151149389526 0.9590151149389526 1.0 1.0 1.0 0.9590151149389526 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 3 3.0 0.0 0.0 3.0 3.0 3.0 3.0 3.0 18.0 0.0 0.0 18.0 18.0 18.0 18.0 18.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
4 1 2 8.71804599999993 0.7608402999999271 0.0 9.478886299999857 9.405347600000027 14.838504499999914 3.752743874999979 0.22526239629120687 1.868542633333296 0.1682023472027942 356.95703125 348.90625 34 57 0.5964912280701754 57 18 29 0.9649122807017544 0.7748810196141447 0.6820636795737276 1.0 1.0 1.0 1.0 0.9249603398713816 0.7476922119083852 0.6581316206413161 0.9649122807017544 0.9649122807017544 0.9649122807017544 0.9649122807017544 0.8925055911039647 False 0 0 False 1.8888888888888888 1.9655172413793103 1.4907119849998596 2.6360063375805276 0.7892004626469845 1.0907612431367701 0.6842729296457719 0.5533841223724572 1.0 0.5 1.0 1.0 1.0 2.0 2.0 2.0 7.0 12.0 0 0.0 0 0.0 3.628873693012116 0.02654606659778605 1.9211684257122967 0.14643576282250897 3.000000000000001 0.049787068367863896 1.5882352941176476 0.20428579817889797 0.5477225575051661 0.5782652777781269 0.1217161238900369 0.8853996766467194 0.4 0.6703200460356393 0.08888888888888889 0.914947228730031 2.5099800796022267 0.08126985815266834 0.2952917740708502 0.7443143841424477 1.4 0.2465969639416065 0.16470588235294117 0.848143121266317 4 4 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 8.5 4.123105625617661 0.48507125007266594 4.0 7.0 8.0 9.5 14.0 4 4.5 0.5773502691896257 0.12830005981991682 4.0 4.0 4.5 5.0 5.0 8.5 14.25 4.123105625617661 5.795112883571237 0.48507125007266594 0.40667458832078857 4.0 8.0 7.0 11.75 8.0 13.5 9.5 16.0 14.0 22.0 1.0874281585465773 1.494659187316891 0.5756972604070115 0.7604406391612253 0.7453847381145109 0.6837250713144609 1.0 1.1428571428571428 1.4500000000000002 1.4523809523809523 1.6 1.5902777777777777 2.075 2.31875 3.5 4.4
5 1 1 40.75389610000002 2.3558832999999595 0.0 43.10977939999998 21.590502899999933 57.94828389999989 7.305271387499975 0.6212340121874953 5.264524028571409 0.5560164133239919 395.89453125 394.171875 66 91 0.7252747252747253 0 34 57 0.9340659340659341 0.6174580610827856 0.4679469594097011 0.8405027157337468 1.0 0.9686886163624523 1.0 0.862048892481746 0.5767465405718327 0.4370933137343362 0.7850849542567965 0.9340659340659341 0.9048190372616313 0.9340659340659341 0.805210503966466 False 0 0 False 1.9411764705882353 1.5964912280701755 1.3693877523912965 0.9188315062612925 0.7054421754743042 0.5529251542103353 0.7553762346681652 0.815187243126437 1.0 0.5 1.0 1.0 2.0 1.5 2.0 2.0 8.0 4.5 0 0.0 0 0.0 3.326001163112278 0.03593652241670692 1.7133945385729918 0.18025287757796576 2.4913494809688577 0.0827981566128271 1.283422459893048 0.2770873554452106 2.362907813126304 0.09414606562457191 0.5559783089708951 0.5735109157827639 1.5555555555555556 0.2110720877910902 0.36601307189542487 0.6934937358729122 6.747427493332387 0.0011738955940650542 0.8178699991918045 0.4413707740937345 4.444444444444445 0.01174362845702136 0.5387205387205387 0.5834943333876809 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8 4.25 1.9086270308410553 0.44908871313907184 2.0 3.5 4.0 4.75 7.0 8.25 11.375 5.1478150704935 5.578978401105349 0.6239775843022425 0.49045963965761313 3.0 5.0 4.5 7.25 7.5 10.5 10.0 15.5 18.0 20.0 0.4336171932273796 0.3145226492354504 0.22337855408683194 0.19700869237824917 0.897854812718143 0.922448770216492 1.25 1.1428571428571428 1.5 1.25 1.8035714285714286 1.5833333333333335 2.0625 1.74375 2.5714285714285716 2.0
6 2 3 3.8838837000000694 1.4006721999999172 0.0 5.284555899999987 5.284555899999987 5.284555899999987 5.284555899999987 0.1822260655172409 0.0 0.0 358.34765625 353.21875 18 29 0.6206896551724138 29 1 0 1.0 0.9665917344770341 0.9665917344770341 0.9665917344770341 1.0 1.0 1.0 0.9888639114923446 0.9665917344770341 0.9665917344770341 0.9665917344770341 1.0 1.0 1.0 0.9665917344770341 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 3 3.0 0.0 0.0 3.0 3.0 3.0 3.0 3.0 18.0 0.0 0.0 18.0 18.0 18.0 18.0 18.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
7 2 2 8.725216799999885 0.9157433999999398 0.0 9.640960199999824 9.398912299999836 14.925516099999811 3.7596321499999306 0.22663993051947612 1.879872099999962 0.1814794677489137 376.8671875 369.47265625 34 57 0.5964912280701754 57 18 29 0.9649122807017544 0.7750399477477217 0.6809969181626165 1.0 1.0 1.0 1.0 0.9250133159159072 0.7478455636162227 0.6571022894551564 0.9649122807017544 0.9649122807017544 0.9649122807017544 0.9649122807017544 0.8925567083399105 False 0 0 False 1.8888888888888888 1.9655172413793103 1.4907119849998596 2.63771043518224 0.7892004626469845 1.1041578565879144 0.6842729296457719 0.5532220106659528 1.0 1.0 1.0 1.0 1.0 1.5 2.0 2.0 7.0 12.0 0 0.0 0 0.0 3.628873693012116 0.02654606659778605 1.9211684257122967 0.14643576282250897 3.000000000000001 0.049787068367863896 1.5882352941176476 0.20428579817889797 0.5477225575051661 0.5782652777781269 0.1217161238900369 0.8853996766467194 0.4 0.6703200460356393 0.08888888888888889 0.914947228730031 2.5099800796022267 0.08126985815266834 0.2952917740708502 0.7443143841424477 1.4 0.2465969639416065 0.16470588235294117 0.848143121266317 4 4 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 8.5 4.123105625617661 0.48507125007266594 4.0 7.0 8.0 9.5 14.0 4 4.5 0.5773502691896257 0.12830005981991682 4.0 4.0 4.5 5.0 5.0 8.5 14.25 4.123105625617661 6.13052471924984 0.48507125007266594 0.4302122609999888 4.0 7.0 7.0 12.25 8.0 14.0 9.5 16.0 14.0 22.0 1.0874281585465773 1.4982946410088105 0.5756972604070115 0.762290255951851 0.7453847381145109 0.6832212489585328 1.0 1.1666666666666667 1.4500000000000002 1.4583333333333335 1.6 1.5555555555555556 2.075 2.2666666666666666 3.5 4.4
8 2 1 40.445821300000205 2.430688600000053 0.0 42.87650990000026 21.721019299999796 57.80202600000007 7.291761749999985 0.6597628001225455 5.2304392428571544 0.5893287894397815 423.37109375 421.640625 65 91 0.7142857142857143 0 34 57 0.9340659340659341 0.6164718325081902 0.46830914238256705 0.8410491307102979 1.0 0.9723340600048833 1.0 0.8629352975043578 0.5758253380571007 0.437431616511189 0.7855953418722562 0.9340659340659341 0.9082241219825833 0.9340659340659341 0.8060384647018727 False 0 0 False 1.911764705882353 1.5964912280701755 1.484621103765833 0.9670369319769988 0.7765710388928972 0.581933728977309 0.7419094933043615 0.8081511205966905 1.0 0.5 1.0 1.0 2.0 1.5 2.0 2.0 9.0 5.0 0 0.0 0 0.0 3.454912254330218 0.031590076126871786 1.8071848714958063 0.16411549331229144 2.5544982698961936 0.07773122237945121 1.3361990950226244 0.2628428129102924 2.362907813126304 0.09414606562457191 0.5559783089708951 0.5735109157827639 1.5555555555555556 0.2110720877910902 0.36601307189542487 0.6934937358729122 6.845010348178201 0.0010647552183341705 0.842462812083471 0.4306486097191233 4.388888888888889 0.012414515466073124 0.5401709401709403 0.5826486458017385 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8 4.25 1.9086270308410553 0.44908871313907184 2.0 3.5 4.0 4.75 7.0 8.125 11.375 5.303300858899107 5.829420456369815 0.6527139518645054 0.5124765236369068 2.0 3.0 4.5 8.0 7.5 11.0 10.0 15.5 18.0 20.0 0.5168225062005832 0.3435325791486274 0.27033792632030507 0.21517974737881054 0.8818561836065858 0.9162585912083162 1.0 1.0 1.4375 1.25 1.8035714285714286 1.5833333333333335 2.0625 1.74375 2.5714285714285716 2.0
9 3 3 3.893904700000121 1.6075550999998995 0.0 5.5014598000000206 5.5014598000000206 5.5014598000000206 5.5014598000000206 0.1897055103448283 0.0 0.0 382.78515625 376.69140625 18 29 0.6206896551724138 29 1 0 1.0 0.945776057568766 0.945776057568766 0.945776057568766 1.0 1.0 1.0 0.981925352522922 0.945776057568766 0.945776057568766 0.945776057568766 1.0 1.0 1.0 0.945776057568766 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 3 3.0 0.0 0.0 3.0 3.0 3.0 3.0 3.0 18.0 0.0 0.0 18.0 18.0 18.0 18.0 18.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
