 RU AL GT ST OT TT LT CT WT WT_PA MET MET_PA RSS VMS LE AC CF PSG SIZE SGLITS_T QL_SCORE LT_SCORE CT_SCORE AW_SCORE AW_PA_SCORE AME_SCORE AME_PA_SCORE TI_SCORE LT_GRADE CT_GRADE AW_GRADE AW_PA_GRADE AME_GRADE AME_PA_GRADE GRADE HAS_TRAILING TOT_CHOICES PRE_CHOICES FGOALS_ORDER CP_EF_L CP_EF_A SP_ED_L SP_ED_A SP_EB_L SP_EB_A SP_EBS_L SP_EBS_A SP_MIN_L SP_MIN_A SP_LOWER_L SP_LOWER_A SP_MED_L SP_MED_A SP_UPPER_L SP_UPPER_A SP_MAX_L SP_MAX_A T_INTER_SP P_INTER_SP T_INTER_Q P_INTER_Q M_CHILD_RMSE M_CHILD_RMSE_SCORE M_CHILD_NRMSE M_CHILD_NRMSE_SCORE M_CHILD_MAE M_CHILD_MAE_SCORE M_CHILD_NMAE M_CHILD_NMAE_SCORE DIV_INDEX_RMSE DIV_INDEX_RMSE_SCORE DIV_INDEX_NRMSE DIV_INDEX_NRMSE_SCORE DIV_INDEX_MAE DIV_INDEX_MAE_SCORE DIV_INDEX_NMAE DIV_INDEX_NMAE_SCORE DIV_STEP_RMSE DIV_STEP_RMSE_SCORE DIV_STEP_NRMSE DIV_STEP_NRMSE_SCORE DIV_STEP_MAE DIV_STEP_MAE_SCORE DIV_STEP_NMAE DIV_STEP_NMAE_SCORE DS_T DIVS_T DS_TD_MEAN DS_TD_STD DS_TD_CD DS_TD_MIN DS_TD_LOWER DS_TD_MED DS_TD_UPPER DS_TD_MAX DS_TS_MEAN DS_TS_STD DS_TS_CD DS_TS_MIN DS_TS_LOWER DS_TS_MED DS_TS_UPPER DS_TS_MAX PR_T PR_TS_MEAN PR_TS_STD PR_TS_CD PR_TS_MIN PR_TS_LOWER PR_TS_MED PR_TS_UPPER PR_TS_MAX PP_LE_MEAN PP_AC_MEAN PP_LE_STD PP_AC_STD PP_LE_CD PP_AC_CD PP_LE_MIN PP_AC_MIN PP_LE_LOWER PP_AC_LOWER PP_LE_MED PP_AC_MED PP_LE_UPPER PP_AC_UPPER PP_LE_MAX PP_AC_MAX PP_ED_L PP_ED_A PP_EB_L PP_EB_A PP_EBS_L PP_EBS_A PP_EF_LE_MIN PP_EF_AC_MIN PP_EF_LE_LOWER PP_EF_AC_LOWER PP_EF_LE_MED PP_EF_AC_MED PP_EF_LE_UPPER PP_EF_AC_UPPER PP_EF_LE_MAX PP_EF_AC_MAX
0 0 3 3.8882547999999133 1.4753099000000702 0.0 5.3635646999999835 5.3635646999999835 5.3635646999999835 5.3635646999999835 0.18495050689655115 0.0 0.0 322.390625 315.56640625 18 29 0.6206896551724138 29 1 0 1.0 0.9586284252811716 0.9586284252811716 0.9586284252811716 1.0 1.0 1.0 0.9862094750937239 0.9586284252811716 0.9586284252811716 0.9586284252811716 1.0 1.0 1.0 0.9586284252811716 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 3 3.0 0.0 0.0 3.0 3.0 3.0 3.0 3.0 18.0 0.0 0.0 18.0 18.0 18.0 18.0 18.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 0 2 8.720660599999974 0.8899181000000453 0.0 9.61057870000002 9.489453099999963 14.974143400000003 3.7715400499999916 0.22612550156406053 1.8655690333333343 0.16794975303030366 342.4921875 334.9765625 34 57 0.5964912280701754 57 18 29 0.9649122807017544 0.7728211454460194 0.6804044425692479 1.0 1.0 1.0 1.0 0.9242737151486732 0.7457046140268608 0.6565306024790989 0.9649122807017544 0.9649122807017544 0.9649122807017544 0.9649122807017544 0.8918430584767899 False 0 0 False 1.8888888888888888 1.9655172413793103 1.4507153971054048 2.577079717292627 0.7680257984675672 1.0914690567357008 0.6898738100720079 0.5590370883529803 1.0 1.0 1.0 1.0 1.5 2.0 2.0 2.0 7.0 12.0 0 0.0 0 0.0 3.7021292949966553 0.02467093879633092 1.9599508032335236 0.14086535087034943 3.1666666666666674 0.04214384350927637 1.6764705882352946 0.18703292871671043 0.5477225575051661 0.5782652777781269 0.1217161238900369 0.8853996766467194 0.4 0.6703200460356393 0.08888888888888889 0.914947228730031 2.5099800796022267 0.08126985815266834 0.2952917740708502 0.7443143841424477 1.4 0.2465969639416065 0.16470588235294117 0.848143121266317 4 18 4.5 1.0 0.2222222222222222 3.0 4.5 5.0 5.0 5.0 8.5 4.123105625617661 0.48507125007266594 4.0 7.0 8.0 9.5 14.0 4 4.5 0.5773502691896257 0.12830005981991682 4.0 4.0 4.5 5.0 5.0 8.5 14.25 4.123105625617661 5.795112883571237 0.48507125007266594 0.40667458832078857 4.0 8.0 7.0 11.75 8.0 13.5 9.5 16.0 14.0 22.0 1.0874281585465773 1.494659187316891 0.5756972604070115 0.7604406391612253 0.7453847381145109 0.6837250713144609 1.0 1.1428571428571428 1.4500000000000002 1.4523809523809523 1.6 1.5902777777777777 2.075 2.31875 3.5 4.4
2 0 1 40.98320910000007 1.9932715000001053 0.0 42.97648060000017 11.12715049999997 57.950624000000175 2.6864644999999983 0.6295808694552657 2.2845270714285713 0.6994849622129158 352.62109375 345.47265625 72 99 0.7272727272727273 0 34 57 0.8585858585858586 0.7379893915771316 0.46794117253172685 1.0 1.0 1.0 1.0 0.9126631305257106 0.6336272553945069 0.4017676733858261 0.8585858585858586 0.8585858585858586 0.8585858585858586 0.8585858585858586 0.7835996575220747 False 0 0 False 2.1176470588235294 1.736842105263158 2.1569437677214256 1.3135791548583706 1.0185567792017842 0.7203498591158807 0.6739969185063905 0.7621355680291712 1.0 0.5 1.0 1.0 2.0 1.5 2.0 2.0 13.0 7.0 0 0.0 0 0.0 5.275949216814762 0.0051131009626502215 2.49142046349586 0.08279227959902469 4.2854671280276815 0.013767188979166576 2.0236928104575163 0.1321664969803485 2.0545909260769615 0.12814524573537842 1.3294411874615633 0.2646250958116121 1.541501976284585 0.2140593477904251 0.9974424552429668 0.36882151348997955 8.501569257607517 0.0002031493251211827 2.597701717602297 0.0744444761824292 6.498023715415017 0.0015064133546059879 1.9855072463768106 0.13731094596915097 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 22 1.5454545454545454 0.6709817063202619 0.43416463350134593 1.0 1.0 1.0 2.0 3.0 3.272727272727273 4.5 3.0578831486257534 3.6742346141747673 0.9343531843023135 0.816496580927726 1.0 2.0 1.0 2.0 2.0 3.0 4.0 5.75 14.0 15.0 1.2976835839227852 0.7876821196987537 0.6127950257413152 0.45351394770534303 0.7640906333316264 0.8352636176910826 1.0 0.5 1.0 1.0 2.0 1.5 2.0 2.0 7.0 3.75
3 1 3 3.8997578999999973 1.5003799000000129 0.0 5.40013780000001 5.40013780000001 5.40013780000001 5.40013780000001 0.18621164827586242 0.0 0.0 332.5859375 325.72265625 18 29 0.6206896551724138 29 1 0 1.0 0.95509722140592 0.95509722140592 0.95509722140592 1.0 1.0 1.0 0.9850324071353067 0.95509722140592 0.95509722140592 0.95509722140592 1.0 1.0 1.0 0.95509722140592 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 3 3.0 0.0 0.0 3.0 3.0 3.0 3.0 3.0 18.0 0.0 0.0 18.0 18.0 18.0 18.0 18.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
4 1 2 8.690887800000013 0.8112690000000384 0.0 9.502156800000051 9.363247300000012 14.902294600000062 3.7731877000000296 0.22642202942994638 1.9098345000000354 0.173317683216787 345.16796875 337.734375 34 57 0.5964912280701754 57 18 29 0.9649122807017544 0.7759241901703119 0.6812807801321339 1.0 1.0 1.0 1.0 0.925308063390104 0.7486987799888974 0.6573761913555678 0.9649122807017544 0.9649122807017544 0.9649122807017544 0.9649122807017544 0.8928411137974688 False 0 0 False 1.8888888888888888 1.9655172413793103 1.4907119849998596 2.6360063375805276 0.7892004626469845 1.0907612431367701 0.6842729296457719 0.5533841223724572 1.0 0.5 1.0 1.0 1.0 2.0 2.0 2.0 7.0 12.0 0 0.0 0 0.0 3.628873693012116 0.02654606659778605 1.9211684257122967 0.14643576282250897 3.000000000000001 0.049787068367863896 1.5882352941176476 0.20428579817889797 0.5477225575051661 0.5782652777781269 0.1217161238900369 0.8853996766467194 0.4 0.6703200460356393 0.08888888888888889 0.914947228730031 2.5099800796022267 0.08126985815266834 0.2952917740708502 0.7443143841424477 1.4 0.2465969639416065 0.16470588235294117 0.848143121266317 4 18 4.5 1.0 0.2222222222222222 3.0 4.5 5.0 5.0 5.0 8.5 4.123105625617661 0.48507125007266594 4.0 7.0 8.0 9.5 14.0 4 4.5 0.5773502691896257 0.12830005981991682 4.0 4.0 4.5 5.0 5.0 8.5 14.25 4.123105625617661 5.795112883571237 0.48507125007266594 0.40667458832078857 4.0 8.0 7.0 11.75 8.0 13.5 9.5 16.0 14.0 22.0 1.0874281585465773 1.494659187316891 0.5756972604070115 0.7604406391612253 0.7453847381145109 0.6837250713144609 1.0 1.1428571428571428 1.4500000000000002 1.4523809523809523 1.6 1.5902777777777777 2.075 2.31875 3.5 4.4
5 1 1 41.03918270000014 1.897390600000108 0.0 42.93657330000025 10.995622800000035 57.83886790000031 2.6852561318181953 0.642518613438229 2.289524385714298 0.7139565707221452 355.72265625 348.25 72 99 0.7272727272727273 0 34 57 0.8585858585858586 0.7404744508479102 0.46821781695848375 1.0 1.0 1.0 1.0 0.9134914836159701 0.6357608921421452 0.40200519637849613 0.8585858585858586 0.8585858585858586 0.8585858585858586 0.8585858585858586 0.7843108697712874 False 0 0 False 2.1176470588235294 1.736842105263158 2.1569437677214256 1.3143422475413373 1.0185567792017842 0.7266282344130971 0.6739969185063905 0.7620420501599264 1.0 0.5 1.0 1.0 2.0 1.5 2.0 2.0 13.0 7.0 0 0.0 0 0.0 5.275949216814762 0.0051131009626502215 2.49142046349586 0.08279227959902469 4.2854671280276815 0.013767188979166576 2.0236928104575163 0.1321664969803485 2.0545909260769615 0.12814524573537842 1.3294411874615633 0.2646250958116121 1.541501976284585 0.2140593477904251 0.9974424552429668 0.36882151348997955 8.501569257607517 0.0002031493251211827 2.597701717602297 0.0744444761824292 6.498023715415017 0.0015064133546059879 1.9855072463768106 0.13731094596915097 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 22 1.5454545454545454 0.6709817063202619 0.43416463350134593 1.0 1.0 1.0 2.0 3.0 3.272727272727273 4.5 3.0578831486257534 3.6871721000297906 0.9343531843023135 0.819371577784398 1.0 1.0 1.0 2.0 2.0 3.0 4.0 5.75 14.0 15.0 1.2976835839227852 0.7850672376176244 0.6127950257413152 0.4520084095374201 0.7640906333316264 0.8356787178706375 1.0 0.5 1.0 1.0 2.0 1.5 2.0 2.0 7.0 3.75
6 2 3 3.897537800000123 1.624992299999974 0.0 5.522530100000097 5.522530100000097 5.522530100000097 5.522530100000097 0.19043207241379645 0.0 0.0 352.578125 345.96484375 18 29 0.6206896551724138 29 1 0 1.0 0.9439168650287542 0.9439168650287542 0.9439168650287542 1.0 1.0 1.0 0.9813056216762513 0.9439168650287542 0.9439168650287542 0.9439168650287542 1.0 1.0 1.0 0.9439168650287542 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 3 3.0 0.0 0.0 3.0 3.0 3.0 3.0 3.0 18.0 0.0 0.0 18.0 18.0 18.0 18.0 18.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
7 2 2 8.664696400000196 0.9285899000001336 0.0 9.59328630000033 9.584842300000162 15.115816400000426 3.8066362750000877 0.22857053100961966 1.880567600000063 0.16877318004080039 371.34765625 362.78515625 34 57 0.5964912280701754 57 18 29 0.9649122807017544 0.7705227709147029 0.678693146800908 1.0 1.0 1.0 1.0 0.9235075903049009 0.7434868842159413 0.6548793521763148 0.9649122807017544 0.9649122807017544 0.9649122807017544 0.9649122807017544 0.8911038152064834 False 0 0 False 1.8888888888888888 1.9655172413793103 1.4507153971054048 2.577079717292627 0.7680257984675672 1.0914690567357008 0.6898738100720079 0.5590370883529803 1.0 1.0 1.0 1.0 1.5 2.0 2.0 2.0 7.0 12.0 0 0.0 0 0.0 3.7021292949966553 0.02467093879633092 1.9599508032335236 0.14086535087034943 3.1666666666666674 0.04214384350927637 1.6764705882352946 0.18703292871671043 0.5477225575051661 0.5782652777781269 0.1217161238900369 0.8853996766467194 0.4 0.6703200460356393 0.08888888888888889 0.914947228730031 2.5099800796022267 0.08126985815266834 0.2952917740708502 0.7443143841424477 1.4 0.2465969639416065 0.16470588235294117 0.848143121266317 4 18 4.5 1.0 0.2222222222222222 3.0 4.5 5.0 5.0 5.0 8.5 4.123105625617661 0.48507125007266594 4.0 7.0 8.0 9.5 14.0 4 4.5 0.5773502691896257 0.12830005981991682 4.0 4.0 4.5 5.0 5.0 8.5 14.25 4.123105625617661 5.795112883571237 0.48507125007266594 0.40667458832078857 4.0 8.0 7.0 11.75 8.0 13.5 9.5 16.0 14.0 22.0 1.0874281585465773 1.494659187316891 0.5756972604070115 0.7604406391612253 0.7453847381145109 0.6837250713144609 1.0 1.1428571428571428 1.4500000000000002 1.4523809523809523 1.6 1.5902777777777777 2.075 2.31875 3.5 4.4
8 2 1 39.88642090000002 1.9006025000000477 0.0 41.787023400000066 11.211272800000245 56.90283980000049 2.640234927272745 0.6404348068209662 2.232090266666673 0.7052935833661848 371.0546875 363.515625 70 97 0.7216494845360825 0 34 57 0.8762886597938144 0.7364239326387292 0.47055769288556826 1.0 1.0 1.0 1.0 0.9121413108795764 0.6453199409720822 0.4123443700543639 0.8762886597938144 0.8762886597938144 0.8762886597938144 0.8762886597938144 0.799299086853237 False 0 0 False 2.0588235294117645 1.7017543859649122 2.159421590213008 1.3040455357687049 1.048861915246318 0.7389591369355994 0.6737744306793065 0.7633065307417211 1.0 0.5 1.0 1.0 1.5 1.25 2.0 2.0 13.0 7.0 0 0.0 0 0.0 4.657100097150469 0.009493954065315056 2.2620200471873706 0.10413990461405348 3.657439446366784 0.02579848663413169 1.7764705882352954 0.16923439230773182 2.0545909260769615 0.12814524573537842 1.3294411874615633 0.2646250958116121 1.541501976284585 0.2140593477904251 0.9974424552429668 0.36882151348997955 7.7482625873501245 0.00043149156861149734 2.435168241738611 0.08758301069046584 5.853754940711465 0.0028691055847905904 1.8397515527950319 0.15885688875452644 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 22 1.5454545454545454 0.6709817063202619 0.43416463350134593 1.0 1.0 1.0 2.0 3.0 3.1818181818181817 4.409090909090909 3.0649534081188565 3.6859978413694283 0.9632710711230692 0.8359995104136848 1.0 2.0 1.0 2.0 2.0 3.0 3.75 5.75 14.0 15.0 1.3128843146542744 0.8007335651914702 0.6376866671177904 0.47053415686509076 0.7622207483143173 0.8332007989559442 1.0 0.5 1.0 1.0 1.75 1.5 2.0 2.0 7.0 3.75
9 3 3 3.895192899999927 1.665125699999976 0.0 5.560318599999903 5.560318599999903 5.560318599999903 5.560318599999903 0.19173512413792768 0.0 0.0 377.05859375 370.22265625 18 29 0.6206896551724138 29 1 0 1.0 0.940646048743501 0.940646048743501 0.940646048743501 1.0 1.0 1.0 0.980215349581167 0.940646048743501 0.940646048743501 0.940646048743501 1.0 1.0 1.0 0.940646048743501 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 3 3.0 0.0 0.0 3.0 3.0 3.0 3.0 3.0 18.0 0.0 0.0 18.0 18.0 18.0 18.0 18.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
