 RU AL GT ST OT TT LT CT WT WT_PA MET MET_PA RSS VMS LE AC CF PSG SIZE SGLITS_T QL_SCORE LT_SCORE CT_SCORE AW_SCORE AW_PA_SCORE AME_SCORE AME_PA_SCORE TI_SCORE LT_GRADE CT_GRADE AW_GRADE AW_PA_GRADE AME_GRADE AME_PA_GRADE GRADE HAS_TRAILING TOT_CHOICES PRE_CHOICES FGOALS_ORDER CP_EF_L CP_EF_A SP_ED_L SP_ED_A SP_EB_L SP_EB_A SP_EBS_L SP_EBS_A SP_MIN_L SP_MIN_A SP_LOWER_L SP_LOWER_A SP_MED_L SP_MED_A SP_UPPER_L SP_UPPER_A SP_MAX_L SP_MAX_A T_INTER_SP P_INTER_SP T_INTER_Q P_INTER_Q M_CHILD_RMSE M_CHILD_RMSE_SCORE M_CHILD_NRMSE M_CHILD_NRMSE_SCORE M_CHILD_MAE M_CHILD_MAE_SCORE M_CHILD_NMAE M_CHILD_NMAE_SCORE DIV_INDEX_RMSE DIV_INDEX_RMSE_SCORE DIV_INDEX_NRMSE DIV_INDEX_NRMSE_SCORE DIV_INDEX_MAE DIV_INDEX_MAE_SCORE DIV_INDEX_NMAE DIV_INDEX_NMAE_SCORE DIV_STEP_RMSE DIV_STEP_RMSE_SCORE DIV_STEP_NRMSE DIV_STEP_NRMSE_SCORE DIV_STEP_MAE DIV_STEP_MAE_SCORE DIV_STEP_NMAE DIV_STEP_NMAE_SCORE DS_T DIVS_T DS_TD_MEAN DS_TD_STD DS_TD_CD DS_TD_MIN DS_TD_LOWER DS_TD_MED DS_TD_UPPER DS_TD_MAX DS_TS_MEAN DS_TS_STD DS_TS_CD DS_TS_MIN DS_TS_LOWER DS_TS_MED DS_TS_UPPER DS_TS_MAX PR_T PR_TS_MEAN PR_TS_STD PR_TS_CD PR_TS_MIN PR_TS_LOWER PR_TS_MED PR_TS_UPPER PR_TS_MAX PP_LE_MEAN PP_AC_MEAN PP_LE_STD PP_AC_STD PP_LE_CD PP_AC_CD PP_LE_MIN PP_AC_MIN PP_LE_LOWER PP_AC_LOWER PP_LE_MED PP_AC_MED PP_LE_UPPER PP_AC_UPPER PP_LE_MAX PP_AC_MAX PP_ED_L PP_ED_A PP_EB_L PP_EB_A PP_EBS_L PP_EBS_A PP_EF_LE_MIN PP_EF_AC_MIN PP_EF_LE_LOWER PP_EF_AC_LOWER PP_EF_LE_MED PP_EF_AC_MED PP_EF_LE_UPPER PP_EF_AC_UPPER PP_EF_LE_MAX PP_EF_AC_MAX
0 0 3 1.2212585999999135 0.9101786999999888 0.0 2.1314372999999023 2.1314372999999023 2.1314372999999023 2.1314372999999023 0.10657186499999512 0.0 0.0 605.8671875 607.2890625 20 20 1.0 20 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 0 2 3.177686200000011 1.7518442999999877 0.0 4.9295304999999985 6.134320399999837 7.060967799999901 3.623591749999946 0.08235435795454422 1.1128631000000553 0.02529234318181944 652.71484375 663.33984375 44 44 1.0 44 20 20 0.9545454545454546 0.8988534401025972 0.8507471309152485 1.0 1.0 1.0 1.0 0.9662844800341991 0.8579964655524791 0.8120768067827372 0.9545454545454546 0.9545454545454546 0.9545454545454546 0.9545454545454546 0.9223624582144627 False 0 0 False 2.2 2.2 2.142305693455191 2.142305693455191 0.9737753152069049 0.9737753152069049 0.617804021460095 0.617804021460095 1.0 1.0 1.0 1.0 1.0 1.0 3.0 3.0 10.0 10.0 0 0.0 0 0.0 7.598684096605147 0.0005011104126622407 3.453947316638703 0.0316205732935709 6.999999999999997 0.0009118819655545186 3.1818181818181803 0.04151011353411514 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 4.618802153517006 0.009864605269694224 0.20994555243259116 0.8106283815120856 2.6666666666666665 0.06948345122280154 0.1212121212121212 0.8858460329277068 2 6 3.0 0.0 0.0 3.0 3.0 3.0 3.0 3.0 22.0 11.313708498984761 0.51425947722658 14.0 18.0 22.0 26.0 30.0 2 10.0 0.0 0.0 10.0 10.0 10.0 10.0 10.0 22.0 22.0 11.313708498984761 11.313708498984761 0.51425947722658 0.51425947722658 14.0 14.0 18.0 18.0 22.0 22.0 26.0 26.0 30.0 30.0 1.131370849898476 1.131370849898476 0.5142594772265799 0.5142594772265799 0.747385515425588 0.747385515425588 1.4 1.4 1.7999999999999998 1.7999999999999998 2.2 2.2 2.6 2.6 3.0 3.0
2 0 1 39.3234724000001 23.077832400000148 0.0 62.40130480000025 21.32812489999992 69.46227260000015 8.831877325000015 0.06353868579136701 7.046699100000028 0.05069567697841747 817.9921875 852.45703125 139 139 1.0 0 44 44 0.9280575539568345 0.6194630195423037 0.4421385381924515 0.789843738576179 1.0 0.8513704878718612 1.0 0.823611169138055 0.5748973346831451 0.41033001026493704 0.7330204480311301 0.9280575539568345 0.7901208124853963 0.9280575539568345 0.764358567041792 False 0 0 False 3.159090909090909 3.159090909090909 3.1397169315318845 3.1397169315318845 0.9938672301252008 0.9938672301252008 0.624588736584393 0.624588736584393 1.0 1.0 1.0 1.0 1.0 1.0 6.25 6.25 12.0 12.0 0 0.0 0 0.0 7.582722177413246 0.00050917327476283 2.4002861568790133 0.09069199743692873 5.991735537190082 0.0024993226165809894 1.896664486592544 0.15006834030726568 4.041451884327381 0.01757194145970389 0.7348094335140692 0.4795968453525094 3.111111111111111 0.04455142624448969 0.5656565656565656 0.5679871034817214 19.81774597565413 2.473217318866237e-09 1.1405896964405255 0.3196304812738335 16.055555555555557 1.0645371411076024e-07 0.924060751398881 0.39690403561804904 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8 5.5 2.2038926600773587 0.40070775637770156 3.0 3.75 5.5 7.25 8.0 17.375 17.375 10.702970215252 10.702970215252 0.6159982857698992 0.6159982857698992 5.0 5.0 8.75 8.75 15.5 15.5 29.0 29.0 30.0 30.0 1.5421434728745913 1.5421434728745913 0.4881605237876404 0.4881605237876404 0.7534458622913991 0.7534458622913991 1.25 1.25 1.8125 1.8125 3.479166666666667 3.479166666666667 3.790178571428571 3.790178571428571 5.666666666666667 5.666666666666667
3 1 3 1.2344394999999508 0.7992579999999805 0.0 2.0336974999999313 2.0336974999999313 2.0336974999999313 2.0336974999999313 0.10168487499999657 0.0 0.0 661.5 666.86328125 20 20 1.0 20 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
4 1 2 3.0948430999998777 1.0438800000000867 0.0 4.1387230999999645 4.661704699999802 6.172420599999896 3.146561999999932 0.07151277272727118 1.6314193000000614 0.03707771136363776 761.40625 769.41015625 44 44 1.0 44 20 20 0.9545454545454546 1.0 0.8964928706233899 1.0 1.0 1.0 1.0 1.0 0.9545454545454546 0.8557431946859632 0.9545454545454546 0.9545454545454546 0.9545454545454546 0.9545454545454546 0.9545454545454546 False 0 0 False 2.2 2.2 2.015727634065883 2.015727634065883 0.9162398336663103 0.9162398336663103 0.6315287755167421 0.6315287755167421 1.0 1.0 1.0 1.0 2.0 2.0 3.0 3.0 10.0 10.0 0 0.0 0 0.0 5.656854249492379 0.0034934892766462066 2.5712973861328994 0.07643631365348508 4.499999999999997 0.011108996538242336 2.045454545454544 0.12932139416380603 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 2.309401076758503 0.09932071923669414 0.10497277621629558 0.9003490331599661 1.3333333333333333 0.26359713811572677 0.0606060606060606 0.9411939401248326 2 6 3.0 0.0 0.0 3.0 3.0 3.0 3.0 3.0 22.0 5.656854249492381 0.25712973861329 18.0 20.0 22.0 24.0 26.0 2 10.0 0.0 0.0 10.0 10.0 10.0 10.0 10.0 22.0 22.0 5.656854249492381 5.656854249492381 0.25712973861329 0.25712973861329 18.0 18.0 20.0 20.0 22.0 22.0 24.0 24.0 26.0 26.0 0.565685424949238 0.565685424949238 0.25712973861328997 0.25712973861328997 0.8503458725994829 0.8503458725994829 1.8 1.8 2.0 2.0 2.2 2.2 2.4 2.4 2.6 2.6
5 1 1 44.19176769999979 41.46512190000021 0.0 85.6568896 18.288939399999776 91.8293101999999 11.612207074999986 0.07589677826797377 10.658388171428587 0.06966266778711495 881.953125 898.5078125 153 153 1.0 0 44 44 0.8431372549019608 0.6451909962797044 0.4029257247047703 0.7292052838851469 1.0 0.7470659956073633 1.0 0.7974189972956892 0.5439845654907312 0.3397216894569632 0.6148201413149278 0.8431372549019608 0.6298791727669926 0.8431372549019608 0.6723336643865615 False 0 0 False 3.477272727272727 3.477272727272727 3.527227228842801 3.527227228842801 1.0143660004515245 1.0143660004515245 0.600942392581916 0.600942392581916 1.0 1.0 1.0 1.0 1.0 1.0 7.0 7.0 12.0 12.0 0 0.0 0 0.0 6.877300516677618 0.0010309232524017425 1.9777857695020602 0.1383752931410058 5.599173553719009 0.0037009210653923307 1.6102198455139634 0.19984367451002835 1.855921454276674 0.15630884484180682 0.3374402644139407 0.7135946004250188 1.3333333333333333 0.26359713811572677 0.2424242424242424 0.7847231940537559 9.188987974744553 0.00010215819908784764 0.48046995946376747 0.6184926570172732 6.388888888888889 0.0016801219668463152 0.3340595497458243 0.7160111426760801 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8 5.5 1.1952286093343936 0.21731429260625337 4.0 4.75 5.5 6.25 7.0 19.125 19.125 9.448166866797873 9.448166866797873 0.4940217969567515 0.4940217969567515 5.0 5.0 13.5 13.5 17.0 17.0 26.75 26.75 33.0 33.0 1.5222711928392079 1.5222711928392079 0.4377773365027788 0.4377773365027788 0.7555197143574857 0.7555197143574857 1.25 1.25 2.3214285714285716 2.3214285714285716 3.45 3.45 4.744047619047619 4.744047619047619 5.2 5.2
6 2 3 1.2261163000001716 0.8461789999999496 0.0 2.072295300000121 2.072295300000121 2.072295300000121 2.072295300000121 0.10361476500000606 0.0 0.0 713.69921875 723.734375 20 20 1.0 20 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
7 2 2 3.062983000000088 0.9855486000002998 0.0 4.048531600000388 4.362351800000454 6.120826900000509 3.1208694000002595 0.0709288500000059 1.8793870000000652 0.042713340909092394 778.9296875 790.078125 44 44 1.0 44 20 20 0.9545454545454546 1.0 0.8996995727015095 1.0 1.0 1.0 1.0 1.0 0.9545454545454546 0.8588041375787137 0.9545454545454546 0.9545454545454546 0.9545454545454546 0.9545454545454546 0.9545454545454546 False 0 0 False 2.2 2.2 2.067289096988207 2.067289096988207 0.9396768622673667 0.9396768622673667 0.6258697243757593 0.6258697243757593 1.0 1.0 1.0 1.0 1.5 1.5 3.0 3.0 10.0 10.0 0 0.0 0 0.0 5.098038838612354 0.006108715001651564 2.3172903811874335 0.09854023065076742 4.349999999999997 0.012906812580479907 1.9772727272727257 0.13844630372404002 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1.1547005383792515 0.3151518986722024 0.05248638810814779 0.948867236846107 0.6666666666666666 0.513417119032592 0.0303030303030303 0.9701515036966302 2 6 3.0 0.0 0.0 3.0 3.0 3.0 3.0 3.0 22.0 2.8284271247461903 0.128564869306645 20.0 21.0 22.0 23.0 24.0 2 10.0 0.0 0.0 10.0 10.0 10.0 10.0 10.0 22.0 22.0 2.8284271247461903 2.8284271247461903 0.128564869306645 0.128564869306645 20.0 20.0 21.0 21.0 22.0 22.0 23.0 23.0 24.0 24.0 0.28284271247461895 0.28284271247461895 0.12856486930664496 0.12856486930664496 0.9168555592345269 0.9168555592345269 2.0 2.0 2.1 2.1 2.2 2.2 2.3 2.3 2.4 2.4
8 2 1 41.635857800000224 20.37851300000034 0.0 62.01437080000056 18.134868000000495 68.13519770000107 8.651560100000147 0.05885415034013705 7.2968018285715255 0.04963810767735732 868.71484375 914.16796875 147 147 1.0 0 44 44 0.8775510204081632 0.646637338245881 0.4448709178790825 0.7949177417437404 1.0 0.8408450163278595 1.0 0.8291607848579134 0.5674572560116915 0.39039692793470504 0.6975808754077721 0.8775510204081632 0.7378844020836317 0.8775510204081632 0.7276308928344954 False 0 0 False 3.340909090909091 3.340909090909091 3.205686675473881 3.205686675473881 0.959525263407148 0.959525263407148 0.6204107830712478 0.6204107830712478 1.0 1.0 1.0 1.0 1.0 1.0 7.0 7.0 12.0 12.0 0 0.0 0 0.0 8.99895253316823 0.00012353913948862194 2.693564023533348 0.06763944071545347 7.361570247933884 0.0006352002541419603 2.2034632034632033 0.11042008818840755 1.1055415967851334 0.3310315480607492 0.20100756305184245 0.8179062456631291 0.8888888888888888 0.41111229050718745 0.1616161616161616 0.850767699174311 11.485195785106244 1.0281177259307154e-05 0.6250446685772105 0.5352375196865333 9.5 7.48518298877006e-05 0.5170068027210885 0.5963027311389592 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8 5.5 0.5345224838248488 0.09718590614997251 5.0 5.0 5.5 6.0 6.0 18.375 18.375 8.863045268335902 8.863045268335902 0.482342599637328 0.482342599637328 6.0 6.0 11.5 11.5 20.0 20.0 25.5 25.5 29.0 29.0 1.5314429340714788 1.5314429340714788 0.4583910823071093 0.4583910823071093 0.7545605374765274 0.7545605374765274 1.1666666666666667 1.1666666666666667 2.25 2.25 3.65 3.65 4.583333333333333 4.583333333333333 5.0 5.0
9 3 3 1.2228117999999313 0.7910837000000583 0.0 2.0138954999999896 2.0138954999999896 2.0138954999999896 2.0138954999999896 0.10069477499999949 0.0 0.0 773.4375 780.48046875 20 20 1.0 20 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
10 3 2 3.0361914000001207 1.3223559000002183 0.0 4.358547300000339 5.704977700000143 6.372442800000329 3.3103570000001525 0.07881802380952745 0.9157363000001624 0.021803245238099105 995.4609375 1009.7421875 42 42 1.0 42 20 20 1.0 0.9288174176776531 0.8847421376479269 1.0 1.0 1.0 1.0 0.9762724725592177 0.9288174176776531 0.8847421376479269 1.0 1.0 1.0 1.0 0.9762724725592177 False 0 0 False 2.1 2.1 2.0235456115702615 2.0235456115702615 0.9635931483667911 0.9635931483667911 0.6306645303152281 0.6306645303152281 1.0 1.0 1.0 1.0 1.5 1.5 2.25 2.25 10.0 10.0 0 0.0 0 0.0 7.648202403179455 0.0004769006340297391 3.642001144371169 0.0261998617650753 6.999999999999998 0.0009118819655545179 3.333333333333332 0.03567399334725244 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 5.773502691896258 0.0031088490803959454 0.27492869961410754 0.759626282941249 3.3333333333333335 0.035673993347252395 0.15873015873015875 0.8532265636477703 2 6 3.0 0.0 0.0 3.0 3.0 3.0 3.0 3.0 21.0 14.142135623730951 0.6734350297014738 11.0 16.0 21.0 26.0 31.0 2 10.0 0.0 0.0 10.0 10.0 10.0 10.0 10.0 21.0 21.0 14.142135623730951 14.142135623730951 0.6734350297014738 0.6734350297014738 11.0 11.0 16.0 16.0 21.0 21.0 26.0 26.0 31.0 31.0 1.4142135623730951 1.4142135623730951 0.6734350297014738 0.6734350297014738 0.705790268776614 0.705790268776614 1.1 1.1 1.6 1.6 2.1 2.1 2.6 2.6 3.1 3.1
