 RU AL GT ST OT TT LT CT WT WT_PA MET MET_PA RSS VMS LE AC CF PSG SIZE SGLITS_T QL_SCORE LT_SCORE CT_SCORE AW_SCORE AW_PA_SCORE AME_SCORE AME_PA_SCORE TI_SCORE LT_GRADE CT_GRADE AW_GRADE AW_PA_GRADE AME_GRADE AME_PA_GRADE GRADE HAS_TRAILING TOT_CHOICES PRE_CHOICES FGOALS_ORDER CP_EF_L CP_EF_A SP_ED_L SP_ED_A SP_EB_L SP_EB_A SP_EBS_L SP_EBS_A SP_MIN_L SP_MIN_A SP_LOWER_L SP_LOWER_A SP_MED_L SP_MED_A SP_UPPER_L SP_UPPER_A SP_MAX_L SP_MAX_A T_INTER_SP P_INTER_SP T_INTER_Q P_INTER_Q M_CHILD_RMSE M_CHILD_RMSE_SCORE M_CHILD_NRMSE M_CHILD_NRMSE_SCORE M_CHILD_MAE M_CHILD_MAE_SCORE M_CHILD_NMAE M_CHILD_NMAE_SCORE DIV_INDEX_RMSE DIV_INDEX_RMSE_SCORE DIV_INDEX_NRMSE DIV_INDEX_NRMSE_SCORE DIV_INDEX_MAE DIV_INDEX_MAE_SCORE DIV_INDEX_NMAE DIV_INDEX_NMAE_SCORE DIV_STEP_RMSE DIV_STEP_RMSE_SCORE DIV_STEP_NRMSE DIV_STEP_NRMSE_SCORE DIV_STEP_MAE DIV_STEP_MAE_SCORE DIV_STEP_NMAE DIV_STEP_NMAE_SCORE DS_T DIVS_T DS_TD_MEAN DS_TD_STD DS_TD_CD DS_TD_MIN DS_TD_LOWER DS_TD_MED DS_TD_UPPER DS_TD_MAX DS_TS_MEAN DS_TS_STD DS_TS_CD DS_TS_MIN DS_TS_LOWER DS_TS_MED DS_TS_UPPER DS_TS_MAX PR_T PR_TS_MEAN PR_TS_STD PR_TS_CD PR_TS_MIN PR_TS_LOWER PR_TS_MED PR_TS_UPPER PR_TS_MAX PP_LE_MEAN PP_AC_MEAN PP_LE_STD PP_AC_STD PP_LE_CD PP_AC_CD PP_LE_MIN PP_AC_MIN PP_LE_LOWER PP_AC_LOWER PP_LE_MED PP_AC_MED PP_LE_UPPER PP_AC_UPPER PP_LE_MAX PP_AC_MAX PP_ED_L PP_ED_A PP_EB_L PP_EB_A PP_EBS_L PP_EBS_A PP_EF_LE_MIN PP_EF_AC_MIN PP_EF_LE_LOWER PP_EF_AC_LOWER PP_EF_LE_MED PP_EF_AC_MED PP_EF_LE_UPPER PP_EF_AC_UPPER PP_EF_LE_MAX PP_EF_AC_MAX
0 0 3 3.6740303000000836 120.6042139000001 0.0 124.27824420000019 124.27824420000019 124.27824420000019 124.27824420000019 4.285456696551731 0.0 0.0 461.0859375 459.0390625 29 29 1.0 29 1 0 1.0 0.3609791264904755 0.3609791264904755 0.3609791264904755 0.8058543147970866 1.0 1.0 0.7869930421634919 0.3609791264904755 0.3609791264904755 0.3609791264904755 0.8058543147970866 1.0 1.0 0.3609791264904755 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 3 3.0 0.0 0.0 3.0 3.0 3.0 3.0 3.0 29.0 0.0 0.0 29.0 29.0 29.0 29.0 29.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 0 2 6.5766289999999685 2.8810505000000717 0.0 9.45767950000004 128.61129960000022 133.73592370000023 33.461914200000066 0.6083984400000012 1.7454524000000144 0.03173549818181844 446.32421875 455.12109375 55 55 1.0 55 29 29 1.0 0.35625744937937454 0.35088068818434914 0.5486519306421973 1.0 1.0 1.0 0.7854191497931249 0.35625744937937454 0.35088068818434914 0.5486519306421973 1.0 1.0 1.0 0.7854191497931249 False 0 0 False 1.896551724137931 1.896551724137931 1.8582793036686787 1.8582793036686787 0.9798199964798487 0.9798199964798487 0.6881118099733836 0.6881118099733836 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 10.0 10.0 0 0.0 0 0.0 8.127404062155165 0.0002953338749374014 4.285358505499996 0.013768684487254079 7.517241379310343 0.0005436301686676238 3.963636363636363 0.018993919760491588 0.4183300132670378 0.6581449960016927 0.05770069148510866 0.9439324321740779 0.3 0.7408182206817179 0.041379310344827586 0.9594651258691634 5.610258461069329 0.003660123236102989 0.4080187971686785 0.664966379219728 4.3 0.013568559012200934 0.3127272727272727 0.7314493715609361 4 12 3.0 0.0 0.0 3.0 3.0 3.0 3.0 3.0 13.75 5.909032633745278 0.4297478279087475 8.0 11.0 12.5 15.25 22.0 4 7.25 0.5 0.06896551724137931 7.0 7.0 7.0 7.25 8.0 13.75 13.75 5.909032633745278 5.909032633745278 0.4297478279087475 0.4297478279087475 8.0 8.0 11.0 11.0 12.5 12.5 15.25 15.25 22.0 22.0 0.8921425711997711 0.8921425711997711 0.4704024466326066 0.4704024466326066 0.8106166328279 0.8106166328279 1.0 1.0 1.5357142857142856 1.5357142857142856 1.7857142857142856 1.7857142857142856 2.178571428571429 2.178571428571429 3.142857142857143 3.142857142857143
2 0 1 15.701608699999952 3.8234346000000414 0.0 19.525043299999993 130.44272230000018 153.26096700000022 9.635165893750031 0.11074903326149461 1.5813288000000207 0.018176193103448514 436.4765625 437.63671875 87 87 1.0 0 55 55 0.9770114942528736 0.35431094192800194 0.33217687689755515 0.7693260073937959 1.0 1.0 1.0 0.7847703139760006 0.3461658628032203 0.3245406268539332 0.7516403520514098 0.9770114942528736 0.9770114942528736 0.9770114942528736 0.7667296171029891 False 0 0 False 1.5818181818181818 1.5818181818181818 0.9562834906439169 0.9562834906439169 0.6045470343151199 0.6045470343151199 0.8325453702101309 0.8325453702101309 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 0 0.0 0 0.0 3.5523010817224683 0.0286586179008036 2.2457075803992614 0.10585261463335376 3.1272727272727283 0.043837190343651106 1.9770114942528743 0.13848247519443466 5.564957322388016 0.003829743986084923 1.6188966756037866 0.19811716604409407 4.852941176470588 0.007805386735968143 1.4117647058823528 0.24371282199589905 11.524829333941158 9.881667017781014e-06 2.1195088430236613 0.12009059736347752 10.029411764705882 4.408408324958689e-05 1.8444895199459095 0.1581060102574074 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 16 3.4375 1.3647344063956182 0.3970136454969071 2.0 2.75 3.0 4.25 6.0 5.4375 5.4375 3.1404617494884413 3.1404617494884413 0.5775561838139662 0.5775561838139662 2.0 2.0 3.0 3.0 4.0 4.0 7.25 7.25 12.0 12.0 0.41192721174714564 0.41192721174714564 0.2604137545527932 0.2604137545527932 0.9139189151380338 0.9139189151380338 1.0 1.0 1.25 1.25 1.5 1.5 1.7708333333333333 1.7708333333333333 2.4 2.4
3 1 3 3.6685469999999896 170.37241739999956 0.0 174.04096439999955 174.04096439999955 174.04096439999955 174.04096439999955 6.001412565517226 0.0 0.0 519.046875 518.1328125 29 29 1.0 29 1 0 1.0 0.3147874545253171 0.3147874545253171 0.3147874545253171 0.760925242961564 1.0 1.0 0.7715958181751057 0.3147874545253171 0.3147874545253171 0.3147874545253171 0.760925242961564 1.0 1.0 0.3147874545253171 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 3 3.0 0.0 0.0 3.0 3.0 3.0 3.0 3.0 29.0 0.0 0.0 29.0 29.0 29.0 29.0 29.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
4 1 2 6.653792599999974 3.0612609999998313 0.0 9.715053599999806 178.67612559999964 183.75601799999936 45.96638699999977 0.8357524909090868 1.7298074666664813 0.03145104484848148 529.2890625 534.15625 55 55 1.0 55 29 29 1.0 0.31119943200402655 0.30737490167609105 0.5014544623568019 1.0 1.0 1.0 0.7703998106680089 0.31119943200402655 0.30737490167609105 0.5014544623568019 1.0 1.0 1.0 0.7703998106680089 False 0 0 False 1.896551724137931 1.896551724137931 1.7996989348659502 1.7996989348659502 0.9489321656565919 0.9489321656565919 0.6942615261273042 0.6942615261273042 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 10.0 10.0 0 0.0 0 0.0 9.155610743451927 0.00010562549948437884 4.82750384654738 0.008006481750439954 8.379310344827585 0.00022956821377998992 4.418181818181818 0.01205613261041348 0.4183300132670378 0.6581449960016927 0.05770069148510866 0.9439324321740779 0.3 0.7408182206817179 0.041379310344827586 0.9594651258691634 7.083431371870557 0.0008388896616626717 0.5151586452269495 0.5974058115194437 5.3 0.004991593906910217 0.38545454545454544 0.680141410744696 4 12 3.0 0.0 0.0 3.0 3.0 3.0 3.0 3.0 13.75 7.22841614740048 0.5257029925382167 8.0 8.0 12.0 17.75 23.0 4 7.25 0.5 0.06896551724137931 7.0 7.0 7.0 7.25 8.0 13.75 13.75 7.22841614740048 7.22841614740048 0.5257029925382167 0.5257029925382167 8.0 8.0 8.0 8.0 12.0 12.0 17.75 17.75 23.0 23.0 1.0722219284950192 1.0722219284950192 0.5653533804791919 0.5653533804791919 0.7836182314247421 0.7836182314247421 1.0 1.0 1.1071428571428572 1.1071428571428572 1.7142857142857142 1.7142857142857142 2.5357142857142856 2.5357142857142856 3.2857142857142856 3.2857142857142856
5 1 1 15.817034299999818 4.109062800000629 0.0 19.926097100000447 180.5755965999997 203.6821150999998 12.779884331249981 0.14689522219827564 1.5935035133333335 0.018316132337164753 505.13671875 498.62109375 87 87 1.0 0 55 55 0.9770114942528736 0.30975650156358914 0.29334973812072773 0.7101659560166317 1.0 1.0 1.0 0.7699188338545297 0.3026356624471848 0.28660606598002136 0.6938403018553299 0.9770114942528736 0.9770114942528736 0.9770114942528736 0.752219550317644 False 0 0 False 1.5818181818181818 1.5818181818181818 1.165728338388734 1.165728338388734 0.736954696682533 0.736954696682533 0.8071643449345592 0.8071643449345592 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 7.0 7.0 0 0.0 0 0.0 3.7728477527312525 0.02298651009498086 2.385133636784125 0.09207667392645907 3.290909090909093 0.037219997649889806 2.0804597701149437 0.12487278622294526 7.255195906869698 0.0007064939587231303 2.110602445634821 0.1211649491464106 6.147058823529412 0.002139765953336079 1.7882352941176471 0.16725506538614582 14.12750498350022 7.319856086444031e-07 2.5981618360460175 0.07441023078497822 11.911764705882353 6.710985778774017e-06 2.1906693711967544 0.1118418598363627 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 16 3.4375 1.631716887208072 0.47468127627871187 2.0 2.0 3.0 4.25 6.0 5.4375 5.4375 3.346017533327244 3.346017533327244 0.6153595463590333 0.6153595463590333 2.0 2.0 3.0 3.0 4.0 4.0 8.0 8.0 12.0 12.0 0.3157882553582736 0.3157882553582736 0.19963625338741434 0.19963625338741434 0.9315165704751104 0.9315165704751104 1.0 1.0 1.4375 1.4375 1.5 1.5 1.6375000000000002 1.6375000000000002 2.0 2.0
6 2 3 3.656359099999804 155.60772830000008 0.0 159.26408739999988 159.26408739999988 159.26408739999988 159.26408739999988 5.491865082758617 0.0 0.0 516.01953125 513.1328125 29 29 1.0 29 1 0 1.0 0.32691625307894123 0.32691625307894123 0.32691625307894123 0.7727625388243466 1.0 1.0 0.7756387510263137 0.32691625307894123 0.32691625307894123 0.32691625307894123 0.7727625388243466 1.0 1.0 0.32691625307894123 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 3 3.0 0.0 0.0 3.0 3.0 3.0 3.0 3.0 29.0 0.0 0.0 29.0 29.0 29.0 29.0 29.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
7 2 2 6.651080699999966 3.342269700000088 0.0 9.993350400000054 163.97198589999982 169.25743779999993 42.34221087499995 0.7698583795454537 1.7989525333333252 0.03270822787878773 540.7734375 544.6484375 55 55 1.0 55 29 29 1.0 0.32293105024648816 0.31859436911483985 0.5135039696627232 1.0 1.0 1.0 0.7743103500821628 0.32293105024648816 0.31859436911483985 0.5135039696627232 1.0 1.0 1.0 0.7743103500821628 False 0 0 False 1.896551724137931 1.896551724137931 1.9520104578577973 1.9520104578577973 1.0292418777795658 1.0292418777795658 0.6785294479543681 0.6785294479543681 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 10.0 10.0 0 0.0 0 0.0 9.492534146287303 7.541275398294742e-05 5.005154368042396 0.006703306492055861 8.655172413793103 0.00017422335825883207 4.5636363636363635 0.010424084179594041 0.4183300132670378 0.6581449960016927 0.05770069148510866 0.9439324321740779 0.3 0.7408182206817179 0.041379310344827586 0.9594651258691634 7.083431371870557 0.0008388896616626717 0.5151586452269495 0.5974058115194437 5.3 0.004991593906910217 0.38545454545454544 0.680141410744696 4 12 3.0 0.0 0.0 3.0 3.0 3.0 3.0 3.0 13.75 7.22841614740048 0.5257029925382167 8.0 8.0 12.0 17.75 23.0 4 7.25 0.5 0.06896551724137931 7.0 7.0 7.0 7.25 8.0 13.75 13.75 7.22841614740048 7.22841614740048 0.5257029925382167 0.5257029925382167 8.0 8.0 8.0 8.0 12.0 12.0 17.75 17.75 23.0 23.0 1.0722219284950192 1.0722219284950192 0.5653533804791919 0.5653533804791919 0.7836182314247421 0.7836182314247421 1.0 1.0 1.1071428571428572 1.1071428571428572 1.7142857142857142 1.7142857142857142 2.5357142857142856 2.5357142857142856 3.2857142857142856 3.2857142857142856
8 2 1 15.81232470000009 3.765919400000257 0.0 19.578244100000347 165.81453529999987 188.83568190000028 11.852253112500009 0.1362327943965518 1.588100966666684 0.01825403409961706 524.83984375 517.74609375 87 87 1.0 0 55 55 0.9770114942528736 0.3214031922373467 0.3036571253260204 0.725063173985193 1.0 1.0 1.0 0.7738010640791155 0.3140146131054537 0.2966765017553073 0.7083950550430047 0.9770114942528736 0.9770114942528736 0.9770114942528736 0.7560125338704002 False 0 0 False 1.5818181818181818 1.5818181818181818 1.165728338388734 1.165728338388734 0.736954696682533 0.736954696682533 0.8071643449345592 0.8071643449345592 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 7.0 7.0 0 0.0 0 0.0 3.8122898262079015 0.022097521496928462 2.41006828093603 0.089809162109232 3.381818181818184 0.03398560651413849 2.1379310344827602 0.11789851882642252 7.255195906869698 0.0007064939587231303 2.110602445634821 0.1211649491464106 6.147058823529412 0.002139765953336079 1.7882352941176471 0.16725506538614582 14.162073938350066 7.071140007088134e-07 2.60451934498392 0.07393866764941492 12.029411764705882 5.966131892809255e-06 2.2123056118999322 0.1094480127467955 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 16 3.4375 1.631716887208072 0.47468127627871187 2.0 2.0 3.0 4.25 6.0 5.4375 5.4375 3.346017533327244 3.346017533327244 0.6153595463590333 0.6153595463590333 2.0 2.0 3.0 3.0 4.0 4.0 8.0 8.0 12.0 12.0 0.3157882553582736 0.3157882553582736 0.19963625338741434 0.19963625338741434 0.9315165704751104 0.9315165704751104 1.0 1.0 1.4375 1.4375 1.5 1.5 1.6375000000000002 1.6375000000000002 2.0 2.0
9 3 3 3.6625470999999834 109.64105479999955 0.0 113.30360189999953 113.30360189999953 113.30360189999953 113.30360189999953 3.9070207551723977 0.0 0.0 536.234375 533.27734375 29 29 1.0 29 1 0 1.0 0.37374383546424184 0.37374383546424184 0.37374383546424184 0.8181885794829142 1.0 1.0 0.7912479451547473 0.37374383546424184 0.37374383546424184 0.37374383546424184 0.8181885794829142 1.0 1.0 0.37374383546424184 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 3 3.0 0.0 0.0 3.0 3.0 3.0 3.0 3.0 29.0 0.0 0.0 29.0 29.0 29.0 29.0 29.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
