 RU AL GT ST OT TT LT CT WT WT_PA MET MET_PA RSS VMS LE AC CF PSG SIZE SGLITS_T QL_SCORE LT_SCORE CT_SCORE AW_SCORE AW_PA_SCORE AME_SCORE AME_PA_SCORE TI_SCORE LT_GRADE CT_GRADE AW_GRADE AW_PA_GRADE AME_GRADE AME_PA_GRADE GRADE HAS_TRAILING TOT_CHOICES PRE_CHOICES FGOALS_ORDER CP_EF_L CP_EF_A SP_ED_L SP_ED_A SP_EB_L SP_EB_A SP_EBS_L SP_EBS_A SP_MIN_L SP_MIN_A SP_LOWER_L SP_LOWER_A SP_MED_L SP_MED_A SP_UPPER_L SP_UPPER_A SP_MAX_L SP_MAX_A T_INTER_SP P_INTER_SP T_INTER_Q P_INTER_Q M_CHILD_RMSE M_CHILD_RMSE_SCORE M_CHILD_NRMSE M_CHILD_NRMSE_SCORE M_CHILD_MAE M_CHILD_MAE_SCORE M_CHILD_NMAE M_CHILD_NMAE_SCORE DIV_INDEX_RMSE DIV_INDEX_RMSE_SCORE DIV_INDEX_NRMSE DIV_INDEX_NRMSE_SCORE DIV_INDEX_MAE DIV_INDEX_MAE_SCORE DIV_INDEX_NMAE DIV_INDEX_NMAE_SCORE DIV_STEP_RMSE DIV_STEP_RMSE_SCORE DIV_STEP_NRMSE DIV_STEP_NRMSE_SCORE DIV_STEP_MAE DIV_STEP_MAE_SCORE DIV_STEP_NMAE DIV_STEP_NMAE_SCORE DS_T DIVS_T DS_TD_MEAN DS_TD_STD DS_TD_CD DS_TD_MIN DS_TD_LOWER DS_TD_MED DS_TD_UPPER DS_TD_MAX DS_TS_MEAN DS_TS_STD DS_TS_CD DS_TS_MIN DS_TS_LOWER DS_TS_MED DS_TS_UPPER DS_TS_MAX PR_T PR_TS_MEAN PR_TS_STD PR_TS_CD PR_TS_MIN PR_TS_LOWER PR_TS_MED PR_TS_UPPER PR_TS_MAX PP_LE_MEAN PP_AC_MEAN PP_LE_STD PP_AC_STD PP_LE_CD PP_AC_CD PP_LE_MIN PP_AC_MIN PP_LE_LOWER PP_AC_LOWER PP_LE_MED PP_AC_MED PP_LE_UPPER PP_AC_UPPER PP_LE_MAX PP_AC_MAX PP_ED_L PP_ED_A PP_EB_L PP_EB_A PP_EBS_L PP_EBS_A PP_EF_LE_MIN PP_EF_AC_MIN PP_EF_LE_LOWER PP_EF_AC_LOWER PP_EF_LE_MED PP_EF_AC_MED PP_EF_LE_UPPER PP_EF_AC_UPPER PP_EF_LE_MAX PP_EF_AC_MAX
0 0 3 3.6537415000000806 140.25532849999985 0.0 143.90906999999993 143.90906999999993 143.90906999999993 143.90906999999993 4.962381724137929 0.0 0.0 487.29296875 484.59375 29 29 1.0 29 1 0 1.0 0.3408091438105758 0.3408091438105758 0.3408091438105758 0.7862881931960347 1.0 1.0 0.7802697146035252 0.3408091438105758 0.3408091438105758 0.3408091438105758 0.7862881931960347 1.0 1.0 0.3408091438105758 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 3 3.0 0.0 0.0 3.0 3.0 3.0 3.0 3.0 29.0 0.0 0.0 29.0 29.0 29.0 29.0 29.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 0 2 7.504465000000323 2.128781400000207 0.025062700000376026 9.658309100000906 148.13892680000038 153.56737910000084 38.419489225000206 0.6985361677272764 1.8463433666668152 0.03356987939394209 472.02734375 470.01953125 55 55 1.0 55 29 29 1.0 0.33683546284665045 0.33190327996167845 0.527902988512037 1.0 1.0 1.0 0.7789451542822168 0.33683546284665045 0.33190327996167845 0.527902988512037 1.0 1.0 1.0 0.7789451542822168 False 0 0 False 1.896551724137931 1.896551724137931 1.819435304589368 1.819435304589368 0.9593386151471214 0.9593386151471214 0.6921753624769453 0.6921753624769453 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 10.0 10.0 7 0.2413793103448276 19 0.34545454545454546 7.8404876210318015 0.00039347712614586387 4.134075291089495 0.016017469780797974 7.137931034482758 0.0007943939711231168 3.7636363636363632 0.023199225983737373 0.4183300132670378 0.6581449960016927 0.05770069148510866 0.9439324321740779 0.3 0.7408182206817179 0.041379310344827586 0.9594651258691634 5.4198708471697 0.004427718463276228 0.39417242524870544 0.6742377905984356 4.1 0.016572675401761255 0.29818181818181816 0.7421663881365204 4 4 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 13.75 5.737304826019502 0.4172585328014183 9.0 10.5 12.0 15.25 22.0 4 7.25 0.5 0.06896551724137931 7.0 7.0 7.0 7.25 8.0 13.75 13.75 5.737304826019502 5.737304826019502 0.4172585328014183 0.4172585328014183 9.0 9.0 10.5 10.5 12.0 12.0 15.25 15.25 22.0 22.0 0.8665622075326211 0.8665622075326211 0.4569146185172002 0.4569146185172002 0.8146588898726828 0.8146588898726828 1.125 1.125 1.4598214285714286 1.4598214285714286 1.7142857142857144 1.7142857142857144 2.178571428571429 2.178571428571429 3.142857142857143 3.142857142857143
2 0 1 18.749399500000322 5.7640010000000075 0.04662509999980102 24.56002560000013 154.37565480000023 178.12740470000097 22.319608000000102 0.24527041758241871 3.45445845714294 0.037961081946625716 513.68359375 525.73046875 91 91 1.0 0 55 55 0.9340659340659341 0.3311842470813088 0.3116191890022839 0.6120397986686186 1.0 1.0 1.0 0.7770614156937696 0.3093479230979258 0.2910728688482872 0.5716855262289294 0.9340659340659341 0.9340659340659341 0.9340659340659341 0.725826597076598 False 0 0 False 1.6545454545454545 1.6545454545454545 1.1897429199151452 1.1897429199151452 0.7190753911575054 0.7190753911575054 0.8044125325890987 0.8044125325890987 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 7.0 7.0 10 0.18181818181818182 12 0.13186813186813187 3.861828454018181 0.021029512850936148 2.334072142538461 0.09690035054093404 3.3553719008264467 0.03489638974500664 2.0279720279720284 0.13160213616418337 5.306573491644323 0.0049588893155162765 0.7718652351482651 0.4621502449964488 4.388888888888889 0.012414515466073124 0.6383838383838384 0.5281453028286163 11.59471862530523 9.21462533988243e-06 1.0193159231037565 0.36084169923201576 9.722222222222221 5.993665986784813e-05 0.8547008547008547 0.4254104315804415 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8 6.875 2.6958963523950885 0.39213037853019467 4.0 5.0 6.0 8.0 11.0 11.375 11.375 6.523309852258394 6.523309852258394 0.5734777892095292 0.5734777892095292 5.0 5.0 6.0 6.0 9.5 9.5 15.0 15.0 21.0 21.0 0.3677849777463556 0.3677849777463556 0.22228762391263251 0.22228762391263251 0.9218451243359382 0.9218451243359382 1.0 1.0 1.2375 1.2375 1.7166666666666668 1.7166666666666668 1.8701298701298703 1.8701298701298703 1.9090909090909092 1.9090909090909092
3 1 3 3.656329199999959 127.44371839999963 0.0 131.10004759999958 131.10004759999958 131.10004759999958 131.10004759999958 4.52069129655171 0.0 0.0 495.1796875 492.890625 29 29 1.0 29 1 0 1.0 0.35361917937679 0.35361917937679 0.35361917937679 0.7987250374743518 1.0 1.0 0.78453972645893 0.35361917937679 0.35361917937679 0.35361917937679 0.7987250374743518 1.0 1.0 0.35361917937679 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 3 3.0 0.0 0.0 3.0 3.0 3.0 3.0 3.0 29.0 0.0 0.0 29.0 29.0 29.0 29.0 29.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
4 1 2 7.605355200000076 2.429134399999839 0.02501590000088072 10.059505500000796 135.57314389999976 141.15955310000038 35.317673150000076 0.6421395118181832 1.8991829000001796 0.03453059818182145 503.3671875 503.21484375 55 55 1.0 55 29 29 1.0 0.3490046535809921 0.3434570967392012 0.5405025278540714 1.0 1.0 1.0 0.783001551193664 0.3490046535809921 0.3434570967392012 0.5405025278540714 1.0 1.0 1.0 0.783001551193664 False 0 0 False 1.896551724137931 1.896551724137931 1.739146498105298 1.739146498105298 0.9170045171827935 0.9170045171827935 0.7007550195443079 0.7007550195443079 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 10.0 10.0 7 0.2413793103448276 14 0.2545454545454545 9.076042865823144 0.00011437330366496482 4.785549874706748 0.008349531289350978 8.310344827586206 0.0002459592152149088 4.381818181818182 0.012502605932293825 0.4183300132670378 0.6581449960016927 0.05770069148510866 0.9439324321740779 0.3 0.7408182206817179 0.041379310344827586 0.9594651258691634 7.083431371870557 0.0008388896616626717 0.5151586452269495 0.5974058115194437 5.3 0.004991593906910217 0.38545454545454544 0.680141410744696 4 4 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 13.75 7.22841614740048 0.5257029925382167 8.0 8.0 12.0 17.75 23.0 4 7.25 0.5 0.06896551724137931 7.0 7.0 7.0 7.25 8.0 13.75 13.75 7.22841614740048 7.22841614740048 0.5257029925382167 0.5257029925382167 8.0 8.0 8.0 8.0 12.0 12.0 17.75 17.75 23.0 23.0 1.0722219284950192 1.0722219284950192 0.5653533804791919 0.5653533804791919 0.7836182314247421 0.7836182314247421 1.0 1.0 1.1071428571428572 1.1071428571428572 1.7142857142857142 1.7142857142857142 2.5357142857142856 2.5357142857142856 3.2857142857142856 3.2857142857142856
5 1 1 18.654578899999933 5.382456899999852 0.046433900000465655 24.08346970000025 141.76178939999932 165.24302280000063 20.709288237500076 0.23268863188202332 3.41607378571447 0.03838285152488168 525.36328125 535.74609375 89 89 1.0 0 55 55 0.9550561797752809 0.3428725945732908 0.32187522618966746 0.624314723634531 1.0 1.0 1.0 0.7809575315244303 0.3274625903228058 0.30740892388900826 0.5962556349318554 0.9550561797752809 0.9550561797752809 0.9550561797752809 0.7458583166244559 False 0 0 False 1.6181818181818182 1.6181818181818182 1.2246074063402115 1.2246074063402115 0.7567798578506925 0.7567798578506925 0.8004706829949756 0.8004706829949756 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 8.0 8.0 14 0.2545454545454545 22 0.24719101123595505 4.661252270288826 0.009454615251569643 2.8805491557964658 0.05610394456652976 4.021487603305785 0.01792627790429256 2.485188968335036 0.0833098101084246 7.135104920197195 0.0007966421946452142 1.0378334429377738 0.3542212918483197 5.833333333333333 0.0029282996948181888 0.8484848484848484 0.42806302118317596 14.765528549067701 3.8673406561933847e-07 1.3272385212645126 0.26520861898250436 12.055555555555555 5.8121758546047424e-06 1.083645443196005 0.33835980319307096 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8 6.875 3.3567628964311944 0.4882564212990828 4.0 4.0 6.0 8.75 12.0 11.125 11.125 6.978282637685906 6.978282637685906 0.6272613606908679 0.6272613606908679 5.0 5.0 5.0 5.0 9.5 9.5 15.0 15.0 21.0 21.0 0.2522588331262172 0.2522588331262172 0.15589029013417918 0.15589029013417918 0.9438656641120327 0.9438656641120327 1.25 1.25 1.25 1.25 1.5625 1.5625 1.65625 1.65625 1.9090909090909092 1.9090909090909092
6 2 3 3.6531518999996706 172.55952700000023 0.0 176.2126788999999 176.2126788999999 176.2126788999999 176.2126788999999 6.07629927241379 0.0 0.0 533.3203125 532.63671875 29 29 1.0 29 1 0 1.0 0.3130943357065791 0.3130943357065791 0.3130943357065791 0.7592707969790278 1.0 1.0 0.7710314452355264 0.3130943357065791 0.3130943357065791 0.3130943357065791 0.7592707969790278 1.0 1.0 0.3130943357065791 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 3 3.0 0.0 0.0 3.0 3.0 3.0 3.0 3.0 29.0 0.0 0.0 29.0 29.0 29.0 29.0 29.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
7 2 2 7.589479200000483 2.454157800000189 0.025088400000186084 10.068725400000858 180.7349521000002 186.28140430000076 46.59803812500019 0.8472370568181852 1.8857334666668446 0.03428606303030626 550.15234375 551.48828125 55 55 1.0 55 29 29 1.0 0.30963615396205213 0.3055136360493663 0.49946138292612063 1.0 1.0 1.0 0.7698787179873507 0.30963615396205213 0.3055136360493663 0.49946138292612063 1.0 1.0 1.0 0.7698787179873507 False 0 0 False 1.896551724137931 1.896551724137931 1.8582793036686787 1.8582793036686787 0.9798199964798487 0.9798199964798487 0.6881118099733836 0.6881118099733836 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 10.0 10.0 6 0.20689655172413793 13 0.23636363636363636 8.916043869775015 0.00013421818045342268 4.701186767699554 0.009084489523054098 8.137931034482758 0.00029224121016673514 4.29090909090909 0.013692471935843895 0.4183300132670378 0.6581449960016927 0.05770069148510866 0.9439324321740779 0.3 0.7408182206817179 0.041379310344827586 0.9594651258691634 6.93361377637953 0.0009744729703147499 0.5042628201003294 0.603950631629673 5.1 0.006096746565515638 0.3709090909090909 0.6901066756777111 4 4 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 13.75 7.274384280931732 0.5290461295223078 7.0 8.5 12.5 17.75 23.0 4 7.25 0.5 0.06896551724137931 7.0 7.0 7.0 7.25 8.0 13.75 13.75 7.274384280931732 7.274384280931732 0.5290461295223078 0.5290461295223078 7.0 7.0 8.5 8.5 12.5 12.5 17.75 17.75 23.0 23.0 1.0766119657657218 1.0766119657657218 0.5676681274037443 0.5676681274037443 0.7829897520276684 0.7829897520276684 1.0 1.0 1.09375 1.09375 1.7053571428571428 1.7053571428571428 2.5357142857142856 2.5357142857142856 3.2857142857142856 3.2857142857142856
8 2 1 17.730323899999803 5.056805600000644 0.04674579999971229 22.83387530000016 186.13015810000013 209.11527960000092 26.193097137500104 0.30107008204023106 3.344945571428671 0.038447650246306565 588.03515625 599.3984375 87 87 1.0 0 55 55 0.9770114942528736 0.3056243798197974 0.28976821149795706 0.5864500093547786 1.0 1.0 1.0 0.7685414599399325 0.298598532007848 0.28310687330260176 0.572968399944324 0.9770114942528736 0.9770114942528736 0.9770114942528736 0.7508738401711984 False 0 0 False 1.5818181818181818 1.5818181818181818 0.9367182486965211 0.9367182486965211 0.5921782031989501 0.5921782031989501 0.8350536664344026 0.8350536664344026 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 15 0.2727272727272727 16 0.1839080459770115 3.6039922767090546 0.02721485604356074 2.2783859220574483 0.10244943470702504 3.2545454545454557 0.03859836138626508 2.057471264367817 0.12777667513611649 6.885471822774545 0.001022533586888025 1.001523174221752 0.3673195232244826 5.5 0.004086771438464067 0.8 0.44932896411722156 13.724218253389395 1.0955892041949526e-06 1.2619970807714387 0.28308811177450255 11.055555555555555 1.5799132009380494e-05 1.016602809706258 0.3618220329575089 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8 6.875 3.399054490379851 0.49440792587343285 3.0 4.0 6.5 8.75 12.0 10.875 10.875 6.664136424602537 6.664136424602537 0.6127941539864402 0.6127941539864402 4.0 4.0 5.5 5.5 10.0 10.0 14.5 14.5 21.0 21.0 0.24870713845580927 0.24870713845580927 0.1572286507479254 0.1572286507479254 0.9445744297850883 0.9445744297850883 1.0 1.0 1.3833333333333333 1.3833333333333333 1.5625 1.5625 1.6505681818181819 1.6505681818181819 1.75 1.75
9 3 3 3.660622100000296 142.3082427999999 0.0 145.9688649000002 145.9688649000002 145.9688649000002 145.9688649000002 5.033409134482765 0.0 0.0 556.859375 554.50390625 29 29 1.0 29 1 0 1.0 0.3388593100548577 0.3388593100548577 0.3388593100548577 0.7843921724447175 1.0 1.0 0.7796197700182859 0.3388593100548577 0.3388593100548577 0.3388593100548577 0.7843921724447175 1.0 1.0 0.3388593100548577 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 3 3.0 0.0 0.0 3.0 3.0 3.0 3.0 3.0 29.0 0.0 0.0 29.0 29.0 29.0 29.0 29.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
