 RU AL GT ST OT TT LT CT WT WT_PA MET MET_PA RSS VMS LE AC CF PSG SIZE SGLITS_T QL_SCORE LT_SCORE CT_SCORE AW_SCORE AW_PA_SCORE AME_SCORE AME_PA_SCORE TI_SCORE LT_GRADE CT_GRADE AW_GRADE AW_PA_GRADE AME_GRADE AME_PA_GRADE GRADE HAS_TRAILING TOT_CHOICES PRE_CHOICES FGOALS_ORDER CP_EF_L CP_EF_A SP_ED_L SP_ED_A SP_EB_L SP_EB_A SP_EBS_L SP_EBS_A SP_MIN_L SP_MIN_A SP_LOWER_L SP_LOWER_A SP_MED_L SP_MED_A SP_UPPER_L SP_UPPER_A SP_MAX_L SP_MAX_A T_INTER_SP P_INTER_SP T_INTER_Q P_INTER_Q M_CHILD_RMSE M_CHILD_RMSE_SCORE M_CHILD_MAE M_CHILD_MAE_SCORE M_CHILD_NRMSE M_CHILD_NRMSE_SCORE M_CHILD_NMAE M_CHILD_NMAE_SCORE DIV_INDEX_RMSE DIV_INDEX_RMSE_SCORE DIV_INDEX_MAE DIV_INDEX_MAE_SCORE DIV_INDEX_NRMSE DIV_INDEX_NRMSE_SCORE DIV_INDEX_NMAE DIV_INDEX_NMAE_SCORE DIV_STEP_RMSE DIV_STEP_RMSE_SCORE DIV_STEP_MAE DIV_STEP_MAE_SCORE DIV_STEP_NRMSE DIV_STEP_NRMSE_SCORE DIV_STEP_NMAE DIV_STEP_NMAE_SCORE DIVS_T DS_T DS_TD_MEAN DS_TD_STD DS_TD_CD DS_TD_MIN DS_TD_LOWER DS_TD_MED DS_TD_UPPER DS_TD_MAX DS_TS_MEAN DS_TS_STD DS_TS_CD DS_TS_MIN DS_TS_LOWER DS_TS_MED DS_TS_UPPER DS_TS_MAX PR_T PR_TS_MEAN PR_TS_STD PR_TS_CD PR_TS_MIN PR_TS_LOWER PR_TS_MED PR_TS_UPPER PR_TS_MAX PP_LE_MEAN PP_AC_MEAN PP_LE_STD PP_AC_STD PP_LE_CD PP_AC_CD PP_LE_MIN PP_AC_MIN PP_LE_LOWER PP_AC_LOWER PP_LE_MED PP_AC_MED PP_LE_UPPER PP_AC_UPPER PP_LE_MAX PP_AC_MAX PP_ED_L PP_ED_A PP_EB_L PP_EB_A PP_EBS_L PP_EBS_A PP_EF_LE_MIN PP_EF_AC_MIN PP_EF_LE_LOWER PP_EF_AC_LOWER PP_EF_LE_MED PP_EF_AC_MED PP_EF_LE_UPPER PP_EF_AC_UPPER PP_EF_LE_MAX PP_EF_AC_MAX
0 0 3 1.1353283999999917 0.6954828000000006 0.0 1.8308111999999923 1.8308111999999923 1.8308111999999923 1.8308111999999923 0.09154055999999962 0.0 0.0 254.07421875 244.26171875 20 20 1.0 20 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 5 1 5.0 0.0 0.0 5.0 5.0 5.0 5.0 5.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 0 2 3.6148978000000227 0.6197206000000222 0.009985000000078514 4.244603400000123 2.7617875000000254 6.075414600000116 1.045043666666686 0.020096993589743962 0.7016949000000181 0.01349413269230804 256.6640625 246.02734375 52 52 1.0 52 20 20 0.8076923076923077 1.0 0.9025873050382196 1.0 1.0 1.0 1.0 1.0 0.8076923076923077 0.7290128233001004 0.8076923076923077 0.8076923076923077 0.8076923076923077 0.8076923076923077 0.8076923076923077 False 0 0 False 2.6 2.6 2.623777911012247 2.623777911012247 1.0091453503893257 1.0091453503893257 0.5702162323263451 0.5702162323263451 1.0 1.0 1.0 1.0 1.5 1.5 3.0 3.0 10.0 10.0 3 0.15 3 0.057692307692307696 9.024965373894794 0.00012036697293452416 8.049999999999999 0.00031910192248120386 3.4711405284210746 0.031081561034116207 3.096153846153846 0.04522280218836557 0.7346308866924534 0.47968248348988524 0.5714285714285717 0.5647181220077591 0.220389266007736 0.8022064654680181 0.1714285714285715 0.8424604416167714 5.868938953886338 0.002825870122379924 4.571428571428572 0.010343173196618241 0.6771852639099621 0.508044994279282 0.5274725274725276 0.5900945341924854 18 6 3.0 0.0 0.0 3.0 3.0 3.0 3.0 3.0 8.666666666666666 3.8297084310253524 0.4418894343490792 4.0 5.5 9.0 11.75 13.0 6 3.3333333333333335 0.5163977794943222 0.15491933384829665 3.0 3.0 3.0 3.75 4.0 8.666666666666666 8.666666666666666 3.8297084310253524 3.8297084310253524 0.4418894343490792 0.4418894343490792 4.0 4.0 5.5 5.5 9.0 9.0 11.75 11.75 13.0 13.0 1.4418513048110007 1.4418513048110007 0.5545581941580772 0.5545581941580772 0.7019905647193607 0.7019905647193607 1.0 1.0 1.5208333333333335 1.5208333333333335 3.0 3.0 3.9166666666666665 3.9166666666666665 4.333333333333333 4.333333333333333
2 0 1 8.24386900000001 1.0927412000000487 0.01996860000001277 9.356578800000072 3.120464100000028 15.431993400000188 0.6861613791666731 0.008168587847222299 0.5803221304347881 0.0069085967908903345 253.359375 241.59765625 84 84 1.0 0 52 52 0.7976190476190477 1.0 0.6749513402044893 1.0 1.0 1.0 1.0 1.0 0.7976190476190477 0.5383540451631046 0.7976190476190477 0.7976190476190477 0.7976190476190477 0.7976190476190477 0.7976190476190477 False 0 0 False 1.6153846153846154 1.6153846153846154 1.031918946388492 1.031918946388492 0.6388069668119235 0.6388069668119235 0.8205677273213453 0.8205677273213453 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 5.0 5.0 9 0.17307692307692307 15 0.17857142857142858 2.1213203435596415 0.11987325010376217 1.7781065088757388 0.16895776460446085 1.3131983079178733 0.2689584673099757 1.1007326007326002 0.33262731140308466 5.858706721149682 0.0028549335213123852 4.893333333333334 0.007496392806033829 2.7040184866844688 0.06693599018078208 2.258461538461539 0.10451114751713136 10.241093691593687 3.567381214957528e-05 8.84 0.000144822746682688 2.9260267690267674 0.05360961894768889 2.525714285714286 0.08000114869576438 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 24 2.1666666666666665 0.9630868246861536 0.4445016113936094 1.0 1.0 2.0 3.0 4.0 3.5 3.5 2.12643813228478 2.12643813228478 0.6075537520813656 0.6075537520813656 1.0 1.0 1.0 1.0 3.5 3.5 5.0 5.0 8.0 8.0 0.6143312448686785 0.6143312448686785 0.3803002944425153 0.3803002944425153 0.8787923967334814 0.8787923967334814 1.0 1.0 1.0 1.0 1.3333333333333333 1.3333333333333333 2.0 2.0 3.0 3.0
3 1 3 1.1447404999999975 0.7235750999999908 0.0 1.8683155999999883 1.8683155999999883 1.8683155999999883 1.8683155999999883 0.09341577999999942 0.0 0.0 255.1796875 245.0234375 20 20 1.0 20 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 5 1 5.0 0.0 0.0 5.0 5.0 5.0 5.0 5.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
4 1 2 4.0972525000000815 0.851818200000011 0.010589899999942531 4.959660600000035 2.80279179999998 6.827976200000023 1.1617691333333393 0.02003050229885068 0.8335646000000111 0.014371803448276054 260.6796875 249.5 58 58 1.0 58 20 20 0.7241379310344828 1.0 0.8613093836389598 1.0 1.0 1.0 1.0 1.0 0.7241379310344828 0.6237067950489019 0.7241379310344828 0.7241379310344828 0.7241379310344828 0.7241379310344828 0.7241379310344828 False 0 0 False 2.9 2.9 2.8265657049165736 2.8265657049165736 0.9746778292815771 0.9746778292815771 0.5520401706155784 0.5520401706155784 1.0 1.0 1.0 1.0 2.0 2.0 3.0 3.0 10.0 10.0 3 0.15 9 0.15517241379310345 8.014050162059133 0.00033078228043015247 6.950000000000001 0.000958635153694019 2.763465573123839 0.06307280574288182 2.3965517241379315 0.091031313784208 0.7346308866924534 0.47968248348988524 0.5714285714285717 0.5647181220077591 0.220389266007736 0.8022064654680181 0.1714285714285715 0.8424604416167714 4.79748611419283 0.008250461719572234 3.4285714285714297 0.03243324089479548 0.49629166698546523 0.608784052966334 0.35467980295566515 0.7013979928207964 18 6 3.0 0.0 0.0 3.0 3.0 3.0 3.0 3.0 9.666666666666666 3.723797345005051 0.38522041500052256 4.0 8.0 9.5 12.5 14.0 6 3.3333333333333335 0.5163977794943222 0.15491933384829665 3.0 3.0 3.0 3.75 4.0 9.666666666666666 9.666666666666666 3.723797345005051 3.723797345005051 0.38522041500052256 0.38522041500052256 4.0 4.0 8.0 8.0 9.5 9.5 12.5 12.5 14.0 14.0 1.4207457613938246 1.4207457613938246 0.48991233151511193 0.48991233151511193 0.7048882951373889 0.7048882951373889 1.0 1.0 2.1666666666666665 2.1666666666666665 3.1666666666666665 3.1666666666666665 4.166666666666666 4.166666666666666 4.666666666666667 4.666666666666667
5 1 1 9.50548059999997 1.3647514000000456 0.027005700000046318 10.897237700000062 3.1620230999999848 17.725213900000085 0.7773222625000061 0.008013631572165012 0.6736396173913114 0.006944738323621767 259.12890625 249.296875 97 97 1.0 0 58 58 0.6907216494845361 1.0 0.6505610145893863 1.0 1.0 1.0 1.0 1.0 0.6907216494845361 0.44935657708751425 0.6907216494845361 0.6907216494845361 0.6907216494845361 0.6907216494845361 0.6907216494845361 False 0 0 False 1.6724137931034482 1.6724137931034482 0.9622329847803988 0.9622329847803988 0.5753558053326095 0.5753558053326095 0.8339877937072036 0.8339877937072036 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 5.0 5.0 6 0.10344827586206896 9 0.09278350515463918 2.032033885605094 0.1310686711857303 1.6043400713436409 0.20102217143819118 1.21503057077418 0.29670094377784845 0.9592961251333111 0.3831624895266348 4.7561655891181 0.008598516512763731 3.6733333333333342 0.025391689759005007 1.968068519635076 0.13972647469216135 1.5200000000000005 0.21871188695221466 9.627925240904418 6.586355917792082e-05 7.783333333333331 0.0004166211204073295 2.382167069914495 0.09235023109899715 1.925773195876288 0.1457630099159274 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 24 2.4166666666666665 0.928611242975073 0.38425292812761647 1.0 2.0 2.0 3.0 4.0 4.041666666666667 4.041666666666667 2.2356628560221465 2.2356628560221465 0.5531536963353765 0.5531536963353765 1.0 1.0 2.75 2.75 3.0 3.0 6.0 6.0 8.0 8.0 0.5907908398283785 0.5907908398283785 0.35325637845408203 0.35325637845408203 0.885669796396099 0.885669796396099 1.0 1.0 1.0 1.0 1.5 1.5 2.0 2.0 3.0 3.0
6 2 3 1.132580599999983 0.7020990000000182 0.0 1.8346796000000012 1.8346796000000012 1.8346796000000012 1.8346796000000012 0.09173398000000006 0.0 0.0 266.87109375 256.30859375 20 20 1.0 20 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 5 1 5.0 0.0 0.0 5.0 5.0 5.0 5.0 5.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
7 2 2 3.0661008999999524 0.6861225999999618 0.010283300000054396 3.7625067999999686 3.130274700000001 5.59718639999997 0.9567209666666633 0.021743658333333256 0.5220102199999956 0.011863868636363538 281.68359375 270.41015625 44 44 1.0 44 20 20 0.9545454545454546 1.0 0.9375303900938571 1.0 1.0 1.0 1.0 1.0 0.9545454545454546 0.8949153723623181 0.9545454545454546 0.9545454545454546 0.9545454545454546 0.9545454545454546 0.9545454545454546 False 0 0 False 2.2 2.2 2.067289096988207 2.067289096988207 0.9396768622673667 0.9396768622673667 0.6258697243757593 0.6258697243757593 1.0 1.0 1.0 1.0 2.0 2.0 2.0 2.0 10.0 10.0 3 0.15 7 0.1590909090909091 4.767598976424086 0.008500766216557635 4.049999999999997 0.01742237463949356 2.16709044382913 0.11451030685603684 1.8409090909090895 0.15867311223579503 0.7346308866924534 0.47968248348988524 0.5714285714285717 0.5647181220077591 0.220389266007736 0.8022064654680181 0.1714285714285715 0.8424604416167714 3.46639193050541 0.031229505857295115 2.238095238095238 0.1066614757275113 0.47268980870528315 0.6233233906826772 0.3051948051948052 0.7369797929147468 18 6 3.0 0.0 0.0 3.0 3.0 3.0 3.0 3.0 7.333333333333333 4.366539438350084 0.5954371961386478 4.0 4.25 5.5 9.0 15.0 6 3.3333333333333335 0.5163977794943222 0.15491933384829665 3.0 3.0 3.0 3.75 4.0 7.333333333333333 7.333333333333333 4.366539438350084 4.366539438350084 0.5954371961386478 0.5954371961386478 4.0 4.0 4.25 4.25 5.5 5.5 9.0 9.0 15.0 15.0 1.4399234804772196 1.4399234804772196 0.6545106729441907 0.6545106729441907 0.7022542080187228 0.7022542080187228 1.25 1.25 1.3333333333333333 1.3333333333333333 1.6666666666666665 1.6666666666666665 2.375 2.375 5.0 5.0
8 2 1 7.506195399999939 1.167856500000056 0.015984500000016055 8.690036400000011 3.901685499999985 14.28722279999998 0.6343053166666669 0.008457404222222225 0.492245308695653 0.006563270782608707 281.4453125 270.140625 75 75 1.0 0 44 44 0.8933333333333333 1.0 0.6890281399572467 1.0 1.0 1.0 1.0 1.0 0.8933333333333333 0.6155318050284737 0.8933333333333333 0.8933333333333333 0.8933333333333333 0.8933333333333333 0.8933333333333333 False 0 0 False 1.7045454545454546 1.7045454545454546 1.1729419473440803 1.1729419473440803 0.6881259424418604 0.6881259424418604 0.7949146156632637 0.7949146156632637 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 5 0.11363636363636363 5 0.06666666666666667 3.100378209399993 0.045032167583316116 2.580578512396693 0.07573018049961915 1.8188885495146625 0.16220593464748262 1.5139393939393933 0.22004143841398993 3.2482473906879554 0.038842223454431946 2.266666666666667 0.10365712861152782 1.771771304011612 0.1700315443726929 1.2363636363636366 0.2904384397914293 8.607700041242143 0.00018269361535644524 6.54 0.0014444884990205433 2.754464013197486 0.06364312240232627 2.0928 0.12334129623852494 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 24 1.8333333333333333 1.090140264874869 0.5946219626590195 1.0 1.0 1.0 2.25 4.0 3.125 3.125 2.7554294228573206 2.7554294228573206 0.8817374153143426 0.8817374153143426 1.0 1.0 1.0 1.0 2.0 2.0 4.25 4.25 11.0 11.0 0.9210752573105141 0.9210752573105141 0.5403641509555016 0.5403641509555016 0.8274703114033143 0.8274703114033143 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 5.0 5.0
9 3 3 1.1319281000000245 0.9007507000000174 0.0 2.032678800000042 2.032678800000042 2.032678800000042 2.032678800000042 0.1016339400000021 0.0 0.0 288.4140625 278.36328125 20 20 1.0 20 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 5 1 5.0 0.0 0.0 5.0 5.0 5.0 5.0 5.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
