 RU AL GT ST OT TT LT CT WT WT_PA MET MET_PA RSS VMS LE AC CF PSG SIZE SGLITS_T QL_SCORE LT_SCORE CT_SCORE AW_SCORE AW_PA_SCORE AME_SCORE AME_PA_SCORE TI_SCORE LT_GRADE CT_GRADE AW_GRADE AW_PA_GRADE AME_GRADE AME_PA_GRADE GRADE HAS_TRAILING TOT_CHOICES PRE_CHOICES FGOALS_ORDER CP_EF_L CP_EF_A SP_ED_L SP_ED_A SP_EB_L SP_EB_A SP_EBS_L SP_EBS_A SP_MIN_L SP_MIN_A SP_LOWER_L SP_LOWER_A SP_MED_L SP_MED_A SP_UPPER_L SP_UPPER_A SP_MAX_L SP_MAX_A T_INTER_SP P_INTER_SP T_INTER_Q P_INTER_Q M_CHILD_RMSE M_CHILD_RMSE_SCORE M_CHILD_MAE M_CHILD_MAE_SCORE M_CHILD_NRMSE M_CHILD_NRMSE_SCORE M_CHILD_NMAE M_CHILD_NMAE_SCORE DIV_INDEX_RMSE DIV_INDEX_RMSE_SCORE DIV_INDEX_MAE DIV_INDEX_MAE_SCORE DIV_INDEX_NRMSE DIV_INDEX_NRMSE_SCORE DIV_INDEX_NMAE DIV_INDEX_NMAE_SCORE DIV_STEP_RMSE DIV_STEP_RMSE_SCORE DIV_STEP_MAE DIV_STEP_MAE_SCORE DIV_STEP_NRMSE DIV_STEP_NRMSE_SCORE DIV_STEP_NMAE DIV_STEP_NMAE_SCORE DIVS_T DS_T DS_TD_MEAN DS_TD_STD DS_TD_CD DS_TD_MIN DS_TD_LOWER DS_TD_MED DS_TD_UPPER DS_TD_MAX DS_TS_MEAN DS_TS_STD DS_TS_CD DS_TS_MIN DS_TS_LOWER DS_TS_MED DS_TS_UPPER DS_TS_MAX PR_T PR_TS_MEAN PR_TS_STD PR_TS_CD PR_TS_MIN PR_TS_LOWER PR_TS_MED PR_TS_UPPER PR_TS_MAX PP_LE_MEAN PP_AC_MEAN PP_LE_STD PP_AC_STD PP_LE_CD PP_AC_CD PP_LE_MIN PP_AC_MIN PP_LE_LOWER PP_AC_LOWER PP_LE_MED PP_AC_MED PP_LE_UPPER PP_AC_UPPER PP_LE_MAX PP_AC_MAX PP_ED_L PP_ED_A PP_EB_L PP_EB_A PP_EBS_L PP_EBS_A PP_EF_LE_MIN PP_EF_AC_MIN PP_EF_LE_LOWER PP_EF_AC_LOWER PP_EF_LE_MED PP_EF_AC_MED PP_EF_LE_UPPER PP_EF_AC_UPPER PP_EF_LE_MAX PP_EF_AC_MAX
0 0 3 1.1250566999999947 0.7661424999999866 0.0 1.8911991999999813 1.8911991999999813 1.8911991999999813 1.8911991999999813 0.09455995999999907 0.0 0.0 238.4296875 228.27734375 20 20 1.0 20 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 0 2 3.563774800000033 2.177684899999967 0.017499399999984178 5.758959099999984 6.38608149999996 7.6501582999999655 3.8392676499999823 0.08725608295454505 1.292453800000004 0.029373950000000093 280.82421875 269.5703125 44 44 1.0 44 20 20 0.9545454545454546 0.8839773711909072 0.8272612512597057 1.0 1.0 1.0 1.0 0.9613257903969691 0.8437965815913205 0.7896584671115373 0.9545454545454546 0.9545454545454546 0.9545454545454546 0.9545454545454546 0.9176291635607432 False 0 0 False 2.2 2.2 2.0925934551223877 2.0925934551223877 0.9511788432374488 0.9511788432374488 0.6231271883936114 0.6231271883936114 1.0 1.0 1.0 1.0 1.5 1.5 2.25 2.25 10.0 10.0 3 0.15 12 0.2727272727272727 7.186793443532378 0.0007565110307608577 6.649999999999999 0.0012940221054658502 3.266724292514717 0.03813112914507813 3.022727272727272 0.04866830545737058 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 4.618802153517006 0.009864605269694224 2.6666666666666665 0.06948345122280154 0.20994555243259116 0.8106283815120856 0.1212121212121212 0.8858460329277068 10 2 5.0 0.0 0.0 5.0 5.0 5.0 5.0 5.0 22.0 11.313708498984761 0.51425947722658 14.0 18.0 22.0 26.0 30.0 2 10.0 0.0 0.0 10.0 10.0 10.0 10.0 10.0 22.0 22.0 11.313708498984761 11.313708498984761 0.51425947722658 0.51425947722658 14.0 14.0 18.0 18.0 22.0 22.0 26.0 26.0 30.0 30.0 1.131370849898476 1.131370849898476 0.5142594772265799 0.5142594772265799 0.747385515425588 0.747385515425588 1.4 1.4 1.7999999999999998 1.7999999999999998 2.2 2.2 2.6 2.6 3.0 3.0
2 0 1 7.076221999999987 1.1227221999999983 0.029940600000031736 8.228884800000017 7.3333026999999475 15.879043099999983 1.3567201416666659 0.018585207420091312 0.8133944545454583 0.01114238978829395 265.9453125 256.046875 73 73 1.0 0 44 44 0.9178082191780822 0.8393760420130759 0.6698336448411755 1.0 1.0 1.0 1.0 0.9464586806710253 0.7703862303407684 0.6147788247172432 0.9178082191780822 0.9178082191780822 0.9178082191780822 0.9178082191780822 0.868667556232311 False 0 0 False 1.6590909090909092 1.6590909090909092 0.9869657947038658 0.9869657947038658 0.5948834926982205 0.5948834926982205 0.8185585778459048 0.8185585778459048 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 4 0.09090909090909091 4 0.0547945205479452 1.6305927280066277 0.19581347559182338 1.3192148760330566 0.2673451186491158 0.982823014140981 0.37425308440958593 0.7951432129514314 0.451516567271861 4.25069124594766 0.014254377222203062 3.384615384615385 0.03389067471417901 1.1592794307129983 0.3137121508001626 0.9230769230769232 0.39729471319771126 7.533755944578949 0.000534726078719906 6.26923076923077 0.0018936847036330761 1.2384256347253066 0.28984017322872707 1.0305584826132774 0.35680763405422783 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 12 3.6666666666666665 1.4354811251305468 0.391494852308331 2.0 2.0 4.0 5.0 5.0 6.083333333333333 6.083333333333333 2.7122058561364044 2.7122058561364044 0.4458420585429706 0.4458420585429706 3.0 3.0 4.0 4.0 5.0 5.0 8.25 8.25 10.0 10.0 0.4016275809810798 0.4016275809810798 0.24207689812558233 0.24207689812558233 0.9107776956547056 0.9107776956547056 1.0 1.0 1.4583333333333333 1.4583333333333333 1.6 1.6 2.0 2.0 2.5 2.5
3 1 3 1.1248937999999669 0.7603535000000079 0.0 1.8852472999999748 1.8852472999999748 1.8852472999999748 1.8852472999999748 0.09426236499999874 0.0 0.0 263.2109375 252.83984375 20 20 1.0 20 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
4 1 2 3.571290699999963 2.2993194999999815 0.01729950000002134 5.887909699999966 6.50605900000005 7.773156999999941 3.9007709999999705 0.08865388636363569 1.2954829999998907 0.02944279545454297 285.47265625 274.73828125 44 44 1.0 44 20 20 0.9545454545454546 0.8774322915447154 0.8228397544156675 1.0 1.0 1.0 1.0 0.9591440971815718 0.8375490055654101 0.7854379473967735 0.9545454545454546 0.9545454545454546 0.9545454545454546 0.9545454545454546 0.9155466382187731 False 0 0 False 2.2 2.2 2.015727634065883 2.015727634065883 0.9162398336663103 0.9162398336663103 0.6315287755167421 0.6315287755167421 1.0 1.0 1.0 1.0 2.0 2.0 3.0 3.0 10.0 10.0 7 0.35 14 0.3181818181818182 7.291776189653656 0.0006811171844129256 6.749999999999998 0.0011708796207911764 3.3144437225698433 0.036354266011239526 3.068181818181817 0.04650563373287737 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 4.618802153517006 0.009864605269694224 2.6666666666666665 0.06948345122280154 0.20994555243259116 0.8106283815120856 0.1212121212121212 0.8858460329277068 10 2 5.0 0.0 0.0 5.0 5.0 5.0 5.0 5.0 22.0 11.313708498984761 0.51425947722658 14.0 18.0 22.0 26.0 30.0 2 10.0 0.0 0.0 10.0 10.0 10.0 10.0 10.0 22.0 22.0 11.313708498984761 11.313708498984761 0.51425947722658 0.51425947722658 14.0 14.0 18.0 18.0 22.0 22.0 26.0 26.0 30.0 30.0 1.131370849898476 1.131370849898476 0.5142594772265799 0.5142594772265799 0.747385515425588 0.747385515425588 1.4 1.4 1.7999999999999998 1.7999999999999998 2.2 2.2 2.6 2.6 3.0 3.0
5 1 1 7.099296999999936 1.1343338999999588 0.02906379999998876 8.262694699999884 7.448701900000017 16.035851699999824 1.3698598499999832 0.018765203424657304 0.8172378454545256 0.011195038978829118 272.859375 262.25 73 73 1.0 0 44 44 0.9178082191780822 0.8348354383661437 0.668084061706497 1.0 1.0 1.0 1.0 0.9449451461220479 0.766218826993584 0.6131730429361 0.9178082191780822 0.9178082191780822 0.9178082191780822 0.9178082191780822 0.8672784217832494 False 0 0 False 1.6590909090909092 1.6590909090909092 1.0552897060221726 1.0552897060221726 0.6360650282873369 0.6360650282873369 0.8096245474271968 0.8096245474271968 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 5 0.11363636363636363 8 0.1095890410958904 1.6979417535201566 0.18305991899694676 1.3419421487603296 0.2613376188534631 1.0234169473272177 0.35936490892880385 0.8088418430884178 0.4453735801323862 4.25069124594766 0.014254377222203062 3.384615384615385 0.03389067471417901 1.1592794307129983 0.3137121508001626 0.9230769230769232 0.39729471319771126 7.612475702738653 0.0004942467345874788 6.346153846153848 0.0017534783307845366 1.2513658689433402 0.28611373598578926 1.0432033719704956 0.35232424670672535 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 12 3.6666666666666665 1.4354811251305468 0.391494852308331 2.0 2.0 4.0 5.0 5.0 6.083333333333333 6.083333333333333 2.8109633849474367 2.8109633849474367 0.4620761728680718 0.4620761728680718 2.0 2.0 4.0 4.0 5.5 5.5 8.25 8.25 10.0 10.0 0.5455899102516012 0.5455899102516012 0.3288487130283623 0.3288487130283623 0.8849408463820423 0.8849408463820423 1.0 1.0 1.3333333333333333 1.3333333333333333 1.6 1.6 2.0 2.0 3.0 3.0
6 2 3 1.1270702000000057 0.772648600000025 0.0 1.8997188000000307 1.8997188000000307 1.8997188000000307 1.8997188000000307 0.09498594000000153 0.0 0.0 274.0390625 263.58203125 20 20 1.0 20 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
7 2 2 3.4983074000000016 1.5378477000000004 0.016439699999992285 5.052594799999994 5.065132999999946 6.952313600000025 3.490194850000016 0.07932261022727309 1.9152567000000857 0.043528561363638314 297.87890625 287.72265625 44 44 1.0 44 20 20 0.9545454545454546 0.9915817062374331 0.8555689312042959 1.0 1.0 1.0 1.0 0.9971939020791444 0.946509810499368 0.8166794343313734 0.9545454545454546 0.9545454545454546 0.9545454545454546 0.9545454545454546 0.9518669065300924 False 0 0 False 2.2 2.2 2.0416711421361615 2.0416711421361615 0.9280323373346188 0.9280323373346188 0.6286693934545464 0.6286693934545464 1.0 1.0 1.0 1.0 2.0 2.0 2.25 2.25 10.0 10.0 7 0.35 13 0.29545454545454547 5.464430436925699 0.0042347523188315155 4.299999999999997 0.01356855901220097 2.4838320167844086 0.08342293421904425 1.954545454545453 0.14162883881018615 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 2.309401076758503 0.09932071923669414 1.3333333333333333 0.26359713811572677 0.10497277621629558 0.9003490331599661 0.0606060606060606 0.9411939401248326 10 2 5.0 0.0 0.0 5.0 5.0 5.0 5.0 5.0 22.0 5.656854249492381 0.25712973861329 18.0 20.0 22.0 24.0 26.0 2 10.0 0.0 0.0 10.0 10.0 10.0 10.0 10.0 22.0 22.0 5.656854249492381 5.656854249492381 0.25712973861329 0.25712973861329 18.0 18.0 20.0 20.0 22.0 22.0 24.0 24.0 26.0 26.0 0.565685424949238 0.565685424949238 0.25712973861328997 0.25712973861328997 0.8503458725994829 0.8503458725994829 1.8 1.8 2.0 2.0 2.2 2.2 2.4 2.4 2.6 2.6
8 2 1 7.223595299999957 1.1973823999999809 0.028593099999937976 8.449570799999876 5.876928399999926 15.4018843999999 1.3169948583333284 0.017559931444444378 0.9024554454545469 0.012032739272727293 284.38671875 272.671875 75 75 1.0 0 44 44 0.8933333333333333 0.9159985207723554 0.6753031791154784 1.0 1.0 1.0 1.0 0.9719995069241185 0.8182920118899708 0.6032708400098273 0.8933333333333333 0.8933333333333333 0.8933333333333333 0.8933333333333333 0.8683195595188792 False 0 0 False 1.7045454545454546 1.7045454545454546 1.0692215263005322 1.0692215263005322 0.6272766287629788 0.6272766287629788 0.8078393176243296 0.8078393176243296 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 5 0.11363636363636363 5 0.06666666666666667 2.108314414270672 0.12144249574687484 1.7458677685950403 0.17449350326687682 1.2368777897054608 0.29028914827966995 1.0242424242424237 0.35906838389647044 1.9785170998831216 0.13827413208073067 1.5384615384615397 0.214711172341697 0.5395955726953968 0.5829839793429579 0.4195804195804199 0.6573225616392884 3.814194138094825 0.022055480965916443 2.9615384615384617 0.051739257054417 0.610271062095172 0.5432036072089715 0.47384615384615386 0.6226030302815632 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 12 3.6666666666666665 0.778498944161523 0.21231789386223354 3.0 3.0 3.5 4.0 5.0 6.25 6.25 2.137330535547045 2.137330535547045 0.3419728856875272 0.3419728856875272 3.0 3.0 4.75 4.75 6.5 6.5 8.0 8.0 9.0 9.0 0.515767790911195 0.515767790911195 0.30258377066790104 0.30258377066790104 0.8900895188925053 0.8900895188925053 1.0 1.0 1.3125 1.3125 1.775 1.775 2.0 2.0 2.6666666666666665 2.6666666666666665
9 3 3 1.1273030999999918 0.708448099999984 0.0 1.8357511999999758 1.8357511999999758 1.8357511999999758 1.8357511999999758 0.0917875599999988 0.0 0.0 283.19140625 272.65625 20 20 1.0 20 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
