[04-02-2022_21-14-36] INFO :: Experiment >> 

          ========================================          
                    Experimental Results                    
          ========================================          

               ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~               
                     Concatenated Plans                     

 RU  AL  LE  AC  CF       GT       ST       OT        TT        LT        CT       WT         RSS         VMS  QL_SCORE  LT_SCORE  CT_SCORE  AW_SCORE  AME_SCORE  LT_GRADE  CT_GRADE  AW_GRADE  AME_GRADE    GRADE
  0   3  20  20 1.0 1.127816 0.767502 0.000000  1.895319  1.895319  1.895319 1.895319  253.503906  243.230469  1.000000  1.000000  1.000000       1.0        1.0  1.000000  1.000000  1.000000   1.000000 1.000000
  0   2  44  44 1.0 3.518298 1.884273 0.015473  5.418044  4.725520  7.313362 3.670966  277.292969  266.601562  0.954545  1.000000  0.840177       1.0        1.0  0.954545  0.801987  0.954545   0.954545 0.954545
  0   1  71  71 1.0 7.056832 1.355053 0.029756  8.441641  6.594577 15.755004 2.002761  273.644531  262.539062  0.943662  0.872801  0.671234       1.0        1.0  0.823629  0.633418  0.943662   0.943662 0.903651
  1   3  20  20 1.0 1.127305 0.699909 0.000000  1.827213  1.827213  1.827213 1.827213  265.660156  254.402344  1.000000  1.000000  1.000000       1.0        1.0  1.000000  1.000000  1.000000   1.000000 1.000000
  1   2  44  44 1.0 3.528408 1.808675 0.015485  5.352567  5.154828  7.179781 3.604034  281.390625  271.988281  0.954545  0.980795  0.845667       1.0        1.0  0.936213  0.807227  0.954545   0.954545 0.948435
  1   1  73  73 1.0 7.369668 1.432307 0.031150  8.833125  6.992110 16.012906 2.034946  275.816406  264.843750  0.917808  0.853783  0.668339       1.0        1.0  0.783609  0.613407  0.917808   0.917808 0.873075
  2   3  20  20 1.0 1.129012 0.655741 0.000000  1.784753  1.784753  1.784753 1.784753  276.277344  264.820312  1.000000  1.000000  1.000000       1.0        1.0  1.000000  1.000000  1.000000   1.000000 1.000000
  2   2  44  44 1.0 3.507756 1.616839 0.014940  5.139535  4.939697  6.924287 3.476170  304.468750  294.128906  0.954545  1.000000  0.856841       1.0        1.0  0.954545  0.817894  0.954545   0.954545 0.954545
  2   1  75  75 1.0 7.433812 1.522541 0.030223  8.986576  6.881709 15.910863 2.030789  299.148438  289.167969  0.893333  0.858798  0.669477       1.0        1.0  0.767193  0.598066  0.893333   0.893333 0.851287
  3   3  20  20 1.0 1.127859 0.767233 0.000000  1.895092  1.895092  1.895092 1.895092  295.691406  284.445312  1.000000  1.000000  1.000000       1.0        1.0  1.000000  1.000000  1.000000   1.000000 1.000000
