 RU AL GT ST OT TT LT CT WT WT_PA MET MET_PA RSS VMS LE AC CF PSG SIZE SGLITS_T QL_SCORE LT_SCORE CT_SCORE AW_SCORE AW_PA_SCORE AME_SCORE AME_PA_SCORE TI_SCORE LT_GRADE CT_GRADE AW_GRADE AW_PA_GRADE AME_GRADE AME_PA_GRADE GRADE HAS_TRAILING TOT_CHOICES PRE_CHOICES FGOALS_ORDER CP_EF_L CP_EF_A SP_ED_L SP_ED_A SP_EB_L SP_EB_A SP_EBS_L SP_EBS_A SP_MIN_L SP_MIN_A SP_LOWER_L SP_LOWER_A SP_MED_L SP_MED_A SP_UPPER_L SP_UPPER_A SP_MAX_L SP_MAX_A T_INTER_SP P_INTER_SP T_INTER_Q P_INTER_Q M_CHILD_RMSE M_CHILD_RMSE_SCORE M_CHILD_MAE M_CHILD_MAE_SCORE M_CHILD_NRMSE M_CHILD_NRMSE_SCORE M_CHILD_NMAE M_CHILD_NMAE_SCORE DIV_INDEX_RMSE DIV_INDEX_RMSE_SCORE DIV_INDEX_MAE DIV_INDEX_MAE_SCORE DIV_INDEX_NRMSE DIV_INDEX_NRMSE_SCORE DIV_INDEX_NMAE DIV_INDEX_NMAE_SCORE DIV_STEP_RMSE DIV_STEP_RMSE_SCORE DIV_STEP_MAE DIV_STEP_MAE_SCORE DIV_STEP_NRMSE DIV_STEP_NRMSE_SCORE DIV_STEP_NMAE DIV_STEP_NMAE_SCORE DIVS_T DS_T DS_TD_MEAN DS_TD_STD DS_TD_CD DS_TD_MIN DS_TD_LOWER DS_TD_MED DS_TD_UPPER DS_TD_MAX DS_TS_MEAN DS_TS_STD DS_TS_CD DS_TS_MIN DS_TS_LOWER DS_TS_MED DS_TS_UPPER DS_TS_MAX PR_T PR_TS_MEAN PR_TS_STD PR_TS_CD PR_TS_MIN PR_TS_LOWER PR_TS_MED PR_TS_UPPER PR_TS_MAX PP_LE_MEAN PP_AC_MEAN PP_LE_STD PP_AC_STD PP_LE_CD PP_AC_CD PP_LE_MIN PP_AC_MIN PP_LE_LOWER PP_AC_LOWER PP_LE_MED PP_AC_MED PP_LE_UPPER PP_AC_UPPER PP_LE_MAX PP_AC_MAX PP_ED_L PP_ED_A PP_EB_L PP_EB_A PP_EBS_L PP_EBS_A PP_EF_LE_MIN PP_EF_AC_MIN PP_EF_LE_LOWER PP_EF_AC_LOWER PP_EF_LE_MED PP_EF_AC_MED PP_EF_LE_UPPER PP_EF_AC_UPPER PP_EF_LE_MAX PP_EF_AC_MAX
0 0 3 1.032245299999996 0.34420919999999455 0.0 1.3764544999999906 1.3764544999999906 1.3764544999999906 1.3764544999999906 0.07646969444444392 0.0 0.0 234.37109375 224.92578125 18 18 1.0 18 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 18.0 0.0 0.0 18.0 18.0 18.0 18.0 18.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 0 2 2.1721733000000008 0.8357710000000083 0.0 3.007944300000009 3.733836199999992 4.3843988 2.206305199999999 0.06489132941176468 0.6787742000000065 0.019963947058823723 261.0 251.3828125 34 34 1.0 34 18 18 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.8888888888888888 1.8888888888888888 2.193275522213265 2.193275522213265 1.1611458647011403 1.1611458647011403 0.5983052365883754 0.5983052365883754 1.0 1.0 1.0 1.0 1.0 1.0 1.75 1.75 10.0 10.0 0 0.0 0 0.0 7.299303760698448 0.0006760092756102908 6.444444444444446 0.001589327283456528 3.864337285075649 0.020976819482989996 3.411764705882354 0.03298294379320913 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 4.618802153517006 0.009864605269694224 2.6666666666666665 0.06948345122280154 0.27169424432452977 0.7620872379692335 0.1568627450980392 0.8548213791906976 2 2 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 17.0 11.313708498984761 0.6655122646461624 9.0 13.0 17.0 21.0 25.0 2 9.0 0.0 0.0 9.0 9.0 9.0 9.0 9.0 17.0 17.0 11.313708498984761 11.313708498984761 0.6655122646461624 0.6655122646461624 9.0 9.0 13.0 13.0 17.0 17.0 21.0 21.0 25.0 25.0 1.2570787221094177 1.2570787221094177 0.6655122646461623 0.6655122646461623 0.7183506328918956 0.7183506328918956 1.0 1.0 1.4444444444444444 1.4444444444444444 1.8888888888888888 1.8888888888888888 2.333333333333333 2.333333333333333 2.7777777777777777 2.7777777777777777
2 0 1 4.435447300000014 1.38912109999999 0.0 5.824568400000004 6.312614499999995 10.208967200000004 2.584604275000004 0.048766118396226486 1.3419342000000067 0.025319513207547297 285.09375 285.31640625 53 53 1.0 0 34 34 1.0 0.8881496883122308 0.756389253320842 1.0 1.0 1.0 1.0 0.9627165627707436 0.8881496883122308 0.756389253320842 1.0 1.0 1.0 1.0 0.9627165627707436 False 0 0 False 1.5588235294117647 1.5588235294117647 0.9905975078001625 0.9905975078001625 0.6354776465133118 0.6354776465133118 0.8047746836890046 0.8047746836890046 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 0 0.0 0 0.0 2.79187216272708 0.061306330980985306 2.3676470588235294 0.09370093990137748 1.7910123308060513 0.16679123626657305 1.5188679245283019 0.2189596255177205 4.207136793592526 0.014888937468061378 3.0 0.049787068367863944 0.49495726983441485 0.6095969549186195 0.35294117647058826 0.7026185226629955 8.073103492461867 0.00031181406526562027 5.9 0.0027394448187683684 0.6092908296197636 0.5437363340809508 0.44528301886792454 0.6406429363336661 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 4 8.5 4.654746681256314 0.5476172566183899 4.0 4.75 8.5 12.25 13.0 13.25 13.25 8.5 8.5 0.6415094339622641 0.6415094339622641 5.0 5.0 6.5 6.5 13.0 13.0 19.75 19.75 22.0 22.0 0.247878075742743 0.247878075742743 0.1590161240613823 0.1590161240613823 0.9372030829207838 0.9372030829207838 1.25 1.25 1.3624999999999998 1.3624999999999998 1.4307692307692306 1.4307692307692306 1.5544871794871793 1.5544871794871793 1.8333333333333333 1.8333333333333333
3 1 3 1.0001108999999957 0.299311799999991 0.0 1.2994226999999867 1.2994226999999867 1.2994226999999867 1.2994226999999867 0.07219014999999926 0.0 0.0 248.4609375 239.5546875 18 18 1.0 18 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 18.0 0.0 0.0 18.0 18.0 18.0 18.0 18.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
4 1 2 2.1048976000000224 0.7891151000000178 0.0 2.89401270000004 3.6123115000000183 4.193435400000027 2.110812350000014 0.062082716176471 0.6093132000000097 0.017920976470588518 266.5390625 257.6953125 34 34 1.0 34 18 18 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.8888888888888888 1.8888888888888888 2.193275522213265 2.193275522213265 1.1611458647011403 1.1611458647011403 0.5983052365883754 0.5983052365883754 1.0 1.0 1.0 1.0 1.0 1.0 1.75 1.75 10.0 10.0 0 0.0 0 0.0 7.421745382775468 0.000598104312997365 6.555555555555557 0.0014221925405226783 3.9291593202928947 0.019660193533407127 3.4705882352941186 0.03109873190789173 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 4.618802153517006 0.009864605269694224 2.6666666666666665 0.06948345122280154 0.27169424432452977 0.7620872379692335 0.1568627450980392 0.8548213791906976 2 2 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 17.0 11.313708498984761 0.6655122646461624 9.0 13.0 17.0 21.0 25.0 2 9.0 0.0 0.0 9.0 9.0 9.0 9.0 9.0 17.0 17.0 11.313708498984761 11.313708498984761 0.6655122646461624 0.6655122646461624 9.0 9.0 13.0 13.0 17.0 17.0 21.0 21.0 25.0 25.0 1.2570787221094177 1.2570787221094177 0.6655122646461623 0.6655122646461623 0.7183506328918956 0.7183506328918956 1.0 1.0 1.4444444444444444 1.4444444444444444 1.8888888888888888 1.8888888888888888 2.333333333333333 2.333333333333333 2.7777777777777777 2.7777777777777777
5 1 1 5.193097000000016 1.6909900999999863 0.0 6.884087100000002 6.191239600000031 11.077522500000029 2.8134449250000095 0.047685507203389994 1.6875133666666688 0.02860192146892659 304.13671875 296.76171875 59 59 1.0 0 34 34 0.8983050847457628 0.8953421357700945 0.7389216241149557 1.0 1.0 1.0 1.0 0.9651140452566982 0.804290393149407 0.6637770521710619 0.8983050847457628 0.8983050847457628 0.8983050847457628 0.8983050847457628 0.8669668542136442 False 0 0 False 1.7352941176470589 1.7352941176470589 1.3327761759259746 1.3327761759259746 0.7680405081607311 0.7680405081607311 0.7597922718861839 0.7597922718861839 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 0 0.0 0 0.0 4.149717545730379 0.015768869840503772 3.3192041522491342 0.03618161535604853 2.391362653471744 0.09150490940214742 1.9127617148554332 0.14767199498216532 4.207136793592526 0.014888937468061378 3.0 0.049787068367863944 0.49495726983441485 0.6095969549186195 0.35294117647058826 0.7026185226629955 9.152868402856015 0.00010591555811758034 6.5 0.0015034391929775724 0.6205334510410858 0.5376575471022126 0.4406779661016949 0.6435999341997642 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 4 8.5 4.654746681256314 0.5476172566183899 4.0 4.75 8.5 12.25 13.0 14.75 14.75 10.21028892833107 10.21028892833107 0.6922229781919369 0.6922229781919369 5.0 5.0 6.5 6.5 14.5 14.5 22.75 22.75 25.0 25.0 0.3272679176772884 0.3272679176772884 0.18859507120386113 0.18859507120386113 0.9197125108833347 0.9197125108833347 1.25 1.25 1.3624999999999998 1.3624999999999998 1.6166666666666667 1.6166666666666667 1.8557692307692308 1.8557692307692308 1.9230769230769231 1.9230769230769231
6 2 3 0.9964829999999836 0.43505030000000033 0.0 1.431533299999984 1.431533299999984 1.431533299999984 1.431533299999984 0.07952962777777689 0.0 0.0 256.67578125 248.04296875 18 18 1.0 18 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 18.0 0.0 0.0 18.0 18.0 18.0 18.0 18.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
7 2 2 2.1257499000000095 0.9209001999999984 0.0 3.046650100000008 3.858114299999997 4.478183399999992 2.253371350000002 0.06627562794117653 0.6486284000000069 0.019077305882353145 278.43359375 268.94140625 34 34 1.0 34 18 18 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.8888888888888888 1.8888888888888888 2.166289559942608 2.166289559942608 1.1468591787931455 1.1468591787931455 0.6012414619799447 0.6012414619799447 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 10.0 10.0 0 0.0 0 0.0 7.214668414363762 0.000735714505691451 6.38888888888889 0.0016801219668463136 3.819530337016109 0.02193810198949199 3.3823529411764715 0.03396743725153257 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 4.618802153517006 0.009864605269694224 2.6666666666666665 0.06948345122280154 0.27169424432452977 0.7620872379692335 0.1568627450980392 0.8548213791906976 2 2 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 17.0 11.313708498984761 0.6655122646461624 9.0 13.0 17.0 21.0 25.0 2 9.0 0.0 0.0 9.0 9.0 9.0 9.0 9.0 17.0 17.0 11.313708498984761 11.313708498984761 0.6655122646461624 0.6655122646461624 9.0 9.0 13.0 13.0 17.0 17.0 21.0 21.0 25.0 25.0 1.2570787221094177 1.2570787221094177 0.6655122646461623 0.6655122646461623 0.7183506328918956 0.7183506328918956 1.0 1.0 1.4444444444444444 1.4444444444444444 1.8888888888888888 1.8888888888888888 2.333333333333333 2.333333333333333 2.7777777777777777 2.7777777777777777
8 2 1 4.421613200000053 1.4101571999999791 0.0 5.831770400000032 6.426139600000006 10.309953800000024 2.6099810500000107 0.049244925471698314 1.3379282000000121 0.02524392830188702 304.1875 302.93359375 53 53 1.0 0 34 34 1.0 0.881756201381732 0.7542368025413055 1.0 1.0 1.0 1.0 0.9605854004605774 0.881756201381732 0.7542368025413055 1.0 1.0 1.0 1.0 0.9605854004605774 False 0 0 False 1.5588235294117647 1.5588235294117647 0.9595193389681276 0.9595193389681276 0.6155407080172894 0.6155407080172894 0.8092369730062609 0.8092369730062609 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 0 0.0 0 0.0 2.5512904666036555 0.07798096920572091 2.1911764705882355 0.11178515927492272 1.6366769031042319 0.19462572901284877 1.4056603773584906 0.24520507509462275 4.207136793592526 0.014888937468061378 3.0 0.049787068367863944 0.49495726983441485 0.6095969549186195 0.35294117647058826 0.7026185226629955 8.073103492461867 0.00031181406526562027 5.9 0.0027394448187683684 0.6092908296197636 0.5437363340809508 0.44528301886792454 0.6406429363336661 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 4 8.5 4.654746681256314 0.5476172566183899 4.0 4.75 8.5 12.25 13.0 13.25 13.25 8.5 8.5 0.6415094339622641 0.6415094339622641 5.0 5.0 6.5 6.5 13.0 13.0 19.75 19.75 22.0 22.0 0.247878075742743 0.247878075742743 0.1590161240613823 0.1590161240613823 0.9372030829207838 0.9372030829207838 1.25 1.25 1.3624999999999998 1.3624999999999998 1.4307692307692306 1.4307692307692306 1.5544871794871793 1.5544871794871793 1.8333333333333333 1.8333333333333333
9 3 3 0.9990169999999665 0.405438100000012 0.0 1.4044550999999785 1.4044550999999785 1.4044550999999785 1.4044550999999785 0.07802528333333214 0.0 0.0 273.5859375 263.47265625 18 18 1.0 18 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 18.0 0.0 0.0 18.0 18.0 18.0 18.0 18.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
