 RU AL GT ST OT TT LT CT WT WT_PA MET MET_PA RSS VMS LE AC CF PSG SIZE SGLITS_T QL_SCORE LT_SCORE CT_SCORE AW_SCORE AW_PA_SCORE AME_SCORE AME_PA_SCORE TI_SCORE LT_GRADE CT_GRADE AW_GRADE AW_PA_GRADE AME_GRADE AME_PA_GRADE GRADE HAS_TRAILING TOT_CHOICES PRE_CHOICES FGOALS_ORDER CP_EF_L CP_EF_A SP_ED_L SP_ED_A SP_EB_L SP_EB_A SP_EBS_L SP_EBS_A SP_MIN_L SP_MIN_A SP_LOWER_L SP_LOWER_A SP_MED_L SP_MED_A SP_UPPER_L SP_UPPER_A SP_MAX_L SP_MAX_A T_INTER_SP P_INTER_SP T_INTER_Q P_INTER_Q M_CHILD_RMSE M_CHILD_RMSE_SCORE M_CHILD_NRMSE M_CHILD_NRMSE_SCORE M_CHILD_MAE M_CHILD_MAE_SCORE M_CHILD_NMAE M_CHILD_NMAE_SCORE DIV_INDEX_RMSE DIV_INDEX_RMSE_SCORE DIV_INDEX_NRMSE DIV_INDEX_NRMSE_SCORE DIV_INDEX_MAE DIV_INDEX_MAE_SCORE DIV_INDEX_NMAE DIV_INDEX_NMAE_SCORE DIV_STEP_RMSE DIV_STEP_RMSE_SCORE DIV_STEP_NRMSE DIV_STEP_NRMSE_SCORE DIV_STEP_MAE DIV_STEP_MAE_SCORE DIV_STEP_NMAE DIV_STEP_NMAE_SCORE DS_T DIVS_T DS_TD_MEAN DS_TD_STD DS_TD_CD DS_TD_MIN DS_TD_LOWER DS_TD_MED DS_TD_UPPER DS_TD_MAX DS_TS_MEAN DS_TS_STD DS_TS_CD DS_TS_MIN DS_TS_LOWER DS_TS_MED DS_TS_UPPER DS_TS_MAX PR_T PR_TS_MEAN PR_TS_STD PR_TS_CD PR_TS_MIN PR_TS_LOWER PR_TS_MED PR_TS_UPPER PR_TS_MAX PP_LE_MEAN PP_AC_MEAN PP_LE_STD PP_AC_STD PP_LE_CD PP_AC_CD PP_LE_MIN PP_AC_MIN PP_LE_LOWER PP_AC_LOWER PP_LE_MED PP_AC_MED PP_LE_UPPER PP_AC_UPPER PP_LE_MAX PP_AC_MAX PP_ED_L PP_ED_A PP_EB_L PP_EB_A PP_EBS_L PP_EBS_A PP_EF_LE_MIN PP_EF_AC_MIN PP_EF_LE_LOWER PP_EF_AC_LOWER PP_EF_LE_MED PP_EF_AC_MED PP_EF_LE_UPPER PP_EF_AC_UPPER PP_EF_LE_MAX PP_EF_AC_MAX
0 0 3 1.1479369999999847 0.7412996000000334 0.0 1.889236600000018 1.889236600000018 1.889236600000018 1.889236600000018 0.0944618300000009 0.0 0.0 322.8046875 317.234375 20 20 1.0 20 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 3 3.0 0.0 0.0 3.0 3.0 3.0 3.0 3.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 0 2 3.4248455000000178 1.046348800000061 0.0 4.471194300000079 3.547451200000026 6.360430900000097 3.5155421750000606 0.12408967022846899 3.5049058333334053 0.1350726727852881 564.515625 571.28515625 44 44 1.0 44 20 20 0.9545454545454546 1.0 0.8854193341126585 1.0 1.0 1.0 1.0 1.0 0.9545454545454546 0.8451730007439013 0.9545454545454546 0.9545454545454546 0.9545454545454546 0.9545454545454546 0.9545454545454546 False 0 0 False 2.2 2.2 2.117595458607661 2.117595458607661 0.9625433902762094 0.9625433902762094 0.620439373576817 0.620439373576817 1.0 1.0 1.0 1.0 1.5 1.5 2.25 2.25 10.0 10.0 0 0.0 0 0.0 5.160426338976266 0.005739252297033846 2.3456483358983027 0.0957850810884324 4.549999999999997 0.010567204383852684 2.0681818181818166 0.1264154190970526 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 3.714835124201342 0.02435945706888691 0.33771228401830383 0.7134005151028385 2.6 0.07427357821433388 0.23636363636363636 0.7894935331710389 4 4 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 11.0 5.597618541248888 0.508874412840808 6.0 6.75 10.0 14.25 18.0 4 5.0 0.0 0.0 5.0 5.0 5.0 5.0 5.0 30.75 30.75 11.87083260208258 11.87083260208258 0.38604333665309204 0.38604333665309204 18.0 18.0 22.5 22.5 30.5 30.5 38.75 38.75 44.0 44.0 2.3741665204165163 2.3741665204165163 1.0791666001893254 1.0791666001893254 0.5940397118767862 0.5940397118767862 3.6 3.6 4.5 4.5 6.1 6.1 7.75 7.75 8.8 8.8
2 0 1 8.047844999999967 3.3185290999999495 0.0 11.366374099999916 5.493204300000031 17.726805000000013 8.539687362500002 0.1997609922942819 8.974899228571427 0.22999602614272815 549.109375 559.3046875 73 73 1.0 0 44 44 0.9178082191780822 0.9465116264071218 0.6505455495815677 0.7981656085546951 1.0 0.7859520863396756 1.0 0.9108212375822659 0.8687161502640707 0.5970760523556855 0.732562955796775 0.9178082191780822 0.721353284722716 0.9178082191780822 0.8359592180549563 False 0 0 False 1.6590909090909092 1.6590909090909092 1.3284574341445938 1.3284574341445938 0.8007140698953716 0.8007140698953716 0.776648084619876 0.776648084619876 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 8.0 8.0 0 0.0 0 0.0 2.355043383643488 0.09488938979786646 1.4194782038399105 0.24184017525450394 1.903925619834709 0.1489826206407364 1.1475716064757149 0.317406622434126 3.496029493900505 0.03031752066237838 0.6356417261637282 0.5295955239433107 2.7777777777777777 0.06217652402211632 0.5050505050505051 0.6034750961171595 7.3043936549632 0.0006725772017315835 0.8004814964343233 0.44911266590074983 5.722222222222222 0.0032724307479503043 0.6270928462709284 0.5341423800410127 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8 5.5 2.6186146828319083 0.4761117605148924 3.0 3.0 5.0 7.5 9.0 47.5 47.5 19.544820285692065 19.544820285692065 0.4114699007514119 0.4114699007514119 17.0 17.0 35.25 35.25 44.5 44.5 65.0 65.0 73.0 73.0 7.002341558702826 7.002341558702826 4.220589432642799 4.220589432642799 0.4504149118083457 0.4504149118083457 1.8888888888888888 1.8888888888888888 7.041666666666666 7.041666666666666 10.571428571428571 10.571428571428571 14.5625 14.5625 22.666666666666668 22.666666666666668
3 1 3 1.141812899999934 0.7547006000000351 0.0 1.896513499999969 1.896513499999969 1.896513499999969 1.896513499999969 0.09482567499999846 0.0 0.0 336.9375 331.7265625 20 20 1.0 20 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 3 3.0 0.0 0.0 3.0 3.0 3.0 3.0 3.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
4 1 2 3.2661360999999545 1.0576194000000498 0.0 4.323755500000004 3.963148499999946 6.220268999999973 3.6033756749999775 0.12633848398809416 3.483451399999988 0.13138451980952318 576.90234375 595.03515625 42 42 1.0 42 20 20 1.0 1.0 0.893586298937929 1.0 1.0 1.0 1.0 1.0 1.0 0.893586298937929 1.0 1.0 1.0 1.0 1.0 False 0 0 False 2.1 2.1 2.100125309544522 2.100125309544522 1.000059671211677 1.000059671211677 0.6223152038330967 0.6223152038330967 1.0 1.0 1.0 1.0 1.0 1.0 3.0 3.0 10.0 10.0 0 0.0 0 0.0 5.895337140486538 0.002752248292304332 2.8073034002316843 0.06036756025262604 5.049999999999999 0.006409333446256388 2.404761904761904 0.0902869899532022 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 4.868264577855234 0.007686693377526924 0.46364424551002226 0.6289872797180062 3.4 0.03337326996032608 0.3238095238095238 0.7233880174517908 4 4 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 10.5 6.658328118479393 0.634126487474228 5.0 6.5 8.5 12.5 20.0 4 5.0 0.0 0.0 5.0 5.0 5.0 5.0 5.0 30.5 30.5 9.882644720249063 9.882644720249063 0.32402113836882174 0.32402113836882174 20.0 20.0 23.75 23.75 30.0 30.0 36.75 36.75 42.0 42.0 1.9765289440498126 1.9765289440498126 0.9412042590713393 0.9412042590713393 0.6358960887851879 0.6358960887851879 4.0 4.0 4.75 4.75 6.0 6.0 7.35 7.35 8.4 8.4
5 1 1 7.811732299999974 2.992032399999985 0.0 10.80376469999996 6.439437799999936 17.024033699999933 8.904009512499966 0.19908343682566407 9.256091185714256 0.22355117395212812 561.96875 583.80078125 71 71 1.0 0 42 42 0.9436619718309859 0.8810269344635976 0.6575569297051511 0.7878668213347213 1.0 0.7786167241361476 1.0 0.8865478861999151 0.8313916142121273 0.6205114688766918 0.7434799581609342 0.9436619718309859 0.7347509931988998 0.9436619718309859 0.8366015264140043 False 0 0 False 1.6904761904761905 1.6904761904761905 0.9750070728472726 0.9750070728472726 0.5767647473181049 0.5767647473181049 0.8179154261773042 0.8179154261773042 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 0 0.0 0 0.0 2.3453488814377654 0.0958137686533125 1.3873894791603683 0.24972637034561268 2.0028344671201816 0.134952222968411 1.1847753185781356 0.30581488270292895 4.663689526544408 0.009431599989841919 0.8883218145798872 0.4113454878391076 3.6666666666666665 0.025561533206507402 0.6984126984126984 0.4973741603433481 9.97322805202898 4.663179039858648e-05 1.1237440058624204 0.3250604851344319 8.055555555555555 0.00031733404932872807 0.9076682316118936 0.4034639124367728 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8 5.25 3.1052950170405937 0.5914847651505892 2.0 3.0 4.5 6.25 10.0 49.0 49.0 17.079645362661537 17.079645362661537 0.34856419107472525 0.34856419107472525 20.0 20.0 39.25 39.25 48.0 48.0 63.0 63.0 71.0 71.0 7.26836173709522 7.26836173709522 4.299594267014074 4.299594267014074 0.43482527669324966 0.43482527669324966 2.0 2.0 8.725 8.725 13.533333333333333 13.533333333333333 18.3125 18.3125 22.0 22.0
6 2 3 1.1365030999999988 0.8589685999999688 0.0 1.9954716999999675 1.9954716999999675 1.9954716999999675 1.9954716999999675 0.09977358499999837 0.0 0.0 391.28515625 388.83203125 20 20 1.0 20 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 3 3.0 0.0 0.0 3.0 3.0 3.0 3.0 3.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
7 2 2 3.4448290999999926 1.231422099999918 0.0 4.676251199999911 3.9598198999999568 6.671722899999878 3.6666115999999462 0.1268769798703191 3.5688754999999426 0.1343962826666646 609.9296875 631.2109375 44 44 1.0 44 20 20 0.9545454545454546 1.0 0.8688922625523282 1.0 1.0 1.0 1.0 1.0 0.9545454545454546 0.8293971597090406 0.9545454545454546 0.9545454545454546 0.9545454545454546 0.9545454545454546 0.9545454545454546 False 0 0 False 2.2 2.2 2.117595458607661 2.117595458607661 0.9625433902762094 0.9625433902762094 0.620439373576817 0.620439373576817 1.0 1.0 1.0 1.0 1.5 1.5 2.25 2.25 10.0 10.0 0 0.0 0 0.0 5.627610505356601 0.003597160461835629 2.558004775162091 0.07745913475598477 4.549999999999997 0.010567204383852684 2.0681818181818166 0.1264154190970526 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 4.266145801540309 0.01403577570259416 0.3878314365036644 0.6785267084592697 2.6 0.07427357821433388 0.23636363636363636 0.7894935331710389 4 4 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 11.0 6.377042156569663 0.5797311051426967 5.0 8.0 9.5 12.5 20.0 4 5.0 0.0 0.0 5.0 5.0 5.0 5.0 5.0 30.75 30.75 10.56330125166055 10.56330125166055 0.3435219919239203 0.3435219919239203 20.0 20.0 23.75 23.75 29.5 29.5 36.5 36.5 44.0 44.0 2.11266025033211 2.11266025033211 0.9603001137873227 0.9603001137873227 0.6209682165059207 0.6209682165059207 4.0 4.0 4.75 4.75 5.9 5.9 7.3 7.3 8.8 8.8
8 2 1 8.08331190000007 3.4353061999998715 0.0 11.51861809999994 6.456949599999945 18.19034099999982 8.967043849999865 0.2033003894011829 9.325628742856996 0.22990391272210817 595.2421875 619.7890625 73 73 1.0 0 44 44 0.9178082191780822 0.8800726368769691 0.6461147783910113 0.7861629117210731 1.0 0.7768632620666024 1.0 0.8856452996478572 0.80773789959941 0.5930094541396953 0.721546781990574 0.9178082191780822 0.7130114871022241 0.9178082191780822 0.8128525352932388 False 0 0 False 1.6590909090909092 1.6590909090909092 0.9869657947038658 0.9869657947038658 0.5948834926982205 0.5948834926982205 0.8185585778459048 0.8185585778459048 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 0 0.0 0 0.0 2.4197342077930024 0.0889452552735749 1.4584699334642754 0.23259188366539382 1.9824380165289242 0.1377330322314947 1.1948941469489405 0.3027359980151997 4.0 0.01831563888873418 0.7272727272727273 0.48322508118982543 2.7777777777777777 0.06217652402211632 0.5050505050505051 0.6034750961171595 8.801436120189578 0.00015051675964776383 0.96454094467831 0.38115813225343087 6.166666666666667 0.0020982184180809026 0.6757990867579909 0.5087497229690854 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8 5.5 2.9760952365713798 0.54110822483116 2.0 3.75 5.0 6.25 10.0 48.0 48.0 16.894631438080307 16.894631438080307 0.35197148829333974 0.35197148829333974 20.0 20.0 39.25 39.25 46.0 46.0 58.5 58.5 73.0 73.0 5.9300402177495375 5.9300402177495375 3.5742708161778034 3.5742708161778034 0.48843324360370866 0.48843324360370866 2.0 2.0 9.325 9.325 12.6 12.6 14.616666666666667 14.616666666666667 20.0 20.0
9 3 3 1.1346642999999688 0.8527653999999529 0.0 1.9874296999999217 1.9874296999999217 1.9874296999999217 1.9874296999999217 0.09937148499999608 0.0 0.0 437.98046875 434.41796875 20 20 1.0 20 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 3 3.0 0.0 0.0 3.0 3.0 3.0 3.0 3.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
