 RU AL GT ST OT TT LT CT WT WT_PA MET MET_PA RSS VMS LE AC CF PSG SIZE SGLITS_T QL_SCORE LT_SCORE CT_SCORE AW_SCORE AW_PA_SCORE AME_SCORE AME_PA_SCORE TI_SCORE LT_GRADE CT_GRADE AW_GRADE AW_PA_GRADE AME_GRADE AME_PA_GRADE GRADE HAS_TRAILING TOT_CHOICES PRE_CHOICES FGOALS_ORDER CP_EF_L CP_EF_A SP_ED_L SP_ED_A SP_EB_L SP_EB_A SP_EBS_L SP_EBS_A SP_MIN_L SP_MIN_A SP_LOWER_L SP_LOWER_A SP_MED_L SP_MED_A SP_UPPER_L SP_UPPER_A SP_MAX_L SP_MAX_A T_INTER_SP P_INTER_SP T_INTER_Q P_INTER_Q M_CHILD_RMSE M_CHILD_RMSE_SCORE M_CHILD_NRMSE M_CHILD_NRMSE_SCORE M_CHILD_MAE M_CHILD_MAE_SCORE M_CHILD_NMAE M_CHILD_NMAE_SCORE DIV_INDEX_RMSE DIV_INDEX_RMSE_SCORE DIV_INDEX_NRMSE DIV_INDEX_NRMSE_SCORE DIV_INDEX_MAE DIV_INDEX_MAE_SCORE DIV_INDEX_NMAE DIV_INDEX_NMAE_SCORE DIV_STEP_RMSE DIV_STEP_RMSE_SCORE DIV_STEP_NRMSE DIV_STEP_NRMSE_SCORE DIV_STEP_MAE DIV_STEP_MAE_SCORE DIV_STEP_NMAE DIV_STEP_NMAE_SCORE DS_T DIVS_T DS_TD_MEAN DS_TD_STD DS_TD_CD DS_TD_MIN DS_TD_LOWER DS_TD_MED DS_TD_UPPER DS_TD_MAX DS_TS_MEAN DS_TS_STD DS_TS_CD DS_TS_MIN DS_TS_LOWER DS_TS_MED DS_TS_UPPER DS_TS_MAX PR_T PR_TS_MEAN PR_TS_STD PR_TS_CD PR_TS_MIN PR_TS_LOWER PR_TS_MED PR_TS_UPPER PR_TS_MAX PP_LE_MEAN PP_AC_MEAN PP_LE_STD PP_AC_STD PP_LE_CD PP_AC_CD PP_LE_MIN PP_AC_MIN PP_LE_LOWER PP_AC_LOWER PP_LE_MED PP_AC_MED PP_LE_UPPER PP_AC_UPPER PP_LE_MAX PP_AC_MAX PP_ED_L PP_ED_A PP_EB_L PP_EB_A PP_EBS_L PP_EBS_A PP_EF_LE_MIN PP_EF_AC_MIN PP_EF_LE_LOWER PP_EF_AC_LOWER PP_EF_LE_MED PP_EF_AC_MED PP_EF_LE_UPPER PP_EF_AC_UPPER PP_EF_LE_MAX PP_EF_AC_MAX
0 0 3 1.0885600999999951 0.11339740000000731 0.0 1.2019575000000025 1.2019575000000025 1.2019575000000025 1.2019575000000025 0.0632609210526317 0.0 0.0 187.8046875 176.859375 13 19 0.6842105263157895 19 1 0 0.9473684210526315 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.9473684210526315 0.9473684210526315 0.9473684210526315 0.9473684210526315 0.9473684210526315 0.9473684210526315 0.9473684210526315 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 0 2 2.0515836999999983 0.2899811000000021 0.0 2.3415648000000004 2.7656786000000046 3.543522300000003 1.785957650000002 0.10942813851674651 0.8062366999999995 0.04243351052631576 205.44140625 194.640625 18 27 0.6666666666666666 27 13 19 0.9629629629629629 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.9629629629629629 0.9629629629629629 0.9629629629629629 0.9629629629629629 0.9629629629629629 0.9629629629629629 0.9629629629629629 False 0 0 False 1.3846153846153846 1.4210526315789473 0.6504436355879909 0.9674179220468453 0.4697648479246601 0.6288216493304494 0.8046573042975741 0.7361655575792058 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 3.0 4.0 0 0.0 0 0.0 2.002956394814083 0.13493576955816117 1.4465796184768378 0.23537398165885184 1.6923076923076925 0.18409420065330415 1.2222222222222223 0.29457482831010734 0.28867513459481287 0.7492555730849976 0.04441155916843275 0.9565601953318483 0.16666666666666666 0.8464817248906141 0.02564102564102564 0.9746849137081521 1.1547005383792515 0.3151518986722024 0.12830005981991682 0.8795894101033765 0.6666666666666666 0.513417119032592 0.07407407407407407 0.9286029058931803 2 2 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 9.0 2.8284271247461903 0.3142696805273545 7.0 8.0 9.0 10.0 11.0 2 7.5 0.7071067811865476 0.09428090415820635 7.0 7.25 7.5 7.75 8.0 10.0 15.0 4.242640687119285 5.656854249492381 0.42426406871192845 0.3771236166328254 7.0 11.0 8.5 13.0 10.0 15.0 11.5 17.0 13.0 19.0 0.4419417382415922 0.51425947722658 0.3191801442855944 0.36188629878907486 0.8573107755350909 0.838232078794943 1.0 1.0 1.15625 1.1818181818181819 1.3125 1.3636363636363638 1.46875 1.5454545454545454 1.625 1.7272727272727273
2 0 1 7.081252599999974 0.5372130999999953 0.0 7.61846569999997 5.8514544000000015 11.161987999999972 2.8232401999999954 0.21401345195360155 1.81383546666666 0.12961723205128164 218.3828125 212.7109375 29 40 0.725 0 18 27 0.975 0.917821620237697 0.7373388594441037 1.0 1.0 1.0 1.0 0.972607206745899 0.8948760797317545 0.7189053879580011 0.975 0.975 0.975 0.975 0.9482920265772515 False 0 0 False 1.6111111111111112 1.4814814814814814 0.6076849889141857 0.6697233845138647 0.37718378622259796 0.422983190219283 0.8357321172088842 0.8226325131730893 1.0 1.0 1.0 1.0 2.0 1.5 2.0 2.0 3.0 3.0 0 0.0 0 0.0 1.8518981475694583 0.15693899004936307 1.1494540226293188 0.3168096930917812 1.5833333333333328 0.20528965757990938 0.9827586206896548 0.3742771846333005 0.9486832980505138 0.387250581508453 0.21081851067789195 0.8099210455648627 0.6 0.5488116360940265 0.13333333333333333 0.8751733190429475 2.7703790354390136 0.06263825812236576 0.38212124626745014 0.682412308243996 1.9 0.14956861922263506 0.26206896551724135 0.7694579558117514 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 4 5.25 1.5 0.2857142857142857 4.0 4.0 5.0 6.25 7.0 8.75 11.75 4.5 4.856267428111155 0.5142857142857142 0.4132993555839281 5.0 7.0 5.0 8.5 8.0 11.0 11.75 14.25 14.0 18.0 0.3908679799852858 0.29376613189650214 0.24260771171500495 0.19829213903013895 0.885852746315917 0.9108912386965684 1.25 1.1666666666666667 1.25 1.255952380952381 1.5416666666666665 1.4553571428571428 1.875 1.66875 2.0 1.8
3 1 3 1.0926759999999973 0.14221109999999015 0.0 1.2348870999999875 1.2348870999999875 1.2348870999999875 1.2348870999999875 0.06499405789473618 0.0 0.0 195.8984375 184.640625 13 19 0.6842105263157895 19 1 0 0.9473684210526315 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.9473684210526315 0.9473684210526315 0.9473684210526315 0.9473684210526315 0.9473684210526315 0.9473684210526315 0.9473684210526315 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
4 1 2 2.0594904000000085 0.22682139999999862 0.0 2.286311800000007 2.7963213999999965 3.5211988999999946 1.774559349999997 0.1078054643540668 0.7527972999999974 0.03962091052631565 210.671875 200.90234375 18 27 0.6666666666666666 27 13 19 0.9629629629629629 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.9629629629629629 0.9629629629629629 0.9629629629629629 0.9629629629629629 0.9629629629629629 0.9629629629629629 0.9629629629629629 False 0 0 False 1.3846153846153846 1.4210526315789473 0.6504436355879909 0.8770580193070292 0.4697648479246601 0.5700877125495689 0.8046573042975741 0.754495867158603 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 3.0 4.0 0 0.0 0 0.0 2.002956394814083 0.13493576955816117 1.4465796184768378 0.23537398165885184 1.6923076923076925 0.18409420065330415 1.2222222222222223 0.29457482831010734 0.28867513459481287 0.7492555730849976 0.04441155916843275 0.9565601953318483 0.16666666666666666 0.8464817248906141 0.02564102564102564 0.9746849137081521 1.1547005383792515 0.3151518986722024 0.12830005981991682 0.8795894101033765 0.6666666666666666 0.513417119032592 0.07407407407407407 0.9286029058931803 2 2 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 9.0 2.8284271247461903 0.3142696805273545 7.0 8.0 9.0 10.0 11.0 2 7.5 0.7071067811865476 0.09428090415820635 7.0 7.25 7.5 7.75 8.0 10.0 15.0 4.242640687119285 5.656854249492381 0.42426406871192845 0.3771236166328254 7.0 11.0 8.5 13.0 10.0 15.0 11.5 17.0 13.0 19.0 0.4419417382415922 0.51425947722658 0.3191801442855944 0.36188629878907486 0.8573107755350909 0.838232078794943 1.0 1.0 1.15625 1.1818181818181819 1.3125 1.3636363636363638 1.46875 1.5454545454545454 1.625 1.7272727272727273
5 1 1 7.085842299999982 0.5736491000000044 0.0 7.659491399999986 5.9223718000000005 11.18069029999998 2.827572099999996 0.21367581565934032 1.7959721999999942 0.12830987250712217 222.828125 217.01953125 29 40 0.725 0 18 27 0.975 0.9128068735974142 0.7369909293738852 1.0 1.0 1.0 1.0 0.9709356245324714 0.8899867017574788 0.7185661561395381 0.975 0.975 0.975 0.975 0.9466622339191596 False 0 0 False 1.6111111111111112 1.4814814814814814 0.6076849889141857 0.5808771820734524 0.37718378622259796 0.3802105191753507 0.8357321172088842 0.841549838611367 1.0 1.0 1.0 1.0 2.0 1.5 2.0 2.0 3.0 3.0 0 0.0 0 0.0 1.7596003567963545 0.172113634124476 1.0921657387011856 0.33548912456439234 1.5277777777777772 0.2170173927400508 0.9482758620689652 0.387408393476189 0.9486832980505138 0.387250581508453 0.21081851067789195 0.8099210455648627 0.6 0.5488116360940265 0.13333333333333333 0.8751733190429475 2.7703790354390136 0.06263825812236576 0.38212124626745014 0.682412308243996 1.9 0.14956861922263506 0.26206896551724135 0.7694579558117514 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 4 5.25 1.5 0.2857142857142857 4.0 4.0 5.0 6.25 7.0 8.75 11.75 4.5 4.856267428111155 0.5142857142857142 0.4132993555839281 5.0 7.0 5.0 8.5 8.0 11.0 11.75 14.25 14.0 18.0 0.3908679799852858 0.29376613189650214 0.24260771171500495 0.19829213903013895 0.885852746315917 0.9108912386965684 1.25 1.1666666666666667 1.25 1.255952380952381 1.5416666666666665 1.4553571428571428 1.875 1.66875 2.0 1.8
6 2 3 1.0922352999999845 0.12098559999999736 0.0 1.2132208999999818 1.2132208999999818 1.2132208999999818 1.2132208999999818 0.06385373157894642 0.0 0.0 197.81640625 186.83984375 13 19 0.6842105263157895 19 1 0 0.9473684210526315 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.9473684210526315 0.9473684210526315 0.9473684210526315 0.9473684210526315 0.9473684210526315 0.9473684210526315 0.9473684210526315 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
7 2 2 2.0563300999999825 0.21482299999999555 0.0 2.271153099999978 2.7568917999999627 3.48437399999996 1.756270999999984 0.10403520921052556 0.7556502000000052 0.039771063157895005 215.23828125 204.4453125 18 27 0.6666666666666666 27 13 19 0.9629629629629629 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.9629629629629629 0.9629629629629629 0.9629629629629629 0.9629629629629629 0.9629629629629629 0.9629629629629629 0.9629629629629629 False 0 0 False 1.3846153846153846 1.4210526315789473 0.6504436355879909 0.9674179220468453 0.4697648479246601 0.6288216493304494 0.8046573042975741 0.7361655575792058 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 3.0 4.0 0 0.0 0 0.0 2.002956394814083 0.13493576955816117 1.4465796184768378 0.23537398165885184 1.6923076923076925 0.18409420065330415 1.2222222222222223 0.29457482831010734 0.28867513459481287 0.7492555730849976 0.04441155916843275 0.9565601953318483 0.16666666666666666 0.8464817248906141 0.02564102564102564 0.9746849137081521 1.1547005383792515 0.3151518986722024 0.12830005981991682 0.8795894101033765 0.6666666666666666 0.513417119032592 0.07407407407407407 0.9286029058931803 2 2 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 9.0 2.8284271247461903 0.3142696805273545 7.0 8.0 9.0 10.0 11.0 2 7.5 0.7071067811865476 0.09428090415820635 7.0 7.25 7.5 7.75 8.0 10.0 15.5 4.242640687119285 4.949747468305833 0.42426406871192845 0.3193385463423118 7.0 12.0 8.5 13.75 10.0 15.5 11.5 17.25 13.0 19.0 0.4419417382415922 0.51425947722658 0.3191801442855944 0.36188629878907486 0.8573107755350909 0.838232078794943 1.0 1.0 1.15625 1.1818181818181819 1.3125 1.3636363636363638 1.46875 1.5454545454545454 1.625 1.7272727272727273
8 2 1 6.816822299999977 0.611569199999991 0.0 7.428391499999968 5.818404799999968 10.912765499999928 2.7605915999999855 0.21182065180375062 1.7413205333333248 0.1238018257575751 223.2578125 211.19140625 28 40 0.7 0 18 27 0.975 0.9202246298249563 0.742064044299259 1.0 1.0 1.0 1.0 0.9734082099416521 0.8972190140793325 0.7235124431917775 0.975 0.975 0.975 0.975 0.9490730046931108 False 0 0 False 1.5555555555555556 1.4814814814814814 0.6156987634551992 0.5808771820734524 0.39580634793548525 0.3802105191753507 0.8340118247215114 0.841549838611367 1.0 1.0 1.0 1.0 1.5 1.5 2.0 2.0 3.0 3.0 0 0.0 0 0.0 1.9568388045508205 0.14130440647258696 1.2579678029255275 0.2842310535002917 1.722222222222222 0.17866866494966518 1.107142857142857 0.33050190452744915 0.9486832980505138 0.387250581508453 0.21081851067789195 0.8099210455648627 0.6 0.5488116360940265 0.13333333333333333 0.8751733190429475 2.756809750418044 0.06349400732204681 0.3938299643454349 0.6744687302228622 2.0 0.1353352832366127 0.2857142857142857 0.751477293075286 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 4 5.25 1.5 0.2857142857142857 4.0 4.0 5.0 6.25 7.0 8.5 11.75 4.43471156521669 4.573474244670748 0.5217307723784341 0.3892318506102764 4.0 7.0 5.5 10.0 8.0 11.0 11.0 12.75 14.0 18.0 0.4166666666666667 0.2707705317035114 0.26785714285714285 0.1827701088998702 0.8794941538863705 0.9170959812647707 1.0 1.1666666666666667 1.375 1.3229166666666667 1.5833333333333335 1.4732142857142856 1.75 1.6285714285714286 2.0 1.8
9 3 3 1.0924193999999972 0.1096244000000155 0.0 1.2020438000000127 1.2020438000000127 1.2020438000000127 1.2020438000000127 0.0632654631578954 0.0 0.0 212.203125 200.890625 13 19 0.6842105263157895 19 1 0 0.9473684210526315 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.9473684210526315 0.9473684210526315 0.9473684210526315 0.9473684210526315 0.9473684210526315 0.9473684210526315 0.9473684210526315 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
