 RU AL GT ST OT TT LT CT WT WT_PA MET MET_PA RSS VMS LE AC CF PSG SIZE SGLITS_T QL_SCORE LT_SCORE CT_SCORE AW_SCORE AW_PA_SCORE AME_SCORE AME_PA_SCORE TI_SCORE LT_GRADE CT_GRADE AW_GRADE AW_PA_GRADE AME_GRADE AME_PA_GRADE GRADE HAS_TRAILING TOT_CHOICES PRE_CHOICES FGOALS_ORDER CP_EF_L CP_EF_A SP_ED_L SP_ED_A SP_EB_L SP_EB_A SP_EBS_L SP_EBS_A SP_MIN_L SP_MIN_A SP_LOWER_L SP_LOWER_A SP_MED_L SP_MED_A SP_UPPER_L SP_UPPER_A SP_MAX_L SP_MAX_A T_INTER_SP P_INTER_SP T_INTER_Q P_INTER_Q M_CHILD_RMSE M_CHILD_RMSE_SCORE M_CHILD_NRMSE M_CHILD_NRMSE_SCORE M_CHILD_MAE M_CHILD_MAE_SCORE M_CHILD_NMAE M_CHILD_NMAE_SCORE DIV_INDEX_RMSE DIV_INDEX_RMSE_SCORE DIV_INDEX_NRMSE DIV_INDEX_NRMSE_SCORE DIV_INDEX_MAE DIV_INDEX_MAE_SCORE DIV_INDEX_NMAE DIV_INDEX_NMAE_SCORE DIV_STEP_RMSE DIV_STEP_RMSE_SCORE DIV_STEP_NRMSE DIV_STEP_NRMSE_SCORE DIV_STEP_MAE DIV_STEP_MAE_SCORE DIV_STEP_NMAE DIV_STEP_NMAE_SCORE DS_T DIVS_T DS_TD_MEAN DS_TD_STD DS_TD_CD DS_TD_MIN DS_TD_LOWER DS_TD_MED DS_TD_UPPER DS_TD_MAX DS_TS_MEAN DS_TS_STD DS_TS_CD DS_TS_MIN DS_TS_LOWER DS_TS_MED DS_TS_UPPER DS_TS_MAX PR_T PR_TS_MEAN PR_TS_STD PR_TS_CD PR_TS_MIN PR_TS_LOWER PR_TS_MED PR_TS_UPPER PR_TS_MAX PP_LE_MEAN PP_AC_MEAN PP_LE_STD PP_AC_STD PP_LE_CD PP_AC_CD PP_LE_MIN PP_AC_MIN PP_LE_LOWER PP_AC_LOWER PP_LE_MED PP_AC_MED PP_LE_UPPER PP_AC_UPPER PP_LE_MAX PP_AC_MAX PP_ED_L PP_ED_A PP_EB_L PP_EB_A PP_EBS_L PP_EBS_A PP_EF_LE_MIN PP_EF_AC_MIN PP_EF_LE_LOWER PP_EF_AC_LOWER PP_EF_LE_MED PP_EF_AC_MED PP_EF_LE_UPPER PP_EF_AC_UPPER PP_EF_LE_MAX PP_EF_AC_MAX
0 0 3 1.0879943999999995 0.11056070000000773 0.0 1.1985551000000072 1.1985551000000072 1.1985551000000072 1.1985551000000072 0.06308184736842143 0.0 0.0 197.08203125 186.06640625 13 19 0.6842105263157895 19 1 0 0.9473684210526315 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.9473684210526315 0.9473684210526315 0.9473684210526315 0.9473684210526315 0.9473684210526315 0.9473684210526315 0.9473684210526315 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 0 2 2.134024900000007 0.3079290999999884 0.0 2.4419539999999955 2.913995600000014 3.6405091000000027 1.8345286000000023 0.10370182943722933 0.7550615999999906 0.03595531428571384 216.14453125 206.609375 18 27 0.6666666666666666 27 13 19 0.9629629629629629 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.9629629629629629 0.9629629629629629 0.9629629629629629 0.9629629629629629 0.9629629629629629 0.9629629629629629 0.9629629629629629 False 0 0 False 1.3846153846153846 1.4210526315789473 0.6504436355879909 1.0237562810927818 0.4697648479246601 0.6337538882955316 0.8046573042975741 0.7251581877652983 1.0 0.5 1.0 1.0 1.0 1.0 2.0 2.0 3.0 4.0 0 0.0 0 0.0 2.002956394814083 0.13493576955816117 1.4465796184768378 0.23537398165885184 1.6923076923076925 0.18409420065330415 1.2222222222222223 0.29457482831010734 0.28867513459481287 0.7492555730849976 0.04441155916843275 0.9565601953318483 0.16666666666666666 0.8464817248906141 0.02564102564102564 0.9746849137081521 1.1547005383792515 0.3151518986722024 0.12830005981991682 0.8795894101033765 0.6666666666666666 0.513417119032592 0.07407407407407407 0.9286029058931803 2 6 3.0 0.0 0.0 3.0 3.0 3.0 3.0 3.0 9.0 2.8284271247461903 0.3142696805273545 7.0 8.0 9.0 10.0 11.0 2 8.0 1.4142135623730951 0.1767766952966369 7.0 7.5 8.0 8.5 9.0 10.5 16.0 4.949747468305833 7.0710678118654755 0.4714045207910317 0.4419417382415922 7.0 11.0 8.75 13.5 10.5 16.0 12.25 18.5 14.0 21.0 0.3928371006591931 0.43514263457633695 0.28371568380941725 0.3062114835907556 0.8708189907856448 0.8591534604227509 1.0 1.0 1.1388888888888888 1.1538461538461537 1.2777777777777777 1.3076923076923077 1.4166666666666667 1.4615384615384617 1.5555555555555556 1.6153846153846154
2 0 1 9.51532970000001 0.8230791000000224 0.0 10.338408800000032 4.801025300000013 13.978917900000035 2.0299501142857213 0.1900478546520153 1.5681042500000058 0.15409937303418864 214.3125 203.01171875 26 37 0.7027027027027027 0 16 24 1.054054054054054 1.0 0.6930876146363172 1.0 1.0 1.0 1.0 1.0 1.054054054054054 0.7305518100220639 1.054054054054054 1.054054054054054 1.054054054054054 1.054054054054054 1.054054054054054 False 0 0 False 1.625 1.5416666666666667 0.6191391873668903 0.5691733772176395 0.3810087306873171 0.3436518503955559 0.8261932473680239 0.8374988090501408 1.0 1.0 1.0 1.0 2.0 1.75 2.0 2.0 3.0 3.0 0 0.0 0 0.0 1.8307273144846012 0.16029693908181356 1.126601424298216 0.32413297708184396 1.5625 0.2096113871510978 0.9615384615384616 0.38230427289208063 1.8257418583505538 0.1610980878266266 0.9128709291752769 0.40137026275824994 1.5555555555555556 0.2110720877910902 0.7777777777777778 0.45942582403592663 9.569918146637061 6.979709648920144e-05 2.9445901989652494 0.052623620612333076 6.111111111111111 0.002218084904320257 1.8803418803418803 0.1525379471158752 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 7 4.428571428571429 1.2724180205607036 0.2873201981911266 3.0 3.5 4.0 5.5 6.0 6.857142857142857 9.714285714285714 3.3380918415851206 3.8172540616821107 0.48680506023116343 0.3929526239966879 4.0 6.0 4.0 6.5 5.0 8.0 10.0 13.0 11.0 15.0 0.33623735003053357 0.22774631993379443 0.2069152923264822 0.14772734265975854 0.8954559274447281 0.9259968754542981 1.0 1.1666666666666667 1.2916666666666665 1.2 1.3333333333333333 1.3333333333333333 1.8166666666666667 1.625 1.8333333333333333 1.6666666666666667
3 1 3 1.0957445999999962 0.11576669999999467 0.0 1.2115112999999909 1.2115112999999909 1.2115112999999909 1.2115112999999909 0.06376375263157846 0.0 0.0 206.46875 194.3828125 13 19 0.6842105263157895 19 1 0 0.9473684210526315 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.9473684210526315 0.9473684210526315 0.9473684210526315 0.9473684210526315 0.9473684210526315 0.9473684210526315 0.9473684210526315 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
4 1 2 2.1252237999999934 0.2894375999999923 0.0 2.4146613999999857 2.907096999999986 3.6261726999999766 1.8271271499999848 0.10317829069263962 0.7471572999999836 0.035578919047618264 221.984375 211.47265625 18 27 0.6666666666666666 27 13 19 0.9629629629629629 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.9629629629629629 0.9629629629629629 0.9629629629629629 0.9629629629629629 0.9629629629629629 0.9629629629629629 0.9629629629629629 False 0 0 False 1.3846153846153846 1.4210526315789473 0.6504436355879909 0.8770580193070292 0.4697648479246601 0.5700877125495689 0.8046573042975741 0.754495867158603 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 3.0 4.0 0 0.0 0 0.0 2.002956394814083 0.13493576955816117 1.4465796184768378 0.23537398165885184 1.6923076923076925 0.18409420065330415 1.2222222222222223 0.29457482831010734 0.28867513459481287 0.7492555730849976 0.04441155916843275 0.9565601953318483 0.16666666666666666 0.8464817248906141 0.02564102564102564 0.9746849137081521 1.1547005383792515 0.3151518986722024 0.12830005981991682 0.8795894101033765 0.6666666666666666 0.513417119032592 0.07407407407407407 0.9286029058931803 2 6 3.0 0.0 0.0 3.0 3.0 3.0 3.0 3.0 9.0 2.8284271247461903 0.3142696805273545 7.0 8.0 9.0 10.0 11.0 2 8.0 1.4142135623730951 0.1767766952966369 7.0 7.5 8.0 8.5 9.0 10.5 16.0 4.949747468305833 7.0710678118654755 0.4714045207910317 0.4419417382415922 7.0 11.0 8.75 13.5 10.5 16.0 12.25 18.5 14.0 21.0 0.3928371006591931 0.43514263457633695 0.28371568380941725 0.3062114835907556 0.8708189907856448 0.8591534604227509 1.0 1.0 1.1388888888888888 1.1538461538461537 1.2777777777777777 1.3076923076923077 1.4166666666666667 1.4615384615384617 1.5555555555555556 1.6153846153846154
5 1 1 9.468036200000022 0.7468648000000258 0.0 10.214901000000047 4.780070600000002 13.841073700000024 2.0103030857142903 0.1855473079679053 1.5486751666666716 0.1493774070085477 217.7578125 206.07421875 26 37 0.7027027027027027 0 16 24 1.054054054054054 1.0 0.6949433625902435 1.0 1.0 1.0 1.0 1.0 1.054054054054054 0.7325078686762025 1.054054054054054 1.054054054054054 1.054054054054054 1.054054054054054 1.054054054054054 False 0 0 False 1.625 1.5416666666666667 0.6191391873668903 0.625 0.3810087306873171 0.37735849056603776 0.8261932473680239 0.824890070464727 1.0 0.5 1.0 1.0 2.0 2.0 2.0 2.0 3.0 3.0 0 0.0 0 0.0 1.6464924840399364 0.19272470948595163 1.0132261440245762 0.36304585004683915 1.4375 0.23752081909545814 0.8846153846153846 0.41287294002965186 1.8257418583505538 0.1610980878266266 0.9128709291752769 0.40137026275824994 1.5555555555555556 0.2110720877910902 0.7777777777777778 0.45942582403592663 9.569918146637061 6.979709648920144e-05 2.9445901989652494 0.052623620612333076 6.111111111111111 0.002218084904320257 1.8803418803418803 0.1525379471158752 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 7 4.428571428571429 1.2724180205607036 0.2873201981911266 3.0 3.5 4.0 5.5 6.0 6.857142857142857 9.857142857142858 3.3380918415851206 3.7606990231680526 0.48680506023116343 0.3815201907561792 4.0 6.0 4.0 6.5 5.0 9.0 10.0 13.0 11.0 15.0 0.33623735003053357 0.2308426288534515 0.2069152923264822 0.14973575925629284 0.8954559274447281 0.9250884210566448 1.0 1.1666666666666667 1.2916666666666665 1.2 1.3333333333333333 1.2857142857142858 1.8166666666666667 1.625 1.8333333333333333 1.6666666666666667
6 2 3 1.0910133000000002 0.10945549999999571 0.0 1.200468799999996 1.200468799999996 1.200468799999996 1.200468799999996 0.06318256842105241 0.0 0.0 207.29296875 195.03515625 13 19 0.6842105263157895 19 1 0 0.9473684210526315 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.9473684210526315 0.9473684210526315 0.9473684210526315 0.9473684210526315 0.9473684210526315 0.9473684210526315 0.9473684210526315 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
7 2 2 2.122058199999998 0.252697700000013 0.0 2.374755900000011 2.8671190000000024 3.575224700000007 1.8017619499999995 0.101737688095238 0.7364048999999966 0.03506689999999984 222.81640625 212.4921875 18 27 0.6666666666666666 27 13 19 0.9629629629629629 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.9629629629629629 0.9629629629629629 0.9629629629629629 0.9629629629629629 0.9629629629629629 0.9629629629629629 0.9629629629629629 False 0 0 False 1.3846153846153846 1.4210526315789473 0.6504436355879909 0.9967897188423162 0.4697648479246601 0.6321105534122005 0.8046573042975741 0.7303881465140634 1.0 0.5 1.0 1.0 1.0 1.0 2.0 2.0 3.0 4.0 0 0.0 0 0.0 2.002956394814083 0.13493576955816117 1.4465796184768378 0.23537398165885184 1.6923076923076925 0.18409420065330415 1.2222222222222223 0.29457482831010734 0.28867513459481287 0.7492555730849976 0.04441155916843275 0.9565601953318483 0.16666666666666666 0.8464817248906141 0.02564102564102564 0.9746849137081521 1.1547005383792515 0.3151518986722024 0.12830005981991682 0.8795894101033765 0.6666666666666666 0.513417119032592 0.07407407407407407 0.9286029058931803 2 6 3.0 0.0 0.0 3.0 3.0 3.0 3.0 3.0 9.0 2.8284271247461903 0.3142696805273545 7.0 8.0 9.0 10.0 11.0 2 8.0 1.4142135623730951 0.1767766952966369 7.0 7.5 8.0 8.5 9.0 10.5 16.0 4.949747468305833 7.0710678118654755 0.4714045207910317 0.4419417382415922 7.0 11.0 8.75 13.5 10.5 16.0 12.25 18.5 14.0 21.0 0.3928371006591931 0.4940681996752159 0.28371568380941725 0.34767762199367047 0.8708189907856448 0.8434656288448418 1.0 0.9166666666666666 1.1388888888888888 1.0913461538461537 1.2777777777777777 1.266025641025641 1.4166666666666667 1.4407051282051282 1.5555555555555556 1.6153846153846154
8 2 1 9.568601600000079 0.8183127999999584 0.0 10.386914400000038 4.759971099999973 13.962139100000044 2.027797742857146 0.18846887944555482 1.572435516666675 0.16183241260926706 224.4453125 212.7109375 27 38 0.7105263157894737 0 16 25 1.0263157894736843 1.0 0.6933121267517068 1.0 1.0 1.0 1.0 1.0 1.0263157894736843 0.711557182718857 1.0263157894736843 1.0263157894736843 1.0263157894736843 1.0263157894736843 1.0263157894736843 False 0 0 False 1.6875 1.52 0.704154339142587 0.6551081335677849 0.41727664541782933 0.4192692054833823 0.8077359997017314 0.8182686309887391 1.0 0.5 1.0 1.0 2.0 1.75 2.0 2.0 3.0 3.0 0 0.0 0 0.0 1.5379318499205352 0.21482493251538246 0.911367022175132 0.4019743404305267 1.21875 0.29559943537737077 0.7222222222222222 0.4856717852477124 1.8257418583505538 0.1610980878266266 0.9128709291752769 0.40137026275824994 1.5555555555555556 0.2110720877910902 0.7777777777777778 0.45942582403592663 9.811770142707855 5.480275219648307e-05 2.90719115339492 0.054628958935820766 6.055555555555555 0.0023447990925907977 1.794238683127572 0.16625397613551457 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 7 4.428571428571429 1.2724180205607036 0.2873201981911266 3.0 3.5 4.0 5.5 6.0 7.0 10.142857142857142 3.3166247903554 4.29839394148448 0.47380354147934284 0.4237853181745262 3.0 4.0 4.5 7.0 6.0 11.0 10.0 13.0 11.0 16.0 0.3296823868369012 0.24016363469220614 0.19536734034779332 0.15800239124487245 0.897229580233225 0.9223673772292811 1.0 1.0 1.2916666666666665 1.2666666666666666 1.5 1.375 1.8166666666666667 1.6125 1.8333333333333333 1.625
9 3 3 1.0904365000000098 0.12071489999999585 0.0 1.2111514000000057 1.2111514000000057 1.2111514000000057 1.2111514000000057 0.06374481052631609 0.0 0.0 220.8515625 208.75 13 19 0.6842105263157895 19 1 0 0.9473684210526315 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.9473684210526315 0.9473684210526315 0.9473684210526315 0.9473684210526315 0.9473684210526315 0.9473684210526315 0.9473684210526315 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
