 RU AL GT ST OT TT LT CT WT WT_PA MET MET_PA RSS VMS LE AC CF PSG SIZE SGLITS_T QL_SCORE LT_SCORE CT_SCORE AW_SCORE AW_PA_SCORE AME_SCORE AME_PA_SCORE TI_SCORE LT_GRADE CT_GRADE AW_GRADE AW_PA_GRADE AME_GRADE AME_PA_GRADE GRADE HAS_TRAILING TOT_CHOICES PRE_CHOICES FGOALS_ORDER CP_EF_L CP_EF_A SP_ED_L SP_ED_A SP_EB_L SP_EB_A SP_EBS_L SP_EBS_A SP_MIN_L SP_MIN_A SP_LOWER_L SP_LOWER_A SP_MED_L SP_MED_A SP_UPPER_L SP_UPPER_A SP_MAX_L SP_MAX_A T_INTER_SP P_INTER_SP T_INTER_Q P_INTER_Q M_CHILD_RMSE M_CHILD_RMSE_SCORE M_CHILD_NRMSE M_CHILD_NRMSE_SCORE M_CHILD_MAE M_CHILD_MAE_SCORE M_CHILD_NMAE M_CHILD_NMAE_SCORE DIV_INDEX_RMSE DIV_INDEX_RMSE_SCORE DIV_INDEX_NRMSE DIV_INDEX_NRMSE_SCORE DIV_INDEX_MAE DIV_INDEX_MAE_SCORE DIV_INDEX_NMAE DIV_INDEX_NMAE_SCORE DIV_STEP_RMSE DIV_STEP_RMSE_SCORE DIV_STEP_NRMSE DIV_STEP_NRMSE_SCORE DIV_STEP_MAE DIV_STEP_MAE_SCORE DIV_STEP_NMAE DIV_STEP_NMAE_SCORE DS_T DIVS_T DS_TD_MEAN DS_TD_STD DS_TD_CD DS_TD_MIN DS_TD_LOWER DS_TD_MED DS_TD_UPPER DS_TD_MAX DS_TS_MEAN DS_TS_STD DS_TS_CD DS_TS_MIN DS_TS_LOWER DS_TS_MED DS_TS_UPPER DS_TS_MAX PR_T PR_TS_MEAN PR_TS_STD PR_TS_CD PR_TS_MIN PR_TS_LOWER PR_TS_MED PR_TS_UPPER PR_TS_MAX PP_LE_MEAN PP_AC_MEAN PP_LE_STD PP_AC_STD PP_LE_CD PP_AC_CD PP_LE_MIN PP_AC_MIN PP_LE_LOWER PP_AC_LOWER PP_LE_MED PP_AC_MED PP_LE_UPPER PP_AC_UPPER PP_LE_MAX PP_AC_MAX PP_ED_L PP_ED_A PP_EB_L PP_EB_A PP_EBS_L PP_EBS_A PP_EF_LE_MIN PP_EF_AC_MIN PP_EF_LE_LOWER PP_EF_AC_LOWER PP_EF_LE_MED PP_EF_AC_MED PP_EF_LE_UPPER PP_EF_AC_UPPER PP_EF_LE_MAX PP_EF_AC_MAX
0 0 3 1.142990299999994 0.8273669000000083 0.0 1.9703572000000023 1.9703572000000023 1.9703572000000023 1.9703572000000023 0.09851786000000011 0.0 0.0 245.80078125 235.69140625 20 20 1.0 20 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 0 2 3.5338443999999924 2.802886600000001 0.0 6.336730999999993 7.046174700000009 8.307088199999995 4.1676985 0.14467852566844908 1.2892222999999916 0.03906734242424217 308.70703125 307.1171875 44 44 1.0 44 20 20 0.9545454545454546 0.851393452925188 0.8051825878521162 1.0 1.0 1.0 1.0 0.950464484308396 0.8126937505194977 0.7685833793133836 0.9545454545454546 0.9545454545454546 0.9545454545454546 0.9545454545454546 0.9072615532034689 False 0 0 False 2.2 2.2 2.0925934551223877 2.0925934551223877 0.9511788432374488 0.9511788432374488 0.6231271883936114 0.6231271883936114 1.0 1.0 1.0 1.0 2.0 2.0 2.0 2.0 10.0 10.0 0 0.0 0 0.0 5.740209055426464 0.003214096280798589 2.6091859342847563 0.07359443008641477 5.149999999999997 0.005799404726842162 2.340909090909089 0.09624010744303352 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 2.886751345948129 0.05575705408641982 0.1312159702703695 0.8770283418877662 1.6666666666666667 0.18887560283756183 0.07575757575757576 0.9270409165125935 2 6 3.0 0.0 0.0 3.0 3.0 3.0 3.0 3.0 22.0 7.0710678118654755 0.32141217326661253 17.0 19.5 22.0 24.5 27.0 2 12.0 2.8284271247461903 0.23570226039551587 10.0 11.0 12.0 13.0 14.0 25.0 25.0 11.313708498984761 11.313708498984761 0.4525483399593904 0.4525483399593904 17.0 17.0 21.0 21.0 25.0 25.0 29.0 29.0 33.0 33.0 0.464670170494017 0.464670170494017 0.2112137138609168 0.2112137138609168 0.8726087504895648 0.8726087504895648 1.7 1.7 1.8642857142857143 1.8642857142857143 2.0285714285714285 2.0285714285714285 2.192857142857143 2.192857142857143 2.357142857142857 2.357142857142857
2 0 1 7.2342563000000055 1.873134200000024 0.0 9.10739050000003 8.80765240000001 17.414478700000025 2.2102657250000046 0.17090550915178587 1.2677819142857183 0.11196538875850379 287.953125 279.1015625 73 73 1.0 0 44 44 0.9178082191780822 0.7905142936692483 0.6536161570338107 1.0 1.0 1.0 1.0 0.9301714312230828 0.7255405161073922 0.5998942811132235 0.9178082191780822 0.9178082191780822 0.9178082191780822 0.9178082191780822 0.8537189848211856 False 0 0 False 1.6590909090909092 1.6590909090909092 1.0102539818394234 1.0102539818394234 0.6089202082319812 0.6089202082319812 0.8154793652638824 0.8154793652638824 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 0 0.0 0 0.0 3.106868889657343 0.04474082471177919 1.8726333033551106 0.15371834135944695 2.502066115702478 0.08191557660232318 1.5080946450809456 0.22133129112064295 2.5385910352879693 0.0789775980837847 0.46156200641599443 0.6302983461246432 1.8888888888888888 0.15123975969049577 0.3434343434343434 0.7093300517906892 6.257772944284749 0.0019155069907043686 0.6857833363599725 0.5036955119877954 5.166666666666667 0.005703548998007402 0.5662100456621005 0.5676728209591119 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8 6.75 1.7525491637693282 0.2596369131510116 5.0 5.0 6.5 8.25 9.0 10.875 10.875 4.223657859520077 4.223657859520077 0.38838233190989213 0.38838233190989213 6.0 6.0 7.0 7.0 10.0 10.0 15.25 15.25 16.0 16.0 0.3624334762288909 0.3624334762288909 0.21845305416535887 0.21845305416535887 0.9182724832801445 0.9182724832801445 1.0 1.0 1.3499999999999999 1.3499999999999999 1.6666666666666667 1.6666666666666667 1.8333333333333333 1.8333333333333333 2.0 2.0
3 1 3 1.1350594999999828 0.9566586000000257 0.0 2.0917181000000085 2.0917181000000085 2.0917181000000085 2.0917181000000085 0.10458590500000042 0.0 0.0 270.5390625 259.95703125 20 20 1.0 20 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
4 1 2 3.2569989999999365 2.122964800000034 0.0 5.37996379999997 6.848412699999969 7.471681899999979 3.749900899999993 0.12744306259740293 0.6513891000000172 0.018611117142857632 315.6171875 311.97265625 42 42 1.0 42 20 20 1.0 0.8603487380104113 0.8339494084276615 1.0 1.0 1.0 1.0 0.9534495793368037 0.8603487380104113 0.8339494084276615 1.0 1.0 1.0 1.0 0.9534495793368037 False 0 0 False 2.1 2.1 2.0235456115702615 2.0235456115702615 0.9635931483667911 0.9635931483667911 0.6306645303152281 0.6306645303152281 1.0 1.0 1.0 1.0 1.5 1.5 2.25 2.25 10.0 10.0 0 0.0 0 0.0 7.352890588061267 0.000640737572555661 3.501376470505365 0.030155846208631522 6.749999999999998 0.0011708796207911764 3.2142857142857135 0.04018402645107366 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 5.773502691896258 0.0031088490803959454 0.27492869961410754 0.759626282941249 3.3333333333333335 0.035673993347252395 0.15873015873015875 0.8532265636477703 2 6 3.0 0.0 0.0 3.0 3.0 3.0 3.0 3.0 21.0 14.142135623730951 0.6734350297014738 11.0 16.0 21.0 26.0 31.0 2 12.0 2.8284271247461903 0.23570226039551587 10.0 11.0 12.0 13.0 14.0 23.0 23.0 16.97056274847714 16.97056274847714 0.7378505542816147 0.7378505542816147 11.0 11.0 17.0 17.0 23.0 23.0 29.0 29.0 35.0 35.0 0.9899494936611665 0.9899494936611665 0.4714045207910316 0.4714045207910316 0.770303486590203 0.770303486590203 1.1 1.1 1.4500000000000002 1.4500000000000002 1.8 1.8 2.15 2.15 2.5 2.5
5 1 1 7.7946707999999205 2.448325799999992 0.0 10.242996599999913 9.256535899999903 17.71467849999989 2.2475855749999862 0.1608180671929817 1.246306957142855 0.10301075381305853 306.01953125 301.3125 71 71 1.0 0 42 42 0.9436619718309859 0.7786054366617353 0.6506634607303035 1.0 1.0 1.0 1.0 0.9262018122205784 0.734740341638539 0.6140063643511314 0.9436619718309859 0.9436619718309859 0.9436619718309859 0.9436619718309859 0.8740214284335036 False 0 0 False 1.6904761904761905 1.6904761904761905 0.9496622053642698 0.9496622053642698 0.5617720088070328 0.5617720088070328 0.8213710151679307 0.8213710151679307 1.0 1.0 1.0 1.0 1.5 1.5 2.0 2.0 6.0 6.0 0 0.0 0 0.0 3.4024439884415787 0.03329180566373438 2.0127133452753 0.13362560991421443 3.0334467120181405 0.04814939469666608 1.7944332662642521 0.1662216290625521 5.236092690801669 0.005321007090589663 0.9973509887241275 0.3688552498527418 4.111111111111111 0.016389553790213604 0.783068783068783 0.45700141899595426 11.946349977201312 6.482852283740879e-06 1.3460676030649366 0.2602617032949947 9.61111111111111 6.698036031901545e-05 1.082942097026604 0.33859787097674365 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8 6.75 3.615443067098218 0.535621195125662 3.0 3.75 6.0 10.25 11.0 11.25 11.25 7.025463889106744 7.025463889106744 0.6244856790317106 0.6244856790317106 4.0 4.0 5.5 5.5 9.5 9.5 18.25 18.25 20.0 20.0 0.21965906431471455 0.21965906431471455 0.1299391648058875 0.1299391648058875 0.9468729490591885 0.9468729490591885 1.3333333333333333 1.3333333333333333 1.4583333333333333 1.4583333333333333 1.5625 1.5625 1.6590909090909092 1.6590909090909092 2.0 2.0
6 2 3 1.1390921000000134 0.8007479999999987 0.0 1.939840100000012 1.939840100000012 1.939840100000012 1.939840100000012 0.0969920050000006 0.0 0.0 284.35546875 274.1015625 20 20 1.0 20 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
7 2 2 3.3828170999999827 1.2720544000000018 0.0 4.6548714999999845 5.384332900000018 6.594711599999997 3.311387250000003 0.12055495450367638 1.2384415999999874 0.038701299999999605 321.265625 319.078125 42 42 1.0 42 20 20 1.0 0.9566117613124566 0.8727943381841636 1.0 1.0 1.0 1.0 0.9855372537708189 0.9566117613124566 0.8727943381841636 1.0 1.0 1.0 1.0 0.9855372537708189 False 0 0 False 2.1 2.1 2.100125309544522 2.100125309544522 1.000059671211677 1.000059671211677 0.6223152038330967 0.6223152038330967 1.0 1.0 1.0 1.0 1.0 1.0 3.0 3.0 10.0 10.0 0 0.0 0 0.0 5.895337140486538 0.002752248292304332 2.8073034002316843 0.06036756025262604 5.049999999999999 0.006409333446256388 2.404761904761904 0.0902869899532022 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 2.309401076758503 0.09932071923669414 0.109971479845643 0.8958596849886841 1.3333333333333333 0.26359713811572677 0.06349206349206349 0.9384815675375165 2 6 3.0 0.0 0.0 3.0 3.0 3.0 3.0 3.0 21.0 5.656854249492381 0.26937401188058957 17.0 19.0 21.0 23.0 25.0 2 12.0 2.8284271247461903 0.23570226039551587 10.0 11.0 12.0 13.0 14.0 24.5 24.5 10.606601717798213 10.606601717798213 0.43292251909380464 0.43292251909380464 17.0 17.0 20.75 20.75 24.5 24.5 28.25 28.25 32.0 32.0 0.41416254326640634 0.41416254326640634 0.19722025869828871 0.19722025869828871 0.8843229360874112 0.8843229360874112 1.7 1.7 1.8464285714285713 1.8464285714285713 1.9928571428571429 1.9928571428571429 2.1392857142857142 2.1392857142857142 2.2857142857142856 2.2857142857142856
8 2 1 7.072108900000032 1.846857399999962 0.0 8.918966299999994 7.230703300000002 15.51367789999999 1.9727521749999983 0.16105265663060897 1.2216162999999978 0.10550832164377294 310.78125 302.90625 71 71 1.0 0 42 42 0.9436619718309859 0.84354702271694 0.67400146253381 1.0 1.0 1.0 1.0 0.9478490075723134 0.7960232467892251 0.6360295491516235 0.9436619718309859 0.9436619718309859 0.9436619718309859 0.9436619718309859 0.8944490634837323 False 0 0 False 1.6904761904761905 1.6904761904761905 0.9750070728472726 0.9750070728472726 0.5767647473181049 0.5767647473181049 0.8179154261773042 0.8179154261773042 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 0 0.0 0 0.0 2.32812424699547 0.09747842115161355 1.3772002587860528 0.2522838948297768 1.9790249433106577 0.13820392829932854 1.170690811535882 0.3101526102417978 1.9364916731037085 0.14420899562475226 0.36885555678165877 0.6915252893750798 1.4444444444444444 0.2358770829857 0.2751322751322751 0.7594716573666103 5.261891294962297 0.0051854881510018215 0.5928891599957518 0.5527280558453932 4.388888888888889 0.012414515466073124 0.49452269170579033 0.6098619299945194 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8 6.5 1.4142135623730951 0.21757131728816848 5.0 5.0 6.5 8.0 8.0 10.625 10.625 3.0676887530703447 3.0676887530703447 0.28872364734779715 0.28872364734779715 6.0 6.0 9.5 9.5 10.0 10.0 12.25 12.25 16.0 16.0 0.27213287122869706 0.27213287122869706 0.16098000833246867 0.16098000833246867 0.9356029444661852 0.9356029444661852 1.2 1.2 1.4821428571428572 1.4821428571428572 1.6125 1.6125 1.75 1.75 2.0 2.0
9 3 3 1.1360937999999834 0.8698235999999753 0.0 2.0059173999999587 2.0059173999999587 2.0059173999999587 2.0059173999999587 0.10029586999999793 0.0 0.0 303.4375 293.046875 20 20 1.0 20 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
