 RU AL GT ST OT TT LT CT WT WT_PA MET MET_PA RSS VMS LE AC CF PSG SIZE SGLITS_T QL_SCORE LT_SCORE CT_SCORE AW_SCORE AW_PA_SCORE AME_SCORE AME_PA_SCORE TI_SCORE LT_GRADE CT_GRADE AW_GRADE AW_PA_GRADE AME_GRADE AME_PA_GRADE GRADE HAS_TRAILING TOT_CHOICES PRE_CHOICES FGOALS_ORDER CP_EF_L CP_EF_A SP_ED_L SP_ED_A SP_EB_L SP_EB_A SP_EBS_L SP_EBS_A SP_MIN_L SP_MIN_A SP_LOWER_L SP_LOWER_A SP_MED_L SP_MED_A SP_UPPER_L SP_UPPER_A SP_MAX_L SP_MAX_A T_INTER_SP P_INTER_SP T_INTER_Q P_INTER_Q M_CHILD_RMSE M_CHILD_RMSE_SCORE M_CHILD_NRMSE M_CHILD_NRMSE_SCORE M_CHILD_MAE M_CHILD_MAE_SCORE M_CHILD_NMAE M_CHILD_NMAE_SCORE DIV_INDEX_RMSE DIV_INDEX_RMSE_SCORE DIV_INDEX_NRMSE DIV_INDEX_NRMSE_SCORE DIV_INDEX_MAE DIV_INDEX_MAE_SCORE DIV_INDEX_NMAE DIV_INDEX_NMAE_SCORE DIV_STEP_RMSE DIV_STEP_RMSE_SCORE DIV_STEP_NRMSE DIV_STEP_NRMSE_SCORE DIV_STEP_MAE DIV_STEP_MAE_SCORE DIV_STEP_NMAE DIV_STEP_NMAE_SCORE DS_T DIVS_T DS_TD_MEAN DS_TD_STD DS_TD_CD DS_TD_MIN DS_TD_LOWER DS_TD_MED DS_TD_UPPER DS_TD_MAX DS_TS_MEAN DS_TS_STD DS_TS_CD DS_TS_MIN DS_TS_LOWER DS_TS_MED DS_TS_UPPER DS_TS_MAX PR_T PR_TS_MEAN PR_TS_STD PR_TS_CD PR_TS_MIN PR_TS_LOWER PR_TS_MED PR_TS_UPPER PR_TS_MAX PP_LE_MEAN PP_AC_MEAN PP_LE_STD PP_AC_STD PP_LE_CD PP_AC_CD PP_LE_MIN PP_AC_MIN PP_LE_LOWER PP_AC_LOWER PP_LE_MED PP_AC_MED PP_LE_UPPER PP_AC_UPPER PP_LE_MAX PP_AC_MAX PP_ED_L PP_ED_A PP_EB_L PP_EB_A PP_EBS_L PP_EBS_A PP_EF_LE_MIN PP_EF_AC_MIN PP_EF_LE_LOWER PP_EF_AC_LOWER PP_EF_LE_MED PP_EF_AC_MED PP_EF_LE_UPPER PP_EF_AC_UPPER PP_EF_LE_MAX PP_EF_AC_MAX
0 0 3 1.011352099999975 0.4230254000000002 0.0 1.4343774999999752 1.4343774999999752 1.4343774999999752 1.4343774999999752 0.07968763888888751 0.0 0.0 217.76953125 206.7109375 18 18 1.0 18 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 3 3.0 0.0 0.0 3.0 3.0 3.0 3.0 3.0 18.0 0.0 0.0 18.0 18.0 18.0 18.0 18.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 0 2 2.3268235000000175 0.6238706000000036 0.0 2.950694100000021 3.3034679000000082 4.385071599999996 1.1173795749999993 0.08963442732142814 0.388683466666663 0.04321692317460257 239.4609375 228.44140625 34 34 1.0 34 18 18 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.8888888888888888 1.8888888888888888 2.27231131071657 2.27231131071657 1.2029883409675959 1.2029883409675959 0.5898463390261125 0.5898463390261125 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 10.0 10.0 0 0.0 0 0.0 7.654714247165685 0.0004738052208659804 4.052495777911245 0.0173789464777727 6.722222222222224 0.001203859994828201 3.558823529411766 0.028472301843592496 0.5477225575051661 0.5782652777781269 0.1217161238900369 0.8853996766467194 0.4 0.6703200460356393 0.08888888888888889 0.914947228730031 5.504543577809154 0.0040682449944868465 0.6475933620951946 0.5233036649489785 4.0 0.01831563888873418 0.47058823529411764 0.6246347280002744 4 12 3.0 0.0 0.0 3.0 3.0 3.0 3.0 3.0 8.5 6.3508529610858835 0.7471591718924568 5.0 5.0 5.5 9.0 18.0 4 5.25 0.5 0.09523809523809523 5.0 5.0 5.0 5.25 6.0 9.5 9.5 7.047458170621991 7.047458170621991 0.7418377021707359 0.7418377021707359 5.0 5.0 5.75 5.75 6.5 6.5 10.25 10.25 20.0 20.0 1.445683229480096 1.445683229480096 0.7653617097247568 0.7653617097247568 0.6905849495284226 0.6905849495284226 1.0 1.0 1.0 1.0 1.2 1.2 2.05 2.05 4.0 4.0
2 0 1 6.447951500000002 1.155569100000001 0.0 7.603520600000003 4.121531800000014 11.9885922 0.7865352249999993 0.151480492673611 0.5642021199999984 0.1317745549814812 233.734375 223.078125 57 57 1.0 0 34 34 0.9298245614035088 1.0 0.7227666038603906 1.0 1.0 1.0 1.0 1.0 0.9298245614035088 0.6720461404315913 0.9298245614035088 0.9298245614035088 0.9298245614035088 0.9298245614035088 0.9298245614035088 False 0 0 False 1.6764705882352942 1.6764705882352942 1.0066622988655227 1.0066622988655227 0.6004652309022416 0.6004652309022416 0.802495295321237 0.802495295321237 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 0 0.0 0 0.0 2.6592041632802315 0.07000391126494557 1.5861919570443486 0.204703649684216 2.3313148788927327 0.09716789903610533 1.3906088751289984 0.24892369503377082 5.223673487679179 0.005387501809516589 2.4581992883196135 0.08558893327870656 4.294117647058823 0.013648609276341926 2.0207612456747404 0.1325545201079353 11.30354902622337 1.232909025914537e-05 3.1729260424486654 0.041880873229347575 9.382352941176471 8.419685902301435e-05 2.633642930856553 0.07181636307900045 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 16 2.875 1.4548768561863463 0.506044123890903 2.0 2.0 2.0 3.5 6.0 4.5 4.5 2.943920288775949 2.943920288775949 0.6542045086168775 0.6542045086168775 2.0 2.0 2.75 2.75 3.0 3.0 5.0 5.0 10.0 10.0 0.35636409803790614 0.35636409803790614 0.21256805847875102 0.21256805847875102 0.9135631027440575 0.9135631027440575 1.0 1.0 1.25 1.25 1.5 1.5 1.7000000000000002 1.7000000000000002 2.0 2.0
3 1 3 1.0063710000000015 0.3590182000000084 0.0 1.3653892000000099 1.3653892000000099 1.3653892000000099 1.3653892000000099 0.0758549555555561 0.0 0.0 222.40625 210.8125 18 18 1.0 18 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 3 3.0 0.0 0.0 3.0 3.0 3.0 3.0 3.0 18.0 0.0 0.0 18.0 18.0 18.0 18.0 18.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
4 1 2 2.3255041000000247 0.6852450999999959 0.0 3.0107492000000207 3.1776508000000376 4.3761384000000305 1.1154074000000058 0.09342321369047604 0.42799293333332855 0.049109845714285214 240.1171875 229.30859375 34 34 1.0 34 18 18 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.8888888888888888 1.8888888888888888 2.2199334618774946 2.2199334618774946 1.175258891582203 1.175258891582203 0.5954289644108743 0.5954289644108743 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 10.0 10.0 0 0.0 0 0.0 7.504045548134512 0.0005508513606252462 3.9727299960712124 0.018821979003587525 6.6111111111111125 0.0013453365003159965 3.500000000000001 0.030197383422318473 0.5477225575051661 0.5782652777781269 0.1217161238900369 0.8853996766467194 0.4 0.6703200460356393 0.08888888888888889 0.914947228730031 5.504543577809154 0.0040682449944868465 0.6475933620951946 0.5233036649489785 4.0 0.01831563888873418 0.47058823529411764 0.6246347280002744 4 12 3.0 0.0 0.0 3.0 3.0 3.0 3.0 3.0 8.5 6.3508529610858835 0.7471591718924568 5.0 5.0 5.5 9.0 18.0 4 5.25 0.5 0.09523809523809523 5.0 5.0 5.0 5.25 6.0 9.5 9.5 7.047458170621991 7.047458170621991 0.7418377021707359 0.7418377021707359 5.0 5.0 5.75 5.75 6.5 6.5 10.25 10.25 20.0 20.0 1.445683229480096 1.445683229480096 0.7653617097247568 0.7653617097247568 0.6905849495284226 0.6905849495284226 1.0 1.0 1.0 1.0 1.2 1.2 2.05 2.05 4.0 4.0
5 1 1 6.387482699999978 1.0994668999999888 0.0 7.486949599999967 3.998310500000038 11.863087999999998 0.7788230500000015 0.1520810147490538 0.5641905533333325 0.13117773720202103 238.4296875 228.3671875 57 57 1.0 0 34 34 0.9298245614035088 1.0 0.7248792121980654 1.0 1.0 1.0 1.0 1.0 0.9298245614035088 0.6740104955525871 0.9298245614035088 0.9298245614035088 0.9298245614035088 0.9298245614035088 0.9298245614035088 False 0 0 False 1.6764705882352942 1.6764705882352942 1.1206218034562159 1.1206218034562159 0.6684410757458129 0.6684410757458129 0.7868313962941271 0.7868313962941271 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 0 0.0 0 0.0 3.0424476806139746 0.047717948138440866 1.8147933533486866 0.16287156177573262 2.625432525951556 0.07240843173440065 1.5660474716202264 0.20886911407866365 5.223673487679179 0.005387501809516589 2.4581992883196135 0.08558893327870656 4.294117647058823 0.013648609276341926 2.0207612456747404 0.1325545201079353 11.436445226195275 1.0794808582622188e-05 3.210230238932007 0.04034732267806122 9.5 7.48518298877006e-05 2.6666666666666665 0.06948345122280154 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 16 2.875 1.4548768561863463 0.506044123890903 2.0 2.0 2.0 3.5 6.0 4.4375 4.4375 3.0324632451743474 3.0324632451743474 0.683371998912529 0.683371998912529 2.0 2.0 2.0 2.0 3.0 3.0 5.0 5.0 11.0 11.0 0.3771665807433496 0.3771665807433496 0.22497655693462956 0.22497655693462956 0.9092468895719465 0.9092468895719465 1.0 1.0 1.0 1.0 1.5 1.5 1.6583333333333334 1.6583333333333334 2.0 2.0
6 2 3 1.0055258999999666 0.3589154999999806 0.0 1.3644413999999472 1.3644413999999472 1.3644413999999472 1.3644413999999472 0.07580229999999706 0.0 0.0 233.625 222.04296875 18 18 1.0 18 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 3 3.0 0.0 0.0 3.0 3.0 3.0 3.0 3.0 18.0 0.0 0.0 18.0 18.0 18.0 18.0 18.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
7 2 2 2.3201159000000047 0.5798482000000007 0.0 2.8999641000000054 3.1931919999999394 4.2644054999999526 1.0874249249999899 0.08787221630952367 0.3855025666666734 0.04286887920634965 249.39453125 238.1953125 34 34 1.0 34 18 18 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.8888888888888888 1.8888888888888888 2.27231131071657 2.27231131071657 1.2029883409675959 1.2029883409675959 0.5898463390261125 0.5898463390261125 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 10.0 10.0 0 0.0 0 0.0 7.654714247165685 0.0004738052208659804 4.052495777911245 0.0173789464777727 6.722222222222224 0.001203859994828201 3.558823529411766 0.028472301843592496 0.5477225575051661 0.5782652777781269 0.1217161238900369 0.8853996766467194 0.4 0.6703200460356393 0.08888888888888889 0.914947228730031 5.504543577809154 0.0040682449944868465 0.6475933620951946 0.5233036649489785 4.0 0.01831563888873418 0.47058823529411764 0.6246347280002744 4 12 3.0 0.0 0.0 3.0 3.0 3.0 3.0 3.0 8.5 6.3508529610858835 0.7471591718924568 5.0 5.0 5.5 9.0 18.0 4 5.25 0.5 0.09523809523809523 5.0 5.0 5.0 5.25 6.0 9.5 9.5 7.047458170621991 7.047458170621991 0.7418377021707359 0.7418377021707359 5.0 5.0 5.75 5.75 6.5 6.5 10.25 10.25 20.0 20.0 1.445683229480096 1.445683229480096 0.7653617097247568 0.7653617097247568 0.6905849495284226 0.6905849495284226 1.0 1.0 1.0 1.0 1.2 1.2 2.05 2.05 4.0 4.0
8 2 1 6.144120400000006 1.1680491000000046 0.0 7.31216950000001 3.9994353999999674 11.576574999999963 0.7611030999999953 0.15517540194444365 0.5452142799999972 0.1359861313148132 247.6875 236.44921875 55 55 1.0 0 34 34 0.9636363636363636 1.0 0.7298312429260359 1.0 1.0 1.0 1.0 1.0 0.9636363636363636 0.7032919250014528 0.9636363636363636 0.9636363636363636 0.9636363636363636 0.9636363636363636 0.9636363636363636 False 0 0 False 1.6176470588235294 1.6176470588235294 1.0735019408982454 1.0735019408982454 0.6636193816461881 0.6636193816461881 0.793203521970418 0.793203521970418 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 0 0.0 0 0.0 2.282114147605014 0.10206819122964905 1.4107614730649176 0.243957445383543 1.9316608996539788 0.1449073219822088 1.1941176470588233 0.3029711637756704 5.223673487679179 0.005387501809516589 2.4581992883196135 0.08558893327870656 4.294117647058823 0.013648609276341926 2.0207612456747404 0.1325545201079353 10.531727275796914 2.6676506779384106e-05 3.063775207504557 0.04671101814726428 8.735294117647058 0.00016080885768238805 2.541176470588235 0.07877367034834744 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 16 2.875 1.4548768561863463 0.506044123890903 2.0 2.0 2.0 3.5 6.0 4.3125 4.3125 2.774136502289196 2.774136502289196 0.6432780295163353 0.6432780295163353 2.0 2.0 2.75 2.75 3.0 3.0 5.75 5.75 10.0 10.0 0.4156153403221675 0.4156153403221675 0.25692584674461266 0.25692584674461266 0.9014382381987637 0.9014382381987637 1.0 1.0 1.0 1.0 1.5 1.5 1.525 1.525 2.5 2.5
9 3 3 1.0073838000000137 0.3348470999999762 0.0 1.34223089999999 1.34223089999999 1.34223089999999 1.34223089999999 0.07456838333333277 0.0 0.0 247.52734375 236.9453125 18 18 1.0 18 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 3 3.0 0.0 0.0 3.0 3.0 3.0 3.0 3.0 18.0 0.0 0.0 18.0 18.0 18.0 18.0 18.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
