 RU AL GT ST OT TT LT CT WT WT_PA MET MET_PA RSS VMS LE AC CF PSG SIZE SGLITS_T QL_SCORE LT_SCORE CT_SCORE AW_SCORE AW_PA_SCORE AME_SCORE AME_PA_SCORE TI_SCORE LT_GRADE CT_GRADE AW_GRADE AW_PA_GRADE AME_GRADE AME_PA_GRADE GRADE HAS_TRAILING TOT_CHOICES PRE_CHOICES FGOALS_ORDER CP_EF_L CP_EF_A SP_ED_L SP_ED_A SP_EB_L SP_EB_A SP_EBS_L SP_EBS_A SP_MIN_L SP_MIN_A SP_LOWER_L SP_LOWER_A SP_MED_L SP_MED_A SP_UPPER_L SP_UPPER_A SP_MAX_L SP_MAX_A T_INTER_SP P_INTER_SP T_INTER_Q P_INTER_Q M_CHILD_RMSE M_CHILD_RMSE_SCORE M_CHILD_NRMSE M_CHILD_NRMSE_SCORE M_CHILD_MAE M_CHILD_MAE_SCORE M_CHILD_NMAE M_CHILD_NMAE_SCORE DIV_INDEX_RMSE DIV_INDEX_RMSE_SCORE DIV_INDEX_NRMSE DIV_INDEX_NRMSE_SCORE DIV_INDEX_MAE DIV_INDEX_MAE_SCORE DIV_INDEX_NMAE DIV_INDEX_NMAE_SCORE DIV_STEP_RMSE DIV_STEP_RMSE_SCORE DIV_STEP_NRMSE DIV_STEP_NRMSE_SCORE DIV_STEP_MAE DIV_STEP_MAE_SCORE DIV_STEP_NMAE DIV_STEP_NMAE_SCORE DS_T DIVS_T DS_TD_MEAN DS_TD_STD DS_TD_CD DS_TD_MIN DS_TD_LOWER DS_TD_MED DS_TD_UPPER DS_TD_MAX DS_TS_MEAN DS_TS_STD DS_TS_CD DS_TS_MIN DS_TS_LOWER DS_TS_MED DS_TS_UPPER DS_TS_MAX PR_T PR_TS_MEAN PR_TS_STD PR_TS_CD PR_TS_MIN PR_TS_LOWER PR_TS_MED PR_TS_UPPER PR_TS_MAX PP_LE_MEAN PP_AC_MEAN PP_LE_STD PP_AC_STD PP_LE_CD PP_AC_CD PP_LE_MIN PP_AC_MIN PP_LE_LOWER PP_AC_LOWER PP_LE_MED PP_AC_MED PP_LE_UPPER PP_AC_UPPER PP_LE_MAX PP_AC_MAX PP_ED_L PP_ED_A PP_EB_L PP_EB_A PP_EBS_L PP_EBS_A PP_EF_LE_MIN PP_EF_AC_MIN PP_EF_LE_LOWER PP_EF_AC_LOWER PP_EF_LE_MED PP_EF_AC_MED PP_EF_LE_UPPER PP_EF_AC_UPPER PP_EF_LE_MAX PP_EF_AC_MAX
0 0 4 1.167331599999983 0.09907730000003312 0.0 1.266408900000016 1.266408900000016 1.266408900000016 1.266408900000016 0.07035605000000089 0.0 0.0 424.984375 428.5703125 9 18 0.5 31 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 0 3 4.020391499999988 1.73444939999996 0.0 5.754840899999948 7.021249799999964 7.021249799999964 7.021249799999964 0.2264919290322569 0.0 0.0 504.37890625 510.44140625 18 31 0.5806451612903226 31 9 31 0.9354838709677419 0.8524895737872681 0.8524895737872681 0.8524895737872681 1.0 1.0 1.0 0.8524895737872681 0.797490246446154 0.797490246446154 0.797490246446154 0.9354838709677419 0.9354838709677419 0.9354838709677419 0.797490246446154 False 0 0 False 2.0 1.7222222222222223 1.3228756555322954 0.4480965313252709 0.6614378277661477 0.4255791176908351 0.6164224933981441 0.8314919827311211 1.0 0.5 1.0 1.0 1.0 1.0 3.0 1.1428571428571428 4.0 2.0 0 0.0 0 0.0 1.8257418583505538 0.1610980878266266 0.9128709291752769 0.40137026275824994 1.5555555555555556 0.2110720877910902 0.7777777777777778 0.45942582403592663 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 9.0 0.0 0.0 9.0 9.0 9.0 9.0 9.0 18.0 31.0 0.0 0.0 0.0 0.0 18.0 31.0 18.0 31.0 18.0 31.0 18.0 31.0 18.0 31.0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1.7222222222222223 2.0 1.7222222222222223 2.0 1.7222222222222223 2.0 1.7222222222222223 2.0 1.7222222222222223
2 0 2 9.426799899999935 3.422251299999971 0.0 12.849051199999906 19.87030099999987 19.87030099999987 19.87030099999987 0.3367847627118622 0.0 0.0 593.6328125 604.48828125 34 59 0.576271186440678 59 18 31 0.9322033898305084 0.6311875083004954 0.6311875083004954 0.6311875083004954 1.0 1.0 1.0 0.6311875083004954 0.588395134856394 0.588395134856394 0.588395134856394 0.9322033898305084 0.9322033898305084 0.9322033898305084 0.588395134856394 False 0 0 False 1.8888888888888888 1.903225806451613 1.4907119849998596 2.6568446566202857 0.7892004626469845 1.1386477099801224 0.6842729296457719 0.5514069578218973 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 7.0 12.0 0 0.0 0 0.0 4.361258549052928 0.012762315537753473 2.308901584792727 0.09937034152992467 4.0 0.01831563888873418 2.1176470588235294 0.12031438840089924 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 18.0 0.0 0.0 18.0 18.0 18.0 18.0 18.0 34.0 59.0 0.0 0.0 0.0 0.0 34.0 59.0 34.0 59.0 34.0 59.0 34.0 59.0 34.0 59.0 0.0 0.0 0.0 0.0 0.0 0.0 1.8888888888888888 1.903225806451613 1.8888888888888888 1.903225806451613 1.8888888888888888 1.903225806451613 1.8888888888888888 1.903225806451613 1.8888888888888888 1.903225806451613
3 0 1 48.50700550000005 49.07598979999989 0.0 97.58299529999994 117.4532962999998 117.4532962999998 117.4532962999998 1.3050366255555534 0.0 0.0 879.15234375 918.484375 63 90 0.7 0 34 59 0.9444444444444444 0.3687726249394774 0.3687726249394774 0.3687726249394774 0.9644814066902981 1.0 1.0 0.3687726249394774 0.3482852568872842 0.3482852568872842 0.3482852568872842 0.9108991063186149 0.9444444444444444 0.9444444444444444 0.3482852568872842 False 0 0 False 1.8529411764705883 1.5254237288135593 1.3287577461486684 0.8771459552081216 0.7171073550643606 0.547210320680296 0.7602811841446728 0.8214157315966375 1.0 0.5 1.0 1.0 2.0 1.5 2.0 2.0 8.0 4.5 0 0.0 0 0.0 4.305233396934029 0.01349773484420601 2.323459293583444 0.09793421574866883 3.808823529411764 0.02217425097163528 2.055555555555555 0.12802169265485291 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 34.0 0.0 0.0 34.0 34.0 34.0 34.0 34.0 63.0 90.0 0.0 0.0 0.0 0.0 63.0 90.0 63.0 90.0 63.0 90.0 63.0 90.0 63.0 90.0 0.0 0.0 0.0 0.0 0.0 0.0 1.8529411764705883 1.5254237288135593 1.8529411764705883 1.5254237288135593 1.8529411764705883 1.5254237288135593 1.8529411764705883 1.5254237288135593 1.8529411764705883 1.5254237288135593
4 1 4 1.151469200000065 0.0979567999999631 0.0 1.2494260000000281 1.2494260000000281 1.2494260000000281 1.2494260000000281 0.06941255555555711 0.0 0.0 466.4296875 482.69140625 9 18 0.5 32 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5 1 3 4.564815600000088 7.948723400000063 0.0 12.51353900000015 13.762965000000179 13.762965000000179 13.762965000000179 0.4439666129032316 0.0 0.0 570.421875 594.67578125 20 31 0.6451612903225806 31 9 32 0.9354838709677419 0.6960064846101441 0.6960064846101441 0.6960064846101441 1.0 1.0 1.0 0.6960064846101441 0.6511028404417477 0.6511028404417477 0.6511028404417477 0.9354838709677419 0.9354838709677419 0.9354838709677419 0.6511028404417477 False 0 0 False 2.2222222222222223 1.7222222222222223 1.5634719199411433 2.4072293381436998 0.7035623639735145 1.4984482335418994 0.5715674364403028 0.44206911625414447 1.0 0.5 1.0 0.625 1.0 1.0 3.0 1.0 5.0 8.0 0 0.0 0 0.0 1.5058186185374907 0.22183562073020496 0.6776183783418708 0.5078250003049223 1.1728395061728396 0.3094869024490398 0.5277777777777778 0.5899144351448397 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 9.0 0.0 0.0 9.0 9.0 9.0 9.0 9.0 20.0 31.0 0.0 0.0 0.0 0.0 20.0 31.0 20.0 31.0 20.0 31.0 20.0 31.0 20.0 31.0 0.0 0.0 0.0 0.0 0.0 0.0 2.2222222222222223 1.7222222222222223 2.2222222222222223 1.7222222222222223 2.2222222222222223 1.7222222222222223 2.2222222222222223 1.7222222222222223 2.2222222222222223 1.7222222222222223
6 1 2 11.249200400000063 6.314734399999963 0.0 17.563934800000027 31.326899800000206 31.326899800000206 31.326899800000206 0.4894828093750032 0.0 0.0 674.1875 693.46484375 39 64 0.609375 64 20 31 0.859375 0.5586881398989758 0.5586881398989758 0.5586881398989758 1.0 1.0 1.0 0.5586881398989758 0.48012262022568236 0.48012262022568236 0.48012262022568236 0.859375 0.859375 0.859375 0.48012262022568236 False 0 0 False 1.95 2.064516129032258 1.4317821063276353 2.475671094556192 0.7342472340141719 1.0104779977780374 0.7033698994075233 0.5841458891020993 1.0 0.5 1.0 1.0 1.5 2.0 2.25 2.125 7.0 12.0 0 0.0 0 0.0 4.421396838104448 0.012017434145382571 2.2673829938997168 0.10358290277557142 4.125000000000001 0.01616349458816586 2.115384615384616 0.1205869010555361 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 39.0 64.0 0.0 0.0 0.0 0.0 39.0 64.0 39.0 64.0 39.0 64.0 39.0 64.0 39.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 1.95 2.064516129032258 1.95 2.064516129032258 1.95 2.064516129032258 1.95 2.064516129032258 1.95 2.064516129032258
7 1 1 57.383569000000136 81.56858720000002 0.0 138.95215620000016 170.27905600000037 170.27905600000037 170.27905600000037 1.7375413877551058 0.0 0.0 1175.1484375 1227.94140625 72 98 0.7346938775510204 0 39 64 0.8673469387755102 0.317772153704027 0.317772153704027 0.317772153704027 0.9262933724339184 1.0 1.0 0.317772153704027 0.2756187047432887 0.2756187047432887 0.2756187047432887 0.8034177209886026 0.8673469387755102 0.8673469387755102 0.2756187047432887 False 0 0 False 1.8461538461538463 1.53125 1.367642257364679 0.9011538562335448 0.740806222739201 0.5534645731198149 0.7647386027278968 0.8246348617395327 1.0 0.5 1.0 1.0 2.0 1.5 2.0 2.0 9.0 5.0 0 0.0 0 0.0 3.9945722543307465 0.01841532180041326 2.1637266377624877 0.11489614590097214 3.538461538461538 0.02905799732292878 1.9166666666666663 0.14709646739297688 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 39.0 0.0 0.0 39.0 39.0 39.0 39.0 39.0 72.0 98.0 0.0 0.0 0.0 0.0 72.0 98.0 72.0 98.0 72.0 98.0 72.0 98.0 72.0 98.0 0.0 0.0 0.0 0.0 0.0 0.0 1.8461538461538463 1.53125 1.8461538461538463 1.53125 1.8461538461538463 1.53125 1.8461538461538463 1.53125 1.8461538461538463 1.53125
8 2 4 1.1621276999999282 0.09099540000022444 0.0 1.2531231000001526 1.2531231000001526 1.2531231000001526 1.2531231000001526 0.06961795000000848 0.0 0.0 538.48828125 558.19140625 9 18 0.5 32 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9 2 3 4.555320599999959 6.121942699999863 0.0 10.677263299999822 11.930386399999975 11.930386399999975 11.930386399999975 0.3848511741935476 0.0 0.0 638.8046875 665.9453125 20 31 0.6451612903225806 31 9 32 0.9354838709677419 0.723742222201185 0.723742222201185 0.723742222201185 1.0 1.0 1.0 0.723742222201185 0.6770491756075602 0.6770491756075602 0.6770491756075602 0.9354838709677419 0.9354838709677419 0.9354838709677419 0.6770491756075602 False 0 0 False 2.2222222222222223 1.7222222222222223 1.5634719199411433 2.4072293381436998 0.7035623639735145 1.4984482335418994 0.5715674364403028 0.44206911625414447 1.0 0.5 1.0 0.625 1.0 1.0 3.0 1.0 5.0 8.0 0 0.0 0 0.0 1.5058186185374907 0.22183562073020496 0.6776183783418708 0.5078250003049223 1.1728395061728396 0.3094869024490398 0.5277777777777778 0.5899144351448397 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 9.0 0.0 0.0 9.0 9.0 9.0 9.0 9.0 20.0 31.0 0.0 0.0 0.0 0.0 20.0 31.0 20.0 31.0 20.0 31.0 20.0 31.0 20.0 31.0 0.0 0.0 0.0 0.0 0.0 0.0 2.2222222222222223 1.7222222222222223 2.2222222222222223 1.7222222222222223 2.2222222222222223 1.7222222222222223 2.2222222222222223 1.7222222222222223 2.2222222222222223 1.7222222222222223
