 RU AL GT ST OT TT LT CT WT WT_PA MET MET_PA RSS VMS LE AC CF PSG SIZE SGLITS_T QL_SCORE LT_SCORE CT_SCORE AW_SCORE AW_PA_SCORE AME_SCORE AME_PA_SCORE TI_SCORE LT_GRADE CT_GRADE AW_GRADE AW_PA_GRADE AME_GRADE AME_PA_GRADE GRADE HAS_TRAILING TOT_CHOICES PRE_CHOICES FGOALS_ORDER CP_EF_L CP_EF_A SP_ED_L SP_ED_A SP_EB_L SP_EB_A SP_EBS_L SP_EBS_A SP_MIN_L SP_MIN_A SP_LOWER_L SP_LOWER_A SP_MED_L SP_MED_A SP_UPPER_L SP_UPPER_A SP_MAX_L SP_MAX_A T_INTER_SP P_INTER_SP T_INTER_Q P_INTER_Q M_CHILD_RMSE M_CHILD_RMSE_SCORE M_CHILD_NRMSE M_CHILD_NRMSE_SCORE M_CHILD_MAE M_CHILD_MAE_SCORE M_CHILD_NMAE M_CHILD_NMAE_SCORE DIV_INDEX_RMSE DIV_INDEX_RMSE_SCORE DIV_INDEX_NRMSE DIV_INDEX_NRMSE_SCORE DIV_INDEX_MAE DIV_INDEX_MAE_SCORE DIV_INDEX_NMAE DIV_INDEX_NMAE_SCORE DIV_STEP_RMSE DIV_STEP_RMSE_SCORE DIV_STEP_NRMSE DIV_STEP_NRMSE_SCORE DIV_STEP_MAE DIV_STEP_MAE_SCORE DIV_STEP_NMAE DIV_STEP_NMAE_SCORE DS_T DIVS_T DS_TD_MEAN DS_TD_STD DS_TD_CD DS_TD_MIN DS_TD_LOWER DS_TD_MED DS_TD_UPPER DS_TD_MAX DS_TS_MEAN DS_TS_STD DS_TS_CD DS_TS_MIN DS_TS_LOWER DS_TS_MED DS_TS_UPPER DS_TS_MAX PR_T PR_TS_MEAN PR_TS_STD PR_TS_CD PR_TS_MIN PR_TS_LOWER PR_TS_MED PR_TS_UPPER PR_TS_MAX PP_LE_MEAN PP_AC_MEAN PP_LE_STD PP_AC_STD PP_LE_CD PP_AC_CD PP_LE_MIN PP_AC_MIN PP_LE_LOWER PP_AC_LOWER PP_LE_MED PP_AC_MED PP_LE_UPPER PP_AC_UPPER PP_LE_MAX PP_AC_MAX PP_ED_L PP_ED_A PP_EB_L PP_EB_A PP_EBS_L PP_EBS_A PP_EF_LE_MIN PP_EF_AC_MIN PP_EF_LE_LOWER PP_EF_AC_LOWER PP_EF_LE_MED PP_EF_AC_MED PP_EF_LE_UPPER PP_EF_AC_UPPER PP_EF_LE_MAX PP_EF_AC_MAX
0 0 4 0.5201557000000037 0.08398289999998099 0.0 0.6041385999999846 0.6041385999999846 0.6041385999999846 0.6041385999999846 0.04647219999999882 0.0 0.0 269.1796875 265.89453125 9 13 0.6923076923076923 22 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 0 3 1.2242608000000104 0.22964979999999002 0.0 1.4539106000000004 2.058049199999985 2.058049199999985 2.058049199999985 0.08575204999999937 0.0 0.0 300.95703125 301.91015625 15 24 0.625 24 9 22 0.8333333333333334 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.8333333333333334 0.8333333333333334 0.8333333333333334 0.8333333333333334 0.8333333333333334 0.8333333333333334 0.8333333333333334 False 0 0 False 1.6666666666666667 1.8461538461538463 0.8660254037844386 0.7476816018719317 0.5196152422706631 0.625965992264873 0.716091507987253 0.7459112207091672 1.0 0.5 1.0 1.0 1.0 1.0 2.0 1.25 3.0 3.0 0 0.0 0 0.0 1.1706281947614157 0.31017203160588874 0.7023769168568493 0.49540636348856176 1.0000000000000004 0.36787944117144217 0.6000000000000002 0.5488116360940263 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 9.0 0.0 0.0 9.0 9.0 9.0 9.0 9.0 15.0 24.0 0.0 0.0 0.0 0.0 15.0 24.0 15.0 24.0 15.0 24.0 15.0 24.0 15.0 24.0 0.0 0.0 0.0 0.0 0.0 0.0 1.6666666666666667 1.8461538461538463 1.6666666666666667 1.8461538461538463 1.6666666666666667 1.8461538461538463 1.6666666666666667 1.8461538461538463 1.6666666666666667 1.8461538461538463
2 0 2 3.9287844999999777 1.0968644000000154 0.0 5.025648899999993 7.083698099999978 7.083698099999978 7.083698099999978 0.14456526734693834 0.0 0.0 339.3515625 335.76171875 31 49 0.6326530612244898 49 15 24 0.8571428571428571 0.8497600884642457 0.8497600884642457 0.8497600884642457 1.0 1.0 1.0 0.8497600884642457 0.7283657901122105 0.7283657901122105 0.7283657901122105 0.8571428571428571 0.8571428571428571 0.8571428571428571 0.7283657901122105 False 0 0 False 2.066666666666667 2.0416666666666665 1.579632265825846 2.802210012183411 0.7643381931415383 1.1515931556918129 0.6500630395391338 0.5068102949905018 1.0 0.5 1.0 1.0 2.0 2.0 2.5 2.25 7.0 12.0 0 0.0 0 0.0 4.23670032332116 0.014455210758221456 2.0500162854779806 0.12873280709543775 3.866666666666666 0.020928013331991662 1.8709677419354833 0.15397458203135667 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 15.0 0.0 0.0 15.0 15.0 15.0 15.0 15.0 31.0 49.0 0.0 0.0 0.0 0.0 31.0 49.0 31.0 49.0 31.0 49.0 31.0 49.0 31.0 49.0 0.0 0.0 0.0 0.0 0.0 0.0 2.066666666666667 2.0416666666666665 2.066666666666667 2.0416666666666665 2.066666666666667 2.0416666666666665 2.066666666666667 2.0416666666666665 2.066666666666667 2.0416666666666665
3 0 1 14.843072299999946 21.038012900000012 0.0 35.88108519999996 42.96478329999994 42.96478329999994 42.96478329999994 0.5579841987012979 0.0 0.0 512.296875 518.60546875 59 77 0.7662337662337663 0 31 49 0.8701298701298701 0.5113551130392611 0.5113551130392611 0.5113551130392611 1.0 1.0 1.0 0.5113551130392611 0.44494535809909724 0.44494535809909724 0.44494535809909724 0.8701298701298701 0.8701298701298701 0.8701298701298701 0.44494535809909724 False 0 0 False 1.903225806451613 1.5714285714285714 1.6604183952582037 1.046242637208969 0.8724232246271917 0.6177813667329151 0.7150591008035628 0.7914944905519377 1.0 0.5 1.0 1.0 2.0 1.5 2.0 2.0 10.0 5.5 0 0.0 0 0.0 4.059136224451902 0.01726392483295721 2.132766490813711 0.11850898591048462 3.5483870967741917 0.02877100710124845 1.864406779661016 0.15498812472722379 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 31.0 0.0 0.0 31.0 31.0 31.0 31.0 31.0 59.0 77.0 0.0 0.0 0.0 0.0 59.0 77.0 59.0 77.0 59.0 77.0 59.0 77.0 59.0 77.0 0.0 0.0 0.0 0.0 0.0 0.0 1.903225806451613 1.5714285714285714 1.903225806451613 1.5714285714285714 1.903225806451613 1.5714285714285714 1.903225806451613 1.5714285714285714 1.903225806451613 1.5714285714285714
4 1 4 0.5221463000000028 0.045861900000033984 0.0 0.5680082000000368 0.5680082000000368 0.5680082000000368 0.5680082000000368 0.04369293846154129 0.0 0.0 291.0625 292.66796875 9 13 0.6923076923076923 22 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5 1 3 1.223842699999949 0.2181965000000048 0.0 1.4420391999999538 2.0100473999999906 2.0100473999999906 2.0100473999999906 0.0873933652173909 0.0 0.0 322.83203125 330.59765625 15 23 0.6521739130434783 23 9 22 0.8695652173913043 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.8695652173913043 0.8695652173913043 0.8695652173913043 0.8695652173913043 0.8695652173913043 0.8695652173913043 0.8695652173913043 False 0 0 False 1.6666666666666667 1.7692307692307692 1.1180339887498947 0.3535533905932738 0.6708203932499368 0.3535533905932738 0.6584380575568152 0.8622201486656301 1.0 0.5 1.0 1.0 1.0 1.0 2.0 1.0 4.0 1.5 0 0.0 0 0.0 1.0715167512214394 0.3424886531829688 0.6429100507328637 0.5257602068342193 0.8518518518518516 0.4266241552421305 0.511111111111111 0.5998287320415084 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 9.0 0.0 0.0 9.0 9.0 9.0 9.0 9.0 15.0 23.0 0.0 0.0 0.0 0.0 15.0 23.0 15.0 23.0 15.0 23.0 15.0 23.0 15.0 23.0 0.0 0.0 0.0 0.0 0.0 0.0 1.6666666666666667 1.7692307692307692 1.6666666666666667 1.7692307692307692 1.6666666666666667 1.7692307692307692 1.6666666666666667 1.7692307692307692 1.6666666666666667 1.7692307692307692
6 1 2 3.900901000000033 1.12150189999997 0.0 5.022402900000003 7.032450299999994 7.032450299999994 7.032450299999994 0.1435193938775509 0.0 0.0 363.2421875 362.6953125 31 49 0.6326530612244898 49 15 23 0.8571428571428571 0.8519958955750987 0.8519958955750987 0.8519958955750987 1.0 1.0 1.0 0.8519958955750987 0.7302821962072275 0.7302821962072275 0.7302821962072275 0.8571428571428571 0.8571428571428571 0.8571428571428571 0.7302821962072275 False 0 0 False 2.066666666666667 2.130434782608696 1.5337473561121313 2.7416540019970914 0.7421358174736119 1.0822318428935889 0.6566904945348487 0.5127388112485908 1.0 1.0 1.0 1.25 2.0 2.0 2.0 2.0 7.0 12.0 0 0.0 0 0.0 3.2908402619436914 0.037222559551985814 1.5923420622308182 0.20344856411673848 2.5333333333333323 0.07939393227707829 1.2258064516129026 0.2935208944513773 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 15.0 0.0 0.0 15.0 15.0 15.0 15.0 15.0 31.0 49.0 0.0 0.0 0.0 0.0 31.0 49.0 31.0 49.0 31.0 49.0 31.0 49.0 31.0 49.0 0.0 0.0 0.0 0.0 0.0 0.0 2.066666666666667 2.130434782608696 2.066666666666667 2.130434782608696 2.066666666666667 2.130434782608696 2.066666666666667 2.130434782608696 2.066666666666667 2.130434782608696
7 1 1 14.485330500000032 15.172053699999964 0.0 29.657384199999996 36.68983449999999 36.68983449999999 36.68983449999999 0.4827609802631578 0.0 0.0 498.5078125 504.64453125 58 76 0.7631578947368421 0 31 49 0.881578947368421 0.5347815829570335 0.5347815829570335 0.5347815829570335 1.0 1.0 1.0 0.5347815829570335 0.4714521849752795 0.4714521849752795 0.4714521849752795 0.881578947368421 0.881578947368421 0.881578947368421 0.4714521849752795 False 0 0 False 1.8709677419354838 1.5510204081632653 1.6480682729359437 1.003220620254202 0.8808640769140389 0.6038803733568983 0.7164140800229948 0.7976823575170903 1.0 0.5 1.0 1.0 2.0 1.5 2.0 2.0 10.0 5.5 0 0.0 0 0.0 3.8731176825299714 0.02079344091708357 2.070114623421192 0.12617131868795003 2.9968782518210206 0.04994273390576537 1.601779755283649 0.20153751116691704 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 31.0 0.0 0.0 31.0 31.0 31.0 31.0 31.0 58.0 76.0 0.0 0.0 0.0 0.0 58.0 76.0 58.0 76.0 58.0 76.0 58.0 76.0 58.0 76.0 0.0 0.0 0.0 0.0 0.0 0.0 1.8709677419354838 1.5510204081632653 1.8709677419354838 1.5510204081632653 1.8709677419354838 1.5510204081632653 1.8709677419354838 1.5510204081632653 1.8709677419354838 1.5510204081632653
8 2 4 0.5190399000000525 0.046556900000013 0.0 0.5655968000000655 0.5655968000000655 0.5655968000000655 0.5655968000000655 0.043507446153851194 0.0 0.0 298.68359375 307.20703125 9 13 0.6923076923076923 22 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9 2 3 1.2202176000000406 0.23677729999999997 0.0 1.4569949000000406 2.022591700000106 2.022591700000106 2.022591700000106 0.08793876956522201 0.0 0.0 332.69921875 344.35546875 15 23 0.6521739130434783 23 9 22 0.8695652173913043 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.8695652173913043 0.8695652173913043 0.8695652173913043 0.8695652173913043 0.8695652173913043 0.8695652173913043 0.8695652173913043 False 0 0 False 1.6666666666666667 1.7692307692307692 1.1180339887498947 0.3535533905932738 0.6708203932499368 0.3535533905932738 0.6584380575568152 0.8622201486656301 1.0 0.5 1.0 1.0 1.0 1.0 2.0 1.0 4.0 1.5 0 0.0 0 0.0 1.0715167512214394 0.3424886531829688 0.6429100507328637 0.5257602068342193 0.8518518518518516 0.4266241552421305 0.511111111111111 0.5998287320415084 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 9.0 0.0 0.0 9.0 9.0 9.0 9.0 9.0 15.0 23.0 0.0 0.0 0.0 0.0 15.0 23.0 15.0 23.0 15.0 23.0 15.0 23.0 15.0 23.0 0.0 0.0 0.0 0.0 0.0 0.0 1.6666666666666667 1.7692307692307692 1.6666666666666667 1.7692307692307692 1.6666666666666667 1.7692307692307692 1.6666666666666667 1.7692307692307692 1.6666666666666667 1.7692307692307692
