 RU AL GT ST OT TT LT CT WT WT_PA MET MET_PA RSS VMS LE AC CF PSG SIZE SGLITS_T QL_SCORE LT_SCORE CT_SCORE AW_SCORE AW_PA_SCORE AME_SCORE AME_PA_SCORE TI_SCORE LT_GRADE CT_GRADE AW_GRADE AW_PA_GRADE AME_GRADE AME_PA_GRADE GRADE HAS_TRAILING TOT_CHOICES PRE_CHOICES FGOALS_ORDER CP_EF_L CP_EF_A SP_ED_L SP_ED_A SP_EB_L SP_EB_A SP_EBS_L SP_EBS_A SP_MIN_L SP_MIN_A SP_LOWER_L SP_LOWER_A SP_MED_L SP_MED_A SP_UPPER_L SP_UPPER_A SP_MAX_L SP_MAX_A T_INTER_SP P_INTER_SP T_INTER_Q P_INTER_Q M_CHILD_RMSE M_CHILD_RMSE_SCORE M_CHILD_NRMSE M_CHILD_NRMSE_SCORE M_CHILD_MAE M_CHILD_MAE_SCORE M_CHILD_NMAE M_CHILD_NMAE_SCORE DIV_INDEX_RMSE DIV_INDEX_RMSE_SCORE DIV_INDEX_NRMSE DIV_INDEX_NRMSE_SCORE DIV_INDEX_MAE DIV_INDEX_MAE_SCORE DIV_INDEX_NMAE DIV_INDEX_NMAE_SCORE DIV_STEP_RMSE DIV_STEP_RMSE_SCORE DIV_STEP_NRMSE DIV_STEP_NRMSE_SCORE DIV_STEP_MAE DIV_STEP_MAE_SCORE DIV_STEP_NMAE DIV_STEP_NMAE_SCORE DS_T DIVS_T DS_TD_MEAN DS_TD_STD DS_TD_CD DS_TD_MIN DS_TD_LOWER DS_TD_MED DS_TD_UPPER DS_TD_MAX DS_TS_MEAN DS_TS_STD DS_TS_CD DS_TS_MIN DS_TS_LOWER DS_TS_MED DS_TS_UPPER DS_TS_MAX PR_T PR_TS_MEAN PR_TS_STD PR_TS_CD PR_TS_MIN PR_TS_LOWER PR_TS_MED PR_TS_UPPER PR_TS_MAX PP_LE_MEAN PP_AC_MEAN PP_LE_STD PP_AC_STD PP_LE_CD PP_AC_CD PP_LE_MIN PP_AC_MIN PP_LE_LOWER PP_AC_LOWER PP_LE_MED PP_AC_MED PP_LE_UPPER PP_AC_UPPER PP_LE_MAX PP_AC_MAX PP_ED_L PP_ED_A PP_EB_L PP_EB_A PP_EBS_L PP_EBS_A PP_EF_LE_MIN PP_EF_AC_MIN PP_EF_LE_LOWER PP_EF_AC_LOWER PP_EF_LE_MED PP_EF_AC_MED PP_EF_LE_UPPER PP_EF_AC_UPPER PP_EF_LE_MAX PP_EF_AC_MAX
0 0 4 1.3604200999993736 0.20523800000091796 0.0 1.5656581000002916 1.5656581000002916 1.5656581000002916 1.5656581000002916 0.0745551476190615 0.0 0.0 837.04296875 885.07421875 14 21 0.6666666666666666 21 1 0 0.9523809523809523 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 0 3 3.969699299998865 1.2695160000002943 0.0 5.2392152999991595 6.804873399999451 6.804873399999451 6.804873399999451 0.14478454042552025 0.0 0.0 911.73046875 961.21875 30 47 0.6382978723404256 47 14 21 0.8936170212765957 0.862403757862022 0.862403757862022 0.862403757862022 1.0 1.0 1.0 0.862403757862022 0.7706586772384025 0.7706586772384025 0.7706586772384025 0.8936170212765957 0.8936170212765957 0.8936170212765957 0.7706586772384025 False 0 0 False 2.142857142857143 2.238095238095238 1.561909228976012 2.8108893434461097 0.7288909735221389 1.0635797515742038 0.6435269660351439 0.4930528524852844 1.0 1.0 1.0 1.5 2.0 2.0 2.0 2.0 7.0 12.0 0 0.0 0 0.0 3.1719433301677884 0.0419220503071001 1.4802402207449679 0.22758301165623146 2.3877551020408165 0.0918356142276702 1.1142857142857143 0.32814958777058006 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 14.0 0.0 0.0 14.0 14.0 14.0 14.0 14.0 30.0 47.0 0.0 0.0 0.0 0.0 30.0 47.0 30.0 47.0 30.0 47.0 30.0 47.0 30.0 47.0 0.0 0.0 0.0 0.0 0.0 0.0 2.142857142857143 2.238095238095238 2.142857142857143 2.238095238095238 2.142857142857143 2.238095238095238 2.142857142857143 2.238095238095238 2.142857142857143 2.238095238095238
2 0 2 15.809827300000052 17.057570600000417 0.0 32.86739790000047 39.67227129999992 39.67227129999992 39.67227129999992 0.5361117743243232 0.0 0.0 1130.75390625 1191.2734375 57 74 0.7702702702702703 84 30 47 0.9054054054054054 0.5231333905592449 0.5231333905592449 0.5231333905592449 1.0 1.0 1.0 0.5231333905592449 0.4736477995603974 0.4736477995603974 0.4736477995603974 0.9054054054054054 0.9054054054054054 0.9054054054054054 0.4736477995603974 False 0 0 False 1.9 1.574468085106383 1.398274799098197 0.9048083559072275 0.7359341047885247 0.5375099144003331 0.7428112670331124 0.810542779310989 1.0 0.5 1.0 1.0 2.0 1.75 2.0 2.0 8.0 4.5 0 0.0 0 0.0 3.736085295243316 0.023847275684353776 1.9663606817070085 0.139965308752078 2.8433333333333346 0.058231237971300295 1.496491228070176 0.22391444813023814 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 30.0 0.0 0.0 30.0 30.0 30.0 30.0 30.0 57.0 74.0 0.0 0.0 0.0 0.0 57.0 74.0 57.0 74.0 57.0 74.0 57.0 74.0 57.0 74.0 0.0 0.0 0.0 0.0 0.0 0.0 1.9 1.574468085106383 1.9 1.574468085106383 1.9 1.574468085106383 1.9 1.574468085106383 1.9 1.574468085106383
3 0 1 156.4138778000006 1434.129829399998 0.0 1590.5437071999986 1630.2159784999985 1630.2159784999985 1630.2159784999985 11.480394214788722 0.0 0.0 2478.69921875 2598.0859375 125 142 0.8802816901408451 0 57 84 0.9084507042253521 0.01354549614313516 0.01354549614313516 0.01354549614313516 0.6743876896639192 1.0 1.0 0.01354549614313516 0.012305415510312927 0.012305415510312927 0.012305415510312927 0.6126479715960956 0.9084507042253521 0.9084507042253521 0.012305415510312927 False 0 0 False 2.192982456140351 1.9189189189189189 1.18681140172234 1.2069461688828118 0.5411859991853869 0.5789278958736629 0.8064717832953525 0.8042048731379375 1.0 0.25 1.0 1.0 2.0 2.0 3.0 3.0 4.0 4.0 0 0.0 0 0.0 4.652586153447995 0.009536906108099851 2.1215792859722855 0.11984221385364298 3.8821175746383543 0.02060714178579581 1.7702456140350895 0.17029115779007015 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 57.0 0.0 0.0 57.0 57.0 57.0 57.0 57.0 125.0 142.0 0.0 0.0 0.0 0.0 125.0 142.0 125.0 142.0 125.0 142.0 125.0 142.0 125.0 142.0 0.0 0.0 0.0 0.0 0.0 0.0 2.192982456140351 1.9189189189189189 2.192982456140351 1.9189189189189189 2.192982456140351 1.9189189189189189 2.192982456140351 1.9189189189189189 2.192982456140351 1.9189189189189189
4 1 4 1.3674271000018052 0.27184440000019094 0.0 1.6392715000019962 1.6392715000019962 1.6392715000019962 1.6392715000019962 0.07806054761914268 0.0 0.0 884.59765625 978.7265625 14 21 0.6666666666666666 21 1 0 0.9523809523809523 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5 1 3 3.9872658000022057 1.0985936000006404 0.0 5.085859400002846 6.725130900004842 6.725130900004842 6.725130900004842 0.14308789148946474 0.0 0.0 955.3359375 1047.39453125 30 47 0.6382978723404256 47 14 21 0.8936170212765957 0.8662516371510032 0.8662516371510032 0.8662516371510032 1.0 1.0 1.0 0.8662516371510032 0.7740972076668539 0.7740972076668539 0.7740972076668539 0.8936170212765957 0.8936170212765957 0.8936170212765957 0.7740972076668539 False 0 0 False 2.142857142857143 2.238095238095238 1.561909228976012 2.8177225625601325 0.7288909735221389 1.0661652939416717 0.6435269660351439 0.4923740223515023 1.0 1.0 1.0 1.25 2.0 2.0 2.0 2.0 7.0 12.0 0 0.0 0 0.0 3.167114182485052 0.04212498769211135 1.4779866184930244 0.2280964715937297 2.357142857142857 0.09469038101854274 1.1 0.33287108369807955 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 14.0 0.0 0.0 14.0 14.0 14.0 14.0 14.0 30.0 47.0 0.0 0.0 0.0 0.0 30.0 47.0 30.0 47.0 30.0 47.0 30.0 47.0 30.0 47.0 0.0 0.0 0.0 0.0 0.0 0.0 2.142857142857143 2.238095238095238 2.142857142857143 2.238095238095238 2.142857142857143 2.238095238095238 2.142857142857143 2.238095238095238 2.142857142857143 2.238095238095238
6 1 2 15.820438399998238 17.693014199998288 0.0 33.513452599996526 40.23858350000137 40.23858350000137 40.23858350000137 0.5437646418919104 0.0 0.0 1167.04296875 1256.421875 57 74 0.7702702702702703 84 30 47 0.9054054054054054 0.5210320453619011 0.5210320453619011 0.5210320453619011 1.0 1.0 1.0 0.5210320453619011 0.47174523026009957 0.47174523026009957 0.47174523026009957 0.9054054054054054 0.9054054054054054 0.9054054054054054 0.47174523026009957 False 0 0 False 1.9 1.574468085106383 1.51657508881031 1.0114289425101135 0.7981974151633211 0.6068573655060681 0.7286547113218311 0.7945296000964213 1.0 0.5 1.0 1.0 2.0 1.5 2.0 2.0 9.0 5.0 0 0.0 0 0.0 3.7343004699675686 0.02388987691131705 1.965421299982931 0.1400968513798216 2.850000000000001 0.05784432087483841 1.5000000000000007 0.22313016014842968 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 30.0 0.0 0.0 30.0 30.0 30.0 30.0 30.0 57.0 74.0 0.0 0.0 0.0 0.0 57.0 74.0 57.0 74.0 57.0 74.0 57.0 74.0 57.0 74.0 0.0 0.0 0.0 0.0 0.0 0.0 1.9 1.574468085106383 1.9 1.574468085106383 1.9 1.574468085106383 1.9 1.574468085106383 1.9 1.574468085106383
7 1 1 156.82132620000357 1403.5119175999998 0.0 1560.3332438000034 1600.5718273000048 1600.5718273000048 1600.5718273000048 11.271632586619752 0.0 0.0 2745.84375 2862.20703125 125 142 0.8802816901408451 0 57 84 0.9084507042253521 0.015999902763553453 0.015999902763553453 0.015999902763553453 0.6768360183994204 1.0 1.0 0.015999902763553453 0.014535122933087292 0.014535122933087292 0.014535122933087292 0.6148721575600369 0.9084507042253521 0.9084507042253521 0.014535122933087292 False 0 0 False 2.192982456140351 1.9189189189189189 1.18681140172234 1.2260391480214663 0.5411859991853869 0.5922392494679963 0.8064717832953525 0.8020742784596061 1.0 0.25 1.0 1.0 2.0 2.0 3.0 3.0 4.0 4.0 0 0.0 0 0.0 4.660055555444562 0.009465936502791575 2.12498533328272 0.1194347199691449 3.8605724838411852 0.021055941885479035 1.7604210526315804 0.17197243912876198 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 57.0 0.0 0.0 57.0 57.0 57.0 57.0 57.0 125.0 142.0 0.0 0.0 0.0 0.0 125.0 142.0 125.0 142.0 125.0 142.0 125.0 142.0 125.0 142.0 0.0 0.0 0.0 0.0 0.0 0.0 2.192982456140351 1.9189189189189189 2.192982456140351 1.9189189189189189 2.192982456140351 1.9189189189189189 2.192982456140351 1.9189189189189189 2.192982456140351 1.9189189189189189
8 2 4 1.356967199997598 0.21383939999759605 0.0 1.5708065999951941 1.5708065999951941 1.5708065999951941 1.5708065999951941 0.07480031428548543 0.0 0.0 898.09765625 955.27734375 14 21 0.6666666666666666 21 1 0 0.9523809523809523 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9 2 3 3.997606999999334 1.2228782999964096 0.0 5.220485299995744 6.791291899990938 6.791291899990938 6.791291899990938 0.14449557234023272 0.0 0.0 976.17578125 1037.703125 30 47 0.6382978723404256 47 14 21 0.8936170212765957 0.8630513253161687 0.8630513253161687 0.8630513253161687 1.0 1.0 1.0 0.8630513253161687 0.7712373545378528 0.7712373545378528 0.7712373545378528 0.8936170212765957 0.8936170212765957 0.8936170212765957 0.7712373545378528 False 0 0 False 2.142857142857143 2.238095238095238 1.561909228976012 2.838123509459209 0.7288909735221389 1.0738845711467278 0.6435269660351439 0.49035454339817464 1.0 1.0 1.0 1.125 2.0 2.0 2.0 2.75 7.0 12.0 0 0.0 0 0.0 3.1719433301677884 0.0419220503071001 1.4802402207449679 0.22758301165623146 2.3877551020408165 0.0918356142276702 1.1142857142857143 0.32814958777058006 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 14.0 0.0 0.0 14.0 14.0 14.0 14.0 14.0 30.0 47.0 0.0 0.0 0.0 0.0 30.0 47.0 30.0 47.0 30.0 47.0 30.0 47.0 30.0 47.0 0.0 0.0 0.0 0.0 0.0 0.0 2.142857142857143 2.238095238095238 2.142857142857143 2.238095238095238 2.142857142857143 2.238095238095238 2.142857142857143 2.238095238095238 2.142857142857143 2.238095238095238
