 RU AL GT ST OT TT LT CT WT WT_PA MET MET_PA RSS VMS LE AC CF PSG SIZE SGLITS_T QL_SCORE LT_SCORE CT_SCORE AW_SCORE AW_PA_SCORE AME_SCORE AME_PA_SCORE TI_SCORE LT_GRADE CT_GRADE AW_GRADE AW_PA_GRADE AME_GRADE AME_PA_GRADE GRADE HAS_TRAILING TOT_CHOICES PRE_CHOICES FGOALS_ORDER CP_EF_L CP_EF_A SP_ED_L SP_ED_A SP_EB_L SP_EB_A SP_EBS_L SP_EBS_A SP_MIN_L SP_MIN_A SP_LOWER_L SP_LOWER_A SP_MED_L SP_MED_A SP_UPPER_L SP_UPPER_A SP_MAX_L SP_MAX_A T_INTER_SP P_INTER_SP T_INTER_Q P_INTER_Q M_CHILD_RMSE M_CHILD_RMSE_SCORE M_CHILD_NRMSE M_CHILD_NRMSE_SCORE M_CHILD_MAE M_CHILD_MAE_SCORE M_CHILD_NMAE M_CHILD_NMAE_SCORE DIV_INDEX_RMSE DIV_INDEX_RMSE_SCORE DIV_INDEX_NRMSE DIV_INDEX_NRMSE_SCORE DIV_INDEX_MAE DIV_INDEX_MAE_SCORE DIV_INDEX_NMAE DIV_INDEX_NMAE_SCORE DIV_STEP_RMSE DIV_STEP_RMSE_SCORE DIV_STEP_NRMSE DIV_STEP_NRMSE_SCORE DIV_STEP_MAE DIV_STEP_MAE_SCORE DIV_STEP_NMAE DIV_STEP_NMAE_SCORE DS_T DIVS_T DS_TD_MEAN DS_TD_STD DS_TD_CD DS_TD_MIN DS_TD_LOWER DS_TD_MED DS_TD_UPPER DS_TD_MAX DS_TS_MEAN DS_TS_STD DS_TS_CD DS_TS_MIN DS_TS_LOWER DS_TS_MED DS_TS_UPPER DS_TS_MAX PR_T PR_TS_MEAN PR_TS_STD PR_TS_CD PR_TS_MIN PR_TS_LOWER PR_TS_MED PR_TS_UPPER PR_TS_MAX PP_LE_MEAN PP_AC_MEAN PP_LE_STD PP_AC_STD PP_LE_CD PP_AC_CD PP_LE_MIN PP_AC_MIN PP_LE_LOWER PP_AC_LOWER PP_LE_MED PP_AC_MED PP_LE_UPPER PP_AC_UPPER PP_LE_MAX PP_AC_MAX PP_ED_L PP_ED_A PP_EB_L PP_EB_A PP_EBS_L PP_EBS_A PP_EF_LE_MIN PP_EF_AC_MIN PP_EF_LE_LOWER PP_EF_AC_LOWER PP_EF_LE_MED PP_EF_AC_MED PP_EF_LE_UPPER PP_EF_AC_UPPER PP_EF_LE_MAX PP_EF_AC_MAX
0 0 4 1.3761691000000837 0.7934996000000183 0.0 2.169668700000102 2.169668700000102 2.169668700000102 2.169668700000102 0.12762757058824128 0.0 0.0 485.77734375 491.81640625 17 17 1.0 30 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 0 3 3.505156300000067 44.59897169999988 0.0 48.104127999999946 50.27379670000005 50.27379670000005 50.27379670000005 1.675793223333335 0.0 0.0 650.71484375 671.4609375 30 30 1.0 30 17 30 0.9666666666666667 0.48841913185361086 0.48841913185361086 0.48841913185361086 0.9311208417997897 1.0 1.0 0.48841913185361086 0.4721384941251572 0.4721384941251572 0.4721384941251572 0.9000834804064634 0.9666666666666667 0.9666666666666667 0.4721384941251572 False 0 0 False 1.7647058823529411 1.7647058823529411 1.251469724199605 0.5863019699779287 0.7091661770464428 0.5863019699779287 0.7135467346908276 0.8371441023778896 1.0 0.5 1.0 0.5 1.0 1.0 2.0 1.0 5.0 2.5 0 0.0 0 0.0 2.2476439028873885 0.10564784814616747 1.2736648783028535 0.27980429173063737 1.8892733564013844 0.1511816240926376 1.0705882352941178 0.34280680703497773 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 17.0 0.0 0.0 17.0 17.0 17.0 17.0 17.0 30.0 30.0 0.0 0.0 0.0 0.0 30.0 30.0 30.0 30.0 30.0 30.0 30.0 30.0 30.0 30.0 0.0 0.0 0.0 0.0 0.0 0.0 1.7647058823529411 1.7647058823529411 1.7647058823529411 1.7647058823529411 1.7647058823529411 1.7647058823529411 1.7647058823529411 1.7647058823529411 1.7647058823529411 1.7647058823529411
2 0 2 9.45064769999999 89.50796739999896 0.0 98.95861509999895 149.232411799999 149.232411799999 149.232411799999 2.6648644964285535 0.0 0.0 841.58203125 875.2421875 56 56 1.0 56 30 30 0.9821428571428571 0.3358271708017838 0.3358271708017838 0.3358271708017838 0.8692351776502236 1.0 1.0 0.3358271708017838 0.3298302570374662 0.3298302570374662 0.3298302570374662 0.8537131209064696 0.9821428571428571 0.9821428571428571 0.3298302570374662 False 0 0 False 1.8666666666666667 1.8666666666666667 1.7564331673207403 1.7564331673207403 0.9409463396361109 0.9409463396361109 0.7018880707319555 0.7018880707319555 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 10.0 10.0 0 0.0 0 0.0 5.67143590153192 0.0034429180337977425 3.0382692329635286 0.04791775223149032 4.522222222222221 0.010864852704753234 2.422619047619047 0.08868903221775896 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 30.0 0.0 0.0 30.0 30.0 30.0 30.0 30.0 56.0 56.0 0.0 0.0 0.0 0.0 56.0 56.0 56.0 56.0 56.0 56.0 56.0 56.0 56.0 56.0 0.0 0.0 0.0 0.0 0.0 0.0 1.8666666666666667 1.8666666666666667 1.8666666666666667 1.8666666666666667 1.8666666666666667 1.8666666666666667 1.8666666666666667 1.8666666666666667 1.8666666666666667 1.8666666666666667
3 0 1 28.48934700000018 194.4368178999996 0.0 222.92616489999978 372.1585766999988 372.1585766999988 372.1585766999988 4.229074735227258 0.0 0.0 1309.1484375 1417.87109375 88 88 1.0 0 56 56 0.9659090909090909 0.2117296114768249 0.2117296114768249 0.2117296114768249 0.8076212178905938 1.0 1.0 0.2117296114768249 0.20451155654011496 0.20451155654011496 0.20451155654011496 0.7800886763715963 0.9659090909090909 0.9659090909090909 0.20451155654011496 False 0 0 False 1.5714285714285714 1.5714285714285714 0.9314142298314255 0.9314142298314255 0.5927181462563617 0.5927181462563617 0.8364732955721983 0.8364732955721983 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 0 0.0 0 0.0 3.4352613304031574 0.03221698985276744 2.1860753920747364 0.11235684100608204 2.8622448979591857 0.05714034193937245 1.8214285714285727 0.16179445082910088 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 56.0 0.0 0.0 56.0 56.0 56.0 56.0 56.0 88.0 88.0 0.0 0.0 0.0 0.0 88.0 88.0 88.0 88.0 88.0 88.0 88.0 88.0 88.0 88.0 0.0 0.0 0.0 0.0 0.0 0.0 1.5714285714285714 1.5714285714285714 1.5714285714285714 1.5714285714285714 1.5714285714285714 1.5714285714285714 1.5714285714285714 1.5714285714285714 1.5714285714285714 1.5714285714285714
4 1 4 1.3752448000000186 0.7260074000000714 0.0 2.10125220000009 2.10125220000009 2.10125220000009 2.10125220000009 0.12360307058824059 0.0 0.0 802.2890625 811.34375 17 17 1.0 30 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5 1 3 3.4906599999999344 322.5819478000001 0.0 326.0726078 328.1738600000001 328.1738600000001 328.1738600000001 10.93912866666667 0.0 0.0 857.921875 872.328125 30 30 1.0 30 17 30 0.9666666666666667 0.22870420576770933 0.22870420576770933 0.22870420576770933 0.6808307971357748 1.0 1.0 0.22870420576770933 0.22108073224211902 0.22108073224211902 0.22108073224211902 0.6581364372312489 0.9666666666666667 0.9666666666666667 0.22108073224211902 False 0 0 False 1.7647058823529411 1.7647058823529411 1.0325582165612917 0.6819629970986437 0.5851163227180652 0.6440761639264968 0.7496499138152652 0.8164763825312453 1.0 0.5 1.0 0.5 1.0 1.0 3.0 1.5 4.0 3.0 0 0.0 0 0.0 1.8386470127162096 0.15903244949404058 1.0418999738725188 0.3527837648622447 1.5328719723183388 0.21591467503670078 0.8686274509803921 0.41952697559592045 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 17.0 0.0 0.0 17.0 17.0 17.0 17.0 17.0 30.0 30.0 0.0 0.0 0.0 0.0 30.0 30.0 30.0 30.0 30.0 30.0 30.0 30.0 30.0 30.0 0.0 0.0 0.0 0.0 0.0 0.0 1.7647058823529411 1.7647058823529411 1.7647058823529411 1.7647058823529411 1.7647058823529411 1.7647058823529411 1.7647058823529411 1.7647058823529411 1.7647058823529411 1.7647058823529411
6 1 2 9.469708700000638 56.755566000000044 0.0 66.22527470000068 394.3991347000008 394.3991347000008 394.3991347000008 7.042841691071443 0.0 0.0 818.8359375 858.8046875 56 56 1.0 56 30 30 0.9821428571428571 0.20390417627366775 0.20390417627366775 0.20390417627366775 0.7395769708662507 1.0 1.0 0.20390417627366775 0.2002630302687808 0.2002630302687808 0.2002630302687808 0.7263702392436391 0.9821428571428571 0.9821428571428571 0.2002630302687808 False 0 0 False 1.8666666666666667 1.8666666666666667 1.8888663510036974 1.8888663510036974 1.011892688037695 1.011892688037695 0.6880909750198779 0.6880909750198779 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 10.0 10.0 0 0.0 0 0.0 8.797263884404734 0.00015114606294657098 4.712819938073964 0.008979420436877814 8.099999999999998 0.0003035391380788673 4.339285714285713 0.013045843335734265 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 30.0 0.0 0.0 30.0 30.0 30.0 30.0 30.0 56.0 56.0 0.0 0.0 0.0 0.0 56.0 56.0 56.0 56.0 56.0 56.0 56.0 56.0 56.0 56.0 0.0 0.0 0.0 0.0 0.0 0.0 1.8666666666666667 1.8666666666666667 1.8666666666666667 1.8666666666666667 1.8666666666666667 1.8666666666666667 1.8666666666666667 1.8666666666666667 1.8666666666666667 1.8666666666666667
7 1 1 26.565725100000463 178.23463370000036 0.0 204.80035880000082 599.1994935000016 599.1994935000016 599.1994935000016 6.967435970930251 0.0 0.0 1302.44140625 1407.0390625 86 86 1.0 0 56 56 0.9883720930232558 0.14764046677680553 0.14764046677680553 0.14764046677680553 0.7410130841520646 1.0 1.0 0.14764046677680553 0.14592371716312175 0.14592371716312175 0.14592371716312175 0.732396652940994 0.9883720930232558 0.9883720930232558 0.14592371716312175 False 0 0 False 1.5357142857142858 1.5357142857142858 0.9527813011348448 0.9527813011348448 0.6204157309715268 0.6204157309715268 0.83374007638169 0.83374007638169 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 0 0.0 0 0.0 3.3475356455098684 0.03517092100837006 2.1797906528901465 0.11306519803544679 3.0535714285714275 0.04719008705017148 1.988372093023255 0.13691813410760514 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 56.0 0.0 0.0 56.0 56.0 56.0 56.0 56.0 86.0 86.0 0.0 0.0 0.0 0.0 86.0 86.0 86.0 86.0 86.0 86.0 86.0 86.0 86.0 86.0 0.0 0.0 0.0 0.0 0.0 0.0 1.5357142857142858 1.5357142857142858 1.5357142857142858 1.5357142857142858 1.5357142857142858 1.5357142857142858 1.5357142857142858 1.5357142857142858 1.5357142857142858 1.5357142857142858
8 2 4 1.374925000000303 0.9727410999996664 0.0 2.3476660999999694 2.3476660999999694 2.3476660999999694 2.3476660999999694 0.13809800588235113 0.0 0.0 867.5859375 877.46484375 17 17 1.0 30 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9 2 3 3.489241799999945 177.62033640000072 0.0 181.10957820000067 183.45724430000064 183.45724430000064 183.45724430000064 6.115241476666688 0.0 0.0 928.69140625 943.375 30 30 1.0 30 17 30 0.9666666666666667 0.3075968322109649 0.3075968322109649 0.3075968322109649 0.7584185011370613 1.0 1.0 0.3075968322109649 0.29734360447059943 0.29734360447059943 0.29734360447059943 0.7331378844324926 0.9666666666666667 0.9666666666666667 0.29734360447059943 False 0 0 False 1.7647058823529411 1.7647058823529411 1.200490095997562 0.5590169943749475 0.6802777210652852 0.5590169943749475 0.7216305266537493 0.8432678951743589 1.0 0.5 1.0 0.5 1.0 1.0 3.0 1.5 5.0 2.5 0 0.0 0 0.0 1.643904542644955 0.19322411567771583 0.9315459074988078 0.39394423804735135 1.3183391003460208 0.2675793555586003 0.7470588235294118 0.4737579112438772 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 17.0 0.0 0.0 17.0 17.0 17.0 17.0 17.0 30.0 30.0 0.0 0.0 0.0 0.0 30.0 30.0 30.0 30.0 30.0 30.0 30.0 30.0 30.0 30.0 0.0 0.0 0.0 0.0 0.0 0.0 1.7647058823529411 1.7647058823529411 1.7647058823529411 1.7647058823529411 1.7647058823529411 1.7647058823529411 1.7647058823529411 1.7647058823529411 1.7647058823529411 1.7647058823529411
