 RU AL GT ST OT TT LT CT WT WT_PA MET MET_PA RSS VMS LE AC CF PSG SIZE SGLITS_T QL_SCORE LT_SCORE CT_SCORE AW_SCORE AW_PA_SCORE AME_SCORE AME_PA_SCORE TI_SCORE LT_GRADE CT_GRADE AW_GRADE AW_PA_GRADE AME_GRADE AME_PA_GRADE GRADE HAS_TRAILING TOT_CHOICES PRE_CHOICES FGOALS_ORDER CP_EF_L CP_EF_A SP_ED_L SP_ED_A SP_EB_L SP_EB_A SP_EBS_L SP_EBS_A SP_MIN_L SP_MIN_A SP_LOWER_L SP_LOWER_A SP_MED_L SP_MED_A SP_UPPER_L SP_UPPER_A SP_MAX_L SP_MAX_A T_INTER_SP P_INTER_SP T_INTER_Q P_INTER_Q M_CHILD_RMSE M_CHILD_RMSE_SCORE M_CHILD_NRMSE M_CHILD_NRMSE_SCORE M_CHILD_MAE M_CHILD_MAE_SCORE M_CHILD_NMAE M_CHILD_NMAE_SCORE DIV_INDEX_RMSE DIV_INDEX_RMSE_SCORE DIV_INDEX_NRMSE DIV_INDEX_NRMSE_SCORE DIV_INDEX_MAE DIV_INDEX_MAE_SCORE DIV_INDEX_NMAE DIV_INDEX_NMAE_SCORE DIV_STEP_RMSE DIV_STEP_RMSE_SCORE DIV_STEP_NRMSE DIV_STEP_NRMSE_SCORE DIV_STEP_MAE DIV_STEP_MAE_SCORE DIV_STEP_NMAE DIV_STEP_NMAE_SCORE DS_T DIVS_T DS_TD_MEAN DS_TD_STD DS_TD_CD DS_TD_MIN DS_TD_LOWER DS_TD_MED DS_TD_UPPER DS_TD_MAX DS_TS_MEAN DS_TS_STD DS_TS_CD DS_TS_MIN DS_TS_LOWER DS_TS_MED DS_TS_UPPER DS_TS_MAX PR_T PR_TS_MEAN PR_TS_STD PR_TS_CD PR_TS_MIN PR_TS_LOWER PR_TS_MED PR_TS_UPPER PR_TS_MAX PP_LE_MEAN PP_AC_MEAN PP_LE_STD PP_AC_STD PP_LE_CD PP_AC_CD PP_LE_MIN PP_AC_MIN PP_LE_LOWER PP_AC_LOWER PP_LE_MED PP_AC_MED PP_LE_UPPER PP_AC_UPPER PP_LE_MAX PP_AC_MAX PP_ED_L PP_ED_A PP_EB_L PP_EB_A PP_EBS_L PP_EBS_A PP_EF_LE_MIN PP_EF_AC_MIN PP_EF_LE_LOWER PP_EF_AC_LOWER PP_EF_LE_MED PP_EF_AC_MED PP_EF_LE_UPPER PP_EF_AC_UPPER PP_EF_LE_MAX PP_EF_AC_MAX
0 0 4 1.2936915000000226 0.8822800000002644 0.0 2.175971500000287 2.175971500000287 2.175971500000287 2.175971500000287 0.10879857500001436 0.0 0.0 991.6953125 1075.8125 20 20 1.0 20 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 0 3 4.197401300001729 7.681979099999808 0.0 11.879380400001537 14.055351900001824 14.055351900001824 14.055351900001824 0.31943981590913234 0.0 0.0 1118.5390625 1201.203125 44 44 1.0 44 20 20 0.9545454545454546 0.6920696278660283 0.6920696278660283 0.6920696278660283 1.0 1.0 1.0 0.6920696278660283 0.6606119175084816 0.6606119175084816 0.6606119175084816 0.9545454545454546 0.9545454545454546 0.9545454545454546 0.6606119175084816 False 0 0 False 2.2 2.2 2.142305693455191 2.142305693455191 0.9737753152069049 0.9737753152069049 0.617804021460095 0.617804021460095 1.0 1.0 1.0 1.0 1.0 1.0 3.0 3.0 10.0 10.0 0 0.0 0 0.0 7.371566997592845 0.0006288819500881658 3.3507122716331112 0.03505937340822845 6.799999999999997 0.0011137751478448063 3.0909090909090895 0.0454606077882906 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 44.0 44.0 0.0 0.0 0.0 0.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 0.0 0.0 0.0 0.0 0.0 0.0 2.2 2.2 2.2 2.2 2.2 2.2 2.2 2.2 2.2 2.2
2 0 2 10.22815540000056 28.24873390000039 0.0 38.47688930000095 52.53224120000277 52.53224120000277 52.53224120000277 0.7398907211267997 0.0 0.0 1321.3515625 1433.0 71 71 1.0 81 44 44 0.9436619718309859 0.48206168771269864 0.48206168771269864 0.48206168771269864 1.0 1.0 1.0 0.48206168771269864 0.4549032827711381 0.4549032827711381 0.4549032827711381 0.9436619718309859 0.9436619718309859 0.9436619718309859 0.4549032827711381 False 0 0 False 1.6136363636363635 1.6136363636363635 1.1455862537118042 1.1455862537118042 0.7099407769481604 0.7099407769481604 0.7982625342164944 0.7982625342164944 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 0 0.0 0 0.0 3.126094849531036 0.04388885561612911 1.9372982166107828 0.14409273168793366 2.6508264462809934 0.07059284774936728 1.6427656850192074 0.19344429578843506 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 44.0 0.0 0.0 44.0 44.0 44.0 44.0 44.0 71.0 71.0 0.0 0.0 0.0 0.0 71.0 71.0 71.0 71.0 71.0 71.0 71.0 71.0 71.0 71.0 0.0 0.0 0.0 0.0 0.0 0.0 1.6136363636363635 1.6136363636363635 1.6136363636363635 1.6136363636363635 1.6136363636363635 1.6136363636363635 1.6136363636363635 1.6136363636363635 1.6136363636363635 1.6136363636363635
3 0 1 94.60664610000003 1292.8311685000003 0.0 1387.4378146000004 1439.9700558000031 1439.9700558000031 1439.9700558000031 10.359496804316569 0.0 0.0 2753.734375 2920.55859375 139 139 1.0 0 71 81 0.9280575539568345 0.030144057453353135 0.030144057453353135 0.030144057453353135 0.688094112187932 1.0 1.0 0.030144057453353135 0.027975420226493197 0.027975420226493197 0.027975420226493197 0.6385909386492319 0.9280575539568345 0.9280575539568345 0.027975420226493197 False 0 0 False 1.9577464788732395 1.9577464788732395 1.1518509293221417 1.2224015680460198 0.58835551066095 0.6476903830691598 0.8202238049198707 0.8126557889361729 1.0 0.5 1.0 1.0 1.0 1.0 3.0 3.0 4.0 4.0 0 0.0 0 0.0 4.686163351712859 0.009221999939916493 2.393651783968439 0.09129568228888507 3.5998809759968258 0.02732697481967121 1.8387881244300333 0.15901000973583249 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 71.0 0.0 0.0 71.0 71.0 71.0 71.0 71.0 139.0 139.0 0.0 0.0 0.0 0.0 139.0 139.0 139.0 139.0 139.0 139.0 139.0 139.0 139.0 139.0 0.0 0.0 0.0 0.0 0.0 0.0 1.9577464788732395 1.9577464788732395 1.9577464788732395 1.9577464788732395 1.9577464788732395 1.9577464788732395 1.9577464788732395 1.9577464788732395 1.9577464788732395 1.9577464788732395
4 1 4 1.3050797999976567 0.8532095999999001 0.0 2.1582893999975568 2.1582893999975568 2.1582893999975568 2.1582893999975568 0.10791446999987783 0.0 0.0 982.03515625 1019.8203125 20 20 1.0 20 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5 1 3 3.8802266999991843 4.809408599999188 0.0 8.689635299998372 10.847924699995929 10.847924699995929 10.847924699995929 0.2582839214284745 0.0 0.0 1100.12109375 1143.25 42 42 1.0 42 20 20 1.0 0.7433213425699049 0.7433213425699049 0.7433213425699049 1.0 1.0 1.0 0.7433213425699049 0.7433213425699049 0.7433213425699049 0.7433213425699049 1.0 1.0 1.0 0.7433213425699049 False 0 0 False 2.1 2.1 2.074912807299318 2.074912807299318 0.9880537177615799 0.9880537177615799 0.6250410774611561 0.6250410774611561 1.0 1.0 1.0 1.0 1.0 1.0 2.25 2.25 10.0 10.0 0 0.0 0 0.0 7.478301946297701 0.0005652163689129525 3.5610961649036668 0.02840766815211597 6.849999999999999 0.001059455692907611 3.261904761904761 0.03831534685404662 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 42.0 42.0 0.0 0.0 0.0 0.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 0.0 0.0 0.0 0.0 0.0 0.0 2.1 2.1 2.1 2.1 2.1 2.1 2.1 2.1 2.1 2.1
6 1 2 9.967982900000607 28.673100600001817 0.0 38.64108350000242 49.48900819999835 49.48900819999835 49.48900819999835 0.7172320028985268 0.0 0.0 1309.98046875 1378.31640625 69 69 1.0 78 42 42 0.9710144927536232 0.4907011731333235 0.4907011731333235 0.4907011731333235 1.0 1.0 1.0 0.4907011731333235 0.47647795072366195 0.47647795072366195 0.47647795072366195 0.9710144927536232 0.9710144927536232 0.9710144927536232 0.47647795072366195 False 0 0 False 1.6428571428571428 1.6428571428571428 1.0078092292238203 1.0078092292238203 0.613449096049282 0.613449096049282 0.8135083452695048 0.8135083452695048 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 0 0.0 0 0.0 3.220760674084292 0.039924677039867254 1.9604630190078298 0.14079321589149463 2.736394557823131 0.06480357173192246 1.6656314699792971 0.18907122747346192 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 42.0 0.0 0.0 42.0 42.0 42.0 42.0 42.0 69.0 69.0 0.0 0.0 0.0 0.0 69.0 69.0 69.0 69.0 69.0 69.0 69.0 69.0 69.0 69.0 0.0 0.0 0.0 0.0 0.0 0.0 1.6428571428571428 1.6428571428571428 1.6428571428571428 1.6428571428571428 1.6428571428571428 1.6428571428571428 1.6428571428571428 1.6428571428571428 1.6428571428571428 1.6428571428571428
7 1 1 93.12037750000309 929.1340399999981 0.0 1022.2544175000012 1071.7434256999995 1071.7434256999995 1071.7434256999995 7.822944713138683 0.0 0.0 2612.6640625 2771.71875 137 137 1.0 0 69 78 0.9416058394160584 0.0696733065126307 0.0696733065126307 0.0696733065126307 0.7255620659775698 1.0 1.0 0.0696733065126307 0.06560479226371796 0.06560479226371796 0.06560479226371796 0.6831934781832592 0.9416058394160584 0.9416058394160584 0.06560479226371796 False 0 0 False 1.9855072463768115 1.9855072463768115 1.181882267740598 1.2474184766648997 0.5952545728036589 0.6495990557726647 0.8157372921570247 0.8087477929688522 1.0 0.5 1.0 1.0 1.0 1.0 3.0 3.0 4.0 4.0 0 0.0 0 0.0 6.950097677944483 0.0009585415207557088 3.5004141589647397 0.030184879494748046 5.555975635370725 0.003864296485511162 2.7982651010261317 0.06091565350874045 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 69.0 0.0 0.0 69.0 69.0 69.0 69.0 69.0 137.0 137.0 0.0 0.0 0.0 0.0 137.0 137.0 137.0 137.0 137.0 137.0 137.0 137.0 137.0 137.0 0.0 0.0 0.0 0.0 0.0 0.0 1.9855072463768115 1.9855072463768115 1.9855072463768115 1.9855072463768115 1.9855072463768115 1.9855072463768115 1.9855072463768115 1.9855072463768115 1.9855072463768115 1.9855072463768115
8 2 4 1.297730400002365 0.8640197999984593 0.0 2.1617502000008244 2.1617502000008244 2.1617502000008244 2.1617502000008244 0.10808751000004121 0.0 0.0 1085.16015625 1175.03515625 20 20 1.0 20 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9 2 3 3.877859399999579 3.4044690999999148 0.0 7.282328499999494 9.444078700000318 9.444078700000318 9.444078700000318 0.22485901666667424 0.0 0.0 1199.04296875 1283.015625 42 42 1.0 42 20 20 1.0 0.7739284826029786 0.7739284826029786 0.7739284826029786 1.0 1.0 1.0 0.7739284826029786 0.7739284826029786 0.7739284826029786 0.7739284826029786 1.0 1.0 1.0 0.7739284826029786 False 0 0 False 2.1 2.1 2.1496633763403397 2.1496633763403397 1.0236492268287332 1.0236492268287332 0.6170233259489 0.6170233259489 1.0 1.0 1.0 1.0 1.0 1.0 2.25 2.25 10.0 10.0 0 0.0 0 0.0 7.953301201388011 0.0003514998753319507 3.787286286375243 0.022657003118771994 7.249999999999998 0.0007101743888425503 3.452380952380951 0.03167014144013953 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 42.0 42.0 0.0 0.0 0.0 0.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 42.0 0.0 0.0 0.0 0.0 0.0 0.0 2.1 2.1 2.1 2.1 2.1 2.1 2.1 2.1 2.1 2.1
