 RU AL GT ST OT TT LT CT WT WT_PA MET MET_PA RSS VMS LE AC CF PSG SIZE SGLITS_T QL_SCORE LT_SCORE CT_SCORE AW_SCORE AW_PA_SCORE AME_SCORE AME_PA_SCORE TI_SCORE LT_GRADE CT_GRADE AW_GRADE AW_PA_GRADE AME_GRADE AME_PA_GRADE GRADE HAS_TRAILING TOT_CHOICES PRE_CHOICES FGOALS_ORDER CP_EF_L CP_EF_A SP_ED_L SP_ED_A SP_EB_L SP_EB_A SP_EBS_L SP_EBS_A SP_MIN_L SP_MIN_A SP_LOWER_L SP_LOWER_A SP_MED_L SP_MED_A SP_UPPER_L SP_UPPER_A SP_MAX_L SP_MAX_A T_INTER_SP P_INTER_SP T_INTER_Q P_INTER_Q M_CHILD_RMSE M_CHILD_RMSE_SCORE M_CHILD_NRMSE M_CHILD_NRMSE_SCORE M_CHILD_MAE M_CHILD_MAE_SCORE M_CHILD_NMAE M_CHILD_NMAE_SCORE DIV_INDEX_RMSE DIV_INDEX_RMSE_SCORE DIV_INDEX_NRMSE DIV_INDEX_NRMSE_SCORE DIV_INDEX_MAE DIV_INDEX_MAE_SCORE DIV_INDEX_NMAE DIV_INDEX_NMAE_SCORE DIV_STEP_RMSE DIV_STEP_RMSE_SCORE DIV_STEP_NRMSE DIV_STEP_NRMSE_SCORE DIV_STEP_MAE DIV_STEP_MAE_SCORE DIV_STEP_NMAE DIV_STEP_NMAE_SCORE DS_T DIVS_T DS_TD_MEAN DS_TD_STD DS_TD_CD DS_TD_MIN DS_TD_LOWER DS_TD_MED DS_TD_UPPER DS_TD_MAX DS_TS_MEAN DS_TS_STD DS_TS_CD DS_TS_MIN DS_TS_LOWER DS_TS_MED DS_TS_UPPER DS_TS_MAX PR_T PR_TS_MEAN PR_TS_STD PR_TS_CD PR_TS_MIN PR_TS_LOWER PR_TS_MED PR_TS_UPPER PR_TS_MAX PP_LE_MEAN PP_AC_MEAN PP_LE_STD PP_AC_STD PP_LE_CD PP_AC_CD PP_LE_MIN PP_AC_MIN PP_LE_LOWER PP_AC_LOWER PP_LE_MED PP_AC_MED PP_LE_UPPER PP_AC_UPPER PP_LE_MAX PP_AC_MAX PP_ED_L PP_ED_A PP_EB_L PP_EB_A PP_EBS_L PP_EBS_A PP_EF_LE_MIN PP_EF_AC_MIN PP_EF_LE_LOWER PP_EF_AC_LOWER PP_EF_LE_MED PP_EF_AC_MED PP_EF_LE_UPPER PP_EF_AC_UPPER PP_EF_LE_MAX PP_EF_AC_MAX
0 0 5 1.1377835000000118 0.7734551000000351 0.0 1.911238600000047 1.911238600000047 1.911238600000047 1.911238600000047 0.09556193000000235 0.0 0.0 375.30078125 373.171875 20 20 1.0 20 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 0 4 2.170642899999976 1.619418200000041 0.0 3.790061100000017 5.701299700000064 5.701299700000064 5.701299700000064 0.178165615625002 0.0 0.0 432.5703125 442.26171875 32 32 1.0 32 20 20 0.9375 0.9291055280127135 0.9291055280127135 0.9291055280127135 1.0 1.0 1.0 0.9291055280127135 0.8710364325119189 0.8710364325119189 0.8710364325119189 0.9375 0.9375 0.9375 0.8710364325119189 False 0 0 False 1.6 1.6 0.8207826816681233 0.8207826816681233 0.512989176042577 0.512989176042577 0.7999599434139137 0.7999599434139137 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 4.0 4.0 0 0.0 0 0.0 1.4106735979665876 0.24397888410999571 0.8816709987291173 0.4140903887269311 1.2499999999999993 0.2865047968601903 0.7812499999999996 0.4578333617716145 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 32.0 32.0 0.0 0.0 0.0 0.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 1.6 1.6 1.6 1.6 1.6 1.6 1.6 1.6 1.6 1.6
2 0 3 2.688473700000017 3.233068199999977 0.0 5.921541899999994 11.622841600000058 11.622841600000058 11.622841600000058 0.26415549090909224 0.0 0.0 464.19921875 466.87890625 44 44 1.0 44 32 32 0.9545454545454546 0.7290190317423646 0.7290190317423646 0.7290190317423646 1.0 1.0 1.0 0.7290190317423646 0.6958818030268026 0.6958818030268026 0.6958818030268026 0.9545454545454546 0.9545454545454546 0.9545454545454546 0.6958818030268026 False 0 0 False 1.375 1.375 1.6214290789499601 1.6214290789499601 1.1792211483272437 1.1792211483272437 0.7219292969577933 0.7219292969577933 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 10.0 10.0 0 0.0 0 0.0 6.087256155280473 0.002271633380681536 4.427095385658526 0.011949146979052628 5.34375 0.00477791987398702 3.8863636363636362 0.020519828090643028 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 32.0 0.0 0.0 32.0 32.0 32.0 32.0 32.0 44.0 44.0 0.0 0.0 0.0 0.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 0.0 0.0 0.0 0.0 0.0 0.0 1.375 1.375 1.375 1.375 1.375 1.375 1.375 1.375 1.375 1.375
3 0 2 3.7285199000000233 3.1386543000000415 0.0 6.867174200000065 18.490015800000123 18.490015800000123 18.490015800000123 0.3555772269230793 0.0 0.0 531.02734375 542.3203125 52 52 1.0 61 44 44 0.9615384615384616 0.6433266778100675 0.6433266778100675 0.6433266778100675 1.0 1.0 1.0 0.6433266778100675 0.6185833440481419 0.6185833440481419 0.6185833440481419 0.9615384615384616 0.9615384615384616 0.9615384615384616 0.6185833440481419 False 0 0 False 1.1818181818181819 1.1818181818181819 0.44579311463624294 0.44579311463624294 0.3772095585383594 0.3772095585383594 0.9025793961414238 0.9025793961414238 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 3.0 3.0 0 0.0 0 0.0 0.7012385736609772 0.49597062705349343 0.593355716174673 0.5524702373037689 0.545454545454545 0.5795782787848098 0.4615384615384611 0.6303131865967201 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 44.0 0.0 0.0 44.0 44.0 44.0 44.0 44.0 52.0 52.0 0.0 0.0 0.0 0.0 52.0 52.0 52.0 52.0 52.0 52.0 52.0 52.0 52.0 52.0 0.0 0.0 0.0 0.0 0.0 0.0 1.1818181818181819 1.1818181818181819 1.1818181818181819 1.1818181818181819 1.1818181818181819 1.1818181818181819 1.1818181818181819 1.1818181818181819 1.1818181818181819 1.1818181818181819
4 0 1 8.872659099999936 19.001554500000054 0.0 27.87421359999999 46.36422940000011 46.36422940000011 46.36422940000011 0.6530173154929594 0.0 0.0 652.40234375 659.3359375 71 71 1.0 0 52 61 0.9436619718309859 0.5001956645712031 0.5001956645712031 0.5001956645712031 1.0 1.0 1.0 0.5001956645712031 0.47201562713057194 0.47201562713057194 0.47201562713057194 0.9436619718309859 0.9436619718309859 0.9436619718309859 0.47201562713057194 False 0 0 False 1.3653846153846154 1.3653846153846154 0.7677021009721832 0.8308598283095907 0.5622606936697679 0.6496949033398304 0.8558224964928568 0.8469378881391592 1.0 0.5 1.0 1.0 1.0 1.0 1.25 1.25 5.0 5.0 0 0.0 0 0.0 1.702710595721147 0.1821890133861394 1.2470556475704175 0.2873496110599606 1.4504437869822477 0.23446621194904674 1.0622968580715053 0.3456609636800909 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 52.0 0.0 0.0 52.0 52.0 52.0 52.0 52.0 71.0 71.0 0.0 0.0 0.0 0.0 71.0 71.0 71.0 71.0 71.0 71.0 71.0 71.0 71.0 71.0 0.0 0.0 0.0 0.0 0.0 0.0 1.3653846153846154 1.3653846153846154 1.3653846153846154 1.3653846153846154 1.3653846153846154 1.3653846153846154 1.3653846153846154 1.3653846153846154 1.3653846153846154 1.3653846153846154
5 1 5 1.1324435000000506 0.8422975999999665 0.0 1.974741100000017 1.974741100000017 1.974741100000017 1.974741100000017 0.09873705500000085 0.0 0.0 382.0546875 384.3203125 20 20 1.0 20 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
6 1 4 2.1796310999999378 1.8609099999999899 0.0 4.040541099999928 6.015282199999945 6.015282199999945 6.015282199999945 0.18797756874999827 0.0 0.0 443.765625 453.0859375 32 32 1.0 32 20 20 0.9375 0.9065098640676491 0.9065098640676491 0.9065098640676491 1.0 1.0 1.0 0.9065098640676491 0.849852997563421 0.849852997563421 0.849852997563421 0.9375 0.9375 0.9375 0.849852997563421 False 0 0 False 1.6 1.6 0.8825799501580878 0.8825799501580878 0.5516124688488048 0.5516124688488048 0.7888185284184155 0.7888185284184155 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 4.0 4.0 0 0.0 0 0.0 2.3259406699226006 0.09769150535536508 1.4537129187016253 0.2337009625505152 1.929999999999999 0.14514819848362387 1.2062499999999994 0.29931761855070405 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 32.0 32.0 0.0 0.0 0.0 0.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 1.6 1.6 1.6 1.6 1.6 1.6 1.6 1.6 1.6 1.6
7 1 3 2.689928500000036 1.7694385000000068 0.0 4.459367000000043 10.474649199999988 10.474649199999988 10.474649199999988 0.2380602090909088 0.0 0.0 473.8515625 477.09375 44 44 1.0 44 32 32 0.9545454545454546 0.7507992827608936 0.7507992827608936 0.7507992827608936 1.0 1.0 1.0 0.7507992827608936 0.7166720426353984 0.7166720426353984 0.7166720426353984 0.9545454545454546 0.9545454545454546 0.9545454545454546 0.7166720426353984 False 0 0 False 1.375 1.375 1.6214290789499601 1.6214290789499601 1.1792211483272437 1.1792211483272437 0.7219292969577933 0.7219292969577933 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 10.0 10.0 0 0.0 0 0.0 5.874335068754591 0.002810662470616115 4.272243686366975 0.01395044758383181 5.03125 0.006530642163653784 3.659090909090909 0.0257559165562402 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 32.0 0.0 0.0 32.0 32.0 32.0 32.0 32.0 44.0 44.0 0.0 0.0 0.0 0.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 0.0 0.0 0.0 0.0 0.0 0.0 1.375 1.375 1.375 1.375 1.375 1.375 1.375 1.375 1.375 1.375
8 1 2 3.7307444000000487 2.755716700000079 0.0 6.4864611000001275 16.961110300000115 16.961110300000115 16.961110300000115 0.3261751980769253 0.0 0.0 535.77734375 546.76171875 52 52 1.0 61 44 44 0.9615384615384616 0.6582030521967528 0.6582030521967528 0.6582030521967528 1.0 1.0 1.0 0.6582030521967528 0.6328875501891854 0.6328875501891854 0.6328875501891854 0.9615384615384616 0.9615384615384616 0.9615384615384616 0.6328875501891854 False 0 0 False 1.1818181818181819 1.1818181818181819 0.3901536532574131 0.3901536532574131 0.33013001429473415 0.33013001429473415 0.9129498479694275 0.9129498479694275 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 0 0.0 0 0.0 0.7859825666268443 0.45567175389418163 0.6650621717611759 0.5142415554095856 0.6301652892561983 0.5325037765791979 0.5332167832167831 0.5867145971799247 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 44.0 0.0 0.0 44.0 44.0 44.0 44.0 44.0 52.0 52.0 0.0 0.0 0.0 0.0 52.0 52.0 52.0 52.0 52.0 52.0 52.0 52.0 52.0 52.0 0.0 0.0 0.0 0.0 0.0 0.0 1.1818181818181819 1.1818181818181819 1.1818181818181819 1.1818181818181819 1.1818181818181819 1.1818181818181819 1.1818181818181819 1.1818181818181819 1.1818181818181819 1.1818181818181819
9 1 1 8.857514799999933 27.638598299999984 0.0 36.49611309999992 53.45722340000003 53.45722340000003 53.45722340000003 0.7529186394366202 0.0 0.0 658.44921875 665.40234375 71 71 1.0 0 52 61 0.9436619718309859 0.47954288676793144 0.47954288676793144 0.47954288676793144 1.0 1.0 1.0 0.47954288676793144 0.4525263861049494 0.4525263861049494 0.4525263861049494 0.9436619718309859 0.9436619718309859 0.9436619718309859 0.4525263861049494 False 0 0 False 1.3653846153846154 1.3653846153846154 0.8171890163151507 0.8767892716312524 0.5985046316674343 0.685609656012408 0.848834733280209 0.8406672613913697 1.0 0.5 1.0 1.0 1.0 1.0 1.0 1.0 5.0 5.0 0 0.0 0 0.0 2.159462115254382 0.115387169347379 1.5815778872285615 0.20565034900421048 1.8631656804733723 0.15518059977852586 1.3645720476706389 0.2554899901321936 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 52.0 0.0 0.0 52.0 52.0 52.0 52.0 52.0 71.0 71.0 0.0 0.0 0.0 0.0 71.0 71.0 71.0 71.0 71.0 71.0 71.0 71.0 71.0 71.0 0.0 0.0 0.0 0.0 0.0 0.0 1.3653846153846154 1.3653846153846154 1.3653846153846154 1.3653846153846154 1.3653846153846154 1.3653846153846154 1.3653846153846154 1.3653846153846154 1.3653846153846154 1.3653846153846154
