 RU AL GT ST OT TT LT CT WT WT_PA MET MET_PA RSS VMS LE AC CF PSG SIZE SGLITS_T QL_SCORE LT_SCORE CT_SCORE AW_SCORE AW_PA_SCORE AME_SCORE AME_PA_SCORE TI_SCORE LT_GRADE CT_GRADE AW_GRADE AW_PA_GRADE AME_GRADE AME_PA_GRADE GRADE HAS_TRAILING TOT_CHOICES PRE_CHOICES FGOALS_ORDER CP_EF_L CP_EF_A SP_ED_L SP_ED_A SP_EB_L SP_EB_A SP_EBS_L SP_EBS_A SP_MIN_L SP_MIN_A SP_LOWER_L SP_LOWER_A SP_MED_L SP_MED_A SP_UPPER_L SP_UPPER_A SP_MAX_L SP_MAX_A T_INTER_SP P_INTER_SP T_INTER_Q P_INTER_Q M_CHILD_RMSE M_CHILD_RMSE_SCORE M_CHILD_NRMSE M_CHILD_NRMSE_SCORE M_CHILD_MAE M_CHILD_MAE_SCORE M_CHILD_NMAE M_CHILD_NMAE_SCORE DIV_INDEX_RMSE DIV_INDEX_RMSE_SCORE DIV_INDEX_NRMSE DIV_INDEX_NRMSE_SCORE DIV_INDEX_MAE DIV_INDEX_MAE_SCORE DIV_INDEX_NMAE DIV_INDEX_NMAE_SCORE DIV_STEP_RMSE DIV_STEP_RMSE_SCORE DIV_STEP_NRMSE DIV_STEP_NRMSE_SCORE DIV_STEP_MAE DIV_STEP_MAE_SCORE DIV_STEP_NMAE DIV_STEP_NMAE_SCORE DS_T DIVS_T DS_TD_MEAN DS_TD_STD DS_TD_CD DS_TD_MIN DS_TD_LOWER DS_TD_MED DS_TD_UPPER DS_TD_MAX DS_TS_MEAN DS_TS_STD DS_TS_CD DS_TS_MIN DS_TS_LOWER DS_TS_MED DS_TS_UPPER DS_TS_MAX PR_T PR_TS_MEAN PR_TS_STD PR_TS_CD PR_TS_MIN PR_TS_LOWER PR_TS_MED PR_TS_UPPER PR_TS_MAX PP_LE_MEAN PP_AC_MEAN PP_LE_STD PP_AC_STD PP_LE_CD PP_AC_CD PP_LE_MIN PP_AC_MIN PP_LE_LOWER PP_AC_LOWER PP_LE_MED PP_AC_MED PP_LE_UPPER PP_AC_UPPER PP_LE_MAX PP_AC_MAX PP_ED_L PP_ED_A PP_EB_L PP_EB_A PP_EBS_L PP_EBS_A PP_EF_LE_MIN PP_EF_AC_MIN PP_EF_LE_LOWER PP_EF_AC_LOWER PP_EF_LE_MED PP_EF_AC_MED PP_EF_LE_UPPER PP_EF_AC_UPPER PP_EF_LE_MAX PP_EF_AC_MAX
0 0 4 1.1317244999999616 0.09456409999998527 0.0 1.2262885999999469 1.2262885999999469 1.2262885999999469 1.2262885999999469 0.0681271444444415 0.0 0.0 351.984375 344.58203125 9 18 0.5 32 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 9.0 0.0 0.0 9.0 9.0 9.0 9.0 9.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 0 3 4.516029300000014 9.997258700000003 0.0 14.513288000000017 15.739576599999964 15.739576599999964 15.739576599999964 0.5077282774193537 0.0 0.0 427.55078125 432.98046875 20 31 0.6451612903225806 31 9 32 0.9354838709677419 0.6714092499978297 0.6714092499978297 0.6714092499978297 1.0 1.0 1.0 0.8904697499992765 0.6280925241915181 0.6280925241915181 0.6280925241915181 0.9354838709677419 0.9354838709677419 0.9354838709677419 0.6280925241915181 False 0 0 False 2.2222222222222223 1.7222222222222223 1.5634719199411433 2.4072293381436998 0.7035623639735145 1.4984482335418994 0.5715674364403028 0.44206911625414447 1.0 0.5 1.0 0.625 1.0 1.0 3.0 1.0 5.0 8.0 0 0.0 0 0.0 1.5058186185374907 0.22183562073020496 0.6776183783418708 0.5078250003049223 1.1728395061728396 0.3094869024490398 0.5277777777777778 0.5899144351448397 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 1 9.0 0.0 0.0 9.0 9.0 9.0 9.0 9.0 20.0 31.0 0.0 0.0 0.0 0.0 20.0 31.0 20.0 31.0 20.0 31.0 20.0 31.0 20.0 31.0 0.0 0.0 0.0 0.0 0.0 0.0 2.2222222222222223 1.7222222222222223 2.2222222222222223 1.7222222222222223 2.2222222222222223 1.7222222222222223 2.2222222222222223 1.7222222222222223 2.2222222222222223 1.7222222222222223
2 0 2 10.405729400000013 1.9373059999999782 0.0 12.34303539999999 23.551963799999925 28.082611999999955 14.061333599999983 0.3933623218461537 4.570703400000042 0.11719752307692415 449.125 454.41796875 39 64 0.609375 64 20 31 0.859375 0.6033541331937637 0.5755490249888318 0.6919902873224911 1.0 1.0 1.0 0.8677847110645879 0.5185074582133907 0.4946124433497773 0.5946791531677658 0.859375 0.859375 0.859375 0.7457524860711302 False 0 0 False 1.95 2.064516129032258 1.4317821063276353 2.5827107342561817 0.7342472340141719 1.022855736339082 0.7033698994075233 0.5740207783267854 1.0 0.5 1.0 1.0 1.5 1.5 2.25 4.0 7.0 12.0 0 0.0 0 0.0 4.2501470562793475 0.014262136418061242 2.179562592963768 0.11309098661674591 3.9750000000000005 0.018779301494684392 2.0384615384615388 0.13022890900808254 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 2.0207259421636903 0.1325591998305055 0.10362697139300976 0.9015615429491876 1.1666666666666667 0.3114032239145977 0.05982905982905983 0.9419255327348242 2 4 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 19.5 4.949747468305833 0.2538332035028632 16.0 17.75 19.5 21.25 23.0 2 10.0 0.0 0.0 10.0 10.0 10.0 10.0 10.0 19.5 32.0 4.949747468305833 9.899494936611665 0.2538332035028632 0.30935921676911454 16.0 25.0 17.75 28.5 19.5 32.0 21.25 35.5 23.0 39.0 0.49497474683058307 0.5450614771646304 0.2538332035028631 0.26401415300161785 0.8657726130944201 0.8547721689138141 1.6 1.6666666666666667 1.775 1.859375 1.95 2.0520833333333335 2.125 2.2447916666666665 2.3 2.4375
3 0 1 47.54860649999998 3.079007400000023 0.0 50.6276139 36.56216099999989 78.71022589999995 13.16478351666666 0.7311923256949996 8.485308020000014 0.48140681552381015 453.453125 450.87890625 74 102 0.7254901960784313 0 39 64 0.8333333333333334 0.5353036598570711 0.42450899375003825 0.7044418833301371 1.0 0.799773360991993 1.0 0.7783590069496881 0.4460863832142259 0.35375749479169855 0.5870349027751143 0.8333333333333334 0.6664778008266609 0.8333333333333334 0.6486325057914067 False 0 0 False 1.8974358974358974 1.59375 1.3916077751040679 0.9841867108335575 0.7334149085007925 0.5815648745834657 0.7619895791993222 0.8129664029424198 1.0 0.5 1.0 1.0 1.0 1.5 2.0 2.0 8.0 4.5 0 0.0 0 0.0 4.188260939265349 0.015172648099327113 2.207326711234441 0.10999430236264532 3.7948717948717947 0.022485788425336845 2.0 0.1353352832366127 1.7217101133134214 0.17876018619713235 0.2648784789712956 0.7672991872971577 1.2142857142857142 0.2969220257278962 0.1868131868131868 0.8295987018874292 5.973486392596845 0.0025453518359119425 0.4843367345348793 0.6161057029109043 4.857142857142856 0.0077726597956035435 0.3938223938223937 0.6744738363232529 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 6 6.5 1.378404875209022 0.2120622884936957 5.0 5.25 6.5 7.75 8.0 12.333333333333334 17.0 4.033195589934446 5.059644256269407 0.3270158586433335 0.29762613272172983 8.0 11.0 9.25 13.25 11.5 17.0 15.25 20.0 18.0 24.0 0.41874340734422977 0.20372032610531232 0.22068909305979678 0.1278245183405881 0.9045269087254298 0.9493888596601903 1.3333333333333333 1.3 1.66875 1.4642857142857144 1.9 1.619047619047619 2.0 1.7291666666666667 2.5714285714285716 1.8461538461538463
4 1 4 1.135456199999993 0.10124630000001389 0.0 1.236702500000007 1.236702500000007 1.236702500000007 1.236702500000007 0.06870569444444483 0.0 0.0 383.2890625 374.50390625 9 18 0.5 31 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 9.0 0.0 0.0 9.0 9.0 9.0 9.0 9.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5 1 3 3.99425930000001 1.9508452999999975 0.0 5.945104600000008 7.1818071000000145 7.1818071000000145 7.1818071000000145 0.231671196774194 0.0 0.0 418.34375 411.38671875 18 31 0.5806451612903226 31 9 31 0.9354838709677419 0.8455816384601487 0.8455816384601487 0.8455816384601487 1.0 1.0 1.0 0.9485272128200496 0.7910279843659455 0.7910279843659455 0.7910279843659455 0.9354838709677419 0.9354838709677419 0.9354838709677419 0.7910279843659455 False 0 0 False 2.0 1.7222222222222223 1.3228756555322954 0.7427634420622744 0.6614378277661477 0.6469229979252067 0.6164224933981441 0.747193780637164 1.0 0.5 1.0 1.0 1.0 1.0 3.0 1.0 4.0 3.0 0 0.0 0 0.0 1.8257418583505538 0.1610980878266266 0.9128709291752769 0.40137026275824994 1.5555555555555556 0.2110720877910902 0.7777777777777778 0.45942582403592663 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 18.0 0.0 0.0 18.0 18.0 18.0 18.0 18.0 1 9.0 0.0 0.0 9.0 9.0 9.0 9.0 9.0 18.0 31.0 0.0 0.0 0.0 0.0 18.0 31.0 18.0 31.0 18.0 31.0 18.0 31.0 18.0 31.0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1.7222222222222223 2.0 1.7222222222222223 2.0 1.7222222222222223 2.0 1.7222222222222223 2.0 1.7222222222222223
6 1 2 9.01720059999991 1.339101799999895 0.0 10.356302399999805 13.982917899999876 17.53810949999982 8.789288549999938 0.2746655366666649 3.5956592 0.10273312 437.109375 438.203125 34 59 0.576271186440678 59 18 31 0.9322033898305084 0.6930341475552657 0.6523922280865238 0.7910248673232053 1.0 1.0 1.0 0.8976780491850885 0.6460487816193154 0.6081622465213357 0.7373960627589202 0.9322033898305084 0.9322033898305084 0.9322033898305084 0.8368185204267774 False 0 0 False 1.8888888888888888 1.903225806451613 1.4907119849998596 2.6121886248440607 0.7892004626469845 1.1195094106474546 0.6842729296457719 0.5556579002682756 1.0 1.0 1.0 1.0 1.0 1.5 2.0 2.0 7.0 12.0 0 0.0 0 0.0 4.361258549052928 0.012762315537753473 2.308901584792727 0.09937034152992467 4.0 0.01831563888873418 2.1176470588235294 0.12031438840089924 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 2.309401076758503 0.09932071923669414 0.13584712216226488 0.872976080983456 1.3333333333333333 0.26359713811572677 0.0784313725490196 0.9245655083284784 2 4 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 17.0 5.656854249492381 0.3327561323230812 13.0 15.0 17.0 19.0 21.0 2 9.0 0.0 0.0 9.0 9.0 9.0 9.0 9.0 17.0 29.5 5.656854249492381 7.7781745930520225 0.3327561323230812 0.2636669353576957 13.0 24.0 15.0 26.75 17.0 29.5 19.0 32.25 21.0 35.0 0.628539361054709 0.7694985559971251 0.3327561323230812 0.40431280060865893 0.8312730830425058 0.802552663617538 1.4444444444444444 1.411764705882353 1.6666666666666667 1.6838235294117647 1.8888888888888888 1.9558823529411766 2.111111111111111 2.2279411764705883 2.3333333333333335 2.5
7 1 1 40.33541099999985 2.2972671999999648 0.0 42.632678199999816 26.69667549999994 60.170787699999636 10.075008049999957 0.6101853670881715 6.750674559999959 0.43601550294736535 446.1171875 443.421875 63 90 0.7 0 34 59 0.9444444444444444 0.58345660882267 0.4625609648902125 0.7592991503702181 1.0 0.8650069356266208 1.0 0.8161545148164303 0.5510423527769661 0.4368631335074229 0.7171158642385393 0.9444444444444444 0.8169509947584752 0.9444444444444444 0.7708125973266285 False 0 0 False 1.8529411764705883 1.5254237288135593 1.3513708627005947 0.8830953501771235 0.7293112592352415 0.5560229982596704 0.7575408135561708 0.8205183839400885 1.0 0.5 1.0 1.0 1.5 1.25 2.0 2.0 8.0 4.5 0 0.0 0 0.0 4.344038989291466 0.012983979997882707 2.344401994220791 0.09590453645271312 3.8382352941176463 0.021531564717057392 2.0714285714285707 0.12600564500231193 2.0968608434575233 0.12284144214416805 0.3700342664925041 0.6907106620001144 1.571428571428571 0.20774818714360094 0.2773109243697478 0.7578188361320289 6.842618546392059 0.0010673049497777734 0.6516779567992437 0.5211705410096285 5.5 0.004086771438464067 0.5238095238095238 0.592260016295893 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 6 5.666666666666667 1.505545305418162 0.2656844656620286 4.0 4.25 6.0 7.0 7.0 10.5 15.0 4.460941604639093 4.09878030638384 0.4248515813941993 0.2732520204255893 7.0 10.0 7.0 11.75 9.0 15.0 12.5 18.25 18.0 20.0 0.4034713318765766 0.10504360448214067 0.21774643307624766 0.06886191849384778 0.9038814414806681 0.971674820381041 1.4 1.4 1.6160714285714286 1.4350649350649352 1.75 1.512987012987013 1.8303571428571428 1.5803571428571428 2.5714285714285716 1.6666666666666667
8 2 4 1.1291764999999714 0.09448590000010881 0.0 1.2236624000000802 1.2236624000000802 1.2236624000000802 1.2236624000000802 0.0679812444444489 0.0 0.0 398.3984375 389.65625 9 18 0.5 32 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 9.0 0.0 0.0 9.0 9.0 9.0 9.0 9.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9 2 3 4.252100700000028 3.8093986999999174 0.0 8.061499399999946 9.285161800000026 9.285161800000026 9.285161800000026 0.2901613062500008 0.0 0.0 439.96875 432.2578125 19 32 0.59375 32 9 32 0.90625 0.7778808728887219 0.7778808728887219 0.7778808728887219 1.0 1.0 1.0 0.9259602909629073 0.7049545410554042 0.7049545410554042 0.7049545410554042 0.90625 0.90625 0.90625 0.7049545410554042 False 0 0 False 2.111111111111111 1.7777777777777777 1.6914819275153699 1.4202025590182463 0.8012282814546489 1.0801540589716239 0.5493897371450693 0.5977419659983256 1.0 0.5 1.0 0.5 1.0 1.0 3.0 1.0 6.0 5.0 0 0.0 0 0.0 1.5342455686820728 0.21561829902130145 0.726747900954666 0.483478756992027 1.1851851851851853 0.3056895650780794 0.5614035087719299 0.5704079292483255 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 19.0 0.0 0.0 19.0 19.0 19.0 19.0 19.0 1 9.0 0.0 0.0 9.0 9.0 9.0 9.0 9.0 19.0 32.0 0.0 0.0 0.0 0.0 19.0 32.0 19.0 32.0 19.0 32.0 19.0 32.0 19.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 2.111111111111111 1.7777777777777777 2.111111111111111 1.7777777777777777 2.111111111111111 1.7777777777777777 2.111111111111111 1.7777777777777777 2.111111111111111 1.7777777777777777
