 RU AL GT ST OT TT LT CT WT WT_PA MET MET_PA RSS VMS LE AC CF PSG SIZE SGLITS_T QL_SCORE LT_SCORE CT_SCORE AW_SCORE AW_PA_SCORE AME_SCORE AME_PA_SCORE TI_SCORE LT_GRADE CT_GRADE AW_GRADE AW_PA_GRADE AME_GRADE AME_PA_GRADE GRADE HAS_TRAILING TOT_CHOICES PRE_CHOICES FGOALS_ORDER CP_EF_L CP_EF_A SP_ED_L SP_ED_A SP_EB_L SP_EB_A SP_EBS_L SP_EBS_A SP_MIN_L SP_MIN_A SP_LOWER_L SP_LOWER_A SP_MED_L SP_MED_A SP_UPPER_L SP_UPPER_A SP_MAX_L SP_MAX_A T_INTER_SP P_INTER_SP T_INTER_Q P_INTER_Q M_CHILD_RMSE M_CHILD_RMSE_SCORE M_CHILD_NRMSE M_CHILD_NRMSE_SCORE M_CHILD_MAE M_CHILD_MAE_SCORE M_CHILD_NMAE M_CHILD_NMAE_SCORE DIV_INDEX_RMSE DIV_INDEX_RMSE_SCORE DIV_INDEX_NRMSE DIV_INDEX_NRMSE_SCORE DIV_INDEX_MAE DIV_INDEX_MAE_SCORE DIV_INDEX_NMAE DIV_INDEX_NMAE_SCORE DIV_STEP_RMSE DIV_STEP_RMSE_SCORE DIV_STEP_NRMSE DIV_STEP_NRMSE_SCORE DIV_STEP_MAE DIV_STEP_MAE_SCORE DIV_STEP_NMAE DIV_STEP_NMAE_SCORE DS_T DIVS_T DS_TD_MEAN DS_TD_STD DS_TD_CD DS_TD_MIN DS_TD_LOWER DS_TD_MED DS_TD_UPPER DS_TD_MAX DS_TS_MEAN DS_TS_STD DS_TS_CD DS_TS_MIN DS_TS_LOWER DS_TS_MED DS_TS_UPPER DS_TS_MAX PR_T PR_TS_MEAN PR_TS_STD PR_TS_CD PR_TS_MIN PR_TS_LOWER PR_TS_MED PR_TS_UPPER PR_TS_MAX PP_LE_MEAN PP_AC_MEAN PP_LE_STD PP_AC_STD PP_LE_CD PP_AC_CD PP_LE_MIN PP_AC_MIN PP_LE_LOWER PP_AC_LOWER PP_LE_MED PP_AC_MED PP_LE_UPPER PP_AC_UPPER PP_LE_MAX PP_AC_MAX PP_ED_L PP_ED_A PP_EB_L PP_EB_A PP_EBS_L PP_EBS_A PP_EF_LE_MIN PP_EF_AC_MIN PP_EF_LE_LOWER PP_EF_AC_LOWER PP_EF_LE_MED PP_EF_AC_MED PP_EF_LE_UPPER PP_EF_AC_UPPER PP_EF_LE_MAX PP_EF_AC_MAX
0 0 4 1.350613199999998 0.18741909999988593 0.0 1.538032299999884 1.538032299999884 1.538032299999884 1.538032299999884 0.07323963333332781 0.0 0.0 533.78125 531.8359375 14 21 0.6666666666666666 21 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 14.0 0.0 0.0 14.0 14.0 14.0 14.0 14.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 0 3 3.6661891000000537 0.5030798999999888 0.0 4.1692690000000425 4.061955699999942 5.707301299999926 2.939012299999945 0.12032621005638858 1.816068899999948 0.06485960357142671 550.8984375 549.2421875 30 47 0.6382978723404256 47 14 21 0.8936170212765957 1.0 0.9286357223085985 1.0 1.0 1.0 1.0 1.0 0.8936170212765957 0.8298446880204496 0.8936170212765957 0.8936170212765957 0.8936170212765957 0.8936170212765957 0.8936170212765957 False 0 0 False 2.142857142857143 2.238095238095238 1.561909228976012 2.838123509459209 0.7288909735221389 1.0738845711467278 0.6435269660351439 0.49035454339817464 1.0 1.0 1.0 1.125 2.0 2.0 2.0 2.75 7.0 12.0 0 0.0 0 0.0 3.1719433301677884 0.0419220503071001 1.4802402207449679 0.22758301165623146 2.3877551020408165 0.0918356142276702 1.1142857142857143 0.32814958777058006 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1.1547005383792515 0.3151518986722024 0.0769800358919501 0.9259083383560902 0.6666666666666666 0.513417119032592 0.04444444444444444 0.9565287391030293 2 4 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 15.0 2.8284271247461903 0.1885618083164127 13.0 14.0 15.0 16.0 17.0 2 7.0 0.0 0.0 7.0 7.0 7.0 7.0 7.0 15.0 23.5 2.8284271247461903 6.363961030678928 0.1885618083164127 0.27080685236931606 13.0 19.0 14.0 21.25 15.0 23.5 16.0 25.75 17.0 28.0 0.4040610178208841 0.7585327289092054 0.1885618083164126 0.3389188788743258 0.8714053079342835 0.7861055240226654 1.8571428571428572 1.7272727272727273 2.0 1.9954545454545454 2.142857142857143 2.2636363636363637 2.2857142857142856 2.5318181818181817 2.4285714285714284 2.8
2 0 2 13.98967349999998 1.2102895000000444 0.0 15.199963000000025 8.491322100000104 20.90726429999995 3.709376816666643 0.27219207563713776 2.752987759999951 0.2139709705128167 562.40234375 561.6328125 60 76 0.7894736842105263 86 30 47 0.881578947368421 0.7995945958277737 0.6227433064905912 1.0 1.0 1.0 1.0 0.9331981986092579 0.7049057621113268 0.5489973886167053 0.881578947368421 0.881578947368421 0.881578947368421 0.881578947368421 0.8226878856160563 False 0 0 False 2.0 1.6170212765957446 1.6815428055498771 1.0556210909278716 0.8407714027749386 0.5994062976877503 0.7099867511609066 0.7881398944389661 1.0 0.3333333333333333 1.0 1.0 2.0 2.0 2.0 2.0 10.0 5.5 0 0.0 0 0.0 4.171330722922842 0.015431711122698779 2.085665361461421 0.12422443850828539 3.2 0.04076220397836621 1.6 0.20189651799465538 0.9258200997725514 0.3962063570582617 0.1851640199545103 0.8309679773440941 0.5714285714285714 0.5647181220077593 0.11428571428571428 0.8920030614530944 4.456135417280635 0.011607133450102558 0.44561354172806344 0.6404312241878006 3.2857142857142856 0.03741385136723659 0.32857142857142857 0.7199515012819313 6 12 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 10.0 3.5777087639996634 0.35777087639996635 5.0 9.0 9.5 10.75 16.0 6 5.0 0.8944271909999159 0.17888543819998318 4.0 4.25 5.0 5.75 6.0 10.0 12.666666666666666 3.5777087639996634 3.3862466931200785 0.35777087639996635 0.267335265246322 5.0 9.0 9.0 10.25 9.5 12.0 10.75 14.5 16.0 18.0 0.6699087831770665 0.3771442155213989 0.33495439158853324 0.23323392275665458 0.849238680810037 0.9059119745103634 1.25 1.25 1.7000000000000002 1.4583333333333333 1.8166666666666667 1.5357142857142856 2.1458333333333335 1.8928571428571428 3.2 2.25
3 0 1 108.40033000000034 6.7110708000003 0.0 115.11140080000064 21.847926700000244 136.0186651000006 7.821643338888925 0.8678757321652616 6.996567847058848 0.893726750381908 589.62890625 592.93359375 134 150 0.8933333333333333 0 60 86 0.86 0.6155198154056812 0.3485536667769803 0.8211362789274862 1.0 0.8535839581743271 1.0 0.8230345911933361 0.5293470412488859 0.29975615342820305 0.7061771998776382 0.86 0.7340822040299213 0.86 0.7078097484262691 False 0 0 False 2.2333333333333334 1.9736842105263157 1.1697698841741926 1.1957458530178628 0.5237775600779967 0.5660335398901126 0.8108070520206719 0.8079004409081654 1.0 0.3333333333333333 1.0 1.0 3.0 2.75 3.0 3.0 4.0 4.0 0 0.0 0 0.0 3.988339485531775 0.018530458681603707 1.7858236502381082 0.1676589118120551 3.252222222222224 0.03868813859333576 1.4562189054726375 0.23311604423487708 4.277644867685381 0.013875301807623976 1.2832934603056143 0.27712310190533584 3.421052631578945 0.032678018913854114 1.0263157894736834 0.3583246752499038 8.026758368266364 0.00032660522863401357 1.0782212733492131 0.34020011079334755 6.1754385964912295 0.0020798934833850227 0.8295365278868816 0.43625142984601556 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 18 3.3333333333333335 1.1881770515720091 0.35645311547160274 1.0 3.0 3.0 4.0 6.0 7.444444444444445 8.333333333333334 3.381997707972616 3.199264621385211 0.45429819957841105 0.38391175456622534 1.0 2.0 6.25 6.25 8.0 9.0 9.0 10.0 14.0 15.0 0.8140224410268304 0.7742831153874833 0.3644876601612673 0.3923034451296582 0.8545440635041949 0.8599540282998817 1.0 1.0 1.4666666666666666 1.4166666666666665 2.5 2.083333333333333 2.7874999999999996 2.625 3.3333333333333335 3.3333333333333335
4 1 4 1.3476435999999694 0.25398509999968155 0.0 1.601628699999651 1.601628699999651 1.601628699999651 1.601628699999651 0.0762680333333167 0.0 0.0 549.125 547.234375 14 21 0.6666666666666666 21 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 14.0 0.0 0.0 14.0 14.0 14.0 14.0 14.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5 1 3 3.6609522000001675 0.5789868999998475 0.0 4.239939100000015 4.117655299999683 5.841567799999666 3.0056589499998267 0.12336278524435446 1.8936625999999706 0.06763080714285609 584.51171875 584.85546875 30 47 0.6382978723404256 47 14 21 0.8936170212765957 1.0 0.918535940615365 1.0 1.0 1.0 1.0 1.0 0.8936170212765957 0.8208193511881985 0.8936170212765957 0.8936170212765957 0.8936170212765957 0.8936170212765957 0.8936170212765957 False 0 0 False 2.142857142857143 2.238095238095238 1.561909228976012 2.8108893434461097 0.7288909735221389 1.0635797515742038 0.6435269660351439 0.4930528524852844 1.0 1.0 1.0 1.5 2.0 2.0 2.0 2.0 7.0 12.0 0 0.0 0 0.0 3.1719433301677884 0.0419220503071001 1.4802402207449679 0.22758301165623146 2.3877551020408165 0.0918356142276702 1.1142857142857143 0.32814958777058006 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1.1547005383792515 0.3151518986722024 0.0769800358919501 0.9259083383560902 0.6666666666666666 0.513417119032592 0.04444444444444444 0.9565287391030293 2 4 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 15.0 2.8284271247461903 0.1885618083164127 13.0 14.0 15.0 16.0 17.0 2 7.0 0.0 0.0 7.0 7.0 7.0 7.0 7.0 15.0 23.5 2.8284271247461903 6.363961030678928 0.1885618083164127 0.27080685236931606 13.0 19.0 14.0 21.25 15.0 23.5 16.0 25.75 17.0 28.0 0.4040610178208841 0.7585327289092054 0.1885618083164126 0.3389188788743258 0.8714053079342835 0.7861055240226654 1.8571428571428572 1.7272727272727273 2.0 1.9954545454545454 2.142857142857143 2.2636363636363637 2.2857142857142856 2.5318181818181817 2.4285714285714284 2.8
6 1 2 13.977609499999915 1.2591742000001318 0.0 15.236783700000046 8.566241899999852 21.078351499999712 3.711937083333273 0.2714541385301689 2.741076119999957 0.21207376176068177 592.16796875 592.65625 60 76 0.7894736842105263 86 30 47 0.881578947368421 0.7973874955792359 0.6214000683934031 1.0 1.0 1.0 1.0 0.9324624985264119 0.7029600289974843 0.5478132181889211 0.881578947368421 0.881578947368421 0.881578947368421 0.881578947368421 0.8220393079114421 False 0 0 False 2.0 1.6170212765957446 1.3896166675593025 0.9343214528559869 0.6948083337796512 0.5305295315901503 0.7438746226156174 0.8060222561086905 1.0 0.3333333333333333 1.0 1.0 2.0 2.0 2.0 2.0 8.0 4.5 0 0.0 0 0.0 4.090639721771319 0.016728528530922725 2.0453198608856593 0.12933881293301994 3.2 0.04076220397836621 1.6 0.20189651799465538 0.9258200997725514 0.3962063570582617 0.1851640199545103 0.8309679773440941 0.5714285714285714 0.5647181220077593 0.11428571428571428 0.8920030614530944 4.456135417280635 0.011607133450102558 0.44561354172806344 0.6404312241878006 3.2857142857142856 0.03741385136723659 0.32857142857142857 0.7199515012819313 6 12 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 10.0 3.5777087639996634 0.35777087639996635 5.0 9.0 9.5 10.75 16.0 6 5.0 0.8944271909999159 0.17888543819998318 4.0 4.25 5.0 5.75 6.0 10.0 12.666666666666666 3.5777087639996634 3.3862466931200785 0.35777087639996635 0.267335265246322 5.0 9.0 9.0 10.25 9.5 12.0 10.75 14.5 16.0 18.0 0.6699087831770665 0.3771442155213989 0.33495439158853324 0.23323392275665458 0.849238680810037 0.9059119745103634 1.25 1.25 1.7000000000000002 1.4583333333333333 1.8166666666666667 1.5357142857142856 2.1458333333333335 1.8928571428571428 3.2 2.25
7 1 1 108.63821249999938 6.803046999999822 0.0 115.4412594999992 21.940490200000056 136.51961099999892 7.846034327777709 0.8693199887524997 7.016948688235218 0.8902540120475448 630.19921875 635.53515625 134 150 0.8933333333333333 0 60 86 0.86 0.614829694465566 0.34804838948188777 0.82028750118528 1.0 0.8526796380096618 1.0 0.822503110825076 0.5287535372403868 0.2993216149544235 0.7054472510193408 0.86 0.7333044886883092 0.86 0.7073526753095654 False 0 0 False 2.2333333333333334 1.9736842105263157 1.1697698841741926 1.194282387289573 0.5237775600779967 0.5649693290725969 0.8108070520206719 0.8080632808228085 1.0 0.25 1.0 1.0 3.0 2.75 3.0 3.0 4.0 4.0 0 0.0 0 0.0 4.013334256182989 0.018073034536553668 1.797015338589398 0.1657929864256043 3.2900000000000023 0.037253849396215725 1.47313432835821 0.22920595143480862 4.277644867685381 0.013875301807623976 1.2832934603056143 0.27712310190533584 3.421052631578945 0.032678018913854114 1.0263157894736834 0.3583246752499038 8.026758368266364 0.00032660522863401357 1.0782212733492131 0.34020011079334755 6.1754385964912295 0.0020798934833850227 0.8295365278868816 0.43625142984601556 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 18 3.3333333333333335 1.1881770515720091 0.35645311547160274 1.0 3.0 3.0 4.0 6.0 7.444444444444445 8.333333333333334 3.381997707972616 3.0486255340823387 0.45429819957841105 0.36583506408988065 1.0 2.0 6.25 7.0 8.0 9.0 9.0 10.0 14.0 14.0 0.8140224410268304 0.8016177158164921 0.3644876601612673 0.4061529760136893 0.8545440635041949 0.8562199679709211 1.0 1.0 1.4666666666666666 1.380952380952381 2.5 2.083333333333333 2.7874999999999996 2.7666666666666666 3.3333333333333335 3.3333333333333335
8 2 4 1.3446625999999924 0.3012202000001025 0.0 1.645882800000095 1.645882800000095 1.645882800000095 1.645882800000095 0.07837537142857595 0.0 0.0 594.52734375 593.9609375 14 21 0.6666666666666666 21 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 14.0 0.0 0.0 14.0 14.0 14.0 14.0 14.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9 2 3 3.6643071000000873 0.5496338000001515 0.0 4.213940900000239 4.101953700000422 5.859823700000334 3.015015400000152 0.12398804426692173 1.9280770999998822 0.06885989642856723 614.4453125 614.375 30 47 0.6382978723404256 47 14 21 0.8936170212765957 1.0 0.9172199017853622 1.0 1.0 1.0 1.0 1.0 0.8936170212765957 0.819643316489047 0.8936170212765957 0.8936170212765957 0.8936170212765957 0.8936170212765957 0.8936170212765957 False 0 0 False 2.142857142857143 2.238095238095238 1.561909228976012 2.838123509459209 0.7288909735221389 1.0738845711467278 0.6435269660351439 0.49035454339817464 1.0 1.0 1.0 1.125 2.0 2.0 2.0 2.75 7.0 12.0 0 0.0 0 0.0 3.1719433301677884 0.0419220503071001 1.4802402207449679 0.22758301165623146 2.3877551020408165 0.0918356142276702 1.1142857142857143 0.32814958777058006 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1.1547005383792515 0.3151518986722024 0.0769800358919501 0.9259083383560902 0.6666666666666666 0.513417119032592 0.04444444444444444 0.9565287391030293 2 4 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 15.0 2.8284271247461903 0.1885618083164127 13.0 14.0 15.0 16.0 17.0 2 7.0 0.0 0.0 7.0 7.0 7.0 7.0 7.0 15.0 23.5 2.8284271247461903 6.363961030678928 0.1885618083164127 0.27080685236931606 13.0 19.0 14.0 21.25 15.0 23.5 16.0 25.75 17.0 28.0 0.4040610178208841 0.7585327289092054 0.1885618083164126 0.3389188788743258 0.8714053079342835 0.7861055240226654 1.8571428571428572 1.7272727272727273 2.0 1.9954545454545454 2.142857142857143 2.2636363636363637 2.2857142857142856 2.5318181818181817 2.4285714285714284 2.8
