 RU AL GT ST OT TT LT CT WT WT_PA MET MET_PA RSS VMS LE AC CF PSG SIZE SGLITS_T QL_SCORE LT_SCORE CT_SCORE AW_SCORE AW_PA_SCORE AME_SCORE AME_PA_SCORE TI_SCORE LT_GRADE CT_GRADE AW_GRADE AW_PA_GRADE AME_GRADE AME_PA_GRADE GRADE HAS_TRAILING TOT_CHOICES PRE_CHOICES FGOALS_ORDER CP_EF_L CP_EF_A SP_ED_L SP_ED_A SP_EB_L SP_EB_A SP_EBS_L SP_EBS_A SP_MIN_L SP_MIN_A SP_LOWER_L SP_LOWER_A SP_MED_L SP_MED_A SP_UPPER_L SP_UPPER_A SP_MAX_L SP_MAX_A T_INTER_SP P_INTER_SP T_INTER_Q P_INTER_Q M_CHILD_RMSE M_CHILD_RMSE_SCORE M_CHILD_NRMSE M_CHILD_NRMSE_SCORE M_CHILD_MAE M_CHILD_MAE_SCORE M_CHILD_NMAE M_CHILD_NMAE_SCORE DIV_INDEX_RMSE DIV_INDEX_RMSE_SCORE DIV_INDEX_NRMSE DIV_INDEX_NRMSE_SCORE DIV_INDEX_MAE DIV_INDEX_MAE_SCORE DIV_INDEX_NMAE DIV_INDEX_NMAE_SCORE DIV_STEP_RMSE DIV_STEP_RMSE_SCORE DIV_STEP_NRMSE DIV_STEP_NRMSE_SCORE DIV_STEP_MAE DIV_STEP_MAE_SCORE DIV_STEP_NMAE DIV_STEP_NMAE_SCORE DS_T DIVS_T DS_TD_MEAN DS_TD_STD DS_TD_CD DS_TD_MIN DS_TD_LOWER DS_TD_MED DS_TD_UPPER DS_TD_MAX DS_TS_MEAN DS_TS_STD DS_TS_CD DS_TS_MIN DS_TS_LOWER DS_TS_MED DS_TS_UPPER DS_TS_MAX PR_T PR_TS_MEAN PR_TS_STD PR_TS_CD PR_TS_MIN PR_TS_LOWER PR_TS_MED PR_TS_UPPER PR_TS_MAX PP_LE_MEAN PP_AC_MEAN PP_LE_STD PP_AC_STD PP_LE_CD PP_AC_CD PP_LE_MIN PP_AC_MIN PP_LE_LOWER PP_AC_LOWER PP_LE_MED PP_AC_MED PP_LE_UPPER PP_AC_UPPER PP_LE_MAX PP_AC_MAX PP_ED_L PP_ED_A PP_EB_L PP_EB_A PP_EBS_L PP_EBS_A PP_EF_LE_MIN PP_EF_AC_MIN PP_EF_LE_LOWER PP_EF_AC_LOWER PP_EF_LE_MED PP_EF_AC_MED PP_EF_LE_UPPER PP_EF_AC_UPPER PP_EF_LE_MAX PP_EF_AC_MAX
0 0 4 1.369254999999896 1.1766680000000065 0.0 2.5459229999999025 2.5459229999999025 2.5459229999999025 2.5459229999999025 0.14976017647058248 0.0 0.0 467.25 465.6796875 17 17 1.0 30 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 17.0 0.0 0.0 17.0 17.0 17.0 17.0 17.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 0 3 3.497442699999908 85.20831069999997 0.0 88.70575339999988 91.25167639999978 91.25167639999978 91.25167639999978 3.0417225466666595 0.0 0.0 556.87890625 563.234375 30 30 1.0 30 17 30 0.9666666666666667 0.40380604790055197 0.40380604790055197 0.40380604790055197 0.8515885855263361 1.0 1.0 0.8012686826335174 0.39034584630386693 0.39034584630386693 0.39034584630386693 0.8232022993421249 0.9666666666666667 0.9666666666666667 0.39034584630386693 False 0 0 False 1.7647058823529411 1.7647058823529411 2.016476250935834 0.9842509842514764 1.142669875530306 0.9842509842514764 0.6103049041008439 0.7581398144766331 1.0 0.5 1.0 0.5 1.0 0.5 1.0 1.0 9.0 4.5 0 0.0 0 0.0 2.256861893323633 0.10467846205237757 1.2788884062167254 0.27834653682867055 1.9377162629757791 0.14403250683449675 1.0980392156862748 0.3335244124065093 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 30.0 0.0 0.0 30.0 30.0 30.0 30.0 30.0 1 17.0 0.0 0.0 17.0 17.0 17.0 17.0 17.0 30.0 30.0 0.0 0.0 0.0 0.0 30.0 30.0 30.0 30.0 30.0 30.0 30.0 30.0 30.0 30.0 0.0 0.0 0.0 0.0 0.0 0.0 1.7647058823529411 1.7647058823529411 1.7647058823529411 1.7647058823529411 1.7647058823529411 1.7647058823529411 1.7647058823529411 1.7647058823529411 1.7647058823529411 1.7647058823529411
2 0 2 7.51069380000024 4.611686999999904 0.0 12.122380800000144 98.46228359999981 103.37405719999992 51.70706719999998 1.6871383643870967 4.951850800000159 0.1597371225806503 567.1171875 564.01953125 56 56 1.0 56 30 30 0.9821428571428571 0.3932125690792767 0.3864498230996881 0.48434955401690305 0.9302206802218222 1.0 1.0 0.7977375230264255 0.3861909160600039 0.3795489334014794 0.47570045483802975 0.9136095966464325 0.9821428571428571 0.9821428571428571 0.7834922101152394 False 0 0 False 1.8666666666666667 1.8666666666666667 1.7564331673207403 1.7564331673207403 0.9409463396361109 0.9409463396361109 0.7018880707319555 0.7018880707319555 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 10.0 10.0 0 0.0 0 0.0 6.3610504606521525 0.0017275510339892484 3.407705603920796 0.033117097011658415 5.566666666666665 0.0038232032269108545 2.982142857142856 0.05068410861099273 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1.7320508075688772 0.17692120631776423 0.06185895741317419 0.9400154596537452 1.0 0.36787944117144233 0.03571428571428571 0.96491594437237 2 2 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 28.0 4.242640687119285 0.1515228816828316 25.0 26.5 28.0 29.5 31.0 2 15.0 0.0 0.0 15.0 15.0 15.0 15.0 15.0 28.0 28.0 4.242640687119285 4.242640687119285 0.1515228816828316 0.1515228816828316 25.0 25.0 26.5 26.5 28.0 28.0 29.5 29.5 31.0 31.0 0.28284271247461906 0.28284271247461906 0.15152288168283165 0.15152288168283165 0.9267674125851519 0.9267674125851519 1.6666666666666667 1.6666666666666667 1.7666666666666668 1.7666666666666668 1.8666666666666667 1.8666666666666667 1.9666666666666668 1.9666666666666668 2.066666666666667 2.066666666666667
3 0 1 16.514402200000006 8.82155449999999 0.0 25.335956699999997 105.86746969999984 128.71001389999992 32.223638849999986 1.2987125693112023 7.675695233333367 0.3335336112535621 602.07421875 624.890625 86 86 1.0 0 56 56 0.9883720930232558 0.38314364906645004 0.3561518046965445 0.5543804692307402 0.9651294803733791 0.8263311307365668 1.0 0.7364915932676723 0.37868849035637503 0.3520105046419335 0.5479341847048014 0.953907044555084 0.8167226292163742 0.9883720930232558 0.7279277375320017 False 0 0 False 1.5357142857142858 1.5357142857142858 0.8937009000226522 0.8937009000226522 0.5819447721077735 0.5819447721077735 0.8413721056899679 0.8413721056899679 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 0 0.0 0 0.0 2.7993029380143013 0.06085246578532049 1.8228019131255915 0.1615724042712289 2.4387755102040805 0.08726764440529126 1.5880398671096336 0.20432572504248248 1.4832396974191326 0.22690140446479523 0.10594569267279519 0.8994734947509374 1.0 0.36787944117144233 0.07142857142857142 0.9310627797040227 3.5355339059327378 0.02914319311124245 0.16444343748524362 0.8483657412870295 2.6 0.07427357821433388 0.12093023255813953 0.8860957780720714 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 4 14.0 1.8257418583505538 0.13041013273932528 12.0 12.75 14.0 15.25 16.0 21.5 21.5 3.696845502136472 3.696845502136472 0.17194630242495218 0.17194630242495218 18.0 18.0 18.75 18.75 21.0 21.0 23.75 23.75 26.0 26.0 0.13595270178249216 0.13595270178249216 0.08852734069557629 0.08852734069557629 0.96833278345077 0.96833278345077 1.4375 1.4375 1.455528846153846 1.455528846153846 1.4807692307692308 1.4807692307692308 1.5583333333333333 1.5583333333333333 1.7333333333333334 1.7333333333333334
4 1 4 1.3672182000000817 0.8009375000001455 0.0 2.168155700000227 2.168155700000227 2.168155700000227 2.168155700000227 0.12753857058824866 0.0 0.0 491.04296875 490.8359375 17 17 1.0 30 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 17.0 0.0 0.0 17.0 17.0 17.0 17.0 17.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5 1 3 3.48179870000007 146.89181629999985 0.0 150.37361499999992 152.54177070000014 152.54177070000014 152.54177070000014 5.084725690000004 0.0 0.0 583.2109375 590.44921875 30 30 1.0 30 17 30 0.9666666666666667 0.3328212635851958 0.3328212635851958 0.3328212635851958 0.7830388922796656 1.0 1.0 0.7776070878617319 0.3217272214656893 0.3217272214656893 0.3217272214656893 0.7569375958703435 0.9666666666666667 0.9666666666666667 0.3217272214656893 False 0 0 False 1.7647058823529411 1.7647058823529411 1.200490095997562 0.6242642728467978 0.6802777210652852 0.6064281507654607 0.7216305266537493 0.8287968821326059 1.0 0.5 1.0 0.5 1.0 1.0 2.0 1.5 4.0 2.0 0 0.0 0 0.0 1.8601633295108115 0.15564720650972225 1.0540925533894598 0.34850853674870147 1.5847750865051906 0.20499389382534208 0.8980392156862748 0.4073676372270605 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 30.0 0.0 0.0 30.0 30.0 30.0 30.0 30.0 1 17.0 0.0 0.0 17.0 17.0 17.0 17.0 17.0 30.0 30.0 0.0 0.0 0.0 0.0 30.0 30.0 30.0 30.0 30.0 30.0 30.0 30.0 30.0 30.0 0.0 0.0 0.0 0.0 0.0 0.0 1.7647058823529411 1.7647058823529411 1.7647058823529411 1.7647058823529411 1.7647058823529411 1.7647058823529411 1.7647058823529411 1.7647058823529411 1.7647058823529411 1.7647058823529411
6 1 2 7.742472400000111 16.8358982000002 0.0 24.578370600000312 174.7156415000004 177.12014130000045 88.58051245000024 2.3118671629713496 2.4453834000000825 0.06270213846154057 626.85546875 637.08203125 56 56 1.0 56 30 30 0.9821428571428571 0.3142591562290459 0.3123931731100683 0.40795423146051124 0.8881928084758344 1.0 1.0 0.7714197187430153 0.3086473855820986 0.30681472359024564 0.40066933447014497 0.8723322226101944 0.9821428571428571 0.9821428571428571 0.7576443666226043 False 0 0 False 1.8666666666666667 1.8666666666666667 1.7952683659406263 1.7952683659406263 0.9617509103253356 0.9617509103253356 0.6977746354925889 0.6977746354925889 1.0 1.0 1.0 1.0 1.0 1.0 2.75 2.75 10.0 10.0 0 0.0 0 0.0 8.725738852298898 0.00016235279359940206 4.674502956588695 0.009330161480691403 8.033333333333331 0.00032446485481731427 4.303571428571427 0.013520186304124073 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 6.3508529610858835 0.0017452578641628752 0.22681617718163868 0.7970672879794828 3.6666666666666665 0.025561533206507402 0.13095238095238096 0.8772595476606083 2 2 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 28.0 15.556349186104045 0.5555838995037159 17.0 22.5 28.0 33.5 39.0 2 15.0 0.0 0.0 15.0 15.0 15.0 15.0 15.0 28.0 28.0 15.556349186104045 15.556349186104045 0.5555838995037159 0.5555838995037159 17.0 17.0 22.5 22.5 28.0 28.0 33.5 33.5 39.0 39.0 1.0370899457402698 1.0370899457402698 0.555583899503716 0.555583899503716 0.7908024109125574 0.7908024109125574 1.1333333333333333 1.1333333333333333 1.5 1.5 1.8666666666666667 1.8666666666666667 2.2333333333333334 2.2333333333333334 2.6 2.6
7 1 1 18.101228399999627 294.91758020000043 0.0 313.01880860000006 187.10236330000055 490.1389499000005 122.5810747000001 3.794034354166669 101.07397849999995 3.1284505381818164 1067.23828125 1104.35546875 88 88 1.0 0 56 56 0.9659090909090909 0.3049141212527403 0.17464347014572978 0.3628750346445031 0.822103600203701 0.389574044542047 0.8478378408398675 0.5141086688782183 0.2945193216645787 0.16868971548167083 0.35050429482707685 0.7940773411058476 0.37629311120538633 0.8189342780839629 0.49658223698464266 False 0 0 False 1.5714285714285714 1.5714285714285714 1.0243781769203448 1.0243781769203448 0.6518770216765831 0.6518770216765831 0.8247947919931095 0.8247947919931095 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 0 0.0 0 0.0 3.7552684080271197 0.02339417058327171 2.3897162596536217 0.09165568660458373 3.392857142857145 0.033612503849640145 2.1590909090909105 0.11543000972664076 5.848076606885378 0.0028854436667252836 0.4177197576346699 0.6585467552678768 4.2 0.014995576820477703 0.3 0.7408182206817179 11.874342087037917 6.966886821156946e-06 0.5397428221380871 0.5828981415968375 8.6 0.0001841057936675792 0.3909090909090909 0.6764416479394277 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 4 14.0 6.377042156569663 0.45550301118354736 8.0 8.75 14.0 19.25 20.0 22.0 22.0 12.727922061357855 12.727922061357855 0.5785419118799026 0.5785419118799026 10.0 10.0 11.5 11.5 22.5 22.5 33.0 33.0 33.0 33.0 0.23710024918272768 0.23710024918272768 0.1508819767526449 0.1508819767526449 0.9471424738362035 0.9471424738362035 1.25 1.25 1.3125 1.3125 1.4916666666666667 1.4916666666666667 1.6717105263157894 1.6717105263157894 1.736842105263158 1.736842105263158
8 2 4 1.3735821000003625 0.7937896000000819 0.0 2.1673717000004444 2.1673717000004444 2.1673717000004444 2.1673717000004444 0.12749245294120262 0.0 0.0 548.49609375 564.4296875 17 17 1.0 30 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 17.0 0.0 0.0 17.0 17.0 17.0 17.0 17.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9 2 3 3.7011589999998478 85.54192620000015 0.0 89.2430852 91.41045690000044 91.41045690000044 91.41045690000044 2.9487244161290467 0.0 0.0 697.1796875 714.94921875 31 31 1.0 31 17 30 0.9354838709677419 0.4035634843832586 0.4035634843832586 0.4035634843832586 0.8557312221553978 1.0 1.0 0.8011878281277529 0.37752713055208065 0.37752713055208065 0.37752713055208065 0.8005227562098882 0.9354838709677419 0.9354838709677419 0.37752713055208065 False 0 0 False 1.8235294117647058 1.8235294117647058 1.0145993123917847 0.6669729688499156 0.5563931713116239 0.6128940794837063 0.752782357642333 0.8196361070858755 1.0 0.5 1.0 0.5 1.0 1.0 3.0 1.5 4.0 3.0 0 0.0 0 0.0 2.1209125149788175 0.11992214781149438 1.163081056601287 0.3125217986366266 1.8892733564013844 0.1511816240926376 1.0360531309297916 0.3548524779550702 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 31.0 0.0 0.0 31.0 31.0 31.0 31.0 31.0 1 17.0 0.0 0.0 17.0 17.0 17.0 17.0 17.0 31.0 31.0 0.0 0.0 0.0 0.0 31.0 31.0 31.0 31.0 31.0 31.0 31.0 31.0 31.0 31.0 0.0 0.0 0.0 0.0 0.0 0.0 1.8235294117647058 1.8235294117647058 1.8235294117647058 1.8235294117647058 1.8235294117647058 1.8235294117647058 1.8235294117647058 1.8235294117647058 1.8235294117647058 1.8235294117647058
