 RU AL GT ST OT TT LT CT WT WT_PA MET MET_PA RSS VMS LE AC CF PSG SIZE SGLITS_T QL_SCORE LT_SCORE CT_SCORE AW_SCORE AW_PA_SCORE AME_SCORE AME_PA_SCORE TI_SCORE LT_GRADE CT_GRADE AW_GRADE AW_PA_GRADE AME_GRADE AME_PA_GRADE GRADE HAS_TRAILING TOT_CHOICES PRE_CHOICES FGOALS_ORDER CP_EF_L CP_EF_A SP_ED_L SP_ED_A SP_EB_L SP_EB_A SP_EBS_L SP_EBS_A SP_MIN_L SP_MIN_A SP_LOWER_L SP_LOWER_A SP_MED_L SP_MED_A SP_UPPER_L SP_UPPER_A SP_MAX_L SP_MAX_A T_INTER_SP P_INTER_SP T_INTER_Q P_INTER_Q M_CHILD_RMSE M_CHILD_RMSE_SCORE M_CHILD_NRMSE M_CHILD_NRMSE_SCORE M_CHILD_MAE M_CHILD_MAE_SCORE M_CHILD_NMAE M_CHILD_NMAE_SCORE DIV_INDEX_RMSE DIV_INDEX_RMSE_SCORE DIV_INDEX_NRMSE DIV_INDEX_NRMSE_SCORE DIV_INDEX_MAE DIV_INDEX_MAE_SCORE DIV_INDEX_NMAE DIV_INDEX_NMAE_SCORE DIV_STEP_RMSE DIV_STEP_RMSE_SCORE DIV_STEP_NRMSE DIV_STEP_NRMSE_SCORE DIV_STEP_MAE DIV_STEP_MAE_SCORE DIV_STEP_NMAE DIV_STEP_NMAE_SCORE DS_T DIVS_T DS_TD_MEAN DS_TD_STD DS_TD_CD DS_TD_MIN DS_TD_LOWER DS_TD_MED DS_TD_UPPER DS_TD_MAX DS_TS_MEAN DS_TS_STD DS_TS_CD DS_TS_MIN DS_TS_LOWER DS_TS_MED DS_TS_UPPER DS_TS_MAX PR_T PR_TS_MEAN PR_TS_STD PR_TS_CD PR_TS_MIN PR_TS_LOWER PR_TS_MED PR_TS_UPPER PR_TS_MAX PP_LE_MEAN PP_AC_MEAN PP_LE_STD PP_AC_STD PP_LE_CD PP_AC_CD PP_LE_MIN PP_AC_MIN PP_LE_LOWER PP_AC_LOWER PP_LE_MED PP_AC_MED PP_LE_UPPER PP_AC_UPPER PP_LE_MAX PP_AC_MAX PP_ED_L PP_ED_A PP_EB_L PP_EB_A PP_EBS_L PP_EBS_A PP_EF_LE_MIN PP_EF_AC_MIN PP_EF_LE_LOWER PP_EF_AC_LOWER PP_EF_LE_MED PP_EF_AC_MED PP_EF_LE_UPPER PP_EF_AC_UPPER PP_EF_LE_MAX PP_EF_AC_MAX
0 0 4 0.6246135000000095 0.08469649999998552 0.0 0.709309999999995 0.709309999999995 0.709309999999995 0.709309999999995 0.054562307692307306 0.0 0.0 237.4921875 226.015625 13 13 1.0 22 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 2 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 0 3 1.1730072999999805 0.2854543999999848 0.0 1.4584616999999653 1.0217773999999906 2.1677716999999603 0.7420110999999849 0.11510873809523596 0.6021279499999821 0.09645625499999752 244.95703125 233.26953125 22 22 1.0 22 13 22 0.9090909090909091 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 False 0 0 False 1.6923076923076923 1.6923076923076923 0.9473309334313418 0.408248290463863 0.5597864606639747 0.408248290463863 0.7401665335209782 0.8665289106576681 1.0 0.5 1.0 1.0 1.0 1.0 2.0 1.0 4.0 2.0 0 0.0 0 0.0 1.382476981200879 0.25095616884849514 0.8169182161641558 0.44179106328574885 1.1893491124260351 0.3044193423635789 0.7027972027972026 0.4951981949074542 0.3726779962499646 0.6888870213378976 0.08600261451922261 0.9175918321555311 0.24999999999999978 0.778800783071405 0.05769230769230765 0.9439403459411809 1.178511301977579 0.30773652451956823 0.16070608663330624 0.8515423139988739 0.6666666666666667 0.513417119032592 0.09090909090909093 0.9131007162822623 3 6 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 7.333333333333333 2.516611478423583 0.3431742925123068 5.0 6.0 7.0 8.5 10.0 3 4.333333333333333 0.5773502691896257 0.13323467750529824 4.0 4.0 4.0 4.5 5.0 7.333333333333333 7.333333333333333 2.516611478423583 2.516611478423583 0.3431742925123068 0.3431742925123068 5.0 5.0 6.0 6.0 7.0 7.0 8.5 8.5 10.0 10.0 0.6825198409814424 0.6825198409814424 0.4033071787617614 0.4033071787617614 0.7971528858793205 0.7971528858793205 1.25 1.25 1.325 1.325 1.4 1.4 1.95 1.95 2.5 2.5
2 0 2 3.25788009999998 0.47746470000002716 0.0 3.735344800000007 1.5904154999999847 5.9031164999999675 0.6895972111111087 0.12518658957671863 0.5769949249999993 0.1108028866964285 242.83203125 232.984375 48 48 1.0 48 22 22 0.875 1.0 0.9141499293332738 1.0 1.0 1.0 1.0 1.0 0.875 0.7998811881666146 0.875 0.875 0.875 0.875 0.875 False 0 0 False 2.1818181818181817 2.1818181818181817 1.918242341221171 1.918242341221171 0.8791944063930368 0.8791944063930368 0.6535209356502769 0.6535209356502769 1.0 1.0 1.0 1.0 1.5 1.5 2.0 2.0 8.0 8.0 0 0.0 0 0.0 5.253884827927234 0.005227172239408911 2.4080305461333156 0.08999235595130779 4.0909090909090935 0.016724022988470397 1.8750000000000013 0.15335496684492825 1.2722100921304311 0.28021164337816024 0.5204495831442673 0.5942533216276371 0.9666666666666673 0.3803487565892583 0.3954545454545457 0.6733738906337108 2.6894857005259087 0.06791585948210864 0.5042785688486079 0.6039411202380993 1.900000000000001 0.1495686192226349 0.35625000000000023 0.7002975239681388 9 18 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 5.333333333333333 2.345207879911715 0.43972647748344657 3.0 4.0 4.0 7.0 10.0 9 2.4444444444444446 0.8819171036881968 0.36078426969062594 1.0 2.0 2.0 3.0 4.0 5.333333333333333 5.333333333333333 2.345207879911715 2.345207879911715 0.43972647748344657 0.43972647748344657 3.0 3.0 4.0 4.0 4.0 4.0 7.0 7.0 10.0 10.0 2.040579831661265 2.040579831661265 0.9352657561780798 0.9352657561780798 0.6402352125181616 0.6402352125181616 1.0 1.0 1.3333333333333333 1.3333333333333333 1.75 1.75 3.0 3.0 7.0 7.0
3 0 1 7.828123699999971 1.0537420999999796 0.0 8.88186579999995 2.01128929999998 14.784982299999918 0.5952405629629609 0.21638790814521058 0.5407771499999986 0.2568691669688632 246.12890625 236.08984375 79 79 1.0 0 48 48 0.8481012658227848 1.0 0.6827241236890345 1.0 1.0 1.0 1.0 1.0 0.8481012658227848 0.5790191935084216 0.8481012658227848 0.8481012658227848 0.8481012658227848 0.8481012658227848 0.8481012658227848 False 0 0 False 1.6458333333333333 1.6458333333333333 1.2797869392711734 1.2797869392711734 0.7775920643672952 0.7775920643672952 0.7871249804415367 0.7871249804415367 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 8.0 8.0 0 0.0 0 0.0 1.8561747864797016 0.15626925179309922 1.1278024019117174 0.3237439342951711 1.5312500000000009 0.2162651668298871 0.9303797468354437 0.39440390829390765 2.5189756043356386 0.08054207145287372 1.4169237774387968 0.24245872787024725 1.8373015873015883 0.15924655979576205 1.0334821428571435 0.35576597323299225 4.807906113818626 0.00816493826255435 1.643208418646872 0.1933586704496167 3.726190476190475 0.024084411435049274 1.2735081374321875 0.2798481519361929 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 27 1.7777777777777777 0.8473185457363234 0.47661668197668194 1.0 1.0 2.0 2.0 4.0 2.925925925925926 2.925925925925926 2.1648578906269313 2.1648578906269313 0.7398881398345208 0.7398881398345208 1.0 1.0 1.0 1.0 2.0 2.0 4.0 4.0 9.0 9.0 0.9484580378554708 0.9484580378554708 0.576278301481805 0.576278301481805 0.8276921533986783 0.8276921533986783 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 4.5 4.5
4 1 4 0.6228650999999985 0.08124750000003189 0.0 0.7041126000000304 0.7041126000000304 0.7041126000000304 0.7041126000000304 0.05416250769231003 0.0 0.0 240.33203125 229.22265625 13 13 1.0 22 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 2 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5 1 3 1.1292176000000183 0.2702247 0.0 1.3994423000000182 1.0651499000000229 2.1035549000000486 0.7205981000000131 0.11491305444444613 0.5483222000000083 0.1310322275000022 249.84765625 239.39453125 21 21 1.0 21 13 22 0.9523809523809523 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 False 0 0 False 1.6153846153846154 1.6153846153846154 0.869718492622904 0.379777262656375 0.538397162099893 0.39496835316263 0.7560232996376179 0.8744918369115433 1.0 0.5 1.0 0.5 1.0 1.0 2.0 1.0 3.0 1.5 0 0.0 0 0.0 2.209447171745396 0.10976131089995424 1.3677530110804832 0.25467857704386576 1.863905325443787 0.15506586366561892 1.1538461538461537 0.3154212746389477 0.3726779962499646 0.6888870213378976 0.08600261451922261 0.9175918321555311 0.24999999999999978 0.778800783071405 0.05769230769230765 0.9439403459411809 2.692582403567252 0.06770586953955125 0.384654629081036 0.6806856846532362 1.75 0.17377394345044514 0.25 0.7788007830714049 3 6 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 7.0 4.358898943540674 0.6226998490772392 4.0 4.5 5.0 8.5 12.0 3 4.333333333333333 0.5773502691896257 0.13323467750529824 4.0 4.0 4.0 4.5 5.0 7.0 7.0 4.358898943540674 4.358898943540674 0.6226998490772392 0.6226998490772392 4.0 4.0 4.5 4.5 5.0 5.0 8.5 8.5 12.0 12.0 0.7466592261534039 0.7466592261534039 0.46221761619020235 0.46221761619020235 0.7825668767309011 0.7825668767309011 1.0 1.0 1.125 1.125 1.25 1.25 1.825 1.825 2.4 2.4
6 1 2 3.004511100000016 0.45982700000004684 0.0 3.464338100000063 1.62438750000004 5.567893000000112 0.652242011111121 0.13434385968254198 0.5307238250000061 0.11054701937499994 246.55078125 235.41015625 45 45 1.0 45 21 21 0.9333333333333333 1.0 0.9399999782309439 1.0 1.0 1.0 1.0 1.0 0.9333333333333333 0.8773333130155477 0.9333333333333333 0.9333333333333333 0.9333333333333333 0.9333333333333333 0.9333333333333333 False 0 0 False 2.142857142857143 2.142857142857143 1.9566735620873066 1.9566735620873066 0.9131143289740764 0.9131143289740764 0.6439294299891619 0.6439294299891619 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 8.0 8.0 0 0.0 0 0.0 7.9329674642668015 0.00035872034215220553 3.7020514833245075 0.024672858558021087 7.095238095238097 0.0008290433641269682 3.311111111111112 0.03647562275984918 2.8343135559308426 0.05875884665509162 1.2147058096846468 0.2967973163477986 2.3000000000000003 0.1002588437228037 0.9857142857142858 0.37317257987413693 2.9832867780352594 0.05062616314907076 0.5966573556070519 0.5506491876619686 1.9 0.14956861922263506 0.38 0.6838614092123558 9 17 1.8888888888888888 0.33333333333333337 0.17647058823529413 1.0 2.0 2.0 2.0 2.0 5.0 2.449489742783178 0.4898979485566356 2.0 3.0 5.0 6.0 10.0 9 2.3333333333333335 1.3228756555322954 0.5669467095138409 1.0 1.0 2.0 4.0 4.0 5.0 5.0 2.449489742783178 2.449489742783178 0.4898979485566356 0.4898979485566356 2.0 2.0 3.0 3.0 5.0 5.0 6.0 6.0 10.0 10.0 2.0288714706566418 2.0288714706566418 0.9468066863064328 0.9468066863064328 0.6360052780415728 0.6360052780415728 1.0 1.0 1.25 1.25 2.0 2.0 3.0 3.0 7.0 7.0
7 1 1 7.495898799999964 1.0409843999998287 0.0 8.536883199999792 1.9894243000000245 14.104776199999904 0.588463838461534 0.21981014543955965 0.5324254199999945 0.2381653081047579 245.9375 234.484375 76 76 1.0 0 45 45 0.881578947368421 1.0 0.6914154812987494 1.0 1.0 1.0 1.0 1.0 0.881578947368421 0.6095373321975817 0.881578947368421 0.881578947368421 0.881578947368421 0.881578947368421 0.881578947368421 False 0 0 False 1.6888888888888889 1.6888888888888889 1.0833916068243161 1.0833916068243161 0.6414818724617661 0.6414818724617661 0.8071809234632278 0.8071809234632278 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 5.0 5.0 0 0.0 0 0.0 2.355730252082384 0.09482423564955383 1.3948402808382538 0.24787262321335513 1.8503703703703707 0.15717894110921485 1.0956140350877195 0.33433425094605707 2.6991873843089396 0.06726014718932688 1.5595304887118318 0.21023475562315713 1.9358974358974363 0.1442947154418615 1.1185185185185187 0.3267635303308268 5.506018463121907 0.004062249222320827 1.8836378952785473 0.1520360074185533 4.703703703703706 0.00906165319513776 1.6091617933723206 0.20005523143723136 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 26 1.7307692307692308 0.827414880586145 0.4780619310053282 1.0 1.0 2.0 2.0 4.0 2.923076923076923 2.923076923076923 1.7417939470115729 1.7417939470115729 0.5958768766092223 0.5958768766092223 1.0 1.0 1.25 1.25 3.0 3.0 4.0 4.0 7.0 7.0 1.0457075468333743 1.0457075468333743 0.6191689422039717 0.6191689422039717 0.8119760498206793 0.8119760498206793 1.0 1.0 1.0 1.0 1.5 1.5 2.25 2.25 5.0 5.0
8 2 4 0.6218803000000008 0.1514757000000202 0.0 0.773356000000021 0.773356000000021 0.773356000000021 0.773356000000021 0.059488923076924695 0.0 0.0 246.9140625 235.421875 13 13 1.0 22 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 2 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9 2 3 1.4496971000000087 0.29404519999999934 0.0 1.743742300000008 1.1657445000000308 2.517098300000029 0.858659166666674 0.11175659949495095 0.7051164999999955 0.095913344444444 270.38671875 259.890625 26 26 1.0 26 13 22 0.7692307692307693 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.7692307692307693 0.7692307692307693 0.7692307692307693 0.7692307692307693 0.7692307692307693 0.7692307692307693 0.7692307692307693 False 0 0 False 2.0 2.0 1.4719601443879744 0.6577935144802719 0.7359800721939872 0.570087712549569 0.6471620720259609 0.8029249550004505 1.0 0.5 1.0 1.0 1.0 1.0 3.0 1.5 6.0 3.0 0 0.0 0 0.0 1.6172150801252798 0.19845059924603825 0.8086075400626399 0.4454779447358065 1.2307692307692308 0.29206782369141415 0.6153846153846154 0.5404329964865341 0.3726779962499646 0.6888870213378976 0.08600261451922261 0.9175918321555311 0.24999999999999978 0.778800783071405 0.05769230769230765 0.9439403459411809 1.7716909687891076 0.17004520444332794 0.2044258810141278 0.8151151551872675 1.2499999999999996 0.2865047968601902 0.1442307692307692 0.8656879508640621 3 6 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 8.666666666666666 2.516611478423583 0.29037824751041347 6.0 7.5 9.0 10.0 11.0 3 4.333333333333333 0.5773502691896257 0.13323467750529824 4.0 4.0 4.0 4.5 5.0 8.666666666666666 8.666666666666666 2.516611478423583 2.516611478423583 0.29037824751041347 0.29037824751041347 6.0 6.0 7.5 7.5 9.0 9.0 10.0 10.0 11.0 11.0 0.4193248541803042 0.4193248541803042 0.2096624270901521 0.2096624270901521 0.8634743790447941 0.8634743790447941 1.5 1.5 1.85 1.85 2.2 2.2 2.225 2.225 2.25 2.25
