 RU AL GT ST OT TT LT CT WT WT_PA MET MET_PA RSS VMS LE AC CF PSG SIZE SGLITS_T QL_SCORE LT_SCORE CT_SCORE AW_SCORE AW_PA_SCORE AME_SCORE AME_PA_SCORE TI_SCORE LT_GRADE CT_GRADE AW_GRADE AW_PA_GRADE AME_GRADE AME_PA_GRADE GRADE HAS_TRAILING TOT_CHOICES PRE_CHOICES FGOALS_ORDER CP_EF_L CP_EF_A SP_ED_L SP_ED_A SP_EB_L SP_EB_A SP_EBS_L SP_EBS_A SP_MIN_L SP_MIN_A SP_LOWER_L SP_LOWER_A SP_MED_L SP_MED_A SP_UPPER_L SP_UPPER_A SP_MAX_L SP_MAX_A T_INTER_SP P_INTER_SP T_INTER_Q P_INTER_Q M_CHILD_RMSE M_CHILD_RMSE_SCORE M_CHILD_NRMSE M_CHILD_NRMSE_SCORE M_CHILD_MAE M_CHILD_MAE_SCORE M_CHILD_NMAE M_CHILD_NMAE_SCORE DIV_INDEX_RMSE DIV_INDEX_RMSE_SCORE DIV_INDEX_NRMSE DIV_INDEX_NRMSE_SCORE DIV_INDEX_MAE DIV_INDEX_MAE_SCORE DIV_INDEX_NMAE DIV_INDEX_NMAE_SCORE DIV_STEP_RMSE DIV_STEP_RMSE_SCORE DIV_STEP_NRMSE DIV_STEP_NRMSE_SCORE DIV_STEP_MAE DIV_STEP_MAE_SCORE DIV_STEP_NMAE DIV_STEP_NMAE_SCORE DS_T DIVS_T DS_TD_MEAN DS_TD_STD DS_TD_CD DS_TD_MIN DS_TD_LOWER DS_TD_MED DS_TD_UPPER DS_TD_MAX DS_TS_MEAN DS_TS_STD DS_TS_CD DS_TS_MIN DS_TS_LOWER DS_TS_MED DS_TS_UPPER DS_TS_MAX PR_T PR_TS_MEAN PR_TS_STD PR_TS_CD PR_TS_MIN PR_TS_LOWER PR_TS_MED PR_TS_UPPER PR_TS_MAX PP_LE_MEAN PP_AC_MEAN PP_LE_STD PP_AC_STD PP_LE_CD PP_AC_CD PP_LE_MIN PP_AC_MIN PP_LE_LOWER PP_AC_LOWER PP_LE_MED PP_AC_MED PP_LE_UPPER PP_AC_UPPER PP_LE_MAX PP_AC_MAX PP_ED_L PP_ED_A PP_EB_L PP_EB_A PP_EBS_L PP_EBS_A PP_EF_LE_MIN PP_EF_AC_MIN PP_EF_LE_LOWER PP_EF_AC_LOWER PP_EF_LE_MED PP_EF_AC_MED PP_EF_LE_UPPER PP_EF_AC_UPPER PP_EF_LE_MAX PP_EF_AC_MAX
0 0 4 0.630573400000003 0.07887249999999568 0.0 0.7094458999999986 0.7094458999999986 0.7094458999999986 0.7094458999999986 0.05457276153846143 0.0 0.0 239.6640625 231.01171875 13 13 1.0 22 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 2 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 0 3 1.390921700000007 0.2741122000000047 0.0 1.6650339000000116 1.1034072000000066 2.3744798000000102 0.8108494333333383 0.107956973333334 0.6645705500000041 0.09148019722222284 266.33203125 256.1640625 25 25 1.0 25 13 22 0.8 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.8 0.8 0.8 0.8 0.8 0.8 0.8 True 0 0 False 1.9230769230769231 1.9230769230769231 1.4051188470584879 0.6405126152203485 0.7611060421566809 0.5947617141331808 0.6578492606724856 0.8070103170604472 1.0 0.5 1.0 0.5 1.0 1.0 3.0 1.5 5.0 2.5 0 0.0 0 0.0 1.3674145257408599 0.25476479659971585 0.7110555533852471 0.49112551456090303 1.1715976331360947 0.30987148464011693 0.6092307692307692 0.5437689920774023 0.3726779962499646 0.6888870213378976 0.08600261451922261 0.9175918321555311 0.24999999999999978 0.778800783071405 0.05769230769230765 0.9439403459411809 1.5184055965240504 0.21906088008900612 0.18220867158288603 0.8334274096523698 1.2500000000000004 0.28650479686019 0.15000000000000005 0.8607079764250578 3 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.333333333333334 2.0816659994661326 0.2497999199359359 6.0 7.5 9.0 9.5 10.0 3 4.333333333333333 0.5773502691896257 0.13323467750529824 4.0 4.0 4.0 4.5 5.0 8.333333333333334 8.333333333333334 2.0816659994661326 2.0816659994661326 0.2497999199359359 0.2497999199359359 6.0 6.0 7.5 7.5 9.0 9.0 9.5 9.5 10.0 10.0 0.38188130791298663 0.38188130791298663 0.19857828011475304 0.19857828011475304 0.8738977686138039 0.8738977686138039 1.5 1.5 1.75 1.75 2.0 2.0 2.125 2.125 2.25 2.25
2 0 2 3.671888100000011 0.9375359000000145 0.0 4.6094240000000255 2.9268061000000216 6.983903800000036 2.3676717000000145 0.13347511555555647 2.0881045000000107 0.14824033333333392 292.27734375 287.80078125 53 53 1.0 53 25 25 0.7924528301886793 1.0 0.854148979299897 1.0 1.0 1.0 1.0 1.0 0.7924528301886793 0.676872776048975 0.7924528301886793 0.7924528301886793 0.7924528301886793 0.7924528301886793 0.7924528301886793 False 0 0 False 2.12 2.12 1.8556220879622374 1.8556220879622374 0.8752934377180365 0.8752934377180365 0.6740198222393741 0.6740198222393741 1.0 1.0 1.0 1.0 2.0 2.0 2.0 2.0 10.0 10.0 0 0.0 0 0.0 4.434771696491263 0.011857772769762354 2.091873441741162 0.12345563209644737 3.0816 0.045885780634891946 1.4535849056603773 0.23373088123642402 1.4337208778404384 0.2384201375330561 0.1720465053408526 0.8419400175505406 1.0000000000000004 0.36787944117144217 0.12000000000000005 0.8869204367171575 2.0344259359556176 0.13075552300729976 0.11515618505409156 0.8912269367087547 1.416666666666667 0.24252107463564865 0.08018867924528303 0.922942189921463 3 3 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 17.666666666666668 4.932882862316247 0.2792197846594102 12.0 16.0 20.0 20.5 21.0 3 8.333333333333334 2.0816659994661326 0.2497999199359359 6.0 7.5 9.0 9.5 10.0 17.666666666666668 17.666666666666668 4.932882862316247 4.932882862316247 0.2792197846594102 0.2792197846594102 12.0 12.0 16.0 16.0 20.0 20.0 20.5 20.5 21.0 21.0 1.009033274054007 1.009033274054007 0.4759590915349089 0.4759590915349089 0.783261708077857 0.783261708077857 1.3333333333333333 1.3333333333333333 1.7166666666666668 1.7166666666666668 2.1 2.1 2.716666666666667 2.716666666666667 3.3333333333333335 3.3333333333333335
3 0 1 7.9898636 2.319021399999997 0.0 10.308884999999997 5.352841300000051 17.292788800000032 2.9423830000000053 0.2101159513984924 2.4602913399999964 0.17382486062418265 312.32421875 306.6015625 90 90 1.0 0 53 53 0.7444444444444445 0.959681761549549 0.654831937161152 1.0 1.0 1.0 1.0 0.986560587183183 0.7144297558202198 0.48748599766441314 0.7444444444444445 0.7444444444444445 0.7444444444444445 0.7444444444444445 0.7344395482363696 False 0 0 False 1.6981132075471699 1.6981132075471699 0.9320140651872275 0.9320140651872275 0.5488527272769228 0.5488527272769228 0.8341273059460661 0.8341273059460661 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 0 0.0 0 0.0 2.2471848612521383 0.10569635603986076 1.3233421960707037 0.2662439737358262 1.717693129227482 0.1794797072049795 1.0115303983228505 0.363662005760638 1.8071726580138987 0.1641174977461403 0.20458558392610174 0.8149849893176009 1.3571428571428579 0.25739514205256786 0.15363881401617258 0.8575817115743528 4.242640687119285 0.01436959609043909 0.282842712474619 0.7536383164437648 3.142857142857143 0.0431593092614526 0.20952380952380953 0.8109703303858333 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 6 8.833333333333334 2.228601953392904 0.25229456076146084 6.0 7.0 10.0 10.0 11.0 15.0 15.0 5.176871642217914 5.176871642217914 0.3451247761478609 0.3451247761478609 8.0 8.0 11.0 11.0 17.0 17.0 18.5 18.5 20.0 20.0 0.22611354215419247 0.22611354215419247 0.13315575260191334 0.13315575260191334 0.9486563080157225 0.9486563080157225 1.3333333333333333 1.3333333333333333 1.55 1.55 1.7 1.7 1.7204545454545455 1.7204545454545455 2.0 2.0
4 1 4 0.6290596000000335 0.0847790000000117 0.0 0.7138386000000452 0.7138386000000452 0.7138386000000452 0.7138386000000452 0.054910661538465015 0.0 0.0 274.1796875 264.8125 13 13 1.0 22 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 2 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5 1 3 1.127607699999956 0.24626080000001593 0.0 1.373868499999972 1.0277936000000238 2.087707100000017 0.7155556666666693 0.11322119555555601 0.559436699999992 0.1337293624999983 282.5625 273.1640625 21 21 1.0 21 13 22 0.9523809523809523 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 False 0 0 False 1.6153846153846154 1.6153846153846154 1.0439078454267836 0.47703679372151425 0.6462286662165803 0.4961182654703748 0.7212952435735721 0.8479354326343773 1.0 0.5 1.0 0.5 1.0 1.0 2.0 1.0 4.0 2.0 0 0.0 0 0.0 2.182501686017094 0.11275908966052395 1.3510724722962963 0.25896238168364316 1.9230769230769234 0.14615655707154243 1.1904761904761907 0.3040764312848333 0.3726779962499646 0.6888870213378976 0.08600261451922261 0.9175918321555311 0.24999999999999978 0.778800783071405 0.05769230769230765 0.9439403459411809 2.692582403567252 0.06770586953955125 0.384654629081036 0.6806856846532362 1.75 0.17377394345044514 0.25 0.7788007830714049 3 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 7.0 4.358898943540674 0.6226998490772392 4.0 4.5 5.0 8.5 12.0 3 4.333333333333333 0.5773502691896257 0.13323467750529824 4.0 4.0 4.0 4.5 5.0 7.0 7.0 4.358898943540674 4.358898943540674 0.6226998490772392 0.6226998490772392 4.0 4.0 4.5 4.5 5.0 5.0 8.5 8.5 12.0 12.0 0.7466592261534039 0.7466592261534039 0.46221761619020235 0.46221761619020235 0.7825668767309011 0.7825668767309011 1.0 1.0 1.125 1.125 1.25 1.25 1.825 1.825 2.4 2.4
6 1 2 2.735656399999968 0.5866495000000072 0.0 3.322305899999975 2.634260900000001 5.410012999999992 1.8435614999999974 0.12533231553631521 1.4482117999999957 0.11100146590909088 294.046875 285.4140625 43 43 1.0 43 21 21 0.9767441860465116 1.0 0.9541595622066963 1.0 1.0 1.0 1.0 1.0 0.9767441860465116 0.9319698049460754 0.9767441860465116 0.9767441860465116 0.9767441860465116 0.9767441860465116 0.9767441860465116 False 0 0 False 2.0476190476190474 2.0476190476190474 2.011869540407391 2.011869540407391 0.9825409383384934 0.9825409383384934 0.6378542059468959 0.6378542059468959 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 10.0 10.0 0 0.0 0 0.0 7.4285205533463445 0.0005940657506803874 3.627882130704029 0.026572401731157484 6.809523809523809 0.001103218116856543 3.3255813953488373 0.03595161057688769 2.692582403567252 0.06770586953955125 0.384654629081036 0.6806856846532362 1.75 0.17377394345044514 0.25 0.7788007830714049 1.840893502864543 0.15867558565861475 0.12843443043240999 0.8794712270759392 0.9999999999999996 0.3678794411714425 0.06976744186046509 0.9326106808934359 3 3 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 14.333333333333334 3.511884584284246 0.24501520355471484 11.0 12.5 14.0 16.0 18.0 3 7.0 4.358898943540674 0.6226998490772392 4.0 4.5 5.0 8.5 12.0 14.333333333333334 14.333333333333334 3.511884584284246 3.511884584284246 0.24501520355471484 0.24501520355471484 11.0 11.0 12.5 12.5 14.0 14.0 16.0 16.0 18.0 18.0 1.2349463925987203 1.2349463925987203 0.6031133545249565 0.6031133545249565 0.7358478188898494 0.7358478188898494 1.1666666666666667 1.1666666666666667 1.9583333333333335 1.9583333333333335 2.75 2.75 3.175 3.175 3.6 3.6
7 1 1 6.2356094000000155 1.7253055000000046 0.0 7.96091490000002 4.56075869999998 13.370927900000012 2.278673166666666 0.17783581482570812 1.8222560600000037 0.1334578210980396 304.73828125 297.06640625 72 72 1.0 0 43 43 0.9305555555555556 1.0 0.701474271384956 1.0 1.0 1.0 1.0 1.0 0.9305555555555556 0.6527607803165563 0.9305555555555556 0.9305555555555556 0.9305555555555556 0.9305555555555556 0.9305555555555556 False 0 0 False 1.6744186046511629 1.6744186046511629 0.9441784091034142 0.9441784091034142 0.5638843276589834 0.5638843276589834 0.8232374094419047 0.8232374094419047 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 0 0.0 0 0.0 3.660335094171364 0.025723891355896963 2.1860334590190087 0.1123615525705418 3.2498647917793377 0.03877945077780724 1.9408914728682154 0.14357589869093595 1.6559177189895309 0.19091676734222748 0.2310582863706322 0.7936932031907997 1.0714285714285707 0.34251885509304586 0.149501661129568 0.8611370075583676 5.7817446699565895 0.0030833313173560728 0.4818120558297158 0.617663137042309 4.571428571428571 0.01034317319661825 0.38095238095238093 0.6832104226749482 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 6 7.166666666666667 1.602081978759722 0.22354632261763563 5.0 6.25 7.0 8.5 9.0 12.0 12.0 3.8987177379235853 3.8987177379235853 0.32489314482696546 0.32489314482696546 9.0 9.0 9.25 9.25 10.0 10.0 15.25 15.25 17.0 17.0 0.3162543230411145 0.3162543230411145 0.18887410959399892 0.18887410959399892 0.9269408538844246 0.9269408538844246 1.2857142857142858 1.2857142857142858 1.380952380952381 1.380952380952381 1.7777777777777777 1.7777777777777777 1.8888888888888888 1.8888888888888888 2.0 2.0
8 2 4 0.6305917000000107 0.08579209999999193 0.0 0.7163838000000027 0.7163838000000027 0.7163838000000027 0.7163838000000027 0.05510644615384636 0.0 0.0 283.59375 273.97265625 13 13 1.0 22 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 2 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9 2 3 1.1862531000000018 0.25050239999993096 0.0 1.4367554999999328 1.105551300000002 2.1531392999999355 0.737349999999978 0.10670595121211841 0.553249349999966 0.10526162499999359 301.14453125 292.29296875 22 22 1.0 22 13 22 0.9090909090909091 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 False 0 0 False 1.6923076923076923 1.6923076923076923 1.4366984945013912 0.67700320038633 0.8489582012962766 0.67700320038633 0.6527634963020901 0.7984332947023015 1.0 0.5 1.0 0.5 1.0 1.0 2.0 1.0 6.0 3.0 0 0.0 0 0.0 1.7558018785405116 0.17276864726024088 1.0375192918648477 0.35433258832824605 1.4733727810650885 0.22915130317102847 0.8706293706293705 0.41868795640491085 0.3726779962499646 0.6888870213378976 0.08600261451922261 0.9175918321555311 0.24999999999999978 0.778800783071405 0.05769230769230765 0.9439403459411809 1.9507833184532704 0.14216266931824045 0.2660159070618096 0.7664269358034119 1.2499999999999998 0.28650479686019015 0.17045454545454544 0.8432814197310923 3 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 7.333333333333333 3.2145502536643185 0.4383477618633162 5.0 5.5 6.0 8.5 11.0 3 4.333333333333333 0.5773502691896257 0.13323467750529824 4.0 4.0 4.0 4.5 5.0 7.333333333333333 7.333333333333333 3.2145502536643185 3.2145502536643185 0.4383477618633162 0.4383477618633162 5.0 5.0 5.5 5.5 6.0 6.0 8.5 8.5 11.0 11.0 0.49244289008980535 0.49244289008980535 0.29098898050761224 0.29098898050761224 0.8438899778698375 0.8438899778698375 1.25 1.25 1.375 1.375 1.5 1.5 1.85 1.85 2.2 2.2
