 RU AL GT ST OT TT LT CT WT WT_PA MET MET_PA RSS VMS LE AC CF PSG SIZE SGLITS_T QL_SCORE LT_SCORE CT_SCORE AW_SCORE AW_PA_SCORE AME_SCORE AME_PA_SCORE TI_SCORE LT_GRADE CT_GRADE AW_GRADE AW_PA_GRADE AME_GRADE AME_PA_GRADE GRADE HAS_TRAILING TOT_CHOICES PRE_CHOICES FGOALS_ORDER CP_EF_L CP_EF_A SP_ED_L SP_ED_A SP_EB_L SP_EB_A SP_EBS_L SP_EBS_A SP_MIN_L SP_MIN_A SP_LOWER_L SP_LOWER_A SP_MED_L SP_MED_A SP_UPPER_L SP_UPPER_A SP_MAX_L SP_MAX_A T_INTER_SP P_INTER_SP T_INTER_Q P_INTER_Q M_CHILD_RMSE M_CHILD_RMSE_SCORE M_CHILD_NRMSE M_CHILD_NRMSE_SCORE M_CHILD_MAE M_CHILD_MAE_SCORE M_CHILD_NMAE M_CHILD_NMAE_SCORE DIV_INDEX_RMSE DIV_INDEX_RMSE_SCORE DIV_INDEX_NRMSE DIV_INDEX_NRMSE_SCORE DIV_INDEX_MAE DIV_INDEX_MAE_SCORE DIV_INDEX_NMAE DIV_INDEX_NMAE_SCORE DIV_STEP_RMSE DIV_STEP_RMSE_SCORE DIV_STEP_NRMSE DIV_STEP_NRMSE_SCORE DIV_STEP_MAE DIV_STEP_MAE_SCORE DIV_STEP_NMAE DIV_STEP_NMAE_SCORE DS_T DIVS_T DS_TD_MEAN DS_TD_STD DS_TD_CD DS_TD_MIN DS_TD_LOWER DS_TD_MED DS_TD_UPPER DS_TD_MAX DS_TS_MEAN DS_TS_STD DS_TS_CD DS_TS_MIN DS_TS_LOWER DS_TS_MED DS_TS_UPPER DS_TS_MAX PR_T PR_TS_MEAN PR_TS_STD PR_TS_CD PR_TS_MIN PR_TS_LOWER PR_TS_MED PR_TS_UPPER PR_TS_MAX PP_LE_MEAN PP_AC_MEAN PP_LE_STD PP_AC_STD PP_LE_CD PP_AC_CD PP_LE_MIN PP_AC_MIN PP_LE_LOWER PP_AC_LOWER PP_LE_MED PP_AC_MED PP_LE_UPPER PP_AC_UPPER PP_LE_MAX PP_AC_MAX PP_ED_L PP_ED_A PP_EB_L PP_EB_A PP_EBS_L PP_EBS_A PP_EF_LE_MIN PP_EF_AC_MIN PP_EF_LE_LOWER PP_EF_AC_LOWER PP_EF_LE_MED PP_EF_AC_MED PP_EF_LE_UPPER PP_EF_AC_UPPER PP_EF_LE_MAX PP_EF_AC_MAX
0 0 4 1.3728893999999912 0.9232694999999183 0.0 2.2961588999999094 2.2961588999999094 2.2961588999999094 2.2961588999999094 0.13506817058822995 0.0 0.0 419.50390625 416.00390625 17 17 1.0 30 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 17.0 0.0 0.0 17.0 17.0 17.0 17.0 17.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 0 3 3.6961955000000444 31.75330840000001 0.0 35.44950390000005 37.74566279999996 37.74566279999996 37.74566279999996 1.2176020258064504 0.0 0.0 528.828125 532.94140625 31 31 1.0 31 17 30 0.9354838709677419 0.5305406966200849 0.5305406966200849 0.5305406966200849 0.9737332706069877 1.0 1.0 0.8435135655400283 0.4963122645800793 0.4963122645800793 0.4963122645800793 0.9109117692775045 0.9354838709677419 0.9354838709677419 0.4963122645800793 False 0 0 False 1.8235294117647058 1.8235294117647058 2.4808086916781558 1.217972036769704 1.3604434760815693 1.1831728357191411 0.559770303894523 0.7188375230858761 1.0 0.5 1.0 0.5 1.0 0.5 1.0 1.0 11.0 5.5 0 0.0 0 0.0 2.7205484893758065 0.065838632730555 1.4919136877222166 0.22494177507243684 2.1487889273356404 0.1166253140107848 1.1783681214421253 0.30778058955447996 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 31.0 0.0 0.0 31.0 31.0 31.0 31.0 31.0 1 17.0 0.0 0.0 17.0 17.0 17.0 17.0 17.0 31.0 31.0 0.0 0.0 0.0 0.0 31.0 31.0 31.0 31.0 31.0 31.0 31.0 31.0 31.0 31.0 0.0 0.0 0.0 0.0 0.0 0.0 1.8235294117647058 1.8235294117647058 1.8235294117647058 1.8235294117647058 1.8235294117647058 1.8235294117647058 1.8235294117647058 1.8235294117647058 1.8235294117647058 1.8235294117647058
2 0 2 7.641145399999914 5.207515699999988 0.0 12.848661099999902 44.68596289999985 50.594323899999864 25.317127699999915 0.8351315774813868 5.9482924999999796 0.1918804032258058 537.13671875 533.75 57 57 1.0 57 31 31 0.9649122807017544 0.5055883658830751 0.4874982012306529 0.5918225940349231 1.0 0.9110199965598705 1.0 0.8055361208143152 0.4878484232205111 0.4703930011874721 0.5710568889810661 0.9649122807017544 0.8790543826454891 0.9649122807017544 0.7772716955225849 False 0 0 False 1.8387096774193548 1.8387096774193548 1.8456575015162555 1.8456575015162555 1.0037786411755074 1.0037786411755074 0.6954577619713678 0.6954577619713678 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 10.0 10.0 0 0.0 0 0.0 6.370620652039771 0.0017110969001510818 3.464723512512858 0.031281653216465546 5.290322580645162 0.005040134147703884 2.877192982456141 0.05629255545795262 0.28867513459481287 0.7492555730849976 0.01862420223192341 0.981548156548918 0.16666666666666666 0.8464817248906141 0.01075268817204301 0.9893049153303822 1.4433756729740645 0.23612931644846605 0.05064476045523034 0.9506163070621241 0.8333333333333334 0.4345982085070782 0.029239766081871347 0.971183579667108 2 4 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 28.5 3.5355339059327378 0.12405382126079782 26.0 27.25 28.5 29.75 31.0 2 15.5 0.7071067811865476 0.04561979233461597 15.0 15.25 15.5 15.75 16.0 28.5 28.5 3.5355339059327378 3.5355339059327378 0.12405382126079782 0.12405382126079782 26.0 26.0 27.25 27.25 28.5 28.5 29.75 29.75 31.0 31.0 0.31230549502405863 0.31230549502405863 0.1698503569429091 0.1698503569429091 0.9208542449198931 0.9208542449198931 1.625 1.625 1.7354166666666666 1.7354166666666666 1.8458333333333334 1.8458333333333334 1.9562500000000003 1.9562500000000003 2.066666666666667 2.066666666666667
3 0 1 17.136961100000065 7.444458900000086 0.0 24.58142000000015 49.23796239999999 75.17574390000001 12.575673866666671 0.7456060816707191 5.243216160000008 0.3438176882055395 515.578125 521.99609375 91 91 1.0 0 57 57 0.9340659340659341 0.491439493103494 0.43097482253527486 0.7133056433962424 1.0 0.9709558427009544 1.0 0.8207984452681495 0.45903688916260427 0.4025589001703117 0.6662745020734132 0.9340659340659341 0.9069367761492431 0.9340659340659341 0.7666798664592605 False 0 0 False 1.5964912280701755 1.5964912280701755 1.1931298744240326 1.1931298744240326 0.7473450861776907 0.7473450861776907 0.8057581668098945 0.8057581668098945 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 0 0.0 0 0.0 3.690748862674555 0.024953308442380997 2.3117877491477983 0.0990839558690908 3.298245614035084 0.03694793150647772 2.0659340659340635 0.1266998892288966 1.118033988749895 0.3269218953517579 0.11768778828946262 0.8889735572471958 0.7857142857142857 0.4557940183280172 0.08270676691729323 0.9206210641965562 3.7896056669673586 0.022604513800346674 0.24986410990993574 0.7789066215709973 2.9285714285714297 0.053473374140990564 0.1930926216640503 0.8244056127830964 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 6 9.5 1.0488088481701516 0.11040093138633175 8.0 9.0 9.5 10.0 11.0 15.166666666666666 15.166666666666666 3.763863263545405 3.763863263545405 0.24816680858541132 0.24816680858541132 10.0 10.0 12.25 12.25 16.5 16.5 17.75 17.75 19.0 19.0 0.2838291124454842 0.2838291124454842 0.1777830704328857 0.1777830704328857 0.938203329647957 0.938203329647957 1.2222222222222223 1.2222222222222223 1.3375 1.3375 1.6636363636363636 1.6636363636363636 1.7818181818181817 1.7818181818181817 1.8888888888888888 1.8888888888888888
4 1 4 1.3701884000000746 0.7566772999999216 0.0 2.126865699999996 2.126865699999996 2.126865699999996 2.126865699999996 0.1251097470588233 0.0 0.0 439.54296875 436.984375 17 17 1.0 30 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 17.0 0.0 0.0 17.0 17.0 17.0 17.0 17.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5 1 3 3.686999700000001 65.27651739999999 0.0 68.96351709999999 71.09038279999999 71.09038279999999 71.09038279999999 2.293238154838709 0.0 0.0 553.15625 557.56640625 31 31 1.0 31 17 30 0.9354838709677419 0.4388610271524568 0.4388610271524568 0.4388610271524568 0.889272201212546 1.0 1.0 0.8129536757174856 0.4105474124974596 0.4105474124974596 0.4105474124974596 0.8318998011343172 0.9354838709677419 0.9354838709677419 0.4105474124974596 False 0 0 False 1.8235294117647058 1.8235294117647058 1.667156790678634 0.7998161553463028 0.914247272307638 0.7769642651935513 0.6537454425429106 0.7925731484358315 1.0 0.5 1.0 0.5 1.0 1.0 2.0 1.0 7.0 3.5 0 0.0 0 0.0 2.0747284810056943 0.1255905230767086 1.1377543282934452 0.32053803737909903 1.7370242214532874 0.17604348837031417 0.9525616698292222 0.38575158848691604 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 31.0 0.0 0.0 31.0 31.0 31.0 31.0 31.0 1 17.0 0.0 0.0 17.0 17.0 17.0 17.0 17.0 31.0 31.0 0.0 0.0 0.0 0.0 31.0 31.0 31.0 31.0 31.0 31.0 31.0 31.0 31.0 31.0 0.0 0.0 0.0 0.0 0.0 0.0 1.8235294117647058 1.8235294117647058 1.8235294117647058 1.8235294117647058 1.8235294117647058 1.8235294117647058 1.8235294117647058 1.8235294117647058 1.8235294117647058 1.8235294117647058
6 1 2 7.594758399999989 5.746017799999947 0.0 13.340776199999937 78.19881939999999 84.43115899999992 42.23577574999996 1.3819007441066982 6.272732099999928 0.20234619677419122 559.203125 555.9453125 57 57 1.0 57 31 31 0.9649122807017544 0.42542537000816993 0.41466518582583434 0.5138748281882928 0.9568463621823291 0.8904705380593064 1.0 0.7719653026891587 0.410498164042971 0.4001155301828226 0.4958441324623878 0.9232728056145281 0.8592259577765238 0.9649122807017544 0.7448788008404164 False 0 0 False 1.8387096774193548 1.8387096774193548 1.827507851210648 1.827507851210648 0.993907778728598 0.993907778728598 0.6973210312551401 0.6973210312551401 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 10.0 10.0 0 0.0 0 0.0 6.114243618471099 0.002211147608270604 3.325290388993054 0.035962074246489555 4.572320499479708 0.010333951943265009 2.4867006225240518 0.08318396962260002 0.28867513459481287 0.7492555730849976 0.01862420223192341 0.981548156548918 0.16666666666666666 0.8464817248906141 0.01075268817204301 0.9893049153303822 1.4433756729740645 0.23612931644846605 0.05064476045523034 0.9506163070621241 0.8333333333333334 0.4345982085070782 0.029239766081871347 0.971183579667108 2 4 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 28.5 3.5355339059327378 0.12405382126079782 26.0 27.25 28.5 29.75 31.0 2 15.5 0.7071067811865476 0.04561979233461597 15.0 15.25 15.5 15.75 16.0 28.5 28.5 3.5355339059327378 3.5355339059327378 0.12405382126079782 0.12405382126079782 26.0 26.0 27.25 27.25 28.5 28.5 29.75 29.75 31.0 31.0 0.31230549502405863 0.31230549502405863 0.1698503569429091 0.1698503569429091 0.9208542449198931 0.9208542449198931 1.625 1.625 1.7354166666666666 1.7354166666666666 1.8458333333333334 1.8458333333333334 1.9562500000000003 1.9562500000000003 2.066666666666667 2.066666666666667
7 1 1 17.509942799999862 7.147881500000153 0.0 24.657824300000016 83.76066179999992 109.08898329999994 18.228160083333325 0.9815781297143493 5.121659740000007 0.3212986434868426 559.171875 561.14453125 93 93 1.0 0 57 57 0.9139784946236559 0.4157820133894037 0.37898987343216917 0.6457596895341378 1.0 0.9846829622281186 1.0 0.8001549918725074 0.3800158186892399 0.34638859399714383 0.5902104689290506 0.9139784946236559 0.8999790514988181 0.9139784946236559 0.731324454937238 False 0 0 False 1.631578947368421 1.631578947368421 1.0287228376446833 1.0287228376446833 0.630507545653193 0.630507545653193 0.825031540740012 0.825031540740012 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 0 0.0 0 0.0 3.696970385018094 0.02479854281448099 2.2658850746885095 0.10373817786132518 3.1985226223453362 0.040822469654298636 1.9603848330503675 0.14080422437423207 1.118033988749895 0.3269218953517579 0.11768778828946262 0.8889735572471958 0.7857142857142857 0.4557940183280172 0.08270676691729323 0.9206210641965562 4.354800307050338 0.012845004384897784 0.2809548585193766 0.7550624193464764 3.357142857142857 0.03483464445341245 0.21658986175115208 0.8052601695823105 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 6 9.5 1.0488088481701516 0.11040093138633175 8.0 9.0 9.5 10.0 11.0 15.5 15.5 3.7282703764614498 3.7282703764614498 0.24053357267493225 0.24053357267493225 10.0 10.0 13.5 13.5 15.5 15.5 18.25 18.25 20.0 20.0 0.2553579338633662 0.2553579338633662 0.15650970140012768 0.15650970140012768 0.9437502215232585 0.9437502215232585 1.25 1.25 1.4833333333333334 1.4833333333333334 1.6333333333333333 1.6333333333333333 1.7121212121212122 1.7121212121212122 2.0 2.0
8 2 4 1.3774051999998846 0.8938514999999825 0.0 2.271256699999867 2.271256699999867 2.271256699999867 2.271256699999867 0.13360333529410984 0.0 0.0 459.79296875 461.08203125 17 17 1.0 30 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 17.0 0.0 0.0 17.0 17.0 17.0 17.0 17.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9 2 3 3.5054658999999333 140.67287649999992 0.0 144.17834239999985 146.44959909999972 146.44959909999972 146.44959909999972 4.881653303333324 0.0 0.0 611.55859375 618.1328125 30 30 1.0 30 17 30 0.9666666666666667 0.33840831206804656 0.33840831206804656 0.33840831206804656 0.7884764082404466 1.0 1.0 0.7794694373560155 0.3271280349991117 0.3271280349991117 0.3271280349991117 0.7621938612990984 0.9666666666666667 0.9666666666666667 0.3271280349991117 False 0 0 False 1.7647058823529411 1.7647058823529411 1.3476559169863187 0.8078202333513098 0.7636716862922472 0.7629413314984592 0.6987811207381918 0.7910069745320367 1.0 0.5 1.0 0.5 1.0 1.0 2.0 1.0 6.0 3.0 0 0.0 0 0.0 1.502017098212201 0.22268053831944748 0.8511430223202472 0.42692666624396164 1.2525951557093429 0.2857622362478224 0.7098039215686277 0.49174060773567535 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 30.0 0.0 0.0 30.0 30.0 30.0 30.0 30.0 1 17.0 0.0 0.0 17.0 17.0 17.0 17.0 17.0 30.0 30.0 0.0 0.0 0.0 0.0 30.0 30.0 30.0 30.0 30.0 30.0 30.0 30.0 30.0 30.0 0.0 0.0 0.0 0.0 0.0 0.0 1.7647058823529411 1.7647058823529411 1.7647058823529411 1.7647058823529411 1.7647058823529411 1.7647058823529411 1.7647058823529411 1.7647058823529411 1.7647058823529411 1.7647058823529411
