 RU AL GT ST OT TT LT CT WT WT_PA MET MET_PA RSS VMS LE AC CF PSG SIZE SGLITS_T QL_SCORE LT_SCORE CT_SCORE AW_SCORE AW_PA_SCORE AME_SCORE AME_PA_SCORE TI_SCORE LT_GRADE CT_GRADE AW_GRADE AW_PA_GRADE AME_GRADE AME_PA_GRADE GRADE HAS_TRAILING TOT_CHOICES PRE_CHOICES FGOALS_ORDER CP_EF_L CP_EF_A SP_ED_L SP_ED_A SP_EB_L SP_EB_A SP_EBS_L SP_EBS_A SP_MIN_L SP_MIN_A SP_LOWER_L SP_LOWER_A SP_MED_L SP_MED_A SP_UPPER_L SP_UPPER_A SP_MAX_L SP_MAX_A T_INTER_SP P_INTER_SP T_INTER_Q P_INTER_Q M_CHILD_RMSE M_CHILD_RMSE_SCORE M_CHILD_NRMSE M_CHILD_NRMSE_SCORE M_CHILD_MAE M_CHILD_MAE_SCORE M_CHILD_NMAE M_CHILD_NMAE_SCORE DIV_INDEX_RMSE DIV_INDEX_RMSE_SCORE DIV_INDEX_NRMSE DIV_INDEX_NRMSE_SCORE DIV_INDEX_MAE DIV_INDEX_MAE_SCORE DIV_INDEX_NMAE DIV_INDEX_NMAE_SCORE DIV_STEP_RMSE DIV_STEP_RMSE_SCORE DIV_STEP_NRMSE DIV_STEP_NRMSE_SCORE DIV_STEP_MAE DIV_STEP_MAE_SCORE DIV_STEP_NMAE DIV_STEP_NMAE_SCORE DS_T DIVS_T DS_TD_MEAN DS_TD_STD DS_TD_CD DS_TD_MIN DS_TD_LOWER DS_TD_MED DS_TD_UPPER DS_TD_MAX DS_TS_MEAN DS_TS_STD DS_TS_CD DS_TS_MIN DS_TS_LOWER DS_TS_MED DS_TS_UPPER DS_TS_MAX PR_T PR_TS_MEAN PR_TS_STD PR_TS_CD PR_TS_MIN PR_TS_LOWER PR_TS_MED PR_TS_UPPER PR_TS_MAX PP_LE_MEAN PP_AC_MEAN PP_LE_STD PP_AC_STD PP_LE_CD PP_AC_CD PP_LE_MIN PP_AC_MIN PP_LE_LOWER PP_AC_LOWER PP_LE_MED PP_AC_MED PP_LE_UPPER PP_AC_UPPER PP_LE_MAX PP_AC_MAX PP_ED_L PP_ED_A PP_EB_L PP_EB_A PP_EBS_L PP_EBS_A PP_EF_LE_MIN PP_EF_AC_MIN PP_EF_LE_LOWER PP_EF_AC_LOWER PP_EF_LE_MED PP_EF_AC_MED PP_EF_LE_UPPER PP_EF_AC_UPPER PP_EF_LE_MAX PP_EF_AC_MAX
0 0 4 1.3821597999998687 0.8015287999999714 0.0 2.18368859999984 2.18368859999984 2.18368859999984 2.18368859999984 0.1284522705882259 0.0 0.0 387.0 382.35546875 17 17 1.0 30 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 2 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 17.0 0.0 0.0 17.0 17.0 17.0 17.0 17.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 0 3 3.338558099999858 1.2750081999999452 0.0 4.613566299999803 3.042761999999783 6.797254899999643 2.291084433333225 0.2709388241452842 1.915245649999946 0.24195353974358313 418.43359375 417.125 31 31 1.0 31 17 30 0.9354838709677419 1.0 0.8627666216631933 1.0 1.0 1.0 1.0 1.0 0.9354838709677419 0.8071042589752453 0.9354838709677419 0.9354838709677419 0.9354838709677419 0.9354838709677419 0.9354838709677419 False 0 0 False 1.8235294117647058 1.8235294117647058 1.2862393885688164 0.5987118525241848 0.7053570840538671 0.5816057995949224 0.7081376589469967 0.8343936174813926 1.0 0.5 1.0 0.5 1.0 1.0 2.0 1.0 6.0 3.0 0 0.0 0 0.0 1.7725316674493368 0.16990230774272272 0.9720334950528621 0.37831295786333424 1.4463667820069204 0.2354240831577425 0.793168880455408 0.45240889168580667 0.3726779962499652 0.6888870213378971 0.06576670522058209 0.936349284212233 0.2500000000000002 0.7788007830714047 0.04411764705882357 0.9568413812767794 2.321398046197354 0.09813629058645819 0.22465142382555037 0.7987946110057814 1.5000000000000004 0.22313016014842973 0.14516129032258068 0.8648827846370317 3 6 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 10.333333333333334 3.7859388972001824 0.36638118360001765 6.0 9.0 12.0 12.5 13.0 3 5.666666666666667 0.5773502691896257 0.10188534162169866 5.0 5.5 6.0 6.0 6.0 10.333333333333334 10.333333333333334 3.7859388972001824 3.7859388972001824 0.36638118360001765 0.36638118360001765 6.0 6.0 9.0 9.0 12.0 12.0 12.5 12.5 13.0 13.0 0.5167562646325993 0.5167562646325993 0.283382467701748 0.283382467701748 0.8529676492574348 0.8529676492574348 1.2 1.2 1.6 1.6 2.0 2.0 2.083333333333333 2.083333333333333 2.1666666666666665 2.1666666666666665
2 0 2 8.42151519999996 1.9185406 0.0 10.34005579999996 4.455840899999686 17.137310699999603 1.9618435444443934 0.276846948024685 1.6500938749999818 0.25070905624999745 417.828125 414.484375 67 67 1.0 67 31 31 0.8208955223880597 1.0 0.6564015856029692 1.0 1.0 1.0 1.0 1.0 0.8208955223880597 0.5388371225099001 0.8208955223880597 0.8208955223880597 0.8208955223880597 0.8208955223880597 0.8208955223880597 False 0 0 False 2.161290322580645 2.161290322580645 2.5046193881645755 2.5046193881645755 1.158853746762714 1.158853746762714 0.6348029713553933 0.6348029713553933 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 12.0 12.0 0 0.0 0 0.0 9.061703156686162 0.00011602519911657581 4.192728326227926 0.015105017188224547 8.193548387096776 0.0002764312567956189 3.791044776119404 0.02257200683380584 2.4121605499051095 0.08962145362300816 0.7003046757789028 0.49643402932318864 1.9000000000000008 0.14956861922263492 0.5516129032258067 0.5760199962218959 3.800097464637023 0.02236859160325721 0.5104608534587046 0.6002189021064387 3.0555555555555545 0.04709654875168945 0.4104477611940297 0.6633531598256199 9 18 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 7.444444444444445 4.096068575814836 0.5502181669005003 3.0 4.0 6.0 9.0 15.0 9 3.4444444444444446 1.130388330520878 0.3281772572479968 2.0 2.0 4.0 4.0 5.0 7.444444444444445 7.444444444444445 4.096068575814836 4.096068575814836 0.5502181669005003 0.5502181669005003 3.0 3.0 4.0 4.0 6.0 6.0 9.0 9.0 15.0 15.0 1.8243910704061719 1.8243910704061719 0.8441212415312139 0.8441212415312139 0.697642207370697 0.697642207370697 1.0 1.0 1.2 1.2 1.5 1.5 3.75 3.75 6.0 6.0
3 0 1 19.642717900000036 3.6202933999999516 0.0 23.263011299999988 5.809596599999651 40.40032199999959 1.5668939999999811 0.4437838458994699 1.4037131307692248 0.43108381947802216 426.91796875 428.41796875 105 105 1.0 0 67 67 0.8095238095238095 0.9208724396514882 0.5204379286156511 1.0 1.0 1.0 1.0 0.9736241465504961 0.7454681654321571 0.4213068945936223 0.8095238095238095 0.8095238095238095 0.8095238095238095 0.8095238095238095 0.7881719281599254 False 0 0 False 1.5671641791044777 1.5671641791044777 0.701165276781508 0.701165276781508 0.4474102242320098 0.4474102242320098 0.8736379751699601 0.8736379751699601 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 4.0 4.0 0 0.0 0 0.0 1.363038812755924 0.2558820167630851 0.869748575758542 0.4190568970660589 1.093784807306749 0.33494638414085337 0.6979388770433541 0.4976098826898108 3.600901317701395 0.0272991061877845 1.4511094862378755 0.23431017990725164 3.0052910052910065 0.049524340386192876 1.2110874200426445 0.297873189974194 6.24626872747827 0.0019376706417023812 1.6061833870658409 0.2006519654171821 5.103174603174603 0.006077422503856903 1.3122448979591836 0.2692150172703931 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 27 2.4814814814814814 1.3407911089057825 0.5403188050814347 1.0 1.0 2.0 3.0 5.0 3.888888888888889 3.888888888888889 2.4072539946735563 2.4072539946735563 0.6190081700589145 0.6190081700589145 1.0 1.0 2.0 2.0 4.0 4.0 5.0 5.0 10.0 10.0 0.6627060652367316 0.6627060652367316 0.4228695844843906 0.4228695844843906 0.8790764317618419 0.8790764317618419 1.0 1.0 1.0 1.0 1.5 1.5 2.0 2.0 4.0 4.0
4 1 4 1.384768100000116 0.9161230999999646 0.0 2.3008912000000805 2.3008912000000805 2.3008912000000805 2.3008912000000805 0.13534654117647532 0.0 0.0 393.97265625 389.8515625 17 17 1.0 30 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 2 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 17.0 0.0 0.0 17.0 17.0 17.0 17.0 17.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5 1 3 3.5315277000000265 1.8656550000000607 0.0 5.397182700000087 3.21307560000011 7.698073900000168 2.5924422666667133 0.27211296515152117 2.2821256000000147 0.26861599642857314 422.34375 420.55859375 32 32 1.0 32 17 30 0.90625 1.0 0.8255213397068126 1.0 1.0 1.0 1.0 1.0 0.90625 0.7481287141092989 0.90625 0.90625 0.90625 0.90625 0.90625 False 0 0 False 1.8823529411764706 1.8823529411764706 2.0579830217101063 0.9981600720384305 1.093303480283494 0.9427067347029621 0.6054813317370451 0.7556743142535294 1.0 0.5 1.0 0.5 1.0 0.5 1.0 1.0 9.0 4.5 0 0.0 0 0.0 2.263750753516925 0.10395982489947975 1.2026175878058663 0.3004068405722859 1.8581314878892732 0.15596377848533222 0.9871323529411764 0.3726437711004546 0.3726779962499652 0.6888870213378971 0.06576670522058209 0.936349284212233 0.2500000000000002 0.7788007830714047 0.04411764705882357 0.9568413812767794 1.840893502864543 0.15867558565861475 0.17258376589355093 0.8414877978821448 0.9999999999999996 0.3678794411714425 0.09374999999999996 0.9105103613800342 3 6 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 10.666666666666666 3.511884584284246 0.32923917977664807 7.0 9.0 11.0 12.5 14.0 3 5.666666666666667 0.5773502691896257 0.10188534162169866 5.0 5.5 6.0 6.0 6.0 10.666666666666666 10.666666666666666 3.511884584284246 3.511884584284246 0.32923917977664807 0.32923917977664807 7.0 7.0 9.0 9.0 11.0 11.0 12.5 12.5 14.0 14.0 0.4670633234885268 0.4670633234885268 0.24812739060327987 0.24812739060327987 0.8647250958602132 0.8647250958602132 1.4 1.4 1.6166666666666667 1.6166666666666667 1.8333333333333333 1.8333333333333333 2.0833333333333335 2.0833333333333335 2.3333333333333335 2.3333333333333335
6 1 2 8.487897999999944 1.8378846000000522 0.0 10.325782599999997 4.62460750000011 18.023856500000164 2.047828622222239 0.28151424114197754 1.7257312625000054 0.2627809151041683 414.6015625 410.23828125 68 68 1.0 68 32 32 0.8088235294117647 1.0 0.6476892618468244 1.0 1.0 1.0 1.0 1.0 0.8088235294117647 0.5238663147290492 0.8088235294117647 0.8088235294117647 0.8088235294117647 0.8088235294117647 0.8088235294117647 False 0 0 False 2.125 2.125 2.0438736151823846 2.0438736151823846 0.9618228777328869 0.9618228777328869 0.678818308424542 0.678818308424542 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 10.0 10.0 0 0.0 0 0.0 8.164806335731424 0.000284491740705499 3.842261805050082 0.02144504194567209 7.40625 0.0006074443450698789 3.485294117647059 0.03064474394362756 2.0046242836298567 0.13471089927870902 0.5638005797708973 0.5690422584024557 1.4999999999999993 0.22313016014842998 0.42187499999999983 0.6558160112715017 4.071126880124726 0.01705815517665792 0.538825616487096 0.5834330243274957 3.3000000000000016 0.036883167401239945 0.43676470588235317 0.646123442571568 9 18 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 7.555555555555555 3.2829526005987018 0.4345084324321811 3.0 5.0 8.0 9.0 12.0 9 3.5555555555555554 1.130388330520878 0.31792171795899693 2.0 3.0 4.0 4.0 5.0 7.555555555555555 7.555555555555555 3.2829526005987018 3.2829526005987018 0.4345084324321811 0.4345084324321811 3.0 3.0 5.0 5.0 8.0 8.0 9.0 9.0 12.0 12.0 1.7595988950908494 1.7595988950908494 0.8280465388662821 0.8280465388662821 0.7071082824048163 0.7071082824048163 1.0 1.0 1.2 1.2 1.8 1.8 3.0 3.0 6.0 6.0
7 1 1 19.65529610000013 3.8547027999997 0.0 23.50999889999983 5.9948670000000845 41.53385539999999 1.608722029629628 0.46928527931216957 1.4400241461538412 0.4677511334203245 414.6640625 409.03515625 105 105 1.0 0 68 68 0.8095238095238095 0.9078682520059359 0.5163467346997506 1.0 1.0 1.0 1.0 0.9692894173353119 0.7349409659095671 0.41799497570932187 0.8095238095238095 0.8095238095238095 0.8095238095238095 0.8095238095238095 0.7846628616523954 False 0 0 False 1.5441176470588236 1.5441176470588236 0.7616522403343414 0.7616522403343414 0.49326049850224013 0.49326049850224013 0.8658013727760319 0.8658013727760319 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 5.0 5.0 0 0.0 0 0.0 1.8530287094170632 0.15676166107438644 1.2000566880034313 0.3011771382976228 1.4995674740484413 0.22322669060772896 0.9711484593837524 0.3786479265328752 3.9538787243022884 0.019180162747297468 1.569922434649438 0.20806132008037873 3.4285714285714275 0.03243324089479555 1.3613445378151257 0.25631591872270076 7.395837525149718 0.0006138023880726771 1.901786792181356 0.14930160979944512 6.42857142857143 0.0016147559818205832 1.6530612244897962 0.19146289967870536 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 27 2.5185185185185186 1.08735283249559 0.43174303643207246 1.0 2.0 3.0 3.0 4.0 3.888888888888889 3.888888888888889 2.172083957389474 2.172083957389474 0.5585358747572934 0.5585358747572934 1.0 1.0 2.0 2.0 4.0 4.0 5.5 5.5 8.0 8.0 0.8019740601555597 0.8019740601555597 0.5193736770531243 0.5193736770531243 0.8604380403595571 0.8604380403595571 1.0 1.0 1.0 1.0 1.3333333333333333 1.3333333333333333 1.75 1.75 5.0 5.0
8 2 4 1.3794502000000364 0.8539131000000282 0.0 2.2333633000000646 2.2333633000000646 2.2333633000000646 2.2333633000000646 0.13137431176470968 0.0 0.0 420.19140625 415.828125 17 17 1.0 30 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 2 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 17.0 0.0 0.0 17.0 17.0 17.0 17.0 17.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9 2 3 3.2031418999999914 1.0663220000000706 0.0 4.269463900000062 2.994588500000077 6.502827200000127 2.193133766666733 0.2656236748640322 1.7924064000000612 0.2280929621794981 459.45703125 458.1484375 30 30 1.0 30 17 30 0.9666666666666667 1.0 0.8776044507816223 1.0 1.0 1.0 1.0 1.0 0.9666666666666667 0.8483509690889016 0.9666666666666667 0.9666666666666667 0.9666666666666667 0.9666666666666667 0.9666666666666667 False 0 0 False 1.7647058823529411 1.7647058823529411 1.3476559169863187 0.6373774391990981 0.7636716862922472 0.6373774391990981 0.6987811207381918 0.8259588038189984 1.0 0.5 1.0 0.5 1.0 1.0 2.0 1.0 5.0 2.5 0 0.0 0 0.0 1.3945023048387881 0.24795641236949015 0.7902179727419799 0.45374588026867485 1.1141868512110726 0.32818203125147416 0.6313725490196078 0.5318612940955294 0.3726779962499652 0.6888870213378971 0.06576670522058209 0.936349284212233 0.2500000000000002 0.7788007830714047 0.04411764705882357 0.9568413812767794 2.0615528128088303 0.12725621131859366 0.20615528128088303 0.8137067130515866 1.25 0.2865047968601901 0.125 0.8824969025845955 3 6 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 10.0 3.605551275463989 0.3605551275463989 6.0 8.5 11.0 12.0 13.0 3 5.666666666666667 0.5773502691896257 0.10188534162169866 5.0 5.5 6.0 6.0 6.0 10.0 10.0 3.605551275463989 3.605551275463989 0.3605551275463989 0.3605551275463989 6.0 6.0 8.5 8.5 11.0 11.0 12.0 12.0 13.0 13.0 0.4910306620885411 0.4910306620885411 0.27825070851684 0.27825070851684 0.8590054641701313 0.8590054641701313 1.2 1.2 1.5166666666666666 1.5166666666666666 1.8333333333333333 1.8333333333333333 2.0 2.0 2.1666666666666665 2.1666666666666665
