 RU AL GT ST OT TT LT CT WT WT_PA MET MET_PA RSS VMS LE AC CF PSG SIZE SGLITS_T QL_SCORE LT_SCORE CT_SCORE AW_SCORE AW_PA_SCORE AME_SCORE AME_PA_SCORE TI_SCORE LT_GRADE CT_GRADE AW_GRADE AW_PA_GRADE AME_GRADE AME_PA_GRADE GRADE HAS_TRAILING TOT_CHOICES PRE_CHOICES FGOALS_ORDER CP_EF_L CP_EF_A SP_ED_L SP_ED_A SP_EB_L SP_EB_A SP_EBS_L SP_EBS_A SP_MIN_L SP_MIN_A SP_LOWER_L SP_LOWER_A SP_MED_L SP_MED_A SP_UPPER_L SP_UPPER_A SP_MAX_L SP_MAX_A T_INTER_SP P_INTER_SP T_INTER_Q P_INTER_Q M_CHILD_RMSE M_CHILD_RMSE_SCORE M_CHILD_NRMSE M_CHILD_NRMSE_SCORE M_CHILD_MAE M_CHILD_MAE_SCORE M_CHILD_NMAE M_CHILD_NMAE_SCORE DIV_INDEX_RMSE DIV_INDEX_RMSE_SCORE DIV_INDEX_NRMSE DIV_INDEX_NRMSE_SCORE DIV_INDEX_MAE DIV_INDEX_MAE_SCORE DIV_INDEX_NMAE DIV_INDEX_NMAE_SCORE DIV_STEP_RMSE DIV_STEP_RMSE_SCORE DIV_STEP_NRMSE DIV_STEP_NRMSE_SCORE DIV_STEP_MAE DIV_STEP_MAE_SCORE DIV_STEP_NMAE DIV_STEP_NMAE_SCORE DS_T DIVS_T DS_TD_MEAN DS_TD_STD DS_TD_CD DS_TD_MIN DS_TD_LOWER DS_TD_MED DS_TD_UPPER DS_TD_MAX DS_TS_MEAN DS_TS_STD DS_TS_CD DS_TS_MIN DS_TS_LOWER DS_TS_MED DS_TS_UPPER DS_TS_MAX PR_T PR_TS_MEAN PR_TS_STD PR_TS_CD PR_TS_MIN PR_TS_LOWER PR_TS_MED PR_TS_UPPER PR_TS_MAX PP_LE_MEAN PP_AC_MEAN PP_LE_STD PP_AC_STD PP_LE_CD PP_AC_CD PP_LE_MIN PP_AC_MIN PP_LE_LOWER PP_AC_LOWER PP_LE_MED PP_AC_MED PP_LE_UPPER PP_AC_UPPER PP_LE_MAX PP_AC_MAX PP_ED_L PP_ED_A PP_EB_L PP_EB_A PP_EBS_L PP_EBS_A PP_EF_LE_MIN PP_EF_AC_MIN PP_EF_LE_LOWER PP_EF_AC_LOWER PP_EF_LE_MED PP_EF_AC_MED PP_EF_LE_UPPER PP_EF_AC_UPPER PP_EF_LE_MAX PP_EF_AC_MAX
0 0 4 1.290645999999981 0.8052515000000255 0.0 2.0958975000000066 2.0958975000000066 2.0958975000000066 2.0958975000000066 0.10479487500000033 0.0 0.0 608.1015625 607.59375 20 20 1.0 20 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 2 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 0 3 3.133115600000025 0.9949330999999688 0.0 4.128048699999994 4.443048499999975 6.2239462 2.1882940333333445 0.13242366380952564 1.0609168000000295 0.10327062857143045 636.375 638.28515625 44 44 1.0 44 20 20 0.9545454545454546 1.0 0.8933655242766796 1.0 1.0 1.0 1.0 1.0 0.9545454545454546 0.8527580004459214 0.9545454545454546 0.9545454545454546 0.9545454545454546 0.9545454545454546 0.9545454545454546 False 0 0 False 2.2 2.2 2.117595458607661 2.117595458607661 0.9625433902762094 0.9625433902762094 0.620439373576817 0.620439373576817 1.0 1.0 1.0 1.0 1.0 1.0 3.0 3.0 10.0 10.0 0 0.0 0 0.0 5.542562584220406 0.003916477664015789 2.519346629191093 0.08051219388545772 4.379999999999998 0.012525358621074408 1.9909090909090899 0.13657121334553715 0.3726779962499652 0.6888870213378971 0.05590169943749478 0.9456320874878473 0.2500000000000002 0.7788007830714047 0.03750000000000003 0.9631944177208217 3.1710495984067415 0.04195953412269098 0.216207927164096 0.8055677850334033 1.6666666666666665 0.18887560283756186 0.11363636363636363 0.8925824723203238 3 6 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 14.666666666666666 6.506407098647712 0.44361866581688947 8.0 11.5 15.0 18.0 21.0 3 6.666666666666667 0.5773502691896257 0.08660254037844385 6.0 6.5 7.0 7.0 7.0 14.666666666666666 14.666666666666666 6.506407098647712 6.506407098647712 0.44361866581688947 0.44361866581688947 8.0 8.0 11.5 11.5 15.0 15.0 18.0 18.0 21.0 21.0 1.1830722141718901 1.1830722141718901 0.5377600973508591 0.5377600973508591 0.7393848695504105 0.7393848695504105 1.1428571428571428 1.1428571428571428 1.6428571428571428 1.6428571428571428 2.142857142857143 2.142857142857143 2.821428571428571 2.821428571428571 3.5 3.5
2 0 2 6.895916199999874 1.8559873999998047 0.0 8.751903599999679 6.559182099999873 14.97584979999968 1.8697959666666324 0.20748527127825575 1.2836226999999774 0.1886117297064375 651.828125 653.765625 71 71 1.0 81 44 44 0.9436619718309859 0.8746337860170168 0.6803836994812327 1.0 1.0 1.0 1.0 0.9582112620056723 0.8253586431428186 0.6420522234541209 0.9436619718309859 0.9436619718309859 0.9436619718309859 0.9436619718309859 0.9042275289349301 False 0 0 False 1.6136363636363635 1.6136363636363635 0.969677699773297 0.969677699773297 0.6009270252116207 0.6009270252116207 0.8208678764104651 0.8208678764104651 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 0 0.0 0 0.0 1.9723685262409218 0.13912693985364236 1.2223128895014164 0.2945481212226532 1.6394628099173558 0.19408427443957318 1.0160051216389248 0.36203835430901143 2.772216655527699 0.06252325849609291 0.5670443159033929 0.5671994259149513 1.833333333333334 0.15987974607969382 0.3750000000000001 0.6872892787909721 5.998765305059465 0.0024818145696092198 0.7604068696554251 0.4674761864360806 4.311111111111112 0.013418631717273661 0.5464788732394367 0.5789849046070424 9 9 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 7.888888888888889 4.075673086879161 0.5166346166466542 3.0 4.0 8.0 10.0 15.0 9 4.888888888888889 1.90029237516523 0.3886961676474334 2.0 3.0 5.0 7.0 7.0 7.888888888888889 7.888888888888889 4.075673086879161 4.075673086879161 0.5166346166466542 0.5166346166466542 3.0 3.0 4.0 4.0 8.0 8.0 10.0 10.0 15.0 15.0 0.3438844104932605 0.3438844104932605 0.21311146565779526 0.21311146565779526 0.9218949727952505 0.9218949727952505 1.0 1.0 1.4 1.4 1.5 1.5 1.6 1.6 2.142857142857143 2.142857142857143
3 0 1 42.47200710000027 10.80341060000012 0.0 53.27541770000039 13.330590799999868 68.25126750000007 4.087926266666674 0.6200989447587405 3.544240117647074 0.6609683463803603 709.38671875 725.609375 145 145 1.0 0 71 81 0.8896551724137931 0.7020497847668169 0.4446296902382483 1.0 1.0 1.0 1.0 0.900683261588939 0.6245822223097889 0.3955671037292002 0.8896551724137931 0.8896551724137931 0.8896551724137931 0.8896551724137931 0.801297522379125 False 0 0 False 2.0422535211267605 2.0422535211267605 1.4085110651049706 1.4695090133927917 0.6896847284307097 0.7479221501855786 0.7937896425201383 0.7879222984239025 1.0 0.5 1.0 1.0 1.0 1.0 3.0 3.0 8.0 8.0 0 0.0 0 0.0 4.936654879222193 0.007178571442038949 2.417258596032936 0.08916572197591581 3.844475302519341 0.021397625896609342 1.8824672170956775 0.152214096877832 5.902513753985196 0.002732567176410037 1.4964119376300495 0.22393220310927184 4.295321637426901 0.013632186370729518 1.088954781319496 0.3365680971859014 12.09914774760287 5.564253369743068e-06 1.5019631686679427 0.22269254770322164 9.821637426900583 5.426465700101141e-05 1.2192377495462794 0.2954552920426657 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 18 3.9444444444444446 2.0138409955990952 0.5105512383208973 1.0 2.0 4.0 5.0 8.0 8.055555555555555 8.055555555555555 5.56747088237952 5.56747088237952 0.6911343164333197 0.6911343164333197 1.0 1.0 2.0 2.0 8.5 8.5 12.75 12.75 16.0 16.0 0.7759668149781452 0.7759668149781452 0.37995616457550563 0.37995616457550563 0.8652620005014309 0.8652620005014309 1.0 1.0 1.0 1.0 1.7083333333333335 1.7083333333333335 2.3714285714285714 2.3714285714285714 3.25 3.25
4 1 4 1.292394799999954 0.9277703000000201 0.0 2.2201650999999742 2.2201650999999742 2.2201650999999742 2.2201650999999742 0.11100825499999871 0.0 0.0 640.14453125 640.953125 20 20 1.0 20 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 2 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5 1 3 3.0761845000000676 0.813354899999922 0.0 3.8895393999999897 4.223314199999777 6.109704499999964 2.150432333333337 0.1335381775191204 1.113991400000117 0.07618549451755373 665.00390625 669.02734375 44 44 1.0 44 20 20 0.9545454545454546 1.0 0.9004010789511807 1.0 1.0 1.0 1.0 1.0 0.9545454545454546 0.8594737571806725 0.9545454545454546 0.9545454545454546 0.9545454545454546 0.9545454545454546 0.9545454545454546 False 0 0 False 2.2 2.2 2.117595458607661 2.117595458607661 0.9625433902762094 0.9625433902762094 0.620439373576817 0.620439373576817 1.0 1.0 1.0 1.0 1.5 1.5 2.25 2.25 10.0 10.0 0 0.0 0 0.0 5.563272418280448 0.003836202176646067 2.528760190127476 0.07975784357406955 4.9499999999999975 0.0070834089290521375 2.2499999999999987 0.10539922456186447 0.3726779962499652 0.6888870213378971 0.05590169943749478 0.9456320874878473 0.2500000000000002 0.7788007830714047 0.03750000000000003 0.9631944177208217 2.321398046197354 0.09813629058645819 0.15827713951345596 0.8536131792428391 1.5000000000000004 0.22313016014842973 0.1022727272727273 0.9027833044627488 3 6 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 14.666666666666666 3.7859388972001824 0.25813219753637606 12.0 12.5 13.0 16.0 19.0 3 6.666666666666667 0.5773502691896257 0.08660254037844385 6.0 6.5 7.0 7.0 7.0 14.666666666666666 14.666666666666666 3.7859388972001824 3.7859388972001824 0.25813219753637606 0.25813219753637606 12.0 12.0 12.5 12.5 13.0 13.0 16.0 16.0 19.0 19.0 0.8004864356350309 0.8004864356350309 0.3638574707431958 0.3638574707431958 0.8037017941809795 0.8037017941809795 1.7142857142857142 1.7142857142857142 1.7857142857142856 1.7857142857142856 1.8571428571428572 1.8571428571428572 2.511904761904762 2.511904761904762 3.1666666666666665 3.1666666666666665
6 1 2 6.88121880000034 1.7102983999999424 0.0 8.591517200000283 6.167008199999884 14.701221700000247 1.848207966666703 0.20538466291887517 1.3083579375000554 0.17888427750000707 671.30859375 676.35546875 71 71 1.0 81 44 44 0.9436619718309859 0.8968256715298322 0.6837643054677013 1.0 1.0 1.0 1.0 0.9656085571766108 0.8463002815844894 0.6452423727652955 0.9436619718309859 0.9436619718309859 0.9436619718309859 0.9436619718309859 0.9112080750821537 False 0 0 False 1.6136363636363635 1.6136363636363635 0.9204627019188114 0.9204627019188114 0.570427589921517 0.570427589921517 0.8275545861286152 0.8275545861286152 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 0 0.0 0 0.0 2.234623768876935 0.10703239119559835 1.3848372652195091 0.2503645394951003 1.8667355371900844 0.15462761489776264 1.156850192061461 0.3144751588714705 2.1619607013250883 0.11509922445066513 0.4422192343619499 0.6426087380946445 1.6222222222222211 0.19745941247377194 0.33181818181818157 0.7176177869549758 5.152848906367413 0.005782906278215129 0.6531780303846015 0.5203893329288874 4.099999999999999 0.01657267540176127 0.5197183098591548 0.5946880421367076 9 9 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 7.888888888888889 3.370624736026114 0.42726229048218345 4.0 5.0 8.0 9.0 14.0 9 4.888888888888889 1.1666666666666667 0.23863636363636362 4.0 4.0 4.0 6.0 7.0 7.888888888888889 7.888888888888889 3.370624736026114 3.370624736026114 0.42726229048218345 0.42726229048218345 4.0 4.0 5.0 5.0 8.0 8.0 9.0 9.0 14.0 14.0 0.4960998365964257 0.4960998365964257 0.3074421522569399 0.3074421522569399 0.8935408496954151 0.8935408496954151 1.0 1.0 1.25 1.25 1.3333333333333333 1.3333333333333333 2.0 2.0 2.3333333333333335 2.3333333333333335
7 1 1 40.427901200000576 10.335846499999548 0.0 50.763747700000124 12.897701399999903 65.46496940000037 3.941991555555584 0.5560906136406581 3.415185094117683 0.6321776520525209 721.51171875 732.76171875 139 139 1.0 0 71 81 0.9280575539568345 0.7083876002453384 0.4505444115838463 1.0 1.0 1.0 1.0 0.9027958667484461 0.6574244635370406 0.4181311445634257 0.9280575539568345 0.9280575539568345 0.9280575539568345 0.9280575539568345 0.8378465238169033 False 0 0 False 1.9577464788732395 1.9577464788732395 1.1641872667022735 1.2340328286284756 0.594656805293967 0.6538532151688192 0.8188827411855588 0.8114312078963172 1.0 0.5 1.0 1.0 1.0 1.0 3.0 3.0 4.0 4.0 0 0.0 0 0.0 3.060424346900049 0.046867802792814856 1.5632383354669315 0.2094566807493312 2.5135885736956958 0.08097712483042509 1.2839193433985208 0.2769497095085446 5.113097122413758 0.006017417355580392 1.2962781437105302 0.273548007130342 4.236842105263157 0.014453161415651502 1.074128984432913 0.3415951604623327 11.062180271477882 1.5694813170852895e-05 1.4325125531410206 0.2387084005966926 8.973684210526315 0.0001267005397571964 1.1620598258235515 0.31284111853801133 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 18 3.9444444444444446 1.6617574758359692 0.4212906276767246 2.0 3.0 4.0 4.75 7.0 7.722222222222222 7.722222222222222 5.496582420072822 5.496582420072822 0.7117876515202215 0.7117876515202215 2.0 2.0 3.0 3.0 6.5 6.5 12.75 12.75 17.0 17.0 0.8647198132351426 0.8647198132351426 0.4416914153934901 0.4416914153934901 0.8538218150100176 0.8538218150100176 1.0 1.0 1.0 1.0 1.4166666666666665 1.4166666666666665 2.3714285714285714 2.3714285714285714 3.25 3.25
8 2 4 1.2836725999999317 0.9540097000000856 0.0 2.237682300000017 2.237682300000017 2.237682300000017 2.237682300000017 0.11188411500000087 0.0 0.0 667.34375 670.3828125 20 20 1.0 20 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 2 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9 2 3 2.971041999999784 1.0604318000000035 0.0 4.031473799999787 4.62706769999977 6.269156099999805 2.2031557666665926 0.1370831482142821 0.991199800000004 0.05890912893772897 763.828125 767.6796875 42 42 1.0 42 20 20 1.0 1.0 0.8906806197080132 1.0 1.0 1.0 1.0 1.0 1.0 0.8906806197080132 1.0 1.0 1.0 1.0 1.0 False 0 0 False 2.1 2.1 2.125038699338017 2.125038699338017 1.0119231901609604 1.0119231901609604 0.6196433583338647 0.6196433583338647 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 10.0 10.0 0 0.0 0 0.0 6.767200307364929 0.001150912345338809 3.222476336840442 0.03985623848394676 6.149999999999999 0.002133481770037712 2.928571428571428 0.05347337414099066 0.3726779962499652 0.6888870213378971 0.05590169943749478 0.9456320874878473 0.2500000000000002 0.7788007830714047 0.03750000000000003 0.9631944177208217 4.6097722286464435 0.00995408530514347 0.3292694449033174 0.7194491387249004 3.25 0.03877420783172201 0.23214285714285715 0.7928328533799701 3 6 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 14.0 6.557438524302 0.46838846602157147 8.0 10.5 13.0 17.0 21.0 3 6.666666666666667 0.5773502691896257 0.08660254037844385 6.0 6.5 7.0 7.0 7.0 14.0 14.0 6.557438524302 6.557438524302 0.46838846602157147 0.46838846602157147 8.0 8.0 10.5 10.5 13.0 13.0 17.0 17.0 21.0 21.0 1.2086704901425767 1.2086704901425767 0.5755573762583698 0.5755573762583698 0.7354934707192448 0.7354934707192448 1.1428571428571428 1.1428571428571428 1.5 1.5 1.8571428571428572 1.8571428571428572 2.678571428571429 2.678571428571429 3.5 3.5
10 2 2 7.016555999999866 1.650424499999815 0.0 8.666980499999681 6.797902999999792 14.936136599999486 1.869082111111052 0.20741887099886533 1.2529794999999595 0.17168936705175486 764.76953125 768.51953125 71 71 1.0 80 42 42 0.9436619718309859 0.8627357146787733 0.6808672931046416 1.0 1.0 1.0 1.0 0.9542452382262577 0.814130885682786 0.6425085723663518 0.9436619718309859 0.9436619718309859 0.9436619718309859 0.9436619718309859 0.9004849431149192 False 0 0 False 1.6904761904761905 1.6904761904761905 0.9750070728472726 0.9750070728472726 0.5767647473181049 0.5767647473181049 0.8179154261773042 0.8179154261773042 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 0 0.0 0 0.0 2.544074822889367 0.07854568704718425 1.504945669878217 0.22202935638623827 2.2477324263038545 0.10563849625164422 1.3296445338698857 0.2645712907195483 4.453463071962462 0.011638193201541766 0.9543135154205274 0.38507640285045314 3.6999999999999993 0.02472352647033941 0.7928571428571427 0.45254994653204184 9.547347896240705 7.139034682839727e-05 1.2102271981150188 0.2981295372658346 8.099999999999998 0.0003035391380788673 1.0267605633802814 0.35816533722158783 9 9 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 7.888888888888889 4.371625682868 0.5541497344480564 2.0 4.0 9.0 11.0 15.0 9 4.666666666666667 1.9364916731037085 0.4149625013793661 2.0 3.0 4.0 7.0 7.0 7.888888888888889 7.888888888888889 4.371625682868 4.371625682868 0.5541497344480564 0.5541497344480564 2.0 2.0 4.0 4.0 9.0 9.0 11.0 11.0 15.0 15.0 0.4177007199041141 0.4177007199041141 0.24709056670384216 0.24709056670384216 0.906616586380141 0.906616586380141 1.0 1.0 1.3333333333333333 1.3333333333333333 1.5714285714285714 1.5714285714285714 1.8 1.8 2.25 2.25
