 RU AL GT ST OT TT LT CT WT WT_PA MET MET_PA RSS VMS LE AC CF PSG SIZE SGLITS_T QL_SCORE LT_SCORE CT_SCORE AW_SCORE AW_PA_SCORE AME_SCORE AME_PA_SCORE TI_SCORE LT_GRADE CT_GRADE AW_GRADE AW_PA_GRADE AME_GRADE AME_PA_GRADE GRADE HAS_TRAILING TOT_CHOICES PRE_CHOICES FGOALS_ORDER CP_EF_L CP_EF_A SP_ED_L SP_ED_A SP_EB_L SP_EB_A SP_EBS_L SP_EBS_A SP_MIN_L SP_MIN_A SP_LOWER_L SP_LOWER_A SP_MED_L SP_MED_A SP_UPPER_L SP_UPPER_A SP_MAX_L SP_MAX_A T_INTER_SP P_INTER_SP T_INTER_Q P_INTER_Q M_CHILD_RMSE M_CHILD_RMSE_SCORE M_CHILD_NRMSE M_CHILD_NRMSE_SCORE M_CHILD_MAE M_CHILD_MAE_SCORE M_CHILD_NMAE M_CHILD_NMAE_SCORE DIV_INDEX_RMSE DIV_INDEX_RMSE_SCORE DIV_INDEX_NRMSE DIV_INDEX_NRMSE_SCORE DIV_INDEX_MAE DIV_INDEX_MAE_SCORE DIV_INDEX_NMAE DIV_INDEX_NMAE_SCORE DIV_STEP_RMSE DIV_STEP_RMSE_SCORE DIV_STEP_NRMSE DIV_STEP_NRMSE_SCORE DIV_STEP_MAE DIV_STEP_MAE_SCORE DIV_STEP_NMAE DIV_STEP_NMAE_SCORE DS_T DIVS_T DS_TD_MEAN DS_TD_STD DS_TD_CD DS_TD_MIN DS_TD_LOWER DS_TD_MED DS_TD_UPPER DS_TD_MAX DS_TS_MEAN DS_TS_STD DS_TS_CD DS_TS_MIN DS_TS_LOWER DS_TS_MED DS_TS_UPPER DS_TS_MAX PR_T PR_TS_MEAN PR_TS_STD PR_TS_CD PR_TS_MIN PR_TS_LOWER PR_TS_MED PR_TS_UPPER PR_TS_MAX PP_LE_MEAN PP_AC_MEAN PP_LE_STD PP_AC_STD PP_LE_CD PP_AC_CD PP_LE_MIN PP_AC_MIN PP_LE_LOWER PP_AC_LOWER PP_LE_MED PP_AC_MED PP_LE_UPPER PP_AC_UPPER PP_LE_MAX PP_AC_MAX PP_ED_L PP_ED_A PP_EB_L PP_EB_A PP_EBS_L PP_EBS_A PP_EF_LE_MIN PP_EF_AC_MIN PP_EF_LE_LOWER PP_EF_AC_LOWER PP_EF_LE_MED PP_EF_AC_MED PP_EF_LE_UPPER PP_EF_AC_UPPER PP_EF_LE_MAX PP_EF_AC_MAX
0 0 4 0.6186581000000118 0.08121619999999297 0.0 0.6998743000000047 0.6998743000000047 0.6998743000000047 0.6998743000000047 0.053836484615384976 0.0 0.0 224.0390625 213.12890625 13 13 1.0 22 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 2 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 0 3 1.1205928000000043 0.24319529999998934 0.0 1.3637880999999936 1.0099611999999993 2.0636623999999983 0.7073994333333337 0.11185377166666678 0.5561185500000008 0.13289724000000014 237.9375 226.7578125 21 21 1.0 21 13 22 0.9523809523809523 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 False 0 0 False 1.6153846153846154 1.6153846153846154 1.0439078454267836 0.47703679372151425 0.6462286662165803 0.4961182654703748 0.7212952435735721 0.8479354326343773 1.0 0.5 1.0 0.5 1.0 1.0 2.0 1.0 4.0 2.0 0 0.0 0 0.0 1.9656818983354831 0.14006034712783483 1.2168506989695849 0.2961614011917646 1.6153846153846156 0.19881418873807416 1.0000000000000002 0.3678794411714422 0.3726779962499646 0.6888870213378976 0.08600261451922261 0.9175918321555311 0.24999999999999978 0.778800783071405 0.05769230769230765 0.9439403459411809 2.692582403567252 0.06770586953955125 0.384654629081036 0.6806856846532362 1.75 0.17377394345044514 0.25 0.7788007830714049 3 3 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 7.0 4.358898943540674 0.6226998490772392 4.0 4.5 5.0 8.5 12.0 3 4.333333333333333 0.5773502691896257 0.13323467750529824 4.0 4.0 4.0 4.5 5.0 7.0 7.0 4.358898943540674 4.358898943540674 0.6226998490772392 0.6226998490772392 4.0 4.0 4.5 4.5 5.0 5.0 8.5 8.5 12.0 12.0 0.7466592261534039 0.7466592261534039 0.46221761619020235 0.46221761619020235 0.7825668767309011 0.7825668767309011 1.0 1.0 1.125 1.125 1.25 1.25 1.825 1.825 2.4 2.4
2 0 2 2.9086971999999918 0.4324625999999654 0.0 3.341159799999957 1.7670521999999949 5.4048221999999555 0.9360017333333263 0.12858881376623293 0.7697916399999926 0.09717727577489053 247.1171875 235.75 45 45 1.0 45 21 21 0.9333333333333333 1.0 0.9546516116806694 1.0 1.0 1.0 1.0 1.0 0.9333333333333333 0.891008170901958 0.9333333333333333 0.9333333333333333 0.9333333333333333 0.9333333333333333 0.9333333333333333 False 0 0 False 2.142857142857143 2.142857142857143 1.9309509130403675 1.9309509130403675 0.9011104260855048 0.9011104260855048 0.6467994780554374 0.6467994780554374 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 8.0 8.0 0 0.0 0 0.0 8.050013732189242 0.0003190975405433032 3.7566730750216464 0.023361332632581167 7.238095238095239 0.0007186793702962116 3.377777777777778 0.034123199875217176 2.6659225152173605 0.06953517667713072 0.7616921472049601 0.4668757357442679 2.0714285714285716 0.12600564500231182 0.5918367346938777 0.5533100670443568 2.2280677086403173 0.10773640726375906 0.29707569448537563 0.7429877701564519 1.5 0.22313016014842982 0.2 0.8187307530779818 6 12 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 7.5 2.16794833886788 0.28905977851571735 5.0 6.25 7.0 8.5 11.0 6 3.5 1.9748417658131499 0.5642405045180429 2.0 2.0 2.5 5.25 6.0 7.5 7.5 2.16794833886788 2.16794833886788 0.28905977851571735 0.28905977851571735 5.0 5.0 6.25 6.25 7.0 7.0 8.5 8.5 11.0 11.0 1.3416407864998738 1.3416407864998738 0.6260990336999411 0.6260990336999411 0.7205302664485086 0.7205302664485086 1.1666666666666667 1.1666666666666667 1.5 1.5 2.75 2.75 3.5 3.5 4.5 4.5
3 0 1 6.645050500000011 1.049214099999972 0.0 7.694264599999983 2.473816599999985 13.099086799999938 0.7734188944444418 0.189706197253086 0.673395499999998 0.20460669545751706 244.92578125 233.44921875 70 70 1.0 0 45 45 0.9571428571428572 1.0 0.705401680976441 1.0 1.0 1.0 1.0 1.0 0.9571428571428572 0.6751701803631649 0.9571428571428572 0.9571428571428572 0.9571428571428572 0.9571428571428572 0.9571428571428572 False 0 0 False 1.5555555555555556 1.5555555555555556 0.8932971498777985 0.8932971498777985 0.5742624534928704 0.5742624534928704 0.8323150963297481 0.8323150963297481 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 0 0.0 0 0.0 2.1124751928316736 0.12093825016873358 1.3580197668203615 0.2571695286972843 1.7333333333333334 0.17669444575659674 1.1142857142857143 0.32814958777058006 2.0551603855967824 0.12807229297906686 0.8220641542387129 0.43952347327501584 1.5 0.22313016014842982 0.6 0.5488116360940265 4.592985583386996 0.010122591372889206 1.1810534357280846 0.3069552106372851 3.801169590643275 0.02234462250571849 0.9774436090225564 0.3762717681582366 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 18 2.5 0.7859052479933758 0.3143620991973503 1.0 2.0 2.0 3.0 4.0 3.888888888888889 3.888888888888889 1.8435543958499072 1.8435543958499072 0.474056844647119 0.474056844647119 1.0 1.0 3.0 3.0 4.0 4.0 5.0 5.0 9.0 9.0 0.5122855220127805 0.5122855220127805 0.3293264070082161 0.3293264070082161 0.891342587279174 0.891342587279174 1.0 1.0 1.0625 1.0625 1.4166666666666665 1.4166666666666665 1.9166666666666667 1.9166666666666667 2.5 2.5
4 1 4 0.619492600000001 0.07661819999998443 0.0 0.6961107999999854 0.6961107999999854 0.6961107999999854 0.6961107999999854 0.05354698461538349 0.0 0.0 239.75 228.13671875 13 13 1.0 22 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 2 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5 1 3 1.103417700000037 0.266096399999995 0.0 1.369514100000032 1.0555994999999996 2.0656249000000173 0.7078984333333315 0.11466957999999987 0.5340478999999974 0.09552779833333294 245.94140625 235.96875 21 21 1.0 21 13 22 0.9523809523809523 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 False 0 0 False 1.6153846153846154 1.6153846153846154 1.0439078454267836 0.47703679372151425 0.6462286662165803 0.4961182654703748 0.7212952435735721 0.8479354326343773 1.0 0.5 1.0 0.5 1.0 1.0 2.0 1.0 4.0 2.0 0 0.0 0 0.0 1.3099527973789544 0.26983279289915496 0.8109231602822099 0.44444758042622756 1.0769230769230773 0.34064204415744104 0.6666666666666669 0.5134171190325919 0.3726779962499646 0.6888870213378976 0.08600261451922261 0.9175918321555311 0.24999999999999978 0.778800783071405 0.05769230769230765 0.9439403459411809 1.8027756377319946 0.16484071454660576 0.25753937681885636 0.7729511893552639 1.25 0.2865047968601901 0.17857142857142858 0.8364643072929833 3 3 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 7.0 2.6457513110645907 0.37796447300922725 5.0 5.5 6.0 8.0 10.0 3 4.333333333333333 0.5773502691896257 0.13323467750529824 4.0 4.0 4.0 4.5 5.0 7.0 7.0 2.6457513110645907 2.6457513110645907 0.37796447300922725 0.37796447300922725 5.0 5.0 5.5 5.5 6.0 6.0 8.0 8.0 10.0 10.0 0.38188130791298663 0.38188130791298663 0.23640271442232505 0.23640271442232505 0.8738977686138039 0.8738977686138039 1.25 1.25 1.375 1.375 1.5 1.5 1.75 1.75 2.0 2.0
6 1 2 2.9319331999999463 0.5384733000000494 0.0 3.4704064999999957 1.8107570999999751 5.536031400000013 0.9580300666666611 0.14453522447089792 0.7874846599999984 0.11254013803751887 247.13671875 236.2734375 45 45 1.0 45 21 21 0.9333333333333333 1.0 0.9427390200150816 1.0 1.0 1.0 1.0 1.0 0.9333333333333333 0.8798897520140762 0.9333333333333333 0.9333333333333333 0.9333333333333333 0.9333333333333333 0.9333333333333333 False 0 0 False 2.142857142857143 2.142857142857143 1.98206241793023 1.98206241793023 0.924962461700774 0.924962461700774 0.6411210066473872 0.6411210066473872 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 8.0 8.0 0 0.0 0 0.0 6.638887702919278 0.0013084818552541763 3.098147594695663 0.045132729113813115 6.0476190476190474 0.0023634826522382253 2.8222222222222224 0.059473632124684116 1.8419709940325182 0.1585047061935839 0.5262774268664338 0.5908001781016959 1.5 0.22313016014842982 0.42857142857142855 0.6514390575310556 2.0615528128088303 0.12725621131859366 0.2748737083745107 0.7596680568807681 1.2142857142857142 0.2969220257278962 0.16190476190476188 0.8505222027976641 6 12 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 7.5 2.8106938645110393 0.37475918193480523 3.0 6.25 8.0 9.0 11.0 6 3.5 1.224744871391589 0.34992710611188255 2.0 3.0 3.0 4.5 5.0 7.5 7.5 2.8106938645110393 2.8106938645110393 0.37475918193480523 0.37475918193480523 3.0 3.0 6.25 6.25 8.0 8.0 9.0 9.0 11.0 11.0 1.3983720693879882 1.3983720693879882 0.6525736323810611 0.6525736323810611 0.7126675133214531 0.7126675133214531 1.0 1.0 1.35 1.35 2.066666666666667 2.066666666666667 3.333333333333333 3.333333333333333 4.5 4.5
7 1 1 6.68928649999998 1.007315300000002 0.0 7.696601799999982 2.4704248999999976 13.232633199999995 0.7876072388888838 0.19298515087962825 0.6886179647058772 0.19305314299019444 249.67578125 239.8515625 72 72 1.0 0 45 45 0.9305555555555556 1.0 0.7034578271222982 1.0 1.0 1.0 1.0 1.0 0.9305555555555556 0.6546065891276942 0.9305555555555556 0.9305555555555556 0.9305555555555556 0.9305555555555556 0.9305555555555556 False 0 0 False 1.6 1.6 0.9862693712811287 0.9862693712811287 0.6164183570507054 0.6164183570507054 0.8197218184286813 0.8197218184286813 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 0 0.0 0 0.0 1.8073922282301262 0.1640814663875248 1.1296201426438288 0.32315598628943853 1.4177777777777767 0.24225175642387908 0.8861111111111104 0.4122558566429119 1.867308786800715 0.15453900007936153 0.746923514720286 0.4738220191997493 1.2894736842105263 0.2754157005821102 0.5157894736842106 0.5970290697752043 3.63462877276201 0.02639373064071962 0.9086571931905025 0.403065099366924 2.789473684210526 0.06145354937827826 0.6973684210526315 0.4978938282099453 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 18 2.5 0.9235481451827989 0.3694192580731196 1.0 2.0 3.0 3.0 4.0 4.0 4.0 2.2228757209048453 2.2228757209048453 0.5557189302262113 0.5557189302262113 1.0 1.0 2.25 2.25 4.0 4.0 5.0 5.0 9.0 9.0 0.5034377101085414 0.5034377101085414 0.31464856881783837 0.31464856881783837 0.8928840437628806 0.8928840437628806 1.0 1.0 1.0625 1.0625 1.4166666666666665 1.4166666666666665 2.0 2.0 2.6666666666666665 2.6666666666666665
8 2 4 0.6202454999999958 0.080602999999968 0.0 0.7008484999999638 0.7008484999999638 0.7008484999999638 0.7008484999999638 0.05391142307692029 0.0 0.0 247.24609375 235.8671875 13 13 1.0 22 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 2 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9 2 3 1.1677522000000238 0.2950153999999685 0.0 1.4627675999999923 1.012751699999967 2.163616099999956 0.7406364666666528 0.11379548666666425 0.6045788499999958 0.10000869499999894 260.2421875 249.75390625 22 22 1.0 22 13 22 0.9090909090909091 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 False 0 0 False 1.6923076923076923 1.6923076923076923 0.9473309334313418 0.408248290463863 0.5597864606639747 0.408248290463863 0.7401665335209782 0.8665289106576681 1.0 0.5 1.0 1.0 1.0 1.0 2.0 1.0 4.0 2.0 0 0.0 0 0.0 1.2825640000410052 0.2773253259448145 0.7578787272969576 0.46865952798225063 1.0532544378698225 0.34880074959903395 0.6223776223776224 0.5366669281812392 0.3726779962499646 0.6888870213378976 0.08600261451922261 0.9175918321555311 0.24999999999999978 0.778800783071405 0.05769230769230765 0.9439403459411809 1.178511301977579 0.30773652451956823 0.16070608663330624 0.8515423139988739 0.6666666666666667 0.513417119032592 0.09090909090909093 0.9131007162822623 3 3 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 7.333333333333333 2.516611478423583 0.3431742925123068 5.0 6.0 7.0 8.5 10.0 3 4.333333333333333 0.5773502691896257 0.13323467750529824 4.0 4.0 4.0 4.5 5.0 7.333333333333333 7.333333333333333 2.516611478423583 2.516611478423583 0.3431742925123068 0.3431742925123068 5.0 5.0 6.0 6.0 7.0 7.0 8.5 8.5 10.0 10.0 0.6825198409814424 0.6825198409814424 0.4033071787617614 0.4033071787617614 0.7971528858793205 0.7971528858793205 1.25 1.25 1.325 1.325 1.4 1.4 1.95 1.95 2.5 2.5
