 RU AL GT ST OT TT LT CT WT WT_PA MET MET_PA RSS VMS LE AC CF PSG SIZE SGLITS_T QL_SCORE LT_SCORE CT_SCORE AW_SCORE AW_PA_SCORE AME_SCORE AME_PA_SCORE TI_SCORE LT_GRADE CT_GRADE AW_GRADE AW_PA_GRADE AME_GRADE AME_PA_GRADE GRADE HAS_TRAILING TOT_CHOICES PRE_CHOICES FGOALS_ORDER CP_EF_L CP_EF_A SP_ED_L SP_ED_A SP_EB_L SP_EB_A SP_EBS_L SP_EBS_A SP_MIN_L SP_MIN_A SP_LOWER_L SP_LOWER_A SP_MED_L SP_MED_A SP_UPPER_L SP_UPPER_A SP_MAX_L SP_MAX_A T_INTER_SP P_INTER_SP T_INTER_Q P_INTER_Q M_CHILD_RMSE M_CHILD_RMSE_SCORE M_CHILD_NRMSE M_CHILD_NRMSE_SCORE M_CHILD_MAE M_CHILD_MAE_SCORE M_CHILD_NMAE M_CHILD_NMAE_SCORE DIV_INDEX_RMSE DIV_INDEX_RMSE_SCORE DIV_INDEX_NRMSE DIV_INDEX_NRMSE_SCORE DIV_INDEX_MAE DIV_INDEX_MAE_SCORE DIV_INDEX_NMAE DIV_INDEX_NMAE_SCORE DIV_STEP_RMSE DIV_STEP_RMSE_SCORE DIV_STEP_NRMSE DIV_STEP_NRMSE_SCORE DIV_STEP_MAE DIV_STEP_MAE_SCORE DIV_STEP_NMAE DIV_STEP_NMAE_SCORE DS_T DIVS_T DS_TD_MEAN DS_TD_STD DS_TD_CD DS_TD_MIN DS_TD_LOWER DS_TD_MED DS_TD_UPPER DS_TD_MAX DS_TS_MEAN DS_TS_STD DS_TS_CD DS_TS_MIN DS_TS_LOWER DS_TS_MED DS_TS_UPPER DS_TS_MAX PR_T PR_TS_MEAN PR_TS_STD PR_TS_CD PR_TS_MIN PR_TS_LOWER PR_TS_MED PR_TS_UPPER PR_TS_MAX PP_LE_MEAN PP_AC_MEAN PP_LE_STD PP_AC_STD PP_LE_CD PP_AC_CD PP_LE_MIN PP_AC_MIN PP_LE_LOWER PP_AC_LOWER PP_LE_MED PP_AC_MED PP_LE_UPPER PP_AC_UPPER PP_LE_MAX PP_AC_MAX PP_ED_L PP_ED_A PP_EB_L PP_EB_A PP_EBS_L PP_EBS_A PP_EF_LE_MIN PP_EF_AC_MIN PP_EF_LE_LOWER PP_EF_AC_LOWER PP_EF_LE_MED PP_EF_AC_MED PP_EF_LE_UPPER PP_EF_AC_UPPER PP_EF_LE_MAX PP_EF_AC_MAX
0 0 4 0.6248439000000019 0.07885320000000462 0.0 0.7036971000000065 0.7036971000000065 0.7036971000000065 0.7036971000000065 0.05413054615384665 0.0 0.0 236.07421875 224.4921875 13 13 1.0 22 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 2 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 0 3 1.202823900000034 0.279298500000003 0.0 1.482122400000037 1.009785000000008 2.1858195000000435 0.7481249666666822 0.11277486858974489 0.6172949500000193 0.14834386000000493 252.9921875 242.21875 22 22 1.0 22 13 22 0.9090909090909091 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 False 0 0 False 1.6923076923076923 1.6923076923076923 0.9473309334313418 0.408248290463863 0.5597864606639747 0.408248290463863 0.7401665335209782 0.8665289106576681 1.0 0.5 1.0 1.0 1.0 1.0 2.0 1.0 4.0 2.0 0 0.0 0 0.0 2.793695353436135 0.06119465967790881 1.650819981575898 0.19189249578066653 2.384615384615384 0.09212440522976932 1.4090909090909087 0.24436533250890013 0.3726779962499646 0.6888870213378976 0.08600261451922261 0.9175918321555311 0.24999999999999978 0.778800783071405 0.05769230769230765 0.9439403459411809 3.0641293851417055 0.04669447707863928 0.41783582524659624 0.6584703237543484 1.9999999999999998 0.13533528323661273 0.2727272727272727 0.7613003866968737 3 6 2.0 1.7320508075688772 0.8660254037844386 1.0 1.0 1.0 2.5 4.0 7.333333333333333 4.932882862316247 0.6726658448613064 4.0 4.5 5.0 9.0 13.0 3 4.333333333333333 0.5773502691896257 0.13323467750529824 4.0 4.0 4.0 4.5 5.0 7.333333333333333 7.333333333333333 4.932882862316247 4.932882862316247 0.6726658448613064 0.6726658448613064 4.0 4.0 4.5 4.5 5.0 5.0 9.0 9.0 13.0 13.0 0.8607167555783571 0.8607167555783571 0.5086053555690292 0.5086053555690292 0.757904863052754 0.757904863052754 1.0 1.0 1.125 1.125 1.25 1.25 1.925 1.925 2.6 2.6
2 0 2 3.158627799999948 0.4356195000000014 0.0 3.5942472999999495 1.765851099999999 5.780066799999993 0.6758880555555566 0.12098394800224517 0.5396426750000014 0.09182658143939394 245.80078125 234.81640625 46 46 1.0 46 22 22 0.9130434782608695 1.0 0.9230674851789448 1.0 1.0 1.0 1.0 1.0 0.9130434782608695 0.8428007473372974 0.9130434782608695 0.9130434782608695 0.9130434782608695 0.9130434782608695 0.9130434782608695 False 0 0 False 2.090909090909091 2.090909090909091 1.9001025262836768 1.9001025262836768 0.9087446864834976 0.9087446864834976 0.6555381861217708 0.6555381861217708 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 8.0 8.0 0 0.0 0 0.0 8.485768348406049 0.00020638476327867385 4.058410949237675 0.017276450471457334 7.636363636363637 0.0004825801020447391 3.6521739130434785 0.02593468769611924 0.8210201423071639 0.43998258064039375 0.3358718763983852 0.7147146717679261 0.622222222222223 0.5367503327856527 0.25454545454545485 0.7752688127983691 6.702956782616881 0.0012272777391202133 1.3114480661641725 0.2694296218463682 5.500000000000002 0.00408677143846406 1.0760869565217395 0.3409269810242783 9 7 0.7777777777777778 1.0929064207170003 1.4051653980647145 0.0 0.0 0.0 1.0 3.0 5.111111111111111 3.018461712712472 0.5905685959654837 3.0 3.0 3.0 6.0 11.0 9 2.4444444444444446 0.5270462766947299 0.21560984046602585 2.0 2.0 2.0 3.0 3.0 5.111111111111111 5.111111111111111 3.018461712712472 3.018461712712472 0.5905685959654837 0.5905685959654837 3.0 3.0 3.0 3.0 3.0 3.0 6.0 6.0 11.0 11.0 1.2975523015696293 1.2975523015696293 0.6205684920550402 0.6205684920550402 0.7308855015427591 0.7308855015427591 1.0 1.0 1.0 1.0 1.5 1.5 3.0 3.0 4.5 4.5
3 0 1 6.219797799999988 0.907451500000036 0.0 7.127249300000024 2.441615900000002 12.907316100000017 0.859174106250002 0.20091744090773841 0.7536779866666686 0.1959300096666671 247.5078125 236.3203125 69 69 1.0 0 46 46 0.9710144927536232 1.0 0.7082435147273631 1.0 1.0 1.0 1.0 1.0 0.9710144927536232 0.6877147171990338 0.9710144927536232 0.9710144927536232 0.9710144927536232 0.9710144927536232 0.9710144927536232 False 0 0 False 1.5 1.5 0.6582805886043833 0.6582805886043833 0.43885372573625553 0.43885372573625553 0.8678953646497861 0.8678953646497861 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 3.0 3.0 0 0.0 0 0.0 1.7241885299921589 0.1783176925385023 1.1494590199947725 0.3168081098819215 1.4021739130434783 0.2460614658592371 0.9347826086956522 0.39267121956217066 0.4774318553161155 0.6203745593840342 0.16606325402299668 0.8469926568019335 0.38235294117647056 0.6822542151017184 0.13299232736572889 0.875471809258009 1.220986823651022 0.2949389705161807 0.28312737939733845 0.7534238110761193 0.9632352941176471 0.3816561166085412 0.22335890878090367 0.7998277325768486 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 16 2.875 0.3415650255319866 0.11880522627199533 2.0 3.0 3.0 3.0 3.0 4.3125 4.3125 1.352466881911223 1.352466881911223 0.31361550884897926 0.31361550884897926 3.0 3.0 3.0 3.0 4.0 4.0 5.25 5.25 7.0 7.0 0.41722185234485754 0.41722185234485754 0.2781479015632384 0.2781479015632384 0.9089236945539676 0.9089236945539676 1.0 1.0 1.25 1.25 1.4166666666666665 1.4166666666666665 1.75 1.75 2.3333333333333335 2.3333333333333335
4 1 4 0.6248465000000039 0.08335230000001559 0.0 0.7081988000000194 0.7081988000000194 0.7081988000000194 0.7081988000000194 0.054476830769232265 0.0 0.0 240.2578125 228.8046875 13 13 1.0 22 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 2 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5 1 3 1.1972071 0.30401419999999746 0.0 1.5012212999999974 1.0133664000000095 2.209420100000017 0.7560958000000113 0.11637405807692397 0.6274605000000122 0.1496549625000032 250.7265625 239.796875 22 22 1.0 22 13 22 0.9090909090909091 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 False 0 0 False 1.6923076923076923 1.6923076923076923 1.4366984945013912 0.67700320038633 0.8489582012962766 0.67700320038633 0.6527634963020901 0.7984332947023015 1.0 0.5 1.0 0.5 1.0 1.0 2.0 1.0 6.0 3.0 0 0.0 0 0.0 2.4997041245033724 0.08210928915694188 1.4770978917519928 0.22829927713357465 2.011834319526627 0.13374312190647802 1.1888111888111885 0.3045831407682176 0.3726779962499646 0.6888870213378976 0.08600261451922261 0.9175918321555311 0.24999999999999978 0.778800783071405 0.05769230769230765 0.9439403459411809 3.0641293851417055 0.04669447707863928 0.41783582524659624 0.6584703237543484 1.9999999999999998 0.13533528323661273 0.2727272727272727 0.7613003866968737 3 6 2.0 1.7320508075688772 0.8660254037844386 1.0 1.0 1.0 2.5 4.0 7.333333333333333 4.932882862316247 0.6726658448613064 4.0 4.5 5.0 9.0 13.0 3 4.333333333333333 0.5773502691896257 0.13323467750529824 4.0 4.0 4.0 4.5 5.0 7.333333333333333 7.333333333333333 4.932882862316247 4.932882862316247 0.6726658448613064 0.6726658448613064 4.0 4.0 4.5 4.5 5.0 5.0 9.0 9.0 13.0 13.0 0.8607167555783571 0.8607167555783571 0.5086053555690292 0.5086053555690292 0.757904863052754 0.757904863052754 1.0 1.0 1.125 1.125 1.25 1.25 1.925 1.925 2.6 2.6
6 1 2 3.1596669000000617 0.3755655000000502 0.0 3.535232400000112 1.7681324000000416 5.744652500000129 0.6720501111111284 0.11934255352974489 0.5350398250000143 0.09383460581439688 244.0390625 232.703125 46 46 1.0 46 22 22 0.9130434782608695 1.0 0.9257484782836365 1.0 1.0 1.0 1.0 1.0 0.9130434782608695 0.8452486106067985 0.9130434782608695 0.9130434782608695 0.9130434782608695 0.9130434782608695 0.9130434782608695 False 0 0 False 2.090909090909091 2.090909090909091 1.9250007027603147 1.9250007027603147 0.9206525100158027 0.9206525100158027 0.652772571991812 0.652772571991812 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 8.0 8.0 0 0.0 0 0.0 8.320789457141831 0.00024340363162057076 3.979508001241746 0.018694834911003943 7.5 0.0005530843701478336 3.5869565217391304 0.02768245329005277 0.8210201423071639 0.43998258064039375 0.3358718763983852 0.7147146717679261 0.622222222222223 0.5367503327856527 0.25454545454545485 0.7752688127983691 6.615358112979446 0.0013396349694615982 1.2943091960177178 0.2740871394353351 5.400000000000002 0.004516580942612658 1.0565217391304353 0.3476629722130821 9 8 0.8888888888888888 1.0540925533894598 1.1858541225631425 0.0 0.0 1.0 1.0 3.0 5.111111111111111 3.0595932917809696 0.5986160788267115 2.0 3.0 4.0 6.0 11.0 9 2.4444444444444446 0.5270462766947299 0.21560984046602585 2.0 2.0 2.0 3.0 3.0 5.111111111111111 5.111111111111111 3.0595932917809696 3.0595932917809696 0.5986160788267115 0.5986160788267115 2.0 2.0 3.0 3.0 4.0 4.0 6.0 6.0 11.0 11.0 1.3096861371251425 1.3096861371251425 0.6263716307989812 0.6263716307989812 0.729181447178618 0.729181447178618 1.0 1.0 1.0 1.0 1.5 1.5 3.0 3.0 4.5 4.5
7 1 1 6.307347799999988 0.8729908000000535 0.0 7.1803386000000415 2.440216600000028 12.92499110000017 0.8119228705882452 0.19717532219888187 0.7101545125000088 0.1940104057291686 246.671875 235.59765625 69 69 1.0 0 46 46 0.9710144927536232 1.0 0.7079790431628135 1.0 1.0 1.0 1.0 1.0 0.9710144927536232 0.6874579114769348 0.9710144927536232 0.9710144927536232 0.9710144927536232 0.9710144927536232 0.9710144927536232 False 0 0 False 1.5 1.5 0.6236095644623235 0.6236095644623235 0.415739709641549 0.415739709641549 0.873414157484718 0.873414157484718 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 3.0 3.0 0 0.0 0 0.0 1.8282208029523748 0.16069922916995638 1.2188138686349166 0.2955805564478432 1.4673913043478262 0.23052607383615523 0.9782608695652174 0.375964381713319 0.7298491204092057 0.4819817058069482 0.26972684884688036 0.7635880408070569 0.5980392156862744 0.5498887930323739 0.22101449275362312 0.8017050612920681 2.641424650261018 0.07125967708913637 0.6507857833976421 0.521635722984652 2.055555555555557 0.1280216926548526 0.5064412238325285 0.6026364152862721 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 17 2.7058823529411766 0.46966821831386213 0.17357303720294903 2.0 2.0 3.0 3.0 3.0 4.0588235294117645 4.0588235294117645 1.4348601079588787 1.4348601079588787 0.3535162584826223 0.3535162584826223 2.0 2.0 3.0 3.0 4.0 4.0 5.0 5.0 7.0 7.0 0.4016916841936447 0.4016916841936447 0.26779445612909647 0.26779445612909647 0.9118016502352004 0.9118016502352004 1.0 1.0 1.3333333333333333 1.3333333333333333 1.5 1.5 1.6666666666666667 1.6666666666666667 2.3333333333333335 2.3333333333333335
8 2 4 0.6210875999999814 0.08273619999999937 0.0 0.7038237999999808 0.7038237999999808 0.7038237999999808 0.7038237999999808 0.05414029230769083 0.0 0.0 243.953125 232.6875 13 13 1.0 22 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 2 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9 2 3 1.1234642000000008 0.21663579999999172 0.0 1.3400999999999925 0.9387800999999598 2.0439237999999733 0.7008130999999906 0.122418725555553 0.581829600000006 0.1239922525000015 267.63671875 257.4921875 21 21 1.0 21 13 22 0.9523809523809523 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 False 0 0 False 1.6153846153846154 1.6153846153846154 1.0439078454267836 0.47703679372151425 0.6462286662165803 0.4961182654703748 0.7212952435735721 0.8479354326343773 1.0 0.5 1.0 0.5 1.0 1.0 2.0 1.0 4.0 2.0 0 0.0 0 0.0 2.040999870987939 0.12989876391874308 1.2634761106115813 0.2826697254889683 1.6923076923076925 0.18409420065330415 1.0476190476190477 0.3507719269028114 0.3726779962499646 0.6888870213378976 0.08600261451922261 0.9175918321555311 0.24999999999999978 0.778800783071405 0.05769230769230765 0.9439403459411809 2.9154759474226504 0.054178238902441965 0.4164965639175215 0.6593527783820756 2.0 0.1353352832366127 0.2857142857142857 0.751477293075286 3 5 1.6666666666666667 1.1547005383792515 0.6928203230275508 1.0 1.0 1.0 2.0 3.0 7.0 4.358898943540674 0.6226998490772392 4.0 4.5 5.0 8.5 12.0 3 4.333333333333333 0.5773502691896257 0.13323467750529824 4.0 4.0 4.0 4.5 5.0 7.0 7.0 4.358898943540674 4.358898943540674 0.6226998490772392 0.6226998490772392 4.0 4.0 4.5 4.5 5.0 5.0 8.5 8.5 12.0 12.0 0.7466592261534039 0.7466592261534039 0.46221761619020235 0.46221761619020235 0.7825668767309011 0.7825668767309011 1.0 1.0 1.125 1.125 1.25 1.25 1.825 1.825 2.4 2.4
