 RU AL GT ST OT TT LT CT WT WT_PA MET MET_PA RSS VMS LE AC CF PSG SIZE SGLITS_T QL_SCORE LT_SCORE CT_SCORE AW_SCORE AW_PA_SCORE AME_SCORE AME_PA_SCORE TI_SCORE LT_GRADE CT_GRADE AW_GRADE AW_PA_GRADE AME_GRADE AME_PA_GRADE GRADE HAS_TRAILING TOT_CHOICES PRE_CHOICES FGOALS_ORDER CP_EF_L CP_EF_A SP_ED_L SP_ED_A SP_EB_L SP_EB_A SP_EBS_L SP_EBS_A SP_MIN_L SP_MIN_A SP_LOWER_L SP_LOWER_A SP_MED_L SP_MED_A SP_UPPER_L SP_UPPER_A SP_MAX_L SP_MAX_A T_INTER_SP P_INTER_SP T_INTER_Q P_INTER_Q M_CHILD_RMSE M_CHILD_RMSE_SCORE M_CHILD_NRMSE M_CHILD_NRMSE_SCORE M_CHILD_MAE M_CHILD_MAE_SCORE M_CHILD_NMAE M_CHILD_NMAE_SCORE DIV_INDEX_RMSE DIV_INDEX_RMSE_SCORE DIV_INDEX_NRMSE DIV_INDEX_NRMSE_SCORE DIV_INDEX_MAE DIV_INDEX_MAE_SCORE DIV_INDEX_NMAE DIV_INDEX_NMAE_SCORE DIV_STEP_RMSE DIV_STEP_RMSE_SCORE DIV_STEP_NRMSE DIV_STEP_NRMSE_SCORE DIV_STEP_MAE DIV_STEP_MAE_SCORE DIV_STEP_NMAE DIV_STEP_NMAE_SCORE DS_T DIVS_T DS_TD_MEAN DS_TD_STD DS_TD_CD DS_TD_MIN DS_TD_LOWER DS_TD_MED DS_TD_UPPER DS_TD_MAX DS_TS_MEAN DS_TS_STD DS_TS_CD DS_TS_MIN DS_TS_LOWER DS_TS_MED DS_TS_UPPER DS_TS_MAX PR_T PR_TS_MEAN PR_TS_STD PR_TS_CD PR_TS_MIN PR_TS_LOWER PR_TS_MED PR_TS_UPPER PR_TS_MAX PP_LE_MEAN PP_AC_MEAN PP_LE_STD PP_AC_STD PP_LE_CD PP_AC_CD PP_LE_MIN PP_AC_MIN PP_LE_LOWER PP_AC_LOWER PP_LE_MED PP_AC_MED PP_LE_UPPER PP_AC_UPPER PP_LE_MAX PP_AC_MAX PP_ED_L PP_ED_A PP_EB_L PP_EB_A PP_EBS_L PP_EBS_A PP_EF_LE_MIN PP_EF_AC_MIN PP_EF_LE_LOWER PP_EF_AC_LOWER PP_EF_LE_MED PP_EF_AC_MED PP_EF_LE_UPPER PP_EF_AC_UPPER PP_EF_LE_MAX PP_EF_AC_MAX
0 0 4 0.5252773999999931 0.05208559999999096 0.0 0.5773629999999841 0.5773629999999841 0.5773629999999841 0.5773629999999841 0.04441253846153724 0.0 0.0 235.16796875 224.27734375 9 13 0.6923076923076923 22 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 9.0 0.0 0.0 9.0 9.0 9.0 9.0 9.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 0 3 1.3895866000000083 0.20528750000000429 0.0 1.5948741000000126 1.1490496999999849 2.1722370999999967 1.100839049999994 0.11716259190476094 1.0526284000000032 0.1503754857142862 253.19921875 243.30078125 16 22 0.7272727272727273 22 9 22 0.9090909090909091 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 False 0 0 False 1.7777777777777777 1.6923076923076923 0.97182531580755 0.44682522061515034 0.5466517401417469 0.42330810374066874 0.6909921375300466 0.831891716144018 1.0 0.5 1.0 1.0 1.0 1.0 3.0 1.25 3.0 2.0 0 0.0 0 0.0 1.5180667801421621 0.21913511407894692 0.8539125638299663 0.42574591095032704 1.333333333333333 0.2635971381157268 0.7499999999999999 0.47236655274101474 0.28867513459481287 0.7492555730849976 0.06415002990995841 0.9378642812813465 0.16666666666666666 0.8464817248906141 0.037037037037037035 0.9636404443012863 1.1547005383792515 0.3151518986722024 0.14433756729740643 0.8655955020013665 0.6666666666666666 0.513417119032592 0.08333333333333333 0.9200444146293233 2 1 0.5 0.7071067811865476 1.4142135623730951 0.0 0.25 0.5 0.75 1.0 8.0 2.8284271247461903 0.3535533905932738 6.0 7.0 8.0 9.0 10.0 2 4.5 0.7071067811865476 0.15713484026367724 4.0 4.25 4.5 4.75 5.0 8.0 11.0 2.8284271247461903 5.656854249492381 0.3535533905932738 0.51425947722658 6.0 7.0 7.0 9.0 8.0 11.0 9.0 13.0 10.0 15.0 0.3535533905932738 0.33587572106361013 0.19887378220871652 0.19847201699213327 0.8622201486656301 0.8682032548613537 1.5 1.4 1.625 1.5187499999999998 1.75 1.6375 1.875 1.75625 2.0 1.875
2 0 2 3.7169083 0.38498899999999736 0.0 4.101897299999997 3.3345946999999825 6.274134399999994 2.1220310333333288 0.12011725745950515 1.515749200000002 0.07019732276214835 255.56640625 245.42578125 32 48 0.6666666666666666 48 16 22 0.875 1.0 0.8903882464223196 1.0 1.0 1.0 1.0 1.0 0.875 0.7790897156195297 0.875 0.875 0.875 0.875 0.875 False 0 0 False 2.0 2.1818181818181817 1.5491933384829668 2.75 0.7745966692414834 1.0731707317073171 0.6624898010408133 0.5232773510978703 1.0 0.5 1.0 1.0 1.5 2.0 2.25 3.0 7.0 12.0 0 0.0 0 0.0 4.2130748865881795 0.014800787552986845 2.1065374432940898 0.1216584873857424 3.875 0.020754337873699742 1.9375 0.14406365910145327 0.3726779962499652 0.6888870213378971 0.06987712429686849 0.9325083954912983 0.2500000000000002 0.7788007830714047 0.04687500000000004 0.9542066659691882 3.8908725099762513 0.020427515049540466 0.36476929781027356 0.6943568220406457 2.7500000000000004 0.06392786120670754 0.25781250000000006 0.7727401072945724 3 9 3.0 2.0 0.6666666666666666 1.0 2.0 3.0 4.0 5.0 10.666666666666666 5.507570547286102 0.5163347388080721 5.0 8.0 11.0 13.5 16.0 3 5.333333333333333 0.5773502691896257 0.10825317547305482 5.0 5.0 5.0 5.5 6.0 10.666666666666666 16.0 5.507570547286102 7.54983443527075 0.5163347388080721 0.47186465220442186 5.0 8.0 8.0 12.5 11.0 17.0 13.5 20.0 16.0 23.0 0.8598018720956935 1.1547005383792515 0.42990093604784674 0.529237746757157 0.7762127658185388 0.7231281558518966 1.0 1.0 1.6 1.7142857142857142 2.2 2.4285714285714284 2.4333333333333336 2.8571428571428568 2.6666666666666665 3.2857142857142856
3 0 1 12.944003100000025 0.8771554000000918 0.0 13.821158500000116 3.9508711999999804 20.09529290000011 1.7152825916666725 0.2681231063975382 1.512047263636372 0.31216576766983156 261.31640625 251.296875 66 84 0.7857142857142857 0 32 48 0.7976190476190477 1.0 0.6293094103688607 1.0 1.0 1.0 1.0 1.0 0.7976190476190477 0.5019491725561152 0.7976190476190477 0.7976190476190477 0.7976190476190477 0.7976190476190477 0.7976190476190477 False 0 0 False 2.0625 1.75 2.2279384366313524 1.3318939643447838 1.0802125753364133 0.7543470240536828 0.6618773872516819 0.7556995624116977 1.0 0.5 1.0 1.0 1.0 1.25 2.0 2.0 13.0 7.0 0 0.0 0 0.0 4.585345202381169 0.010200228036918599 2.2231976738817787 0.10826236699345063 3.98046875 0.018676882496838135 1.9299242424242424 0.14515919497579496 0.5919690451597533 0.5532368631745384 0.22198839193490752 0.8009246614663027 0.43589743589743557 0.6466840491033324 0.16346153846153835 0.8491991598796353 3.082207001484488 0.04585793634954588 0.5604012729971797 0.5709798990576443 2.5384615384615383 0.07898782609432885 0.4615384615384615 0.6303131865967198 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 12 2.6666666666666665 0.49236596391733095 0.18463723646899913 2.0 2.0 3.0 3.0 3.0 5.5 7.0 3.2051095570553083 3.8138503569823694 0.5827471921918742 0.5448357652831957 2.0 3.0 3.0 4.0 5.5 6.5 6.0 8.25 14.0 15.0 1.6030799480579 0.8073160838601318 0.7772508839068607 0.46132347649150385 0.7239560756542518 0.8292302313838613 1.0 0.6 1.4583333333333333 1.3333333333333333 1.8333333333333335 1.6333333333333333 2.0 1.85 7.0 3.75
4 1 4 0.5285128000000157 0.04801359999999022 0.0 0.5765264000000059 0.5765264000000059 0.5765264000000059 0.5765264000000059 0.04434818461538507 0.0 0.0 249.171875 238.05859375 9 13 0.6923076923076923 22 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 9.0 0.0 0.0 9.0 9.0 9.0 9.0 9.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5 1 3 1.3847293000000178 0.15622389999998632 0.0 1.5409532000000041 1.1440298999999925 2.11747960000001 1.0733370000000093 0.09936593452381004 1.0026441000000261 0.1114049000000029 255.66796875 245.7421875 16 23 0.6956521739130435 23 9 22 0.8695652173913043 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.8695652173913043 0.8695652173913043 0.8695652173913043 0.8695652173913043 0.8695652173913043 0.8695652173913043 0.8695652173913043 False 0 0 False 1.7777777777777777 1.7692307692307692 1.2018504251546631 0.375 0.676040864149498 0.375 0.6407749497614661 0.8550654610351172 1.0 0.5 1.0 1.0 1.0 1.0 3.0 1.0 4.0 1.75 0 0.0 0 0.0 1.1898058077191855 0.30428034722440633 0.6692657668420419 0.5120844291559489 0.9876543209876539 0.3724493137139074 0.5555555555555554 0.573753420737433 0.28867513459481287 0.7492555730849976 0.06415002990995841 0.9378642812813465 0.16666666666666666 0.8464817248906141 0.037037037037037035 0.9636404443012863 1.1547005383792515 0.3151518986722024 0.14433756729740643 0.8655955020013665 0.6666666666666666 0.513417119032592 0.08333333333333333 0.9200444146293233 2 1 0.5 0.7071067811865476 1.4142135623730951 0.0 0.25 0.5 0.75 1.0 8.0 2.8284271247461903 0.3535533905932738 6.0 7.0 8.0 9.0 10.0 2 4.5 0.7071067811865476 0.15713484026367724 4.0 4.25 4.5 4.75 5.0 8.0 11.5 2.8284271247461903 3.5355339059327378 0.3535533905932738 0.30743773095067284 6.0 9.0 7.0 10.25 8.0 11.5 9.0 12.75 10.0 14.0 0.3535533905932738 0.3535533905932738 0.19887378220871652 0.19983452511793737 0.8622201486656301 0.8622201486656301 1.5 1.5 1.625 1.625 1.75 1.75 1.875 1.875 2.0 2.0
6 1 2 3.6737756999999647 0.39928009999995595 0.0 4.073055799999921 3.284467899999953 6.190535399999931 2.093937299999979 0.13137759248035807 1.498671999999992 0.08657073670033563 262.36328125 251.52734375 32 49 0.6530612244897959 49 16 23 0.8571428571428571 1.0 0.8953850175603506 1.0 1.0 1.0 1.0 1.0 0.8571428571428571 0.7674728721945862 0.8571428571428571 0.8571428571428571 0.8571428571428571 0.8571428571428571 0.8571428571428571 False 0 0 False 2.0 2.130434782608696 1.505545305418162 2.692388963974807 0.752772652709081 1.0905879347746052 0.6687188437749338 0.5288613656246222 1.0 1.0 1.0 1.0 2.0 2.0 2.0 2.25 7.0 12.0 0 0.0 0 0.0 3.5089172119045497 0.02992930399231727 1.7544586059522749 0.17300087858828136 2.9375 0.0529980584033558 1.46875 0.23021307174736147 0.3726779962499652 0.6888870213378971 0.06987712429686849 0.9325083954912983 0.2500000000000002 0.7788007830714047 0.04687500000000004 0.9542066659691882 2.793842435706702 0.061185659690302346 0.26192272834750335 0.7695704873933911 1.7500000000000004 0.17377394345044506 0.16406250000000006 0.8486889771615039 3 9 3.0 1.7320508075688772 0.5773502691896257 2.0 2.0 2.0 3.5 5.0 10.666666666666666 4.725815626252608 0.443045214961182 7.0 8.0 9.0 12.5 16.0 3 5.333333333333333 0.5773502691896257 0.10825317547305482 5.0 5.0 5.0 5.5 6.0 10.666666666666666 16.333333333333332 4.725815626252608 9.237604307034012 0.443045214961182 0.5655676106347355 7.0 11.0 8.0 11.0 9.0 11.0 12.5 19.0 16.0 27.0 0.647502323748154 0.8378350628808707 0.323751161874077 0.3932695193114291 0.8199298749727648 0.7804981756774763 1.4 1.375 1.6 1.6041666666666665 1.8 1.8333333333333333 2.2333333333333334 2.4166666666666665 2.6666666666666665 3.0
7 1 1 15.089174800000023 0.8539607000000018 0.0 15.943135500000025 3.894608399999939 22.133670899999956 1.8848991666666681 0.2663426381313124 1.7021983272727346 0.27040327898465333 264.76171875 254.55859375 77 98 0.7857142857142857 0 32 49 0.6836734693877551 1.0 0.6134008051020676 1.0 1.0 1.0 1.0 1.0 0.6836734693877551 0.41936585654937275 0.6836734693877551 0.6836734693877551 0.6836734693877551 0.6836734693877551 0.6836734693877551 False 0 0 False 2.40625 2.0 2.4607810850189615 1.439558484061088 1.0226622690987892 0.7254467951173986 0.6417804629299719 0.7426759860564943 1.0 0.5 1.0 1.0 2.0 1.75 3.0 3.0 13.0 7.0 0 0.0 0 0.0 4.3516676939708985 0.012885305905216757 1.8084852754164773 0.16390221558499693 3.810546875 0.022136069983019556 1.583603896103896 0.20523412135474284 0.7623624998624868 0.46656286923124235 0.2858859374484326 0.751348311765007 0.6153846153846148 0.5404329964865344 0.23076923076923053 0.7939226578179515 2.339963108774868 0.09633119194063139 0.3646695753934859 0.694426068433704 1.8717948717948698 0.15384727771283138 0.2917082917082914 0.7469864063230365 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 12 2.6666666666666665 0.49236596391733095 0.18463723646899913 2.0 2.0 3.0 3.0 3.0 6.416666666666667 8.166666666666666 2.7784342658585555 3.1574826950748234 0.4330027427312034 0.38663053409079473 3.0 4.0 5.0 5.75 6.0 8.0 6.25 9.5 14.0 15.0 1.6040641774947426 0.8461837483826642 0.6666240737640489 0.4230918741913321 0.7238469991308982 0.823090770043802 1.5 1.0 1.6666666666666667 1.625 2.0 1.775 2.375 2.2125000000000004 7.0 3.75
8 2 4 0.5274973000000216 0.047066400000005615 0.0 0.5745637000000272 0.5745637000000272 0.5745637000000272 0.5745637000000272 0.04419720769230979 0.0 0.0 258.125 247.26171875 9 13 0.6923076923076923 22 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 9.0 0.0 0.0 9.0 9.0 9.0 9.0 9.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9 2 3 1.3881191999999913 0.22166930000001628 0.0 1.6097885000000076 1.2101124000000283 2.184352200000035 1.107089550000019 0.10308799166666859 1.0040667000000099 0.11156296666666776 270.0390625 260.72265625 16 23 0.6956521739130435 23 9 22 0.8695652173913043 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.8695652173913043 0.8695652173913043 0.8695652173913043 0.8695652173913043 0.8695652173913043 0.8695652173913043 0.8695652173913043 False 0 0 False 1.7777777777777777 1.7692307692307692 0.97182531580755 0.739509972887452 0.5466517401417469 0.6338656910463873 0.6909921375300466 0.7480442124598108 1.0 0.5 1.0 1.0 1.0 1.0 3.0 1.25 3.0 3.0 0 0.0 0 0.0 1.1312980999482414 0.32261419901685395 0.6363551812208859 0.5292178160933148 0.8765432098765429 0.41621921021511193 0.4930555555555554 0.6107573371601646 0.28867513459481287 0.7492555730849976 0.06415002990995841 0.9378642812813465 0.16666666666666666 0.8464817248906141 0.037037037037037035 0.9636404443012863 1.1547005383792515 0.3151518986722024 0.14433756729740643 0.8655955020013665 0.6666666666666666 0.513417119032592 0.08333333333333333 0.9200444146293233 2 1 0.5 0.7071067811865476 1.4142135623730951 0.0 0.25 0.5 0.75 1.0 8.0 2.8284271247461903 0.3535533905932738 6.0 7.0 8.0 9.0 10.0 2 4.5 0.7071067811865476 0.15713484026367724 4.0 4.25 4.5 4.75 5.0 8.0 11.5 2.8284271247461903 3.5355339059327378 0.3535533905932738 0.30743773095067284 6.0 9.0 7.0 10.25 8.0 11.5 9.0 12.75 10.0 14.0 0.3535533905932738 0.3535533905932738 0.19887378220871652 0.19983452511793737 0.8622201486656301 0.8622201486656301 1.5 1.5 1.625 1.625 1.75 1.75 1.875 1.875 2.0 2.0
